Date,Bank Rate
08-Jan-09,0.015
05-Feb-09,0.01
05-Mar-09,0.005
04-Aug-16,0.003
02-Nov-17,0.005
02-Aug-18,0.008
11-Mar-20,0.003
19-Mar-20,0.001
16-Dec-21,0.003
03-Feb-22,0.005
17-Mar-22,0.008
05-May-22,0.01
16-Jun-22,0.013
04-Aug-22,0.018
22-Sep-22,0.023
03-Nov-22,0.03
15-Dec-22,0.035
