region,year,region_n,number,cpi,cpiadj,wage,type
East Midlands,2004,2,2,76.5,1.0912981,8.540288,Wages adjusted: 1997 prices
East Midlands,2005,2,1,78.099998,1.1141226,9.8199997,Annual values
East Midlands,2005,2,2,78.099998,1.1141226,8.8141098,Wages adjusted: 1997 prices
East Midlands,2006,2,1,79.900002,1.1398003,10.22,Annual values
East Midlands,2006,2,2,79.900002,1.1398003,8.9664831,Wages adjusted: 1997 prices
East Midlands,2007,2,1,81.800003,1.1669044,10.25,Annual values
East Midlands,2007,2,2,81.800003,1.1669044,8.7839241,Wages adjusted: 1997 prices
East Midlands,2008,2,1,84.699997,1.2082739,10.81,Annual values
East Midlands,2008,2,2,84.699997,1.2082739,8.9466476,Wages adjusted: 1997 prices
East Midlands,2009,2,1,86.599998,1.235378,11.3,Annual values
East Midlands,2009,2,2,86.599998,1.235378,9.1469975,Wages adjusted: 1997 prices
East Midlands,2010,2,1,89.400002,1.275321,11.33,Annual values
East Midlands,2010,2,2,89.400002,1.275321,8.884038,Wages adjusted: 1997 prices
East Midlands,2011,2,1,93.400002,1.3323823,11.29,Annual values
East Midlands,2011,2,2,93.400002,1.3323823,8.4735441,Wages adjusted: 1997 prices
East Midlands,2012,2,1,96.099998,1.3708987,11.47,Annual values
East Midlands,2012,2,2,96.099998,1.3708987,8.3667746,Wages adjusted: 1997 prices
East Midlands,2013,2,1,98.5,1.4051355,11.7,Annual values
East Midlands,2013,2,2,98.5,1.4051355,8.3265991,Wages adjusted: 1997 prices
East Midlands,2014,2,1,100.0,1.4265336,11.77,Annual values
East Midlands,2014,2,2,100.0,1.4265336,8.2507696,Wages adjusted: 1997 prices
East Midlands,2015,2,1,100.0,1.4265336,11.83,Annual values
East Midlands,2015,2,2,100.0,1.4265336,8.2928295,Wages adjusted: 1997 prices
East Midlands,2016,2,1,100.7,1.4365193,12.04,Annual values
East Midlands,2016,2,2,100.7,1.4365193,8.3813705,Wages adjusted: 1997 prices
East Midlands,2017,2,1,103.4,1.4750357,12.46,Annual values
East Midlands,2017,2,2,103.4,1.4750357,8.4472532,Wages adjusted: 1997 prices
East Midlands,2018,2,1,105.9,1.510699,12.72,Annual values
East Midlands,2018,2,2,105.9,1.510699,8.4199438,Wages adjusted: 1997 prices
East Midlands,2019,2,1,107.8,1.5378032,13.27,Annual values
East Midlands,2019,2,2,107.8,1.5378032,8.6291933,Wages adjusted: 1997 prices
East Midlands,2020,2,1,108.9,1.553495,13.78,Annual values
East Midlands,2020,2,2,108.9,1.553495,8.8703213,Wages adjusted: 1997 prices
England,1997,3,1,70.099998,1.0,7.9400001,Annual values
England,1997,3,2,70.099998,1.0,7.9400001,Wages adjusted: 1997 prices
England,1998,3,1,71.199997,1.0156919,8.2600002,Annual values
England,1998,3,2,71.199997,1.0156919,8.1323881,Wages adjusted: 1997 prices
England,1999,3,1,72.099998,1.0285307,8.54,Annual values
England,1999,3,2,72.099998,1.0285307,8.3031063,Wages adjusted: 1997 prices
England,2000,3,1,72.699997,1.0370898,8.8900003,Annual values
England,2000,3,2,72.699997,1.0370898,8.5720644,Wages adjusted: 1997 prices
England,2001,3,1,73.599998,1.0499287,9.3400002,Annual values
England,2001,3,2,73.599998,1.0499287,8.8958426,Wages adjusted: 1997 prices
England,2002,3,1,74.5,1.0627675,9.8000002,Annual values
England,2002,3,2,74.5,1.0627675,9.2212076,Wages adjusted: 1997 prices
England,2003,3,1,75.5,1.0770328,10.11,Annual values
England,2003,3,2,75.5,1.0770328,9.3868999,Wages adjusted: 1997 prices
England,2004,3,1,76.5,1.0912981,10.5,Annual values
England,2004,3,2,76.5,1.0912981,9.6215687,Wages adjusted: 1997 prices
England,2005,3,1,78.099998,1.1141226,10.83,Annual values
England,2005,3,2,78.099998,1.1141226,9.7206535,Wages adjusted: 1997 prices
England,2006,3,1,79.900002,1.1398003,11.25,Annual values
England,2006,3,2,79.900002,1.1398003,9.8701496,Wages adjusted: 1997 prices
England,2007,3,1,81.800003,1.1669044,11.5,Annual values
England,2007,3,2,81.800003,1.1669044,9.855134,Wages adjusted: 1997 prices
England,2008,3,1,84.699997,1.2082739,12.03,Annual values
England,2008,3,2,84.699997,1.2082739,9.9563513,Wages adjusted: 1997 prices
England,2009,3,1,86.599998,1.235378,12.5,Annual values
England,2009,3,2,86.599998,1.235378,10.118361,Wages adjusted: 1997 prices
England,2010,3,1,89.400002,1.275321,12.66,Annual values
England,2010,3,2,89.400002,1.275321,9.9269123,Wages adjusted: 1997 prices
England,2011,3,1,93.400002,1.3323823,12.73,Annual values
England,2011,3,2,93.400002,1.3323823,9.5543146,Wages adjusted: 1997 prices
England,2012,3,1,96.099998,1.3708987,12.91,Annual values
England,2012,3,2,96.099998,1.3708987,9.4171801,Wages adjusted: 1997 prices
England,2013,3,1,98.5,1.4051355,13.17,Annual values
England,2013,3,2,98.5,1.4051355,9.3727617,Wages adjusted: 1997 prices
England,2014,3,1,100.0,1.4265336,13.19,Annual values
England,2014,3,2,100.0,1.4265336,9.2461891,Wages adjusted: 1997 prices
England,2015,3,1,100.0,1.4265336,13.38,Annual values
England,2015,3,2,100.0,1.4265336,9.3793793,Wages adjusted: 1997 prices
England,2016,3,1,100.7,1.4365193,13.71,Annual values
England,2016,3,2,100.7,1.4365193,9.5439024,Wages adjusted: 1997 prices
England,2017,3,1,103.4,1.4750357,14.07,Annual values
England,2017,3,2,103.4,1.4750357,9.5387526,Wages adjusted: 1997 prices
England,2018,3,1,105.9,1.510699,14.4,Annual values
England,2018,3,2,105.9,1.510699,9.532011,Wages adjusted: 1997 prices
England,2019,3,1,107.8,1.5378032,14.96,Annual values
England,2019,3,2,107.8,1.5378032,9.7281628,Wages adjusted: 1997 prices
England,2020,3,1,108.9,1.553495,15.23,Annual values
England,2020,3,2,108.9,1.553495,9.8037004,Wages adjusted: 1997 prices
London,1997,4,1,70.099998,1.0,10.24,Annual values
London,1997,4,2,70.099998,1.0,10.24,Wages adjusted: 1997 prices
London,1998,4,1,71.199997,1.0156919,10.7,Annual values
London,1998,4,2,71.199997,1.0156919,10.534691,Wages adjusted: 1997 prices
London,1999,4,1,72.099998,1.0285307,11.15,Annual values
London,1999,4,2,72.099998,1.0285307,10.840707,Wages adjusted: 1997 prices
London,2000,4,1,72.699997,1.0370898,11.73,Annual values
London,2000,4,2,72.699997,1.0370898,11.310495,Wages adjusted: 1997 prices
London,2001,4,1,73.599998,1.0499287,12.4,Annual values
London,2001,4,2,73.599998,1.0499287,11.810326,Wages adjusted: 1997 prices
London,2002,4,1,74.5,1.0627675,13.07,Annual values
London,2002,4,2,74.5,1.0627675,12.298079,Wages adjusted: 1997 prices
London,2003,4,1,75.5,1.0770328,13.54,Annual values
London,2003,4,2,75.5,1.0770328,12.571576,Wages adjusted: 1997 prices
London,2004,4,1,76.5,1.0912981,13.92,Annual values
London,2004,4,2,76.5,1.0912981,12.755451,Wages adjusted: 1997 prices
London,2005,4,1,78.099998,1.1141226,14.45,Annual values
London,2005,4,2,78.099998,1.1141226,12.969847,Wages adjusted: 1997 prices
London,2006,4,1,79.900002,1.1398003,14.79,Annual values
London,2006,4,2,79.900002,1.1398003,12.975957,Wages adjusted: 1997 prices
London,2007,4,1,81.800003,1.1669044,15.25,Annual values
London,2007,4,2,81.800003,1.1669044,13.068765,Wages adjusted: 1997 prices
London,2008,4,1,84.699997,1.2082739,15.79,Annual values
London,2008,4,2,84.699997,1.2082739,13.068229,Wages adjusted: 1997 prices
London,2009,4,1,86.599998,1.235378,16.389999,Annual values
London,2009,4,2,86.599998,1.235378,13.267194,Wages adjusted: 1997 prices
London,2010,4,1,89.400002,1.275321,16.77,Annual values
London,2010,4,2,89.400002,1.275321,13.149631,Wages adjusted: 1997 prices
London,2011,4,1,93.400002,1.3323823,16.959999,Annual values
London,2011,4,2,93.400002,1.3323823,12.729078,Wages adjusted: 1997 prices
London,2012,4,1,96.099998,1.3708987,17.110001,Annual values
London,2012,4,2,96.099998,1.3708987,12.480865,Wages adjusted: 1997 prices
London,2013,4,1,98.5,1.4051355,17.16,Annual values
London,2013,4,2,98.5,1.4051355,12.212345,Wages adjusted: 1997 prices
London,2014,4,1,100.0,1.4265336,17.25,Annual values
London,2014,4,2,100.0,1.4265336,12.09225,Wages adjusted: 1997 prices
London,2015,4,1,100.0,1.4265336,17.129999,Annual values
London,2015,4,2,100.0,1.4265336,12.008129,Wages adjusted: 1997 prices
London,2016,4,1,100.7,1.4365193,17.52,Annual values
London,2016,4,2,100.7,1.4365193,12.196147,Wages adjusted: 1997 prices
London,2017,4,1,103.4,1.4750357,18.209999,Annual values
London,2017,4,2,103.4,1.4750357,12.345464,Wages adjusted: 1997 prices
London,2018,4,1,105.9,1.510699,18.68,Annual values
London,2018,4,2,105.9,1.510699,12.365137,Wages adjusted: 1997 prices
London,2019,4,1,107.8,1.5378032,19.34,Annual values
London,2019,4,2,107.8,1.5378032,12.576382,Wages adjusted: 1997 prices
London,2020,4,1,108.9,1.553495,20.120001,Annual values
London,2020,4,2,108.9,1.553495,12.951442,Wages adjusted: 1997 prices
North,1997,5,1,70.099998,1.0,7.25,Annual values
North,1997,5,2,70.099998,1.0,7.25,Wages adjusted: 1997 prices
North,1998,5,1,71.199997,1.0156919,7.3600001,Annual values
North,1998,5,2,71.199997,1.0156919,7.2462921,Wages adjusted: 1997 prices
North,1999,5,1,72.099998,1.0285307,7.6700001,Annual values
North,1999,5,2,72.099998,1.0285307,7.4572396,Wages adjusted: 1997 prices
North,2000,5,1,72.699997,1.0370898,8.0,Annual values
North,2000,5,2,72.699997,1.0370898,7.7138929,Wages adjusted: 1997 prices
North,2001,5,1,73.599998,1.0499287,8.1700001,Annual values
North,2001,5,2,73.599998,1.0499287,7.7814813,Wages adjusted: 1997 prices
North,2002,5,1,74.5,1.0627675,8.4799995,Annual values
North,2002,5,2,74.5,1.0627675,7.979167,Wages adjusted: 1997 prices
North,2003,5,1,75.5,1.0770328,8.6700001,Annual values
North,2003,5,2,75.5,1.0770328,8.0498943,Wages adjusted: 1997 prices
North,2004,5,1,76.5,1.0912981,9.1199999,Annual values
North,2004,5,2,76.5,1.0912981,8.3570194,Wages adjusted: 1997 prices
North,2005,5,1,78.099998,1.1141226,9.5500002,Annual values
North,2005,5,2,78.099998,1.1141226,8.5717678,Wages adjusted: 1997 prices
North,2006,5,1,79.900002,1.1398003,9.9399996,Annual values
North,2006,5,2,79.900002,1.1398003,8.7208252,Wages adjusted: 1997 prices
North,2007,5,1,81.800003,1.1669044,10.14,Annual values
North,2007,5,2,81.800003,1.1669044,8.6896582,Wages adjusted: 1997 prices
North,2008,5,1,84.699997,1.2082739,10.46,Annual values
North,2008,5,2,84.699997,1.2082739,8.6569777,Wages adjusted: 1997 prices
North,2009,5,1,86.599998,1.235378,11.03,Annual values
North,2009,5,2,86.599998,1.235378,8.928441,Wages adjusted: 1997 prices
North,2010,5,1,89.400002,1.275321,11.19,Annual values
North,2010,5,2,89.400002,1.275321,8.7742615,Wages adjusted: 1997 prices
North,2011,5,1,93.400002,1.3323823,11.27,Annual values
North,2011,5,2,93.400002,1.3323823,8.4585333,Wages adjusted: 1997 prices
North,2012,5,1,96.099998,1.3708987,11.49,Annual values
North,2012,5,2,96.099998,1.3708987,8.3813629,Wages adjusted: 1997 prices
North,2013,5,1,98.5,1.4051355,11.93,Annual values
North,2013,5,2,98.5,1.4051355,8.4902849,Wages adjusted: 1997 prices
North,2014,5,1,100.0,1.4265336,12.15,Annual values
North,2014,5,2,100.0,1.4265336,8.517149,Wages adjusted: 1997 prices
North,2015,5,1,100.0,1.4265336,12.41,Annual values
North,2015,5,2,100.0,1.4265336,8.6994095,Wages adjusted: 1997 prices
North,2016,5,1,100.7,1.4365193,12.41,Annual values
North,2016,5,2,100.7,1.4365193,8.638937,Wages adjusted: 1997 prices
North,2017,5,1,103.4,1.4750357,12.93,Annual values
North,2017,5,2,103.4,1.4750357,8.7658901,Wages adjusted: 1997 prices
North,2018,5,1,105.9,1.510699,12.87,Annual values
North,2018,5,2,105.9,1.510699,8.5192347,Wages adjusted: 1997 prices
North,2019,5,1,107.8,1.5378032,13.55,Annual values
North,2019,5,2,107.8,1.5378032,8.8112707,Wages adjusted: 1997 prices
North,2020,5,1,108.9,1.553495,13.63,Annual values
North,2020,5,2,108.9,1.553495,8.7737646,Wages adjusted: 1997 prices
North West,1997,6,1,70.099998,1.0,7.52,Annual values
North West,1997,6,2,70.099998,1.0,7.52,Wages adjusted: 1997 prices
North West,1998,6,1,71.199997,1.0156919,7.6999998,Annual values
North West,1998,6,2,71.199997,1.0156919,7.581039,Wages adjusted: 1997 prices
North West,1999,6,1,72.099998,1.0285307,8.0299997,Annual values
North West,1999,6,2,72.099998,1.0285307,7.8072534,Wages adjusted: 1997 prices
North West,2000,6,1,72.699997,1.0370898,8.29,Annual values
North West,2000,6,2,72.699997,1.0370898,7.9935217,Wages adjusted: 1997 prices
North West,2001,6,1,73.599998,1.0499287,8.6400003,Annual values
North West,2001,6,2,73.599998,1.0499287,8.2291307,Wages adjusted: 1997 prices
North West,2002,6,1,74.5,1.0627675,9.1099997,Annual values
North West,2002,6,2,74.5,1.0627675,8.5719595,Wages adjusted: 1997 prices
North West,2003,6,1,75.5,1.0770328,9.3500004,Annual values
North West,2003,6,2,75.5,1.0770328,8.6812592,Wages adjusted: 1997 prices
North West,2004,6,1,76.5,1.0912981,9.7700005,Annual values
North West,2004,6,2,76.5,1.0912981,8.9526415,Wages adjusted: 1997 prices
North West,2005,6,1,78.099998,1.1141226,10.11,Annual values
North West,2005,6,2,78.099998,1.1141226,9.0744047,Wages adjusted: 1997 prices
North West,2006,6,1,79.900002,1.1398003,10.46,Annual values
North West,2006,6,2,79.900002,1.1398003,9.1770458,Wages adjusted: 1997 prices
North West,2007,6,1,81.800003,1.1669044,10.84,Annual values
North West,2007,6,2,81.800003,1.1669044,9.2895355,Wages adjusted: 1997 prices
North West,2008,6,1,84.699997,1.2082739,11.25,Annual values
North West,2008,6,2,84.699997,1.2082739,9.3108025,Wages adjusted: 1997 prices
North West,2009,6,1,86.599998,1.235378,11.63,Annual values
North West,2009,6,2,86.599998,1.235378,9.4141226,Wages adjusted: 1997 prices
North West,2010,6,1,89.400002,1.275321,11.75,Annual values
North West,2010,6,2,89.400002,1.275321,9.2133665,Wages adjusted: 1997 prices
North West,2011,6,1,93.400002,1.3323823,11.6,Annual values
North West,2011,6,2,93.400002,1.3323823,8.7062101,Wages adjusted: 1997 prices
North West,2012,6,1,96.099998,1.3708987,11.85,Annual values
North West,2012,6,2,96.099998,1.3708987,8.6439648,Wages adjusted: 1997 prices
North West,2013,6,1,98.5,1.4051355,12.2,Annual values
North West,2013,6,2,98.5,1.4051355,8.682436,Wages adjusted: 1997 prices
North West,2014,6,1,100.0,1.4265336,12.22,Annual values
North West,2014,6,2,100.0,1.4265336,8.5662203,Wages adjusted: 1997 prices
North West,2015,6,1,100.0,1.4265336,12.37,Annual values
North West,2015,6,2,100.0,1.4265336,8.6713696,Wages adjusted: 1997 prices
North West,2016,6,1,100.7,1.4365193,12.76,Annual values
North West,2016,6,2,100.7,1.4365193,8.8825817,Wages adjusted: 1997 prices
North West,2017,6,1,103.4,1.4750357,12.99,Annual values
North West,2017,6,2,103.4,1.4750357,8.8065662,Wages adjusted: 1997 prices
North West,2018,6,1,105.9,1.510699,13.41,Annual values
North West,2018,6,2,105.9,1.510699,8.8766851,Wages adjusted: 1997 prices
North West,2019,6,1,107.8,1.5378032,13.86,Annual values
North West,2019,6,2,107.8,1.5378032,9.0128565,Wages adjusted: 1997 prices
North West,2020,6,1,108.9,1.553495,14.42,Annual values
North West,2020,6,2,108.9,1.553495,9.2822952,Wages adjusted: 1997 prices
Northern Ireland,1997,7,1,70.099998,1.0,6.9200001,Annual values
Northern Ireland,1997,7,2,70.099998,1.0,6.9200001,Wages adjusted: 1997 prices
Northern Ireland,1998,7,1,71.199997,1.0156919,7.3400002,Annual values
Northern Ireland,1998,7,2,71.199997,1.0156919,7.2266011,Wages adjusted: 1997 prices
Northern Ireland,1999,7,1,72.099998,1.0285307,7.5700002,Annual values
Northern Ireland,1999,7,2,72.099998,1.0285307,7.3600135,Wages adjusted: 1997 prices
Northern Ireland,2000,7,1,72.699997,1.0370898,7.7800002,Annual values
Northern Ireland,2000,7,2,72.699997,1.0370898,7.5017614,Wages adjusted: 1997 prices
Northern Ireland,2001,7,1,73.599998,1.0499287,8.0,Annual values
Northern Ireland,2001,7,2,73.599998,1.0499287,7.6195655,Wages adjusted: 1997 prices
Northern Ireland,2002,7,1,74.5,1.0627675,8.3999996,Annual values
Northern Ireland,2002,7,2,74.5,1.0627675,7.903892,Wages adjusted: 1997 prices
Northern Ireland,2003,7,1,75.5,1.0770328,8.6400003,Annual values
Northern Ireland,2003,7,2,75.5,1.0770328,8.0220404,Wages adjusted: 1997 prices
Northern Ireland,2004,7,1,76.5,1.0912981,9.1400003,Annual values
Northern Ireland,2004,7,2,76.5,1.0912981,8.3753471,Wages adjusted: 1997 prices
Northern Ireland,2005,7,1,78.099998,1.1141226,9.5,Annual values
Northern Ireland,2005,7,2,78.099998,1.1141226,8.5268888,Wages adjusted: 1997 prices
Northern Ireland,2006,7,1,79.900002,1.1398003,10.0,Annual values
Northern Ireland,2006,7,2,79.900002,1.1398003,8.7734671,Wages adjusted: 1997 prices
Northern Ireland,2007,7,1,81.800003,1.1669044,9.7299995,Annual values
Northern Ireland,2007,7,2,81.800003,1.1669044,8.3382998,Wages adjusted: 1997 prices
Northern Ireland,2008,7,1,84.699997,1.2082739,10.14,Annual values
Northern Ireland,2008,7,2,84.699997,1.2082739,8.3921375,Wages adjusted: 1997 prices
Northern Ireland,2009,7,1,86.599998,1.235378,10.86,Annual values
Northern Ireland,2009,7,2,86.599998,1.235378,8.7908316,Wages adjusted: 1997 prices
Northern Ireland,2010,7,1,89.400002,1.275321,10.79,Annual values
Northern Ireland,2010,7,2,89.400002,1.275321,8.4606152,Wages adjusted: 1997 prices
Northern Ireland,2011,7,1,93.400002,1.3323823,11.06,Annual values
Northern Ireland,2011,7,2,93.400002,1.3323823,8.3009214,Wages adjusted: 1997 prices
Northern Ireland,2012,7,1,96.099998,1.3708987,11.36,Annual values
Northern Ireland,2012,7,2,96.099998,1.3708987,8.2865343,Wages adjusted: 1997 prices
Northern Ireland,2013,7,1,98.5,1.4051355,11.46,Annual values
Northern Ireland,2013,7,2,98.5,1.4051355,8.155797,Wages adjusted: 1997 prices
Northern Ireland,2014,7,1,100.0,1.4265336,11.36,Annual values
Northern Ireland,2014,7,2,100.0,1.4265336,7.9633594,Wages adjusted: 1997 prices
Northern Ireland,2015,7,1,100.0,1.4265336,11.97,Annual values
Northern Ireland,2015,7,2,100.0,1.4265336,8.3909702,Wages adjusted: 1997 prices
Northern Ireland,2016,7,1,100.7,1.4365193,12.15,Annual values
Northern Ireland,2016,7,2,100.7,1.4365193,8.4579439,Wages adjusted: 1997 prices
Northern Ireland,2017,7,1,103.4,1.4750357,12.31,Annual values
Northern Ireland,2017,7,2,103.4,1.4750357,8.345561,Wages adjusted: 1997 prices
Northern Ireland,2018,7,1,105.9,1.510699,12.56,Annual values
Northern Ireland,2018,7,2,105.9,1.510699,8.3140326,Wages adjusted: 1997 prices
Northern Ireland,2019,7,1,107.8,1.5378032,12.88,Annual values
Northern Ireland,2019,7,2,107.8,1.5378032,8.3755846,Wages adjusted: 1997 prices
Northern Ireland,2020,7,1,108.9,1.553495,12.93,Annual values
Northern Ireland,2020,7,2,108.9,1.553495,8.3231678,Wages adjusted: 1997 prices
Scotland,1997,8,1,70.099998,1.0,7.2800002,Annual values
Scotland,1997,8,2,70.099998,1.0,7.2800002,Wages adjusted: 1997 prices
Scotland,1998,8,1,71.199997,1.0156919,7.6300001,Annual values
Scotland,1998,8,2,71.199997,1.0156919,7.5121207,Wages adjusted: 1997 prices
Scotland,1999,8,1,72.099998,1.0285307,8.0799999,Annual values
Scotland,1999,8,2,72.099998,1.0285307,7.8558664,Wages adjusted: 1997 prices
Scotland,2000,8,1,72.699997,1.0370898,8.2299995,Annual values
Scotland,2000,8,2,72.699997,1.0370898,7.935667,Wages adjusted: 1997 prices
Scotland,2001,8,1,73.599998,1.0499287,8.6400003,Annual values
Scotland,2001,8,2,73.599998,1.0499287,8.2291307,Wages adjusted: 1997 prices
Scotland,2002,8,1,74.5,1.0627675,9.1400003,Annual values
Scotland,2002,8,2,74.5,1.0627675,8.6001883,Wages adjusted: 1997 prices
Scotland,2003,8,1,75.5,1.0770328,9.3999996,Annual values
Scotland,2003,8,2,75.5,1.0770328,8.7276821,Wages adjusted: 1997 prices
Scotland,2004,8,1,76.5,1.0912981,9.7200003,Annual values
Scotland,2004,8,2,76.5,1.0912981,8.9068241,Wages adjusted: 1997 prices
Scotland,2005,8,1,78.099998,1.1141226,10.09,Annual values
Scotland,2005,8,2,78.099998,1.1141226,9.0564537,Wages adjusted: 1997 prices
Scotland,2006,8,1,79.900002,1.1398003,10.67,Annual values
Scotland,2006,8,2,79.900002,1.1398003,9.361289,Wages adjusted: 1997 prices
Scotland,2007,8,1,81.800003,1.1669044,10.98,Annual values
Scotland,2007,8,2,81.800003,1.1669044,9.4095106,Wages adjusted: 1997 prices
Scotland,2008,8,1,84.699997,1.2082739,11.48,Annual values
Scotland,2008,8,2,84.699997,1.2082739,9.5011568,Wages adjusted: 1997 prices
Scotland,2009,8,1,86.599998,1.235378,11.98,Annual values
Scotland,2009,8,2,86.599998,1.235378,9.6974363,Wages adjusted: 1997 prices
Scotland,2010,8,1,89.400002,1.275321,12.15,Annual values
Scotland,2010,8,2,89.400002,1.275321,9.5270128,Wages adjusted: 1997 prices
Scotland,2011,8,1,93.400002,1.3323823,12.27,Annual values
Scotland,2011,8,2,93.400002,1.3323823,9.2090693,Wages adjusted: 1997 prices
Scotland,2012,8,1,96.099998,1.3708987,12.52,Annual values
Scotland,2012,8,2,96.099998,1.3708987,9.1326952,Wages adjusted: 1997 prices
Scotland,2013,8,1,98.5,1.4051355,12.87,Annual values
Scotland,2013,8,2,98.5,1.4051355,9.1592588,Wages adjusted: 1997 prices
Scotland,2014,8,1,100.0,1.4265336,13.13,Annual values
Scotland,2014,8,2,100.0,1.4265336,9.2041302,Wages adjusted: 1997 prices
Scotland,2015,8,1,100.0,1.4265336,13.4,Annual values
Scotland,2015,8,2,100.0,1.4265336,9.3933992,Wages adjusted: 1997 prices
Scotland,2016,8,1,100.7,1.4365193,13.5,Annual values
Scotland,2016,8,2,100.7,1.4365193,9.3977156,Wages adjusted: 1997 prices
Scotland,2017,8,1,103.4,1.4750357,13.84,Annual values
Scotland,2017,8,2,103.4,1.4750357,9.3828239,Wages adjusted: 1997 prices
Scotland,2018,8,1,105.9,1.510699,14.31,Annual values
Scotland,2018,8,2,105.9,1.510699,9.472436,Wages adjusted: 1997 prices
