Date,Measure,Value,Category
2018-11-01, Proportion ,18.3,Clothing
2018-12-01, Proportion ,17.9,Clothing
2019-01-01, Proportion ,18.2,Clothing
2019-02-01, Proportion ,17.2,Clothing
2019-03-01, Proportion ,17.9,Clothing
2019-04-01, Proportion ,18.2,Clothing
2019-05-01, Proportion ,19.0,Clothing
2019-06-01, Proportion ,19.6,Clothing
2019-07-01, Proportion ,18.9,Clothing
2019-08-01, Proportion ,18.2,Clothing
2019-09-01, Proportion ,18.9,Clothing
2019-10-01, Proportion ,18.5,Clothing
2019-11-01, Proportion ,18.9,Clothing
2019-12-01, Proportion ,18.3,Clothing
2020-01-01, Proportion ,18.7,Clothing
2020-02-01, Proportion ,20.5,Clothing
2020-03-01, Proportion ,27.4,Clothing
2020-04-01, Proportion ,50.4,Clothing
2020-05-01, Proportion ,47.9,Clothing
2020-06-01, Proportion ,40.8,Clothing
2020-07-01, Proportion ,31.3,Clothing
2020-08-01, Proportion ,29.6,Clothing
2020-09-01, Proportion ,28.6,Clothing
2020-10-01, Proportion ,30.0,Clothing
2020-11-01, Proportion ,42.4,Clothing
2020-12-01, Proportion ,33.3,Clothing
2021-01-01, Proportion ,51.5,Clothing
2021-02-01, Proportion ,65.1,Clothing
2021-03-01, Proportion ,54.8,Clothing
2021-04-01, Proportion ,31.7,Clothing
2021-05-01, Proportion ,29.9,Clothing
2021-06-01, Proportion ,30.1,Clothing
2021-07-01, Proportion ,30.5,Clothing
2021-08-01, Proportion ,30.3,Clothing
2021-09-01, Proportion ,29.2,Clothing
2021-10-01, Proportion ,28.7,Clothing
2021-11-01, Proportion ,27.2,Clothing
2021-12-01, Proportion ,29.0,Clothing
2022-01-01, Proportion ,29.1,Clothing
2022-02-01, Proportion ,27.0,Clothing
2022-03-01, Proportion ,26.4,Clothing
2022-04-01, Proportion ,27.3,Clothing
2022-05-01, Proportion ,26.3,Clothing
2015-01-01, Proportion ,4.2,Supermarkets
2015-02-01, Proportion ,4.2,Supermarkets
2015-03-01, Proportion ,4.4,Supermarkets
2015-04-01, Proportion ,4.2,Supermarkets
2015-05-01, Proportion ,4.3,Supermarkets
2015-06-01, Proportion ,4.3,Supermarkets
2015-07-01, Proportion ,4.4,Supermarkets
2015-08-01, Proportion ,4.6,Supermarkets
2015-09-01, Proportion ,4.5,Supermarkets
2015-10-01, Proportion ,4.4,Supermarkets
2015-11-01, Proportion ,4.5,Supermarkets
2015-12-01, Proportion ,4.9,Supermarkets
2016-01-01, Proportion ,4.7,Supermarkets
2016-02-01, Proportion ,4.6,Supermarkets
2016-03-01, Proportion ,4.6,Supermarkets
2016-04-01, Proportion ,4.8,Supermarkets
2016-05-01, Proportion ,5.1,Supermarkets
2016-06-01, Proportion ,5.0,Supermarkets
2016-07-01, Proportion ,5.0,Supermarkets
2016-08-01, Proportion ,5.0,Supermarkets
2016-09-01, Proportion ,5.2,Supermarkets
2016-10-01, Proportion ,5.4,Supermarkets
2016-11-01, Proportion ,5.6,Supermarkets
2016-12-01, Proportion ,5.5,Supermarkets
2017-01-01, Proportion ,5.4,Supermarkets
2017-02-01, Proportion ,5.1,Supermarkets
2017-03-01, Proportion ,5.2,Supermarkets
2017-04-01, Proportion ,5.3,Supermarkets
2017-05-01, Proportion ,5.2,Supermarkets
2017-06-01, Proportion ,5.3,Supermarkets
2017-07-01, Proportion ,5.5,Supermarkets
2017-08-01, Proportion ,5.6,Supermarkets
2017-09-01, Proportion ,5.5,Supermarkets
2017-10-01, Proportion ,5.6,Supermarkets
2017-11-01, Proportion ,5.6,Supermarkets
2017-12-01, Proportion ,5.7,Supermarkets
2018-01-01, Proportion ,5.6,Supermarkets
2018-02-01, Proportion ,5.8,Supermarkets
2018-03-01, Proportion ,5.8,Supermarkets
2018-04-01, Proportion ,5.8,Supermarkets
2018-05-01, Proportion ,5.9,Supermarkets
2018-06-01, Proportion ,5.8,Supermarkets
2018-07-01, Proportion ,5.8,Supermarkets
2018-08-01, Proportion ,5.8,Supermarkets
2018-09-01, Proportion ,5.7,Supermarkets
2018-10-01, Proportion ,5.7,Supermarkets
2018-11-01, Proportion ,5.8,Supermarkets
2018-12-01, Proportion ,5.7,Supermarkets
2019-01-01, Proportion ,5.4,Supermarkets
2019-02-01, Proportion ,5.6,Supermarkets
2019-03-01, Proportion ,5.5,Supermarkets
2019-04-01, Proportion ,5.7,Supermarkets
2019-05-01, Proportion ,5.6,Supermarkets
2019-06-01, Proportion ,5.4,Supermarkets
2019-07-01, Proportion ,5.7,Supermarkets
2019-08-01, Proportion ,6.0,Supermarkets
2019-09-01, Proportion ,5.8,Supermarkets
2019-10-01, Proportion ,5.7,Supermarkets
2019-11-01, Proportion ,5.6,Supermarkets
2019-12-01, Proportion ,5.3,Supermarkets
2020-01-01, Proportion ,5.3,Supermarkets
2020-02-01, Proportion ,5.4,Supermarkets
2020-03-01, Proportion ,5.6,Supermarkets
2020-04-01, Proportion ,8.8,Supermarkets
2020-05-01, Proportion ,10.7,Supermarkets
2020-06-01, Proportion ,10.8,Supermarkets
2020-07-01, Proportion ,11.0,Supermarkets
2020-08-01, Proportion ,10.8,Supermarkets
2020-09-01, Proportion ,10.6,Supermarkets
2020-10-01, Proportion ,10.8,Supermarkets
2020-11-01, Proportion ,10.7,Supermarkets
2020-12-01, Proportion ,11.7,Supermarkets
2021-01-01, Proportion ,11.9,Supermarkets
2021-02-01, Proportion ,11.6,Supermarkets
2021-03-01, Proportion ,11.2,Supermarkets
2021-04-01, Proportion ,10.5,Supermarkets
2021-05-01, Proportion ,10.7,Supermarkets
2021-06-01, Proportion ,10.0,Supermarkets
2021-07-01, Proportion ,10.3,Supermarkets
2021-08-01, Proportion ,10.2,Supermarkets
2021-09-01, Proportion ,10.2,Supermarkets
2021-10-01, Proportion ,9.8,Supermarkets
2021-11-01, Proportion ,9.6,Supermarkets
2021-12-01, Proportion ,10.8,Supermarkets
2022-01-01, Proportion ,9.5,Supermarkets
2022-02-01, Proportion ,9.3,Supermarkets
2022-03-01, Proportion ,9.4,Supermarkets
2022-04-01, Proportion ,9.5,Supermarkets
2022-05-01, Proportion ,9.5,Supermarkets
2015-01-01, Proportion ,2.0,Specialist food stores
2015-02-01, Proportion ,1.0,Specialist food stores
2015-03-01, Proportion ,1.0,Specialist food stores
2015-04-01, Proportion ,1.4,Specialist food stores
2015-05-01, Proportion ,1.5,Specialist food stores
2015-06-01, Proportion ,2.2,Specialist food stores
2015-07-01, Proportion ,1.8,Specialist food stores
2015-08-01, Proportion ,1.6,Specialist food stores
2015-09-01, Proportion ,1.6,Specialist food stores
2015-10-01, Proportion ,1.4,Specialist food stores
2015-11-01, Proportion ,1.1,Specialist food stores
2015-12-01, Proportion ,1.0,Specialist food stores
2016-01-01, Proportion ,1.1,Specialist food stores
2016-02-01, Proportion ,1.0,Specialist food stores
2016-03-01, Proportion ,0.9,Specialist food stores
2016-04-01, Proportion ,0.6,Specialist food stores
2016-05-01, Proportion ,1.0,Specialist food stores
2016-06-01, Proportion ,0.9,Specialist food stores
2016-07-01, Proportion ,0.8,Specialist food stores
2016-08-01, Proportion ,1.0,Specialist food stores
2016-09-01, Proportion ,1.0,Specialist food stores
2016-10-01, Proportion ,1.1,Specialist food stores
2016-11-01, Proportion ,1.1,Specialist food stores
2016-12-01, Proportion ,1.4,Specialist food stores
2017-01-01, Proportion ,1.5,Specialist food stores
2017-02-01, Proportion ,1.5,Specialist food stores
2017-03-01, Proportion ,1.6,Specialist food stores
2017-04-01, Proportion ,1.2,Specialist food stores
2017-05-01, Proportion ,1.3,Specialist food stores
2017-06-01, Proportion ,1.5,Specialist food stores
2017-07-01, Proportion ,1.4,Specialist food stores
2017-08-01, Proportion ,1.7,Specialist food stores
2017-09-01, Proportion ,1.7,Specialist food stores
2017-10-01, Proportion ,1.8,Specialist food stores
2017-11-01, Proportion ,1.8,Specialist food stores
2017-12-01, Proportion ,1.9,Specialist food stores
2018-01-01, Proportion ,1.8,Specialist food stores
2018-02-01, Proportion ,1.6,Specialist food stores
2018-03-01, Proportion ,1.6,Specialist food stores
2018-04-01, Proportion ,1.9,Specialist food stores
2018-05-01, Proportion ,1.5,Specialist food stores
2018-06-01, Proportion ,1.7,Specialist food stores
2018-07-01, Proportion ,2.3,Specialist food stores
2018-08-01, Proportion ,1.6,Specialist food stores
2018-09-01, Proportion ,1.9,Specialist food stores
2018-10-01, Proportion ,2.7,Specialist food stores
2018-11-01, Proportion ,2.3,Specialist food stores
2018-12-01, Proportion ,2.1,Specialist food stores
2019-01-01, Proportion ,1.9,Specialist food stores
2019-02-01, Proportion ,1.7,Specialist food stores
2019-03-01, Proportion ,1.3,Specialist food stores
2019-04-01, Proportion ,1.5,Specialist food stores
2019-05-01, Proportion ,1.8,Specialist food stores
2019-06-01, Proportion ,2.1,Specialist food stores
2019-07-01, Proportion ,2.7,Specialist food stores
2019-08-01, Proportion ,2.7,Specialist food stores
2019-09-01, Proportion ,3.4,Specialist food stores
2019-10-01, Proportion ,2.6,Specialist food stores
2019-11-01, Proportion ,2.5,Specialist food stores
2019-12-01, Proportion ,2.3,Specialist food stores
2020-01-01, Proportion ,2.5,Specialist food stores
2020-02-01, Proportion ,2.4,Specialist food stores
2020-03-01, Proportion ,3.3,Specialist food stores
2020-04-01, Proportion ,13.8,Specialist food stores
2020-05-01, Proportion ,13.9,Specialist food stores
2020-06-01, Proportion ,9.0,Specialist food stores
2020-07-01, Proportion ,5.0,Specialist food stores
2020-08-01, Proportion ,5.4,Specialist food stores
2020-09-01, Proportion ,4.9,Specialist food stores
2020-10-01, Proportion ,4.8,Specialist food stores
2020-11-01, Proportion ,6.1,Specialist food stores
2020-12-01, Proportion ,6.9,Specialist food stores
2021-01-01, Proportion ,9.6,Specialist food stores
2021-02-01, Proportion ,10.6,Specialist food stores
2021-03-01, Proportion ,8.9,Specialist food stores
2021-04-01, Proportion ,8.5,Specialist food stores
2021-05-01, Proportion ,8.5,Specialist food stores
2021-06-01, Proportion ,8.4,Specialist food stores
2021-07-01, Proportion ,8.0,Specialist food stores
2021-08-01, Proportion ,8.3,Specialist food stores
2021-09-01, Proportion ,7.6,Specialist food stores
2021-10-01, Proportion ,7.7,Specialist food stores
2021-11-01, Proportion ,6.7,Specialist food stores
2021-12-01, Proportion ,6.4,Specialist food stores
2022-01-01, Proportion ,6.1,Specialist food stores
2022-02-01, Proportion ,6.6,Specialist food stores
2022-03-01, Proportion ,5.9,Specialist food stores
2022-04-01, Proportion ,5.7,Specialist food stores
2022-05-01, Proportion ,6.2,Specialist food stores
2015-01-01, Proportion ,3.4,Flowers plants seeds fertilisers and pet foods
2015-02-01, Proportion ,6.5,Flowers plants seeds fertilisers and pet foods
2015-03-01, Proportion ,2.3,Flowers plants seeds fertilisers and pet foods
2015-04-01, Proportion ,2.4,Flowers plants seeds fertilisers and pet foods
2015-05-01, Proportion ,2.5,Flowers plants seeds fertilisers and pet foods
2015-06-01, Proportion ,2.1,Flowers plants seeds fertilisers and pet foods
2015-07-01, Proportion ,2.0,Flowers plants seeds fertilisers and pet foods
2015-08-01, Proportion ,1.7,Flowers plants seeds fertilisers and pet foods
2015-09-01, Proportion ,1.9,Flowers plants seeds fertilisers and pet foods
2015-10-01, Proportion ,1.9,Flowers plants seeds fertilisers and pet foods
2015-11-01, Proportion ,2.7,Flowers plants seeds fertilisers and pet foods
2015-12-01, Proportion ,2.7,Flowers plants seeds fertilisers and pet foods
2016-01-01, Proportion ,2.3,Flowers plants seeds fertilisers and pet foods
2016-02-01, Proportion ,3.5,Flowers plants seeds fertilisers and pet foods
2016-03-01, Proportion ,4.0,Flowers plants seeds fertilisers and pet foods
2016-04-01, Proportion ,3.1,Flowers plants seeds fertilisers and pet foods
2016-05-01, Proportion ,1.7,Flowers plants seeds fertilisers and pet foods
2016-06-01, Proportion ,1.6,Flowers plants seeds fertilisers and pet foods
2016-07-01, Proportion ,1.4,Flowers plants seeds fertilisers and pet foods
2016-08-01, Proportion ,1.3,Flowers plants seeds fertilisers and pet foods
2016-09-01, Proportion ,1.7,Flowers plants seeds fertilisers and pet foods
2016-10-01, Proportion ,1.1,Flowers plants seeds fertilisers and pet foods
2016-11-01, Proportion ,1.0,Flowers plants seeds fertilisers and pet foods
2016-12-01, Proportion ,1.6,Flowers plants seeds fertilisers and pet foods
2017-01-01, Proportion ,1.8,Flowers plants seeds fertilisers and pet foods
2017-02-01, Proportion ,3.3,Flowers plants seeds fertilisers and pet foods
2017-03-01, Proportion ,4.4,Flowers plants seeds fertilisers and pet foods
2017-04-01, Proportion ,6.3,Flowers plants seeds fertilisers and pet foods
2017-05-01, Proportion ,4.7,Flowers plants seeds fertilisers and pet foods
2017-06-01, Proportion ,4.6,Flowers plants seeds fertilisers and pet foods
2017-07-01, Proportion ,3.6,Flowers plants seeds fertilisers and pet foods
2017-08-01, Proportion ,3.2,Flowers plants seeds fertilisers and pet foods
2017-09-01, Proportion ,1.8,Flowers plants seeds fertilisers and pet foods
2017-10-01, Proportion ,2.2,Flowers plants seeds fertilisers and pet foods
2017-11-01, Proportion ,4.8,Flowers plants seeds fertilisers and pet foods
2017-12-01, Proportion ,3.7,Flowers plants seeds fertilisers and pet foods
2018-01-01, Proportion ,3.5,Flowers plants seeds fertilisers and pet foods
2018-02-01, Proportion ,3.7,Flowers plants seeds fertilisers and pet foods
2018-03-01, Proportion ,4.9,Flowers plants seeds fertilisers and pet foods
2018-04-01, Proportion ,7.1,Flowers plants seeds fertilisers and pet foods
2018-05-01, Proportion ,5.2,Flowers plants seeds fertilisers and pet foods
2018-06-01, Proportion ,4.8,Flowers plants seeds fertilisers and pet foods
2018-07-01, Proportion ,8.6,Flowers plants seeds fertilisers and pet foods
2018-08-01, Proportion ,3.7,Flowers plants seeds fertilisers and pet foods
2018-09-01, Proportion ,3.2,Flowers plants seeds fertilisers and pet foods
2018-10-01, Proportion ,2.9,Flowers plants seeds fertilisers and pet foods
2018-11-01, Proportion ,3.4,Flowers plants seeds fertilisers and pet foods
2018-12-01, Proportion ,4.4,Flowers plants seeds fertilisers and pet foods
2019-01-01, Proportion ,2.5,Flowers plants seeds fertilisers and pet foods
2019-02-01, Proportion ,4.0,Flowers plants seeds fertilisers and pet foods
2019-03-01, Proportion ,4.7,Flowers plants seeds fertilisers and pet foods
2019-04-01, Proportion ,4.3,Flowers plants seeds fertilisers and pet foods
2019-05-01, Proportion ,4.5,Flowers plants seeds fertilisers and pet foods
2019-06-01, Proportion ,5.4,Flowers plants seeds fertilisers and pet foods
2019-07-01, Proportion ,4.9,Flowers plants seeds fertilisers and pet foods
2019-08-01, Proportion ,4.6,Flowers plants seeds fertilisers and pet foods
2019-09-01, Proportion ,4.8,Flowers plants seeds fertilisers and pet foods
2019-10-01, Proportion ,4.7,Flowers plants seeds fertilisers and pet foods
2019-11-01, Proportion ,7.9,Flowers plants seeds fertilisers and pet foods
2019-12-01, Proportion ,6.9,Flowers plants seeds fertilisers and pet foods
2020-01-01, Proportion ,8.5,Flowers plants seeds fertilisers and pet foods
2020-02-01, Proportion ,8.1,Flowers plants seeds fertilisers and pet foods
2020-03-01, Proportion ,14.8,Flowers plants seeds fertilisers and pet foods
2020-04-01, Proportion ,23.5,Flowers plants seeds fertilisers and pet foods
2020-05-01, Proportion ,26.7,Flowers plants seeds fertilisers and pet foods
2020-06-01, Proportion ,18.3,Flowers plants seeds fertilisers and pet foods
2020-07-01, Proportion ,13.2,Flowers plants seeds fertilisers and pet foods
2020-08-01, Proportion ,14.2,Flowers plants seeds fertilisers and pet foods
2020-09-01, Proportion ,12.4,Flowers plants seeds fertilisers and pet foods
2020-10-01, Proportion ,14.0,Flowers plants seeds fertilisers and pet foods
2020-11-01, Proportion ,17.7,Flowers plants seeds fertilisers and pet foods
2020-12-01, Proportion ,17.1,Flowers plants seeds fertilisers and pet foods
2021-01-01, Proportion ,13.3,Flowers plants seeds fertilisers and pet foods
2021-02-01, Proportion ,13.9,Flowers plants seeds fertilisers and pet foods
2021-03-01, Proportion ,13.8,Flowers plants seeds fertilisers and pet foods
2021-04-01, Proportion ,12.8,Flowers plants seeds fertilisers and pet foods
2021-05-01, Proportion ,12.7,Flowers plants seeds fertilisers and pet foods
2021-06-01, Proportion ,9.8,Flowers plants seeds fertilisers and pet foods
2021-07-01, Proportion ,10.8,Flowers plants seeds fertilisers and pet foods
2021-08-01, Proportion ,11.7,Flowers plants seeds fertilisers and pet foods
2021-09-01, Proportion ,13.3,Flowers plants seeds fertilisers and pet foods
2021-10-01, Proportion ,13.4,Flowers plants seeds fertilisers and pet foods
2021-11-01, Proportion ,15.5,Flowers plants seeds fertilisers and pet foods
2021-12-01, Proportion ,13.7,Flowers plants seeds fertilisers and pet foods
2022-01-01, Proportion ,18.2,Flowers plants seeds fertilisers and pet foods
2022-02-01, Proportion ,22.4,Flowers plants seeds fertilisers and pet foods
2022-03-01, Proportion ,19.4,Flowers plants seeds fertilisers and pet foods
2022-04-01, Proportion ,21.6,Flowers plants seeds fertilisers and pet foods
2022-05-01, Proportion ,24.3,Flowers plants seeds fertilisers and pet foods
2015-01-01, Proportion ,14.3,Sports equipment games and toys
2015-02-01, Proportion ,13.3,Sports equipment games and toys
2015-03-01, Proportion ,13.2,Sports equipment games and toys
2015-04-01, Proportion ,12.7,Sports equipment games and toys
2015-05-01, Proportion ,12.6,Sports equipment games and toys
2015-06-01, Proportion ,8.3,Sports equipment games and toys
2015-07-01, Proportion ,9.2,Sports equipment games and toys
2015-08-01, Proportion ,9.0,Sports equipment games and toys
2015-09-01, Proportion ,8.8,Sports equipment games and toys
2015-10-01, Proportion ,9.6,Sports equipment games and toys
2015-11-01, Proportion ,10.5,Sports equipment games and toys
2015-12-01, Proportion ,10.6,Sports equipment games and toys
2016-01-01, Proportion ,9.5,Sports equipment games and toys
2016-02-01, Proportion ,10.2,Sports equipment games and toys
2016-03-01, Proportion ,10.6,Sports equipment games and toys
2016-04-01, Proportion ,11.8,Sports equipment games and toys
2016-05-01, Proportion ,11.4,Sports equipment games and toys
2016-06-01, Proportion ,13.4,Sports equipment games and toys
2016-07-01, Proportion ,11.1,Sports equipment games and toys
2016-08-01, Proportion ,12.2,Sports equipment games and toys
2016-09-01, Proportion ,12.7,Sports equipment games and toys
2016-10-01, Proportion ,12.8,Sports equipment games and toys
2016-11-01, Proportion ,13.7,Sports equipment games and toys
2016-12-01, Proportion ,13.3,Sports equipment games and toys
2017-01-01, Proportion ,14.5,Sports equipment games and toys
2017-02-01, Proportion ,13.2,Sports equipment games and toys
2017-03-01, Proportion ,17.0,Sports equipment games and toys
2017-04-01, Proportion ,12.1,Sports equipment games and toys
2017-05-01, Proportion ,13.3,Sports equipment games and toys
2017-06-01, Proportion ,14.7,Sports equipment games and toys
2017-07-01, Proportion ,21.5,Sports equipment games and toys
2017-08-01, Proportion ,17.1,Sports equipment games and toys
2017-09-01, Proportion ,16.8,Sports equipment games and toys
2017-10-01, Proportion ,16.5,Sports equipment games and toys
2017-11-01, Proportion ,17.0,Sports equipment games and toys
2017-12-01, Proportion ,18.0,Sports equipment games and toys
2018-01-01, Proportion ,15.8,Sports equipment games and toys
2018-02-01, Proportion ,15.5,Sports equipment games and toys
2018-03-01, Proportion ,15.9,Sports equipment games and toys
2018-04-01, Proportion ,13.9,Sports equipment games and toys
2018-05-01, Proportion ,16.7,Sports equipment games and toys
2018-06-01, Proportion ,17.4,Sports equipment games and toys
2018-07-01, Proportion ,21.0,Sports equipment games and toys
2018-08-01, Proportion ,17.3,Sports equipment games and toys
2018-09-01, Proportion ,19.6,Sports equipment games and toys
2018-10-01, Proportion ,21.2,Sports equipment games and toys
2018-11-01, Proportion ,16.1,Sports equipment games and toys
2018-12-01, Proportion ,20.0,Sports equipment games and toys
2019-01-01, Proportion ,19.0,Sports equipment games and toys
2019-02-01, Proportion ,27.8,Sports equipment games and toys
2019-03-01, Proportion ,24.3,Sports equipment games and toys
2019-04-01, Proportion ,23.5,Sports equipment games and toys
2019-05-01, Proportion ,18.2,Sports equipment games and toys
2019-06-01, Proportion ,18.8,Sports equipment games and toys
2019-07-01, Proportion ,22.4,Sports equipment games and toys
2019-08-01, Proportion ,17.9,Sports equipment games and toys
2019-09-01, Proportion ,11.7,Sports equipment games and toys
2019-10-01, Proportion ,18.4,Sports equipment games and toys
2019-11-01, Proportion ,18.6,Sports equipment games and toys
2019-12-01, Proportion ,22.2,Sports equipment games and toys
2020-01-01, Proportion ,18.3,Sports equipment games and toys
2020-02-01, Proportion ,19.1,Sports equipment games and toys
2020-03-01, Proportion ,27.3,Sports equipment games and toys
2020-04-01, Proportion ,56.0,Sports equipment games and toys
2020-05-01, Proportion ,76.4,Sports equipment games and toys
2020-06-01, Proportion ,47.4,Sports equipment games and toys
2020-07-01, Proportion ,36.6,Sports equipment games and toys
2020-08-01, Proportion ,36.8,Sports equipment games and toys
2020-09-01, Proportion ,36.1,Sports equipment games and toys
2020-10-01, Proportion ,27.7,Sports equipment games and toys
2020-11-01, Proportion ,43.1,Sports equipment games and toys
2020-12-01, Proportion ,34.5,Sports equipment games and toys
2021-01-01, Proportion ,62.0,Sports equipment games and toys
2021-02-01, Proportion ,62.3,Sports equipment games and toys
2021-03-01, Proportion ,52.1,Sports equipment games and toys
2021-04-01, Proportion ,40.3,Sports equipment games and toys
2021-05-01, Proportion ,27.6,Sports equipment games and toys
2021-06-01, Proportion ,26.3,Sports equipment games and toys
2021-07-01, Proportion ,26.2,Sports equipment games and toys
2021-08-01, Proportion ,28.0,Sports equipment games and toys
2021-09-01, Proportion ,26.5,Sports equipment games and toys
2021-10-01, Proportion ,26.5,Sports equipment games and toys
2021-11-01, Proportion ,24.5,Sports equipment games and toys
2021-12-01, Proportion ,28.9,Sports equipment games and toys
2022-01-01, Proportion ,27.9,Sports equipment games and toys
2022-02-01, Proportion ,26.1,Sports equipment games and toys
2022-03-01, Proportion ,27.6,Sports equipment games and toys
2022-04-01, Proportion ,24.4,Sports equipment games and toys
2022-05-01, Proportion ,24.9,Sports equipment games and toys
2015-01-01, Proportion ,2.2,Books newspapers and stationary
2015-02-01, Proportion ,2.1,Books newspapers and stationary
2015-03-01, Proportion ,1.8,Books newspapers and stationary
2015-04-01, Proportion ,1.7,Books newspapers and stationary
2015-05-01, Proportion ,1.7,Books newspapers and stationary
2015-06-01, Proportion ,1.8,Books newspapers and stationary
2015-07-01, Proportion ,1.6,Books newspapers and stationary
2015-08-01, Proportion ,1.7,Books newspapers and stationary
2015-09-01, Proportion ,2.0,Books newspapers and stationary
2015-10-01, Proportion ,2.0,Books newspapers and stationary
2015-11-01, Proportion ,2.3,Books newspapers and stationary
2015-12-01, Proportion ,2.6,Books newspapers and stationary
2016-01-01, Proportion ,2.7,Books newspapers and stationary
2016-02-01, Proportion ,2.8,Books newspapers and stationary
2016-03-01, Proportion ,2.6,Books newspapers and stationary
2016-04-01, Proportion ,2.9,Books newspapers and stationary
2016-05-01, Proportion ,2.5,Books newspapers and stationary
2016-06-01, Proportion ,2.6,Books newspapers and stationary
2016-07-01, Proportion ,2.8,Books newspapers and stationary
2016-08-01, Proportion ,2.7,Books newspapers and stationary
2016-09-01, Proportion ,2.9,Books newspapers and stationary
2016-10-01, Proportion ,3.9,Books newspapers and stationary
2016-11-01, Proportion ,4.9,Books newspapers and stationary
2016-12-01, Proportion ,3.8,Books newspapers and stationary
2017-01-01, Proportion ,6.7,Books newspapers and stationary
2017-02-01, Proportion ,8.0,Books newspapers and stationary
2017-03-01, Proportion ,0.6,Books newspapers and stationary
2017-04-01, Proportion ,15.0,Books newspapers and stationary
2017-05-01, Proportion ,7.9,Books newspapers and stationary
2017-06-01, Proportion ,7.7,Books newspapers and stationary
2017-07-01, Proportion ,8.6,Books newspapers and stationary
2017-08-01, Proportion ,9.1,Books newspapers and stationary
2017-09-01, Proportion ,7.8,Books newspapers and stationary
2017-10-01, Proportion ,8.3,Books newspapers and stationary
2017-11-01, Proportion ,8.5,Books newspapers and stationary
2017-12-01, Proportion ,8.0,Books newspapers and stationary
2018-01-01, Proportion ,3.7,Books newspapers and stationary
2018-02-01, Proportion ,4.4,Books newspapers and stationary
2018-03-01, Proportion ,4.6,Books newspapers and stationary
2018-04-01, Proportion ,16.6,Books newspapers and stationary
2018-05-01, Proportion ,9.0,Books newspapers and stationary
2018-06-01, Proportion ,5.6,Books newspapers and stationary
2018-07-01, Proportion ,5.4,Books newspapers and stationary
2018-08-01, Proportion ,4.2,Books newspapers and stationary
2018-09-01, Proportion ,5.0,Books newspapers and stationary
2018-10-01, Proportion ,4.5,Books newspapers and stationary
2018-11-01, Proportion ,4.5,Books newspapers and stationary
2018-12-01, Proportion ,7.6,Books newspapers and stationary
2019-01-01, Proportion ,4.9,Books newspapers and stationary
2019-02-01, Proportion ,5.9,Books newspapers and stationary
2019-03-01, Proportion ,4.1,Books newspapers and stationary
2019-04-01, Proportion ,5.2,Books newspapers and stationary
2019-05-01, Proportion ,5.4,Books newspapers and stationary
2019-06-01, Proportion ,5.8,Books newspapers and stationary
2019-07-01, Proportion ,6.1,Books newspapers and stationary
2019-08-01, Proportion ,6.2,Books newspapers and stationary
2019-09-01, Proportion ,6.6,Books newspapers and stationary
2019-10-01, Proportion ,5.6,Books newspapers and stationary
2019-11-01, Proportion ,6.8,Books newspapers and stationary
2019-12-01, Proportion ,7.2,Books newspapers and stationary
2020-01-01, Proportion ,8.2,Books newspapers and stationary
2020-02-01, Proportion ,9.2,Books newspapers and stationary
2020-03-01, Proportion ,24.7,Books newspapers and stationary
2020-04-01, Proportion ,34.4,Books newspapers and stationary
2020-05-01, Proportion ,51.1,Books newspapers and stationary
2020-06-01, Proportion ,19.6,Books newspapers and stationary
