description,type,name,region_s,year,price
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1989,1.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1989,0.95999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1989,0.88999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1989,0.91000003
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1989,0.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1989,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1989,0.88999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1989,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1989,1.05
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1989,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1989,8.4899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1989,11.95
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1989,8.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1989,8.5900002
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1989,7.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1989,8.6899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1989,8.6899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1989,8.3500004
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1989,8.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1989,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1989,6.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1989,4.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1989,4.3899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1989,4.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1989,3.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1989,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1989,3.1199999
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1989,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1989,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1989,3.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1989,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1989,4.1999998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1989,4.29
DRAUGHT STOUT PER PINT,Drink,Stout,London,1989,1.26
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1989,1.24
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1989,1.2
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1989,1.1799999
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1989,1.15
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1989,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1989,1.13
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1989,1.11
DRAUGHT STOUT PER PINT,Drink,Stout,North,1989,1.11
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1989,1.1
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1989,1.08
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1989,1.0599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1990,1.22
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1990,1.16
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1990,1.1
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1990,1.1
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1990,1.02
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1990,1.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1990,1.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1990,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1990,1.01
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1990,0.94999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1990,1.0599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1990,1.16
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1990,12.54
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1990,8.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1990,10.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1990,8.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1990,9.3900003
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1990,10.65
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1990,9.1899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1990,9.0900002
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1990,7.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1990,8.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1990,12.5
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1990,7.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1990,3.6700001
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1990,4.79
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1990,4.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1990,3.49
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1990,3.895
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1990,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1990,2.8900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1990,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1990,3.45
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1990,3.95
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1990,4.5999999
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1990,3.6900001
DRAUGHT STOUT PER PINT,Drink,Stout,London,1990,1.4
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1990,1.38
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1990,1.34
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1990,1.3200001
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1990,1.26
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1990,1.25
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1990,1.26
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1990,1.24
DRAUGHT STOUT PER PINT,Drink,Stout,North,1990,1.22
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1990,1.1900001
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1990,1.2
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1990,1.15
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1991,1.4
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1991,1.34
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1991,1.3
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1991,1.3
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1991,1.2
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1991,1.14
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1991,1.14
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1991,1.1
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1991,1.14
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1991,1.13
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1991,1.1900001
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1991,1.3
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1991,10.59
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1991,9.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1991,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1991,9.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1991,10.65
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1991,10.95
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1991,10.74
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1991,10.45
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1991,9.7999992
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1991,10.59
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1991,14.45
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1991,8.8900003
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1991,4.8899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1991,5.1399999
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1991,5.0900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1991,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1991,4.8899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1991,3.79
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1991,3.55
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1991,3.0899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1991,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1991,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1991,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1991,3.79
DRAUGHT STOUT PER PINT,Drink,Stout,London,1991,1.6
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1991,1.6
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1991,1.52
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1991,1.52
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1991,1.46
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1991,1.42
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1991,1.42
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1991,1.41
DRAUGHT STOUT PER PINT,Drink,Stout,North,1991,1.4
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1991,1.4
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1991,1.35
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1991,1.3
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1992,1.48
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1992,1.45
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1992,1.4
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1992,1.38
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1992,1.28
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1992,1.2
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1992,1.2
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1992,1.1799999
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1992,1.23
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1992,1.23
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1992,1.28
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1992,1.4
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1992,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1992,10.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1992,10.59
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1992,10.73
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1992,10.87
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1992,10.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1992,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1992,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1992,10.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1992,11.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1992,15.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1992,13.49
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1992,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1992,5.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1992,5.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1992,5.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1992,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1992,4.8499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1992,3.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1992,3.49
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1992,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1992,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1992,5.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1992,3.99
DRAUGHT STOUT PER PINT,Drink,Stout,London,1992,1.705
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1992,1.72
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1992,1.65
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1992,1.65
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1992,1.5599999
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1992,1.52
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1992,1.54
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1992,1.52
DRAUGHT STOUT PER PINT,Drink,Stout,North,1992,1.5
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1992,1.5
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1992,1.47
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1992,1.4
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1993,1.55
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1993,1.53
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1993,1.49
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1993,1.4450001
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1993,1.345
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1993,1.28
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1993,1.27
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1993,1.22
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1993,1.29
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1993,1.29
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1993,1.35
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1993,1.45
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1993,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1993,9.9499998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1993,10.96
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1993,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1993,10.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1993,10.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1993,11.69
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1993,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1993,10.15
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1993,11.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1993,15.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1993,8.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1993,4.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1993,5.4499998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1993,5.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1993,5.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1993,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1993,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1993,4.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1993,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1993,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1993,4.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1993,4.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1993,4.29
DRAUGHT STOUT PER PINT,Drink,Stout,London,1993,1.79
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1993,1.8
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1993,1.75
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1993,1.735
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1993,1.66
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1993,1.64
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1993,1.62
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1993,1.62
DRAUGHT STOUT PER PINT,Drink,Stout,North,1993,1.6
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1993,1.62
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1993,1.55
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1993,1.45
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1994,1.58
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1994,1.5599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1994,1.54
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1994,1.5
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1994,1.4
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1994,1.3200001
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1994,1.3200001
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1994,1.27
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1994,1.33
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1994,1.35
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1994,1.41
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1994,1.55
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1994,10.59
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1994,9.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1994,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1994,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1994,10.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1994,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1994,13.74
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North West,1994,10.95
BRANDY-68-70 CL BOTTLE,Drink,Brandy,North,1994,9.7700005
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Wales,1994,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Scotland,1994,15.95
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Northern Ireland,1994,11.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,London,1994,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,South East,1994,5.4499998
FORTIFIED WINE  (70-75CL),Drink,Sherry,South West,1994,5.25
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Anglia,1994,5.25
FORTIFIED WINE  (70-75CL),Drink,Sherry,East Midlands,1994,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,West Midlands,1994,4.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,Yorkshire & Humber,1994,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,North West,1994,3.8
FORTIFIED WINE  (70-75CL),Drink,Sherry,North,1994,4.4899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,Wales,1994,4.79
FORTIFIED WINE  (70-75CL),Drink,Sherry,Scotland,1994,4.79
FORTIFIED WINE  (70-75CL),Drink,Sherry,Northern Ireland,1994,4.9899998
DRAUGHT STOUT PER PINT,Drink,Stout,London,1994,1.85
DRAUGHT STOUT PER PINT,Drink,Stout,South East,1994,1.88
DRAUGHT STOUT PER PINT,Drink,Stout,South West,1994,1.8
DRAUGHT STOUT PER PINT,Drink,Stout,East Anglia,1994,1.8
DRAUGHT STOUT PER PINT,Drink,Stout,East Midlands,1994,1.75
DRAUGHT STOUT PER PINT,Drink,Stout,West Midlands,1994,1.7
DRAUGHT STOUT PER PINT,Drink,Stout,Yorkshire & Humber,1994,1.7
DRAUGHT STOUT PER PINT,Drink,Stout,North West,1994,1.67
DRAUGHT STOUT PER PINT,Drink,Stout,North,1994,1.65
DRAUGHT STOUT PER PINT,Drink,Stout,Wales,1994,1.7
DRAUGHT STOUT PER PINT,Drink,Stout,Scotland,1994,1.6
DRAUGHT STOUT PER PINT,Drink,Stout,Northern Ireland,1994,1.55
DRAUGHT BITTER (PER PINT),Drink,Bitter,London,1995,1.65
DRAUGHT BITTER (PER PINT),Drink,Bitter,South East,1995,1.64
DRAUGHT BITTER (PER PINT),Drink,Bitter,South West,1995,1.6
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Anglia,1995,1.58
DRAUGHT BITTER (PER PINT),Drink,Bitter,East Midlands,1995,1.45
DRAUGHT BITTER (PER PINT),Drink,Bitter,West Midlands,1995,1.4
DRAUGHT BITTER (PER PINT),Drink,Bitter,Yorkshire & Humber,1995,1.38
DRAUGHT BITTER (PER PINT),Drink,Bitter,North West,1995,1.33
DRAUGHT BITTER (PER PINT),Drink,Bitter,North,1995,1.39
DRAUGHT BITTER (PER PINT),Drink,Bitter,Wales,1995,1.4
DRAUGHT BITTER (PER PINT),Drink,Bitter,Scotland,1995,1.48
DRAUGHT BITTER (PER PINT),Drink,Bitter,Northern Ireland,1995,1.65
BRANDY-68-70 CL BOTTLE,Drink,Brandy,London,1995,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South East,1995,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,South West,1995,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Anglia,1995,11.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,East Midlands,1995,10.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,West Midlands,1995,11.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,Yorkshire & Humber,1995,15.49
