data,confirmadosPorDia,confirmadosAcumulados,mortesPorDia,mortesAcumuladas,descartadosPorDia,descartadosAcumulados,suspeitosInternados,notificacoesSuspeitos,recuperadosPorDia,recuperadosAcumulados,testesPorDia,testesAcumulados
2020-04-26,44,543,1,50,29,1421,157,2244,2,119,143,1987
2020-04-27,90,633,3,53,61,1482,157,2244,0,119,151,2138
2020-04-28,66,699,4,57,49,1531,162,3945,30,149,115,2253
2020-04-29,115,814,5,62,85,1616,162,3945,3,152,200,2453
2020-04-30,112,926,5,67,79,1695,162,3945,4,156,191,2644
2020-05-01,108,1034,7,74,136,1831,162,3945,21,177,244,2888
2020-05-02,135,1169,2,76,71,1902,162,3945,0,177,206,3094
2020-05-03,50,1219,3,79,55,1957,162,3945,50,227,105,3199
2020-05-04,142,1361,6,85,57,2014,162,3945,0,227,199,3398
2020-05-05,132,1493,7,92,144,2158,210,10121,83,310,276,3674
2020-05-06,164,1657,9,101,89,2247,210,10121,10,320,253,3927
2020-05-07,192,1849,10,111,109,2356,210,10121,170,490,301,4228
2020-05-08,181,2030,3,114,58,2414,210,10121,0,490,239,4467
2020-05-09,126,2156,10,124,76,2490,210,10121,0,490,202,4669
2020-05-10,185,2341,11,135,36,2526,210,10121,47,537,221,4890
2020-05-11,184,2525,4,139,259,2785,210,10121,0,537,443,5333
2020-05-12,252,2777,15,154,352,3137,210,10121,64,601,604,5937
2020-05-13,268,3045,3,157,537,3674,210,10121,29,630,805,6742
2020-05-14,316,3361,3,160,559,4233,210,10121,101,731,875,7617
2020-05-15,378,3739,10,170,247,4480,210,10121,338,1069,625,8242
2020-05-16,324,4063,13,183,259,4739,210,10121,18,1087,583,8825
2020-05-17,284,4347,11,194,267,5006,210,10121,84,1171,551,9376
2020-05-18,439,4786,13,207,350,5356,210,10121,291,1462,789,10165
2020-05-19,514,5300,12,219,313,5669,210,10121,285,1747,827,10992
2020-05-20,538,5838,11,230,476,6145,210,10121,100,1847,1014,12006
2020-05-21,400,6238,15,245,100,6245,210,10121,150,1997,500,12506
2020-05-22,644,6882,3,248,384,6529,210,10121,6,2003,1028,13534
2020-05-23,626,7508,10,258,429,6958,210,10121,200,2203,1055,14589
2020-05-24,315,7823,14,272,220,7178,210,10121,5,2208,535,15124
2020-05-25,193,8016,7,279,106,7284,210,10121,10,2218,299,15423
2020-05-26,903,8919,7,286,561,7845,210,10121,7,2225,1464,16887
2020-05-27,1290,10209,12,298,150,7995,210,10121,7,2232,1440,18327
2020-05-28,923,11132,20,318,500,8495,210,10121,198,2430,1423,19750
2020-05-29,879,12011,9,327,1000,9495,210,10121,5,2435,1879,21629
2020-05-30,851,12862,19,346,1029,10524,210,10121,37,2472,1880,23509
2020-05-31,300,13162,14,360,451,10975,210,10121,20,2492,751,24260
2020-06-01,533,13695,10,370,1093,12068,210,10121,145,2637,1626,25886
2020-06-02,1164,14859,9,379,1202,13270,210,10121,283,2920,2366,28252
2020-06-03,1159,16018,35,414,2773,16043,210,10121,255,3175,3932,32184
2020-06-04,1561,17579,24,438,1473,17516,210,10121,458,3633,24612,56796
2020-06-05,1000,18579,13,451,1214,18730,210,10121,312,3945,3226,60022
2020-06-06,1208,19787,16,467,1603,20333,210,10121,243,4188,3139,63161
2020-06-07,523,20310,17,484,8,20341,210,10121,48,4236,1414,64575
2020-06-08,641,20951,23,507,199,20540,210,10121,104,4340,1099,65674
2020-06-09,1501,22452,27,534,110,20650,210,10121,331,4671,0,65674
2020-06-10,1580,24032,25,559,735,21385,210,10121,419,5090,4426,70100
2020-06-11,1338,25370,11,570,979,22364,210,10121,530,5620,3676,73776
2020-06-12,1186,26556,40,610,825,23189,210,10121,709,6329,6625,80401
2020-06-13,898,27454,13,623,726,23915,210,10121,148,6477,2597,82998
2020-06-14,559,28013,10,633,107,24022,210,10121,212,6689,0,82998
2020-06-15,665,28668,23,656,380,24402,210,10121,201,6890,886,83884
2020-06-16,1460,30128,15,671,1393,25795,210,10121,610,7500,1833,85717
2020-06-17,1584,31712,25,696,1552,27347,210,10121,472,7972,5554,91271
2020-06-18,1622,33382,13,709,0,27347,210,10121,6,7978,0,91271
2020-06-19,1711,35093,15,724,2736,30083,210,10121,1388,9366,8322,99593
2020-06-20,1428,36521,19,743,1759,31842,210,10121,590,9956,4897,104490
2020-06-21,263,36784,23,766,186,32028,210,10121,257,10213,640,105130
2020-06-22,469,37253,18,784,534,32562,210,10121,122,10335,1520,106650
2020-06-23,1746,38999,23,807,1578,34140,210,10121,952,11287,5719,112369
2020-06-24,913,39912,21,828,784,34924,210,10121,400,11687,2998,115367
2020-06-25,912,40824,14,842,626,35550,210,10121,426,12113,5414,120781
2020-06-26,2008,42832,22,864,2201,37751,210,10121,849,12962,1890,122671
2020-06-27,1410,44242,32,896,1602,39353,210,10121,794,13756,0,122671
2020-06-28,437,44679,15,911,326,39679,210,10121,124,13880,6238,128909
2020-06-29,378,45057,20,931,744,40423,210,10121,352,14232,763,129672
2020-06-30,1900,46957,46,977,2647,43070,210,10121,698,14930,-418,129254
2020-07-01,1218,48175,25,1002,2325,45395,210,10121,429,15359,10626,139880
2020-07-02,1362,49536,42,1002,2877,48272,210,10121,990,16349,0,139880
2020-07-03,1229,50765,18,1062,4204,52476,210,10121,622,16971,4992,144872
2020-07-04,1541,52306,20,1082,6093,58569,210,10121,827,17798,4192,149064
2020-07-05,422,52728,17,1099,296,58865,210,10121,251,18049,5548,154612
2020-07-06,423,53151,19,1118,476,59341,210,10121,386,18435,1041,155653
2020-07-07,1651,54802,27,1145,5592,64933,210,10121,938,19373,5216,160869
2020-07-08,1542,56344,26,1171,2616,67549,210,10121,626,19999,6689,167558
2020-07-09,1270,57614,25,1196,839,68388,210,10121,605,20604,2522,170080
2020-07-10,1504,59118,33,1229,1179,69567,210,10121,877,21481,5154,175234
2020-07-11,1303,60421,21,1250,1399,70966,210,10121,635,22116,3680,178914
2020-07-12,363,60784,34,1284,291,71257,210,10121,176,22292,1032,179946
2020-07-13,324,61108,18,1302,352,71609,210,10121,176,22468,1734,181680
2020-07-14,1354,62462,40,1342,352,73028,210,10121,559,23027,3522,185202
2020-07-15,1477,63939,41,1383,1371,74399,210,10121,668,23695,3828,189030
2020-07-16,1484,65423,35,1418,1358,75757,210,10121,558,24253,4064,193094
2020-07-17,924,66347,28,1446,345,76102,210,10121,137,24390,2419,195513
2020-07-18,624,66971,31,1477,77,76179,210,10121,47,24437,1799,197312
2020-07-19,411,67382,9,1486,7,76186,210,10121,2,24439,871,198183
2020-07-20,298,67680,31,1517,4,76190,210,10121,47,24486,875,199058
2020-07-21,1164,68844,41,1558,2415,78605,210,10121,542,25028,3665,202723
2020-07-22,2128,70972,23,1581,2955,81560,210,10121,1497,26525,6618,209341
2020-07-23,2132,73104,37,1618,2487,84047,210,10121,2041,28566,5112,214453
2020-07-24,1446,74550,35,1653,1856,85903,210,10121,1062,29628,4041,218494
2020-07-25,1173,75723,22,1675,1872,87775,210,10121,750,30378,3876,222370
2020-07-26,430,76153,23,1698,252,88027,210,10121,209,30587,566,222936
2020-07-27,540,76693,29,1727,825,88852,210,10121,312,30899,1349,224285
2020-07-28,1482,78175,18,1745,2330,91182,210,10121,1425,32324,4174,228459
2020-07-29,1723,79898,21,1766,2011,93193,210,10121,1312,33636,4505,232964
2020-07-30,1210,81108,19,1785,1495,94688,210,10121,952,34588,3507,236471
2020-07-31,1686,82794,26,1811,2065,96753,210,10121,1383,35971,4778,241249
2020-08-01,667,83461,22,1833,9712,106465,210,10121,208,36179,1879,243128
2020-08-02,547,84008,17,1850,15,106480,210,10121,499,36678,757,243885
2020-08-03,203,84211,20,1870,12,106492,210,10121,229,36907,646,244531
2020-08-04,1549,85760,31,1901,8,106500,210,10121,1647,38554,5012,249543
2020-08-05,1311,87071,21,1922,13,106513,210,10121,1540,40094,3208,252751
