Unnamed: 0,Date,Gas Price,Price,Change %
94,2013-03-01,11.36,4.74,-1.25%
95,2013-04-01,11.64,3.07,-35.23%
96,2013-05-01,11.41,3.91,27.36%
97,2013-06-01,11.32,4.18,6.91%
98,2013-07-01,10.98,4.31,3.11%
99,2013-08-01,10.97,4.55,5.57%
100,2013-09-01,10.96,5.02,10.33%
101,2013-10-01,10.93,4.8,-4.38%
102,2013-11-01,10.96,4.36,-9.17%
103,2013-12-01,10.99,4.83,10.78%
104,2014-01-01,10.9,5.5,13.87%
105,2014-02-01,10.83,7.06,28.36%
106,2014-03-01,10.69,4.64,-34.28%
107,2014-04-01,10.79,5.4,16.38%
108,2014-05-01,10.64,5.05,-6.48%
109,2014-06-01,10.52,5.81,15.05%
110,2014-07-01,9.4,6.19,6.54%
111,2014-08-01,10.38,6.38,3.07%
112,2014-09-01,10.4,5.82,-8.78%
113,2014-10-01,10.4,6.34,8.93%
114,2014-11-01,10.16,7.04,11.04%
115,2014-12-01,10.45,7.25,2.98%
116,2015-01-01,9.5,7.08,-2.34%
117,2015-02-01,9.29,7.1,0.28%
118,2015-03-01,9.29,6.92,-2.54%
119,2015-04-01,7.39,7.39,6.79%
120,2015-05-01,7.37,7.32,-0.95%
121,2015-06-01,7.3,7.42,1.37%
122,2015-07-01,6.68,7.85,5.80%
123,2015-08-01,6.66,8.05,2.55%
124,2015-09-01,6.49,8.13,0.99%
125,2015-10-01,6.01,8.63,6.15%
126,2015-11-01,5.87,8.58,-0.58%
127,2015-12-01,5.81,8.22,-4.20%
128,2016-01-01,5.09,6.04,-26.52%
129,2016-02-01,4.79,4.99,-17.38%
130,2016-03-01,4.09,5.2,4.21%
131,2016-04-01,4.02,6.17,18.65%
132,2016-05-01,3.99,6.08,-1.46%
133,2016-06-01,4.04,4.46,-26.64%
134,2016-07-01,4.3,4.41,-1.12%
135,2016-08-01,4.25,4.46,1.13%
136,2016-09-01,3.96,4.96,11.21%
137,2016-10-01,4.01,5.9,18.95%
138,2016-11-01,4.54,4.58,-22.37%
139,2016-12-01,5.16,6.54,42.79%
140,2017-01-01,6.27813985858586,5.69,-13.00%
141,2017-02-01,6.10029830555555,5.57,-2.11%
142,2017-03-01,4.94502034782608,5.04,-9.52%
143,2017-04-01,5.03512731388889,4.94,-1.98%
144,2017-05-01,5.07717077404447,5.35,8.30%
145,2017-06-01,4.98381825297843,5.42,1.31%
146,2017-07-01,5.09602758292347,5.73,5.72%
147,2017-08-01,5.53605864288667,6.54,14.14%
148,2017-09-01,6.04060639329964,7.59,16.06%
149,2017-10-01,5.8925193535705,7.81,2.90%
150,2017-11-01,6.73403752405179,7.97,2.05%
151,2017-12-01,7.20979162558986,8.6,7.90%
152,2018-01-01,6.6483033104452,9.85,14.53%
153,2018-02-01,7.84103556202786,10.73,8.93%
154,2018-03-01,8.53636130051361,14.04,30.85%
155,2018-04-01,7.06473256709682,14.6,3.99%
156,2018-05-01,7.46086307392455,16.16,10.68%
157,2018-06-01,7.50442301005288,16.51,2.17%
158,2018-07-01,7.62106268282328,19.34,17.14%
159,2018-08-01,8.10411407925839,23.2,19.96%
160,2018-09-01,9.51888018341773,24.63,6.16%
161,2018-10-01,8.59591459921168,18.49,-24.93%
162,2018-11-01,8.20449016673927,22.7,22.77%
163,2018-12-01,7.89294582141602,27.06,19.21%
164,2019-01-01,7.16106495279494,23.9,-11.68%
165,2019-02-01,5.98633856004478,23.13,-3.22%
166,2019-03-01,5.19718007325235,22.82,-1.34%
167,2019-04-01,4.95324985018727,27.43,20.20%
168,2019-05-01,4.36018288772047,25.45,-7.22%
169,2019-06-01,3.4830359995733,27.5,8.06%
170,2019-07-01,3.59594390863893,29.38,6.84%
171,2019-08-01,3.27019667685218,27.37,-6.84%
172,2019-09-01,3.08680458622908,25.76,-5.88%
173,2019-10-01,3.33972424571811,26.35,2.29%
174,2019-11-01,4.78101952320268,25.94,-1.56%
175,2019-12-01,4.24354874414172,25.18,-2.93%
176,2020-01-01,3.62626971086415,24.31,-3.46%
177,2020-02-01,2.99547720316124,24.02,-1.19%
178,2020-03-01,2.78982367083096,18.42,-23.31%
179,2020-04-01,2.08388220243467,20.39,10.69%
180,2020-05-01,1.46261232047386,22.18,8.78%
181,2020-06-01,1.64729998235994,27.68,24.80%
182,2020-07-01,1.64086282218474,27.22,-1.66%
183,2020-08-01,2.61156554603956,29.53,8.49%
184,2020-09-01,3.85499557430583,27.5,-6.87%
185,2020-10-01,4.81382163501778,24.19,-12.04%
186,2020-11-01,4.78350794364508,29.6,22.36%
187,2020-12-01,5.82863918292304,32.94,11.28%
188,2021-01-01,7.3028206615582,33.18,0.73%
189,2021-02-01,6.17134082863617,37.6,13.32%
190,2021-03-01,6.2051973852943,42.89,14.07%
191,2021-04-01,7.28272360640966,49.31,14.97%
192,2021-05-01,9.00470403539613,52.24,5.94%
193,2021-06-01,10.3241391134511,56.78,8.69%
194,2021-07-01,12.5242466046791,53.69,-5.44%
195,2021-08-01,15.2790291163123,61.07,13.75%
196,2021-09-01,22.2328272437545,62.16,1.78%
197,2021-10-01,29.8141428882624,59.08,-4.95%
198,2021-11-01,27.383826081171,75.73,28.18%
199,2021-12-01,37.3633630624997,80.65,6.50%
200,2022-01-01,27.8909447947364,89.24,10.65%
201,2022-02-01,26.9842813404776,82.21,-7.88%
202,2022-03-01,41.727688313072,76.48,-6.97%
203,2022-04-01,31.989874304408,84.45,10.42%
204,2022-05-01,27.4641664315955,84.02,-0.51%
205,2022-06-01,32.9126072213829,90.16,7.31%
206,2022-07-01,51.1459125230765,78.55,-12.88%
207,2022-08-01,69.9772393267167,80.03,1.88%
208,2022-09-01,55.1791274012054,66.73,-16.62%
209,2022-10-01,20.8066368517553,79.97,19.84%
