Year,Country,Value 1,Value 2
2014,North Korea,65.1442061,-4.1
2015,North Korea,65.03155626,-4.2
2016,North Korea,64.87911457,-4.5
2017,North Korea,64.78309917,-4.6
2018,North Korea,64.67391304,-4.8
1990,Tanzania,64.78890269,0.0
1991,Tanzania,64.36894333,-0.7
1992,Tanzania,63.94898397,-1.3
1993,Tanzania,63.52902461,-1.9
1994,Tanzania,63.10906525,-2.6
1995,Tanzania,62.68910589,-3.2
1996,Tanzania,62.26914653,-3.9
1997,Tanzania,61.84918718,-4.5
1998,Tanzania,61.42922782,-5.2
1999,Tanzania,61.00926846,-5.8
2000,Tanzania,60.5893091,-6.5
2001,Tanzania,60.16934974,-7.1
2002,Tanzania,59.74939038,-7.8
2003,Tanzania,59.32943102,-8.4
2004,Tanzania,58.90947166,-9.1
2005,Tanzania,58.48951231,-9.7
2006,Tanzania,58.06955295,-10.4
2007,Tanzania,57.64959359,-11.0
2008,Tanzania,57.22963423,-11.7
2009,Tanzania,56.80967487,-12.3
2010,Tanzania,56.38971551,-13.0
2011,Tanzania,55.96975389,-13.6
2012,Tanzania,55.54979228,-14.3
2013,Tanzania,55.12983066,-14.9
2014,Tanzania,54.70986904,-15.6
2015,Tanzania,54.28990743,-16.2
2016,Tanzania,53.76044254,-17.0
2017,Tanzania,53.23097765,-17.8
2018,Tanzania,52.70151276,-18.7
1990,Paraguay,64.298666,0.0
1991,Paraguay,63.65577397,-1.0
1992,Paraguay,63.01288195,-2.0
1993,Paraguay,62.36998993,-3.0
1994,Paraguay,61.72709791,-4.0
1995,Paraguay,61.08420589,-5.0
1996,Paraguay,60.44131387,-6.0
1997,Paraguay,59.79842185,-7.0
1998,Paraguay,59.15552983,-8.0
1999,Paraguay,58.51263781,-9.0
2000,Paraguay,57.86974578,-10.0
2001,Paraguay,57.00857287,-11.3
2002,Paraguay,56.14739995,-12.7
2003,Paraguay,55.28622703,-14.0
2004,Paraguay,54.42505412,-15.4
2005,Paraguay,53.5638812,-16.7
2006,Paraguay,52.70270828,-18.0
2007,Paraguay,51.84153536,-19.4
2008,Paraguay,50.98036245,-20.7
2009,Paraguay,50.11918953,-22.1
2010,Paraguay,49.25801661,-23.4
2011,Paraguay,48.21534357,-25.0
2012,Paraguay,47.17267053,-26.6
2013,Paraguay,46.12999748,-28.3
2014,Paraguay,45.08732444,-29.9
2015,Paraguay,44.0446514,-31.5
2016,Paraguay,43.62730934,-32.2
2017,Paraguay,42.63848477,-33.7
2018,Paraguay,41.93538887,-34.8
