Year,WORLD,Democratic Republic of the Congo,India,China,Japan,S Korea,Indonesia,Brazil,Chile,Russia,UK,Italy,Spain,France,Canada,US
2047,0.22988522,1.039884792,0.180500688,-0.013871201,-0.145880651,-0.066483895,0.199179781,0.079654968,0.06290604,-0.063337426,0.085041093,-0.084462828,-0.054490446,0.036581255,0.193365048,0.135421838
2048,0.236383088,1.083647818,0.183184034,-0.017616969,-0.151768252,-0.072908261,0.202974273,0.079068135,0.063133491,-0.065334658,0.08722113,-0.089631279,-0.058314954,0.036292164,0.198966795,0.13907622
2049,0.242726141,1.127545488,0.185617151,-0.021545857,-0.15762248,-0.079607647,0.206506721,0.078267714,0.063140553,-0.067307824,0.089301117,-0.095003495,-0.062370646,0.035907843,0.204522174,0.142687777
2050,0.248914082,1.171567822,0.187804947,-0.025649967,-0.163448877,-0.086587278,0.209784628,0.077253654,0.062935805,-0.069277496,0.091270345,-0.100561862,-0.066674997,0.035438832,0.210038234,0.146272093
2051,0.254947318,1.215694687,0.189752324,-0.029921039,-0.169246699,-0.093837774,0.212812754,0.076028519,0.062526623,-0.07125289,0.09312681,-0.106295231,-0.071231878,0.034893725,0.215522314,0.149838022
2052,0.260826069,1.259902748,0.191461588,-0.034349121,-0.175022707,-0.101337484,0.215596067,0.074595258,0.061918762,-0.073240282,0.094873871,-0.112196641,-0.076036627,0.034278943,0.2209879,0.153393949
2053,0.266549901,1.304175725,0.19293138,-0.038921859,-0.180798912,-0.109062553,0.218142557,0.072954437,0.061113059,-0.075253549,0.096515653,-0.118256034,-0.081082849,0.033601532,0.226453061,0.156954162
2054,0.27211819,1.34849744,0.194158232,-0.043625449,-0.186603621,-0.11698433,0.220461263,0.071106102,0.060107577,-0.077307169,0.098059255,-0.124463703,-0.086360833,0.03286739,0.231939367,0.160533749
2055,0.277531222,1.392850452,0.195139664,-0.048446105,-0.192458536,-0.125073731,0.222560855,0.069050865,0.058903258,-0.079411696,0.099512751,-0.130806779,-0.091857682,0.032083382,0.237464356,0.164144325
2056,0.282789398,1.437215879,0.195876563,-0.053373552,-0.198368727,-0.133313983,0.224448085,0.066790918,0.05750659,-0.081571727,0.100878879,-0.137269684,-0.097565205,0.031256798,0.243034626,0.167792184
2057,0.287894866,1.481572732,0.196370667,-0.058395832,-0.204332375,-0.141683026,0.226129918,0.064329244,0.055923902,-0.083787421,0.102164269,-0.143831311,-0.103469371,0.030396603,0.248655025,0.171478722
2058,0.292851609,1.525897997,0.196621087,-0.063495246,-0.210353693,-0.150137403,0.227615494,0.061668195,0.054167225,-0.086057474,0.103382783,-0.150464025,-0.109546161,0.029513212,0.254338776,0.175203541
2059,0.297664855,1.57016777,0.196626582,-0.068652152,-0.216435315,-0.158626889,0.22891472,0.058810626,0.052245348,-0.088378208,0.104550814,-0.157137293,-0.115765974,0.028618653,0.260099072,0.178963418
2060,0.30233891,1.614358625,0.196386432,-0.073849362,-0.222576236,-0.167109919,0.230036498,0.055759494,0.050169989,-0.090743948,0.105684067,-0.163821428,-0.122101305,0.027722915,0.265944127,0.182754566
2061,0.306876234,1.658446835,0.195902667,-0.079076191,-0.228774765,-0.175561721,0.230988303,0.05251863,0.047947164,-0.093150973,0.106787608,-0.170498269,-0.128530508,0.026831803,0.271878261,0.186575529
2062,0.311278122,1.702411041,0.195176631,-0.084323895,-0.235022719,-0.183969345,0.231776264,0.049091998,0.04558362,-0.0955915,0.107867669,-0.177146678,-0.135033907,0.025951767,0.277896412,0.190423112
2063,0.315546348,1.746231636,0.19420636,-0.089580346,-0.241303975,-0.192316347,0.232406732,0.045482936,0.043089349,-0.098051207,0.108937418,-0.183730651,-0.141586627,0.025093655,0.283984432,0.194288969
2064,0.319682356,1.789890286,0.192989039,-0.094833639,-0.247597343,-0.200589894,0.232885543,0.04169528,0.040477639,-0.100511887,0.110012146,-0.190209697,-0.148163216,0.024269615,0.290122131,0.198162346
2065,0.323687715,1.833365899,0.19152414,-0.100074217,-0.253882814,-0.208779824,0.233218395,0.037733159,0.037757382,-0.102956368,0.111102636,-0.196550673,-0.154737409,0.023488563,0.296291969,0.202032967
2066,0.3275645,1.876636067,0.189814698,-0.105293791,-0.26014911,-0.216871468,0.233410342,0.033601914,0.034935954,-0.105375269,0.11221531,-0.202734856,-0.16128752,0.022756122,0.302488567,0.205895867
2067,0.33131479,1.919673702,0.187866785,-0.110488344,-0.266384128,-0.224854451,0.23346697,0.029307665,0.032017331,-0.107757462,0.113349432,-0.208752785,-0.167788823,0.022072001,0.308707051,0.209744474
2068,0.334940246,1.96244878,0.18568718,-0.115658664,-0.272565729,-0.232729104,0.233394841,0.024857436,0.029004339,-0.110082252,0.114498903,-0.214593164,-0.174208679,0.021432277,0.314930993,0.213565075
2069,0.338442402,2.004928317,0.183284292,-0.120808598,-0.278668485,-0.240500985,0.233200989,0.020259136,0.025897917,-0.112325985,0.115652013,-0.220248617,-0.180511671,0.020830103,0.321141158,0.217341534
2070,0.341822908,2.047081185,0.180666941,-0.125940775,-0.284670361,-0.24817304,0.232890943,0.015520508,0.022699637,-0.114469043,0.116800364,-0.225714611,-0.186666464,0.020259612,0.327322336,0.221060942
2071,0.345083462,2.088877995,0.177841524,-0.131051924,-0.290561529,-0.25574209,0.232468533,0.010649427,0.019413473,-0.116501065,0.117943501,-0.230985656,-0.192655156,0.019718473,0.333466871,0.22471701
2072,0.348226012,2.130292888,0.174816362,-0.136138684,-0.296331741,-0.26320201,0.231935903,0.005653478,0.016045441,-0.118415657,0.119082028,-0.236060147,-0.198460615,0.019206167,0.339572616,0.228306911
2073,0.351252704,2.171303121,0.171604908,-0.141203614,-0.301959705,-0.270548684,0.231294887,0.000540465,0.012594443,-0.120202151,0.120208548,-0.240944816,-0.20405615,0.018718971,0.345637294,0.231825968
2074,0.354165819,2.211887065,0.168222735,-0.146250705,-0.307422066,-0.277777803,0.230546359,-0.004681501,0.009058961,-0.121851097,0.121313828,-0.245651207,-0.209412992,0.018253423,0.351661327,0.235270505
2075,0.356967455,2.252021138,0.16468375,-0.15128189,-0.312702653,-0.284886088,0.229690832,-0.010003777,0.005440305,-0.123355656,0.122391546,-0.25019055,-0.214510652,0.017805216,0.357645192,0.238638548
2076,0.35965976,2.291684708,0.160998339,-0.156295674,-0.317791347,-0.291871864,0.228729946,-0.015418739,0.001740669,-0.124712251,0.123439966,-0.254566948,-0.219339891,0.017372606,0.363588785,0.241928138
2077,0.362244399,2.330846633,0.15717447,-0.161287584,-0.322691556,-0.298734563,0.227664096,-0.020916788,-0.002034033,-0.125921198,0.124461782,-0.258788123,-0.223900451,0.01695144,0.369491786,0.245140021
2078,0.36472245,2.369459103,0.153220768,-0.166252708,-0.327418396,-0.305476255,0.226490717,-0.026484647,-0.005873706,-0.126986649,0.125459307,-0.262872436,-0.228193509,0.01653107,0.375357958,0.248278661
2079,0.367094726,2.40746687,0.149145091,-0.171184727,-0.331995145,-0.312099844,0.225205906,-0.032107527,-0.009768202,-0.127915977,0.126437726,-0.266842643,-0.232226359,0.016098429,0.381191382,0.251350781
2080,0.36936242,2.444825307,0.144955631,-0.176077462,-0.33644119,-0.318607691,0.223806773,-0.037772461,-0.013706902,-0.128716939,0.127401975,-0.270718279,-0.236008132,0.015644033,0.386998364,0.254362773
2081,0.371526541,2.481506465,0.140659835,-0.180928216,-0.340762587,-0.324999932,0.222293229,-0.043470139,-0.01768405,-0.129395209,0.128353438,-0.274509596,-0.239543578,0.015162981,0.392783009,0.257318353
2082,0.373589338,2.517498911,0.136266871,-0.185732661,-0.344960135,-0.331276256,0.220665911,-0.049193452,-0.021695306,-0.129957763,0.129294604,-0.278223841,-0.242845443,0.014656175,0.398550989,0.260221121
2083,0.375554616,2.55279666,0.131788289,-0.190480858,-0.349041859,-0.337438067,0.218922822,-0.054934891,-0.02573549,-0.130416579,0.130236433,-0.281871696,-0.245945019,0.01412815,0.404308715,0.26307776
2084,0.377426899,2.587401298,0.127236625,-0.195160944,-0.353015515,-0.343486652,0.217061915,-0.060687664,-0.029802091,-0.130785792,0.131191755,-0.285463317,-0.248882558,0.013587227,0.410064533,0.265895919
2085,0.379209743,2.621312111,0.122622331,-0.19976365,-0.356888924,-0.34942359,0.215081958,-0.066445221,-0.03389014,-0.131079842,0.132170896,-0.289007835,-0.251693137,0.013038964,0.415825889,0.268683021
2086,0.380904677,2.654517765,0.117953848,-0.204287056,-0.360668339,-0.355245548,0.212983203,-0.072201015,-0.037995347,-0.131307787,0.133177024,-0.292512095,-0.254393395,0.012482981,0.421598585,0.271443427
2087,0.382511902,2.687004661,0.11323571,-0.208730712,-0.36436082,-0.360951822,0.210767486,-0.077948509,-0.042109709,-0.131481495,0.134210963,-0.295981557,-0.256996573,0.011917085,0.427389537,0.274182832
2088,0.384031753,2.718769605,0.108469373,-0.213089267,-0.367975185,-0.366548576,0.208437333,-0.083682294,-0.046225431,-0.131620982,0.135274673,-0.299420802,-0.259528143,0.011343254,0.433216602,0.276910973
2089,0.385464044,2.749811381,0.10365403,-0.217357196,-0.371520722,-0.372043397,0.205996238,-0.089397308,-0.05033294,-0.13174917,0.136369818,-0.302833219,-0.262015011,0.010764029,0.439100314,0.279639114
2090,0.386808393,2.780128056,0.098790261,-0.221532397,-0.375005299,-0.377439875,0.203447533,-0.095089035,-0.054424285,-0.131885498,0.137496353,-0.306221208,-0.264479037,0.010180408,0.445056254,0.282376216
2091,0.388064403,2.809715321,0.093881407,-0.225617381,-0.378434815,-0.382735024,0.200794344,-0.100753065,-0.058493135,-0.132043878,0.138653617,-0.309586042,-0.266936219,0.009591563,0.451092846,0.285127841
2092,0.389231632,2.838566968,0.088933047,-0.229618858,-0.381813578,-0.387919913,0.198039372,-0.106385453,-0.062533999,-0.132232846,0.139839532,-0.312928547,-0.269397015,0.00899492,0.457213005,0.287896625
2093,0.390309417,2.86667604,0.083951966,-0.233546713,-0.385144554,-0.39298153,0.195185391,-0.11198265,-0.066542901,-0.132458427,0.141051048,-0.316247484,-0.27186688,0.008387185,0.463414584,0.290683195
2094,0.391296835,2.894035839,0.078944987,-0.237412901,-0.388430074,-0.397905405,0.192235485,-0.117541351,-0.070516283,-0.132725156,0.142283791,-0.319541745,-0.274349536,0.007763639,0.469694353,0.293487272
2095,0.392192476,2.92064086,0.073917817,-0.241230347,-0.39167237,-0.402676731,0.189193346,-0.12305881,-0.074448077,-0.133038591,0.143533047,-0.322808169,-0.276848381,0.007119488,0.476049607,0.29630886
2096,0.392994478,2.946487105,0.068874676,-0.245012585,-0.394873803,-0.407281446,0.186063342,-0.128532809,-0.078335982,-0.133405825,0.144792084,-0.326042838,-0.279366113,0.006450626,0.482479605,0.299148463
2097,0.393700486,2.971572297,0.063818057,-0.248773562,-0.398036953,-0.411706268,0.182850541,-0.133961541,-0.082173197,-0.133835744,0.146054067,-0.329240459,-0.281906238,0.005752073,0.488985937,0.302007449
2098,0.394307668,2.995896067,0.05874868,-0.252527559,-0.401164539,-0.415939454,0.179560796,-0.139343749,-0.085953287,-0.134339443,0.147310615,-0.332394929,-0.284472585,0.005019662,0.495571808,0.304888
2099,0.394812684,3.019459845,0.053665554,-0.256289259,-0.404259574,-0.419969614,0.176200771,-0.144678592,-0.089670081,-0.134929687,0.148552506,-0.335498771,-0.287069475,0.004249044,0.502243446,0.307793055
2100,0.395211614,3.042266711,0.048565952,-0.26007374,-0.407325449,-0.423787327,0.172777784,-0.149965824,-0.093317352,-0.135621217,0.14976959,-0.338542824,-0.289701419,0.003435712,0.509008189,0.310726349
