Unnamed: 0,Week,Trend,Value
330,16/02/2020,Housing Crash,5
331,16/02/2020,Housing Bubble,0
332,16/02/2020,Property Market Crash,0
333,23/02/2020,Housing Crash,7
334,23/02/2020,Housing Bubble,28
335,23/02/2020,Property Market Crash,26
336,01/03/2020,Housing Crash,3
337,01/03/2020,Housing Bubble,0
338,01/03/2020,Property Market Crash,0
339,08/03/2020,Housing Crash,9
340,08/03/2020,Housing Bubble,40
341,08/03/2020,Property Market Crash,54
342,15/03/2020,Housing Crash,29
343,15/03/2020,Housing Bubble,0
344,15/03/2020,Property Market Crash,27
345,22/03/2020,Housing Crash,24
346,22/03/2020,Housing Bubble,25
347,22/03/2020,Property Market Crash,24
348,29/03/2020,Housing Crash,13
349,29/03/2020,Housing Bubble,32
350,29/03/2020,Property Market Crash,22
351,05/04/2020,Housing Crash,18
352,05/04/2020,Housing Bubble,22
353,05/04/2020,Property Market Crash,31
354,12/04/2020,Housing Crash,18
355,12/04/2020,Housing Bubble,49
356,12/04/2020,Property Market Crash,18
357,19/04/2020,Housing Crash,13
358,19/04/2020,Housing Bubble,0
359,19/04/2020,Property Market Crash,0
360,26/04/2020,Housing Crash,8
361,26/04/2020,Housing Bubble,24
362,26/04/2020,Property Market Crash,22
363,03/05/2020,Housing Crash,13
364,03/05/2020,Housing Bubble,17
365,03/05/2020,Property Market Crash,26
366,10/05/2020,Housing Crash,13
367,10/05/2020,Housing Bubble,0
368,10/05/2020,Property Market Crash,0
369,17/05/2020,Housing Crash,12
370,17/05/2020,Housing Bubble,21
371,17/05/2020,Property Market Crash,14
372,24/05/2020,Housing Crash,9
373,24/05/2020,Housing Bubble,0
374,24/05/2020,Property Market Crash,38
375,31/05/2020,Housing Crash,6
376,31/05/2020,Housing Bubble,37
377,31/05/2020,Property Market Crash,15
378,07/06/2020,Housing Crash,8
379,07/06/2020,Housing Bubble,36
380,07/06/2020,Property Market Crash,12
381,14/06/2020,Housing Crash,8
382,14/06/2020,Housing Bubble,0
383,14/06/2020,Property Market Crash,0
384,21/06/2020,Housing Crash,6
385,21/06/2020,Housing Bubble,0
386,21/06/2020,Property Market Crash,21
387,28/06/2020,Housing Crash,2
388,28/06/2020,Housing Bubble,20
389,28/06/2020,Property Market Crash,22
390,05/07/2020,Housing Crash,14
391,05/07/2020,Housing Bubble,38
392,05/07/2020,Property Market Crash,58
393,12/07/2020,Housing Crash,7
394,12/07/2020,Housing Bubble,0
395,12/07/2020,Property Market Crash,14
396,19/07/2020,Housing Crash,7
397,19/07/2020,Housing Bubble,0
398,19/07/2020,Property Market Crash,0
399,26/07/2020,Housing Crash,5
400,26/07/2020,Housing Bubble,0
401,26/07/2020,Property Market Crash,15
402,02/08/2020,Housing Crash,5
403,02/08/2020,Housing Bubble,0
404,02/08/2020,Property Market Crash,31
405,09/08/2020,Housing Crash,7
406,09/08/2020,Housing Bubble,0
407,09/08/2020,Property Market Crash,18
408,16/08/2020,Housing Crash,15
409,16/08/2020,Housing Bubble,38
410,16/08/2020,Property Market Crash,28
411,23/08/2020,Housing Crash,8
412,23/08/2020,Housing Bubble,28
413,23/08/2020,Property Market Crash,0
414,30/08/2020,Housing Crash,4
415,30/08/2020,Housing Bubble,0
416,30/08/2020,Property Market Crash,54
417,06/09/2020,Housing Crash,16
418,06/09/2020,Housing Bubble,0
419,06/09/2020,Property Market Crash,38
420,13/09/2020,Housing Crash,9
421,13/09/2020,Housing Bubble,0
422,13/09/2020,Property Market Crash,32
423,20/09/2020,Housing Crash,10
424,20/09/2020,Housing Bubble,0
425,20/09/2020,Property Market Crash,57
426,27/09/2020,Housing Crash,5
427,27/09/2020,Housing Bubble,0
428,27/09/2020,Property Market Crash,0
429,04/10/2020,Housing Crash,10
430,04/10/2020,Housing Bubble,0
431,04/10/2020,Property Market Crash,0
432,11/10/2020,Housing Crash,10
433,11/10/2020,Housing Bubble,89
434,11/10/2020,Property Market Crash,25
435,18/10/2020,Housing Crash,11
436,18/10/2020,Housing Bubble,0
437,18/10/2020,Property Market Crash,46
438,25/10/2020,Housing Crash,14
439,25/10/2020,Housing Bubble,35
440,25/10/2020,Property Market Crash,45
441,01/11/2020,Housing Crash,10
442,01/11/2020,Housing Bubble,40
443,01/11/2020,Property Market Crash,0
444,08/11/2020,Housing Crash,4
445,08/11/2020,Housing Bubble,21
446,08/11/2020,Property Market Crash,26
447,15/11/2020,Housing Crash,7
448,15/11/2020,Housing Bubble,0
449,15/11/2020,Property Market Crash,0
450,22/11/2020,Housing Crash,7
451,22/11/2020,Housing Bubble,55
452,22/11/2020,Property Market Crash,0
453,29/11/2020,Housing Crash,6
454,29/11/2020,Housing Bubble,69
455,29/11/2020,Property Market Crash,20
456,06/12/2020,Housing Crash,6
457,06/12/2020,Housing Bubble,0
458,06/12/2020,Property Market Crash,0
459,13/12/2020,Housing Crash,6
460,13/12/2020,Housing Bubble,0
461,13/12/2020,Property Market Crash,0
462,20/12/2020,Housing Crash,3
463,20/12/2020,Housing Bubble,57
464,20/12/2020,Property Market Crash,28
465,27/12/2020,Housing Crash,15
466,27/12/2020,Housing Bubble,0
467,27/12/2020,Property Market Crash,0
468,03/01/2021,Housing Crash,14
469,03/01/2021,Housing Bubble,0
470,03/01/2021,Property Market Crash,0
471,10/01/2021,Housing Crash,13
472,10/01/2021,Housing Bubble,21
473,10/01/2021,Property Market Crash,0
474,17/01/2021,Housing Crash,9
475,17/01/2021,Housing Bubble,14
476,17/01/2021,Property Market Crash,0
477,24/01/2021,Housing Crash,11
478,24/01/2021,Housing Bubble,0
479,24/01/2021,Property Market Crash,17
480,31/01/2021,Housing Crash,6
481,31/01/2021,Housing Bubble,35
482,31/01/2021,Property Market Crash,28
483,07/02/2021,Housing Crash,6
484,07/02/2021,Housing Bubble,32
485,07/02/2021,Property Market Crash,0
486,14/02/2021,Housing Crash,5
487,14/02/2021,Housing Bubble,0
488,14/02/2021,Property Market Crash,0
489,21/02/2021,Housing Crash,7
490,21/02/2021,Housing Bubble,30
491,21/02/2021,Property Market Crash,0
492,28/02/2021,Housing Crash,8
493,28/02/2021,Housing Bubble,48
494,28/02/2021,Property Market Crash,28
495,07/03/2021,Housing Crash,7
496,07/03/2021,Housing Bubble,0
497,07/03/2021,Property Market Crash,0
498,14/03/2021,Housing Crash,6
499,14/03/2021,Housing Bubble,0
500,14/03/2021,Property Market Crash,23
501,21/03/2021,Housing Crash,7
502,21/03/2021,Housing Bubble,31
503,21/03/2021,Property Market Crash,32
504,28/03/2021,Housing Crash,9
505,28/03/2021,Housing Bubble,0
506,28/03/2021,Property Market Crash,0
507,04/04/2021,Housing Crash,9
508,04/04/2021,Housing Bubble,0
509,04/04/2021,Property Market Crash,26
510,11/04/2021,Housing Crash,13
511,11/04/2021,Housing Bubble,0
512,11/04/2021,Property Market Crash,22
513,18/04/2021,Housing Crash,12
514,18/04/2021,Housing Bubble,89
515,18/04/2021,Property Market Crash,0
516,25/04/2021,Housing Crash,5
517,25/04/2021,Housing Bubble,17
518,25/04/2021,Property Market Crash,0
519,02/05/2021,Housing Crash,8
520,02/05/2021,Housing Bubble,63
521,02/05/2021,Property Market Crash,0
522,09/05/2021,Housing Crash,4
523,09/05/2021,Housing Bubble,49
524,09/05/2021,Property Market Crash,0
525,16/05/2021,Housing Crash,7
526,16/05/2021,Housing Bubble,0
527,16/05/2021,Property Market Crash,27
528,23/05/2021,Housing Crash,13
529,23/05/2021,Housing Bubble,30
530,23/05/2021,Property Market Crash,0
531,30/05/2021,Housing Crash,10
532,30/05/2021,Housing Bubble,48
533,30/05/2021,Property Market Crash,0
534,06/06/2021,Housing Crash,16
535,06/06/2021,Housing Bubble,0
536,06/06/2021,Property Market Crash,0
537,13/06/2021,Housing Crash,9
538,13/06/2021,Housing Bubble,0
539,13/06/2021,Property Market Crash,30
540,20/06/2021,Housing Crash,14
541,20/06/2021,Housing Bubble,50
542,20/06/2021,Property Market Crash,23
543,27/06/2021,Housing Crash,12
544,27/06/2021,Housing Bubble,0
545,27/06/2021,Property Market Crash,0
546,04/07/2021,Housing Crash,4
547,04/07/2021,Housing Bubble,35
548,04/07/2021,Property Market Crash,0
549,11/07/2021,Housing Crash,8
550,11/07/2021,Housing Bubble,33
551,11/07/2021,Property Market Crash,0
552,18/07/2021,Housing Crash,4
553,18/07/2021,Housing Bubble,38
554,18/07/2021,Property Market Crash,0
555,25/07/2021,Housing Crash,17
556,25/07/2021,Housing Bubble,0
557,25/07/2021,Property Market Crash,0
558,01/08/2021,Housing Crash,8
559,01/08/2021,Housing Bubble,0
560,01/08/2021,Property Market Crash,33
561,08/08/2021,Housing Crash,11
562,08/08/2021,Housing Bubble,0
563,08/08/2021,Property Market Crash,37
564,15/08/2021,Housing Crash,6
565,15/08/2021,Housing Bubble,29
566,15/08/2021,Property Market Crash,0
567,22/08/2021,Housing Crash,11
568,22/08/2021,Housing Bubble,44
569,22/08/2021,Property Market Crash,0
570,29/08/2021,Housing Crash,9
571,29/08/2021,Housing Bubble,0
572,29/08/2021,Property Market Crash,0
573,05/09/2021,Housing Crash,10
574,05/09/2021,Housing Bubble,0
575,05/09/2021,Property Market Crash,0
576,12/09/2021,Housing Crash,11
577,12/09/2021,Housing Bubble,47
578,12/09/2021,Property Market Crash,0
579,19/09/2021,Housing Crash,9
580,19/09/2021,Housing Bubble,61
581,19/09/2021,Property Market Crash,0
582,26/09/2021,Housing Crash,10
583,26/09/2021,Housing Bubble,72
584,26/09/2021,Property Market Crash,20
585,03/10/2021,Housing Crash,9
586,03/10/2021,Housing Bubble,0
587,03/10/2021,Property Market Crash,40
588,10/10/2021,Housing Crash,9
589,10/10/2021,Housing Bubble,17
590,10/10/2021,Property Market Crash,0
591,17/10/2021,Housing Crash,23
592,17/10/2021,Housing Bubble,0
593,17/10/2021,Property Market Crash,0
594,24/10/2021,Housing Crash,5
595,24/10/2021,Housing Bubble,0
596,24/10/2021,Property Market Crash,0
597,31/10/2021,Housing Crash,10
598,31/10/2021,Housing Bubble,34
599,31/10/2021,Property Market Crash,0
600,07/11/2021,Housing Crash,5
601,07/11/2021,Housing Bubble,22
602,07/11/2021,Property Market Crash,0
603,14/11/2021,Housing Crash,14
604,14/11/2021,Housing Bubble,36
605,14/11/2021,Property Market Crash,0
606,21/11/2021,Housing Crash,7
607,21/11/2021,Housing Bubble,0
608,21/11/2021,Property Market Crash,0
609,28/11/2021,Housing Crash,15
610,28/11/2021,Housing Bubble,17
611,28/11/2021,Property Market Crash,38
612,05/12/2021,Housing Crash,6
613,05/12/2021,Housing Bubble,33
614,05/12/2021,Property Market Crash,0
615,12/12/2021,Housing Crash,6
616,12/12/2021,Housing Bubble,0
617,12/12/2021,Property Market Crash,0
618,19/12/2021,Housing Crash,2
619,19/12/2021,Housing Bubble,23
620,19/12/2021,Property Market Crash,29
621,26/12/2021,Housing Crash,11
622,26/12/2021,Housing Bubble,0
623,26/12/2021,Property Market Crash,32
624,02/01/2022,Housing Crash,14
625,02/01/2022,Housing Bubble,28
626,02/01/2022,Property Market Crash,19
627,09/01/2022,Housing Crash,8
628,09/01/2022,Housing Bubble,35
629,09/01/2022,Property Market Crash,24
630,16/01/2022,Housing Crash,14
631,16/01/2022,Housing Bubble,24
632,16/01/2022,Property Market Crash,25
633,23/01/2022,Housing Crash,13
634,23/01/2022,Housing Bubble,26
635,23/01/2022,Property Market Crash,42
636,30/01/2022,Housing Crash,20
637,30/01/2022,Housing Bubble,29
638,30/01/2022,Property Market Crash,0
639,06/02/2022,Housing Crash,22
640,06/02/2022,Housing Bubble,24
641,06/02/2022,Property Market Crash,76
642,13/02/2022,Housing Crash,9
643,13/02/2022,Housing Bubble,15
644,13/02/2022,Property Market Crash,0
645,20/02/2022,Housing Crash,14
646,20/02/2022,Housing Bubble,0
647,20/02/2022,Property Market Crash,0
648,27/02/2022,Housing Crash,15
649,27/02/2022,Housing Bubble,35
650,27/02/2022,Property Market Crash,0
651,06/03/2022,Housing Crash,16
652,06/03/2022,Housing Bubble,39
653,06/03/2022,Property Market Crash,40
654,13/03/2022,Housing Crash,16
655,13/03/2022,Housing Bubble,0
656,13/03/2022,Property Market Crash,30
657,20/03/2022,Housing Crash,18
658,20/03/2022,Housing Bubble,20
659,20/03/2022,Property Market Crash,0
660,27/03/2022,Housing Crash,14
661,27/03/2022,Housing Bubble,0
662,27/03/2022,Property Market Crash,21
663,03/04/2022,Housing Crash,31
664,03/04/2022,Housing Bubble,23
665,03/04/2022,Property Market Crash,54
666,10/04/2022,Housing Crash,24
667,10/04/2022,Housing Bubble,0
668,10/04/2022,Property Market Crash,0
669,17/04/2022,Housing Crash,20
670,17/04/2022,Housing Bubble,21
671,17/04/2022,Property Market Crash,0
672,24/04/2022,Housing Crash,24
673,24/04/2022,Housing Bubble,41
674,24/04/2022,Property Market Crash,39
675,01/05/2022,Housing Crash,24
676,01/05/2022,Housing Bubble,44
677,01/05/2022,Property Market Crash,0
678,08/05/2022,Housing Crash,36
679,08/05/2022,Housing Bubble,48
680,08/05/2022,Property Market Crash,73
681,15/05/2022,Housing Crash,28
682,15/05/2022,Housing Bubble,0
683,15/05/2022,Property Market Crash,75
684,22/05/2022,Housing Crash,28
685,22/05/2022,Housing Bubble,0
686,22/05/2022,Property Market Crash,93
687,29/05/2022,Housing Crash,18
688,29/05/2022,Housing Bubble,24
689,29/05/2022,Property Market Crash,17
690,05/06/2022,Housing Crash,26
691,05/06/2022,Housing Bubble,59
692,05/06/2022,Property Market Crash,43
693,12/06/2022,Housing Crash,29
694,12/06/2022,Housing Bubble,45
695,12/06/2022,Property Market Crash,39
696,19/06/2022,Housing Crash,23
697,19/06/2022,Housing Bubble,0
698,19/06/2022,Property Market Crash,29
699,26/06/2022,Housing Crash,100
700,26/06/2022,Housing Bubble,85
701,26/06/2022,Property Market Crash,83
702,03/07/2022,Housing Crash,28
703,03/07/2022,Housing Bubble,47
704,03/07/2022,Property Market Crash,48
705,10/07/2022,Housing Crash,28
706,10/07/2022,Housing Bubble,19
707,10/07/2022,Property Market Crash,32
708,17/07/2022,Housing Crash,22
709,17/07/2022,Housing Bubble,19
710,17/07/2022,Property Market Crash,20
711,24/07/2022,Housing Crash,27
712,24/07/2022,Housing Bubble,33
713,24/07/2022,Property Market Crash,42
714,31/07/2022,Housing Crash,27
715,31/07/2022,Housing Bubble,20
716,31/07/2022,Property Market Crash,62
717,07/08/2022,Housing Crash,21
718,07/08/2022,Housing Bubble,41
719,07/08/2022,Property Market Crash,45
720,14/08/2022,Housing Crash,37
721,14/08/2022,Housing Bubble,29
722,14/08/2022,Property Market Crash,52
723,21/08/2022,Housing Crash,28
724,21/08/2022,Housing Bubble,0
725,21/08/2022,Property Market Crash,58
726,28/08/2022,Housing Crash,78
727,28/08/2022,Housing Bubble,0
728,28/08/2022,Property Market Crash,19
729,04/09/2022,Housing Crash,20
730,04/09/2022,Housing Bubble,0
731,04/09/2022,Property Market Crash,20
732,11/09/2022,Housing Crash,22
733,11/09/2022,Housing Bubble,0
734,11/09/2022,Property Market Crash,0
735,18/09/2022,Housing Crash,10
736,18/09/2022,Housing Bubble,49
737,18/09/2022,Property Market Crash,40
738,25/09/2022,Housing Crash,80
739,25/09/2022,Housing Bubble,27
740,25/09/2022,Property Market Crash,100
741,02/10/2022,Housing Crash,54
742,02/10/2022,Housing Bubble,16
743,02/10/2022,Property Market Crash,93
744,09/10/2022,Housing Crash,40
745,09/10/2022,Housing Bubble,19
746,09/10/2022,Property Market Crash,50
747,16/10/2022,Housing Crash,62
