k,y,s,s1,s2,s3,d,a,y2_a,y2_b,y2,s2.1,a2
27,5.196152423,2.078460969,5.4,13.5,24.3,1.35,0.728460969,5.196152423,0.0,5.196152423,1.558845727,0.208845727
28,5.291502622,2.116601049,5.6,14.0,25.2,1.4,0.716601049,5.291502622,0.0,5.291502622,1.587450787,0.187450787
29,5.385164807,2.154065923,5.8,14.5,26.1,1.45,0.704065923,5.385164807,0.0,5.385164807,1.615549442,0.165549442
30,5.477225575,2.19089023,6.0,15.0,27.0,1.5,0.69089023,5.477225575,0.0,5.477225575,1.643167673,0.143167673
31,5.567764363,2.227105745,6.2,15.5,27.9,1.55,0.677105745,5.567764363,0.0,5.567764363,1.670329309,0.120329309
32,5.656854249,2.2627417,6.4,16.0,28.8,1.6,0.6627417,5.656854249,0.0,5.656854249,1.697056275,0.097056275
33,5.744562647,2.297825059,6.6,16.5,29.7,1.65,0.647825059,5.744562647,0.0,5.744562647,1.723368794,0.073368794
34,5.830951895,2.332380758,6.8,17.0,30.6,1.7,0.632380758,5.830951895,0.0,5.830951895,1.749285568,0.049285568
35,5.916079783,2.366431913,7.0,17.5,31.5,1.75,0.616431913,5.916079783,0.0,5.916079783,1.774823935,0.024823935
36,6.0,2.4,7.2,18.0,32.4,1.8,0.6,6.0,0.0,6.0,1.8,0.0
37,6.08276253,2.433105012,7.4,18.5,33.3,1.85,0.583105012,6.08276253,0.0,6.08276253,1.824828759,-0.025171241
38,6.164414003,2.465765601,7.6,19.0,34.2,1.9,0.565765601,6.164414003,0.0,6.164414003,1.849324201,-0.050675799
39,6.244997998,2.497999199,7.8,19.5,35.1,1.95,0.547999199,6.244997998,0.0,6.244997998,1.8734994,-0.0765006
40,6.32455532,2.529822128,8.0,20.0,36.0,2.0,0.529822128,6.32455532,0.0,6.32455532,1.897366596,-0.102633404
41,6.403124237,2.561249695,8.2,20.5,36.9,2.05,0.511249695,6.403124237,0.0,6.403124237,1.920937271,-0.129062729
42,6.480740698,2.592296279,8.4,21.0,37.8,2.1,0.492296279,6.480740698,0.0,6.480740698,1.94422221,-0.15577779
43,6.557438524,2.62297541,8.6,21.5,38.7,2.15,0.47297541,6.557438524,0.0,6.557438524,1.967231557,-0.182768443
44,6.633249581,2.653299832,8.8,22.0,39.6,2.2,0.453299832,6.633249581,0.0,6.633249581,1.989974874,-0.210025126
45,6.708203932,2.683281573,9.0,22.5,40.5,2.25,0.433281573,6.708203932,0.0,6.708203932,2.01246118,-0.23753882
46,6.782329983,2.712931993,9.2,23.0,41.4,2.3,0.412931993,6.782329983,0.0,6.782329983,2.034698995,-0.265301005
47,6.8556546,2.74226184,9.4,23.5,42.3,2.35,0.39226184,6.8556546,0.0,6.8556546,2.05669638,-0.29330362
48,6.92820323,2.771281292,9.6,24.0,43.2,2.4,0.371281292,6.92820323,0.0,6.92820323,2.078460969,-0.321539031
49,7.0,2.8,9.8,24.5,44.1,2.45,0.35,7.0,0.0,7.0,2.1,-0.35
50,7.071067812,2.828427125,10.0,25.0,45.0,2.5,0.328427125,7.071067812,0.0,7.071067812,2.121320344,-0.378679656
51,7.141428429,2.856571371,10.2,25.5,45.9,2.55,0.306571371,7.141428429,1.0,7.141428429,2.142428529,-0.407571471
52,7.211102551,2.88444102,10.4,26.0,46.8,2.6,0.28444102,7.211102551,1.741101127,7.211102551,2.163330765,-0.436669235
53,7.280109889,2.912043956,10.6,26.5,47.7,2.65,0.262043956,7.280109889,2.408224685,7.280109889,2.184032967,-0.465967033
54,7.348469228,2.939387691,10.8,27.0,48.6,2.7,0.239387691,7.348469228,3.031433133,7.348469228,2.204540769,-0.495459231
55,7.416198487,2.966479395,11.0,27.5,49.5,2.75,0.216479395,7.416198487,3.623898318,7.416198487,2.224859546,-0.525140454
56,7.483314774,2.993325909,11.2,28.0,50.4,2.8,0.193325909,7.483314774,4.192962713,7.483314774,2.244994432,-0.555005568
57,7.549834435,3.019933774,11.4,28.5,51.3,2.85,0.169933774,7.549834435,4.743276394,7.549834435,2.264950331,-0.585049669
58,7.615773106,3.046309242,11.6,29.0,52.2,2.9,0.146309242,7.615773106,5.278031643,7.615773106,2.284731932,-0.615268068
59,7.681145748,3.072458299,11.8,29.5,53.1,2.95,0.122458299,7.681145748,5.799546135,7.681145748,2.304343724,-0.645656276
60,7.745966692,3.098386677,12.0,30.0,54.0,3.0,0.098386677,7.745966692,6.309573445,7.745966692,2.323790008,-0.676209992
61,7.810249676,3.12409987,12.2,30.5,54.9,3.05,0.07409987,7.810249676,6.809483128,7.810249676,2.343074903,-0.706925097
62,7.874007874,3.14960315,12.4,31.0,55.8,3.1,0.04960315,7.874007874,7.300372103,7.874007874,2.362202362,-0.737797638
63,7.937253933,3.174901573,12.6,31.5,56.7,3.15,0.024901573,7.937253933,7.783137122,7.937253933,2.38117618,-0.76882382
64,8.0,3.2,12.8,32.0,57.6,3.2,0.0,8.0,8.258523873,8.258523873,2.477557162,-0.722442838
65,8.062257748,3.224903099,13.0,32.5,58.5,3.25,-0.025096901,8.062257748,8.727161387,8.727161387,2.618148416,-0.631851584
66,8.124038405,3.249615362,13.2,33.0,59.4,3.3,-0.050384638,8.124038405,9.18958684,9.18958684,2.756876052,-0.543123948
67,8.185352772,3.274141109,13.4,33.5,60.3,3.35,-0.075858891,8.185352772,9.646263856,9.646263856,2.893879157,-0.456120843
68,8.246211251,3.2984845,13.6,34.0,61.2,3.4,-0.1015155,8.246211251,10.09759631,10.09759631,3.029278893,-0.370721107
69,8.306623863,3.322649545,13.8,34.5,62.1,3.45,-0.127350455,8.306623863,10.5439389,10.5439389,3.163181671,-0.286818329
70,8.366600265,3.346640106,14.0,35.0,63.0,3.5,-0.153359894,8.366600265,10.98560543,10.98560543,3.29568163,-0.20431837
71,8.426149773,3.370459909,14.2,35.5,63.9,3.55,-0.179540091,8.426149773,11.4228753,11.4228753,3.42686259,-0.12313741
72,8.485281374,3.39411255,14.4,36.0,64.8,3.6,-0.20588745,8.485281374,11.85599874,11.85599874,3.556799623,-0.043200377
73,8.544003745,3.417601498,14.6,36.5,65.7,3.65,-0.232398502,8.544003745,12.28520107,12.28520107,3.68556032,0.03556032
74,8.602325267,3.440930107,14.8,37.0,66.6,3.7,-0.259069893,8.602325267,12.71068609,12.71068609,3.813205828,0.113205828
75,8.660254038,3.464101615,15.0,37.5,67.5,3.75,-0.285898385,8.660254038,13.13263902,13.13263902,3.939791707,0.189791707
76,8.717797887,3.487119155,15.2,38.0,68.4,3.8,-0.312880845,8.717797887,13.55122881,13.55122881,4.065368643,0.265368643
77,8.774964387,3.509985755,15.4,38.5,69.3,3.85,-0.340014245,8.774964387,13.96661017,13.96661017,4.18998305,0.33998305
78,8.831760866,3.532704347,15.6,39.0,70.2,3.9,-0.367295653,8.831760866,14.37892522,14.37892522,4.313677566,0.413677566
79,8.888194417,3.555277767,15.8,39.5,71.1,3.95,-0.394722233,8.888194417,14.78830497,14.78830497,4.436491492,0.486491492
80,8.94427191,3.577708764,16.0,40.0,72.0,4.0,-0.422291236,8.94427191,15.19487052,15.19487052,4.558461157,0.558461157
81,9.0,3.6,16.2,40.5,72.9,4.05,-0.45,9.0,15.5987341,15.5987341,4.67962023,0.62962023
82,9.055385138,3.622154055,16.4,41.0,73.8,4.1,-0.477845945,9.055385138,16.0,16.0,4.8,0.7
83,9.110433579,3.644173432,16.6,41.5,74.7,4.15,-0.505826568,9.110433579,16.39876536,16.39876536,4.919629609,0.769629609
84,9.16515139,3.666060556,16.8,42.0,75.6,4.2,-0.533939444,9.16515139,16.79512087,16.79512087,5.03853626,0.83853626
85,9.219544457,3.687817783,17.0,42.5,76.5,4.25,-0.562182217,9.219544457,17.18915135,17.18915135,5.156745404,0.906745404
86,9.273618495,3.709447398,17.2,43.0,77.4,4.3,-0.590552602,9.273618495,17.58093631,17.58093631,5.274280893,0.974280893
87,9.327379053,3.730951621,17.4,43.5,78.3,4.35,-0.619048379,9.327379053,17.97055042,17.97055042,5.391165125,1.041165125
88,9.38083152,3.752332608,17.6,44.0,79.2,4.4,-0.647667392,9.38083152,18.3580639,18.3580639,5.507419171,1.107419171
89,9.433981132,3.773592453,17.8,44.5,80.1,4.45,-0.676407547,9.433981132,18.74354295,18.74354295,5.623062884,1.173062884
90,9.486832981,3.794733192,18.0,45.0,81.0,4.5,-0.705266808,9.486832981,19.12705,19.12705,5.738114999,1.238114999
91,9.539392014,3.815756806,18.2,45.5,81.9,4.55,-0.734243194,9.539392014,19.50864408,19.50864408,5.852593223,1.302593223
92,9.591663047,3.836665219,18.4,46.0,82.8,4.6,-0.763334781,9.591663047,19.88838105,19.88838105,5.966514316,1.366514316
93,9.643650761,3.857460304,18.6,46.5,83.7,4.65,-0.792539696,9.643650761,20.26631387,20.26631387,6.079894162,1.429894162
94,9.695359715,3.878143886,18.8,47.0,84.6,4.7,-0.821856114,9.695359715,20.64249277,20.64249277,6.192747831,1.492747831
95,9.746794345,3.898717738,19.0,47.5,85.5,4.75,-0.851282262,9.746794345,21.01696549,21.01696549,6.305089646,1.555089646
96,9.797958971,3.919183588,19.2,48.0,86.4,4.8,-0.880816412,9.797958971,21.38977742,21.38977742,6.416933226,1.616933226
97,9.848857802,3.939543121,19.4,48.5,87.3,4.85,-0.910456879,9.848857802,21.76097181,21.76097181,6.528291543,1.678291543
98,9.899494937,3.959797975,19.6,49.0,88.2,4.9,-0.940202025,9.899494937,22.13058988,22.13058988,6.639176963,1.739176963
99,9.949874371,3.979949748,19.8,49.5,89.1,4.95,-0.970050252,9.949874371,22.49867095,22.49867095,6.749601284,1.799601284
100,10.0,4.0,20.0,50.0,90.0,5.0,-1.0,10.0,22.8652526,22.8652526,6.859575779,1.859575779
