DATE,Date,CPIAUCSL_PC1
01/12/1973,1973-12-01,8.94118
01/01/1974,1974-01-01,9.60187
01/02/1974,1974-02-01,10.0
01/03/1974,1974-03-01,10.13825
01/04/1974,1974-04-01,10.06865
01/05/1974,1974-05-01,10.70615
01/06/1974,1974-06-01,10.85973
01/07/1974,1974-07-01,11.53846
01/08/1974,1974-08-01,10.88889
01/09/1974,1974-09-01,11.9469
01/10/1974,1974-10-01,11.84211
01/11/1974,1974-11-01,12.20044
01/12/1974,1974-12-01,12.09503
01/01/1975,1975-01-01,11.75214
01/02/1975,1975-02-01,11.20507
01/03/1975,1975-03-01,10.46025
01/04/1975,1975-04-01,10.18711
01/05/1975,1975-05-01,9.25926
01/06/1975,1975-06-01,9.18367
01/07/1975,1975-07-01,9.53347
01/08/1975,1975-08-01,8.61723
01/09/1975,1975-09-01,7.90514
01/10/1975,1975-10-01,7.64706
01/11/1975,1975-11-01,7.37864
01/12/1975,1975-12-01,7.12909
01/01/1976,1976-01-01,6.69216
01/02/1976,1976-02-01,6.27376
01/03/1976,1976-03-01,6.06061
01/04/1976,1976-04-01,5.84906
01/05/1976,1976-05-01,6.21469
01/06/1976,1976-06-01,5.98131
01/07/1976,1976-07-01,5.55556
01/08/1976,1976-08-01,5.71956
01/09/1976,1976-09-01,5.49451
01/10/1976,1976-10-01,5.46448
01/11/1976,1976-11-01,5.06329
01/12/1976,1976-12-01,5.03597
01/01/1977,1977-01-01,5.19713
01/02/1977,1977-02-01,6.08229
01/03/1977,1977-03-01,6.42857
01/04/1977,1977-04-01,6.95187
01/05/1977,1977-05-01,6.73759
01/06/1977,1977-06-01,6.70194
01/07/1977,1977-07-01,6.66667
01/08/1977,1977-08-01,6.63176
01/09/1977,1977-09-01,6.42361
01/10/1977,1977-10-01,6.39033
01/11/1977,1977-11-01,6.71256
01/12/1977,1977-12-01,6.67808
01/01/1978,1978-01-01,6.81431
01/02/1978,1978-02-01,6.23946
01/03/1978,1978-03-01,6.37584
01/04/1978,1978-04-01,6.5
01/05/1978,1978-05-01,7.14286
01/06/1978,1978-06-01,7.43802
01/07/1978,1978-07-01,7.73026
01/08/1978,1978-08-01,7.85597
01/09/1978,1978-09-01,8.48287
01/10/1978,1978-10-01,8.92857
01/11/1978,1978-11-01,8.87097
01/12/1978,1978-12-01,8.98876
01/01/1979,1979-01-01,9.2504
01/02/1979,1979-02-01,9.84127
01/03/1979,1979-03-01,10.25237
01/04/1979,1979-04-01,10.48513
01/05/1979,1979-05-01,10.69767
01/06/1979,1979-06-01,11.07692
01/07/1979,1979-07-01,11.45038
01/08/1979,1979-08-01,11.83612
01/09/1979,1979-09-01,11.8797
01/10/1979,1979-10-01,12.07154
01/11/1979,1979-11-01,12.59259
01/12/1979,1979-12-01,13.25479
01/01/1980,1980-01-01,13.86861
01/02/1980,1980-02-01,14.16185
01/03/1980,1980-03-01,14.59227
01/04/1980,1980-04-01,14.58924
01/05/1980,1980-05-01,14.42577
01/06/1980,1980-06-01,14.26593
01/07/1980,1980-07-01,13.15068
01/08/1980,1980-08-01,12.89009
01/09/1980,1980-09-01,12.76882
01/10/1980,1980-10-01,12.63298
01/11/1980,1980-11-01,12.63158
01/12/1980,1980-12-01,12.35371
01/01/1981,1981-01-01,11.79487
01/02/1981,1981-02-01,11.39241
01/03/1981,1981-03-01,10.61174
01/04/1981,1981-04-01,10.13597
01/05/1981,1981-05-01,9.79192
01/06/1981,1981-06-01,9.69697
01/07/1981,1981-07-01,10.77482
01/08/1981,1981-08-01,10.81731
01/09/1981,1981-09-01,10.96544
01/10/1981,1981-10-01,10.27155
01/11/1981,1981-11-01,9.57944
01/12/1981,1981-12-01,8.91204
01/01/1982,1982-01-01,8.25688
01/02/1982,1982-02-01,7.61364
01/03/1982,1982-03-01,6.88488
01/04/1982,1982-04-01,6.62177
01/05/1982,1982-05-01,6.91193
01/06/1982,1982-06-01,7.18232
01/07/1982,1982-07-01,6.55738
01/08/1982,1982-08-01,5.96529
01/09/1982,1982-09-01,4.94092
01/10/1982,1982-10-01,5.03212
01/11/1982,1982-11-01,4.47761
01/12/1982,1982-12-01,3.82572
01/01/1983,1983-01-01,3.70763
01/02/1983,1983-02-01,3.48469
01/03/1983,1983-03-01,3.59029
01/04/1983,1983-04-01,4.0
01/05/1983,1983-05-01,3.44108
01/06/1983,1983-06-01,2.47423
01/07/1983,1983-07-01,2.35897
01/08/1983,1983-08-01,2.4565
01/09/1983,1983-09-01,2.76356
01/10/1983,1983-10-01,2.75229
01/11/1983,1983-11-01,3.16327
01/12/1983,1983-12-01,3.7871
01/01/1984,1984-01-01,4.29009
01/02/1984,1984-02-01,4.69388
01/03/1984,1984-03-01,4.89297
01/04/1984,1984-04-01,4.55466
01/05/1984,1984-05-01,4.33468
01/06/1984,1984-06-01,4.32596
01/07/1984,1984-07-01,4.30862
01/08/1984,1984-08-01,4.2957
01/09/1984,1984-09-01,4.28287
01/10/1984,1984-10-01,4.26587
01/11/1984,1984-11-01,4.1543
01/12/1984,1984-12-01,4.04339
01/01/1985,1985-01-01,3.52595
01/02/1985,1985-02-01,3.60624
01/03/1985,1985-03-01,3.79009
01/04/1985,1985-04-01,3.5818
01/05/1985,1985-05-01,3.57488
01/06/1985,1985-06-01,3.66442
01/07/1985,1985-07-01,3.45821
01/08/1985,1985-08-01,3.35249
01/09/1985,1985-09-01,3.24737
01/10/1985,1985-10-01,3.23501
01/11/1985,1985-11-01,3.51377
01/12/1985,1985-12-01,3.79147
01/01/1986,1986-01-01,3.97351
01/02/1986,1986-02-01,3.19849
01/03/1986,1986-03-01,2.15356
01/04/1986,1986-04-01,1.58879
01/05/1986,1986-05-01,1.6791
01/06/1986,1986-06-01,1.76744
01/07/1986,1986-07-01,1.67131
01/08/1986,1986-08-01,1.57553
01/09/1986,1986-09-01,1.75763
01/10/1986,1986-10-01,1.56682
01/11/1986,1986-11-01,1.2844
01/12/1986,1986-12-01,1.18721
01/01/1987,1987-01-01,1.36488
01/02/1987,1987-02-01,1.91431
01/03/1987,1987-03-01,2.84143
01/04/1987,1987-04-01,3.67985
01/05/1987,1987-05-01,3.66972
01/06/1987,1987-06-01,3.74771
01/07/1987,1987-07-01,3.92694
01/08/1987,1987-08-01,4.28832
01/09/1987,1987-09-01,4.27273
01/10/1987,1987-10-01,4.35572
01/11/1987,1987-11-01,4.52899
01/12/1987,1987-12-01,4.33213
01/01/1988,1988-01-01,4.12926
01/02/1988,1988-02-01,3.9356
01/03/1988,1988-03-01,3.83244
01/04/1988,1988-04-01,3.9929
01/05/1988,1988-05-01,3.9823
01/06/1988,1988-06-01,3.96476
01/07/1988,1988-07-01,4.13005
01/08/1988,1988-08-01,4.11199
01/09/1988,1988-09-01,4.18483
01/10/1988,1988-10-01,4.26087
01/11/1988,1988-11-01,4.2461
01/12/1988,1988-12-01,4.41176
01/01/1989,1989-01-01,4.48276
01/02/1989,1989-02-01,4.64716
01/03/1989,1989-03-01,4.8927
01/04/1989,1989-04-01,5.03413
01/05/1989,1989-05-01,5.2766
01/06/1989,1989-06-01,5.16949
01/07/1989,1989-07-01,5.06329
01/08/1989,1989-08-01,4.62185
01/09/1989,1989-09-01,4.43515
01/10/1989,1989-10-01,4.58716
01/11/1989,1989-11-01,4.65503
01/12/1989,1989-12-01,4.6396
01/01/1990,1990-01-01,5.19802
01/02/1990,1990-02-01,5.26316
01/03/1990,1990-03-01,5.23732
01/04/1990,1990-04-01,4.71162
01/05/1990,1990-05-01,4.3654
01/06/1990,1990-06-01,4.67365
01/07/1990,1990-07-01,4.81928
01/08/1990,1990-08-01,5.70281
01/09/1990,1990-09-01,6.16987
01/10/1990,1990-10-01,6.37959
01/11/1990,1990-11-01,6.19539
01/12/1990,1990-12-01,6.25495
01/01/1991,1991-01-01,5.64706
01/02/1991,1991-02-01,5.3125
01/03/1991,1991-03-01,4.82115
01/04/1991,1991-04-01,4.80993
01/05/1991,1991-05-01,5.03486
01/06/1991,1991-06-01,4.69592
01/07/1991,1991-07-01,4.36782
01/08/1991,1991-08-01,3.79939
01/09/1991,1991-09-01,3.39623
01/10/1991,1991-10-01,2.84858
01/11/1991,1991-11-01,3.06657
01/12/1991,1991-12-01,2.98063
01/01/1992,1992-01-01,2.67261
01/02/1992,1992-02-01,2.81899
01/03/1992,1992-03-01,3.18991
01/04/1992,1992-04-01,3.18283
01/05/1992,1992-05-01,3.0236
01/06/1992,1992-06-01,3.01471
01/07/1992,1992-07-01,3.15712
01/08/1992,1992-08-01,3.07467
01/09/1992,1992-09-01,2.9927
01/10/1992,1992-10-01,3.27988
01/11/1992,1992-11-01,3.12046
01/12/1992,1992-12-01,2.96671
01/01/1993,1993-01-01,3.2538
01/02/1993,1993-02-01,3.24675
01/03/1993,1993-03-01,3.01941
01/04/1993,1993-04-01,3.15638
01/05/1993,1993-05-01,3.22119
01/06/1993,1993-06-01,2.99786
01/07/1993,1993-07-01,2.84698
01/08/1993,1993-08-01,2.84091
01/09/1993,1993-09-01,2.764
01/10/1993,1993-10-01,2.75229
01/11/1993,1993-11-01,2.74455
01/12/1993,1993-12-01,2.81096
01/01/1994,1994-01-01,2.45098
01/02/1994,1994-02-01,2.51572
01/03/1994,1994-03-01,2.65178
01/04/1994,1994-04-01,2.36439
01/05/1994,1994-05-01,2.28849
01/06/1994,1994-06-01,2.4948
01/07/1994,1994-07-01,2.69896
01/08/1994,1994-08-01,2.90055
01/09/1994,1994-09-01,2.96552
01/10/1994,1994-10-01,2.60989
01/11/1994,1994-11-01,2.60274
01/12/1994,1994-12-01,2.5974
01/01/1995,1995-01-01,2.87081
01/02/1995,1995-02-01,2.86299
01/03/1995,1995-03-01,2.78722
01/04/1995,1995-04-01,3.125
01/05/1995,1995-05-01,3.11864
01/06/1995,1995-06-01,3.0426
01/07/1995,1995-07-01,2.83019
01/08/1995,1995-08-01,2.61745
01/09/1995,1995-09-01,2.54521
01/10/1995,1995-10-01,2.74431
01/11/1995,1995-11-01,2.60347
01/12/1995,1995-12-01,2.53165
01/01/1996,1996-01-01,2.7907
01/02/1996,1996-02-01,2.71703
01/03/1996,1996-03-01,2.84392
01/04/1996,1996-04-01,2.83267
01/05/1996,1996-05-01,2.82709
01/06/1996,1996-06-01,2.82152
01/07/1996,1996-07-01,2.88336
01/08/1996,1996-08-01,2.8123
01/09/1996,1996-09-01,3.00457
01/10/1996,1996-10-01,3.06189
01/11/1996,1996-11-01,3.25309
01/12/1996,1996-12-01,3.37882
01/01/1997,1997-01-01,3.03814
01/02/1997,1997-02-01,3.03226
01/03/1997,1997-03-01,2.76527
01/04/1997,1997-04-01,2.43434
01/05/1997,1997-05-01,2.23785
01/06/1997,1997-06-01,2.23357
01/07/1997,1997-07-01,2.16561
01/08/1997,1997-08-01,2.29008
01/09/1997,1997-09-01,2.2194
01/10/1997,1997-10-01,2.08597
01/11/1997,1997-11-01,1.89036
01/12/1997,1997-12-01,1.69705
01/01/1998,1998-01-01,1.63112
01/02/1998,1998-02-01,1.4402
01/03/1998,1998-03-01,1.37672
01/04/1998,1998-04-01,1.4384
01/05/1998,1998-05-01,1.68856
01/06/1998,1998-06-01,1.62297
01/07/1998,1998-07-01,1.74564
01/08/1998,1998-08-01,1.61692
01/09/1998,1998-09-01,1.4268
01/10/1998,1998-10-01,1.48607
01/11/1998,1998-11-01,1.48423
01/12/1998,1998-12-01,1.60692
01/01/1999,1999-01-01,1.66667
01/02/1999,1999-02-01,1.66667
01/03/1999,1999-03-01,1.7284
01/04/1999,1999-04-01,2.28113
01/05/1999,1999-05-01,2.09102
01/06/1999,1999-06-01,1.9656
01/07/1999,1999-07-01,2.14461
01/08/1999,1999-08-01,2.26438
01/09/1999,1999-09-01,2.62997
01/10/1999,1999-10-01,2.56254
01/11/1999,1999-11-01,2.62035
01/12/1999,1999-12-01,2.6764
01/01/2000,2000-01-01,2.79296
01/02/2000,2000-02-01,3.21797
01/03/2000,2000-03-01,3.76214
01/04/2000,2000-04-01,3.01386
01/05/2000,2000-05-01,3.13253
01/06/2000,2000-06-01,3.73494
01/07/2000,2000-07-01,3.59928
01/08/2000,2000-08-01,3.35129
01/09/2000,2000-09-01,3.4565
01/10/2000,2000-10-01,3.45033
01/11/2000,2000-11-01,3.44418
01/12/2000,2000-12-01,3.43602
01/01/2001,2001-01-01,3.7212
01/02/2001,2001-02-01,3.52941
01/03/2001,2001-03-01,2.98246
01/04/2001,2001-04-01,3.21826
01/05/2001,2001-05-01,3.56308
01/06/2001,2001-06-01,3.19396
01/07/2001,2001-07-01,2.72148
01/08/2001,2001-08-01,2.72148
01/09/2001,2001-09-01,2.59217
01/10/2001,2001-10-01,2.12766
01/11/2001,2001-11-01,1.89437
01/12/2001,2001-12-01,1.60367
01/01/2002,2002-01-01,1.1959
01/02/2002,2002-02-01,1.13636
01/03/2002,2002-03-01,1.36286
01/04/2002,2002-04-01,1.64399
01/05/2002,2002-05-01,1.24083
01/06/2002,2002-06-01,1.06922
01/07/2002,2002-07-01,1.46561
01/08/2002,2002-08-01,1.74746
01/09/2002,2002-09-01,1.516
01/10/2002,2002-10-01,2.02703
01/11/2002,2002-11-01,2.25352
01/12/2002,2002-12-01,2.48027
01/01/2003,2003-01-01,2.75746
01/02/2003,2003-02-01,3.14607
01/03/2003,2003-03-01,3.02521
01/04/2003,2003-04-01,2.17513
01/05/2003,2003-05-01,1.89415
01/06/2003,2003-06-01,1.94878
01/07/2003,2003-07-01,2.05556
01/08/2003,2003-08-01,2.21607
01/09/2003,2003-09-01,2.37832
01/10/2003,2003-10-01,2.04194
01/11/2003,2003-11-01,1.92837
01/12/2003,2003-12-01,2.0352
01/01/2004,2004-01-01,2.02629
01/02/2004,2004-02-01,1.68845
01/03/2004,2004-03-01,1.74008
01/04/2004,2004-04-01,2.29258
01/05/2004,2004-05-01,2.89776
01/06/2004,2004-06-01,3.16767
01/07/2004,2004-07-01,2.93958
01/08/2004,2004-08-01,2.54743
01/09/2004,2004-09-01,2.53917
01/10/2004,2004-10-01,3.19091
01/11/2004,2004-11-01,3.62162
01/12/2004,2004-12-01,3.34232
01/01/2005,2005-01-01,2.84487
01/02/2005,2005-02-01,3.05303
01/03/2005,2005-03-01,3.20684
01/04/2005,2005-04-01,3.36179
01/05/2005,2005-05-01,2.86929
01/06/2005,2005-06-01,2.54103
01/07/2005,2005-07-01,3.06716
01/08/2005,2005-08-01,3.64693
01/09/2005,2005-09-01,4.74183
01/10/2005,2005-10-01,4.3501
01/11/2005,2005-11-01,3.33855
01/12/2005,2005-12-01,3.33855
01/01/2006,2006-01-01,4.01879
01/02/2006,2006-02-01,3.63825
01/03/2006,2006-03-01,3.41792
01/04/2006,2006-04-01,3.61384
01/05/2006,2006-05-01,3.97727
01/06/2006,2006-06-01,4.18172
01/07/2006,2006-07-01,4.10467
01/08/2006,2006-08-01,3.92657
01/09/2006,2006-09-01,2.01207
01/10/2006,2006-10-01,1.40633
01/11/2006,2006-11-01,1.9687
01/12/2006,2006-12-01,2.52398
01/01/2007,2007-01-01,2.07577
01/02/2007,2007-02-01,2.42026
01/03/2007,2007-03-01,2.7982
01/04/2007,2007-04-01,2.59292
01/05/2007,2007-05-01,2.70989
01/06/2007,2007-06-01,2.69277
01/07/2007,2007-07-01,2.31789
01/08/2007,2007-08-01,1.89745
01/09/2007,2007-09-01,2.83383
01/10/2007,2007-10-01,3.6107
01/11/2007,2007-11-01,4.37327
01/12/2007,2007-12-01,4.10881
01/01/2008,2008-01-01,4.2947
01/02/2008,2008-02-01,4.14296
01/03/2008,2008-03-01,3.9749
01/04/2008,2008-04-01,3.90376
01/05/2008,2008-05-01,4.08841
01/06/2008,2008-06-01,4.93597
01/07/2008,2008-07-01,5.49751
01/08/2008,2008-08-01,5.30802
01/09/2008,2008-09-01,4.95332
01/10/2008,2008-10-01,3.73106
01/11/2008,2008-11-01,1.09992
01/12/2008,2008-12-01,-0.02223
01/01/2009,2009-01-01,-0.11359
