Country,China,India,Colombia,Malaysia,Peru,Fiji,Jamaica,Antigua and Barbuda,Taiwan,Paraguay,Ecuador,Chile,Algeria,Turkey,Jordan,Costa Rica,Iran,Seychelles,Panama,Brazil,Uruguay,South Africa,Poland,Barbados,Romania,Bulgaria,Mexico,Cyprus,Malta,Hungary,Portugal,Puerto Rico,Hong Kong,Oman,Argentina,Lebanon,Israel,Gabon,Venezuela,Ireland,Spain,Japan,Singapore,Greece,New Zealand,United Kingdom,Finland,Australia,Sweden,France,Belgium,Italy,Iceland,Canada,Germany,Netherlands,Austria,Denmark,United States,Norway,The Bahamas,Luxembourg,Bahrain,Switzerland,Kuwait,Libya,Saudi Arabia,Qatar,United Arab Emirates
1990,1413.1,1668.996,8379.93,10222.568,5441.803,8494.023,9680.895,16039.011,15945.566,8651.928,7952.79,9662.899,8893.994,12332.081,8253.462,9872.699,9667.082,14291.891,10383.512,10744.849,11388.404,11264.102,11311.92,14045.46,13828.444,18257.446,14864.308,24914.905,20061.643,18679.608,23347.489,21653.673,28559.965,29040.087,13961.357,9462.696,23493.691,18557.547,16424.921,26486.022,27142.157,32908.174,37326.304,24401.421,26819.306,32093.3,33025.317,31492.059,34372.549,34873.287,35703.758,36952.04,35317.939,34853.972,37168.149,36920.561,37865.356,39182.94,40382.899,41548.647,37191.473,69730.894,43198.221,56978.61,29855.922,35012.299,44433.27,59959.398,106269.093
1991,1520.403,1651.551,8404.082,11029.633,5452.452,8198.474,9697.7,16255.248,17108.974,8408.485,8170.49,10228.256,8574.464,12237.752,7384.153,9866.14,10634.672,14492.088,11121.945,10673.58,11723.216,10883.169,10491.999,13451.14,12059.043,16432.245,15205.52,24445.203,20690.401,16460.871,24189.956,22009.325,29859.85,29713.853,15221.156,12546.291,23143.762,19078.491,17598.874,26768.843,27753.979,33898.237,38705.654,24786.507,25783.532,31441.764,30931.512,30802.157,33783.099,35089.079,36215.55,37450.909,34952.291,33694.312,38530.68,37528.555,38832.777,39644.891,39806.741,42611.436,35040.517,74741.201,42418.502,55755.857,27584.547,40476.407,48666.194,57997.527,103842.421
1992,1717.489,1706.332,8597.984,11682.019,5318.457,8629.448,9892.876,16178.635,18355.466,8380.107,8278.705,11109.641,8503.406,12758.208,8157.694,10539.016,10826.6,15460.498,11782.135,10451.799,12577.588,10386.05,10677.405,12640.445,11044.276,15204.858,15462.019,26046.983,22125.185,15955.721,24966.529,22858.008,31332.045,31116.53,16562.768,12452.047,23942.172,17929.291,18236.231,27502.377,27897.855,34065.149,40054.05,24731.861,25691.616,31371.58,29730.867,31280.056,33282.67,35443.702,36641.392,37702.467,33270.991,33593.093,39013.341,37825.8,39198.402,40299.045,40665.627,43886.627,33123.775,75073.228,44699.054,54975.342,48296.401,37770.365,47617.819,63457.691,102611.345
1993,1933.654,1751.159,8918.736,12488.297,5492.364,8784.002,10028.455,16656.311,19426.163,8617.903,8264.416,11655.223,8131.783,13563.634,8059.735,10998.447,10512.955,16247.524,12167.566,10766.098,12834.834,10256.755,11101.878,12697.739,11274.749,13594.481,15610.228,25592.439,22768.077,15876.979,24764.619,23750.368,32662.525,31925.156,17340.0,12625.912,24205.203,18195.771,17875.426,27984.485,27445.911,33779.342,43528.861,24187.534,26727.55,31960.42,29382.26,32212.536,32475.692,35045.121,36121.992,37355.862,33366.394,34092.986,38419.375,38027.358,38986.984,40158.245,41243.582,44858.874,32657.604,77126.261,46848.977,54379.423,62617.898,34921.928,46075.253,62586.904,99036.229
1994,2161.272,1830.401,9211.34,13272.838,6055.797,9159.762,10127.298,17319.233,20703.766,8894.672,8442.286,12055.741,7882.161,12622.216,8062.265,11162.689,10185.062,15434.657,12257.763,11163.157,13640.292,10339.659,11659.251,12906.267,11789.98,13252.662,16107.463,26542.205,23579.768,16368.626,25065.86,24561.74,33947.496,32132.402,18118.155,13009.608,25251.014,18411.059,17071.747,29536.322,28011.205,33980.729,46865.417,24532.691,27843.918,32987.585,30408.986,33445.695,33479.115,35751.359,37168.355,38116.525,34221.221,35245.657,39243.386,38910.044,39690.866,42167.869,42387.246,46861.946,33109.967,78923.206,47097.887,54604.812,55004.857,35348.505,45222.55,63393.575,99318.831
1995,2373.174,1930.214,9528.473,14196.836,6389.259,9324.965,10288.971,16128.199,21863.834,9311.508,8470.162,12941.471,8020.917,13321.679,8209.841,11300.746,10278.77,15283.172,12219.626,11476.898,13359.341,10436.33,12443.761,13120.482,12706.987,13189.065,14850.678,28886.963,24980.17,16806.196,25555.578,25481.315,33918.042,32760.797,17387.033,13363.399,26953.762,18855.411,17364.625,32231.352,29097.7,34785.809,48725.303,24938.227,28777.889,33590.595,31561.74,34004.257,34713.451,36440.69,37942.251,39137.734,34015.537,35820.459,39769.395,39775.002,40649.438,43286.059,43013.128,48559.932,33859.058,79678.693,46756.829,54516.719,52213.914,29264.489,44232.574,62854.335,97907.097
1996,2581.59,2035.822,9568.587,15218.857,6454.332,9697.288,10217.034,16729.484,23033.101,9268.89,8470.358,13396.827,8178.235,14040.151,8112.284,11148.619,10773.529,16566.323,12854.093,11395.929,14017.453,10683.945,13210.277,13590.456,13282.53,12255.995,15609.959,28760.207,25843.745,16846.121,26352.035,25861.837,34287.368,32895.829,18130.833,13586.202,27847.826,19062.37,16965.327,34921.274,29733.427,35797.502,50280.12,25525.137,29483.59,34149.603,32603.597,34966.459,35233.822,36818.841,38396.297,39633.656,35439.014,36022.7,40015.76,40979.475,41568.168,44243.985,44118.771,50750.31,34692.092,79726.597,47021.612,54439.606,49258.849,29225.591,44311.425,64065.249,101784.619
1997,2792.097,2077.999,9768.621,15923.801,6755.89,9396.011,9952.426,17159.384,24182.694,9468.882,8698.203,14194.618,8131.84,14873.721,8214.938,11463.63,10750.916,18369.534,13410.413,11600.769,14556.882,10780.395,14135.451,14181.179,12545.149,10607.392,16427.697,29077.659,26882.928,17409.351,27388.982,26897.719,35758.884,34184.458,19376.359,14775.177,28199.949,19664.623,17681.779,38271.175,30801.418,36062.768,52663.361,26567.025,29817.548,35602.737,34564.194,36227.673,36302.862,37561.925,39746.365,40336.237,37218.284,37190.072,40708.374,42551.84,42390.358,45477.6,45533.359,53157.816,35801.956,83386.386,46873.72,55505.533,47771.508,27992.884,43727.093,79210.401,104623.192
1998,2984.049,2165.251,9673.909,14379.321,6618.678,9449.725,9736.227,17493.072,24986.048,9285.818,8848.496,14598.285,8412.748,15117.162,8314.628,11987.243,10824.05,18458.252,14103.492,11461.355,15094.548,10670.219,14831.708,14656.441,12000.899,11086.757,17025.02,30447.928,27596.731,18125.267,28561.191,28403.102,33314.328,34435.92,19898.281,15205.567,28653.297,19852.22,17386.052,41190.027,32065.504,35509.483,49789.002,27436.641,29678.239,36625.697,36343.974,37515.72,37839.542,38791.302,40438.421,41046.337,39590.803,38310.301,41563.467,44290.603,43860.384,46310.778,47022.341,54312.152,36877.674,87706.155,47868.801,57015.155,48165.162,27304.062,43914.216,84019.078,95999.643
1999,3187.053,2305.463,9150.501,14877.228,6610.964,10198.525,9737.764,17704.018,26470.394,8975.787,8306.909,14378.352,8549.256,14416.151,8433.995,12197.338,10922.488,18438.052,14357.977,11342.655,14697.459,10765.733,15499.923,14651.055,11919.375,10204.133,17248.744,31611.731,28474.134,18731.096,29509.662,29389.912,33870.557,33919.631,19016.965,14865.587,28881.622,17635.904,16027.475,45017.727,33414.52,35324.266,52217.157,28136.201,30836.052,37595.25,37845.254,38707.721,39415.04,39932.834,41783.004,41710.169,40686.54,39965.605,42360.045,46206.437,45331.944,47508.304,48716.928,55075.161,38877.396,93912.283,49408.685,57726.405,47635.121,26824.135,41248.999,83864.32,93065.747
2000,3430.959,2353.82,9278.841,15764.355,6685.9,9954.093,9723.522,18413.063,27909.026,8592.713,8274.159,14915.166,8716.752,15198.583,8632.583,12760.615,11378.399,19051.434,14456.955,11669.347,14355.534,11050.498,16330.673,15251.017,12268.886,10564.182,17862.551,33126.864,28020.626,19629.449,30421.133,30124.839,36064.696,35395.498,18669.294,14657.516,30545.039,16881.744,16072.354,48543.693,34809.163,36230.933,55959.033,29163.49,31945.406,38999.65,39939.944,39442.185,41194.378,41321.21,43228.766,43278.757,42203.988,41650.361,43571.703,47832.019,46749.66,49137.148,50146.224,56499.06,39850.623,100383.794,51500.173,59742.001,50719.839,27423.467,42525.493,86435.581,105865.836
2001,3690.639,2425.932,9314.793,15433.108,6629.446,10071.832,9762.126,17280.973,27359.567,8361.983,8416.155,15210.404,8848.312,14133.897,8898.378,12727.738,11457.749,18602.465,14249.156,11667.501,13794.07,11144.34,16531.544,14843.876,12906.735,11327.284,17555.728,34087.605,27503.562,20473.233,30794.54,32906.423,36165.649,36404.37,17667.361,14663.55,29930.892,16824.041,16344.033,50329.211,35990.146,36284.703,53886.497,30199.24,32524.524,39688.045,40904.526,39976.881,41667.947,41830.726,43600.585,44094.503,43229.836,41952.425,44273.705,48568.571,47161.193,49363.703,50106.475,57389.613,40292.503,102197.257,50888.649,60433.111,48803.055,27715.65,41004.021,87650.41,101402.023
2002,4001.128,2476.331,9429.062,15868.023,6893.536,10321.487,9771.624,17283.486,28711.616,8208.36,8574.25,15525.847,9206.994,14864.246,9305.591,12936.715,12181.025,18481.896,14283.53,11869.49,12745.818,11399.409,16775.324,14917.607,14012.698,12061.656,17308.623,34956.321,27978.499,21496.614,30862.493,33577.328,36789.385,35526.594,15591.767,14468.915,29303.34,16444.344,14654.861,52387.012,36385.396,36223.568,55491.899,31233.212,33503.933,40218.694,41492.42,41176.545,42432.569,42024.821,44145.6,44181.196,42984.168,42752.974,44151.731,48316.503,47703.821,49417.481,50460.274,57870.54,40786.231,104305.479,48948.387,59911.463,47972.281,26283.004,38893.262,91006.822,98267.968
2003,4375.732,2627.355,9676.762,16393.497,7084.167,10331.851,10093.552,18158.988,29813.673,8411.386,8658.239,16089.703,9724.101,15537.13,9468.43,13283.944,12907.436,17381.656,14600.282,11858.172,12880.316,11622.507,17372.945,15197.84,14473.556,12765.793,17320.651,35462.452,28923.779,22445.235,30460.708,34341.883,37698.58,34173.705,16829.225,14023.558,29176.6,16316.144,13302.039,53093.019,36784.304,36712.198,58877.613,32959.798,34317.812,41286.277,42231.208,41945.367,43243.978,42086.397,44405.184,44093.058,43616.606,43117.353,43857.235,48131.742,47938.683,49469.825,51387.017,58071.327,39706.748,106010.916,48357.607,59389.254,53486.413,30075.797,42226.588,90264.581,100845.876
2004,4790.101,2786.569,10067.962,17110.04,7338.911,10814.713,10190.506,19016.09,31767.359,8601.109,9208.567,16986.649,9991.511,16852.71,9981.696,13653.137,13264.229,16948.852,15399.573,12393.257,13512.655,12022.408,18251.942,15364.628,16047.583,13667.37,17761.165,36772.05,28778.121,23626.774,30931.335,35017.108,40776.431,34254.983,18158.055,14478.172,30037.674,16096.439,15486.2,55611.725,37347.224,37485.392,63924.723,34550.029,35444.939,42033.818,43804.053,43193.304,44940.551,42871.804,45811.429,44390.389,46680.075,44033.292,44427.028,48888.641,48941.204,50656.614,52883.647,60071.683,39511.805,108868.698,48013.993,60494.248,54790.231,31313.667,44488.302,98632.636,104333.745
2005,5304.324,2996.833,10387.95,17573.527,7701.839,10601.054,10244.893,20042.067,33358.054,8635.82,9576.103,17798.917,10423.527,18141.34,10513.041,13982.474,13481.204,18391.157,16198.687,12643.116,14473.339,12511.386,18900.29,15920.316,16908.637,14711.97,17930.841,38021.889,29544.899,24687.738,31115.6,34370.825,43532.286,34563.35,19577.843,14178.061,30734.109,15580.344,16817.907,57401.89,37999.007,38156.347,67039.195,34663.433,36167.824,42824.682,44876.617,43906.754,46039.556,43287.985,46653.412,44420.063,49031.611,45016.847,44815.222,49743.929,49699.773,51710.876,54221.85,61272.968,40313.5,110071.175,47510.515,61774.293,55521.323,34143.225,45426.514,93270.343,100207.966
2006,5947.033,3224.929,10954.715,18309.683,8181.415,10729.03,10504.476,22351.826,35119.304,8900.723,9823.595,18685.928,10441.479,19159.887,10978.115,14784.531,13933.157,19705.313,17260.771,12998.504,15041.188,13052.683,20067.907,16759.773,18373.08,15793.505,18477.005,39228.265,30112.204,25715.411,31564.123,34030.139,46144.954,35469.834,20947.873,14213.178,31875.694,14910.298,18193.888,58578.282,38933.747,38681.719,70825.799,36506.926,36745.286,43452.099,46515.476,44365.32,47839.918,44114.656,47545.551,45025.682,51031.373,45740.722,46617.825,51375.585,51151.093,53574.778,55205.935,62276.622,40826.715,114728.861,46811.959,63959.356,56100.191,33636.56,45159.496,101382.65,90166.979
2007,6759.277,3489.472,11558.964,19270.185,8775.33,10560.669,10618.459,24170.775,37391.416,9230.408,9861.92,19449.357,10632.029,19882.136,11395.678,15771.542,14851.262,21647.353,19004.184,13643.377,16021.347,13572.23,21502.798,17059.896,19813.438,16930.56,18624.141,40471.456,31501.978,25814.917,32291.786,33832.144,48886.687,36468.163,22610.957,15511.976,33212.3,15392.754,19485.748,59967.347,39557.319,39252.312,74064.653,37595.177,37664.489,44208.397,48782.074,45450.146,49109.794,44876.404,48953.16,45522.09,53946.273,46234.5,48115.246,53235.951,52883.456,53866.237,55761.315,63487.744,40923.124,122171.363,46847.329,66030.745,55672.331,35175.758,44482.612,100604.627,75020.881
2008,7370.108,3574.043,11806.921,19835.386,9468.133,10614.948,10494.351,23896.361,37561.504,9672.816,10301.95,19968.979,10652.344,19783.247,11674.884,16279.9,14737.255,20725.008,20509.872,14190.387,17149.28,13806.755,22411.69,17106.502,22197.316,18047.909,18553.794,40953.049,32529.644,26128.594,32348.237,33403.586,49744.116,38889.676,23297.922,16927.762,33680.502,15086.161,20206.023,56378.004,39260.537,38791.512,71534.98,37384.715,37219.819,43779.611,48946.279,45608.295,48500.741,44700.659,48792.602,44708.94,53777.168,46205.531,48714.444,54235.095,53485.895,53310.076,55313.757,62963.703,39506.349,119888.472,46748.225,67062.786,56353.39,34521.444,45712.603,87676.762,59645.263
2009,8027.091,3823.552,11811.514,19199.815,9465.109,10416.214,10100.809,20795.887,36823.396,9495.891,10173.614,19531.285,10618.398,18558.16,11662.34,15902.111,14696.544,20417.754,20407.11,14027.775,17797.506,13392.678,23034.219,16171.09,21165.149,17542.622,17308.159,39090.273,31918.639,24438.726,31308.654,32930.521,48295.458,39822.228,21706.683,18472.951,33180.886,14202.626,19268.582,53138.082,37468.845,36623.683,69498.543,35667.882,36430.923,41511.516,44775.956,45667.999,45977.012,43224.546,47423.211,42049.401,49048.036,44343.806,46099.926,51991.289,51349.287,50367.043,53410.168,60995.711,37426.285,113725.267,45010.86,64590.395,51718.125,32559.478,43303.866,93993.734,55655.52
2010,8836.395,4158.168,12208.674,20279.336,10138.962,10677.564,9920.97,18939.337,40521.886,10385.969,10340.203,20452.653,10785.246,19804.918,11327.134,16443.351,15347.147,21110.627,21231.75,14936.003,19081.126,13589.003,23780.674,15739.025,20482.886,17952.758,17929.57,38898.053,33435.781,24743.683,31837.939,32960.842,51156.67,39237.206,23521.27,19382.062,34423.245,14540.644,18703.222,53784.476,37373.569,38111.411,78191.783,33639.499,36665.377,42182.201,45985.675,46123.518,48326.166,43802.154,48390.935,42576.585,47919.356,45206.134,48148.084,52404.979,52170.135,51091.815,54438.394,60695.517,37582.516,115980.612,44826.715,65947.693,49122.625,33737.312,43996.699,105738.997,56104.613
2011,9621.154,4374.233,12920.024,21004.999,10658.999,10913.84,10035.016,18363.32,41897.104,10665.362,10968.062,21486.074,10874.65,21728.07,11027.717,16948.668,15545.179,22904.884,23240.427,15394.301,19972.449,13804.426,24953.574,15575.634,21512.873,18774.382,18325.537,38101.259,33514.074,25276.283,31343.851,33224.69,53186.804,36734.052,24647.629,18614.649,35671.685,15001.764,19201.845,54035.628,36931.445,38049.959,81337.737,30214.168,37041.759,42278.871,46947.786,46661.967,49516.497,44554.417,48491.867,42693.083,48677.902,46165.98,50038.553,52958.918,53519.165,51533.522,54890.979,60572.33,37395.251,114970.479,47228.895,66472.843,52173.87,17087.653,47434.59,116493.398,59063.124
2012,10299.393,4551.864,13291.837,21818.4,11186.474,11015.614,9958.596,18714.416,42660.864,10429.608,11396.852,22561.049,11011.073,22496.657,10699.272,17546.98,14787.876,23547.744,25084.046,15554.68,20595.644,13921.299,25338.455,15451.414,22036.361,19026.924,18738.298,35837.756,34680.396,25095.98,30194.561,33639.038,53627.234,36375.707,24118.867,17934.944,35927.66,15211.482,19991.093,53795.276,35814.51,38657.449,82886.783,28166.633,37754.477,42608.485,46069.129,47563.094,48848.959,44500.228,48518.371,41312.459,49022.767,46482.402,50157.852,52179.2,53641.755,51467.39,55745.733,61408.867,38123.768,113950.472,48424.648,66556.743,54031.656,30094.639,48605.292,115334.949,60923.347
2013,11034.449,4780.121,13840.949,22310.47,11709.341,11482.903,9968.472,18332.513,43612.476,11125.813,11768.183,23084.61,11082.337,24074.301,10425.626,17756.299,14377.88,24597.11,26375.428,15886.774,21465.01,14049.389,25556.347,15183.509,22175.065,19021.791,18748.605,33327.719,36148.91,25607.641,30080.446,33922.304,54984.584,35967.352,24424.136,17439.249,36820.682,15446.707,19973.37,54098.999,35443.831,39500.441,85484.437,27664.556,38318.624,43112.523,45439.767,47839.539,48973.203,44578.484,48469.52,40436.082,50891.117,47063.78,50237.478,51960.084,53333.179,51743.654,56383.964,61284.985,36623.267,114915.546,49245.997,67071.338,53456.853,24746.831,49677.209,111365.6,63006.349
2014,11770.838,5071.045,14327.703,23269.507,11856.376,12069.633,10017.356,18747.152,45553.255,11542.794,12021.476,23266.306,11263.186,24929.24,10295.243,18156.749,14909.895,25359.897,27268.893,15831.166,22073.38,14033.156,26568.133,15117.441,23175.096,19321.65,19044.55,33036.257,38281.808,26777.887,30482.572,34070.283,56176.267,35181.382,23550.099,16879.154,37537.151,15566.74,18928.6,58313.435,36046.055,39683.845,87702.522,27991.552,39115.661,44153.813,45069.678,48353.125,49746.184,44776.501,49045.867,40388.266,51143.679,47924.294,51137.331,52544.344,53266.72,52349.88,57259.636,61813.621,36887.85,115205.273,48989.608,67772.551,51763.364,19065.775,50615.17,106059.289,64605.401
2015,12535.035,5411.874,14608.562,24060.439,12109.381,12557.202,10090.249,19171.551,46106.213,11710.817,11847.542,23523.903,11431.788,26095.081,10156.264,18593.603,14516.847,26276.178,28381.536,15137.898,22069.821,14004.891,27741.622,15441.95,24000.43,20119.251,19442.915,34608.937,40980.189,27829.797,31157.635,34301.813,57070.674,35464.463,23933.887,16251.853,37714.102,15652.462,17511.156,71809.373,37465.347,40348.24,89248.125,28113.654,39739.874,44854.248,45145.072,48747.23,51432.456,45056.684,49795.708,40736.641,52856.271,47853.972,51450.805,53346.881,53273.465,53268.953,58386.737,62323.8,36844.084,115035.255,48164.15,68031.073,50281.416,18718.122,51456.176,101000.905,67908.511
2016,13306.594,5789.677,14749.122,24775.657,12453.363,12751.058,10233.176,19917.683,47008.921,12034.672,11525.328,23678.408,11545.393,26599.436,10046.858,19144.996,15601.647,27490.204,29332.595,14522.019,22357.801,13886.184,28589.868,15782.476,24822.705,20882.413,19732.024,36827.277,41357.218,28517.561,31887.22,34492.824,57771.625,35102.334,23189.527,16058.264,38650.33,15579.432,14482.92,72369.632,38570.376,40657.98,91270.642,28169.361,40376.494,45449.885,46282.735,49235.172,51740.374,45380.632,50097.345,41353.93,55608.744,47831.314,52175.097,54264.387,53647.676,54540.788,58938.894,62481.589,36124.678,117995.197,48006.927,68699.094,50007.313,18256.662,51186.04,96943.807,70253.338
2017,14151.786,6112.066,14763.881,25897.244,12631.698,13316.586,10286.743,20231.285,48500.845,12433.769,11623.715,23671.478,11458.695,28242.491,10051.768,19711.653,15805.787,28530.625,30510.958,14596.874,22637.313,13838.851,30054.831,15817.713,27020.78,21616.969,19933.504,38643.399,44868.046,29832.941,33086.048,34627.223,59667.887,34082.445,23597.118,15953.625,39533.604,15302.638,12322.101,78003.143,39647.785,41408.954,95334.146,28518.16,40918.969,46284.111,47621.51,49643.812,52413.085,46369.701,50726.554,42111.532,56944.804,48688.106,53373.918,55509.264,54393.569,55673.456,59878.72,63513.245,36815.405,116621.216,47486.023,68910.1,46479.559,23949.326,49855.994,91742.857,69377.0
