DATE,Date,CUURA207SA0,CUURA101SA0,CUURA207SA0_PC1,CUURA101SA0_PC1
01/01/1923,01/01/1923,.,.,.,.
01/02/1923,01/02/1923,.,.,.,.
01/03/1923,01/03/1923,17.2,17.3,.,1.16959
01/04/1923,01/04/1923,.,.,.,.
01/05/1923,01/05/1923,.,.,.,.
01/06/1923,01/06/1923,17.3,17.4,1.76471,1.16279
01/07/1923,01/07/1923,.,.,.,.
01/08/1923,01/08/1923,.,.,.,.
01/09/1923,01/09/1923,17.7,17.6,4.11765,2.92398
01/10/1923,01/10/1923,.,.,.,.
01/11/1923,01/11/1923,.,.,.,.
01/12/1923,01/12/1923,17.7,17.8,3.50877,2.29885
01/01/1924,01/01/1924,.,.,.,.
01/02/1924,01/02/1924,.,.,.,.
01/03/1924,01/03/1924,17.6,17.4,2.32558,0.57803
01/04/1924,01/04/1924,.,.,.,.
01/05/1924,01/05/1924,.,.,.,.
01/06/1924,01/06/1924,17.7,17.4,2.31214,0
01/07/1924,01/07/1924,.,.,.,.
01/08/1924,01/08/1924,.,.,.,.
01/09/1924,01/09/1924,17.8,17.4,0.56497,-1.13636
01/10/1924,01/10/1924,.,.,.,.
01/11/1924,01/11/1924,.,.,.,.
01/12/1924,01/12/1924,17.9,17.7,1.12994,-0.5618
01/01/1925,01/01/1925,.,.,.,.
01/02/1925,01/02/1925,.,.,.,.
01/03/1925,01/03/1925,.,.,.,.
01/04/1925,01/04/1925,.,.,.,.
01/05/1925,01/05/1925,.,.,.,.
01/06/1925,01/06/1925,18.2,17.7,2.82486,1.72414
01/07/1925,01/07/1925,.,.,.,.
01/08/1925,01/08/1925,.,.,.,.
01/09/1925,01/09/1925,.,.,.,.
01/10/1925,01/10/1925,.,.,.,.
01/11/1925,01/11/1925,.,.,.,.
01/12/1925,01/12/1925,18.6,18.5,3.91061,4.51977
01/01/1926,01/01/1926,.,.,.,.
01/02/1926,01/02/1926,.,.,.,.
01/03/1926,01/03/1926,.,.,.,.
01/04/1926,01/04/1926,.,.,.,.
01/05/1926,01/05/1926,.,.,.,.
01/06/1926,01/06/1926,18.3,18.1,0.54945,2.25989
01/07/1926,01/07/1926,.,.,.,.
01/08/1926,01/08/1926,.,.,.,.
01/09/1926,01/09/1926,.,.,.,.
01/10/1926,01/10/1926,.,.,.,.
01/11/1926,01/11/1926,.,.,.,.
01/12/1926,01/12/1926,18.3,18.1,-1.6129,-2.16216
01/01/1927,01/01/1927,.,.,.,.
01/02/1927,01/02/1927,.,.,.,.
01/03/1927,01/03/1927,.,.,.,.
01/04/1927,01/04/1927,.,.,.,.
01/05/1927,01/05/1927,.,.,.,.
01/06/1927,01/06/1927,18.3,18,0,-0.55249
01/07/1927,01/07/1927,.,.,.,.
01/08/1927,01/08/1927,.,.,.,.
01/09/1927,01/09/1927,.,.,.,.
01/10/1927,01/10/1927,.,.,.,.
01/11/1927,01/11/1927,.,.,.,.
01/12/1927,01/12/1927,17.8,18.1,-2.73224,0
01/01/1928,01/01/1928,.,.,.,.
01/02/1928,01/02/1928,.,.,.,.
01/03/1928,01/03/1928,.,.,.,.
01/04/1928,01/04/1928,.,.,.,.
01/05/1928,01/05/1928,.,.,.,.
01/06/1928,01/06/1928,17.6,17.7,-3.82514,-1.66667
01/07/1928,01/07/1928,.,.,.,.
01/08/1928,01/08/1928,.,.,.,.
01/09/1928,01/09/1928,.,.,.,.
01/10/1928,01/10/1928,.,.,.,.
01/11/1928,01/11/1928,.,.,.,.
01/12/1928,01/12/1928,17.7,17.8,-0.5618,-1.65746
01/01/1929,01/01/1929,.,.,.,.
01/02/1929,01/02/1929,.,.,.,.
01/03/1929,01/03/1929,.,.,.,.
01/04/1929,01/04/1929,.,.,.,.
01/05/1929,01/05/1929,.,.,.,.
01/06/1929,01/06/1929,17.6,17.8,0,0.56497
01/07/1929,01/07/1929,.,.,.,.
01/08/1929,01/08/1929,.,.,.,.
01/09/1929,01/09/1929,.,.,.,.
01/10/1929,01/10/1929,.,.,.,.
01/11/1929,01/11/1929,.,.,.,.
01/12/1929,01/12/1929,17.7,17.9,0,0.5618
01/01/1930,01/01/1930,.,.,.,.
01/02/1930,01/02/1930,.,.,.,.
01/03/1930,01/03/1930,.,.,.,.
01/04/1930,01/04/1930,.,.,.,.
01/05/1930,01/05/1930,.,.,.,.
01/06/1930,01/06/1930,17.4,17.4,-1.13636,-2.24719
01/07/1930,01/07/1930,.,.,.,.
01/08/1930,01/08/1930,.,.,.,.
01/09/1930,01/09/1930,.,.,.,.
01/10/1930,01/10/1930,.,.,.,.
01/11/1930,01/11/1930,.,.,.,.
01/12/1930,01/12/1930,16.6,17,-6.21469,-5.02793
01/01/1931,01/01/1931,.,.,.,.
01/02/1931,01/02/1931,.,.,.,.
01/03/1931,01/03/1931,.,.,.,.
01/04/1931,01/04/1931,.,.,.,.
01/05/1931,01/05/1931,.,.,.,.
01/06/1931,01/06/1931,15.6,16,-10.34483,-8.04598
01/07/1931,01/07/1931,.,.,.,.
01/08/1931,01/08/1931,.,.,.,.
01/09/1931,01/09/1931,.,.,.,.
01/10/1931,01/10/1931,.,.,.,.
01/11/1931,01/11/1931,.,.,.,.
01/12/1931,01/12/1931,14.9,15.4,-10.24096,-9.41176
01/01/1932,01/01/1932,.,.,.,.
01/02/1932,01/02/1932,.,.,.,.
01/03/1932,01/03/1932,.,.,.,.
01/04/1932,01/04/1932,.,.,.,.
01/05/1932,01/05/1932,.,.,.,.
01/06/1932,01/06/1932,13.6,14.7,-12.82051,-8.125
01/07/1932,01/07/1932,.,.,.,.
01/08/1932,01/08/1932,.,.,.,.
01/09/1932,01/09/1932,.,.,.,.
01/10/1932,01/10/1932,.,.,.,.
01/11/1932,01/11/1932,.,.,.,.
01/12/1932,01/12/1932,12.9,14.2,-13.42282,-7.79221
01/01/1933,01/01/1933,.,.,.,.
01/02/1933,01/02/1933,.,.,.,.
01/03/1933,01/03/1933,.,.,.,.
01/04/1933,01/04/1933,.,.,.,.
01/05/1933,01/05/1933,.,.,.,.
01/06/1933,01/06/1933,12.4,13.7,-8.82353,-6.80272
01/07/1933,01/07/1933,.,.,.,.
01/08/1933,01/08/1933,.,.,.,.
01/09/1933,01/09/1933,.,.,.,.
01/10/1933,01/10/1933,.,.,.,.
01/11/1933,01/11/1933,.,.,.,.
01/12/1933,01/12/1933,12.7,14,-1.55039,-1.40845
01/01/1934,01/01/1934,.,.,.,.
01/02/1934,01/02/1934,.,.,.,.
01/03/1934,01/03/1934,.,.,.,.
01/04/1934,01/04/1934,.,.,.,.
01/05/1934,01/05/1934,.,.,.,.
01/06/1934,01/06/1934,12.7,14.3,2.41935,4.37956
01/07/1934,01/07/1934,.,.,.,.
01/08/1934,01/08/1934,.,.,.,.
01/09/1934,01/09/1934,.,.,.,.
01/10/1934,01/10/1934,.,.,.,.
01/11/1934,01/11/1934,12.8,14.4,.,.
01/12/1934,01/12/1934,.,.,.,.
01/01/1935,01/01/1935,.,.,.,.
01/02/1935,01/02/1935,.,.,.,.
01/03/1935,01/03/1935,13.3,14.4,.,.
01/04/1935,01/04/1935,.,.,.,.
01/05/1935,01/05/1935,.,.,.,.
01/06/1935,01/06/1935,.,.,.,.
01/07/1935,01/07/1935,13.4,14.3,.,.
01/08/1935,01/08/1935,.,.,.,.
01/09/1935,01/09/1935,.,.,.,.
01/10/1935,01/10/1935,13.4,14.4,.,.
01/11/1935,01/11/1935,.,.,.,.
01/12/1935,01/12/1935,.,.,.,.
01/01/1936,01/01/1936,13.4,14.6,.,.
01/02/1936,01/02/1936,.,.,.,.
01/03/1936,01/03/1936,.,.,.,.
01/04/1936,01/04/1936,13.3,14.4,.,.
01/05/1936,01/05/1936,.,.,.,.
01/06/1936,01/06/1936,.,.,.,.
01/07/1936,01/07/1936,13.6,14.5,1.49254,1.3986
01/08/1936,01/08/1936,.,.,.,.
01/09/1936,01/09/1936,13.8,14.7,.,.
01/10/1936,01/10/1936,.,.,.,.
01/11/1936,01/11/1936,.,.,.,.
01/12/1936,01/12/1936,13.7,14.5,.,.
01/01/1937,01/01/1937,.,.,.,.
01/02/1937,01/02/1937,.,.,.,.
01/03/1937,01/03/1937,13.9,14.8,.,.
01/04/1937,01/04/1937,.,.,.,.
01/05/1937,01/05/1937,.,.,.,.
01/06/1937,01/06/1937,14.2,14.8,.,.
01/07/1937,01/07/1937,.,.,.,.
01/08/1937,01/08/1937,.,.,.,.
01/09/1937,01/09/1937,14.4,15.2,4.34783,3.40136
01/10/1937,01/10/1937,.,.,.,.
01/11/1937,01/11/1937,.,.,.,.
01/12/1937,01/12/1937,14.2,15,3.64964,3.44828
01/01/1938,01/01/1938,.,.,.,.
01/02/1938,01/02/1938,.,.,.,.
01/03/1938,01/03/1938,13.9,14.5,0,-2.02703
01/04/1938,01/04/1938,.,.,.,.
01/05/1938,01/05/1938,.,.,.,.
01/06/1938,01/06/1938,14,14.5,-1.40845,-2.02703
01/07/1938,01/07/1938,.,.,.,.
01/08/1938,01/08/1938,.,.,.,.
01/09/1938,01/09/1938,14,14.6,-2.77778,-3.94737
01/10/1938,01/10/1938,.,.,.,.
01/11/1938,01/11/1938,.,.,.,.
01/12/1938,01/12/1938,13.8,14.6,-2.8169,-2.66667
01/01/1939,01/01/1939,.,.,.,.
01/02/1939,01/02/1939,.,.,.,.
01/03/1939,01/03/1939,13.7,14.5,-1.43885,0
01/04/1939,01/04/1939,.,.,.,.
01/05/1939,01/05/1939,.,.,.,.
01/06/1939,01/06/1939,13.6,14.3,-2.85714,-1.37931
01/07/1939,01/07/1939,.,.,.,.
01/08/1939,01/08/1939,.,.,.,.
01/09/1939,01/09/1939,13.8,14.8,-1.42857,1.36986
01/10/1939,01/10/1939,.,.,.,.
01/11/1939,01/11/1939,.,.,.,.
01/12/1939,01/12/1939,13.7,14.6,-0.72464,0
01/01/1940,01/01/1940,.,.,.,.
01/02/1940,01/02/1940,.,.,.,.
01/03/1940,01/03/1940,13.7,14.7,0,1.37931
01/04/1940,01/04/1940,.,.,.,.
01/05/1940,01/05/1940,.,.,.,.
01/06/1940,01/06/1940,13.9,14.8,2.20588,3.4965
01/07/1940,01/07/1940,.,.,.,.
01/08/1940,01/08/1940,.,.,.,.
01/09/1940,01/09/1940,13.8,14.7,0,-0.67568
01/10/1940,01/10/1940,13.8,14.6,.,.
01/11/1940,01/11/1940,13.8,14.7,.,.
01/12/1940,01/12/1940,13.9,14.7,1.45985,0.68493
01/01/1941,01/01/1941,13.9,14.7,.,.
01/02/1941,01/02/1941,13.9,14.8,.,.
01/03/1941,01/03/1941,13.9,14.8,1.45985,0.68027
01/04/1941,01/04/1941,14.1,14.9,.,.
01/05/1941,01/05/1941,14.2,15,.,.
01/06/1941,01/06/1941,14.4,15.2,3.59712,2.7027
01/07/1941,01/07/1941,14.6,15.3,.,.
01/08/1941,01/08/1941,14.7,15.4,.,.
01/09/1941,01/09/1941,15,15.6,8.69565,6.12245
01/10/1941,01/10/1941,15.1,15.7,9.42029,7.53425
01/11/1941,01/11/1941,15.2,15.8,10.14493,7.48299
01/12/1941,01/12/1941,15.2,15.8,9.35252,7.48299
01/01/1942,01/01/1942,15.4,16.1,10.79137,9.52381
01/02/1942,01/02/1942,15.4,16.2,10.79137,9.45946
01/03/1942,01/03/1942,15.6,16.3,12.23022,10.13514
01/04/1942,01/04/1942,15.8,16.4,12.05674,10.06711
01/05/1942,01/05/1942,16,16.5,12.67606,10
01/06/1942,01/06/1942,16,16.7,11.11111,9.86842
01/07/1942,01/07/1942,16,16.8,9.58904,9.80392
01/08/1942,01/08/1942,16.1,16.9,9.52381,9.74026
01/09/1942,01/09/1942,16.1,16.9,7.33333,8.33333
01/10/1942,01/10/1942,16.3,17.1,7.94702,8.9172
01/11/1942,01/11/1942,16.4,17.3,7.89474,9.49367
01/12/1942,01/12/1942,16.4,17.4,7.89474,10.12658
01/01/1943,01/01/1943,16.4,17.5,6.49351,8.69565
01/02/1943,01/02/1943,16.5,17.5,7.14286,8.02469
01/03/1943,01/03/1943,16.8,17.8,7.69231,9.20245
01/04/1943,01/04/1943,16.9,17.9,6.96203,9.14634
01/05/1943,01/05/1943,17.1,18.1,6.875,9.69697
01/06/1943,01/06/1943,17,18.1,6.25,8.38323
01/07/1943,01/07/1943,16.8,18.1,5,7.7381
01/08/1943,01/08/1943,16.9,17.9,4.96894,5.91716
01/09/1943,01/09/1943,17,18.1,5.59006,7.10059
01/10/1943,01/10/1943,17,18.2,4.29448,6.43275
01/11/1943,01/11/1943,16.9,18.2,3.04878,5.20231
01/12/1943,01/12/1943,16.9,18.2,3.04878,4.5977
01/01/1944,01/01/1944,16.8,18.2,2.43902,4
01/02/1944,01/02/1944,16.8,18.1,1.81818,3.42857
01/03/1944,01/03/1944,16.8,18.2,0,2.24719
01/04/1944,01/04/1944,17,18.3,0.59172,2.23464
01/05/1944,01/05/1944,17,18.4,-0.5848,1.65746
01/06/1944,01/06/1944,17.1,18.4,0.58824,1.65746
01/07/1944,01/07/1944,17.3,18.5,2.97619,2.20994
01/08/1944,01/08/1944,17.3,18.5,2.36686,3.35196
01/09/1944,01/09/1944,17.3,18.5,1.76471,2.20994
01/10/1944,01/10/1944,17.3,18.5,1.76471,1.64835
01/11/1944,01/11/1944,17.3,18.6,2.36686,2.1978
01/12/1944,01/12/1944,17.3,18.6,2.36686,2.1978
01/01/1945,01/01/1945,17.3,18.6,2.97619,2.1978
01/02/1945,01/02/1945,17.3,18.6,2.97619,2.76243
01/03/1945,01/03/1945,17.3,18.5,2.97619,1.64835
01/04/1945,01/04/1945,17.3,18.6,1.76471,1.63934
01/05/1945,01/05/1945,17.6,18.7,3.52941,1.63043
01/06/1945,01/06/1945,17.6,18.9,2.92398,2.71739
01/07/1945,01/07/1945,17.6,19.1,1.7341,3.24324
01/08/1945,01/08/1945,17.6,19,1.7341,2.7027
01/09/1945,01/09/1945,17.5,18.9,1.15607,2.16216
01/10/1945,01/10/1945,17.5,18.9,1.15607,2.16216
01/11/1945,01/11/1945,17.5,19,1.15607,2.15054
01/12/1945,01/12/1945,17.6,19.1,1.7341,2.68817
01/01/1946,01/01/1946,17.6,19.2,1.7341,3.22581
01/02/1946,01/02/1946,17.6,19.2,1.7341,3.22581
01/03/1946,01/03/1946,17.6,19.3,1.7341,4.32432
01/04/1946,01/04/1946,17.8,19.5,2.89017,4.83871
01/05/1946,01/05/1946,17.9,19.6,1.70455,4.81283
01/06/1946,01/06/1946,18,19.8,2.27273,4.7619
01/07/1946,01/07/1946,19.4,21,10.22727,9.94764
01/08/1946,01/08/1946,19.8,21.3,12.5,12.10526
01/09/1946,01/09/1946,20,21.8,14.28571,15.34392
01/10/1946,01/10/1946,20.6,22.3,17.71429,17.98942
01/11/1946,01/11/1946,21,22.5,20,18.42105
01/12/1946,01/12/1946,21.1,22.7,19.88636,18.84817
01/01/1947,01/01/1947,21.1,22.6,19.88636,17.70833
01/02/1947,01/02/1947,21,22.5,19.31818,17.1875
01/03/1947,01/03/1947,21.5,23,22.15909,19.17098
01/04/1947,01/04/1947,21.4,22.9,20.22472,17.4359
01/05/1947,01/05/1947,21.5,22.7,20.11173,15.81633
01/06/1947,01/06/1947,21.8,22.9,21.11111,15.65657
01/07/1947,01/07/1947,22,23,13.40206,9.52381
01/08/1947,01/08/1947,22.4,23.2,13.13131,8.92019
01/09/1947,01/09/1947,23.1,23.6,15.5,8.25688
01/10/1947,01/10/1947,23,23.6,11.65049,5.8296
01/11/1947,01/11/1947,23.1,23.9,10,6.22222
01/12/1947,01/12/1947,23.4,24.1,10.90047,6.1674
01/01/1948,01/01/1948,23.5,24.4,11.37441,7.9646
01/02/1948,01/02/1948,23.2,24.3,10.47619,8
01/03/1948,01/03/1948,23.2,24,7.90698,4.34783
01/04/1948,01/04/1948,23.7,24.4,10.74766,6.55022
01/05/1948,01/05/1948,24,24.5,11.62791,7.92952
01/06/1948,01/06/1948,24.2,24.7,11.00917,7.86026
01/07/1948,01/07/1948,24.5,25.2,11.36364,9.56522
01/08/1948,01/08/1948,24.6,25.3,9.82143,9.05172
01/09/1948,01/09/1948,24.7,25.3,6.92641,7.20339
01/10/1948,01/10/1948,24.5,25.1,6.52174,6.35593
01/11/1948,01/11/1948,24.2,25,4.7619,4.60251
01/12/1948,01/12/1948,24.1,24.7,2.99145,2.48963
01/01/1949,01/01/1949,24,24.7,2.12766,1.22951
01/02/1949,01/02/1949,23.8,24.4,2.58621,0.41152
01/03/1949,01/03/1949,24,24.5,3.44828,2.08333
01/04/1949,01/04/1949,24.1,24.6,1.68776,0.81967
01/05/1949,01/05/1949,24,24.5,0,0
01/06/1949,01/06/1949,24.2,24.5,0,-0.80972
01/07/1949,01/07/1949,23.9,24.5,-2.44898,-2.77778
01/08/1949,01/08/1949,24,24.5,-2.43902,-3.16206
01/09/1949,01/09/1949,24.2,24.6,-2.02429,-2.7668
01/10/1949,01/10/1949,24,24.3,-2.04082,-3.18725
01/11/1949,01/11/1949,24.1,24.3,-0.41322,-2.8
01/12/1949,01/12/1949,23.8,24.2,-1.24481,-2.02429
01/01/1950,01/01/1950,23.7,24,-1.25,-2.83401
01/02/1950,01/02/1950,23.7,24.1,-0.42017,-1.22951
01/03/1950,01/03/1950,23.8,24.1,-0.83333,-1.63265
01/04/1950,01/04/1950,23.7,24.2,-1.65975,-1.62602
01/05/1950,01/05/1950,24,24.2,0,-1.22449
01/06/1950,01/06/1950,24,24.3,-0.82645,-0.81633
01/07/1950,01/07/1950,24.3,24.7,1.67364,0.81633
01/08/1950,01/08/1950,24.5,24.7,2.08333,0.81633
01/09/1950,01/09/1950,24.6,25,1.65289,1.62602
01/10/1950,01/10/1950,24.7,25.1,2.91667,3.29218
01/11/1950,01/11/1950,24.8,25.3,2.90456,4.11523
01/12/1950,01/12/1950,25.2,25.6,5.88235,5.78512
01/01/1951,01/01/1951,25.5,25.9,7.59494,7.91667
01/02/1951,01/02/1951,25.9,26.3,9.2827,9.12863
01/03/1951,01/03/1951,25.9,26.3,8.82353,9.12863
01/04/1951,01/04/1951,26,26.3,9.70464,8.67769
01/05/1951,01/05/1951,26,26.5,8.33333,9.50413
01/06/1951,01/06/1951,26.1,26.3,8.75,8.23045
01/07/1951,01/07/1951,26.2,26.4,7.81893,6.88259
01/08/1951,01/08/1951,26.2,26.4,6.93878,6.88259
01/09/1951,01/09/1951,26.3,26.6,6.91057,6.4
01/10/1951,01/10/1951,26.5,26.7,7.28745,6.3745
01/11/1951,01/11/1951,26.7,26.8,7.66129,5.92885
01/12/1951,01/12/1951,26.6,26.8,5.55556,4.6875
01/01/1952,01/01/1952,26.6,26.8,4.31373,3.4749
01/02/1952,01/02/1952,26.3,26.7,1.5444,1.52091
01/03/1952,01/03/1952,26.4,26.6,1.9305,1.14068
01/04/1952,01/04/1952,26.5,26.7,1.92308,1.52091
01/05/1952,01/05/1952,26.7,26.7,2.69231,0.75472
01/06/1952,01/06/1952,26.8,26.7,2.68199,1.52091
01/07/1952,01/07/1952,26.9,27.1,2.67176,2.65152
01/08/1952,01/08/1952,27,27.1,3.05344,2.65152
01/09/1952,01/09/1952,26.9,27.1,2.28137,1.8797
01/10/1952,01/10/1952,26.9,27.1,1.50943,1.49813
01/11/1952,01/11/1952,26.9,27.2,0.74906,1.49254
01/12/1952,01/12/1952,26.8,27,0.75188,0.74627
01/01/1953,01/01/1953,26.7,26.9,0.37594,0.37313
01/02/1953,01/02/1953,26.6,26.8,1.14068,0.37453
01/03/1953,01/03/1953,26.6,26.8,0.75758,0.75188
01/04/1953,01/04/1953,26.7,26.8,0.75472,0.37453
01/05/1953,01/05/1953,26.8,26.8,0.37453,0.37453
01/06/1953,01/06/1953,26.9,27,0.37313,1.1236
01/07/1953,01/07/1953,27,27.1,0.37175,0
01/08/1953,01/08/1953,27.2,27.2,0.74074,0.369
01/09/1953,01/09/1953,27.2,27.3,1.11524,0.73801
01/10/1953,01/10/1953,27.4,27.3,1.85874,0.73801
01/11/1953,01/11/1953,27.2,27.2,1.11524,0
01/12/1953,01/12/1953,27.2,27.3,1.49254,1.11111
01/01/1954,01/01/1954,27.2,27.3,1.87266,1.48699
01/02/1954,01/02/1954,27.2,27.2,2.25564,1.49254
01/03/1954,01/03/1954,27.2,27.1,2.25564,1.1194
01/04/1954,01/04/1954,27.2,27.2,1.87266,1.49254
01/05/1954,01/05/1954,27.4,27.2,2.23881,1.49254
01/06/1954,01/06/1954,27.4,27.2,1.85874,0.74074
01/07/1954,01/07/1954,27.6,27.3,2.22222,0.73801
01/08/1954,01/08/1954,27.5,27.3,1.10294,0.36765
01/09/1954,01/09/1954,27.4,27.2,0.73529,-0.3663
01/10/1954,01/10/1954,27.4,27.2,0,-0.3663
01/11/1954,01/11/1954,27.5,27.2,1.10294,0
01/12/1954,01/12/1954,27.3,27.1,0.36765,-0.7326
01/01/1955,01/01/1955,27.3,27.1,0.36765,-0.7326
01/02/1955,01/02/1955,27.4,27.2,0.73529,0
01/03/1955,01/03/1955,27.3,27.1,0.36765,0
01/04/1955,01/04/1955,27.3,27.1,0.36765,-0.36765
01/05/1955,01/05/1955,27.4,27,0,-0.73529
01/06/1955,01/06/1955,27.4,27,0,-0.73529
01/07/1955,01/07/1955,27.6,27,0,-1.0989
01/08/1955,01/08/1955,27.7,27,0.72727,-1.0989
01/09/1955,01/09/1955,27.8,27.2,1.45985,0
01/10/1955,01/10/1955,27.8,27.1,1.45985,-0.36765
01/11/1955,01/11/1955,27.8,27.2,1.09091,0
01/12/1955,01/12/1955,27.7,27,1.4652,-0.369
01/01/1956,01/01/1956,27.6,27.1,1.0989,0
01/02/1956,01/02/1956,27.6,27.1,0.72993,-0.36765
01/03/1956,01/03/1956,27.5,27.1,0.7326,0
01/04/1956,01/04/1956,27.6,27.1,1.0989,0
01/05/1956,01/05/1956,27.7,27.3,1.09489,1.11111
01/06/1956,01/06/1956,27.9,27.4,1.82482,1.48148
01/07/1956,01/07/1956,28.2,27.6,2.17391,2.22222
01/08/1956,01/08/1956,28,27.6,1.08303,2.22222
01/09/1956,01/09/1956,28.1,27.8,1.07914,2.20588
01/10/1956,01/10/1956,28.3,27.9,1.79856,2.95203
01/11/1956,01/11/1956,28.3,27.9,1.79856,2.57353
01/12/1956,01/12/1956,28.3,27.9,2.16606,3.33333
01/01/1957,01/01/1957,28.3,27.9,2.53623,2.95203
01/02/1957,01/02/1957,28.4,28,2.89855,3.32103
01/03/1957,01/03/1957,28.4,28,3.27273,3.32103
01/04/1957,01/04/1957,28.5,28.2,3.26087,4.05904
01/05/1957,01/05/1957,28.6,28.3,3.2491,3.663
01/06/1957,01/06/1957,28.7,28.4,2.86738,3.64964
01/07/1957,01/07/1957,29,28.6,2.83688,3.62319
01/08/1957,01/08/1957,29,28.6,3.57143,3.62319
01/09/1957,01/09/1957,29.1,28.5,3.55872,2.51799
01/10/1957,01/10/1957,29.2,28.6,3.18021,2.50896
01/11/1957,01/11/1957,29.4,28.6,3.88693,2.50896
01/12/1957,01/12/1957,29.4,28.6,3.88693,2.50896
01/01/1958,01/01/1958,29.5,29,4.24028,3.94265
01/02/1958,01/02/1958,29.5,29,3.87324,3.57143
01/03/1958,01/03/1958,29.7,29.2,4.57746,4.28571
