ISO3,UE Duration,Year,Replacement Rate,Country,Rank
JPN,2-year,2022,38,Japan,2
JPN,5-year,2022,38,Japan,2
JPN,6-month,2022,80,Japan,2
LUX,1-year,2022,85,Luxembourg,1
LUX,2-month,2022,85,Luxembourg,1
LUX,2-year,2022,55,Luxembourg,1
LUX,5-year,2022,55,Luxembourg,1
LUX,6-month,2022,85,Luxembourg,1
NOR,1-year,2022,78,Norway,8
NOR,2-month,2022,78,Norway,8
NOR,2-year,2022,78,Norway,8
NOR,5-year,2022,23,Norway,8
NOR,6-month,2022,78,Norway,8
SVK,1-year,2022,10,Slovakia,19
SVK,2-month,2022,64,Slovakia,19
SVK,2-year,2022,10,Slovakia,19
SVK,5-year,2022,10,Slovakia,19
SVK,6-month,2022,64,Slovakia,19
ESP,1-year,2022,55,Spain,4
ESP,2-month,2022,79,Spain,4
ESP,2-year,2022,55,Spain,4
ESP,5-year,2022,37,Spain,4
ESP,6-month,2022,79,Spain,4
SWE,1-year,2022,64,Sweden,13
SWE,2-month,2022,72,Sweden,13
SWE,2-year,2022,59,Sweden,13
SWE,5-year,2022,59,Sweden,13
SWE,6-month,2022,72,Sweden,13
CHE,1-year,2022,74,Switzerland,12
CHE,2-month,2022,74,Switzerland,12
CHE,2-year,2022,25,Switzerland,12
CHE,5-year,2022,25,Switzerland,12
CHE,6-month,2022,74,Switzerland,12
TUR,1-year,2022,0,Türkiye,24
TUR,2-month,2022,51,Türkiye,24
TUR,2-year,2022,0,Türkiye,24
TUR,5-year,2022,0,Türkiye,24
TUR,6-month,2022,51,Türkiye,24
GBR,1-year,2022,16,United Kingdom,28
GBR,2-month,2022,16,United Kingdom,28
GBR,2-year,2022,16,United Kingdom,28
GBR,5-year,2022,16,United Kingdom,28
GBR,6-month,2022,16,United Kingdom,28
BGR,1-year,2022,77,Bulgaria,9
BGR,2-month,2022,77,Bulgaria,9
BGR,2-year,2022,12,Bulgaria,9
BGR,5-year,2022,12,Bulgaria,9
BGR,6-month,2022,77,Bulgaria,9
HRV,1-year,2022,39,Croatia,3
HRV,2-month,2022,79,Croatia,3
HRV,2-year,2022,17,Croatia,3
HRV,5-year,2022,17,Croatia,3
HRV,6-month,2022,39,Croatia,3
CYP,1-year,2022,38,Cyprus,20
CYP,2-month,2022,61,Cyprus,20
CYP,2-year,2022,38,Cyprus,20
CYP,5-year,2022,38,Cyprus,20
CYP,6-month,2022,61,Cyprus,20
EST,1-year,2022,46,Estonia,18
EST,2-month,2022,65,Estonia,18
EST,2-year,2022,15,Estonia,18
EST,5-year,2022,15,Estonia,18
EST,6-month,2022,46,Estonia,18
LVA,1-year,2022,15,Latvia,7
LVA,2-month,2022,78,Latvia,7
LVA,2-year,2022,15,Latvia,7
LVA,5-year,2022,15,Latvia,7
LVA,6-month,2022,39,Latvia,7
LTU,1-year,2022,20,Lithuania,6
LTU,2-month,2022,79,Lithuania,6
LTU,2-year,2022,18,Lithuania,6
LTU,5-year,2022,18,Lithuania,6
LTU,6-month,2022,68,Lithuania,6
MLT,1-year,2022,50,Malta,26
MLT,2-month,2022,39,Malta,26
MLT,2-year,2022,50,Malta,26
MLT,5-year,2022,50,Malta,26
MLT,6-month,2022,39,Malta,26
ROU,1-year,2022,30,Romania,27
ROU,2-month,2022,30,Romania,27
ROU,2-year,2022,6,Romania,27
ROU,5-year,2022,6,Romania,27
ROU,6-month,2022,30,Romania,27
SVN,1-year,2022,44,Slovenia,10
SVN,2-month,2022,76,Slovenia,10
SVN,2-year,2022,44,Slovenia,10
SVN,5-year,2022,44,Slovenia,10
SVN,6-month,2022,67,Slovenia,10
