description,type,name,year,region_s,price
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,London,6.25
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,South East,6.3499999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,South West,6.3000002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,East Anglia,6.5
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,East Midlands,5.5999999
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,West Midlands,5.9000001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,Yorkshire & Humber,5.1300001
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,North West,5.5
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,North,4.9499998
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,Wales,5.8000002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,Scotland,5.5500002
COAL-HOUSEHOLD BEST QUAL 50KG,Presents,Coal,1988.0,Northern Ireland,6.6599998
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,London,0.23999999
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,South East,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,South West,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,East Anglia,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,East Midlands,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,West Midlands,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,Yorkshire & Humber,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,North West,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,North,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,Wales,0.23
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,Scotland,0.22
CREAM CRACKERS PACK 200G-300G,Food,Crackers,1988.0,Northern Ireland,0.25
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,London,12.95
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,South East,10.5
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,South West,9.9799995
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,East Anglia,8.9899998
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,East Midlands,5.4899998
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,West Midlands,11.99
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,Yorkshire & Humber,6.9899998
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,North West,10.95
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,North,12.469999
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,Wales,4.9899998
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,Scotland,7.9899998
CHILD'S PLASTIC DOLL,Gifts for Kids,Doll,1988.0,Northern Ireland,7.9899998
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,London,19.970001
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,South East,27.0
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,South West,22.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,East Anglia,34.5
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,East Midlands,20.0
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,West Midlands,22.99
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,Yorkshire & Humber,25.0
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,North West,27.5
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,North,34.950001
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,Wales,20.0
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,Scotland,22.9
"9CT GOLD CHAIN 18-20""/46-51CM",Presents,Gold chain,1988.0,Northern Ireland,11.5
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,London,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,South East,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,South West,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,East Anglia,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,East Midlands,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,West Midlands,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,Yorkshire & Humber,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,North West,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,North,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,Wales,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,Scotland,0.69
INDIGESTION TABLETS 16-24 PACK,Food,Indigestion tablets,1988.0,Northern Ireland,0.69
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,London,2.425082
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,South East,2.1605277
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,South West,2.4030359
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,East Anglia,2.425082
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,East Midlands,2.4691744
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,West Midlands,2.5132668
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,Yorkshire & Humber,2.1825738
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,North West,2.425082
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,North,2.3368971
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,Wales,2.1825738
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,Scotland,3.1966991
HOME KILLED LAMB-SHOULDER KG,Meat,Lamb shoulder,1988.0,Northern Ireland,4.5194707
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,London,11.95
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,South East,5.4899998
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,South West,5.9499998
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,East Anglia,4.25
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,East Midlands,11.49
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,West Midlands,5.9899998
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,Yorkshire & Humber,6.4899998
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,North West,9.9499998
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,North,5.9899998
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,Wales,4.25
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,Scotland,4.4949999
CONSTRUCTION TOY: SPEC KIT NO,Gifts for Kids,Meccano,1988.0,Northern Ireland,8.1000004
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,London,3.5053458
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,South East,3.0644217
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,South West,3.2848837
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,East Anglia,3.1746528
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,East Midlands,3.086468
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,West Midlands,3.1966991
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,Yorkshire & Humber,3.0644217
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,North West,3.1746528
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,North,3.3069301
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,Wales,3.2628376
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,Scotland,3.7037616
HOME KILLED PORK-LOIN CHOPS KG,Meat,Pork chops,1988.0,Northern Ireland,4.3982167
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,London,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,South East,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,South West,4.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,East Anglia,3.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,East Midlands,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,West Midlands,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,Yorkshire & Humber,2.5899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,North West,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,North,2.45
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,Wales,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,Scotland,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988.0,Northern Ireland,3.49
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,London,1.16
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,South East,1.16
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,South West,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,East Anglia,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,East Midlands,1.0599999
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,West Midlands,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,Yorkshire & Humber,1.0599999
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,North West,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,North,1.05
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,Wales,1.02
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,Scotland,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,1988.0,Northern Ireland,1.0
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,London,0.99000001
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,South East,0.88999999
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,South West,0.82500005
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,East Anglia,0.94999999
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,East Midlands,0.79500002
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,West Midlands,0.87
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,Yorkshire & Humber,0.79000002
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,North West,0.94999999
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,North,0.85000002
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,Wales,0.85000002
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,Scotland,1.99
"MODEL RD VEHICLE, EG MATCHBOX",Gifts for Kids,Toy car,1988.0,Northern Ireland,0.99000001
APPLES-COOKING-PER KG,Food,Apples,1989.0,London,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1989.0,South East,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1989.0,South West,0.771617
APPLES-COOKING-PER KG,Food,Apples,1989.0,East Anglia,0.74957079
APPLES-COOKING-PER KG,Food,Apples,1989.0,East Midlands,0.771617
APPLES-COOKING-PER KG,Food,Apples,1989.0,West Midlands,0.771617
APPLES-COOKING-PER KG,Food,Apples,1989.0,Yorkshire & Humber,0.83775556
APPLES-COOKING-PER KG,Food,Apples,1989.0,North West,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1989.0,North,0.66138601
APPLES-COOKING-PER KG,Food,Apples,1989.0,Wales,0.7936632
APPLES-COOKING-PER KG,Food,Apples,1989.0,Scotland,0.74957079
APPLES-COOKING-PER KG,Food,Apples,1989.0,Northern Ireland,0.55115497
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,London,5.65485
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,South East,5.533596
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,South West,5.7320118
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,East Anglia,6.0186129
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,East Midlands,6.2611208
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,West Midlands,5.9524741
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,Yorkshire & Humber,5.8201971
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,North West,5.776104
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,North,5.9414511
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,Wales,5.9414511
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,Scotland,6.1067972
HOME KILLED BEEF-TOPSIDE KG,Meat,Beef joint,1989.0,Northern Ireland,6.172936
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,London,1.1
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,South East,1.0599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,South West,1.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,East Anglia,1.0
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,East Midlands,0.95999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,West Midlands,0.88999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,Yorkshire & Humber,0.91000003
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,North West,0.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,North,0.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,Wales,0.88999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,Scotland,0.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989.0,Northern Ireland,1.05
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,London,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,South East,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,South West,8.9499998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,East Anglia,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,East Midlands,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,West Midlands,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,Yorkshire & Humber,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,North West,7.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,North,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,Wales,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,Scotland,8.9899998
BOXED BOARD GAME: NOT TRAVEL,Gifts for Kids,Board game,1989.0,Northern Ireland,7.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,London,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,South East,8.4899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,South West,11.95
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,East Anglia,8.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,East Midlands,8.5900002
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,West Midlands,7.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,Yorkshire & Humber,8.6899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,North West,8.6899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,North,8.3500004
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,Wales,8.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,Scotland,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989.0,Northern Ireland,6.9899998
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,London,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,South East,0.60627055
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,South West,0.6283167
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,East Anglia,0.52910876
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,East Midlands,0.48501641
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,West Midlands,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,Yorkshire & Humber,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,North West,0.48501641
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,North,0.55115497
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,Wales,0.48501641
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,Scotland,0.44092402
FRESH VEG-CABBAGE-WHOLE-PER KG,Vegetables,Cabbage,1989.0,Northern Ireland,0.33069301
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1989.0,London,0.48501641
FRESH VEG-CARROTS-PER KG,Vegetables,Carrots,1989.0,South East,0.48501641
