company,date,closing price_$,percentage of change
nintendo,2020-12-01,16.1,0.1349
nintendo,2020-11-02,14.19,0.0475
nintendo,2020-10-01,13.55,-0.0447
nintendo,2020-09-01,14.18,0.0524
nintendo,2020-08-03,13.47,0.2246999999999999
nintendo,2020-07-01,11.0,-0.0159
nintendo,2020-06-01,11.18,0.0994999999999999
nintendo,2020-05-01,10.17,-0.0116999999999999
nintendo,2020-04-01,10.29,0.0655
nintendo,2020-03-02,9.66,0.1501
nintendo,2020-02-03,8.4,-0.0853999999999999
nintendo,2020-01-02,9.18,-0.0802
nintendo,2019-12-02,9.98,0.0312
nintendo,2019-11-01,9.68,0.0401999999999999
nintendo,2019-10-01,9.3,-0.0017
nintendo,2019-09-03,9.32,-0.0138
nintendo,2019-08-01,9.45,0.0229
nintendo,2019-07-01,9.24,0.0092
nintendo,2019-06-03,9.15,0.037
nintendo,2019-05-01,8.83,0.0245
nintendo,2019-04-01,8.62,0.201
nintendo,2019-03-01,7.17,0.0473
nintendo,2019-02-01,6.85,-0.0803
nintendo,2019-01-02,7.45,0.1251
nintendo,2018-12-03,6.62,-0.126
nintendo,2018-11-01,7.57,-0.0322
nintendo,2018-10-01,7.83,-0.1393
nintendo,2018-09-04,9.09,0.0115
nintendo,2018-08-01,8.99,0.0533999999999999
nintendo,2018-07-02,8.53,0.0461
nintendo,2018-06-01,8.16,-0.2007999999999999
nintendo,2018-05-01,10.21,-0.0274
nintendo,2018-04-02,10.5,-0.0546
nintendo,2018-03-01,11.1,-0.027
nintendo,2018-02-01,11.41,-0.0005
