Country,Year,Gini
United Kingdom,2001,0.49
United Kingdom,2002,0.49
United Kingdom,2003,0.5
United Kingdom,2004,0.49
United Kingdom,2005,0.5
United Kingdom,2006,0.5
United Kingdom,2007,0.5
United Kingdom,2008,0.49
United Kingdom,2009,0.47
United Kingdom,2010,0.47
United Kingdom,2011,0.48
United Kingdom,2012,0.49
United Kingdom,2013,0.5
United Kingdom,2014,0.48
United Kingdom,2015,0.47
United Kingdom,2016,0.47
United Kingdom,2017,0.47
United Kingdom,2018,0.47
United Kingdom,2019,0.47
United Kingdom,2020,0.47
United Kingdom,2021,0.47
USA,1980,0.45
USA,1981,0.46
USA,1982,0.47
USA,1983,0.48
USA,1984,0.49
USA,1985,0.49
USA,1986,0.49
USA,1987,0.5
USA,1988,0.51
USA,1989,0.51
USA,1990,0.51
USA,1991,0.51
USA,1992,0.52
USA,1993,0.52
USA,1994,0.52
USA,1995,0.53
USA,1996,0.54
USA,1997,0.54
USA,1998,0.54
USA,1999,0.55
USA,2000,0.55
USA,2001,0.54
USA,2002,0.54
USA,2003,0.54
USA,2004,0.55
USA,2005,0.56
USA,2006,0.57
USA,2007,0.56
USA,2008,0.56
USA,2009,0.58
USA,2010,0.57
USA,2011,0.57
USA,2012,0.58
USA,2013,0.58
USA,2014,0.58
USA,2015,0.58
USA,2016,0.58
USA,2017,0.58
USA,2018,0.58
USA,2019,0.58
USA,2020,0.57
USA,2021,0.58
