prices,obs,date,region
5211,71151,1991-03-01,London
6516,71151,1991-03-01,South West
9228,71151,1991-03-01,North West
7316,71151,1991-03-01,South East
5130,71151,1991-03-01,North
2967,71151,1991-03-01,Northern Ireland
6751,71151,1991-03-01,Scotland
4618,71151,1991-03-01,East Midlands
7067,71151,1991-03-01,West Midlands
4665,71151,1991-03-01,East Anglia
5873,71151,1991-03-01,Yorkshire & Humber
5203,72853,1991-04-01,Wales
2879,72853,1991-04-01,Northern Ireland
7317,72853,1991-04-01,West Midlands
6190,72853,1991-04-01,South West
4477,72853,1991-04-01,East Anglia
5284,72853,1991-04-01,North
9449,72853,1991-04-01,North West
5899,72853,1991-04-01,London
7688,72853,1991-04-01,South East
6970,72853,1991-04-01,Scotland
4671,72853,1991-04-01,East Midlands
5955,72853,1991-04-01,Yorkshire & Humber
4809,74482,1991-05-01,East Anglia
6016,74482,1991-05-01,South West
7490,74482,1991-05-01,Scotland
2941,74482,1991-05-01,Northern Ireland
7060,74482,1991-05-01,South East
6966,74482,1991-05-01,West Midlands
5383,74482,1991-05-01,Wales
5980,74482,1991-05-01,North
10066,74482,1991-05-01,North West
6011,74482,1991-05-01,London
4965,74482,1991-05-01,East Midlands
5905,74482,1991-05-01,Yorkshire & Humber
7918,77477,1991-06-01,Scotland
6791,77477,1991-06-01,London
7287,77477,1991-06-01,West Midlands
4919,77477,1991-06-01,East Midlands
5409,77477,1991-06-01,Wales
10390,77477,1991-06-01,North West
7439,77477,1991-06-01,South East
6258,77477,1991-06-01,North
5963,77477,1991-06-01,Yorkshire & Humber
5213,77477,1991-06-01,East Anglia
6210,77477,1991-06-01,South West
2989,77477,1991-06-01,Northern Ireland
7771,78589,1991-07-01,Scotland
5289,78589,1991-07-01,Wales
2890,78589,1991-07-01,Northern Ireland
6553,78589,1991-07-01,South West
7748,78589,1991-07-01,South East
5232,78589,1991-07-01,East Anglia
5447,78589,1991-07-01,East Midlands
8102,78589,1991-07-01,West Midlands
6836,78589,1991-07-01,London
5680,78589,1991-07-01,Yorkshire & Humber
5838,78589,1991-07-01,North
10431,78589,1991-07-01,North West
6562,77622,1991-08-01,South West
2921,77622,1991-08-01,Northern Ireland
8026,77622,1991-08-01,West Midlands
5886,77622,1991-08-01,North
5288,77622,1991-08-01,Wales
10396,77622,1991-08-01,North West
6289,77622,1991-08-01,London
5396,77622,1991-08-01,East Midlands
5195,77622,1991-08-01,East Anglia
5609,77622,1991-08-01,Yorkshire & Humber
7611,77622,1991-08-01,South East
7782,77622,1991-08-01,Scotland
2862,84335,1991-09-01,Northern Ireland
5239,84335,1991-09-01,East Anglia
5608,84335,1991-09-01,Wales
11294,84335,1991-09-01,North West
5846,84335,1991-09-01,East Midlands
8576,84335,1991-09-01,West Midlands
6457,84335,1991-09-01,North
5588,84335,1991-09-01,Yorkshire & Humber
8512,84335,1991-09-01,Scotland
6524,84335,1991-09-01,South West
7984,84335,1991-09-01,London
9220,84335,1991-09-01,South East
6050,87414,1991-10-01,East Midlands
6798,87414,1991-10-01,South West
10079,87414,1991-10-01,South East
6076,87414,1991-10-01,Wales
2046,87414,1991-10-01,Northern Ireland
5816,87414,1991-10-01,East Anglia
8267,87414,1991-10-01,London
6598,87414,1991-10-01,North
11445,87414,1991-10-01,North West
6351,87414,1991-10-01,Yorkshire & Humber
8714,87414,1991-10-01,West Midlands
8581,87414,1991-10-01,Scotland
9195,92291,1991-11-01,West Midlands
6288,92291,1991-11-01,East Midlands
10815,92291,1991-11-01,South East
11838,92291,1991-11-01,North West
7182,92291,1991-11-01,South West
5943,92291,1991-11-01,East Anglia
6385,92291,1991-11-01,Yorkshire & Humber
8902,92291,1991-11-01,London
2957,92291,1991-11-01,Northern Ireland
6265,92291,1991-11-01,Wales
7125,92291,1991-11-01,North
8738,92291,1991-11-01,Scotland
6131,94958,1991-12-01,East Anglia
8846,94958,1991-12-01,Scotland
9161,94958,1991-12-01,West Midlands
6596,94958,1991-12-01,Yorkshire & Humber
7386,94958,1991-12-01,South West
6637,94958,1991-12-01,North
12469,94958,1991-12-01,North West
6391,94958,1991-12-01,Wales
9867,94958,1991-12-01,London
2980,94958,1991-12-01,Northern Ireland
11440,94958,1991-12-01,South East
6424,94958,1991-12-01,East Midlands
6165,90912,1992-01-01,Wales
9057,90912,1992-01-01,London
12073,90912,1992-01-01,North West
6203,90912,1992-01-01,Yorkshire & Humber
11021,90912,1992-01-01,South East
5909,90912,1992-01-01,East Midlands
2807,90912,1992-01-01,Northern Ireland
6976,90912,1992-01-01,North
8676,90912,1992-01-01,West Midlands
7134,90912,1992-01-01,South West
8543,90912,1992-01-01,Scotland
5888,90912,1992-01-01,East Anglia
2692,90929,1992-02-01,Northern Ireland
5674,90929,1992-02-01,Wales
6056,90929,1992-02-01,East Midlands
8586,90929,1992-02-01,London
9306,90929,1992-02-01,West Midlands
10568,90929,1992-02-01,South East
7810,90929,1992-02-01,South West
5813,90929,1992-02-01,East Anglia
11169,90929,1992-02-01,North West
6431,90929,1992-02-01,Yorkshire & Humber
7259,90929,1992-02-01,North
8363,90929,1992-02-01,Scotland
2609,90207,1992-03-01,Northern Ireland
9118,90207,1992-03-01,West Midlands
10851,90207,1992-03-01,North West
5842,90207,1992-03-01,East Anglia
8217,90207,1992-03-01,Scotland
10622,90207,1992-03-01,South East
7780,90207,1992-03-01,South West
6403,90207,1992-03-01,Yorkshire & Humber
8482,90207,1992-03-01,London
6110,90207,1992-03-01,East Midlands
7157,90207,1992-03-01,North
5589,90207,1992-03-01,Wales
8763,94520,1992-04-01,London
8423,94520,1992-04-01,South West
6268,94520,1992-04-01,East Midlands
9517,94520,1992-04-01,West Midlands
5974,94520,1992-04-01,East Anglia
8764,94520,1992-04-01,Scotland
11258,94520,1992-04-01,North West
2670,94520,1992-04-01,Northern Ireland
6668,94520,1992-04-01,Yorkshire & Humber
7501,94520,1992-04-01,North
11483,94520,1992-04-01,South East
5821,94520,1992-04-01,Wales
7654,96568,1992-05-01,North
11473,96568,1992-05-01,North West
11846,96568,1992-05-01,South East
9114,96568,1992-05-01,London
8745,96568,1992-05-01,South West
8937,96568,1992-05-01,Scotland
5867,96568,1992-05-01,Wales
6292,96568,1992-05-01,East Midlands
6711,96568,1992-05-01,Yorkshire & Humber
2774,96568,1992-05-01,Northern Ireland
5884,96568,1992-05-01,East Anglia
9748,96568,1992-05-01,West Midlands
9912,98437,1992-06-01,West Midlands
11813,98437,1992-06-01,South East
5973,98437,1992-06-01,East Anglia
6350,98437,1992-06-01,Wales
9042,98437,1992-06-01,Scotland
9293,98437,1992-06-01,South West
2844,98437,1992-06-01,Northern Ireland
6793,98437,1992-06-01,Yorkshire & Humber
7819,98437,1992-06-01,North
8900,98437,1992-06-01,London
11676,98437,1992-06-01,North West
6459,98437,1992-06-01,East Midlands
6325,98202,1992-07-01,East Midlands
11711,98202,1992-07-01,South East
9187,98202,1992-07-01,London
5396,98202,1992-07-01,East Anglia
11537,98202,1992-07-01,North West
9563,98202,1992-07-01,Scotland
7737,98202,1992-07-01,North
7217,98202,1992-07-01,Yorkshire & Humber
9234,98202,1992-07-01,South West
6322,98202,1992-07-01,Wales
2846,98202,1992-07-01,Northern Ireland
9738,98202,1992-07-01,West Midlands
7942,98595,1992-08-01,North
11766,98595,1992-08-01,North West
8861,98595,1992-08-01,South West
11996,98595,1992-08-01,South East
6392,98595,1992-08-01,East Midlands
6389,98595,1992-08-01,Wales
5505,98595,1992-08-01,East Anglia
6738,98595,1992-08-01,Yorkshire & Humber
9861,98595,1992-08-01,West Midlands
9217,98595,1992-08-01,London
2875,98595,1992-08-01,Northern Ireland
9660,98595,1992-08-01,Scotland
11840,100395,1992-09-01,North West
10081,100395,1992-09-01,West Midlands
8053,100395,1992-09-01,North
6045,100395,1992-09-01,Wales
2894,100395,1992-09-01,Northern Ireland
9444,100395,1992-09-01,London
5577,100395,1992-09-01,East Anglia
9744,100395,1992-09-01,Scotland
12207,100395,1992-09-01,South East
7202,100395,1992-09-01,Yorkshire & Humber
6428,100395,1992-09-01,East Midlands
9527,100395,1992-09-01,South West
8024,100846,1992-10-01,North
6428,100846,1992-10-01,Wales
9515,100846,1992-10-01,South West
10012,100846,1992-10-01,West Midlands
5565,100846,1992-10-01,East Anglia
6445,100846,1992-10-01,East Midlands
7209,100846,1992-10-01,Yorkshire & Humber
2918,100846,1992-10-01,Northern Ireland
11824,100846,1992-10-01,North West
9440,100846,1992-10-01,London
9702,100846,1992-10-01,Scotland
12270,100846,1992-10-01,South East
5608,101767,1992-11-01,East Anglia
9802,101767,1992-11-01,Scotland
8085,101767,1992-11-01,North
2922,101767,1992-11-01,Northern Ireland
10115,101767,1992-11-01,West Midlands
6506,101767,1992-11-01,Wales
6440,101767,1992-11-01,East Midlands
11920,101767,1992-11-01,North West
12263,101767,1992-11-01,South East
7166,101767,1992-11-01,Yorkshire & Humber
9873,101767,1992-11-01,South West
9564,101767,1992-11-01,London
10003,101025,1992-12-01,London
10110,101025,1992-12-01,South West
6123,101025,1992-12-01,East Midlands
6510,101025,1992-12-01,Wales
10204,101025,1992-12-01,West Midlands
8170,101025,1992-12-01,North
12472,101025,1992-12-01,South East
2378,101025,1992-12-01,Northern Ireland
9781,101025,1992-12-01,Scotland
6692,101025,1992-12-01,Yorkshire & Humber
12099,101025,1992-12-01,North West
5680,101025,1992-12-01,East Anglia
6289,101122,1993-01-01,East Midlands
11693,101122,1993-01-01,South East
9467,101122,1993-01-01,South West
6758,101122,1993-01-01,Wales
8898,101122,1993-01-01,North
9643,101122,1993-01-01,London
2717,101122,1993-01-01,Northern Ireland
10353,101122,1993-01-01,West Midlands
6825,101122,1993-01-01,Yorkshire & Humber
9319,101122,1993-01-01,Scotland
5863,101122,1993-01-01,East Anglia
12037,101122,1993-01-01,North West
6142,105604,1993-02-01,East Anglia
10455,105604,1993-02-01,London
12517,105604,1993-02-01,North West
10695,105604,1993-02-01,West Midlands
5977,105604,1993-02-01,East Midlands
12555,105604,1993-02-01,South East
9905,105604,1993-02-01,South West
7149,105604,1993-02-01,Yorkshire & Humber
7103,105604,1993-02-01,Wales
3015,105604,1993-02-01,Northern Ireland
9329,105604,1993-02-01,North
9584,105604,1993-02-01,Scotland
2941,107092,1993-03-01,Northern Ireland
9704,107092,1993-03-01,Scotland
9456,107092,1993-03-01,North
10061,107092,1993-03-01,South West
7147,107092,1993-03-01,Wales
6129,107092,1993-03-01,East Anglia
7187,107092,1993-03-01,Yorkshire & Humber
12524,107092,1993-03-01,North West
12725,107092,1993-03-01,South East
10630,107092,1993-03-01,London
6500,107092,1993-03-01,East Midlands
10890,107092,1993-03-01,West Midlands
7181,108050,1993-04-01,Yorkshire & Humber
10978,108050,1993-04-01,West Midlands
9603,108050,1993-04-01,North
9914,108050,1993-04-01,Scotland
10212,108050,1993-04-01,South West
7352,108050,1993-04-01,Wales
9989,108050,1993-04-01,London
6314,108050,1993-04-01,East Anglia
12603,108050,1993-04-01,North West
12969,108050,1993-04-01,South East
3131,108050,1993-04-01,Northern Ireland
6624,108050,1993-04-01,East Midlands
10005,111087,1993-05-01,Scotland
10224,111087,1993-05-01,South West
6621,111087,1993-05-01,East Midlands
6291,111087,1993-05-01,East Anglia
12789,111087,1993-05-01,North West
7427,111087,1993-05-01,Yorkshire & Humber
14322,111087,1993-05-01,South East
11082,111087,1993-05-01,West Midlands
10913,111087,1993-05-01,London
7452,111087,1993-05-01,Wales
3184,111087,1993-05-01,Northern Ireland
9597,111087,1993-05-01,North
3109,111072,1993-06-01,Northern Ireland
6610,111072,1993-06-01,East Midlands
11026,111072,1993-06-01,London
6281,111072,1993-06-01,East Anglia
9991,111072,1993-06-01,Scotland
7302,111072,1993-06-01,Yorkshire & Humber
12818,111072,1993-06-01,North West
7454,111072,1993-06-01,Wales
11046,111072,1993-06-01,West Midlands
10293,111072,1993-06-01,South West
14319,111072,1993-06-01,South East
9658,111072,1993-06-01,North
6671,111736,1993-07-01,East Midlands
11061,111736,1993-07-01,London
14402,111736,1993-07-01,South East
9927,111736,1993-07-01,Scotland
6327,111736,1993-07-01,East Anglia
9749,111736,1993-07-01,North
7311,111736,1993-07-01,Wales
3104,111736,1993-07-01,Northern Ireland
7420,111736,1993-07-01,Yorkshire & Humber
10356,111736,1993-07-01,South West
12917,111736,1993-07-01,North West
11169,111736,1993-07-01,West Midlands
7470,111577,1993-08-01,Yorkshire & Humber
3150,111577,1993-08-01,Northern Ireland
10388,111577,1993-08-01,South West
11164,111577,1993-08-01,London
14349,111577,1993-08-01,South East
11241,111577,1993-08-01,West Midlands
6784,111577,1993-08-01,East Anglia
12676,111577,1993-08-01,North West
6650,111577,1993-08-01,East Midlands
9785,111577,1993-08-01,North
6669,111577,1993-08-01,Wales
9969,111577,1993-08-01,Scotland
