Unnamed: 0,Date,Type,Value
89,01/07/1983,Housing Associations,3090
90,01/07/1983,Local Authorities,8060
91,01/07/1983,All,41610
92,01/10/1983,Private Enterprise,36230
93,01/10/1983,Housing Associations,4040
94,01/10/1983,Local Authorities,8230
95,01/10/1983,All,48500
96,01/01/1984,Private Enterprise,32940
97,01/01/1984,Housing Associations,3500
98,01/01/1984,Local Authorities,6060
99,01/01/1984,All,42500
100,01/04/1984,Private Enterprise,30010
101,01/04/1984,Housing Associations,3300
102,01/04/1984,Local Authorities,7570
103,01/04/1984,All,40880
104,01/07/1984,Private Enterprise,33050
105,01/07/1984,Housing Associations,3280
106,01/07/1984,Local Authorities,7760
107,01/07/1984,All,44080
108,01/10/1984,Private Enterprise,36720
109,01/10/1984,Housing Associations,3460
110,01/10/1984,Local Authorities,7750
111,01/10/1984,All,47930
112,01/01/1985,Private Enterprise,30930
113,01/01/1985,Housing Associations,2920
114,01/01/1985,Local Authorities,5530
115,01/01/1985,All,39370
116,01/04/1985,Private Enterprise,31420
117,01/04/1985,Housing Associations,2730
118,01/04/1985,Local Authorities,6170
119,01/04/1985,All,40320
120,01/07/1985,Private Enterprise,31190
121,01/07/1985,Housing Associations,2390
122,01/07/1985,Local Authorities,5750
123,01/07/1985,All,39340
124,01/10/1985,Private Enterprise,36460
125,01/10/1985,Housing Associations,2800
126,01/10/1985,Local Authorities,5820
127,01/10/1985,All,45070
128,01/01/1986,Private Enterprise,30410
129,01/01/1986,Housing Associations,2350
130,01/01/1986,Local Authorities,3990
131,01/01/1986,All,36750
132,01/04/1986,Private Enterprise,34050
133,01/04/1986,Housing Associations,2650
134,01/04/1986,Local Authorities,5140
135,01/04/1986,All,41840
136,01/07/1986,Private Enterprise,34750
137,01/07/1986,Housing Associations,2080
138,01/07/1986,Local Authorities,4600
139,01/07/1986,All,41430
140,01/10/1986,Private Enterprise,41860
141,01/10/1986,Housing Associations,3020
142,01/10/1986,Local Authorities,5450
143,01/10/1986,All,50340
144,01/01/1987,Private Enterprise,35580
145,01/01/1987,Housing Associations,2000
146,01/01/1987,Local Authorities,3780
147,01/01/1987,All,41360
148,01/04/1987,Private Enterprise,36370
149,01/04/1987,Housing Associations,2880
150,01/04/1987,Local Authorities,4080
151,01/04/1987,All,43220
152,01/07/1987,Private Enterprise,37020
153,01/07/1987,Housing Associations,2550
154,01/07/1987,Local Authorities,4260
155,01/07/1987,All,43820
156,01/10/1987,Private Enterprise,42890
157,01/10/1987,Housing Associations,2510
158,01/10/1987,Local Authorities,4490
159,01/10/1987,All,49890
160,01/01/1988,Private Enterprise,41120
161,01/01/1988,Housing Associations,2420
162,01/01/1988,Local Authorities,3280
163,01/01/1988,All,46820
164,01/04/1988,Private Enterprise,40130
165,01/04/1988,Housing Associations,2480
166,01/04/1988,Local Authorities,4390
167,01/04/1988,All,47000
168,01/07/1988,Private Enterprise,43160
169,01/07/1988,Housing Associations,2130
170,01/07/1988,Local Authorities,4500
171,01/07/1988,All,49790
172,01/10/1988,Private Enterprise,43380
173,01/10/1988,Housing Associations,2830
174,01/10/1988,Local Authorities,3990
175,01/10/1988,All,50200
176,01/01/1989,Private Enterprise,39190
177,01/01/1989,Housing Associations,2400
178,01/01/1989,Local Authorities,3160
179,01/01/1989,All,44750
180,01/04/1989,Private Enterprise,36680
181,01/04/1989,Housing Associations,2090
182,01/04/1989,Local Authorities,3440
183,01/04/1989,All,42210
184,01/07/1989,Private Enterprise,36190
185,01/07/1989,Housing Associations,2700
186,01/07/1989,Local Authorities,3960
187,01/07/1989,All,42850
188,01/10/1989,Private Enterprise,38820
189,01/10/1989,Housing Associations,2410
190,01/10/1989,Local Authorities,3920
191,01/10/1989,All,45140
192,01/01/1990,Private Enterprise,34840
193,01/01/1990,Housing Associations,2840
194,01/01/1990,Local Authorities,3340
195,01/01/1990,All,41020
196,01/04/1990,Private Enterprise,31540
197,01/04/1990,Housing Associations,3440
198,01/04/1990,Local Authorities,3640
199,01/04/1990,All,38630
200,01/07/1990,Private Enterprise,33010
201,01/07/1990,Housing Associations,3360
202,01/07/1990,Local Authorities,4050
203,01/07/1990,All,40430
204,01/10/1990,Private Enterprise,36660
205,01/10/1990,Housing Associations,4170
206,01/10/1990,Local Authorities,2990
207,01/10/1990,All,43830
208,01/01/1991,Private Enterprise,31280
209,01/01/1991,Housing Associations,3590
210,01/01/1991,Local Authorities,2280
211,01/01/1991,All,37150
212,01/04/1991,Private Enterprise,32150
213,01/04/1991,Housing Associations,4260
214,01/04/1991,Local Authorities,2550
215,01/04/1991,All,38960
216,01/07/1991,Private Enterprise,32890
217,01/07/1991,Housing Associations,4020
218,01/07/1991,Local Authorities,1870
219,01/07/1991,All,38780
220,01/10/1991,Private Enterprise,34860
221,01/10/1991,Housing Associations,3420
222,01/10/1991,Local Authorities,1430
223,01/10/1991,All,39710
224,01/01/1992,Private Enterprise,32150
225,01/01/1992,Housing Associations,4270
226,01/01/1992,Local Authorities,1270
227,01/01/1992,All,37690
228,01/04/1992,Private Enterprise,28550
229,01/04/1992,Housing Associations,4380
230,01/04/1992,Local Authorities,920
231,01/04/1992,All,33850
232,01/07/1992,Private Enterprise,29850
233,01/07/1992,Housing Associations,5590
234,01/07/1992,Local Authorities,800
235,01/07/1992,All,36240
236,01/10/1992,Private Enterprise,28980
237,01/10/1992,Housing Associations,6550
238,01/10/1992,Local Authorities,530
239,01/10/1992,All,36050
240,01/01/1993,Private Enterprise,28530
241,01/01/1993,Housing Associations,7450
242,01/01/1993,Local Authorities,340
243,01/01/1993,All,36320
244,01/04/1993,Private Enterprise,27890
245,01/04/1993,Housing Associations,7230
246,01/04/1993,Local Authorities,500
247,01/04/1993,All,35610
248,01/07/1993,Private Enterprise,28550
249,01/07/1993,Housing Associations,7030
250,01/07/1993,Local Authorities,330
251,01/07/1993,All,35910
252,01/10/1993,Private Enterprise,31670
253,01/10/1993,Housing Associations,8070
254,01/10/1993,Local Authorities,260
255,01/10/1993,All,40000
256,01/01/1994,Private Enterprise,27950
257,01/01/1994,Housing Associations,7890
258,01/01/1994,Local Authorities,360
259,01/01/1994,All,36200
260,01/04/1994,Private Enterprise,29220
261,01/04/1994,Housing Associations,7080
262,01/04/1994,Local Authorities,260
263,01/04/1994,All,36560
264,01/07/1994,Private Enterprise,31810
265,01/07/1994,Housing Associations,7850
266,01/07/1994,Local Authorities,350
267,01/07/1994,All,40000
268,01/10/1994,Private Enterprise,33730
269,01/10/1994,Housing Associations,8040
270,01/10/1994,Local Authorities,120
271,01/10/1994,All,41880
272,01/01/1995,Private Enterprise,30990
273,01/01/1995,Housing Associations,8410
274,01/01/1995,Local Authorities,120
275,01/01/1995,All,39520
276,01/04/1995,Private Enterprise,31880
277,01/04/1995,Housing Associations,8260
278,01/04/1995,Local Authorities,120
279,01/04/1995,All,40260
280,01/07/1995,Private Enterprise,30690
281,01/07/1995,Housing Associations,6780
282,01/07/1995,Local Authorities,220
283,01/07/1995,All,37690
284,01/10/1995,Private Enterprise,31910
285,01/10/1995,Housing Associations,7450
286,01/10/1995,Local Authorities,320
287,01/10/1995,All,39670
288,01/01/1996,Private Enterprise,29140
289,01/01/1996,Housing Associations,7750
290,01/01/1996,Local Authorities,90
291,01/01/1996,All,36980
292,01/04/1996,Private Enterprise,28570
293,01/04/1996,Housing Associations,6510
294,01/04/1996,Local Authorities,130
295,01/04/1996,All,35220
296,01/07/1996,Private Enterprise,30300
297,01/07/1996,Housing Associations,6370
298,01/07/1996,Local Authorities,110
299,01/07/1996,All,36780
300,01/10/1996,Private Enterprise,33550
301,01/10/1996,Housing Associations,6390
302,01/10/1996,Local Authorities,180
303,01/10/1996,All,40110
304,01/01/1997,Private Enterprise,28750
305,01/01/1997,Housing Associations,5360
306,01/01/1997,Local Authorities,30
307,01/01/1997,All,34140
308,01/04/1997,Private Enterprise,33090
309,01/04/1997,Housing Associations,5200
310,01/04/1997,Local Authorities,120
311,01/04/1997,All,38410
312,01/07/1997,Private Enterprise,31660
313,01/07/1997,Housing Associations,5050
314,01/07/1997,Local Authorities,100
315,01/07/1997,All,36810
316,01/10/1997,Private Enterprise,34730
317,01/10/1997,Housing Associations,5360
318,01/10/1997,Local Authorities,40
319,01/10/1997,All,40140
320,01/01/1998,Private Enterprise,28350
321,01/01/1998,Housing Associations,5790
322,01/01/1998,Local Authorities,70
323,01/01/1998,All,34200
324,01/04/1998,Private Enterprise,31320
325,01/04/1998,Housing Associations,4830
326,01/04/1998,Local Authorities,100
327,01/04/1998,All,36250
328,01/07/1998,Private Enterprise,30580
329,01/07/1998,Housing Associations,4400
330,01/07/1998,Local Authorities,60
331,01/07/1998,All,35030
332,01/10/1998,Private Enterprise,32260
333,01/10/1998,Housing Associations,4890
334,01/10/1998,Local Authorities,20
335,01/10/1998,All,37170
336,01/01/1999,Private Enterprise,27040
337,01/01/1999,Housing Associations,4770
338,01/01/1999,Local Authorities,-
339,01/01/1999,All,31810
340,01/04/1999,Private Enterprise,29980
341,01/04/1999,Housing Associations,4080
342,01/04/1999,Local Authorities,20
343,01/04/1999,All,34080
344,01/07/1999,Private Enterprise,32450
345,01/07/1999,Housing Associations,4380
346,01/07/1999,Local Authorities,10
347,01/07/1999,All,36840
348,01/10/1999,Private Enterprise,33720
349,01/10/1999,Housing Associations,4550
350,01/10/1999,Local Authorities,20
351,01/10/1999,All,38280
352,01/01/2000,Private Enterprise,28320
353,01/01/2000,Housing Associations,4270
354,01/01/2000,Local Authorities,10
355,01/01/2000,All,32590
356,01/04/2000,Private Enterprise,30440
357,01/04/2000,Housing Associations,4280
358,01/04/2000,Local Authorities,60
359,01/04/2000,All,34770
360,01/07/2000,Private Enterprise,28490
361,01/07/2000,Housing Associations,3780
362,01/07/2000,Local Authorities,10
363,01/07/2000,All,32280
364,01/10/2000,Private Enterprise,31090
365,01/10/2000,Housing Associations,4350
366,01/10/2000,Local Authorities,20
367,01/10/2000,All,35450
368,01/01/2001,Private Enterprise,26630
369,01/01/2001,Housing Associations,4020
370,01/01/2001,Local Authorities,100
371,01/01/2001,All,30750
372,01/04/2001,Private Enterprise,28020
373,01/04/2001,Housing Associations,3350
374,01/04/2001,Local Authorities,30
375,01/04/2001,All,31400
376,01/07/2001,Private Enterprise,29210
377,01/07/2001,Housing Associations,3110
378,01/07/2001,Local Authorities,10
379,01/07/2001,All,32320
380,01/10/2001,Private Enterprise,30980
381,01/10/2001,Housing Associations,4020
382,01/10/2001,Local Authorities,30
383,01/10/2001,All,35030
384,01/01/2002,Private Enterprise,27490
385,01/01/2002,Housing Associations,3620
386,01/01/2002,Local Authorities,-
387,01/01/2002,All,31110
388,01/04/2002,Private Enterprise,30820
389,01/04/2002,Housing Associations,3100
390,01/04/2002,Local Authorities,150
391,01/04/2002,All,34060
392,01/07/2002,Private Enterprise,29640
393,01/07/2002,Housing Associations,3090
394,01/07/2002,Local Authorities,20
395,01/07/2002,All,32750
396,01/10/2002,Private Enterprise,35370
397,01/10/2002,Housing Associations,3500
398,01/10/2002,Local Authorities,-
399,01/10/2002,All,38880
400,01/01/2003,Private Enterprise,28630
401,01/01/2003,Housing Associations,3390
402,01/01/2003,Local Authorities,20
403,01/01/2003,All,32050
404,01/04/2003,Private Enterprise,32370
405,01/04/2003,Housing Associations,3020
406,01/04/2003,Local Authorities,60
407,01/04/2003,All,35450
408,01/07/2003,Private Enterprise,30920
409,01/07/2003,Housing Associations,3210
410,01/07/2003,Local Authorities,40
411,01/07/2003,All,34170
412,01/10/2003,Private Enterprise,39130
413,01/10/2003,Housing Associations,3200
414,01/10/2003,Local Authorities,60
415,01/10/2003,All,42390
416,01/01/2004,Private Enterprise,27670
417,01/01/2004,Housing Associations,4240
418,01/01/2004,Local Authorities,40
419,01/01/2004,All,31950
420,01/04/2004,Private Enterprise,35730
421,01/04/2004,Housing Associations,3580
422,01/04/2004,Local Authorities,50
423,01/04/2004,All,39360
424,01/07/2004,Private Enterprise,36120
425,01/07/2004,Housing Associations,3760
426,01/07/2004,Local Authorities,20
427,01/07/2004,All,39910
428,01/10/2004,Private Enterprise,37810
429,01/10/2004,Housing Associations,5020
430,01/10/2004,Local Authorities,30
431,01/10/2004,All,42850
432,01/01/2005,Private Enterprise,29470
433,01/01/2005,Housing Associations,4300
434,01/01/2005,Local Authorities,10
435,01/01/2005,All,33770
436,01/04/2005,Private Enterprise,36710
437,01/04/2005,Housing Associations,4100
438,01/04/2005,Local Authorities,110
439,01/04/2005,All,40920
440,01/07/2005,Private Enterprise,33550
441,01/07/2005,Housing Associations,4370
442,01/07/2005,Local Authorities,10
443,01/07/2005,All,37930
444,01/10/2005,Private Enterprise,42010
445,01/10/2005,Housing Associations,4770
446,01/10/2005,Local Authorities,50
447,01/10/2005,All,46830
448,01/01/2006,Private Enterprise,32670
449,01/01/2006,Housing Associations,4930
450,01/01/2006,Local Authorities,120
451,01/01/2006,All,37720
452,01/04/2006,Private Enterprise,38350
453,01/04/2006,Housing Associations,4840
454,01/04/2006,Local Authorities,60
455,01/04/2006,All,43250
456,01/07/2006,Private Enterprise,32340
457,01/07/2006,Housing Associations,5270
458,01/07/2006,Local Authorities,60
459,01/07/2006,All,37670
460,01/10/2006,Private Enterprise,36550
461,01/10/2006,Housing Associations,5620
462,01/10/2006,Local Authorities,50
463,01/10/2006,All,42220
464,01/01/2007,Private Enterprise,38450
465,01/01/2007,Housing Associations,6010
466,01/01/2007,Local Authorities,90
467,01/01/2007,All,44540
468,01/04/2007,Private Enterprise,38940
469,01/04/2007,Housing Associations,4640
470,01/04/2007,Local Authorities,110
471,01/04/2007,All,43690
472,01/07/2007,Private Enterprise,34620
473,01/07/2007,Housing Associations,4710
474,01/07/2007,Local Authorities,30
475,01/07/2007,All,39360
476,01/10/2007,Private Enterprise,42210
477,01/10/2007,Housing Associations,6820
478,01/10/2007,Local Authorities,20
479,01/10/2007,All,49050
480,01/01/2008,Private Enterprise,31410
481,01/01/2008,Housing Associations,7050
482,01/01/2008,Local Authorities,50
483,01/01/2008,All,38510
484,01/04/2008,Private Enterprise,32750
485,01/04/2008,Housing Associations,5720
486,01/04/2008,Local Authorities,140
487,01/04/2008,All,38600
488,01/07/2008,Private Enterprise,27230
489,01/07/2008,Housing Associations,5960
490,01/07/2008,Local Authorities,60
491,01/07/2008,All,33240
492,01/10/2008,Private Enterprise,29720
493,01/10/2008,Housing Associations,7750
494,01/10/2008,Local Authorities,180
495,01/10/2008,All,37660
496,01/01/2009,Private Enterprise,24100
497,01/01/2009,Housing Associations,7270
498,01/01/2009,Local Authorities,110
499,01/01/2009,All,31490
500,01/04/2009,Private Enterprise,25590
501,01/04/2009,Housing Associations,6010
502,01/04/2009,Local Authorities,130
503,01/04/2009,All,31730
504,01/07/2009,Private Enterprise,22210
505,01/07/2009,Housing Associations,7020
506,01/07/2009,Local Authorities,90
507,01/07/2009,All,29330
508,01/10/2009,Private Enterprise,25720
509,01/10/2009,Housing Associations,6680
510,01/10/2009,Local Authorities,30
511,01/10/2009,All,32430
512,01/01/2010,Private Enterprise,19520
513,01/01/2010,Housing Associations,6800
514,01/01/2010,Local Authorities,110
515,01/01/2010,All,26430
516,01/04/2010,Private Enterprise,22400
517,01/04/2010,Housing Associations,5420
518,01/04/2010,Local Authorities,160
519,01/04/2010,All,27980
520,01/07/2010,Private Enterprise,20210
521,01/07/2010,Housing Associations,4360
522,01/07/2010,Local Authorities,80
523,01/07/2010,All,24650
524,01/10/2010,Private Enterprise,21150
525,01/10/2010,Housing Associations,6080
526,01/10/2010,Local Authorities,440
527,01/10/2010,All,27670
528,01/01/2011,Private Enterprise,19430
529,01/01/2011,Housing Associations,7700
530,01/01/2011,Local Authorities,460
531,01/01/2011,All,27590
532,01/04/2011,Private Enterprise,23120
533,01/04/2011,Housing Associations,5790
534,01/04/2011,Local Authorities,660
535,01/04/2011,All,29560
536,01/07/2011,Private Enterprise,19650
537,01/07/2011,Housing Associations,4980
538,01/07/2011,Local Authorities,410
539,01/07/2011,All,25010
540,01/10/2011,Private Enterprise,23690
541,01/10/2011,Housing Associations,7480
542,01/10/2011,Local Authorities,700
543,01/10/2011,All,31870
544,01/01/2012,Private Enterprise,22670
545,01/01/2012,Housing Associations,9210
546,01/01/2012,Local Authorities,200
547,01/01/2012,All,32070
548,01/04/2012,Private Enterprise,23160
549,01/04/2012,Housing Associations,6090
550,01/04/2012,Local Authorities,380
551,01/04/2012,All,29630
552,01/07/2012,Private Enterprise,19670
553,01/07/2012,Housing Associations,4510
554,01/07/2012,Local Authorities,600
555,01/07/2012,All,24780
556,01/10/2012,Private Enterprise,23250
557,01/10/2012,Housing Associations,5630
558,01/10/2012,Local Authorities,230
559,01/10/2012,All,29110
560,01/01/2013,Private Enterprise,18480
561,01/01/2013,Housing Associations,5830
562,01/01/2013,Local Authorities,150
563,01/01/2013,All,24460
564,01/04/2013,Private Enterprise,23780
565,01/04/2013,Housing Associations,4610
566,01/04/2013,Local Authorities,220
567,01/04/2013,All,28610
568,01/07/2013,Private Enterprise,20610
569,01/07/2013,Housing Associations,5260
570,01/07/2013,Local Authorities,220
571,01/07/2013,All,26090
572,01/10/2013,Private Enterprise,24140
573,01/10/2013,Housing Associations,5900
574,01/10/2013,Local Authorities,250
575,01/10/2013,All,30290
576,01/01/2014,Private Enterprise,21110
577,01/01/2014,Housing Associations,6020
578,01/01/2014,Local Authorities,220
579,01/01/2014,All,27340
580,01/04/2014,Private Enterprise,24670
581,01/04/2014,Housing Associations,5380
582,01/04/2014,Local Authorities,290
583,01/04/2014,All,30350
584,01/07/2014,Private Enterprise,21640
585,01/07/2014,Housing Associations,5760
586,01/07/2014,Local Authorities,350
587,01/07/2014,All,27750
588,01/10/2014,Private Enterprise,25430
589,01/10/2014,Housing Associations,6630
590,01/10/2014,Local Authorities,320
591,01/10/2014,All,32380
592,01/01/2015,Private Enterprise,24520
593,01/01/2015,Housing Associations,9250
594,01/01/2015,Local Authorities,400
595,01/01/2015,All,34170
596,01/04/2015,Private Enterprise,29090
597,01/04/2015,Housing Associations,7610
598,01/04/2015,Local Authorities,440
599,01/04/2015,All,37130
600,01/07/2015,Private Enterprise,25610
601,01/07/2015,Housing Associations,6210
602,01/07/2015,Local Authorities,350
603,01/07/2015,All,32170
604,01/10/2015,Private Enterprise,31480
605,01/10/2015,Housing Associations,7060
606,01/10/2015,Local Authorities,470
607,01/10/2015,All,39010
608,01/01/2016,Private Enterprise,25160
609,01/01/2016,Housing Associations,5600
610,01/01/2016,Local Authorities,650
611,01/01/2016,All,31410
612,01/04/2016,Private Enterprise,29730
613,01/04/2016,Housing Associations,5930
614,01/04/2016,Local Authorities,610
615,01/04/2016,All,36260
616,01/07/2016,Private Enterprise,29590
617,01/07/2016,Housing Associations,5800
618,01/07/2016,Local Authorities,420
619,01/07/2016,All,35810
620,01/10/2016,Private Enterprise,30870
621,01/10/2016,Housing Associations,7100
622,01/10/2016,Local Authorities,430
623,01/10/2016,All,38400
624,01/01/2017,Private Enterprise,30270
625,01/01/2017,Housing Associations,6410
626,01/01/2017,Local Authorities,380
627,01/01/2017,All,37050
628,01/04/2017,Private Enterprise,34590
629,01/04/2017,Housing Associations,7160
630,01/04/2017,Local Authorities,410
631,01/04/2017,All,42160
632,01/07/2017,Private Enterprise,30360
633,01/07/2017,Housing Associations,6270
634,01/07/2017,Local Authorities,360
635,01/07/2017,All,36980
636,01/10/2017,Private Enterprise,38240
637,01/10/2017,Housing Associations,7450
638,01/10/2017,Local Authorities,600
639,01/10/2017,All,46280
640,01/01/2018,Private Enterprise,28540
641,01/01/2018,Housing Associations,6290
642,01/01/2018,Local Authorities,650
643,01/01/2018,All,35480
644,01/04/2018,Private Enterprise,35020
645,01/04/2018,Housing Associations,6730
646,01/04/2018,Local Authorities,730
647,01/04/2018,All,42480
648,01/07/2018,Private Enterprise,31640
649,01/07/2018,Housing Associations,6310
650,01/07/2018,Local Authorities,700
651,01/07/2018,All,38660
652,01/10/2018,Private Enterprise,40020
653,01/10/2018,Housing Associations,8250
654,01/10/2018,Local Authorities,600
655,01/10/2018,All,48870
656,01/01/2019,Private Enterprise,31590
657,01/01/2019,Housing Associations,6930
658,01/01/2019,Local Authorities,530
659,01/01/2019,All,39050
660,01/04/2019,Private Enterprise,37200
661,01/04/2019,Housing Associations,8600
662,01/04/2019,Local Authorities,500
663,01/04/2019,All,46310
664,01/07/2019,Private Enterprise,35220
665,01/07/2019,Housing Associations,6730
666,01/07/2019,Local Authorities,850
667,01/07/2019,All,42800
668,01/10/2019,Private Enterprise,39680
669,01/10/2019,Housing Associations,9740
670,01/10/2019,Local Authorities,310
671,01/10/2019,All,49720
672,01/01/2020,Private Enterprise,29100
673,01/01/2020,Housing Associations,7220
674,01/01/2020,Local Authorities,190
675,01/01/2020,All,36510
676,01/04/2020,Private Enterprise,14180
677,01/04/2020,Housing Associations,2340
678,01/04/2020,Local Authorities,110
679,01/04/2020,All,16640
680,01/07/2020,Private Enterprise,34380
681,01/07/2020,Housing Associations,7390
682,01/07/2020,Local Authorities,350
683,01/07/2020,All,42110
684,01/10/2020,Private Enterprise,42370
685,01/10/2020,Housing Associations,8370
686,01/10/2020,Local Authorities,620
687,01/10/2020,All,51370
688,01/01/2021,Private Enterprise,36240
689,01/01/2021,Housing Associations,7750
690,01/01/2021,Local Authorities,530
691,01/01/2021,All,44510
692,01/04/2021,Private Enterprise,35860
693,01/04/2021,Housing Associations,7770
694,01/04/2021,Local Authorities,290
695,01/04/2021,All,43910
696,01/07/2021,Private Enterprise,32920
697,01/07/2021,Housing Associations,7760
698,01/07/2021,Local Authorities,270
699,01/07/2021,All,40940
700,01/10/2021,Private Enterprise,37120
701,01/10/2021,Housing Associations,7950
702,01/10/2021,Local Authorities,500
703,01/10/2021,All,45570
704,01/01/2022,Private Enterprise,33130
705,01/01/2022,Housing Associations,7400
706,01/01/2022,Local Authorities,240
707,01/01/2022,All,40770
708,01/04/2022,Private Enterprise,37760
709,01/04/2022,Housing Associations,8200
710,01/04/2022,Local Authorities,280
711,01/04/2022,All,46230
712,01/07/2022,Private Enterprise,32860
713,01/07/2022,Housing Associations,7500
714,01/07/2022,Local Authorities,290
715,01/07/2022,All,40650
