Year,Region,Value1,Value2,Detail
1996,East Asia and Pacific,6387.744,3.146238,
1997,East Asia and Pacific,6534.139,3.183193,
1998,East Asia and Pacific,6517.293,3.140464,
1999,East Asia and Pacific,6586.062,3.143577,
2000,East Asia and Pacific,6943.027,3.282374,
2001,East Asia and Pacific,7172.729,3.365282,
2002,East Asia and Pacific,7564.143,3.522542,
2003,East Asia and Pacific,8311.117,3.845723,
2004,East Asia and Pacific,9149.512,4.207222,
2005,East Asia and Pacific,9914.739,4.529971,
2006,East Asia and Pacific,10656.12,4.837785,
2007,East Asia and Pacific,11438.54,5.161032,
2008,East Asia and Pacific,11551.84,5.181457,
2009,East Asia and Pacific,12026.91,5.36585,
2010,East Asia and Pacific,12960.87,5.740701,
2011,East Asia and Pacific,13948.16,6.140448,
2012,East Asia and Pacific,14258.58,6.23733,
2013,East Asia and Pacific,14773.49,6.418947,
2014,East Asia and Pacific,14915.34,6.436055,
2015,East Asia and Pacific,14918.09,6.39533,
2016,East Asia and Pacific,15174.33,6.463768,
2017,East Asia and Pacific,15375.31,6.50934,
2018,East Asia and Pacific,15624.73,6.58042,
1970,Europe and Central Asia,6585.2,9.003093,
1971,Europe and Central Asia,6589.581,8.936516,
1972,Europe and Central Asia,6841.995,9.20829,
1973,Europe and Central Asia,7226.006,9.65017,
1974,Europe and Central Asia,7254.745,9.612514,
1975,Europe and Central Asia,7301.072,9.596176,
1976,Europe and Central Asia,7692.183,10.03623,
1977,Europe and Central Asia,7755.194,10.04739,
1978,Europe and Central Asia,8103.163,10.42799,
1979,Europe and Central Asia,8331.923,10.65237,
1980,Europe and Central Asia,8293.42,10.53779,
1981,Europe and Central Asia,8056.98,10.16398,
1982,Europe and Central Asia,7987.065,10.01156,
1983,Europe and Central Asia,8007.115,9.970337,
1984,Europe and Central Asia,8053.906,9.96641,
1985,Europe and Central Asia,8142.317,10.01196,
1986,Europe and Central Asia,8272.997,10.10811,
1987,Europe and Central Asia,8439.668,10.2526,
1988,Europe and Central Asia,8500.827,10.26283,
1989,Europe and Central Asia,8509.749,10.21852,
1990,Europe and Central Asia,8601.167,10.23438,
1991,Europe and Central Asia,8439.353,10.00578,
1992,Europe and Central Asia,7941.015,9.380255,
1993,Europe and Central Asia,7498.473,8.827292,
1994,Europe and Central Asia,7085.917,8.316416,
1995,Europe and Central Asia,7055.779,8.261696,
1996,Europe and Central Asia,7057.996,8.248,
1997,Europe and Central Asia,6837.879,7.978196,
1998,Europe and Central Asia,6832.892,7.963336,
1999,Europe and Central Asia,6788.204,7.906778,
2000,Europe and Central Asia,6869.457,7.985744,
2001,Europe and Central Asia,6918.969,8.029165,
2002,Europe and Central Asia,6910.526,8.000253,
2003,Europe and Central Asia,7127.115,8.227424,
2004,Europe and Central Asia,7150.955,8.228045,
2005,Europe and Central Asia,7119.731,8.166359,
2006,Europe and Central Asia,7252.122,8.288412,
2007,Europe and Central Asia,7252.456,8.258731,
2008,Europe and Central Asia,7197.373,8.165074,
2009,Europe and Central Asia,6627.9,7.492003,
2010,Europe and Central Asia,6922.347,7.794569,
2011,Europe and Central Asia,6924.766,7.761528,
2012,Europe and Central Asia,6913.739,7.723127,
2013,Europe and Central Asia,6752.438,7.514447,
2014,Europe and Central Asia,6519.001,7.229329,
2015,Europe and Central Asia,6518.827,7.203155,
2016,Europe and Central Asia,6547.84,7.211433,
2017,Europe and Central Asia,6606.6,7.252205,
2018,Europe and Central Asia,6649.626,7.275518,
1970,South Asia,261.4283,0.3672203,
1971,South Asia,263.4271,0.3617085,
1972,South Asia,273.9128,0.3676356,
1973,South Asia,274.1207,0.3595789,
1974,South Asia,293.2762,0.3759532,
1975,South Asia,313.6462,0.3928166,
1976,South Asia,332.5788,0.4068917,
1977,South Asia,339.721,0.4059523,
1978,South Asia,310.336,0.3621266,
1979,South Asia,334.217,0.3808539,
1980,South Asia,349.476,0.3888995,
1981,South Asia,382.1709,0.4153655,
1982,South Asia,408.7572,0.4338798,
1983,South Asia,433.7419,0.4497375,
1984,South Asia,471.2794,0.4773951,
1985,South Asia,496.1699,0.4910748,
1986,South Asia,528.6747,0.5114062,
1987,South Asia,571.4487,0.5403593,
1988,South Asia,605.6464,0.5599691,
1989,South Asia,645.8943,0.5840448,
1990,South Asia,681.0961,0.6024487,
1991,South Asia,727.3574,0.6295203,
1992,South Asia,758.7343,0.6425691,
1993,South Asia,796.9768,0.6607009,
1994,South Asia,845.5844,0.6864528,
1995,South Asia,910.7466,0.7242884,
1996,South Asia,953.8079,0.7435161,
1997,South Asia,1000.768,0.7649953,
1998,South Asia,1017.962,0.7633888,
1999,South Asia,1099.01,0.8088549,
2000,South Asia,1137.798,0.8219973,
2001,South Asia,1161.255,0.823737,
2002,South Asia,1202.897,0.8380871,
2003,South Asia,1234.737,0.845377,
2004,South Asia,1339.481,0.9017479,
2005,South Asia,1399.725,0.9268074,
2006,South Asia,1491.736,0.9721651,
2007,South Asia,1622.317,1.041168,
2008,South Asia,1712.3,1.082102,
2009,South Asia,1895.14,1.179878,
2010,South Asia,1985.935,1.218418,
2011,South Asia,2092.507,1.265797,
2012,South Asia,2241.43,1.337272,
2013,South Asia,2287.339,1.346622,
2014,South Asia,2490.923,1.447176,
2015,South Asia,2574.899,1.476694,
2016,South Asia,2674.995,1.514589,
2017,South Asia,2768.767,1.548372,
2018,South Asia,2958.003,1.633663,
1970,Middle East and North Africa,356.7005,2.57542,
1971,Middle East and North Africa,381.02,2.676546,
1972,Middle East and North Africa,426.8178,2.916599,
1973,Middle East and North Africa,495.0857,3.291803,
1974,Middle East and North Africa,495.5537,3.204048,
1975,Middle East and North Africa,500.4762,3.144613,
1976,Middle East and North Africa,584.617,3.566568,
1977,Middle East and North Africa,605.9611,3.588755,
1978,Middle East and North Africa,636.1485,3.654705,
1979,Middle East and North Africa,660.3726,3.679531,
1980,Middle East and North Africa,671.467,3.622708,
1981,Middle East and North Africa,638.4915,3.334127,
1982,Middle East and North Africa,684.5847,3.459093,
1983,Middle East and North Africa,723.6022,3.537189,
1984,Middle East and North Africa,716.0331,3.385889,
1985,Middle East and North Africa,752.683,3.446255,
1986,Middle East and North Africa,769.9768,3.415914,
1987,Middle East and North Africa,807.583,3.473815,
1988,Middle East and North Africa,843.794,3.523057,
1989,Middle East and North Africa,896.3146,3.637133,
1990,Middle East and North Africa,908.4785,3.589937,
1991,Middle East and North Africa,951.0458,3.667933,
1992,Middle East and North Africa,1009.433,3.728415,
1993,Middle East and North Africa,1068.113,3.836011,
1994,Middle East and North Africa,1152.972,4.038281,
1995,Middle East and North Africa,1183.705,4.183244,
1996,Middle East and North Africa,1227.772,4.25001,
1997,Middle East and North Africa,1283.545,4.35358,
1998,Middle East and North Africa,1282.761,4.263956,
1999,Middle East and North Africa,1331.494,4.339395,
2000,Middle East and North Africa,1390.134,4.443063,
2001,Middle East and North Africa,1465.067,4.594065,
2002,Middle East and North Africa,1519.18,4.674966,
2003,Middle East and North Africa,1575.737,4.758107,
2004,Middle East and North Africa,1662.668,4.925021,
2005,Middle East and North Africa,1777.627,5.162223,
2006,Middle East and North Africa,1876.296,5.33955,
2007,Middle East and North Africa,1962.039,5.468627,
2008,Middle East and North Africa,2072.382,5.658634,
2009,Middle East and North Africa,2169.155,5.797646,
2010,Middle East and North Africa,2259.674,5.913537,
2011,Middle East and North Africa,2308.532,5.916747,
2012,Middle East and North Africa,2421.625,6.082764,
2013,Middle East and North Africa,2484.835,6.118505,
2014,Middle East and North Africa,2573.873,6.218057,
2015,Middle East and North Africa,2602.705,6.174142,
2016,Middle East and North Africa,2675.63,6.235775,
2017,Middle East and North Africa,2748.088,6.297819,
2018,Middle East and North Africa,2813.353,6.342029,
