Date,Private sector - total,Public sector - total,Private sector - regular,Public sector - regular
Jan to Mar 2010,4.3,4.5,1.0,3.9
Feb to Apr 2010,4.2,4.3,0.9,3.7
Mar to May 2010,2.5,4.4,0.8,3.6
Apr to Jun 2010,0.1,3.6,0.6,3.1
May to Jul 2010,0.7,3.4,1.0,2.9
Jun to Aug 2010,1.0,2.9,1.6,2.6
Jul to Sep 2010,1.7,2.7,2.0,2.7
Aug to Oct 2010,1.8,2.8,2.0,2.7
Sep to Nov 2010,1.9,2.8,2.0,2.8
Oct to Dec 2010,1.6,3.2,1.9,2.8
Nov to Jan 2011,2.5,3.4,1.9,2.8
Dec to Feb 2011,2.3,3.4,1.8,2.8
Jan to Mar 2011,2.7,3.1,1.7,2.9
Feb to Apr 2011,1.9,2.8,1.6,2.8
Mar to May 2011,2.2,2.6,1.8,2.7
Apr to Jun 2011,2.5,2.8,2.0,2.5
May to Jul 2011,2.7,3.1,2.0,2.3
Jun to Aug 2011,2.6,3.1,1.7,2.2
Jul to Sep 2011,2.1,2.6,1.6,2.0
Aug to Oct 2011,1.9,2.1,1.7,2.0
Sep to Nov 2011,2.0,1.9,1.9,1.9
Oct to Dec 2011,2.2,1.6,2.1,1.7
Nov to Jan 2012,1.3,1.2,1.8,1.3
Dec to Feb 2012,0.9,1.1,1.8,1.1
Jan to Mar 2012,0.5,1.0,1.8,1.0
Feb to Apr 2012,1.4,1.2,2.0,1.3
Mar to May 2012,1.7,1.3,2.0,1.4
Apr to Jun 2012,1.9,1.3,2.0,1.7
May to Jul 2012,1.7,1.2,2.0,2.1
Jun to Aug 2012,1.8,1.9,2.0,2.7
Jul to Sep 2012,1.8,2.3,1.8,2.7
Aug to Oct 2012,1.6,2.7,1.7,2.4
Sep to Nov 2012,1.4,2.1,1.5,2.0
Oct to Dec 2012,1.2,2.0,1.3,1.8
Nov to Jan 2013,1.1,2.0,1.2,1.9
Dec to Feb 2013,1.1,1.7,1.0,1.7
Jan to Mar 2013,0.5,1.4,0.8,1.5
Feb to Apr 2013,1.6,1.3,0.9,1.3
Mar to May 2013,1.8,1.4,1.0,1.3
Apr to Jun 2013,2.5,0.9,1.1,1.1
May to Jul 2013,1.4,0.4,1.1,0.7
Jun to Aug 2013,1.1,-0.5,1.0,0.0
Jul to Sep 2013,1.0,-0.6,1.0,-0.1
Aug to Oct 2013,1.1,-0.7,1.0,0.0
Sep to Nov 2013,1.1,-0.2,1.0,0.3
Oct to Dec 2013,1.3,-0.1,1.2,0.6
Nov to Jan 2014,1.5,-0.1,1.4,0.7
Dec to Feb 2014,2.1,0.1,1.6,0.9
Jan to Mar 2014,1.8,0.7,1.4,1.1
Feb to Apr 2014,0.6,0.7,0.9,1.0
Mar to May 2014,-0.1,0.5,0.8,0.7
Apr to Jun 2014,0.1,0.4,0.8,0.5
May to Jul 2014,0.8,0.7,0.9,0.6
Jun to Aug 2014,1.0,1.0,1.0,0.8
Jul to Sep 2014,1.0,0.8,1.4,0.9
Aug to Oct 2014,1.7,0.7,1.9,0.9
Sep to Nov 2014,2.1,0.7,2.1,0.8
Oct to Dec 2014,2.4,0.8,2.0,0.7
Nov to Jan 2015,2.2,0.8,1.9,0.8
Dec to Feb 2015,2.0,0.9,2.1,0.9
Jan to Mar 2015,2.8,0.3,2.7,0.8
Feb to Apr 2015,3.3,0.4,3.1,1.0
Mar to May 2015,3.7,0.4,3.3,1.1
Apr to Jun 2015,2.8,0.9,3.2,1.3
May to Jul 2015,3.2,0.9,3.3,1.2
Jun to Aug 2015,3.4,1.0,3.2,1.2
Jul to Sep 2015,3.3,1.3,2.8,1.3
Aug to Oct 2015,2.6,1.4,2.2,1.3
Sep to Nov 2015,2.1,1.5,2.0,1.5
Oct to Dec 2015,2.1,1.3,2.2,1.4
Nov to Jan 2016,2.4,1.4,2.4,1.4
Dec to Feb 2016,2.2,1.3,2.5,1.3
Jan to Mar 2016,2.5,1.5,2.5,1.5
Feb to Apr 2016,2.3,1.6,2.5,1.6
Mar to May 2016,2.7,1.6,2.4,1.6
Apr to Jun 2016,2.6,1.8,2.5,1.7
May to Jul 2016,2.6,1.6,2.4,1.6
Jun to Aug 2016,2.5,1.8,2.4,1.7
Jul to Sep 2016,2.6,1.5,2.6,1.5
Aug to Oct 2016,2.7,1.5,2.8,1.5
Sep to Nov 2016,3.0,1.3,2.9,1.4
Oct to Dec 2016,2.7,1.5,2.8,1.4
Nov to Jan 2017,2.3,1.4,2.5,1.4
Dec to Feb 2017,2.3,1.3,2.2,1.4
Jan to Mar 2017,2.4,1.2,2.0,1.3
Feb to Apr 2017,2.5,1.1,2.0,1.2
Mar to May 2017,2.1,1.4,2.2,1.4
Apr to Jun 2017,2.5,1.3,2.3,1.4
May to Jul 2017,2.3,1.6,2.3,1.7
Jun to Aug 2017,2.5,1.5,2.3,1.6
Jul to Sep 2017,2.4,1.7,2.4,1.7
Aug to Oct 2017,2.7,1.9,2.5,1.9
Sep to Nov 2017,2.6,1.9,2.4,1.9
Oct to Dec 2017,2.7,2.0,2.6,2.0
Nov to Jan 2018,2.8,2.0,2.7,2.0
Dec to Feb 2018,2.9,2.3,2.9,2.3
Jan to Mar 2018,2.9,2.4,3.0,2.5
Feb to Apr 2018,2.8,2.4,3.0,2.5
Mar to May 2018,2.8,2.1,2.9,2.3
Apr to Jun 2018,2.2,2.2,2.8,2.3
May to Jul 2018,2.6,2.4,3.0,2.5
Jun to Aug 2018,2.9,2.8,3.2,2.7
Jul to Sep 2018,3.2,2.8,3.3,2.8
Aug to Oct 2018,3.5,2.7,3.4,2.7
Sep to Nov 2018,3.5,2.7,3.4,2.9
Oct to Dec 2018,3.6,2.8,3.5,2.8
Nov to Jan 2019,3.5,2.8,3.6,2.9
Dec to Feb 2019,3.7,2.6,3.6,2.6
Jan to Mar 2019,3.4,2.5,3.6,2.4
Feb to Apr 2019,3.4,3.1,3.6,2.9
Mar to May 2019,3.4,3.6,3.7,3.5
Apr to Jun 2019,3.9,4.0,4.0,3.9
May to Jul 2019,3.9,3.8,4.0,3.5
Jun to Aug 2019,3.9,3.5,3.9,3.3
Jul to Sep 2019,3.9,3.3,3.7,3.2
Aug to Oct 2019,3.3,3.1,3.5,3.3
Sep to Nov 2019,3.1,3.3,3.3,3.4
Oct to Dec 2019,2.6,3.3,3.1,3.3
Nov to Jan 2020,2.9,3.2,3.0,3.2
Dec to Feb 2020,2.7,3.3,2.8,3.2
Jan to Mar 2020,2.3,3.3,2.5,3.3
Feb to Apr 2020,0.6,3.3,1.3,3.3
Mar to May 2020,-1.2,3.7,-0.1,3.8
Apr to Jun 2020,-2.5,4.1,-1.2,4.1
May to Jul 2020,-2.1,4.1,-0.8,4.4
Jun to Aug 2020,-0.7,3.8,0.1,4.1
Jul to Sep 2020,0.9,3.8,1.4,4.1
Aug to Oct 2020,2.4,4.1,2.5,4.1
Sep to Nov 2020,3.6,4.4,3.4,4.2
Oct to Dec 2020,4.5,4.4,3.9,4.2
Nov to Jan 2021,4.7,4.8,4.0,4.7
Dec to Feb 2021,4.3,5.1,4.1,5.2
Jan to Mar 2021,3.8,5.4,4.3,5.5
Feb to Apr 2021,5.7,4.9,5.8,4.9
Mar to May 2021,8.1,4.0,7.2,3.7
Apr to Jun 2021,10.5,2.9,8.3,2.8
May to Jul 2021,9.8,2.6,7.8,2.5
Jun to Aug 2021,8.2,2.6,6.7,2.7
Jul to Sept 2021,6.6,2.7,5.5,2.6
Aug to Oct 2021,5.5,2.7,4.7,2.7
Sept to Nov 2021,4.6,2.5,4.1,2.6
Oct to Dec 2021,5.1,2.6,3.9,2.7
Nov to Jan 2022,5.5,2.3,4.2,2.4
Dec to Feb 2022,6.5,1.9,4.6,2.1
Jan to Mar 2022,8.1,1.6,4.9,1.8
Feb to Apr 2022,8.0,1.5,4.8,1.7
Mar to May 2022,7.4,1.5,5.1,1.8
Apr to Jun 2022,6.0,1.8,5.5,1.8
May to July 2022,6.3,2.0,6.0,2.0
Jun to Aug 2022,6.8,2.4,6.2,2.2
