Year,Series,Income,View
1984,95th,170609,by Percentile
1983,95th,164737,by Percentile
1982,95th,162538,by Percentile
1981,95th,158338,by Percentile
1980,95th,159038,by Percentile
1979,95th,163580,by Percentile
1978,95th,160727,by Percentile
1977,95th,155189,by Percentile
1976,95th,151959,by Percentile
1975,95th,147520,by Percentile
1974,95th,152047,by Percentile
1973,95th,158234,by Percentile
1972,95th,154228,by Percentile
1971,95th,144394,by Percentile
1970,95th,144708,by Percentile
1969,95th,142828,by Percentile
1968,95th,135852,by Percentile
1967,95th,135134,by Percentile
2021,All Races,70784,by Race
2020,All Races,71186,by Race
2019,All Races,72808,by Race
2018,All Races,68168,by Race
2017,All Races,67571,by Race
2017,All Races,67832,by Race
2016,All Races,66657,by Race
2015,All Races,64631,by Race
2014,All Races,61468,by Race
2013,All Races,62425,by Race
2013,All Races,60507,by Race
2012,All Races,60313,by Race
2011,All Races,60428,by Race
2010,All Races,61364,by Race
2009,All Races,63011,by Race
2008,All Races,63455,by Race
2007,All Races,65801,by Race
2006,All Races,64930,by Race
2005,All Races,64427,by Race
2004,All Races,63745,by Race
2003,All Races,63967,by Race
2002,All Races,64047,by Race
2001,All Races,64779,by Race
2000,All Races,66248,by Race
1999,All Races,66385,by Race
1998,All Races,64781,by Race
1997,All Races,62484,by Race
1996,All Races,61225,by Race
1995,All Races,60348,by Race
1994,All Races,58515,by Race
1993,All Races,57843,by Race
1992,All Races,58153,by Race
1991,All Races,58607,by Race
1990,All Races,60370,by Race
1989,All Races,61153,by Race
1988,All Races,60115,by Race
1987,All Races,59624,by Race
1986,All Races,58920,by Race
1985,All Races,56871,by Race
1984,All Races,55828,by Race
1983,All Races,54182,by Race
1982,All Races,54564,by Race
1981,All Races,54713,by Race
1980,All Races,55596,by Race
1979,All Races,57462,by Race
1978,All Races,57572,by Race
1977,All Races,55427,by Race
1976,All Races,55078,by Race
1975,All Races,54180,by Race
1974,All Races,55636,by Race
1973,All Races,57456,by Race
1972,All Races,56319,by Race
1971,All Races,54006,by Race
1970,All Races,54536,by Race
1969,All Races,54962,by Race
1968,All Races,52992,by Race
1967,All Races,50803,by Race
2021,"White, Not Hispanic",77999,by Race
2020,"White, Not Hispanic",78912,by Race
2019,"White, Not Hispanic",80602,by Race
2018,"White, Not Hispanic",76220,by Race
2017,"White, Not Hispanic",75367,by Race
2017,"White, Not Hispanic",75318,by Race
2016,"White, Not Hispanic",73433,by Race
2015,"White, Not Hispanic",71989,by Race
2014,"White, Not Hispanic",69027,by Race
2013,"White, Not Hispanic",70281,by Race
2013,"White, Not Hispanic",67882,by Race
2012,"White, Not Hispanic",67397,by Race
2011,"White, Not Hispanic",66897,by Race
2010,"White, Not Hispanic",67820,by Race
2009,"White, Not Hispanic",68940,by Race
2008,"White, Not Hispanic",70049,by Race
2007,"White, Not Hispanic",71941,by Race
2006,"White, Not Hispanic",70617,by Race
2005,"White, Not Hispanic",70627,by Race
2004,"White, Not Hispanic",70325,by Race
2003,"White, Not Hispanic",70552,by Race
2002,"White, Not Hispanic",70829,by Race
2001,"White, Not Hispanic",71033,by Race
2000,"White, Not Hispanic",71979,by Race
1999,"White, Not Hispanic",72030,by Race
1998,"White, Not Hispanic",70702,by Race
1997,"White, Not Hispanic",68516,by Race
1996,"White, Not Hispanic",66909,by Race
1995,"White, Not Hispanic",65841,by Race
1994,"White, Not Hispanic",63706,by Race
1993,"White, Not Hispanic",63272,by Race
1992,"White, Not Hispanic",63191,by Race
1991,"White, Not Hispanic",62881,by Race
1990,"White, Not Hispanic",64407,by Race
1989,"White, Not Hispanic",65710,by Race
1988,"White, Not Hispanic",65302,by Race
1987,"White, Not Hispanic",64547,by Race
1986,"White, Not Hispanic",63352,by Race
1985,"White, Not Hispanic",61326,by Race
1984,"White, Not Hispanic",60119,by Race
1982,"White, Not Hispanic",58081,by Race
1981,"White, Not Hispanic",58642,by Race
1980,"White, Not Hispanic",59693,by Race
1979,"White, Not Hispanic",61096,by Race
1978,"White, Not Hispanic",60977,by Race
1977,"White, Not Hispanic",59442,by Race
1976,"White, Not Hispanic",58873,by Race
1975,"White, Not Hispanic",57086,by Race
1974,"White, Not Hispanic",58682,by Race
1973,"White, Not Hispanic",60746,by Race
1972,"White, Not Hispanic",59926,by Race
2021,Black,48815,by Race
2020,Black,48936,by Race
2019,Black,48827,by Race
2018,Black,44984,by Race
2017,Black,44197,by Race
2017,Black,44867,by Race
2016,Black,45235,by Race
2015,Black,42554,by Race
2014,Black,40843,by Race
2013,Black,41664,by Race
2013,Black,40512,by Race
2012,Black,39862,by Race
2011,Black,39074,by Race
2010,Black,40044,by Race
2009,Black,41457,by Race
2008,Black,43325,by Race
2007,Black,44656,by Race
2006,Black,43284,by Race
2005,Black,43049,by Race
2004,Black,43473,by Race
2003,Black,43841,by Race
2002,Black,44064,by Race
2021,Black,48297,by Race
2020,Black,48175,by Race
2019,Black,48153,by Race
2018,Black,44627,by Race
2017,Black,43509,by Race
2017,Black,44496,by Race
2016,Black,44585,by Race
2015,Black,42196,by Race
2014,Black,40551,by Race
2013,Black,41151,by Race
2013,Black,40305,by Race
2012,Black,39393,by Race
2011,Black,38909,by Race
2010,Black,40005,by Race
2009,Black,41247,by Race
2008,Black,43165,by Race
2007,Black,44427,by Race
2006,Black,43064,by Race
2005,Black,42915,by Race
2004,Black,43272,by Race
2003,Black,43776,by Race
2002,Black,43836,by Race
2021,Asian,101418,by Race
2020,Asian,99622,by Race
2019,Asian,104041,by Race
2018,Asian,94079,by Race
2017,Asian,89960,by Race
2017,Asian,89892,by Race
2016,Asian,91938,by Race
2015,Asian,88247,by Race
2014,Asian,85112,by Race
2013,Asian,84324,by Race
2013,Asian,78128,by Race
2012,Asian,81143,by Race
2011,Asian,78628,by Race
2010,Asian,80023,by Race
2009,Asian,82875,by Race
2008,Asian,82798,by Race
2007,Asian,86589,by Race
2006,Asian,86533,by Race
2005,Asian,84965,by Race
2004,Asian,82681,by Race
2003,Asian,82250,by Race
2002,Asian,79477,by Race
2001,Asian,82277,by Race
2000,Asian,87968,by Race
1999,Asian,83128,by Race
1998,Asian,77696,by Race
1997,Asian,76404,by Race
1996,Asian,74653,by Race
1995,Asian,71926,by Race
1994,Asian,73420,by Race
1993,Asian,71000,by Race
1992,Asian,71754,by Race
1991,Asian,70908,by Race
1990,Asian,77522,by Race
1989,Asian,76377,by Race
1988,Asian,71248,by Race
1987,Asian,73728,by Race
2021,Hispanic (any race),57981,by Race
2020,Hispanic (any race),58015,by Race
2019,Hispanic (any race),59467,by Race
2018,Hispanic (any race),55513,by Race
2017,Hispanic (any race),55448,by Race
2017,Hispanic (any race),55800,by Race
2016,Hispanic (any race),53827,by Race
2015,Hispanic (any race),51631,by Race
2014,Hispanic (any race),48676,by Race
2013,Hispanic (any race),46234,by Race
2013,Hispanic (any race),47720,by Race
2012,Hispanic (any race),46113,by Race
2011,Hispanic (any race),46629,by Race
2010,Hispanic (any race),46863,by Race
2009,Hispanic (any race),48152,by Race
2008,Hispanic (any race),47826,by Race
2007,Hispanic (any race),50666,by Race
2006,Hispanic (any race),50893,by Race
2005,Hispanic (any race),50020,by Race
2004,Hispanic (any race),49276,by Race
2003,Hispanic (any race),48726,by Race
2002,Hispanic (any race),49993,by Race
2001,Hispanic (any race),51490,by Race
2000,Hispanic (any race),52329,by Race
1999,Hispanic (any race),50154,by Race
1998,Hispanic (any race),47197,by Race
1997,Hispanic (any race),44962,by Race
1996,Hispanic (any race),42964,by Race
1995,Hispanic (any race),40484,by Race
1994,Hispanic (any race),42477,by Race
1993,Hispanic (any race),42374,by Race
1992,Hispanic (any race),42893,by Race
1991,Hispanic (any race),44143,by Race
1990,Hispanic (any race),45021,by Race
1989,Hispanic (any race),46376,by Race
1988,Hispanic (any race),44954,by Race
1987,Hispanic (any race),44238,by Race
1986,Hispanic (any race),43431,by Race
1985,Hispanic (any race),42055,by Race
1984,Hispanic (any race),42321,by Race
1983,Hispanic (any race),41265,by Race
1982,Hispanic (any race),41058,by Race
1981,Hispanic (any race),43887,by Race
1980,Hispanic (any race),42854,by Race
1979,Hispanic (any race),45527,by Race
1978,Hispanic (any race),45109,by Race
1977,Hispanic (any race),43482,by Race
1976,Hispanic (any race),41545,by Race
1975,Hispanic (any race),40704,by Race
1974,Hispanic (any race),44253,by Race
1973,Hispanic (any race),44513,by Race
1972,Hispanic (any race),44587,by Race
2021,United States,70784,by Region
2020,United States,71186,by Region
2019,United States,72808,by Region
2018,United States,68168,by Region
2017,United States,67571,by Region
2017,United States,67832,by Region
2016,United States,66657,by Region
2015,United States,64631,by Region
2014,United States,61468,by Region
2013,United States,62425,by Region
2013,United States,60507,by Region
2012,United States,60313,by Region
2011,United States,60428,by Region
2010,United States,61364,by Region
2009,United States,63011,by Region
2008,United States,63455,by Region
2007,United States,65801,by Region
2006,United States,64930,by Region
2005,United States,64427,by Region
2004,United States,63745,by Region
2003,United States,63967,by Region
2002,United States,64047,by Region
2001,United States,64779,by Region
2000,United States,66248,by Region
1999,United States,66385,by Region
1998,United States,64781,by Region
1997,United States,62484,by Region
1996,United States,61225,by Region
1995,United States,60348,by Region
1994,United States,58515,by Region
1993,United States,57843,by Region
1992,United States,58153,by Region
1991,United States,58607,by Region
1990,United States,60370,by Region
1989,United States,61153,by Region
1988,United States,60115,by Region
1987,United States,59624,by Region
1986,United States,58920,by Region
1985,United States,56871,by Region
1984,United States,55828,by Region
1983,United States,54182,by Region
1982,United States,54564,by Region
1981,United States,54713,by Region
1980,United States,55596,by Region
1979,United States,57462,by Region
1978,United States,57572,by Region
1977,United States,55427,by Region
1976,United States,55078,by Region
1975,United States,54180,by Region
2021,Northeast,77472,by Region
2020,Northeast,79032,by Region
2019,Northeast,80776,by Region
2018,Northeast,75649,by Region
2017,Northeast,72498,by Region
2017,Northeast,73445,by Region
2016,Northeast,72698,by Region
2015,Northeast,71111,by Region
2014,Northeast,67829,by Region
2013,Northeast,66249,by Region
2013,Northeast,66141,by Region
2012,Northeast,64581,by Region
2011,Northeast,65028,by Region
2010,Northeast,65997,by Region
2009,Northeast,67183,by Region
2008,Northeast,68555,by Region
2007,Northeast,68474,by Region
2006,Northeast,70124,by Region
2005,Northeast,70763,by Region
2004,Northeast,68816,by Region
2003,Northeast,69023,by Region
2002,Northeast,69262,by Region
2001,Northeast,70130,by Region
2000,Northeast,69024,by Region
1999,Northeast,68319,by Region
1998,Northeast,67695,by Region
1997,Northeast,65733,by Region
1996,Northeast,64527,by Region
1995,Northeast,63952,by Region
1994,Northeast,63343,by Region
1993,Northeast,62483,by Region
1992,Northeast,62638,by Region
1991,Northeast,65106,by Region
1990,Northeast,65880,by Region
1989,Northeast,69059,by Region
1988,Northeast,67181,by Region
1987,Northeast,64435,by Region
1986,Northeast,62699,by Region
1985,Northeast,61367,by Region
1984,Northeast,58654,by Region
1983,Northeast,56602,by Region
1982,Northeast,56014,by Region
1981,Northeast,56867,by Region
1980,Northeast,57109,by Region
1979,Northeast,58869,by Region
1978,Northeast,59273,by Region
1977,Northeast,58122,by Region
1976,Northeast,56763,by Region
1975,Northeast,56654,by Region
2021,Midwest,71129,by Region
2020,Midwest,70528,by Region
2019,Midwest,72439,by Region
2018,Midwest,69128,by Region
2017,Midwest,67557,by Region
2017,Midwest,67571,by Region
2016,Midwest,65828,by Region
2015,Midwest,65279,by Region
2014,Midwest,62166,by Region
2013,Midwest,62239,by Region
2013,Midwest,60674,by Region
2012,Midwest,59677,by Region
2011,Midwest,58820,by Region
2010,Midwest,60075,by Region
2009,Midwest,61872,by Region
2008,Midwest,63214,by Region
2007,Midwest,65859,by Region
2006,Midwest,64438,by Region
2005,Midwest,63904,by Region
2004,Midwest,64187,by Region
2003,Midwest,66055,by Region
2002,Midwest,65879,by Region
2001,Midwest,67242,by Region
2000,Midwest,69831,by Region
1999,Midwest,69347,by Region
1998,Midwest,67653,by Region
1997,Midwest,64698,by Region
1996,Midwest,63100,by Region
1995,Midwest,63470,by Region
1994,Midwest,58952,by Region
1993,Midwest,58137,by Region
1992,Midwest,58472,by Region
1991,Midwest,58220,by Region
1990,Midwest,60277,by Region
1989,Midwest,60823,by Region
1988,Midwest,60811,by Region
1987,Midwest,58992,by Region
1986,Midwest,58811,by Region
1985,Midwest,56710,by Region
1984,Midwest,56254,by Region
1983,Midwest,54656,by Region
1982,Midwest,56320,by Region
1981,Midwest,56482,by Region
1980,Midwest,57489,by Region
1979,Midwest,60416,by Region
1978,Midwest,59900,by Region
1977,Midwest,58278,by Region
1976,Midwest,59407,by Region
1975,Midwest,57733,by Region
2021,South,63368,by Region
2020,South,64355,by Region
2019,South,65583,by Region
2018,South,61823,by Region
2017,South,61646,by Region
2017,South,61573,by Region
2016,South,60811,by Region
2015,South,58522,by Region
2014,South,56883,by Region
2013,South,58078,by Region
2013,South,56067,by Region
2012,South,56786,by Region
2011,South,56619,by Region
2010,South,56590,by Region
2009,South,57742,by Region
2008,South,57510,by Region
2007,South,60500,by Region
2006,South,59115,by Region
2005,South,58603,by Region
2004,South,58585,by Region
2003,South,58806,by Region
2002,South,59687,by Region
2001,South,59680,by Region
2000,South,60566,by Region
1999,South,60918,by Region
1998,South,59637,by Region
1997,South,57993,by Region
1996,South,55929,by Region
1995,South,54797,by Region
1994,South,54447,by Region
1993,South,52659,by Region
1992,South,52407,by Region
1991,South,52872,by Region
1990,South,54320,by Region
1989,South,54730,by Region
1988,South,54334,by Region
1987,South,54835,by Region
1986,South,53432,by Region
1985,South,51523,by Region
1984,South,51364,by Region
1983,South,50293,by Region
1982,South,50290,by Region
1981,South,49742,by Region
1980,South,51164,by Region
1979,South,52250,by Region
1978,South,52187,by Region
1977,South,50669,by Region
1976,South,49760,by Region
1975,South,48390,by Region
2021,West,79430,by Region
2020,West,78755,by Region
2019,West,80297,by Region
2018,West,75009,by Region
2017,West,74010,by Region
2017,West,74624,by Region
2016,West,72569,by Region
2015,West,70265,by Region
2014,West,66085,by Region
2013,West,69344,by Region
2013,West,65449,by Region
2012,West,65208,by Region
2011,West,63232,by Region
2010,West,65951,by Region
2009,West,68145,by Region
2008,West,69488,by Region
2007,West,70916,by Region
2006,West,70383,by Region
2005,West,69539,by Region
2004,West,68514,by Region
2003,West,69138,by Region
2002,West,68176,by Region
2001,West,69165,by Region
2000,West,70862,by Region
1999,West,69434,by Region
1998,West,68276,by Region
1997,West,66126,by Region
1996,West,64042,by Region
1995,West,63718,by Region
1994,West,62483,by Region
1993,West,62468,by Region
1992,West,63255,by Region
1991,West,62745,by Region
1990,West,64036,by Region
1989,West,65765,by Region
1988,West,63672,by Region
1987,West,63762,by Region
1986,West,63899,by Region
1985,West,62082,by Region
1984,West,60914,by Region
1983,West,57637,by Region
1982,West,57326,by Region
1981,West,58642,by Region
1980,West,59674,by Region
1979,West,60901,by Region
1978,West,59281,by Region
1977,West,57093,by Region
1976,West,56607,by Region
1975,West,55966,by Region
2021,Median,70784,by Percentile
2020,Median,71186,by Percentile
2019,Median,72808,by Percentile
2018,Median,68168,by Percentile
2017,Median,67571,by Percentile
2017,Median,67832,by Percentile
2016,Median,66657,by Percentile
2015,Median,64631,by Percentile
2014,Median,61468,by Percentile
2013,Median,62425,by Percentile
2013,Median,60507,by Percentile
2012,Median,60313,by Percentile
2011,Median,60428,by Percentile
2010,Median,61364,by Percentile
2009,Median,63011,by Percentile
2008,Median,63455,by Percentile
2007,Median,65801,by Percentile
2006,Median,64930,by Percentile
2005,Median,64427,by Percentile
2004,Median,63745,by Percentile
2003,Median,63967,by Percentile
2002,Median,64047,by Percentile
2001,Median,64779,by Percentile
2000,Median,66248,by Percentile
1999,Median,66385,by Percentile
1998,Median,64781,by Percentile
1997,Median,62484,by Percentile
1996,Median,61225,by Percentile
1995,Median,60348,by Percentile
1994,Median,58515,by Percentile
1993,Median,57843,by Percentile
1992,Median,58153,by Percentile
1991,Median,58607,by Percentile
1990,Median,60370,by Percentile
1989,Median,61153,by Percentile
1988,Median,60115,by Percentile
1987,Median,59624,by Percentile
1986,Median,58920,by Percentile
1985,Median,56871,by Percentile
1984,Median,55828,by Percentile
1983,Median,54182,by Percentile
1982,Median,54564,by Percentile
1981,Median,54713,by Percentile
1980,Median,55596,by Percentile
1979,Median,57462,by Percentile
1978,Median,57572,by Percentile
1977,Median,55427,by Percentile
1976,Median,55078,by Percentile
1975,Median,54180,by Percentile
1974,Median,55636,by Percentile
1973,Median,57456,by Percentile
1972,Median,56319,by Percentile
1971,Median,54006,by Percentile
1970,Median,54536,by Percentile
1969,Median,54962,by Percentile
1968,Median,52992,by Percentile
1967,Median,50803,by Percentile
