Unnamed: 0,Year,Value,Type
32,1994,1.618,Income Security
33,1995,1.543,Income Security
34,1996,1.529,Income Security
35,1997,1.449,Income Security
36,1998,1.368,Income Security
37,1999,1.361,Income Security
38,2000,1.324,Income Security
39,2001,1.36,Income Security
40,2002,1.665,Income Security
41,2003,1.739,Income Security
42,2004,1.585,Income Security
43,2005,1.533,Income Security
44,2006,1.467,Income Security
45,2007,1.42,Income Security
46,2008,1.658,Income Security
47,2009,2.407,Income Security
48,2010,2.937,Income Security
49,2011,2.614,Income Security
50,2012,2.195,Income Security
51,2013,2.037,Income Security
52,2014,1.79,Income Security
53,2015,1.664,Income Security
54,2016,1.639,Income Security
55,2017,1.527,Income Security
56,2018,1.405,Income Security
57,2019,1.43,Income Security
58,2020,4.99,Income Security
59,2021,6.076,Income Security
60,2022,2.322,Income Security
0,1962,0.018,Major Health Care Programs
1,1963,0.025,Major Health Care Programs
2,1964,0.032,Major Health Care Programs
3,1965,0.038,Major Health Care Programs
4,1966,0.099,Major Health Care Programs
5,1967,0.442,Major Health Care Programs
6,1968,0.694,Major Health Care Programs
7,1969,0.784,Major Health Care Programs
8,1970,0.819,Major Health Care Programs
9,1971,0.859,Major Health Care Programs
10,1972,0.956,Major Health Care Programs
11,1973,0.903,Major Health Care Programs
12,1974,0.997,Major Health Care Programs
13,1975,1.186,Major Health Care Programs
14,1976,1.319,Major Health Care Programs
15,1977,1.406,Major Health Care Programs
16,1978,1.43,Major Health Care Programs
17,1979,1.478,Major Health Care Programs
18,1980,1.611,Major Health Care Programs
19,1981,1.748,Major Health Care Programs
20,1982,1.892,Major Health Care Programs
21,1983,1.986,Major Health Care Programs
22,1984,1.926,Major Health Care Programs
23,1985,2.034,Major Health Care Programs
24,1986,2.064,Major Health Care Programs
25,1987,2.115,Major Health Care Programs
26,1988,2.089,Major Health Care Programs
27,1989,2.112,Major Health Care Programs
28,1990,2.321,Major Health Care Programs
29,1991,2.537,Major Health Care Programs
30,1992,2.868,Major Health Care Programs
31,1993,3.006,Major Health Care Programs
32,1994,3.119,Major Health Care Programs
33,1995,3.253,Major Health Care Programs
34,1996,3.311,Major Health Care Programs
35,1997,3.349,Major Health Care Programs
36,1998,3.264,Major Health Care Programs
37,1999,3.126,Major Health Care Programs
38,2000,3.096,Major Health Care Programs
39,2001,3.298,Major Health Care Programs
40,2002,3.499,Major Health Care Programs
41,2003,3.642,Major Health Care Programs
42,2004,3.706,Major Health Care Programs
43,2005,3.748,Major Health Care Programs
44,2006,3.747,Major Health Care Programs
45,2007,3.966,Major Health Care Programs
46,2008,4.015,Major Health Care Programs
47,2009,4.725,Major Health Care Programs
48,2010,4.885,Major Health Care Programs
49,2011,4.937,Major Health Care Programs
50,2012,4.505,Major Health Care Programs
51,2013,4.606,Major Health Care Programs
52,2014,4.784,Major Health Care Programs
53,2015,5.178,Major Health Care Programs
54,2016,5.463,Major Health Care Programs
55,2017,5.354,Major Health Care Programs
56,2018,5.111,Major Health Care Programs
57,2019,5.324,Major Health Care Programs
58,2020,6.18,Major Health Care Programs
59,2021,5.726,Major Health Care Programs
60,2022,5.765,Major Health Care Programs
