Date,date2,creditCard,mortgage_revertTo,mortgage_fixed2year,Unnamed: 5
31-May-16,2016-05-31,17.93,4.56,1.7,
30-Apr-16,2016-04-30,17.96,4.64,1.67,
31-Mar-16,2016-03-31,17.94,4.57,1.62,
29-Feb-16,2016-02-29,17.94,4.58,1.68,
31-Jan-16,2016-01-31,17.96,4.56,1.7,
31-Dec-15,2015-12-31,17.93,4.49,1.7,
30-Nov-15,2015-11-30,17.94,4.49,1.67,
31-Oct-15,2015-10-31,17.95,4.54,1.63,
30-Sep-15,2015-09-30,17.93,4.5,1.64,
31-Aug-15,2015-08-31,17.91,4.48,1.65,
31-Jul-15,2015-07-31,17.9,4.5,1.6,
30-Jun-15,2015-06-30,17.84,4.49,1.6,
31-May-15,2015-05-31,17.87,4.55,1.64,
30-Apr-15,2015-04-30,17.85,4.53,1.65,
31-Mar-15,2015-03-31,17.84,4.51,1.59,
28-Feb-15,2015-02-28,17.85,4.51,1.67,
31-Jan-15,2015-01-31,17.85,4.56,1.81,
31-Dec-14,2014-12-31,17.75,4.48,1.9,
30-Nov-14,2014-11-30,17.81,4.49,1.95,
31-Oct-14,2014-10-31,17.54,4.53,1.94,
30-Sep-14,2014-09-30,17.47,4.52,2.08,
31-Aug-14,2014-08-31,17.39,4.45,2.19,
31-Jul-14,2014-07-31,17.37,4.45,2.24,
30-Jun-14,2014-06-30,17.36,4.36,2.19,
31-May-14,2014-05-31,17.37,4.42,2.11,
30-Apr-14,2014-04-30,17.32,4.43,2.07,
31-Mar-14,2014-03-31,17.31,4.43,1.9,
28-Feb-14,2014-02-28,18.31,4.43,1.87,
31-Jan-14,2014-01-31,18.17,4.41,1.88,
31-Dec-13,2013-12-31,18.14,4.39,1.95,
30-Nov-13,2013-11-30,18.13,4.41,1.95,
31-Oct-13,2013-10-31,17.88,4.37,1.98,
30-Sep-13,2013-09-30,17.88,4.35,2.0,
31-Aug-13,2013-08-31,17.87,4.36,2.07,
31-Jul-13,2013-07-31,17.89,4.37,2.07,
30-Jun-13,2013-06-30,17.84,4.38,2.09,
31-May-13,2013-05-31,17.85,4.38,2.16,
30-Apr-13,2013-04-30,17.71,4.35,2.25,
31-Mar-13,2013-03-31,17.69,4.34,2.26,
28-Feb-13,2013-02-28,17.69,4.38,2.34,
31-Jan-13,2013-01-31,17.61,4.38,2.38,
31-Dec-12,2012-12-31,17.33,4.35,2.5,
30-Nov-12,2012-11-30,17.32,4.32,2.45,
31-Oct-12,2012-10-31,17.33,4.32,2.6,
30-Sep-12,2012-09-30,17.25,4.29,2.99,
31-Aug-12,2012-08-31,17.26,4.27,3.09,
31-Jul-12,2012-07-31,17.26,4.24,3.14,
30-Jun-12,2012-06-30,17.25,4.22,3.27,
31-May-12,2012-05-31,17.26,4.16,3.22,
30-Apr-12,2012-04-30,17.25,4.1,3.15,
31-Mar-12,2012-03-31,17.31,4.1,3.03,
29-Feb-12,2012-02-29,17.31,4.14,3.02,
31-Jan-12,2012-01-31,17.32,4.18,2.76,
31-Dec-11,2011-12-31,17.29,4.12,,
30-Nov-11,2011-11-30,16.93,4.13,,
31-Oct-11,2011-10-31,16.73,4.14,,
30-Sep-11,2011-09-30,16.72,4.12,,
31-Aug-11,2011-08-31,16.73,4.11,,
31-Jul-11,2011-07-31,16.72,4.1,,
30-Jun-11,2011-06-30,16.73,4.05,,
31-May-11,2011-05-31,16.73,4.0,,
30-Apr-11,2011-04-30,16.72,4.0,,
31-Mar-11,2011-03-31,16.66,4.07,,
28-Feb-11,2011-02-28,16.69,4.07,,
31-Jan-11,2011-01-31,16.8,4.04,,
31-Dec-10,2010-12-31,16.66,3.91,,
30-Nov-10,2010-11-30,16.68,3.91,,
31-Oct-10,2010-10-31,16.68,3.91,,
30-Sep-10,2010-09-30,16.69,3.93,,
31-Aug-10,2010-08-31,16.71,3.94,,
31-Jul-10,2010-07-31,16.7,3.92,,
30-Jun-10,2010-06-30,16.7,3.92,,
31-May-10,2010-05-31,16.52,3.94,,
30-Apr-10,2010-04-30,16.51,3.99,,
31-Mar-10,2010-03-31,16.53,4.04,,
28-Feb-10,2010-02-28,16.52,4.05,,
31-Jan-10,2010-01-31,16.37,4.08,,
31-Dec-09,2009-12-31,16.25,3.97,,
30-Nov-09,2009-11-30,15.89,3.98,,
31-Oct-09,2009-10-31,15.89,3.91,,
30-Sep-09,2009-09-30,15.86,3.91,,
31-Aug-09,2009-08-31,15.89,3.93,,
31-Jul-09,2009-07-31,15.86,4.11,,
30-Jun-09,2009-06-30,15.87,3.95,,
31-May-09,2009-05-31,15.87,3.83,,
30-Apr-09,2009-04-30,15.72,3.82,,
31-Mar-09,2009-03-31,15.73,4.06,,
28-Feb-09,2009-02-28,15.72,4.38,,
31-Jan-09,2009-01-31,16.09,4.73,,
31-Dec-08,2008-12-31,16.05,5.38,,
30-Nov-08,2008-11-30,16.05,6.34,,
31-Oct-08,2008-10-31,16.06,6.91,,
30-Sep-08,2008-09-30,16.12,6.95,,
31-Aug-08,2008-08-31,16.13,6.93,,
31-Jul-08,2008-07-31,16.12,6.92,,
30-Jun-08,2008-06-30,16.12,6.92,,
31-May-08,2008-05-31,15.92,6.95,,
30-Apr-08,2008-04-30,15.69,7.23,,
31-Mar-08,2008-03-31,15.14,7.24,,
29-Feb-08,2008-02-29,15.12,7.5,,
31-Jan-08,2008-01-31,15.2,7.51,,
31-Dec-07,2007-12-31,15.11,7.68,,
30-Nov-07,2007-11-30,15.25,7.72,,
31-Oct-07,2007-10-31,15.26,7.74,,
30-Sep-07,2007-09-30,14.99,7.74,,
31-Aug-07,2007-08-31,15.22,7.69,,
31-Jul-07,2007-07-31,15.22,7.44,,
30-Jun-07,2007-06-30,15.38,7.46,,
31-May-07,2007-05-31,15.36,7.23,,
30-Apr-07,2007-04-30,15.87,7.22,,
31-Mar-07,2007-03-31,16.05,7.19,,
28-Feb-07,2007-02-28,15.76,7.2,,
31-Jan-07,2007-01-31,15.67,7.01,,
31-Dec-06,2006-12-31,15.68,6.98,,
30-Nov-06,2006-11-30,15.7,6.7,,
31-Oct-06,2006-10-31,16.26,6.68,,
30-Sep-06,2006-09-30,16.29,6.65,,
31-Aug-06,2006-08-31,16.22,6.4,,
31-Jul-06,2006-07-31,16.03,6.4,,
30-Jun-06,2006-06-30,16.62,6.4,,
31-May-06,2006-05-31,16.67,6.4,,
30-Apr-06,2006-04-30,16.56,6.41,,
31-Mar-06,2006-03-31,16.56,6.41,,
28-Feb-06,2006-02-28,16.61,6.37,,
31-Jan-06,2006-01-31,16.5,6.36,,
31-Dec-05,2005-12-31,16.47,6.35,,
30-Nov-05,2005-11-30,16.47,6.35,,
31-Oct-05,2005-10-31,15.74,6.35,,
30-Sep-05,2005-09-30,15.76,6.4,,
31-Aug-05,2005-08-31,15.73,6.58,,
31-Jul-05,2005-07-31,15.73,6.61,,
30-Jun-05,2005-06-30,15.72,6.62,,
31-May-05,2005-05-31,15.96,6.62,,
30-Apr-05,2005-04-30,16.2,6.62,,
31-Mar-05,2005-03-31,16.23,6.61,,
28-Feb-05,2005-02-28,15.88,6.61,,
31-Jan-05,2005-01-31,15.86,6.61,,
31-Dec-04,2004-12-31,16.05,6.6,,
30-Nov-04,2004-11-30,15.94,6.6,,
31-Oct-04,2004-10-31,15.84,6.61,,
30-Sep-04,2004-09-30,15.65,6.59,,
31-Aug-04,2004-08-31,15.44,6.32,,
31-Jul-04,2004-07-31,15.44,6.32,,
30-Jun-04,2004-06-30,15.18,6.08,,
31-May-04,2004-05-31,14.99,5.82,,
30-Apr-04,2004-04-30,14.93,5.81,,
31-Mar-04,2004-03-31,14.8,5.81,,
29-Feb-04,2004-02-29,14.96,5.59,,
31-Jan-04,2004-01-31,15.13,5.59,,
31-Dec-03,2003-12-31,15.24,5.59,,
30-Nov-03,2003-11-30,15.18,5.32,,
31-Oct-03,2003-10-31,15.18,5.3,,
30-Sep-03,2003-09-30,14.97,5.31,,
31-Aug-03,2003-08-31,15.0,5.32,,
31-Jul-03,2003-07-31,15.19,5.5,,
30-Jun-03,2003-06-30,15.15,5.5,,
31-May-03,2003-05-31,15.23,5.5,,
30-Apr-03,2003-04-30,15.27,5.51,,
31-Mar-03,2003-03-31,15.13,5.49,,
28-Feb-03,2003-02-28,15.61,5.63,,
31-Jan-03,2003-01-31,15.59,5.64,,
31-Dec-02,2002-12-31,15.69,5.64,,
30-Nov-02,2002-11-30,15.69,5.65,,
31-Oct-02,2002-10-31,15.77,5.66,,
30-Sep-02,2002-09-30,15.65,5.65,,
31-Aug-02,2002-08-31,16.33,5.66,,
31-Jul-02,2002-07-31,16.44,5.66,,
30-Jun-02,2002-06-30,16.4,5.66,,
31-May-02,2002-05-31,16.38,5.66,,
30-Apr-02,2002-04-30,16.42,5.65,,
31-Mar-02,2002-03-31,16.39,5.65,,
28-Feb-02,2002-02-28,16.94,5.66,,
31-Jan-02,2002-01-31,17.1,5.66,,
31-Dec-01,2001-12-31,17.66,5.67,,
30-Nov-01,2001-11-30,17.94,6.06,,
31-Oct-01,2001-10-31,18.0,6.32,,
30-Sep-01,2001-09-30,18.01,6.54,,
31-Aug-01,2001-08-31,17.98,6.8,,
31-Jul-01,2001-07-31,18.22,6.81,,
30-Jun-01,2001-06-30,18.23,6.81,,
31-May-01,2001-05-31,18.55,7.03,,
30-Apr-01,2001-04-30,18.61,7.3,,
31-Mar-01,2001-03-31,18.53,7.27,,
28-Feb-01,2001-02-28,18.57,7.56,,
31-Jan-01,2001-01-31,18.65,7.56,,
31-Dec-00,2000-12-31,18.9,7.55,,
30-Nov-00,2000-11-30,18.76,7.59,,
31-Oct-00,2000-10-31,18.82,7.59,,
30-Sep-00,2000-09-30,18.79,7.59,,
31-Aug-00,2000-08-31,18.95,7.63,,
31-Jul-00,2000-07-31,19.12,7.64,,
30-Jun-00,2000-06-30,19.03,7.64,,
31-May-00,2000-05-31,19.04,7.64,,
30-Apr-00,2000-04-30,18.99,7.63,,
31-Mar-00,2000-03-31,18.94,7.62,,
29-Feb-00,2000-02-29,18.79,7.38,,
31-Jan-00,2000-01-31,19.11,7.13,,
31-Dec-99,1999-12-31,19.48,7.1,,
30-Nov-99,1999-11-30,19.2,6.87,,
31-Oct-99,1999-10-31,19.42,6.82,,
30-Sep-99,1999-09-30,19.74,6.72,,
31-Aug-99,1999-08-31,19.69,6.72,,
31-Jul-99,1999-07-31,19.86,6.72,,
30-Jun-99,1999-06-30,19.95,6.73,,
31-May-99,1999-05-31,20.01,6.75,,
30-Apr-99,1999-04-30,20.83,6.83,,
31-Mar-99,1999-03-31,20.69,6.85,,
28-Feb-99,1999-02-28,20.89,7.35,,
31-Jan-99,1999-01-31,21.41,7.6,,
31-Dec-98,1998-12-31,22.19,8.0,,
30-Nov-98,1998-11-30,22.27,8.58,,
31-Oct-98,1998-10-31,22.21,8.85,,
30-Sep-98,1998-09-30,22.29,8.87,,
31-Aug-98,1998-08-31,22.27,8.83,,
31-Jul-98,1998-07-31,22.26,8.8,,
30-Jun-98,1998-06-30,22.15,8.59,,
31-May-98,1998-05-31,22.38,8.59,,
30-Apr-98,1998-04-30,22.41,8.59,,
31-Mar-98,1998-03-31,22.38,8.59,,
28-Feb-98,1998-02-28,22.38,8.59,,
31-Jan-98,1998-01-31,22.49,8.56,,
31-Dec-97,1997-12-31,22.77,8.5,,
30-Nov-97,1997-11-30,22.61,8.37,,
31-Oct-97,1997-10-31,22.57,8.36,,
30-Sep-97,1997-09-30,22.44,8.33,,
31-Aug-97,1997-08-31,22.48,8.15,,
31-Jul-97,1997-07-31,22.26,7.86,,
30-Jun-97,1997-06-30,21.96,7.64,,
31-May-97,1997-05-31,21.99,7.27,,
30-Apr-97,1997-04-30,22.08,7.22,,
31-Mar-97,1997-03-31,22.06,7.21,,
28-Feb-97,1997-02-28,22.08,7.22,,
31-Jan-97,1997-01-31,22.14,7.18,,
31-Dec-96,1996-12-31,22.41,7.01,,
30-Nov-96,1996-11-30,22.32,6.92,,
31-Oct-96,1996-10-31,22.16,6.92,,
30-Sep-96,1996-09-30,22.08,6.93,,
31-Aug-96,1996-08-31,22.03,6.99,,
31-Jul-96,1996-07-31,22.34,7.15,,
30-Jun-96,1996-06-30,22.36,7.15,,
31-May-96,1996-05-31,22.38,7.17,,
30-Apr-96,1996-04-30,22.53,7.3,,
31-Mar-96,1996-03-31,22.58,7.46,,
29-Feb-96,1996-02-29,22.55,7.5,,
31-Jan-96,1996-01-31,22.61,7.72,,
31-Dec-95,1995-12-31,23.01,7.95,,
30-Nov-95,1995-11-30,22.85,7.96,,
31-Oct-95,1995-10-31,22.84,8.0,,
30-Sep-95,1995-09-30,22.77,8.36,,
31-Aug-95,1995-08-31,22.64,8.36,,
31-Jul-95,1995-07-31,22.81,8.36,,
30-Jun-95,1995-06-30,22.78,8.35,,
31-May-95,1995-05-31,22.78,8.36,,
30-Apr-95,1995-04-30,22.85,8.36,,
31-Mar-95,1995-03-31,22.39,8.36,,
28-Feb-95,1995-02-28,22.0,8.33,,
31-Jan-95,1995-01-31,22.2,8.21,,
