Unnamed: 0.1,Unnamed: 0,Country,"GDP per capita, PPP (constant 2017 international $)",Code,Primary energy consumption per capita (kWh/person),Region
91,210,Sierra Leone,1705.191452,SLE,528.336731,Sub-Saharan Africa
92,211,El Salvador,8776.119516,SLV,7069.96582,Latin America & Carribean
93,213,Somalia,1186.450871,SOM,235.5066681,Sub-Saharan Africa
94,214,Serbia,18306.78524,SRB,22784.41602,Europe & Central Asia
95,219,Sao Tome and Principe,4005.341623,STP,3411.550781,Sub-Saharan Africa
96,220,Suriname,19036.74504,SUR,24136.25586,Latin America & Carribean
97,224,Eswatini,8652.922717,SWZ,5678.396484,Sub-Saharan Africa
98,228,Turks and Caicos Islands,29251.07773,TCA,25774.60742,Latin America & Carribean
99,229,Chad,1579.626101,TCD,461.7154236,Sub-Saharan Africa
100,232,Togo,2121.899918,TGO,1205.38501,Sub-Saharan Africa
101,233,Thailand,18438.64738,THA,21887.79492,East Asia & Pacific
102,234,Tajikistan,3581.409187,TJK,8101.675781,Europe & Central Asia
103,239,Tonga,6377.35552,TON,6694.15332,East Asia & Pacific
104,243,Tunisia,11420.84973,TUN,10435.09375,Middle East & North Africa
105,245,Tuvalu,4527.683995,TUV,0.0,East Asia & Pacific
106,246,Tanzania,2660.637451,TZA,977.6470337,Sub-Saharan Africa
107,247,Uganda,2182.899761,UGA,862.4026489,Sub-Saharan Africa
108,248,Ukraine,12804.95508,UKR,21768.2168,Europe & Central Asia
109,250,Uruguay,23032.73404,URY,19607.18164,Latin America & Carribean
110,252,Uzbekistan,7348.146883,UZB,16210.30371,Europe & Central Asia
111,257,Vietnam,10134.25903,VNM,12496.14648,East Asia & Pacific
112,258,Vanuatu,3116.594618,VUT,3187.939697,East Asia & Pacific
113,260,Samoa,6627.838501,WSM,7959.014648,East Asia & Pacific
114,263,South Africa,13709.96637,ZAF,25440.29297,Sub-Saharan Africa
115,264,Zambia,3470.435511,ZMB,3398.124268,Sub-Saharan Africa
116,265,Zimbabwe,2310.634802,ZWE,3374.877197,Sub-Saharan Africa
