date,Approve,Disapprove,Don't know,Unweighted base,Base
2020-07-20,0.32,0.45,0.23,1658,1658
2020-07-27,0.35,0.45,0.19,1651,1651
2020-08-03,0.34,0.47,0.19,3326,3326
2020-08-10,0.3,0.48,0.22,1643,1643
2020-08-17,0.29,0.49,0.22,1682,1682
2020-08-24,0.3,0.49,0.22,1664,1664
2020-08-31,0.31,0.47,0.22,1657,1657
2020-09-07,0.3,0.5,0.2,1661,1661
2020-09-14,0.3,0.51,0.2,1632,1632
2020-09-21,0.27,0.52,0.21,1635,1635
2020-09-28,0.29,0.51,0.2,1633,1633
2020-10-05,0.27,0.55,0.18,1652,1652
2020-10-12,0.28,0.53,0.19,1678,1678
2020-10-18,0.27,0.54,0.19,1665,1665
2020-10-26,0.27,0.56,0.17,1681,1681
2020-11-02,0.26,0.56,0.18,1683,1683
2020-11-09,0.28,0.53,0.19,1661,1661
2020-11-15,0.28,0.49,0.23,1660,1660
2020-11-23,0.27,0.52,0.21,1645,1645
2020-11-30,0.28,0.52,0.2,1650,1650
2020-12-07,0.27,0.53,0.2,1656,1656
2020-12-14,0.28,0.5,0.22,1674,1674
2020-12-20,0.27,0.53,0.21,1633,1633
2020-12-28,0.31,0.48,0.21,1683,1683
2021-01-04,0.32,0.49,0.19,1693,1693
2021-01-11,0.31,0.5,0.19,1655,1655
2021-01-18,0.29,0.52,0.19,1630,1630
2021-01-25,0.3,0.5,0.2,1637,1637
2021-02-01,0.32,0.49,0.19,1666,1666
2021-02-08,0.33,0.48,0.19,1666,1666
2021-02-15,0.3,0.49,0.21,1680,1680
2021-02-22,0.35,0.47,0.18,1633,1633
2021-03-01,0.36,0.43,0.21,1627,1627
2021-03-08,0.35,0.44,0.22,1647,1647
2021-03-15,0.37,0.44,0.19,1640,1640
2021-03-22,0.37,0.42,0.21,1639,1639
2021-03-29,0.35,0.44,0.21,1692,1692
2021-04-05,0.36,0.42,0.22,1618,1618
2021-04-12,0.38,0.4,0.22,1792,1792
2021-04-19,0.37,0.43,0.2,1637,1637
2021-04-26,0.36,0.43,0.22,1635,1635
2021-05-03,0.38,0.42,0.2,1653,1653
2021-05-10,0.4,0.39,0.21,1701,1701
2021-05-17,0.39,0.4,0.21,1610,1610
2021-05-24,0.38,0.44,0.17,1661,1661
2021-05-31,0.36,0.45,0.19,1632,1632
2021-06-07,0.37,0.43,0.2,1626,1626
2021-06-14,0.36,0.46,0.18,1791,1791
2021-06-21,0.33,0.48,0.19,1784,1784
2021-06-28,0.32,0.47,0.21,1793,1793
2021-07-05,0.32,0.49,0.19,1793,1793
2021-07-12,0.33,0.48,0.2,1774,1774
2021-07-19,0.31,0.49,0.2,1808,1808
2021-07-26,0.29,0.51,0.2,1778,1778
2021-08-02,0.31,0.49,0.21,1781,1781
2021-08-09,0.31,0.47,0.22,1781,1781
2021-08-16,0.29,0.47,0.24,1749,1749
2021-08-23,0.27,0.5,0.23,1750,1750
2021-08-29,0.27,0.5,0.23,1801,1801
2021-09-06,0.27,0.49,0.24,1785,1785
2021-09-12,0.26,0.53,0.21,1786,1786
2021-09-19,0.29,0.49,0.22,1790,1790
2021-09-26,0.26,0.54,0.19,1804,1804
2021-10-04,0.25,0.53,0.21,1797,1797
2021-10-11,0.28,0.52,0.2,1768,1768
2021-10-18,0.26,0.52,0.21,1770,1770
2021-10-25,0.25,0.54,0.21,1776,1776
2021-11-01,0.26,0.51,0.22,1802,1802
2021-11-07,0.23,0.55,0.23,1804,1804
2021-11-15,0.23,0.55,0.22,1782,1782
2021-11-22,0.22,0.56,0.22,1748,1748
2021-11-29,0.25,0.54,0.21,1750,1750
2021-12-05,0.26,0.53,0.21,1817,1817
2021-12-13,0.2,0.63,0.17,1783,1783
2021-12-20,0.22,0.6,0.18,1770,1770
2021-12-27,0.24,0.57,0.19,1814,1814
2022-01-02,0.24,0.56,0.2,1812,1812
2022-01-10,0.23,0.56,0.2,1811,1811
2022-01-17,0.2,0.63,0.17,1785,1785
2022-01-24,0.23,0.59,0.17,1789,1789
2022-01-31,0.23,0.6,0.17,1784,1784
2022-02-06,0.18,0.63,0.18,1801,1801
2022-02-13,0.21,0.6,0.19,1802,1802
2022-02-21,0.21,0.6,0.19,1784,1784
2022-02-28,0.25,0.55,0.2,1774,1774
2022-03-07,0.24,0.55,0.21,1793,1793
2022-03-14,0.23,0.55,0.22,1785,1785
2022-03-20,0.25,0.53,0.22,1817,1817
2022-03-28,0.25,0.53,0.22,1807,1807
2022-04-04,0.21,0.59,0.2,1781,1781
2022-04-11,0.23,0.57,0.2,1779,1779
2022-04-18,0.22,0.6,0.18,1799,1799
2022-04-24,0.23,0.59,0.18,1795,1795
2022-05-02,0.21,0.62,0.17,1780,1780
2022-05-08,0.22,0.61,0.17,1781,1781
2022-05-16,0.21,0.61,0.18,1810,1810
2022-05-22,0.22,0.58,0.2,1802,1802
2022-05-29,0.22,0.6,0.18,1804,1804
2022-06-06,0.21,0.6,0.19,1804,1804
2022-06-13,0.22,0.6,0.18,1761,1761
2022-06-19,0.21,0.59,0.2,1820,1820
2022-06-27,0.22,0.6,0.18,1801,1801
2022-07-03,0.19,0.62,0.18,1807,1807
2022-07-11,0.2,0.64,0.16,1804,1804
2022-07-17,0.2,0.62,0.18,1805,1805
2022-07-25,0.21,0.61,0.18,1778,1778
2022-07-31,0.21,0.6,0.19,1751,1751
2022-08-08,0.18,0.62,0.2,1759,1759
2022-08-15,0.18,0.64,0.17,1774,1774
2022-08-22,0.18,0.65,0.18,1779,1779
2022-08-29,0.17,0.65,0.18,1799,1799
2022-09-05,0.18,0.64,0.18,1788,1788
2022-09-12,0.21,0.58,0.2,1799,1799
2022-09-25,0.17,0.62,0.21,1801,1801
2022-10-02,0.11,0.72,0.17,1791,1791
