count,district,municipaly,week,year
12,Innsbruck-Stadt,Innsbruck,18,2018
15,Innsbruck-Stadt,Innsbruck,19,2018
9,Innsbruck-Stadt,Innsbruck,20,2018
4,Innsbruck-Stadt,Innsbruck,21,2018
5,Innsbruck-Stadt,Innsbruck,22,2018
7,Innsbruck-Stadt,Innsbruck,23,2018
7,Innsbruck-Stadt,Innsbruck,24,2018
12,Innsbruck-Stadt,Innsbruck,25,2018
9,Innsbruck-Stadt,Innsbruck,26,2018
10,Innsbruck-Stadt,Innsbruck,27,2018
8,Innsbruck-Stadt,Innsbruck,28,2018
12,Innsbruck-Stadt,Innsbruck,29,2018
8,Innsbruck-Stadt,Innsbruck,30,2018
14,Innsbruck-Stadt,Innsbruck,31,2018
21,Innsbruck-Stadt,Innsbruck,32,2018
13,Innsbruck-Stadt,Innsbruck,33,2018
6,Innsbruck-Stadt,Innsbruck,34,2018
9,Innsbruck-Stadt,Innsbruck,35,2018
9,Innsbruck-Stadt,Innsbruck,36,2018
13,Innsbruck-Stadt,Innsbruck,37,2018
3,Innsbruck-Stadt,Innsbruck,38,2018
13,Innsbruck-Stadt,Innsbruck,39,2018
15,Innsbruck-Stadt,Innsbruck,40,2018
13,Innsbruck-Stadt,Innsbruck,41,2018
23,Innsbruck-Stadt,Innsbruck,42,2018
5,Innsbruck-Stadt,Innsbruck,43,2018
7,Innsbruck-Stadt,Innsbruck,44,2018
5,Innsbruck-Stadt,Innsbruck,45,2018
4,Innsbruck-Stadt,Innsbruck,46,2018
11,Innsbruck-Stadt,Innsbruck,47,2018
7,Innsbruck-Stadt,Innsbruck,48,2018
14,Innsbruck-Stadt,Innsbruck,49,2018
14,Innsbruck-Stadt,Innsbruck,50,2018
21,Innsbruck-Stadt,Innsbruck,51,2018
26,Innsbruck-Stadt,Innsbruck,52,2018
10,Innsbruck-Stadt,Innsbruck,1,2019
15,Innsbruck-Stadt,Innsbruck,2,2019
11,Innsbruck-Stadt,Innsbruck,3,2019
11,Innsbruck-Stadt,Innsbruck,4,2019
11,Innsbruck-Stadt,Innsbruck,5,2019
8,Innsbruck-Stadt,Innsbruck,6,2019
14,Innsbruck-Stadt,Innsbruck,7,2019
10,Innsbruck-Stadt,Innsbruck,8,2019
11,Innsbruck-Stadt,Innsbruck,9,2019
13,Innsbruck-Stadt,Innsbruck,10,2019
19,Innsbruck-Stadt,Innsbruck,11,2019
6,Innsbruck-Stadt,Innsbruck,12,2019
17,Innsbruck-Stadt,Innsbruck,13,2019
12,Innsbruck-Stadt,Innsbruck,14,2019
14,Innsbruck-Stadt,Innsbruck,15,2019
16,Innsbruck-Stadt,Innsbruck,16,2019
12,Innsbruck-Stadt,Innsbruck,17,2019
14,Innsbruck-Stadt,Innsbruck,18,2019
13,Innsbruck-Stadt,Innsbruck,19,2019
23,Innsbruck-Stadt,Innsbruck,20,2019
10,Innsbruck-Stadt,Innsbruck,21,2019
23,Innsbruck-Stadt,Innsbruck,22,2019
12,Innsbruck-Stadt,Innsbruck,23,2019
20,Innsbruck-Stadt,Innsbruck,24,2019
22,Innsbruck-Stadt,Innsbruck,25,2019
19,Innsbruck-Stadt,Innsbruck,26,2019
13,Innsbruck-Stadt,Innsbruck,27,2019
17,Innsbruck-Stadt,Innsbruck,28,2019
11,Innsbruck-Stadt,Innsbruck,29,2019
15,Innsbruck-Stadt,Innsbruck,30,2019
16,Innsbruck-Stadt,Innsbruck,31,2019
16,Innsbruck-Stadt,Innsbruck,32,2019
9,Innsbruck-Stadt,Innsbruck,33,2019
17,Innsbruck-Stadt,Innsbruck,34,2019
13,Innsbruck-Stadt,Innsbruck,35,2019
6,Innsbruck-Stadt,Innsbruck,36,2019
10,Innsbruck-Stadt,Innsbruck,37,2019
14,Innsbruck-Stadt,Innsbruck,38,2019
9,Innsbruck-Stadt,Innsbruck,39,2019
22,Innsbruck-Stadt,Innsbruck,40,2019
26,Innsbruck-Stadt,Innsbruck,41,2019
14,Innsbruck-Stadt,Innsbruck,42,2019
20,Innsbruck-Stadt,Innsbruck,43,2019
11,Innsbruck-Stadt,Innsbruck,44,2019
14,Innsbruck-Stadt,Innsbruck,45,2019
23,Innsbruck-Stadt,Innsbruck,46,2019
13,Innsbruck-Stadt,Innsbruck,47,2019
19,Innsbruck-Stadt,Innsbruck,48,2019
19,Innsbruck-Stadt,Innsbruck,49,2019
16,Innsbruck-Stadt,Innsbruck,50,2019
19,Innsbruck-Stadt,Innsbruck,51,2019
26,Innsbruck-Stadt,Innsbruck,52,2019
20,Innsbruck-Stadt,Innsbruck,1,2020
23,Innsbruck-Stadt,Innsbruck,2,2020
30,Innsbruck-Stadt,Innsbruck,3,2020
27,Innsbruck-Stadt,Innsbruck,4,2020
11,Innsbruck-Stadt,Innsbruck,5,2020
26,Innsbruck-Stadt,Innsbruck,6,2020
18,Innsbruck-Stadt,Innsbruck,7,2020
23,Innsbruck-Stadt,Innsbruck,8,2020
14,Innsbruck-Stadt,Innsbruck,9,2020
18,Innsbruck-Stadt,Innsbruck,10,2020
17,Innsbruck-Stadt,Innsbruck,11,2020
16,Innsbruck-Stadt,Innsbruck,12,2020
7,Innsbruck-Stadt,Innsbruck,13,2020
12,Innsbruck-Stadt,Innsbruck,14,2020
11,Innsbruck-Stadt,Innsbruck,15,2020
19,Innsbruck-Stadt,Innsbruck,16,2020
13,Innsbruck-Stadt,Innsbruck,17,2020
11,Innsbruck-Stadt,Innsbruck,18,2020
12,Innsbruck-Stadt,Innsbruck,19,2020
5,Innsbruck-Stadt,Innsbruck,20,2020
11,Innsbruck-Stadt,Innsbruck,21,2020
8,Innsbruck-Stadt,Innsbruck,22,2020
11,Innsbruck-Stadt,Innsbruck,23,2020
17,Innsbruck-Stadt,Innsbruck,24,2020
8,Innsbruck-Stadt,Innsbruck,25,2020
14,Innsbruck-Stadt,Innsbruck,26,2020
15,Innsbruck-Stadt,Innsbruck,27,2020
8,Innsbruck-Stadt,Innsbruck,28,2020
9,Innsbruck-Stadt,Innsbruck,29,2020
12,Innsbruck-Stadt,Innsbruck,30,2020
15,Innsbruck-Stadt,Innsbruck,31,2020
15,Innsbruck-Stadt,Innsbruck,32,2020
16,Innsbruck-Stadt,Innsbruck,33,2020
11,Innsbruck-Stadt,Innsbruck,34,2020
7,Innsbruck-Stadt,Innsbruck,35,2020
20,Innsbruck-Stadt,Innsbruck,36,2020
13,Innsbruck-Stadt,Innsbruck,37,2020
8,Innsbruck-Stadt,Innsbruck,38,2020
11,Innsbruck-Stadt,Innsbruck,39,2020
18,Innsbruck-Stadt,Innsbruck,40,2020
9,Innsbruck-Stadt,Innsbruck,41,2020
16,Innsbruck-Stadt,Innsbruck,42,2020
13,Innsbruck-Stadt,Innsbruck,43,2020
23,Innsbruck-Stadt,Innsbruck,44,2020
15,Innsbruck-Stadt,Innsbruck,45,2020
18,Innsbruck-Stadt,Innsbruck,46,2020
16,Innsbruck-Stadt,Innsbruck,47,2020
7,Innsbruck-Stadt,Innsbruck,48,2020
4,Innsbruck-Stadt,Innsbruck,49,2020
9,Innsbruck-Stadt,Innsbruck,50,2020
11,Innsbruck-Stadt,Innsbruck,51,2020
1,Innsbruck-Stadt,Innsbruck,52,2020
