Date,Value,Price Index
1998 FEB,1.6,CPI
1998 MAR,1.7,CPI
1998 APR,1.8,CPI
1998 MAY,2.0,CPI
1998 JUN,1.7,CPI
1998 JUL,1.4,CPI
1998 AUG,1.3,CPI
1998 SEP,1.4,CPI
1998 OCT,1.4,CPI
1998 NOV,1.4,CPI
1998 DEC,1.6,CPI
1999 JAN,1.6,CPI
1999 FEB,1.4,CPI
1999 MAR,1.7,CPI
1999 APR,1.5,CPI
1999 MAY,1.3,CPI
1999 JUN,1.3,CPI
1999 JUL,1.3,CPI
1999 AUG,1.2,CPI
1999 SEP,1.2,CPI
1999 OCT,1.1,CPI
1999 NOV,1.2,CPI
1999 DEC,1.1,CPI
2000 JAN,0.8,CPI
2000 FEB,0.9,CPI
2000 MAR,0.6,CPI
2000 APR,0.6,CPI
2000 MAY,0.5,CPI
2000 JUN,0.8,CPI
2000 JUL,0.9,CPI
2000 AUG,0.6,CPI
2000 SEP,1.0,CPI
2000 OCT,1.0,CPI
2000 NOV,1.1,CPI
2000 DEC,0.8,CPI
2001 JAN,0.9,CPI
2001 FEB,0.8,CPI
2001 MAR,0.9,CPI
2001 APR,1.2,CPI
2001 MAY,1.7,CPI
2001 JUN,1.7,CPI
2001 JUL,1.4,CPI
2001 AUG,1.8,CPI
2001 SEP,1.3,CPI
2001 OCT,1.2,CPI
2001 NOV,0.8,CPI
2001 DEC,1.1,CPI
2002 JAN,1.6,CPI
2002 FEB,1.5,CPI
2002 MAR,1.5,CPI
2002 APR,1.4,CPI
2002 MAY,0.8,CPI
2002 JUN,0.6,CPI
2002 JUL,1.1,CPI
2002 AUG,1.0,CPI
2002 SEP,1.0,CPI
2002 OCT,1.4,CPI
2002 NOV,1.5,CPI
2002 DEC,1.7,CPI
2003 JAN,1.3,CPI
2003 FEB,1.6,CPI
2003 MAR,1.5,CPI
2003 APR,1.4,CPI
2003 MAY,1.3,CPI
2003 JUN,1.1,CPI
2003 JUL,1.3,CPI
2003 AUG,1.4,CPI
2003 SEP,1.4,CPI
2003 OCT,1.4,CPI
2003 NOV,1.3,CPI
2003 DEC,1.3,CPI
2004 JAN,1.4,CPI
2004 FEB,1.3,CPI
2004 MAR,1.1,CPI
2004 APR,1.1,CPI
2004 MAY,1.5,CPI
2004 JUN,1.6,CPI
2004 JUL,1.4,CPI
2004 AUG,1.3,CPI
2004 SEP,1.1,CPI
2004 OCT,1.2,CPI
2004 NOV,1.5,CPI
2004 DEC,1.7,CPI
2005 JAN,1.6,CPI
2005 FEB,1.7,CPI
2005 MAR,1.9,CPI
2005 APR,1.9,CPI
2005 MAY,1.9,CPI
2005 JUN,2.0,CPI
2005 JUL,2.3,CPI
2005 AUG,2.4,CPI
2005 SEP,2.5,CPI
2005 OCT,2.3,CPI
2005 NOV,2.1,CPI
2005 DEC,1.9,CPI
2006 JAN,1.9,CPI
2006 FEB,2.0,CPI
2006 MAR,1.8,CPI
2006 APR,2.0,CPI
2006 MAY,2.2,CPI
2006 JUN,2.5,CPI
2006 JUL,2.4,CPI
2006 AUG,2.5,CPI
2006 SEP,2.4,CPI
2006 OCT,2.4,CPI
2006 NOV,2.7,CPI
2006 DEC,3.0,CPI
2007 JAN,2.7,CPI
2007 FEB,2.8,CPI
2007 MAR,3.1,CPI
2007 APR,2.8,CPI
2007 MAY,2.5,CPI
2007 JUN,2.4,CPI
2007 JUL,1.9,CPI
2007 AUG,1.8,CPI
2007 SEP,1.8,CPI
2007 OCT,2.1,CPI
2007 NOV,2.1,CPI
2007 DEC,2.1,CPI
2008 JAN,2.2,CPI
2008 FEB,2.5,CPI
2008 MAR,2.5,CPI
2008 APR,3.0,CPI
2008 MAY,3.3,CPI
2008 JUN,3.8,CPI
2008 JUL,4.4,CPI
2008 AUG,4.7,CPI
2008 SEP,5.2,CPI
2008 OCT,4.5,CPI
2008 NOV,4.1,CPI
2008 DEC,3.1,CPI
2009 JAN,3.0,CPI
2009 FEB,3.2,CPI
2009 MAR,2.9,CPI
2009 APR,2.3,CPI
2009 MAY,2.2,CPI
2009 JUN,1.8,CPI
2009 JUL,1.8,CPI
2009 AUG,1.6,CPI
2009 SEP,1.1,CPI
2009 OCT,1.5,CPI
2009 NOV,1.9,CPI
2009 DEC,2.9,CPI
2010 JAN,3.5,CPI
2010 FEB,3.0,CPI
2010 MAR,3.4,CPI
2010 APR,3.7,CPI
2010 MAY,3.4,CPI
2010 JUN,3.2,CPI
2010 JUL,3.1,CPI
2010 AUG,3.1,CPI
2010 SEP,3.1,CPI
2010 OCT,3.2,CPI
2010 NOV,3.3,CPI
2010 DEC,3.7,CPI
2011 JAN,4.0,CPI
2011 FEB,4.4,CPI
2011 MAR,4.0,CPI
2011 APR,4.5,CPI
2011 MAY,4.5,CPI
2011 JUN,4.2,CPI
2011 JUL,4.4,CPI
2011 AUG,4.5,CPI
2011 SEP,5.2,CPI
2011 OCT,5.0,CPI
2011 NOV,4.8,CPI
2011 DEC,4.2,CPI
2012 JAN,3.6,CPI
2012 FEB,3.4,CPI
2012 MAR,3.5,CPI
2012 APR,3.0,CPI
2012 MAY,2.8,CPI
2012 JUN,2.4,CPI
2012 JUL,2.6,CPI
2012 AUG,2.5,CPI
2012 SEP,2.2,CPI
2012 OCT,2.7,CPI
2012 NOV,2.7,CPI
2012 DEC,2.7,CPI
2013 JAN,2.7,CPI
2013 FEB,2.8,CPI
2013 MAR,2.8,CPI
2013 APR,2.4,CPI
2013 MAY,2.7,CPI
2013 JUN,2.9,CPI
2013 JUL,2.8,CPI
2013 AUG,2.7,CPI
2013 SEP,2.7,CPI
2013 OCT,2.2,CPI
2013 NOV,2.1,CPI
2013 DEC,2.0,CPI
2014 JAN,1.9,CPI
2014 FEB,1.7,CPI
2014 MAR,1.6,CPI
2014 APR,1.8,CPI
2014 MAY,1.5,CPI
2014 JUN,1.9,CPI
2014 JUL,1.6,CPI
2014 AUG,1.5,CPI
2014 SEP,1.2,CPI
2014 OCT,1.3,CPI
2014 NOV,1.0,CPI
2014 DEC,0.5,CPI
2015 JAN,0.3,CPI
2015 FEB,0.0,CPI
2015 MAR,0.0,CPI
2015 APR,-0.1,CPI
2015 MAY,0.1,CPI
2015 JUN,0.0,CPI
2015 JUL,0.1,CPI
2015 AUG,0.0,CPI
2015 SEP,-0.1,CPI
2015 OCT,-0.1,CPI
2015 NOV,0.1,CPI
2015 DEC,0.2,CPI
2016 JAN,0.3,CPI
2016 FEB,0.3,CPI
2016 MAR,0.5,CPI
2016 APR,0.3,CPI
2016 MAY,0.3,CPI
2016 JUN,0.5,CPI
2016 JUL,0.6,CPI
2016 AUG,0.6,CPI
2016 SEP,1.0,CPI
2016 OCT,0.9,CPI
2016 NOV,1.2,CPI
2016 DEC,1.6,CPI
2017 JAN,1.8,CPI
2017 FEB,2.3,CPI
2017 MAR,2.3,CPI
2017 APR,2.7,CPI
2017 MAY,2.9,CPI
2017 JUN,2.6,CPI
2017 JUL,2.6,CPI
2017 AUG,2.9,CPI
2017 SEP,3.0,CPI
2017 OCT,3.0,CPI
2017 NOV,3.1,CPI
2017 DEC,3.0,CPI
2018 JAN,3.0,CPI
2018 FEB,2.7,CPI
2018 MAR,2.5,CPI
2018 APR,2.4,CPI
2018 MAY,2.4,CPI
2018 JUN,2.4,CPI
2018 JUL,2.5,CPI
2018 AUG,2.7,CPI
2018 SEP,2.4,CPI
2018 OCT,2.4,CPI
2018 NOV,2.3,CPI
2018 DEC,2.1,CPI
2019 JAN,1.8,CPI
2019 FEB,1.9,CPI
2019 MAR,1.9,CPI
2019 APR,2.1,CPI
2019 MAY,2.0,CPI
2019 JUN,2.0,CPI
2019 JUL,2.1,CPI
2019 AUG,1.7,CPI
2019 SEP,1.7,CPI
2019 OCT,1.5,CPI
2019 NOV,1.5,CPI
2019 DEC,1.3,CPI
2020 JAN,1.8,CPI
2020 FEB,1.7,CPI
2020 MAR,1.5,CPI
2020 APR,0.8,CPI
2020 MAY,0.5,CPI
2020 JUN,0.6,CPI
2020 JUL,1.0,CPI
2020 AUG,0.2,CPI
2020 SEP,0.5,CPI
2020 OCT,0.7,CPI
2020 NOV,0.3,CPI
2020 DEC,0.6,CPI
2021 JAN,0.7,CPI
2021 FEB,0.4,CPI
2021 MAR,0.7,CPI
2021 APR,1.5,CPI
2021 MAY,2.1,CPI
2021 JUN,2.5,CPI
2021 JUL,2.0,CPI
2021 AUG,3.2,CPI
2021 SEP,3.1,CPI
2021 OCT,4.2,CPI
2021 NOV,5.1,CPI
2021 DEC,5.4,CPI
2022 JAN,5.5,CPI
2022 FEB,6.2,CPI
2022 MAR,7.0,CPI
2022 APR,9.0,CPI
2022 MAY,9.1,CPI
2022 JUN,9.4,CPI
2022 JUL,10.1,CPI
2022 AUG,9.9,CPI
1989 JAN,7.5,RPI
1989 FEB,7.8,RPI
1989 MAR,7.9,RPI
1989 APR,8.0,RPI
1989 MAY,8.3,RPI
1989 JUN,8.3,RPI
1989 JUL,8.2,RPI
1989 AUG,7.3,RPI
1989 SEP,7.6,RPI
1989 OCT,7.3,RPI
1989 NOV,7.7,RPI
1989 DEC,7.7,RPI
1990 JAN,7.7,RPI
1990 FEB,7.5,RPI
1990 MAR,8.1,RPI
1990 APR,9.4,RPI
1990 MAY,9.7,RPI
1990 JUN,9.8,RPI
1990 JUL,9.8,RPI
1990 AUG,10.6,RPI
1990 SEP,10.9,RPI
1990 OCT,10.9,RPI
1990 NOV,9.7,RPI
1990 DEC,9.3,RPI
1991 JAN,9.0,RPI
1991 FEB,8.9,RPI
1991 MAR,8.2,RPI
1991 APR,6.4,RPI
1991 MAY,5.8,RPI
1991 JUN,5.8,RPI
1991 JUL,5.5,RPI
1991 AUG,4.7,RPI
1991 SEP,4.1,RPI
1991 OCT,3.7,RPI
1991 NOV,4.3,RPI
1991 DEC,4.5,RPI
1992 JAN,4.1,RPI
1992 FEB,4.1,RPI
1992 MAR,4.0,RPI
1992 APR,4.3,RPI
1992 MAY,4.3,RPI
1992 JUN,3.9,RPI
1992 JUL,3.7,RPI
1992 AUG,3.6,RPI
1992 SEP,3.6,RPI
1992 OCT,3.6,RPI
1992 NOV,3.0,RPI
1992 DEC,2.6,RPI
1993 JAN,1.7,RPI
1993 FEB,1.8,RPI
1993 MAR,1.9,RPI
1993 APR,1.3,RPI
1993 MAY,1.3,RPI
1993 JUN,1.2,RPI
1993 JUL,1.4,RPI
1993 AUG,1.7,RPI
1993 SEP,1.8,RPI
1993 OCT,1.4,RPI
1993 NOV,1.4,RPI
1993 DEC,1.9,RPI
1994 JAN,2.5,RPI
1994 FEB,2.4,RPI
1994 MAR,2.3,RPI
1994 APR,2.6,RPI
1994 MAY,2.6,RPI
1994 JUN,2.6,RPI
1994 JUL,2.3,RPI
1994 AUG,2.4,RPI
1994 SEP,2.2,RPI
1994 OCT,2.4,RPI
1994 NOV,2.6,RPI
1994 DEC,2.9,RPI
1995 JAN,3.3,RPI
1995 FEB,3.4,RPI
1995 MAR,3.5,RPI
1995 APR,3.3,RPI
1995 MAY,3.4,RPI
1995 JUN,3.5,RPI
1995 JUL,3.5,RPI
1995 AUG,3.6,RPI
1995 SEP,3.9,RPI
1995 OCT,3.2,RPI
1995 NOV,3.1,RPI
1995 DEC,3.2,RPI
1996 JAN,2.9,RPI
1996 FEB,2.7,RPI
1996 MAR,2.7,RPI
1996 APR,2.4,RPI
1996 MAY,2.2,RPI
1996 JUN,2.1,RPI
1996 JUL,2.2,RPI
1996 AUG,2.1,RPI
1996 SEP,2.1,RPI
1996 OCT,2.7,RPI
1996 NOV,2.7,RPI
1996 DEC,2.5,RPI
1997 JAN,2.8,RPI
1997 FEB,2.7,RPI
1997 MAR,2.6,RPI
1997 APR,2.4,RPI
1997 MAY,2.6,RPI
1997 JUN,2.9,RPI
1997 JUL,3.3,RPI
1997 AUG,3.5,RPI
1997 SEP,3.6,RPI
1997 OCT,3.7,RPI
1997 NOV,3.7,RPI
1997 DEC,3.6,RPI
1998 JAN,3.3,RPI
1998 FEB,3.4,RPI
1998 MAR,3.5,RPI
1998 APR,4.0,RPI
1998 MAY,4.2,RPI
1998 JUN,3.7,RPI
1998 JUL,3.5,RPI
1998 AUG,3.3,RPI
1998 SEP,3.2,RPI
1998 OCT,3.1,RPI
1998 NOV,3.0,RPI
1998 DEC,2.8,RPI
1999 JAN,2.4,RPI
1999 FEB,2.1,RPI
1999 MAR,2.1,RPI
1999 APR,1.6,RPI
1999 MAY,1.3,RPI
1999 JUN,1.3,RPI
1999 JUL,1.3,RPI
1999 AUG,1.1,RPI
1999 SEP,1.1,RPI
1999 OCT,1.2,RPI
1999 NOV,1.4,RPI
1999 DEC,1.8,RPI
2000 JAN,2.0,RPI
2000 FEB,2.3,RPI
2000 MAR,2.6,RPI
2000 APR,3.0,RPI
2000 MAY,3.1,RPI
2000 JUN,3.3,RPI
2000 JUL,3.3,RPI
2000 AUG,3.0,RPI
2000 SEP,3.3,RPI
2000 OCT,3.1,RPI
2000 NOV,3.2,RPI
2000 DEC,2.9,RPI
2001 JAN,2.7,RPI
2001 FEB,2.7,RPI
2001 MAR,2.3,RPI
2001 APR,1.8,RPI
2001 MAY,2.1,RPI
2001 JUN,1.9,RPI
2001 JUL,1.6,RPI
2001 AUG,2.1,RPI
2001 SEP,1.7,RPI
2001 OCT,1.6,RPI
2001 NOV,0.9,RPI
2001 DEC,0.7,RPI
2002 JAN,1.3,RPI
2002 FEB,1.0,RPI
2002 MAR,1.3,RPI
2002 APR,1.5,RPI
2002 MAY,1.1,RPI
2002 JUN,1.0,RPI
2002 JUL,1.5,RPI
2002 AUG,1.4,RPI
2002 SEP,1.7,RPI
2002 OCT,2.1,RPI
2002 NOV,2.6,RPI
2002 DEC,2.9,RPI
2003 JAN,2.9,RPI
2003 FEB,3.2,RPI
2003 MAR,3.1,RPI
2003 APR,3.1,RPI
2003 MAY,3.0,RPI
2003 JUN,2.9,RPI
2003 JUL,3.1,RPI
2003 AUG,2.9,RPI
2003 SEP,2.8,RPI
2003 OCT,2.6,RPI
2003 NOV,2.5,RPI
2003 DEC,2.8,RPI
2004 JAN,2.6,RPI
2004 FEB,2.5,RPI
2004 MAR,2.6,RPI
2004 APR,2.5,RPI
2004 MAY,2.8,RPI
2004 JUN,3.0,RPI
2004 JUL,3.0,RPI
2004 AUG,3.2,RPI
2004 SEP,3.1,RPI
2004 OCT,3.3,RPI
2004 NOV,3.4,RPI
2004 DEC,3.5,RPI
2005 JAN,3.2,RPI
2005 FEB,3.2,RPI
2005 MAR,3.2,RPI
2005 APR,3.2,RPI
2005 MAY,2.9,RPI
2005 JUN,2.9,RPI
2005 JUL,2.9,RPI
2005 AUG,2.8,RPI
2005 SEP,2.7,RPI
2005 OCT,2.5,RPI
2005 NOV,2.4,RPI
2005 DEC,2.2,RPI
2006 JAN,2.4,RPI
2006 FEB,2.4,RPI
2006 MAR,2.4,RPI
2006 APR,2.6,RPI
2006 MAY,3.0,RPI
2006 JUN,3.3,RPI
2006 JUL,3.3,RPI
2006 AUG,3.4,RPI
2006 SEP,3.6,RPI
2006 OCT,3.7,RPI
2006 NOV,3.9,RPI
2006 DEC,4.4,RPI
2007 JAN,4.2,RPI
2007 FEB,4.6,RPI
2007 MAR,4.8,RPI
2007 APR,4.5,RPI
2007 MAY,4.3,RPI
2007 JUN,4.4,RPI
2007 JUL,3.8,RPI
2007 AUG,4.1,RPI
2007 SEP,3.9,RPI
2007 OCT,4.2,RPI
2007 NOV,4.3,RPI
2007 DEC,4.0,RPI
2008 JAN,4.1,RPI
2008 FEB,4.1,RPI
2008 MAR,3.8,RPI
2008 APR,4.2,RPI
2008 MAY,4.3,RPI
2008 JUN,4.6,RPI
2008 JUL,5.0,RPI
2008 AUG,4.8,RPI
2008 SEP,5.0,RPI
2008 OCT,4.2,RPI
2008 NOV,3.0,RPI
2008 DEC,0.9,RPI
2009 JAN,0.1,RPI
2009 FEB,0.0,RPI
2009 MAR,-0.4,RPI
2009 APR,-1.2,RPI
2009 MAY,-1.1,RPI
2009 JUN,-1.6,RPI
2009 JUL,-1.4,RPI
2009 AUG,-1.3,RPI
2009 SEP,-1.4,RPI
2009 OCT,-0.8,RPI
2009 NOV,0.3,RPI
2009 DEC,2.4,RPI
2010 JAN,3.7,RPI
2010 FEB,3.7,RPI
2010 MAR,4.4,RPI
2010 APR,5.3,RPI
2010 MAY,5.1,RPI
2010 JUN,5.0,RPI
2010 JUL,4.8,RPI
2010 AUG,4.7,RPI
2010 SEP,4.6,RPI
2010 OCT,4.5,RPI
2010 NOV,4.7,RPI
2010 DEC,4.8,RPI
2011 JAN,5.1,RPI
2011 FEB,5.5,RPI
2011 MAR,5.3,RPI
2011 APR,5.2,RPI
2011 MAY,5.2,RPI
2011 JUN,5.0,RPI
2011 JUL,5.0,RPI
2011 AUG,5.2,RPI
2011 SEP,5.6,RPI
2011 OCT,5.4,RPI
2011 NOV,5.2,RPI
2011 DEC,4.8,RPI
2012 JAN,3.9,RPI
2012 FEB,3.7,RPI
2012 MAR,3.6,RPI
2012 APR,3.5,RPI
2012 MAY,3.1,RPI
2012 JUN,2.8,RPI
2012 JUL,3.2,RPI
2012 AUG,2.9,RPI
2012 SEP,2.6,RPI
2012 OCT,3.2,RPI
2012 NOV,3.0,RPI
2012 DEC,3.1,RPI
2013 JAN,3.3,RPI
2013 FEB,3.2,RPI
2013 MAR,3.3,RPI
2013 APR,2.9,RPI
2013 MAY,3.1,RPI
2013 JUN,3.3,RPI
2013 JUL,3.1,RPI
2013 AUG,3.3,RPI
2013 SEP,3.2,RPI
2013 OCT,2.6,RPI
2013 NOV,2.6,RPI
2013 DEC,2.7,RPI
2014 JAN,2.8,RPI
2014 FEB,2.7,RPI
2014 MAR,2.5,RPI
2014 APR,2.5,RPI
2014 MAY,2.4,RPI
2014 JUN,2.6,RPI
2014 JUL,2.5,RPI
2014 AUG,2.4,RPI
2014 SEP,2.3,RPI
2014 OCT,2.3,RPI
2014 NOV,2.0,RPI
2014 DEC,1.6,RPI
2015 JAN,1.1,RPI
2015 FEB,1.0,RPI
2015 MAR,0.9,RPI
2015 APR,0.9,RPI
2015 MAY,1.0,RPI
2015 JUN,1.0,RPI
2015 JUL,1.0,RPI
2015 AUG,1.1,RPI
2015 SEP,0.8,RPI
2015 OCT,0.7,RPI
2015 NOV,1.1,RPI
2015 DEC,1.2,RPI
2016 JAN,1.3,RPI
2016 FEB,1.3,RPI
2016 MAR,1.6,RPI
2016 APR,1.3,RPI
2016 MAY,1.4,RPI
2016 JUN,1.6,RPI
2016 JUL,1.9,RPI
2016 AUG,1.8,RPI
2016 SEP,2.0,RPI
2016 OCT,2.0,RPI
2016 NOV,2.2,RPI
2016 DEC,2.5,RPI
2017 JAN,2.6,RPI
2017 FEB,3.2,RPI
2017 MAR,3.1,RPI
2017 APR,3.5,RPI
2017 MAY,3.7,RPI
2017 JUN,3.5,RPI
2017 JUL,3.6,RPI
2017 AUG,3.9,RPI
2017 SEP,3.9,RPI
2017 OCT,4.0,RPI
2017 NOV,3.9,RPI
2017 DEC,4.1,RPI
2018 JAN,4.0,RPI
2018 FEB,3.6,RPI
2018 MAR,3.3,RPI
2018 APR,3.4,RPI
2018 MAY,3.3,RPI
2018 JUN,3.4,RPI
2018 JUL,3.2,RPI
2018 AUG,3.5,RPI
2018 SEP,3.3,RPI
2018 OCT,3.3,RPI
2018 NOV,3.2,RPI
2018 DEC,2.7,RPI
2019 JAN,2.5,RPI
2019 FEB,2.5,RPI
2019 MAR,2.4,RPI
2019 APR,3.0,RPI
2019 MAY,3.0,RPI
2019 JUN,2.9,RPI
2019 JUL,2.8,RPI
2019 AUG,2.6,RPI
2019 SEP,2.4,RPI
2019 OCT,2.1,RPI
2019 NOV,2.2,RPI
2019 DEC,2.2,RPI
2020 JAN,2.7,RPI
2020 FEB,2.5,RPI
2020 MAR,2.6,RPI
2020 APR,1.5,RPI
2020 MAY,1.0,RPI
2020 JUN,1.1,RPI
2020 JUL,1.6,RPI
2020 AUG,0.5,RPI
2020 SEP,1.1,RPI
2020 OCT,1.3,RPI
2020 NOV,0.9,RPI
2020 DEC,1.2,RPI
2021 JAN,1.4,RPI
2021 FEB,1.4,RPI
2021 MAR,1.5,RPI
2021 APR,2.9,RPI
2021 MAY,3.3,RPI
2021 JUN,3.9,RPI
2021 JUL,3.8,RPI
2021 AUG,4.8,RPI
2021 SEP,4.9,RPI
2021 OCT,6.0,RPI
2021 NOV,7.1,RPI
2021 DEC,7.5,RPI
2022 JAN,7.8,RPI
2022 FEB,8.2,RPI
2022 MAR,9.0,RPI
2022 APR,11.1,RPI
2022 MAY,11.7,RPI
2022 JUN,11.8,RPI
2022 JUL,12.3,RPI
2022 AUG,12.3,RPI
