Measure,Age,1,2,3,4,5,6,7,8,9,10,11-20,21-50,51-250,251-500,500+
JobCreationPerFirm,21-50,0.0,0.034683729,0.118011009,0.178031785,0.234395433,0.280574562,0.340350607,0.380965624,0.431153111,0.504915182,0.747566399,2.47236619,12.5655753,57.3513121,663.3939233
JobDestructionPerFirm,1,0.255504799,1.007699457,1.26254913,1.510445108,1.521277641,1.752073613,2.580383053,1.37524818,1.928547125,2.737632833,4.718293343,7.015221481,8.729792148,28.85654008,17.625
JobDestructionPerFirm,2,0.167674282,0.300654265,0.457325745,0.670644342,0.77208643,0.768850632,0.747136629,0.946699678,0.856498537,1.340156027,1.428289662,3.188550797,7.9537898,19.15776294,55.43873979
JobDestructionPerFirm,3,0.135087806,0.144376094,0.228013634,0.298876502,0.320219703,0.374714844,0.419743604,0.449681729,0.537321448,0.656429862,0.806115087,1.538050576,5.872869917,16.67638191,40.6975945
JobDestructionPerFirm,4,0.137193291,0.163090909,0.23783886,0.292636792,0.353499118,0.475351088,0.46849213,0.522315736,0.576379927,0.525055009,0.722834935,1.821637666,5.64720696,27.88836329,45.16155089
JobDestructionPerFirm,5,0.134860231,0.159255773,0.255129181,0.288076774,0.33881546,0.40196848,0.434042807,0.473126579,0.495940264,0.57589102,0.852546379,1.861417976,6.098732013,19.83360791,65.44712991
JobDestructionPerFirm,6,0.136834797,0.154888682,0.253340545,0.292369648,0.320209118,0.420074109,0.450251849,0.443148116,0.477690684,0.571422404,0.756517897,1.659962919,5.751014234,23.63009404,39.28961749
JobDestructionPerFirm,7,0.1441533,0.154349857,0.237187889,0.291030702,0.332741152,0.404037141,0.442064725,0.424043031,0.456344817,0.525420646,0.738179669,1.684409969,6.530486594,19.99177519,56.08073818
JobDestructionPerFirm,8,0.152673195,0.159747296,0.245145665,0.295717414,0.332577679,0.372938767,0.402582605,0.582477257,0.506107341,0.566811805,0.696029227,1.708947861,6.053924617,22.21185372,78.42100098
JobDestructionPerFirm,9,0.146723628,0.162607077,0.250243549,0.290250492,0.334513836,0.371303123,0.399989894,0.508933357,0.450268173,0.468087297,0.71804413,1.622635738,5.984775254,22.15294804,59.78474576
JobDestructionPerFirm,10,0.145964516,0.1607831,0.23955403,0.283583366,0.349068819,0.352641823,0.416286454,0.423956846,0.451100801,0.516800428,0.750028794,1.571298198,6.614486257,19.78621812,68.83860759
JobDestructionPerFirm,11-20,1.012807829,1.049116937,1.685260094,2.009314636,2.268767281,2.635472713,2.925823233,3.1539893,3.535695625,3.810496119,5.418789282,13.67051596,62.41979522,217.316879,820.62621
JobDestructionPerFirm,21-50,0.162845386,0.146905666,0.275110665,0.275658897,0.303032676,0.351856834,0.400335196,0.46052347,0.489497932,0.607448674,0.821547227,2.328833959,10.67138416,47.96608236,425.5857105
JobCreationperJob,1,0.0,0.18472956,0.2347,0.284492063,0.29572549,0.298847826,0.317333333,0.290416667,0.333692308,0.287962963,0.290572327,0.244636872,0.183839357,0.147144578,0.080253071
JobCreationperJob,2,0.0,0.1012199,0.144249313,0.195039063,0.191549828,0.210006198,0.199939314,0.207763848,0.207666667,0.21744958,0.225486003,0.253217588,0.244118606,0.256429257,0.133160512
JobCreationperJob,3,0.0,0.074843546,0.130677912,0.173029158,0.186966507,0.205033395,0.208817232,0.218282913,0.228342629,0.237180672,0.247355125,0.288201178,0.330293852,0.306188953,0.324007752
JobCreationperJob,4,0.0,0.059773381,0.107308044,0.136545455,0.155111111,0.163015504,0.172747899,0.179226087,0.186155738,0.190560166,0.19859292,0.20957053,0.233332526,0.242465753,0.262644772
JobCreationperJob,5,0.0,0.051014554,0.089106886,0.111373449,0.124414545,0.131899396,0.136640227,0.140625731,0.145677419,0.148337449,0.157301798,0.168738685,0.194885135,0.210462651,0.191843602
JobCreationperJob,6,0.0,0.045974838,0.080532622,0.097381616,0.109913043,0.115464363,0.118337349,0.123509202,0.125514644,0.130978448,0.136931746,0.149654269,0.172163911,0.182857466,0.195669811
JobCreationperJob,7,0.0,0.050001951,0.084703077,0.099245614,0.107948598,0.111982051,0.114281356,0.119370629,0.11826484,0.123975845,0.125956558,0.1367533,0.161706929,0.144696915,0.131359076
JobCreationperJob,8,0.0,0.045461283,0.078678756,0.090428016,0.099088832,0.101825967,0.104231047,0.104542751,0.105247573,0.110773196,0.11251342,0.120897266,0.139161033,0.136311864,0.145043194
JobCreationperJob,9,0.0,0.043707921,0.076108779,0.087666667,0.093953168,0.09677381,0.100793893,0.100452381,0.09979798,0.105951872,0.106947556,0.119046015,0.132450445,0.129924409,0.129329873
JobCreationperJob,10,0.0,0.040613573,0.070132353,0.081058005,0.084852071,0.088467949,0.089359184,0.093033195,0.091957672,0.098752809,0.09716789,0.110499588,0.124044741,0.11579257,0.123481659
JobCreationperJob,11-20,0.0,0.033082125,0.056855707,0.063972607,0.066641557,0.067109188,0.067573473,0.067534768,0.065534587,0.071829035,0.069602026,0.081519371,0.09628064,0.103349843,0.103185323
JobCreationperJob,21-50,0.0,0.018221571,0.041564577,0.046121811,0.045735756,0.044410624,0.0432182,0.041730658,0.038946477,0.043503492,0.038305953,0.049487096,0.063875411,0.07134043,0.068099943
