Date,Stock,Value
08/10/2021,Costco,0.918387128
15/10/2021,Costco,0.922858137
22/10/2021,Costco,1.167931846
29/10/2021,Costco,1.25358548
05/11/2021,Costco,1.432546382
12/11/2021,Costco,1.466132331
19/11/2021,Costco,1.60396091
29/11/2021,Costco,1.778858949
06/12/2021,Costco,1.599067742
13/12/2021,Costco,1.798263982
20/12/2021,Costco,1.726447065
28/12/2021,Costco,1.859797246
04/01/2022,Costco,1.856397047
11/01/2022,Costco,1.506436896
19/01/2022,Costco,1.242141081
26/01/2022,Costco,1.186661222
02/02/2022,Costco,1.50635384
09/02/2022,Costco,1.569475358
16/02/2022,Costco,1.433016183
24/02/2022,Costco,1.376372522
03/03/2022,Costco,1.604523958
10/03/2022,Costco,1.601783111
17/03/2022,Costco,1.768473895
24/03/2022,Costco,1.812659161
31/03/2022,Costco,1.959998414
07/04/2022,Costco,2.227435069
14/04/2022,Costco,2.080760774
22/04/2022,Costco,1.925531205
29/04/2022,Costco,1.60066262
06/05/2022,Costco,1.364735769
13/05/2022,Costco,1.314073156
20/05/2022,Costco,0.641565402
27/05/2022,Costco,1.093536881
06/06/2022,Costco,1.107762127
13/06/2022,Costco,0.939552133
21/06/2022,Costco,1.029896136
28/06/2022,Costco,1.075650804
06/07/2022,Costco,1.275639643
13/07/2022,Costco,1.272062376
20/07/2022,Costco,1.538103641
27/07/2022,Costco,1.522380585
03/08/2022,Costco,1.735714684
10/08/2022,Costco,1.67579821
17/08/2022,Costco,1.813298641
24/08/2022,Costco,1.704130996
31/08/2022,Costco,1.52813081
08/09/2022,Costco,1.586631257
15/09/2022,Costco,1.373130536
22/09/2022,Costco,1.237046897
29/09/2022,Costco,1.1687968
06/10/2022,Costco,1.198046514
13/10/2022,Costco,1.077213071
20/10/2022,Costco,1.049129708
27/10/2022,Costco,1.322600151
03/11/2022,Costco,1.237029063
10/11/2022,Costco,1.461100056
17/11/2022,Costco,1.529473463
25/11/2022,Costco,1.632492419
02/12/2022,Costco,1.305819787
09/12/2022,Costco,1.209729635
16/12/2022,Costco,1.029654866
23/12/2022,Costco,1.039672792
03/01/2023,Costco,0.961448336
08/01/2018,T K Maxx,-2.070571391
16/01/2018,T K Maxx,-2.027721852
23/01/2018,T K Maxx,-1.903277161
30/01/2018,T K Maxx,-1.856325189
06/02/2018,T K Maxx,-2.055072772
13/02/2018,T K Maxx,-2.075129194
21/02/2018,T K Maxx,-2.047528231
28/02/2018,T K Maxx,-1.734433851
07/03/2018,T K Maxx,-1.736723001
14/03/2018,T K Maxx,-1.77105428
21/03/2018,T K Maxx,-1.725279862
28/03/2018,T K Maxx,-1.825524335
05/04/2018,T K Maxx,-1.630069803
12/04/2018,T K Maxx,-1.741300182
19/04/2018,T K Maxx,-1.736265394
26/04/2018,T K Maxx,-1.623661452
03/05/2018,T K Maxx,-1.69415369
10/05/2018,T K Maxx,-1.707427999
17/05/2018,T K Maxx,-1.552029297
24/05/2018,T K Maxx,-1.438451637
01/06/2018,T K Maxx,-1.361198527
08/06/2018,T K Maxx,-1.153352851
15/06/2018,T K Maxx,-1.142777972
22/06/2018,T K Maxx,-1.146915806
29/06/2018,T K Maxx,-1.142318502
09/07/2018,T K Maxx,-1.118406337
16/07/2018,T K Maxx,-1.141857169
23/07/2018,T K Maxx,-1.032877186
30/07/2018,T K Maxx,-1.069203971
06/08/2018,T K Maxx,-1.000688607
13/08/2018,T K Maxx,-0.950566929
20/08/2018,T K Maxx,-0.826685675
27/08/2018,T K Maxx,-0.55848702
04/09/2018,T K Maxx,-0.374762935
11/09/2018,T K Maxx,-0.423232683
18/09/2018,T K Maxx,-0.484166987
25/09/2018,T K Maxx,-0.426464994
02/10/2018,T K Maxx,-0.42184794
09/10/2018,T K Maxx,-0.376609756
16/10/2018,T K Maxx,-0.337371879
23/10/2018,T K Maxx,-0.583875226
30/10/2018,T K Maxx,-0.433388711
06/11/2018,T K Maxx,-0.462008855
13/11/2018,T K Maxx,-0.556640198
20/11/2018,T K Maxx,-1.180701908
28/11/2018,T K Maxx,-1.085263418
06/12/2018,T K Maxx,-1.214060214
13/12/2018,T K Maxx,-1.274288731
20/12/2018,T K Maxx,-1.587477762
28/12/2018,T K Maxx,-1.459607358
07/01/2019,T K Maxx,-1.199234963
14/01/2019,T K Maxx,-1.184408966
22/01/2019,T K Maxx,-1.002795907
29/01/2019,T K Maxx,-1.002795907
05/02/2019,T K Maxx,-0.958318661
12/02/2019,T K Maxx,-0.909209456
20/02/2019,T K Maxx,-0.82037272
27/02/2019,T K Maxx,-0.722696134
06/03/2019,T K Maxx,-0.688277656
13/03/2019,T K Maxx,-0.63711444
20/03/2019,T K Maxx,-0.631532612
27/03/2019,T K Maxx,-0.583159378
03/04/2019,T K Maxx,-0.572928076
10/04/2019,T K Maxx,-0.454787023
17/04/2019,T K Maxx,-0.397111487
25/04/2019,T K Maxx,-0.395251623
02/05/2019,T K Maxx,-0.453856532
09/05/2019,T K Maxx,-0.510601203
16/05/2019,T K Maxx,-0.596045392
23/05/2019,T K Maxx,-0.64556376
31/05/2019,T K Maxx,-0.820283658
07/06/2019,T K Maxx,-0.667988332
14/06/2019,T K Maxx,-0.535313434
21/06/2019,T K Maxx,-0.57362082
28/06/2019,T K Maxx,-0.57829228
08/07/2019,T K Maxx,-0.384886542
15/07/2019,T K Maxx,-0.242868725
22/07/2019,T K Maxx,-0.454961047
29/07/2019,T K Maxx,-0.339103927
05/08/2019,T K Maxx,-0.781976272
12/08/2019,T K Maxx,-0.686674543
19/08/2019,T K Maxx,-0.68177838
26/08/2019,T K Maxx,-0.503490046
03/09/2019,T K Maxx,-0.426544367
10/09/2019,T K Maxx,-0.177879687
17/09/2019,T K Maxx,-0.274530013
24/09/2019,T K Maxx,-0.329893296
01/10/2019,T K Maxx,-0.321448447
08/10/2019,T K Maxx,-0.318633125
15/10/2019,T K Maxx,-0.031495233
22/10/2019,T K Maxx,0.144916467
29/10/2019,T K Maxx,-0.122516405
05/11/2019,T K Maxx,0.037943542
12/11/2019,T K Maxx,-0.039002138
19/11/2019,T K Maxx,0.193689548
26/11/2019,T K Maxx,0.166369185
04/12/2019,T K Maxx,0.122092049
11/12/2019,T K Maxx,0.170137356
18/12/2019,T K Maxx,0.180500201
26/12/2019,T K Maxx,0.210646693
03/01/2020,T K Maxx,0.250213615
10/01/2020,T K Maxx,0.353840946
17/01/2020,T K Maxx,0.385871524
27/01/2020,T K Maxx,0.221009538
03/02/2020,T K Maxx,0.156006712
10/02/2020,T K Maxx,0.288838493
18/02/2020,T K Maxx,0.481448264
25/02/2020,T K Maxx,0.1278125
03/03/2020,T K Maxx,0.211966969
10/03/2020,T K Maxx,-0.037658758
17/03/2020,T K Maxx,-1.499481337
24/03/2020,T K Maxx,-1.638478133
31/03/2020,T K Maxx,-0.998339089
07/04/2020,T K Maxx,-1.105186061
15/04/2020,T K Maxx,-0.952952966
22/04/2020,T K Maxx,-1.133552435
29/04/2020,T K Maxx,-0.645648723
06/05/2020,T K Maxx,-1.010631483
13/05/2020,T K Maxx,-1.355757931
20/05/2020,T K Maxx,-0.710891531
28/05/2020,T K Maxx,-0.405478081
04/06/2020,T K Maxx,-0.334561774
11/06/2020,T K Maxx,-0.539746775
18/06/2020,T K Maxx,-0.465048509
25/06/2020,T K Maxx,-0.709000737
02/07/2020,T K Maxx,-0.625792038
10/07/2020,T K Maxx,-0.690088704
17/07/2020,T K Maxx,-0.516107757
24/07/2020,T K Maxx,-0.517999296
31/07/2020,T K Maxx,-0.60309879
07/08/2020,T K Maxx,-0.275937861
14/08/2020,T K Maxx,-0.047114588
21/08/2020,T K Maxx,-0.632411305
28/08/2020,T K Maxx,-0.309977733
04/09/2020,T K Maxx,-0.301467299
14/09/2020,T K Maxx,-0.274047067
21/09/2020,T K Maxx,-0.396968392
28/09/2020,T K Maxx,-0.261755047
05/10/2020,T K Maxx,-0.080209063
12/10/2020,T K Maxx,-0.037658758
19/10/2020,T K Maxx,-0.306195401
26/10/2020,T K Maxx,-0.318488167
02/11/2020,T K Maxx,-0.626737434
09/11/2020,T K Maxx,0.239387946
16/11/2020,T K Maxx,0.257353093
23/11/2020,T K Maxx,0.32448744
01/12/2020,T K Maxx,0.61571733
08/12/2020,T K Maxx,0.666776952
15/12/2020,T K Maxx,0.791589815
22/12/2020,T K Maxx,0.813337294
30/12/2020,T K Maxx,0.939095554
07/01/2021,T K Maxx,1.090384371
14/01/2021,T K Maxx,0.912619974
22/01/2021,T K Maxx,0.807664168
29/01/2021,T K Maxx,0.536291335
05/02/2021,T K Maxx,0.941932117
12/02/2021,T K Maxx,0.935048645
22/02/2021,T K Maxx,1.082164599
01/03/2021,T K Maxx,0.863864035
08/03/2021,T K Maxx,0.667394795
15/03/2021,T K Maxx,0.936946891
22/03/2021,T K Maxx,0.792679425
29/03/2021,T K Maxx,0.700614106
06/04/2021,T K Maxx,0.900878721
13/04/2021,T K Maxx,0.978707565
20/04/2021,T K Maxx,0.911320939
27/04/2021,T K Maxx,1.105892305
04/05/2021,T K Maxx,1.202702868
11/05/2021,T K Maxx,1.315649642
18/05/2021,T K Maxx,1.257541841
25/05/2021,T K Maxx,0.88889823
02/06/2021,T K Maxx,0.766019014
09/06/2021,T K Maxx,0.675523269
16/06/2021,T K Maxx,0.691717241
23/06/2021,T K Maxx,0.754587055
30/06/2021,T K Maxx,0.90318762
08/07/2021,T K Maxx,0.850796916
15/07/2021,T K Maxx,0.965104585
22/07/2021,T K Maxx,0.88889823
29/07/2021,T K Maxx,1.038451273
05/08/2021,T K Maxx,1.013685381
12/08/2021,T K Maxx,1.321497165
19/08/2021,T K Maxx,1.516529119
26/08/2021,T K Maxx,1.540431223
02/09/2021,T K Maxx,1.352089712
10/09/2021,T K Maxx,1.065276392
17/09/2021,T K Maxx,1.21250712
24/09/2021,T K Maxx,1.278473975
01/10/2021,T K Maxx,0.849209454
08/10/2021,T K Maxx,0.670428486
15/10/2021,T K Maxx,0.633142889
22/10/2021,T K Maxx,0.614978378
29/10/2021,T K Maxx,0.742131816
05/11/2021,T K Maxx,1.288035264
12/11/2021,T K Maxx,1.083144651
19/11/2021,T K Maxx,1.296179016
29/11/2021,T K Maxx,1.262591906
06/12/2021,T K Maxx,1.451637714
13/12/2021,T K Maxx,1.498658624
20/12/2021,T K Maxx,1.436284799
28/12/2021,T K Maxx,1.656035691
04/01/2022,T K Maxx,1.843160894
11/01/2022,T K Maxx,1.602298253
19/01/2022,T K Maxx,1.055316375
26/01/2022,T K Maxx,1.111932857
02/02/2022,T K Maxx,1.393100627
09/02/2022,T K Maxx,1.364771517
16/02/2022,T K Maxx,0.943863901
24/02/2022,T K Maxx,0.711740125
03/03/2022,T K Maxx,0.809984247
10/03/2022,T K Maxx,0.457462688
17/03/2022,T K Maxx,0.476726124
24/03/2022,T K Maxx,0.266754517
31/03/2022,T K Maxx,0.315876392
07/04/2022,T K Maxx,0.388114465
14/04/2022,T K Maxx,0.521031954
22/04/2022,T K Maxx,0.521031954
29/04/2022,T K Maxx,0.38329842
06/05/2022,T K Maxx,0.299502434
13/05/2022,T K Maxx,0.018427453
20/05/2022,T K Maxx,0.084268727
27/05/2022,T K Maxx,0.734936069
06/06/2022,T K Maxx,0.458015318
13/06/2022,T K Maxx,0.031983108
21/06/2022,T K Maxx,0.047475392
28/06/2022,T K Maxx,0.046506891
06/07/2022,T K Maxx,0.093951497
13/07/2022,T K Maxx,0.201427864
20/07/2022,T K Maxx,0.584856481
27/07/2022,T K Maxx,0.367967491
03/08/2022,T K Maxx,0.602285393
10/08/2022,T K Maxx,0.612737672
17/08/2022,T K Maxx,1.148767929
24/08/2022,T K Maxx,0.743097708
31/08/2022,T K Maxx,0.546585241
08/09/2022,T K Maxx,0.947392091
15/09/2022,T K Maxx,0.792711473
22/09/2022,T K Maxx,0.513509026
29/09/2022,T K Maxx,0.448329194
06/10/2022,T K Maxx,0.813140538
13/10/2022,T K Maxx,0.821896917
20/10/2022,T K Maxx,0.839407438
27/10/2022,T K Maxx,1.476613031
03/11/2022,T K Maxx,1.40754131
10/11/2022,T K Maxx,1.709763441
17/11/2022,T K Maxx,2.09953147
25/11/2022,T K Maxx,2.396497836
02/12/2022,T K Maxx,2.314441722
09/12/2022,T K Maxx,2.106369479
16/12/2022,T K Maxx,2.066318494
23/12/2022,T K Maxx,2.247037954
03/01/2023,T K Maxx,2.199171888
08/01/2018,GAP,1.276443009
16/01/2018,GAP,1.328262513
23/01/2018,GAP,1.675834877
30/01/2018,GAP,1.540597527
06/02/2018,GAP,1.258748495
13/02/2018,GAP,1.292874341
21/02/2018,GAP,1.266331858
28/02/2018,GAP,1.18544237
07/03/2018,GAP,1.400304887
14/03/2018,GAP,1.291610019
21/03/2018,GAP,1.252429454
28/03/2018,GAP,1.099497306
05/04/2018,GAP,1.239789946
12/04/2018,GAP,1.098185683
19/04/2018,GAP,0.959297844
26/04/2018,GAP,1.031927214
03/05/2018,GAP,0.887943622
10/05/2018,GAP,0.863732882
17/05/2018,GAP,1.193750074
24/05/2018,GAP,1.392524909
01/06/2018,GAP,0.884120739
08/06/2018,GAP,1.238346961
15/06/2018,GAP,1.224330577
22/06/2018,GAP,1.448589307
29/06/2018,GAP,1.321169548
09/07/2018,GAP,1.121121558
16/07/2018,GAP,0.980230524
23/07/2018,GAP,1.053436918
30/07/2018,GAP,1.030320099
06/08/2018,GAP,1.107379011
13/08/2018,GAP,1.194712064
20/08/2018,GAP,1.325713354
27/08/2018,GAP,1.07141752
04/09/2018,GAP,1.094535764
11/09/2018,GAP,0.877485118
18/09/2018,GAP,0.660434758
25/09/2018,GAP,0.785013569
02/10/2018,GAP,0.701532464
09/10/2018,GAP,0.760820496
16/10/2018,GAP,0.724543282
23/10/2018,GAP,0.610531255
30/10/2018,GAP,0.883901328
06/11/2018,GAP,0.803574329
13/11/2018,GAP,0.699927628
20/11/2018,GAP,0.388984391
28/11/2018,GAP,0.710291814
06/12/2018,GAP,0.771184967
13/12/2018,GAP,0.644215998
20/12/2018,GAP,0.439512218
28/12/2018,GAP,0.513361458
07/01/2019,GAP,0.636442859
14/01/2019,GAP,0.506080141
22/01/2019,GAP,0.455085282
29/01/2019,GAP,0.527000854
05/02/2019,GAP,0.491696742
12/02/2019,GAP,0.481235959
20/02/2019,GAP,0.483851511
27/02/2019,GAP,0.510002472
06/03/2019,GAP,0.669523509
13/03/2019,GAP,0.593685892
20/03/2019,GAP,0.506080141
27/03/2019,GAP,0.592378828
03/04/2019,GAP,0.609377209
10/04/2019,GAP,0.612035504
17/04/2019,GAP,0.646347421
25/04/2019,GAP,0.629191463
02/05/2019,GAP,0.609396016
09/05/2019,GAP,0.490624192
16/05/2019,GAP,0.132988833
23/05/2019,GAP,-0.000299177
31/05/2019,GAP,-0.340778292
07/06/2019,GAP,-0.402803265
14/06/2019,GAP,-0.406762354
21/06/2019,GAP,-0.401484518
28/06/2019,GAP,-0.434475694
08/07/2019,GAP,-0.367171746
15/07/2019,GAP,-0.277173559
22/07/2019,GAP,-0.302581943
29/07/2019,GAP,-0.195599907
05/08/2019,GAP,-0.421598681
12/08/2019,GAP,-0.471078179
19/08/2019,GAP,-0.576722519
26/08/2019,GAP,-0.615503443
03/09/2019,GAP,-0.72114764
10/09/2019,GAP,-0.34804935
17/09/2019,GAP,-0.370782342
24/09/2019,GAP,-0.508521264
01/10/2019,GAP,-0.524568769
08/10/2019,GAP,-0.631759958
15/10/2019,GAP,-0.455327876
22/10/2019,GAP,-0.38204013
29/10/2019,GAP,-0.487900034
05/11/2019,GAP,-0.372539911
12/11/2019,GAP,-0.477042458
19/11/2019,GAP,-0.528614911
26/11/2019,GAP,-0.497399825
04/12/2019,GAP,-0.627688741
11/12/2019,GAP,-0.611402448
18/12/2019,GAP,-0.399683637
26/12/2019,GAP,-0.372539911
03/01/2020,GAP,-0.439041726
10/01/2020,GAP,-0.357637049
17/01/2020,GAP,-0.257228229
27/01/2020,GAP,-0.372767301
03/02/2020,GAP,-0.405778138
10/02/2020,GAP,-0.37689394
18/02/2020,GAP,-0.412655681
25/02/2020,GAP,-0.691873774
03/03/2020,GAP,-0.905069479
10/03/2020,GAP,-1.096258386
17/03/2020,GAP,-1.657445475
24/03/2020,GAP,-1.687705338
31/03/2020,GAP,-1.837630485
07/04/2020,GAP,-1.847258574
15/04/2020,GAP,-1.745474731
22/04/2020,GAP,-1.828002181
29/04/2020,GAP,-1.561163438
06/05/2020,GAP,-1.8197494
13/05/2020,GAP,-1.851384929
20/05/2020,GAP,-1.796366653
28/05/2020,GAP,-1.486888626
04/06/2020,GAP,-1.136146909
11/06/2020,GAP,-1.411238077
18/06/2020,GAP,-1.305327879
25/06/2020,GAP,-1.408487459
02/07/2020,GAP,-1.116890302
10/07/2020,GAP,-1.203544036
17/07/2020,GAP,-1.032987187
24/07/2020,GAP,-1.070124806
31/07/2020,GAP,-0.966965227
07/08/2020,GAP,-0.869307881
14/08/2020,GAP,-0.731761869
21/08/2020,GAP,-0.821166648
28/08/2020,GAP,-0.393398789
04/09/2020,GAP,-0.396149692
14/09/2020,GAP,-0.425034603
21/09/2020,GAP,-0.550201265
28/09/2020,GAP,-0.440164712
05/10/2020,GAP,-0.16094662
12/10/2020,GAP,-0.154069647
19/10/2020,GAP,-0.17882749
26/10/2020,GAP,0.027491384
02/11/2020,GAP,0.059126486
09/11/2020,GAP,0.365853609
16/11/2020,GAP,0.517154421
23/11/2020,GAP,0.778491074
01/12/2020,GAP,0.171914084
08/12/2020,GAP,0.149906574
15/12/2020,GAP,0.039870449
22/12/2020,GAP,-0.045408118
30/12/2020,GAP,0.010985681
07/01/2021,GAP,0.15128231
14/01/2021,GAP,0.27369807
22/01/2021,GAP,0.301207101
29/01/2021,GAP,-0.020650275
05/02/2021,GAP,0.30945981
12/02/2021,GAP,0.369980534
22/02/2021,GAP,0.590053354
01/03/2021,GAP,0.713844565
08/03/2021,GAP,1.16637041
15/03/2021,GAP,1.629899582
22/03/2021,GAP,1.347931726
29/03/2021,GAP,1.149864991
06/04/2021,GAP,1.459207952
13/04/2021,GAP,1.667196346
20/04/2021,GAP,1.600640391
27/04/2021,GAP,1.963927724
04/05/2021,GAP,2.077628301
11/05/2021,GAP,2.087335393
18/05/2021,GAP,2.044349611
25/05/2021,GAP,1.72266064
02/06/2021,GAP,1.699089042
09/06/2021,GAP,1.575681658
16/06/2021,GAP,1.753165346
23/06/2021,GAP,1.761485019
30/06/2021,GAP,1.859933385
08/07/2021,GAP,1.492677274
15/07/2021,GAP,1.32986108
22/07/2021,GAP,1.232449645
29/07/2021,GAP,1.221317235
05/08/2021,GAP,1.161478396
12/08/2021,GAP,1.368825938
19/08/2021,GAP,1.009794897
26/08/2021,GAP,0.8608945
02/09/2021,GAP,0.767657861
10/09/2021,GAP,0.514387846
17/09/2021,GAP,0.582575993
24/09/2021,GAP,0.521345745
01/10/2021,GAP,0.474031579
08/10/2021,GAP,0.438841162
15/10/2021,GAP,0.2905876
22/10/2021,GAP,0.343735254
29/10/2021,GAP,0.367511731
05/11/2021,GAP,0.675207398
12/11/2021,GAP,0.665417386
19/11/2021,GAP,0.560521181
29/11/2021,GAP,-0.31641254
06/12/2021,GAP,-0.380749023
13/12/2021,GAP,-0.524806845
20/12/2021,GAP,-0.471659048
28/12/2021,GAP,-0.370958441
04/01/2022,GAP,-0.180406966
11/01/2022,GAP,-0.288807765
19/01/2022,GAP,-0.461966916
26/01/2022,GAP,-0.333857152
02/02/2022,GAP,-0.316963347
09/02/2022,GAP,-0.364828891
16/02/2022,GAP,-0.646388556
24/02/2022,GAP,-0.787168603
03/03/2022,GAP,-0.799838743
10/03/2022,GAP,-0.795615505
17/03/2022,GAP,-0.639349447
24/03/2022,GAP,-0.827994752
31/03/2022,GAP,-0.82377123
07/04/2022,GAP,-0.92783239
14/04/2022,GAP,-0.798356008
22/04/2022,GAP,-1.138409409
29/04/2022,GAP,-1.038812268
06/05/2022,GAP,-1.00039608
13/05/2022,GAP,-1.077228314
20/05/2022,GAP,-1.250812183
27/05/2022,GAP,-1.155483302
06/06/2022,GAP,-1.284959826
13/06/2022,GAP,-1.52114797
21/06/2022,GAP,-1.551026927
28/06/2022,GAP,-1.529684631
06/07/2022,GAP,-1.564666608
13/07/2022,GAP,-1.603773656
20/07/2022,GAP,-1.431413076
27/07/2022,GAP,-1.519765964
03/08/2022,GAP,-1.389409088
10/08/2022,GAP,-1.380718696
17/08/2022,GAP,-1.204012778
24/08/2022,GAP,-1.370579763
31/08/2022,GAP,-1.482107172
08/09/2022,GAP,-1.409686812
15/09/2022,GAP,-1.502385038
22/09/2022,GAP,-1.522662762
29/09/2022,GAP,-1.590737926
06/10/2022,GAP,-1.361344832
13/10/2022,GAP,-1.355448513
20/10/2022,GAP,-1.373137613
27/10/2022,GAP,-1.182979938
03/11/2022,GAP,-1.213935862
10/11/2022,GAP,-1.106327364
17/11/2022,GAP,-0.932384744
25/11/2022,GAP,-0.618403517
02/12/2022,GAP,-0.616929473
09/12/2022,GAP,-0.756968081
16/12/2022,GAP,-0.897006546
