year,riskFreeRate,discountFactor,bond1,bond2,bond3,PV_b1,PV_b2,PV_b3,cycles,wages,asset1,asset2
22,0.01,0.803396207,5,3.6,6.4,4.016981033,2.892226344,5.141735722,0.313286037,10.31328604,5.313286037,4.686713963
23,0.01,0.795441789,5,3.4,6.6,3.977208943,2.704502082,5.249915805,-0.981940765,9.018059235,4.018059235,5.981940765
24,0.01,0.787566127,5,3.2,6.8,3.937830637,2.520211608,5.355449666,-0.06198051,9.93801949,4.93801949,5.06198051
25,0.01,0.779768443,5,3.0,7.0,3.898842215,2.339305329,5.458379101,0.997803274,10.99780327,5.997803274,4.002196726
26,0.01,0.772047963,5,2.8,7.2,3.860239817,2.161734297,5.558745336,-0.193384667,9.806615333,4.806615333,5.193384667
27,0.01,0.764403924,5,2.6,7.4,3.822019621,1.987450203,5.656589038,-0.948310843,9.051689157,4.051689157,5.948310843
28,0.01,0.756835568,5,2.4,7.6,3.784177842,1.816405364,5.75195032,0.436083376,10.43608338,5.436083376,4.563916624
29,0.01,0.749342147,5,2.2,7.8,3.746710735,1.648552723,5.844868746,0.836705168,10.83670517,5.836705168,4.163294832
30,0.01,0.741922918,5,2.0,8.0,3.709614589,1.483845836,5.935383342,-0.650219137,9.349780863,4.349780863,5.650219137
0,0.03,1.0,5,8.0,2.0,5.0,8.0,2.0,0.0,,,
1,0.03,0.970873786,5,7.8,2.2,4.854368932,7.572815534,2.13592233,-0.991778853,,,
2,0.03,0.942595909,5,7.6,2.4,4.712979546,7.163728909,2.262230182,0.253823363,,,
3,0.03,0.915141659,5,7.4,2.6,4.575708297,6.772048279,2.379368314,0.926818505,,,
4,0.03,0.888487048,5,7.2,2.8,4.44243524,6.397106745,2.487763734,-0.491021594,,,
5,0.03,0.862608784,5,7.0,3.0,4.313043922,6.038261491,2.587826353,-0.801152636,,,
6,0.03,0.837484257,5,6.8,3.2,4.187421283,5.694892945,2.679949621,0.696058488,,,
7,0.03,0.813091511,5,6.6,3.4,4.065457557,5.366403975,2.764511139,0.623012211,,,
8,0.03,0.789409234,5,6.4,3.6,3.947046172,5.0522191,2.841873244,-0.855504371,,,
9,0.03,0.766416732,5,6.2,3.8,3.832083662,4.751783741,2.912383583,-0.404065219,,,
10,0.03,0.744093915,5,6.0,4.0,3.720469574,4.464563489,2.97637566,0.958915723,,,
11,0.03,0.722421277,5,5.8,4.2,3.612106383,4.190043404,3.034169362,0.158652431,,,
12,0.03,0.70137988,5,5.6,4.4,3.506899401,3.927727329,3.086071473,-0.999519224,,,
13,0.03,0.68095134,5,5.4,4.6,3.4047567,3.677137236,3.132376164,0.097151904,,,
14,0.03,0.661117806,5,5.2,4.8,3.305589029,3.43781259,3.173365468,0.974655392,,,
15,0.03,0.641861947,5,5.0,5.0,3.209309737,3.209309737,3.209309737,-0.346592904,,,
16,0.03,0.623166939,5,4.8,5.2,3.115834696,2.991201308,3.240468084,-0.885952778,,,
17,0.03,0.605016446,5,4.6,5.4,3.025082229,2.783075651,3.267088808,0.573332477,,,
18,0.03,0.587394608,5,4.4,5.6,2.936973038,2.584536274,3.289409803,0.7392213,,,
19,0.03,0.570286027,5,4.2,5.8,2.851430134,2.395201313,3.307658956,-0.762519447,,,
20,0.03,0.553675754,5,4.0,6.0,2.768378771,2.214703017,3.322054525,-0.544071696,,,
21,0.03,0.537549276,5,3.8,6.2,2.68774638,2.042687248,3.332805511,0.901762291,,,
22,0.03,0.521892501,5,3.6,6.4,2.609462504,1.878813003,3.340112006,0.313286037,,,
23,0.03,0.506691748,5,3.4,6.6,2.533458742,1.722751945,3.34416554,-0.981940765,,,
24,0.03,0.491933736,5,3.2,6.8,2.459668682,1.574187956,3.345149407,-0.06198051,,,
25,0.03,0.477605569,5,3.0,7.0,2.388027846,1.432816708,3.343238985,0.997803274,,,
26,0.03,0.463694727,5,2.8,7.2,2.318473637,1.298345237,3.338602038,-0.193384667,,,
27,0.03,0.450189056,5,2.6,7.4,2.250945279,1.170491545,3.331399013,-0.948310843,,,
28,0.03,0.437076753,5,2.4,7.6,2.185383766,1.048984208,3.321783324,0.436083376,,,
29,0.03,0.424346362,5,2.2,7.8,2.121731812,0.933561997,3.309901626,0.836705168,,,
30,0.03,0.41198676,5,2.0,8.0,2.059933798,0.823973519,3.295894076,-0.650219137,,,
0,0.1,1.0,5,8.0,2.0,5.0,8.0,2.0,0.0,,,
1,0.1,0.909090909,5,7.8,2.2,4.545454545,7.090909091,2.0,-0.991778853,,,
2,0.1,0.826446281,5,7.6,2.4,4.132231405,6.280991736,1.983471074,0.253823363,,,
3,0.1,0.751314801,5,7.4,2.6,3.756574005,5.559729527,1.953418482,0.926818505,,,
4,0.1,0.683013455,5,7.2,2.8,3.415067277,4.917696879,1.912437675,-0.491021594,,,
5,0.1,0.620921323,5,7.0,3.0,3.104606615,4.346449261,1.862763969,-0.801152636,,,
6,0.1,0.56447393,5,6.8,3.2,2.82236965,3.838422724,1.806316576,0.696058488,,,
7,0.1,0.513158118,5,6.6,3.4,2.565790591,3.38684358,1.744737602,0.623012211,,,
8,0.1,0.46650738,5,6.4,3.6,2.332536901,2.985647233,1.679426569,-0.855504371,,,
9,0.1,0.424097618,5,6.2,3.8,2.120488092,2.629405234,1.61157095,-0.404065219,,,
10,0.1,0.385543289,5,6.0,4.0,1.927716447,2.313259737,1.542173158,0.958915723,,,
11,0.1,0.350493899,5,5.8,4.2,1.752469497,2.032864617,1.472074378,0.158652431,,,
12,0.1,0.318630818,5,5.6,4.4,1.593154089,1.784332579,1.401975598,-0.999519224,,,
13,0.1,0.28966438,5,5.4,4.6,1.448321899,1.564187651,1.332456147,0.097151904,,,
14,0.1,0.263331254,5,5.2,4.8,1.316656272,1.369322522,1.263990021,0.974655392,,,
15,0.1,0.239392049,5,5.0,5.0,1.196960247,1.196960247,1.196960247,-0.346592904,,,
16,0.1,0.217629136,5,4.8,5.2,1.088145679,1.044619852,1.131671506,-0.885952778,,,
17,0.1,0.197844669,5,4.6,5.4,0.989223345,0.910085477,1.068361212,0.573332477,,,
18,0.1,0.17985879,5,4.4,5.6,0.89929395,0.791378676,1.007209223,0.7392213,,,
19,0.1,0.163507991,5,4.2,5.8,0.817539954,0.686733561,0.948346347,-0.762519447,,,
20,0.1,0.148643628,5,4.0,6.0,0.74321814,0.594574512,0.891861768,-0.544071696,,,
21,0.1,0.135130571,5,3.8,6.2,0.675652855,0.51349617,0.83780954,0.901762291,,,
22,0.1,0.122845974,5,3.6,6.4,0.614229868,0.442245505,0.786214231,0.313286037,,,
23,0.1,0.111678158,5,3.4,6.6,0.558390789,0.379705737,0.737075841,-0.981940765,,,
24,0.1,0.101525598,5,3.2,6.8,0.50762799,0.324881914,0.690374066,-0.06198051,,,
25,0.1,0.092295998,5,3.0,7.0,0.461479991,0.276887995,0.646071987,0.997803274,,,
26,0.1,0.083905453,5,2.8,7.2,0.419527264,0.234935268,0.604119261,-0.193384667,,,
27,0.1,0.076277684,5,2.6,7.4,0.381388422,0.19832198,0.564454865,-0.948310843,,,
28,0.1,0.069343349,5,2.4,7.6,0.346716747,0.166424039,0.527009456,0.436083376,,,
29,0.1,0.063039409,5,2.2,7.8,0.315197043,0.138686699,0.491707387,0.836705168,,,
30,0.1,0.057308553,5,2.0,8.0,0.286542767,0.114617107,0.458468426,-0.650219137,,,
