Date,Builds,Price,Period
01/04/1994,36560,53046.0,1990-1999
01/07/1994,40000,53720.0,1990-1999
01/10/1994,41880,53668.0,1990-1999
01/01/1995,39520,53166.66667,1990-1999
01/04/1995,40260,53668.0,1990-1999
01/07/1995,37690,53603.33333,1990-1999
01/10/1995,39670,52851.66667,1990-1999
01/01/1996,36980,52517.33333,1990-1999
01/04/1996,35220,53748.66667,1990-1999
01/07/1996,36780,54945.66667,1990-1999
01/10/1996,40110,55394.33333,1990-1999
01/01/1997,34140,56257.33333,1990-1999
01/04/1997,38410,58405.0,1990-1999
01/07/1997,36810,60610.0,1990-1999
01/10/1997,40140,61370.33333,1990-1999
01/01/1998,34200,61938.0,1990-1999
01/04/1998,36250,64193.33333,1990-1999
01/07/1998,35030,65608.0,1990-1999
01/10/1998,37170,65467.33333,1990-1999
01/01/1999,31810,65888.66667,1990-1999
01/04/1999,34080,68492.66667,1990-1999
01/07/1999,36840,71709.0,1990-1999
01/10/1999,38280,74192.66667,1990-1999
01/01/2000,32590,75955.0,2000-2009
01/04/2000,34770,80417.33333,2000-2009
01/07/2000,32280,83219.0,2000-2009
01/10/2000,35450,83666.0,2000-2009
01/01/2001,30750,84621.33333,2000-2009
01/04/2001,31400,88712.66667,2000-2009
01/07/2001,32320,92814.33333,2000-2009
01/10/2001,35030,95078.66667,2000-2009
01/01/2002,31110,97284.33333,2000-2009
01/04/2002,34060,104208.0,2000-2009
01/07/2002,32750,112249.0,2000-2009
01/10/2002,38880,118184.6667,2000-2009
01/01/2003,32050,122207.3333,2000-2009
01/04/2003,35450,127963.6667,2000-2009
01/07/2003,34170,133354.0,2000-2009
01/10/2003,42390,137349.3333,2000-2009
01/01/2004,31950,140858.0,2000-2009
01/04/2004,39360,150297.3333,2000-2009
01/07/2004,39910,158244.3333,2000-2009
01/10/2004,42850,159858.0,2000-2009
01/01/2005,33770,158941.0,2000-2009
01/04/2005,40920,162823.0,2000-2009
01/07/2005,37930,166121.3333,2000-2009
01/10/2005,46830,166394.6667,2000-2009
01/01/2006,37720,167147.0,2000-2009
01/04/2006,43250,172686.3333,2000-2009
01/07/2006,37670,177347.3333,2000-2009
01/10/2006,42220,180225.3333,2000-2009
01/01/2007,44540,182644.3333,2000-2009
01/04/2007,43690,188782.3333,2000-2009
01/07/2007,39360,194150.6667,2000-2009
01/10/2007,49050,194525.0,2000-2009
01/01/2008,38510,190157.6667,2000-2009
01/04/2008,38600,188747.3333,2000-2009
01/07/2008,33240,181523.3333,2000-2009
01/10/2008,37660,169091.3333,2000-2009
01/01/2009,31490,160989.6667,2000-2009
01/04/2009,31730,162659.0,2000-2009
01/07/2009,29330,169496.6667,2000-2009
01/10/2009,32430,173089.3333,2000-2009
01/01/2010,26430,174823.6667,2010-2019
01/04/2010,27980,177735.0,2010-2019
01/07/2010,24650,180519.0,2010-2019
01/10/2010,27670,176813.0,2010-2019
01/01/2011,27590,173766.3333,2010-2019
01/04/2011,29560,174998.6667,2010-2019
01/07/2011,25010,177094.0,2010-2019
01/10/2011,31870,175061.0,2010-2019
01/01/2012,32070,174221.0,2010-2019
01/04/2012,29630,177421.6667,2010-2019
01/07/2012,24780,179816.0,2010-2019
01/10/2012,29110,178493.3333,2010-2019
01/01/2013,24460,177402.6667,2010-2019
01/04/2013,28610,180869.6667,2010-2019
01/07/2013,26090,185332.6667,2010-2019
01/10/2013,30290,186720.6667,2010-2019
01/01/2014,27340,189216.3333,2010-2019
01/04/2014,30350,196124.3333,2010-2019
01/07/2014,27750,202623.3333,2010-2019
01/10/2014,32380,203120.3333,2010-2019
01/01/2015,34170,203213.3333,2010-2019
01/04/2015,37130,208025.0,2010-2019
01/07/2015,32170,215208.0,2010-2019
01/10/2015,39010,218252.6667,2010-2019
01/01/2016,31410,221217.0,2010-2019
01/04/2016,36260,226194.6667,2010-2019
01/07/2016,35810,230964.0,2010-2019
01/10/2016,38400,230973.0,2010-2019
01/01/2017,37050,232016.3333,2010-2019
01/04/2017,42160,236781.0,2010-2019
01/07/2017,36980,242025.0,2010-2019
01/10/2017,46280,241822.3333,2010-2019
01/01/2018,35480,241159.3333,2010-2019
01/04/2018,42480,243601.0,2010-2019
01/07/2018,38660,248283.0,2010-2019
01/10/2018,48870,247025.6667,2010-2019
01/01/2019,39050,244016.6667,2010-2019
01/04/2019,46310,245145.3333,2010-2019
01/07/2019,42800,249108.6667,2010-2019
01/10/2019,49720,248268.6667,2010-2019
01/01/2020,36510,247919.3333,2020-2022
01/04/2020,16640,248220.6667,2020-2022
01/07/2020,42110,255727.6667,2020-2022
01/10/2020,51370,262324.0,2020-2022
01/01/2021,44510,268135.6667,2020-2022
01/04/2021,43910,273015.6667,2020-2022
01/07/2021,40940,277011.3333,2020-2022
01/10/2021,45570,283280.6667,2020-2022
01/01/2022,40770,292150.0,2020-2022
01/04/2022,46230,299549.3333,2020-2022
01/07/2022,40650,312673.3333,2020-2022
