date,Health,Immigration & Asylum,Crime,The economy,Tax,Pensions,Education,Family life & childcare,Housing,The environment,Britain leaving the EU,Transport,Welfare benefits,Defence and security,None of these,Don't know,Afghanistan,Defence and Terrorism,Don't know / None of these,Unweighted base,Base
12/02/2013,0.36,0.52,0.17,0.74,0.14,0.18,0.14,0.09,0.0,0.09,0.2,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.02,1945,1945
26/02/2013,0.32,0.53,0.14,0.81,0.18,0.16,0.14,0.09,0.0,0.06,0.2,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02,1925,1925
05/03/2013,0.32,0.54,0.15,0.77,0.17,0.18,0.13,0.09,0.0,0.07,0.2,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.03,1926,1926
12/03/2013,0.31,0.52,0.15,0.77,0.22,0.19,0.13,0.11,0.0,0.07,0.19,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.02,2004,2004
19/03/2013,0.29,0.53,0.15,0.78,0.16,0.18,0.13,0.11,0.0,0.07,0.2,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.03,1920,1920
26/03/2013,0.31,0.55,0.14,0.77,0.16,0.17,0.13,0.09,0.0,0.1,0.2,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.03,2047,2047
02/04/2013,0.34,0.51,0.14,0.77,0.16,0.17,0.15,0.13,0.0,0.07,0.17,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.03,1757,1757
09/04/2013,0.31,0.55,0.16,0.77,0.19,0.15,0.13,0.1,0.0,0.07,0.21,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.03,1893,1893
16/04/2013,0.3,0.55,0.18,0.78,0.15,0.14,0.13,0.14,0.0,0.07,0.2,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.03,1928,1928
23/04/2013,0.34,0.51,0.17,0.76,0.18,0.17,0.16,0.09,0.0,0.08,0.18,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.03,1934,1934
30/04/2013,0.3,0.55,0.14,0.77,0.17,0.16,0.15,0.1,0.0,0.09,0.21,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.03,1891,1891
07/05/2013,0.28,0.55,0.14,0.75,0.16,0.15,0.14,0.09,0.0,0.1,0.22,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.04,1270,1233
21/05/2013,0.31,0.56,0.14,0.72,0.14,0.16,0.15,0.1,0.0,0.08,0.27,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.02,1914,1914
04/06/2013,0.32,0.56,0.21,0.73,0.14,0.15,0.14,0.09,0.0,0.09,0.22,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.02,1255,1217
18/06/2013,0.3,0.52,0.14,0.66,0.15,0.11,0.14,0.06,0.13,0.06,0.13,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.03,1921,1921
16/07/2013,0.37,0.51,0.13,0.64,0.11,0.11,0.13,0.06,0.16,0.06,0.14,0.02,0.3,0.0,0.0,0.0,0.0,0.0,0.02,1965,1965
30/07/2013,0.41,0.5,0.13,0.66,0.08,0.13,0.13,0.06,0.16,0.05,0.12,0.03,0.28,0.0,0.0,0.0,0.0,0.0,0.03,1869,1869
13/08/2013,0.32,0.54,0.13,0.67,0.09,0.11,0.12,0.06,0.16,0.06,0.13,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.03,1960,1960
27/08/2013,0.3,0.53,0.15,0.67,0.09,0.14,0.13,0.06,0.17,0.08,0.13,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.03,1991,1991
10/09/2013,0.32,0.51,0.11,0.62,0.1,0.14,0.12,0.06,0.16,0.06,0.11,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.05,1579,1579
08/10/2013,0.33,0.48,0.13,0.63,0.09,0.15,0.14,0.07,0.17,0.08,0.1,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.05,1958,1958
22/10/2013,0.3,0.54,0.12,0.66,0.09,0.14,0.15,0.07,0.17,0.07,0.11,0.03,0.31,0.0,0.0,0.0,0.0,0.0,0.03,2089,2089
05/11/2013,0.26,0.55,0.13,0.63,0.11,0.15,0.14,0.07,0.15,0.07,0.13,0.04,0.3,0.0,0.0,0.0,0.0,0.0,0.04,1876,1876
19/11/2013,0.33,0.53,0.13,0.62,0.14,0.15,0.13,0.07,0.15,0.08,0.12,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.03,2108,2108
03/12/2013,0.28,0.55,0.12,0.6,0.1,0.14,0.14,0.07,0.16,0.08,0.12,0.03,0.29,0.0,0.0,0.0,0.0,0.0,0.05,1935,1935
17/12/2013,0.32,0.56,0.13,0.58,0.11,0.18,0.15,0.07,0.16,0.06,0.11,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.04,1791,1791
14/01/2014,0.31,0.61,0.15,0.61,0.09,0.13,0.12,0.05,0.16,0.06,0.14,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.03,2074,2072
22/01/2014,0.32,0.56,0.12,0.58,0.11,0.16,0.14,0.06,0.16,0.08,0.13,0.03,0.32,0.0,0.0,0.0,0.0,0.0,0.04,1843,1843
28/01/2014,0.31,0.53,0.13,0.58,0.1,0.15,0.13,0.06,0.14,0.09,0.13,0.03,0.31,0.0,0.0,0.0,0.0,0.0,0.03,1814,1814
11/02/2014,0.26,0.51,0.12,0.54,0.08,0.14,0.15,0.06,0.17,0.23,0.11,0.04,0.25,0.0,0.0,0.0,0.0,0.0,0.04,1914,1938
25/02/2014,0.31,0.51,0.11,0.61,0.1,0.16,0.14,0.06,0.17,0.13,0.12,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.02,1936,1936
11/03/2014,0.31,0.53,0.12,0.6,0.11,0.12,0.15,0.07,0.16,0.11,0.17,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.03,2040,2040
25/03/2014,0.36,0.48,0.13,0.6,0.11,0.14,0.17,0.06,0.15,0.1,0.13,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.03,1958,1952
08/04/2014,0.35,0.51,0.12,0.57,0.1,0.14,0.15,0.07,0.18,0.11,0.17,0.03,0.28,0.0,0.0,0.0,0.0,0.0,0.03,2144,2138
13/05/2014,0.34,0.52,0.12,0.52,0.1,0.13,0.17,0.07,0.2,0.1,0.14,0.03,0.26,0.0,0.0,0.0,0.0,0.0,0.04,1977,1974
28/05/2014,0.32,0.56,0.1,0.53,0.09,0.12,0.16,0.06,0.2,0.09,0.23,0.02,0.25,0.0,0.0,0.0,0.0,0.0,0.04,2109,2108
10/06/2014,0.36,0.53,0.11,0.52,0.09,0.12,0.17,0.06,0.21,0.08,0.18,0.02,0.23,0.0,0.0,0.0,0.0,0.0,0.04,1974,1974
24/06/2014,0.35,0.56,0.1,0.51,0.07,0.12,0.16,0.05,0.2,0.08,0.17,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.04,1984,1980
08/07/2014,0.4,0.54,0.12,0.48,0.07,0.13,0.15,0.07,0.2,0.09,0.17,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.04,2072,2072
22/07/2014,0.36,0.57,0.11,0.49,0.08,0.12,0.15,0.06,0.21,0.09,0.21,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.04,1904,1904
05/08/2014,0.41,0.54,0.11,0.46,0.09,0.13,0.16,0.05,0.19,0.1,0.16,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.04,1977,1977
19/08/2014,0.38,0.56,0.12,0.5,0.09,0.12,0.15,0.08,0.19,0.09,0.17,0.02,0.23,0.0,0.0,0.0,0.0,0.0,0.03,2036,2036
02/09/2014,0.34,0.58,0.15,0.48,0.07,0.1,0.15,0.06,0.19,0.09,0.19,0.03,0.24,0.0,0.0,0.0,0.0,0.0,0.04,2068,2068
16/09/2014,0.37,0.54,0.14,0.5,0.07,0.12,0.16,0.06,0.19,0.1,0.17,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.04,1977,1977
14/10/2014,0.45,0.55,0.1,0.54,0.09,0.12,0.15,0.05,0.17,0.08,0.15,0.03,0.24,0.0,0.0,0.0,0.0,0.0,0.04,2144,2144
28/10/2014,0.43,0.57,0.1,0.5,0.08,0.11,0.12,0.05,0.16,0.09,0.25,0.02,0.21,0.0,0.0,0.0,0.0,0.0,0.05,2072,2072
11/11/2014,0.39,0.55,0.1,0.52,0.08,0.11,0.13,0.06,0.16,0.09,0.24,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.04,2143,2143
25/11/2014,0.34,0.53,0.1,0.5,0.07,0.11,0.13,0.06,0.18,0.11,0.25,0.03,0.28,0.0,0.0,0.0,0.0,0.0,0.04,1954,1954
09/12/2014,0.33,0.49,0.1,0.5,0.09,0.12,0.13,0.08,0.2,0.1,0.2,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.04,1980,1980
06/01/2015,0.46,0.52,0.08,0.52,0.07,0.08,0.15,0.06,0.19,0.09,0.19,0.03,0.28,0.0,0.0,0.0,0.0,0.0,0.03,1782,1782
20/01/2015,0.46,0.54,0.1,0.48,0.09,0.1,0.14,0.06,0.17,0.09,0.18,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.04,1606,1606
03/02/2015,0.46,0.49,0.09,0.5,0.1,0.11,0.18,0.07,0.17,0.07,0.17,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.04,1719,1719
17/02/2015,0.43,0.5,0.1,0.47,0.13,0.1,0.14,0.07,0.19,0.1,0.2,0.04,0.27,0.0,0.0,0.0,0.0,0.0,0.04,971,971
03/03/2015,0.42,0.5,0.11,0.46,0.13,0.11,0.16,0.07,0.22,0.08,0.17,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.03,1716,1716
17/03/2015,0.45,0.51,0.09,0.45,0.1,0.09,0.16,0.07,0.23,0.09,0.17,0.02,0.27,0.0,0.0,0.0,0.0,0.0,0.03,1857,1857
31/03/2015,0.45,0.48,0.08,0.53,0.11,0.11,0.16,0.08,0.21,0.09,0.15,0.03,0.32,0.0,0.0,0.0,0.0,0.0,0.03,1634,1634
14/04/2015,0.51,0.47,0.07,0.54,0.11,0.09,0.17,0.07,0.21,0.09,0.16,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.02,1541,1541
28/04/2015,0.44,0.5,0.08,0.52,0.1,0.09,0.17,0.07,0.27,0.09,0.15,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.03,1493,1493
12/05/2015,0.45,0.47,0.06,0.51,0.11,0.08,0.15,0.07,0.19,0.09,0.24,0.03,0.28,0.0,0.0,0.0,0.0,0.0,0.03,1687,1687
19/05/2015,0.44,0.51,0.07,0.48,0.09,0.08,0.15,0.06,0.2,0.1,0.22,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.03,1491,1489
26/05/2015,0.43,0.52,0.06,0.47,0.09,0.09,0.16,0.07,0.21,0.09,0.26,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.03,1709,1709
02/06/2015,0.39,0.52,0.07,0.46,0.08,0.08,0.14,0.06,0.21,0.08,0.27,0.02,0.31,0.0,0.0,0.0,0.0,0.0,0.03,1719,1719
09/06/2015,0.38,0.52,0.07,0.46,0.09,0.07,0.15,0.06,0.19,0.1,0.29,0.02,0.27,0.0,0.0,0.0,0.0,0.0,0.04,1516,1516
04/09/2015,0.28,0.71,0.1,0.35,0.06,0.08,0.12,0.05,0.19,0.11,0.22,0.02,0.29,0.0,0.0,0.0,0.0,0.0,0.04,1579,1579
18/12/2015,0.39,0.63,0.11,0.33,0.05,0.07,0.11,0.05,0.26,0.12,0.27,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.04,1610,1610
08/06/2016,0.35,0.56,0.07,0.34,0.05,0.08,0.15,0.04,0.22,0.09,0.19,0.02,0.17,0.0,0.0,0.0,0.0,0.32,0.05,1751,1751
06/07/2016,0.3,0.46,0.07,0.47,0.05,0.07,0.12,0.04,0.19,0.07,0.41,0.02,0.16,0.0,0.0,0.0,0.0,0.23,0.05,1732,1732
26/07/2016,0.29,0.47,0.1,0.43,0.04,0.07,0.11,0.04,0.17,0.1,0.65,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.06,1680,1680
02/08/2016,0.28,0.49,0.12,0.42,0.05,0.09,0.11,0.04,0.17,0.08,0.6,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.05,1722,1722
09/08/2016,0.29,0.48,0.1,0.45,0.04,0.08,0.12,0.04,0.2,0.08,0.56,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.05,1692,1692
17/08/2016,0.3,0.44,0.1,0.41,0.05,0.08,0.14,0.04,0.22,0.08,0.57,0.04,0.13,0.0,0.0,0.0,0.0,0.0,0.05,1677,1677
23/08/2016,0.32,0.45,0.09,0.41,0.05,0.08,0.13,0.05,0.2,0.09,0.56,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.05,1660,1660
31/08/2016,0.37,0.49,0.09,0.37,0.05,0.09,0.14,0.04,0.23,0.08,0.57,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.03,1687,1687
14/09/2016,0.38,0.48,0.1,0.35,0.05,0.1,0.14,0.03,0.19,0.08,0.57,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.05,1732,1732
12/10/2016,0.32,0.45,0.08,0.36,0.05,0.08,0.11,0.04,0.18,0.09,0.57,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.05,3762,3762
25/10/2016,0.33,0.49,0.09,0.39,0.04,0.09,0.11,0.04,0.18,0.09,0.63,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.06,1655,1655
01/11/2016,0.33,0.47,0.1,0.37,0.04,0.1,0.12,0.05,0.18,0.09,0.64,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.04,1655,1655
15/11/2016,0.35,0.44,0.08,0.39,0.04,0.1,0.12,0.04,0.17,0.11,0.61,0.02,0.16,0.0,0.0,0.0,0.0,0.0,0.05,1717,1717
29/11/2016,0.35,0.4,0.09,0.4,0.05,0.09,0.1,0.06,0.2,0.11,0.6,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.05,1624,1624
17/12/2016,0.34,0.45,0.09,0.33,0.05,0.08,0.11,0.04,0.17,0.08,0.6,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.07,1679,1679
10/01/2017,0.45,0.42,0.09,0.34,0.05,0.07,0.11,0.03,0.19,0.09,0.62,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.06,1660,1660
17/01/2017,0.52,0.42,0.09,0.31,0.04,0.08,0.11,0.04,0.19,0.08,0.6,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.04,1627,1627
24/01/2017,0.45,0.42,0.07,0.35,0.05,0.07,0.12,0.04,0.19,0.1,0.61,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.05,1643,1643
31/01/2017,0.44,0.46,0.09,0.34,0.05,0.08,0.11,0.04,0.18,0.09,0.64,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.04,1705,1705
13/02/2017,0.5,0.41,0.08,0.3,0.04,0.08,0.12,0.05,0.2,0.1,0.59,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.06,2052,2052
22/02/2017,0.51,0.38,0.09,0.31,0.06,0.1,0.13,0.05,0.2,0.1,0.62,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.03,2060,2060
28/02/2017,0.46,0.38,0.1,0.31,0.05,0.09,0.13,0.04,0.2,0.1,0.62,0.02,0.16,0.0,0.0,0.0,0.0,0.0,0.05,1666,1666
14/03/2017,0.43,0.41,0.11,0.32,0.07,0.09,0.15,0.04,0.18,0.09,0.62,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.04,1631,1631
21/03/2017,0.44,0.38,0.09,0.33,0.06,0.09,0.17,0.04,0.19,0.09,0.62,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.05,1627,1627
27/03/2017,0.41,0.39,0.11,0.33,0.05,0.09,0.15,0.04,0.18,0.09,0.64,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.05,1957,1957
06/04/2017,0.42,0.38,0.11,0.32,0.06,0.09,0.14,0.04,0.18,0.11,0.63,0.03,0.17,0.0,0.0,0.0,0.0,0.0,0.04,1651,1651
19/04/2017,0.42,0.36,0.09,0.36,0.05,0.07,0.15,0.05,0.15,0.1,0.68,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.05,1727,1727
26/04/2017,0.47,0.36,0.1,0.35,0.06,0.08,0.16,0.05,0.16,0.08,0.64,0.03,0.15,0.0,0.0,0.0,0.0,0.0,0.05,1590,1590
03/05/2017,0.45,0.35,0.11,0.34,0.05,0.1,0.19,0.05,0.17,0.08,0.64,0.02,0.15,0.0,0.0,0.0,0.0,0.0,0.04,2066,2066
10/05/2017,0.48,0.34,0.09,0.35,0.06,0.09,0.16,0.05,0.15,0.1,0.63,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.04,1413,1413
17/05/2017,0.47,0.37,0.09,0.35,0.06,0.08,0.18,0.04,0.16,0.08,0.62,0.02,0.14,0.0,0.0,0.0,0.0,0.0,0.05,1861,1861
31/05/2017,0.42,0.35,0.07,0.29,0.05,0.08,0.17,0.04,0.14,0.07,0.56,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.06,3538,3538
07/06/2017,0.41,0.37,0.11,0.28,0.03,0.07,0.14,0.03,0.1,0.07,0.57,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.05,1252,1252
22/06/2017,0.37,0.34,0.11,0.3,0.04,0.06,0.15,0.04,0.15,0.07,0.64,0.01,0.12,0.28,0.0,0.0,0.0,0.0,0.04,1670,1670
11/07/2017,0.38,0.38,0.09,0.35,0.05,0.06,0.16,0.04,0.16,0.09,0.64,0.02,0.14,0.21,0.0,0.0,0.0,0.0,0.04,1633,1643
