Unnamed: 0,Year,LOCATION,Value,Series ID,dum
19,1991,GBR,0.8079999999999999,Men,Gender
20,1992,GBR,0.772,Men,Gender
21,1993,GBR,0.752,Men,Gender
22,1994,GBR,0.754,Men,Gender
23,1995,GBR,0.76,Men,Gender
24,1996,GBR,0.765,Men,Gender
25,1997,GBR,0.774,Men,Gender
26,1998,GBR,0.784,Men,Gender
27,1999,GBR,0.7859999999999999,Men,Gender
28,2000,GBR,0.789,Men,Gender
29,2001,GBR,0.7929999999999999,Men,Gender
30,2002,GBR,0.79,Men,Gender
31,2003,GBR,0.7909999999999999,Men,Gender
32,2004,GBR,0.794,Men,Gender
33,2005,GBR,0.794,Men,Gender
34,2006,GBR,0.789,Men,Gender
35,2007,GBR,0.7879999999999999,Men,Gender
36,2008,GBR,0.7909999999999999,Men,Gender
37,2009,GBR,0.7759999999999999,Men,Gender
38,2010,GBR,0.75,Men,Gender
39,2011,GBR,0.758,Men,Gender
40,2012,GBR,0.755,Men,Gender
41,2013,GBR,0.76,Men,Gender
42,2014,GBR,0.773,Men,Gender
43,2015,GBR,0.7829999999999999,Men,Gender
44,2016,GBR,0.792,Men,Gender
45,2017,GBR,0.7929999999999999,Men,Gender
46,2018,GBR,0.7979999999999999,Men,Gender
47,2019,GBR,0.805,Men,Gender
48,2020,GBR,0.805,Men,Gender
49,2021,GBR,0.777,Men,Gender
50,2022,GBR,0.7879999999999999,Men,Gender
0,1972,GBR,0.528,Women,Gender
1,1973,GBR,0.54,Women,Gender
2,1974,GBR,0.551,Women,Gender
3,1975,GBR,0.557,Women,Gender
4,1976,GBR,0.5539999999999999,Women,Gender
5,1977,GBR,0.5539999999999999,Women,Gender
6,1978,GBR,0.556,Women,Gender
7,1979,GBR,0.563,Women,Gender
8,1980,GBR,0.569,Women,Gender
9,1981,GBR,0.561,Women,Gender
10,1982,GBR,0.551,Women,Gender
11,1983,GBR,0.539,Women,Gender
12,1984,GBR,0.551,Women,Gender
13,1985,GBR,0.562,Women,Gender
14,1986,GBR,0.5720000000000001,Women,Gender
15,1987,GBR,0.5820000000000001,Women,Gender
16,1988,GBR,0.602,Women,Gender
17,1989,GBR,0.622,Women,Gender
18,1990,GBR,0.632,Women,Gender
19,1991,GBR,0.631,Women,Gender
20,1992,GBR,0.619,Women,Gender
21,1993,GBR,0.616,Women,Gender
22,1994,GBR,0.619,Women,Gender
23,1995,GBR,0.623,Women,Gender
24,1996,GBR,0.634,Women,Gender
25,1997,GBR,0.64,Women,Gender
26,1998,GBR,0.643,Women,Gender
27,1999,GBR,0.652,Women,Gender
28,2000,GBR,0.655,Women,Gender
29,2001,GBR,0.6609999999999999,Women,Gender
30,2002,GBR,0.6609999999999999,Women,Gender
31,2003,GBR,0.6629999999999999,Women,Gender
32,2004,GBR,0.6679999999999999,Women,Gender
33,2005,GBR,0.6709999999999999,Women,Gender
34,2006,GBR,0.6679999999999999,Women,Gender
35,2007,GBR,0.664,Women,Gender
36,2008,GBR,0.67,Women,Gender
37,2009,GBR,0.6629999999999999,Women,Gender
38,2010,GBR,0.657,Women,Gender
39,2011,GBR,0.655,Women,Gender
40,2012,GBR,0.652,Women,Gender
41,2013,GBR,0.664,Women,Gender
42,2014,GBR,0.675,Women,Gender
43,2015,GBR,0.687,Women,Gender
44,2016,GBR,0.6920000000000001,Women,Gender
45,2017,GBR,0.7,Women,Gender
46,2018,GBR,0.71,Women,Gender
47,2019,GBR,0.718,Women,Gender
48,2020,GBR,0.727,Women,Gender
49,2021,GBR,0.7170000000000001,Women,Gender
50,2022,GBR,0.721,Women,Gender
0,1984,GBR,0.755880165339641,15-24,Age
1,1985,GBR,0.764006502802514,15-24,Age
2,1986,GBR,0.774393995354126,15-24,Age
3,1987,GBR,0.773588615528302,15-24,Age
4,1988,GBR,0.777478084962913,15-24,Age
5,1989,GBR,0.790749405538084,15-24,Age
6,1990,GBR,0.7801884551429249,15-24,Age
7,1991,GBR,0.766338768360059,15-24,Age
8,1992,GBR,0.726333426417202,15-24,Age
9,1993,GBR,0.711426914153132,15-24,Age
10,1994,GBR,0.7010975793113821,15-24,Age
11,1995,GBR,0.6959136468774091,15-24,Age
12,1996,GBR,0.705114083398898,15-24,Age
13,1997,GBR,0.7124653412191919,15-24,Age
14,1998,GBR,0.702419728990174,15-24,Age
15,1999,GBR,0.696992273540386,15-24,Age
16,2000,GBR,0.695533556815501,15-24,Age
17,2001,GBR,0.691418955112712,15-24,Age
18,2002,GBR,0.688182603623384,15-24,Age
19,2003,GBR,0.676977248847478,15-24,Age
20,2004,GBR,0.678166568130287,15-24,Age
21,2005,GBR,0.6736689256583059,15-24,Age
22,2006,GBR,0.6703262411254469,15-24,Age
23,2007,GBR,0.66432348530721,15-24,Age
24,2008,GBR,0.658068339038105,15-24,Age
25,2009,GBR,0.644645096155926,15-24,Age
26,2010,GBR,0.621344514002784,15-24,Age
27,2011,GBR,0.6262025632098,15-24,Age
28,2012,GBR,0.62413558797263,15-24,Age
29,2013,GBR,0.620648937795371,15-24,Age
30,2014,GBR,0.6098624453474649,15-24,Age
31,2015,GBR,0.624443383790734,15-24,Age
32,2016,GBR,0.615697472462225,15-24,Age
33,2017,GBR,0.61394913394637,15-24,Age
34,2018,GBR,0.6073138025728241,15-24,Age
35,2019,GBR,0.609973106914059,15-24,Age
36,2020,GBR,0.60452166869338,15-24,Age
37,2021,GBR,0.58631227944004,15-24,Age
38,1984,GBR,0.523765779178612,55-64,Age
39,1985,GBR,0.5136627104609439,55-64,Age
40,1986,GBR,0.508908285377426,55-64,Age
41,1987,GBR,0.513029589778077,55-64,Age
42,1988,GBR,0.516221828828215,55-64,Age
43,1989,GBR,0.526333017486433,55-64,Age
44,1990,GBR,0.5301612064482579,55-64,Age
45,1991,GBR,0.5298093587521661,55-64,Age
46,1992,GBR,0.519902659482009,55-64,Age
47,1993,GBR,0.5172893136403129,55-64,Age
48,1994,GBR,0.521422376409367,55-64,Age
49,1995,GBR,0.514042995839112,55-64,Age
50,1996,GBR,0.51374869474417,55-64,Age
51,1997,GBR,0.519237361408915,55-64,Age
52,1998,GBR,0.5094001113961599,55-64,Age
53,1999,GBR,0.5219224304494621,55-64,Age
54,2000,GBR,0.530437437704044,55-64,Age
55,2001,GBR,0.538946037256841,55-64,Age
56,2002,GBR,0.552934261373026,55-64,Age
57,2003,GBR,0.576384706729227,55-64,Age
58,2004,GBR,0.576952613853166,55-64,Age
59,2005,GBR,0.585029710546095,55-64,Age
60,2006,GBR,0.5921610073022641,55-64,Age
61,2007,GBR,0.591466407105533,55-64,Age
62,2008,GBR,0.594681304639562,55-64,Age
63,2009,GBR,0.595158583790021,55-64,Age
64,2010,GBR,0.595286837370589,55-64,Age
65,2011,GBR,0.587416589801671,55-64,Age
66,2012,GBR,0.602364129006073,55-64,Age
67,2013,GBR,0.6242370745039679,55-64,Age
68,2014,GBR,0.632317889848006,55-64,Age
69,2015,GBR,0.6415806004263971,55-64,Age
70,2016,GBR,0.6513037913623719,55-64,Age
71,2017,GBR,0.659415254875073,55-64,Age
72,2018,GBR,0.672906010201206,55-64,Age
73,2019,GBR,0.681348931947252,55-64,Age
74,2020,GBR,0.6793408310700509,55-64,Age
75,2021,GBR,0.670596992394606,55-64,Age
76,1984,GBR,0.0533487204128977,Older than 65,Age
77,1985,GBR,0.0522781271514753,Older than 65,Age
78,1986,GBR,0.0484134286942437,Older than 65,Age
79,1987,GBR,0.0479488991988742,Older than 65,Age
80,1988,GBR,0.0496689259850952,Older than 65,Age
81,1989,GBR,0.0574719341769857,Older than 65,Age
82,1990,GBR,0.0558103825166502,Older than 65,Age
83,1991,GBR,0.0539501281752504,Older than 65,Age
84,1992,GBR,0.0582580495714617,Older than 65,Age
85,1993,GBR,0.0515452029520294,Older than 65,Age
86,1994,GBR,0.0506037952846464,Older than 65,Age
87,1995,GBR,0.0526677352873826,Older than 65,Age
88,1996,GBR,0.0493841240875912,Older than 65,Age
89,1997,GBR,0.0512667857710169,Older than 65,Age
90,1998,GBR,0.0524253114180282,Older than 65,Age
91,1999,GBR,0.0533866041393269,Older than 65,Age
92,2000,GBR,0.0527499876187551,Older than 65,Age
93,2001,GBR,0.0497391195897208,Older than 65,Age
94,2002,GBR,0.0545673384676789,Older than 65,Age
95,2003,GBR,0.0583649849082906,Older than 65,Age
96,2004,GBR,0.0616940790662622,Older than 65,Age
97,2005,GBR,0.0625609639980521,Older than 65,Age
98,2006,GBR,0.0675195632329086,Older than 65,Age
99,2007,GBR,0.0701736753462017,Older than 65,Age
100,2008,GBR,0.0738914692359834,Older than 65,Age
101,2009,GBR,0.0779126434289021,Older than 65,Age
102,2010,GBR,0.0830047254994018,Older than 65,Age
103,2011,GBR,0.0864510605638752,Older than 65,Age
104,2012,GBR,0.0905986464308242,Older than 65,Age
105,2013,GBR,0.098411599397296,Older than 65,Age
106,2014,GBR,0.102432803481017,Older than 65,Age
107,2015,GBR,0.104884232763197,Older than 65,Age
108,2016,GBR,0.1054379321609959,Older than 65,Age
109,2017,GBR,0.104295833381423,Older than 65,Age
110,2018,GBR,0.106499624215119,Older than 65,Age
111,2019,GBR,0.109098324036776,Older than 65,Age
112,2020,GBR,0.108071239407544,Older than 65,Age
113,2021,GBR,0.1045699986987619,Older than 65,Age
114,1984,GBR,0.748036189855972,15-64,Age
115,1985,GBR,0.752034019043966,15-64,Age
116,1986,GBR,0.756176379535329,15-64,Age
117,1987,GBR,0.760152923357821,15-64,Age
118,1988,GBR,0.767393578273563,15-64,Age
119,1989,GBR,0.776034220427114,15-64,Age
120,1990,GBR,0.778039033383984,15-64,Age
121,1991,GBR,0.773401999394123,15-64,Age
122,1992,GBR,0.764913053048646,15-64,Age
123,1993,GBR,0.761363323514027,15-64,Age
124,1994,GBR,0.7602070313575421,15-64,Age
125,1995,GBR,0.757778999450248,15-64,Age
126,1996,GBR,0.759397877765896,15-64,Age
127,1997,GBR,0.7630886418418661,15-64,Age
128,1998,GBR,0.7581713611799841,15-64,Age
129,1999,GBR,0.762716131670783,15-64,Age
130,2000,GBR,0.76437386709414,15-64,Age
131,2001,GBR,0.762687625313556,15-64,Age
132,2002,GBR,0.763825697173032,15-64,Age
133,2003,GBR,0.764215537094994,15-64,Age
134,2004,GBR,0.7612240848191181,15-64,Age
135,2005,GBR,0.7630505869977139,15-64,Age
136,2006,GBR,0.765591999207879,15-64,Age
137,2007,GBR,0.7641597323586611,15-64,Age
138,2008,GBR,0.765302555799982,15-64,Age
139,2009,GBR,0.764953613346172,15-64,Age
140,2010,GBR,0.7599192487976759,15-64,Age
141,2011,GBR,0.760369746859026,15-64,Age
142,2012,GBR,0.766299037737847,15-64,Age
143,2013,GBR,0.770955992958696,15-64,Age
144,2014,GBR,0.771778026870684,15-64,Age
145,2015,GBR,0.7762807789124849,15-64,Age
146,2016,GBR,0.777058628929224,15-64,Age
147,2017,GBR,0.7821339634509511,15-64,Age
148,2018,GBR,0.783223348504436,15-64,Age
149,2019,GBR,0.787715091531218,15-64,Age
150,2020,GBR,0.788379243413072,15-64,Age
151,2021,GBR,0.782452742012113,15-64,Age
152,1984,GBR,0.620365977216257,Older than 15,Age
153,1985,GBR,0.621583176171431,Older than 15,Age
154,1986,GBR,0.623159996205028,Older than 15,Age
155,1987,GBR,0.6252317073663609,Older than 15,Age
156,1988,GBR,0.630962093330278,Older than 15,Age
157,1989,GBR,0.638948889422447,Older than 15,Age
158,1990,GBR,0.6401277762350049,Older than 15,Age
159,1991,GBR,0.6358675071837481,Older than 15,Age
160,1992,GBR,0.629263195339944,Older than 15,Age
161,1993,GBR,0.624558284253806,Older than 15,Age
162,1994,GBR,0.623150739704118,Older than 15,Age
163,1995,GBR,0.62127055902824,Older than 15,Age
164,1996,GBR,0.621786511638188,Older than 15,Age
165,1997,GBR,0.6254385876513789,Older than 15,Age
166,1998,GBR,0.621686539843846,Older than 15,Age
167,1999,GBR,0.625919877138597,Older than 15,Age
168,2000,GBR,0.627438523816596,Older than 15,Age
169,2001,GBR,0.625507642748922,Older than 15,Age
170,2002,GBR,0.6272762289350919,Older than 15,Age
171,2003,GBR,0.628196908494674,Older than 15,Age
172,2004,GBR,0.626459378964996,Older than 15,Age
173,2005,GBR,0.628465777869931,Older than 15,Age
174,2006,GBR,0.632052566413287,Older than 15,Age
175,2007,GBR,0.6313961181014119,Older than 15,Age
176,2008,GBR,0.632092699550817,Older than 15,Age
177,2009,GBR,0.631075647965012,Older than 15,Age
178,2010,GBR,0.626537178496723,Older than 15,Age
179,2011,GBR,0.6261086201464461,Older than 15,Age
180,2012,GBR,0.6275288787534641,Older than 15,Age
181,2013,GBR,0.629956622447448,Older than 15,Age
182,2014,GBR,0.629045790297102,Older than 15,Age
183,2015,GBR,0.631644979849578,Older than 15,Age
184,2016,GBR,0.630970085992137,Older than 15,Age
185,2017,GBR,0.633275004265623,Older than 15,Age
186,2018,GBR,0.632955215767276,Older than 15,Age
187,2019,GBR,0.635340300301119,Older than 15,Age
188,2020,GBR,0.634093888049303,Older than 15,Age
189,2021,GBR,0.6269630327928319,Older than 15,Age
190,1984,GBR,0.745701877325756,25-64,Age
191,1985,GBR,0.7484614387944301,25-64,Age
192,1986,GBR,0.750781634423366,25-64,Age
193,1987,GBR,0.756242952105574,25-64,Age
194,1988,GBR,0.764530473483555,25-64,Age
195,1989,GBR,0.7719954392926449,25-64,Age
196,1990,GBR,0.7774740688968259,25-64,Age
197,1991,GBR,0.77521633783316,25-64,Age
198,1992,GBR,0.7743814680282369,25-64,Age
199,1993,GBR,0.773065552044041,25-64,Age
200,1994,GBR,0.773456457266109,25-64,Age
201,1995,GBR,0.7711991971901659,25-64,Age
202,1996,GBR,0.770852702882189,25-64,Age
203,1997,GBR,0.7735832749622059,25-64,Age
204,1998,GBR,0.769555582456891,25-64,Age
205,1999,GBR,0.776047556081961,25-64,Age
206,2000,GBR,0.778282039033259,25-64,Age
207,2001,GBR,0.777267005466038,25-64,Age
208,2002,GBR,0.779572934507227,25-64,Age
209,2003,GBR,0.782709863676604,25-64,Age
210,2004,GBR,0.779160269210854,25-64,Age
211,2005,GBR,0.782509798057041,25-64,Age
212,2006,GBR,0.786428795861926,25-64,Age
213,2007,GBR,0.786220116370713,25-64,Age
214,2008,GBR,0.7890777570614099,25-64,Age
215,2009,GBR,0.791556366023885,25-64,Age
216,2010,GBR,0.790629305318004,25-64,Age
217,2011,GBR,0.79017640735511,25-64,Age
218,2012,GBR,0.79784853193785,25-64,Age
219,2013,GBR,0.804048197570124,25-64,Age
220,2014,GBR,0.807135374443973,25-64,Age
221,2015,GBR,0.809095358409089,25-64,Age
222,2016,GBR,0.811312303416912,25-64,Age
223,2017,GBR,0.8171102427493,25-64,Age
224,2018,GBR,0.819132624954638,25-64,Age
225,2019,GBR,0.823377227163111,25-64,Age
226,2020,GBR,0.824890849260783,25-64,Age
227,2021,GBR,0.82107251375578,25-64,Age
