Date,Mortgage Rate,house_price_change,mortgage_rate_change,Period,House Price,Unnamed: 6,Unnamed: 7
31-Jul-98,7.08,1.61,-15.25423729,1995-1999,65475.0,,
31-Aug-98,7.33,2.08,-15.55252387,1995-1999,65743.0,,
30-Sept-98,7.27,0.38,-14.44291609,1995-1999,65606.0,,
31-Oct-98,6.91,0.51,-5.933429812,1995-1999,65462.0,,
30-Nov-98,6.66,0.98,-0.900900901,1995-1999,65365.0,,
31-Dec-98,6.42,0.96,1.557632399,1995-1999,65575.0,,
31-Jan-99,5.9,0.23,14.91525424,1995-1999,65766.0,,
28-Feb-99,5.78,0.48,17.47404844,1995-1999,65522.0,,
31-Mar-99,5.64,2.36,14.36170213,1995-1999,66378.0,,
30-Apr-99,5.71,2.42,10.50788091,1995-1999,67648.0,,
31-May-99,5.72,3.06,11.71328671,1995-1999,68402.0,,
30-Jun-99,5.89,2.25,9.677419355,1995-1999,69428.0,,
31-Jul-99,6.0,2.99,6.166666667,1995-1999,70612.0,,
31-Aug-99,6.19,2.57,2.584814216,1995-1999,71699.0,,
30-Sept-99,6.22,0.96,1.446945338,1995-1999,72816.0,,
31-Oct-99,6.5,1.72,-6.923076923,1995-1999,73273.0,,
30-Nov-99,6.6,2.43,-8.181818182,1995-1999,74234.0,,
31-Dec-99,6.52,1.09,-7.515337423,1995-1999,75071.0,,
31-Jan-00,6.78,1.36,-14.74926254,2000-2004,75219.0,,
29-Feb-00,6.79,0.12,-16.05301915,2000-2004,75630.0,,
31-Mar-00,6.45,1.24,-11.9379845,2000-2004,77016.0,,
30-Apr-00,6.31,2.42,-10.77654517,2000-2004,79635.0,,
31-May-00,6.39,1.63,-11.58059468,2000-2004,80348.0,,
30-Jun-00,6.46,0.82,-11.45510836,2000-2004,81269.0,,
31-Jul-00,6.37,2.29,-7.064364207,2000-2004,82563.0,,
31-Aug-00,6.35,1.19,-12.12598425,2000-2004,83504.0,,
30-Sept-00,6.31,-0.04,-14.5800317,2000-2004,83590.0,,
31-Oct-00,6.05,1.52,-16.36363636,2000-2004,83261.0,,
30-Nov-00,6.06,0.95,-20.1320132,2000-2004,83546.0,,
31-Dec-00,6.03,1.32,-17.41293532,2000-2004,84191.0,,
31-Jan-01,5.78,0.53,-12.4567474,2000-2004,84377.0,,
28-Feb-01,5.7,0.4,-9.824561404,2000-2004,84245.0,,
31-Mar-01,5.68,1.63,-8.098591549,2000-2004,85242.0,,
30-Apr-01,5.63,3.28,-4.973357016,2000-2004,87439.0,,
31-May-01,5.65,1.95,-3.89380531,2000-2004,88719.0,,
30-Jun-01,5.72,2.27,-5.41958042,2000-2004,89980.0,,
31-Jul-01,5.92,2.09,-10.47297297,2000-2004,91430.0,,
31-Aug-01,5.58,1.3,-17.74193548,2000-2004,93331.0,,
30-Sept-01,5.39,0.3,-16.51205937,2000-2004,93682.0,,
31-Oct-01,5.06,0.07,-12.45059289,2000-2004,94161.0,,
30-Nov-01,4.84,0.61,-8.05785124,2000-2004,95083.0,,
31-Dec-01,4.98,-0.28,-7.228915663,2000-2004,95992.0,,
31-Jan-02,5.06,-0.82,-11.06719368,2000-2004,96215.0,,
28-Feb-02,5.14,0.02,-19.45525292,2000-2004,96676.0,,
31-Mar-02,5.22,0.65,-22.22222222,2000-2004,98962.0,,
30-Apr-02,5.35,1.06,-24.11214953,2000-2004,101355.0,,
31-May-02,5.43,1.07,-27.99263352,2000-2004,104458.0,,
30-Jun-02,5.41,0.62,-28.83548983,2000-2004,106811.0,,
31-Jul-02,5.3,1.03,-26.98113208,2000-2004,110001.0,,
31-Aug-02,4.59,0.41,-5.882352941,2000-2004,112832.0,,
30-Sept-02,4.5,-0.16,1.333333333,2000-2004,113914.0,,
31-Oct-02,4.43,-0.32,12.41534989,2000-2004,115879.0,,
30-Nov-02,4.45,0.4,14.60674157,2000-2004,118693.0,,
31-Dec-02,4.62,0.57,9.307359307,2000-2004,119982.0,,
31-Jan-03,4.5,-0.42,10.0,2000-2004,121610.0,,
28-Feb-03,4.14,0.21,18.11594203,2000-2004,121754.0,,
31-Mar-03,4.06,0.66,20.68965517,2000-2004,123258.0,,
30-Apr-03,4.06,1.86,25.86206897,2000-2004,126239.0,,
31-May-03,3.91,0.92,32.48081841,2000-2004,128299.0,,
30-Jun-03,3.85,0.89,43.37662338,2000-2004,129353.0,,
31-Jul-03,3.87,1.11,42.89405685,2000-2004,132318.0,,
31-Aug-03,4.32,0.82,26.62037037,2000-2004,133896.0,,
30-Sept-03,4.56,0.38,16.88596491,2000-2004,133848.0,,
31-Oct-03,4.98,0.37,6.224899598,2000-2004,135885.0,,
30-Nov-03,5.1,0.44,-0.784313725,2000-2004,137178.0,,
31-Dec-03,5.05,1.29,0.396039604,2000-2004,138985.0,,
31-Jan-04,4.95,-0.11,0.808080808,2000-2004,139719.0,,
29-Feb-04,4.89,0.32,3.680981595,2000-2004,140284.0,,
31-Mar-04,4.9,0.72,6.12244898,2000-2004,142571.0,,
30-Apr-04,5.11,1.63,0.978473581,2000-2004,147250.0,,
31-May-04,5.18,1.13,-5.212355212,2000-2004,150115.0,,
30-Jun-04,5.52,1.06,-13.58695652,2000-2004,153527.0,,
31-Jul-04,5.53,1.33,-16.99819168,2000-2004,156730.0,,
31-Aug-04,5.47,0.5,-16.63619744,2000-2004,158760.0,,
30-Sept-04,5.33,0.22,-15.19699812,2000-2004,159243.0,,
31-Oct-04,5.29,-0.03,-14.17769376,2000-2004,159358.0,,
30-Nov-04,5.06,-0.1,-6.324110672,2000-2004,160330.0,,
31-Dec-04,5.07,-0.07,-6.50887574,2000-2004,159886.0,,
31-Jan-05,4.99,-1.35,-7.414829659,2005-2009,158572.0,,
28-Feb-05,5.07,-0.88,-7.100591716,2005-2009,158609.0,,
31-Mar-05,5.2,-0.74,-9.230769231,2005-2009,159642.0,,
30-Apr-05,5.16,0.24,-7.558139535,2005-2009,161336.0,,
31-May-05,4.91,0.35,1.83299389,2005-2009,163064.0,,
30-Jun-05,4.77,-1.28,4.821802935,2005-2009,164069.0,,
31-Jul-05,4.59,-0.8,9.150326797,2005-2009,165756.0,,
31-Aug-05,4.56,-2.34,11.84210526,2005-2009,166440.0,,
30-Sept-05,4.52,-2.35,12.83185841,2005-2009,166168.0,,
31-Oct-05,4.54,-2.25,9.911894273,2005-2009,165637.0,,
30-Nov-05,4.74,-2.9,9.70464135,2005-2009,166303.0,,
31-Dec-05,4.74,-1.45,8.64978903,2005-2009,167244.0,,
31-Jan-06,4.62,-1.88,15.15151515,2005-2009,166544.0,,
28-Feb-06,4.71,-1.06,15.92356688,2005-2009,166896.0,,
31-Mar-06,4.72,-1.0,17.58474576,2005-2009,168001.0,,
30-Apr-06,4.77,0.85,17.8197065,2005-2009,171129.0,,
31-May-06,5.0,1.27,14.0,2005-2009,172699.0,,
30-Jun-06,5.0,1.1,19.6,2005-2009,174231.0,,
31-Jul-06,5.01,1.91,21.15768463,2005-2009,176164.0,,
31-Aug-06,5.1,1.15,19.80392157,2005-2009,177603.0,,
30-Sept-06,5.1,0.95,18.62745098,2005-2009,178275.0,,
31-Oct-06,4.99,0.64,22.44488978,2005-2009,178927.0,,
30-Nov-06,5.2,0.29,17.11538462,2005-2009,179718.0,,
31-Dec-06,5.15,0.76,17.66990291,2005-2009,182031.0,,
31-Jan-07,5.32,0.18,12.21804511,2005-2009,181824.0,,
28-Feb-07,5.46,0.45,5.128205128,2005-2009,182397.0,,
31-Mar-07,5.55,-0.28,4.504504505,2005-2009,183712.0,,
30-Apr-07,5.62,1.16,7.829181495,2005-2009,186711.0,,
31-May-07,5.7,0.54,9.824561404,2005-2009,188814.0,,
30-Jun-07,5.98,0.51,10.36789298,2005-2009,190822.0,,
31-Jul-07,6.07,1.04,4.612850082,2005-2009,193360.0,,
31-Aug-07,6.11,0.16,-0.490998363,2005-2009,194328.0,,
30-Sept-07,6.05,-0.32,-1.487603306,2005-2009,194764.0,,
31-Oct-07,6.11,-1.18,-4.582651391,2005-2009,194700.0,,
30-Nov-07,6.09,-1.01,-16.25615764,2005-2009,194502.0,,
31-Dec-07,6.06,-0.15,-21.28712871,2005-2009,194373.0,,
31-Jan-08,5.97,-0.91,-27.13567839,2005-2009,191750.0,,
29-Feb-08,5.74,-0.36,-24.21602787,2005-2009,190066.0,,
31-Mar-08,5.8,-0.44,-31.37931034,2005-2009,188657.0,,
30-Apr-08,6.06,1.41,-33.66336634,2005-2009,189115.0,,
31-May-08,6.26,-0.47,-36.42172524,2005-2009,189777.0,,
30-Jun-08,6.6,0.1,-32.57575758,2005-2009,187350.0,,
31-Jul-08,6.35,1.33,-30.39370079,2005-2009,185844.0,,
31-Aug-08,6.08,0.1,-27.13815789,2005-2009,181494.0,,
30-Sept-08,5.96,-0.31,-25.0,2005-2009,177232.0,,
31-Oct-08,5.83,-0.91,-25.90051458,2005-2009,173249.0,,
30-Nov-08,5.1,0.02,-19.60784314,2005-2009,168230.0,,
31-Dec-08,4.77,-0.22,-15.09433962,2005-2009,165795.0,,
31-Jan-09,4.35,-0.36,-8.735632184,2005-2009,162673.0,,
28-Feb-09,4.35,-0.01,-10.8045977,2005-2009,160956.0,,
31-Mar-09,3.98,0.09,-1.507537688,2005-2009,159340.0,,
30-Apr-09,4.02,1.27,-4.975124378,2005-2009,160701.0,,
31-May-09,3.98,0.27,-5.025125628,2005-2009,162740.0,,
30-Jun-09,4.45,0.94,-17.52808989,2005-2009,164536.0,,
31-Jul-09,4.42,0.59,-14.70588235,2005-2009,167673.0,,
31-Aug-09,4.43,0.21,-15.57562077,2005-2009,169603.0,,
30-Sept-09,4.47,-0.31,-14.98881432,2005-2009,171214.0,,
31-Oct-09,4.32,-0.64,-14.81481481,2005-2009,172314.0,,
30-Nov-09,4.1,0.14,-13.90243902,2005-2009,172818.0,,
31-Dec-09,4.05,-0.14,-13.58024691,2005-2009,174136.0,,
31-Jan-10,3.97,-0.89,-6.801007557,2010-2014,174458.0,,
28-Feb-10,3.88,0.22,-4.639175258,2010-2014,175248.0,,
31-Mar-10,3.92,0.56,-6.12244898,2010-2014,174765.0,,
30-Apr-10,3.82,0.96,-4.188481675,2010-2014,176796.0,,
31-May-10,3.78,0.4,-7.142857143,2010-2014,177754.0,,
30-Jun-10,3.67,0.81,-8.446866485,2010-2014,178655.0,,
31-Jul-10,3.77,1.2,-16.71087533,2010-2014,180519.0,,
31-Aug-10,3.74,0.74,-19.78609626,2010-2014,180807.0,,
30-Sept-10,3.8,0.24,-23.15789474,2010-2014,180231.0,,
31-Oct-10,3.68,-0.39,-17.39130435,2010-2014,178102.0,,
30-Nov-10,3.53,0.49,-11.04815864,2010-2014,176301.0,,
31-Dec-10,3.5,1.23,-8.0,2010-2014,176036.0,,
31-Jan-11,3.7,-0.15,-11.62162162,2010-2014,174442.0,,
28-Feb-11,3.7,0.57,-8.918918919,2010-2014,173811.0,,
31-Mar-11,3.68,0.36,-6.52173913,2010-2014,173046.0,,
30-Apr-11,3.66,2.22,0.0,2010-2014,175490.0,,
31-May-11,3.51,0.99,4.843304843,2010-2014,174668.0,,
30-Jun-11,3.36,0.91,11.30952381,2010-2014,174838.0,,
31-Jul-11,3.14,1.45,16.87898089,2010-2014,177164.0,,
31-Aug-11,3.0,1.28,23.0,2010-2014,177335.0,,
30-Sept-11,2.92,0.11,25.68493151,2010-2014,176783.0,,
31-Oct-11,3.04,-0.16,14.80263158,2010-2014,175171.0,,
30-Nov-11,3.14,-0.3,9.23566879,2010-2014,175200.0,,
31-Dec-11,3.22,0.32,4.037267081,2010-2014,174812.0,,
31-Jan-12,3.27,-0.24,-4.892966361,2010-2014,174179.0,,
29-Feb-12,3.37,0.28,-13.35311573,2010-2014,174161.0,,
31-Mar-12,3.44,-0.03,-15.69767442,2010-2014,174323.0,,
30-Apr-12,3.66,1.27,-21.58469945,2010-2014,176543.0,,
31-May-12,3.68,1.13,-26.90217391,2010-2014,177026.0,,
30-Jun-12,3.74,0.77,-29.67914439,2010-2014,178696.0,,
31-Jul-12,3.67,1.74,-28.61035422,2010-2014,179756.0,,
31-Aug-12,3.69,1.05,-30.08130081,2010-2014,180129.0,,
30-Sept-12,3.67,0.28,-30.79019074,2010-2014,179563.0,,
31-Oct-12,3.49,0.15,-28.93982808,2010-2014,178412.0,,
30-Nov-12,3.43,0.84,-28.86297376,2010-2014,178662.0,,
31-Dec-12,3.35,0.5,-28.35820896,2010-2014,178406.0,,
31-Jan-13,3.11,0.35,-23.79421222,2010-2014,176816.0,,
28-Feb-13,2.92,0.12,-18.49315068,2010-2014,177203.0,,
31-Mar-13,2.9,0.92,-18.27586207,2010-2014,178189.0,,
30-Apr-13,2.87,0.5,-11.49825784,2010-2014,179900.0,,
31-May-13,2.69,1.16,-4.832713755,2010-2014,180621.0,,
30-Jun-13,2.63,0.91,-1.140684411,2010-2014,182088.0,,
31-Jul-13,2.62,1.07,-3.053435115,2010-2014,184274.0,,
31-Aug-13,2.58,0.13,-1.550387597,2010-2014,185642.0,,
30-Sept-13,2.54,-0.14,-3.149606299,2010-2014,186082.0,,
31-Oct-13,2.48,-0.39,-10.88709677,2010-2014,185358.0,,
30-Nov-13,2.44,0.48,-11.06557377,2010-2014,186260.0,,
31-Dec-13,2.4,0.38,-13.33333333,2010-2014,188544.0,,
31-Jan-14,2.37,-0.14,-15.18987342,2010-2014,188265.0,,
28-Feb-14,2.38,0.48,-17.64705882,2010-2014,189347.0,,
31-Mar-14,2.37,-0.4,-16.03375527,2010-2014,190037.0,,
30-Apr-14,2.54,1.41,-23.22834646,2010-2014,194251.0,,
31-May-14,2.56,0.73,-25.78125,2010-2014,196171.0,,
30-Jun-14,2.6,0.79,-29.61538462,2010-2014,197951.0,,
31-Jul-14,2.54,1.18,-26.37795276,2010-2014,200825.0,,
31-Aug-14,2.54,0.51,-23.22834646,2010-2014,203406.0,,
30-Sept-14,2.46,-0.24,-22.35772358,2010-2014,203639.0,,
31-Oct-14,2.21,-0.02,-15.38461538,2010-2014,203311.0,,
30-Nov-14,2.17,-0.38,-11.52073733,2010-2014,202704.0,,
31-Dec-14,2.08,0.54,-8.653846154,2010-2014,203346.0,,
31-Jan-15,2.01,-0.54,-3.980099502,2015-2019,202856.0,,
28-Feb-15,1.96,0.39,-0.510204082,2015-2019,203424.0,,
31-Mar-15,1.99,-0.65,-4.522613065,2015-2019,203360.0,,
30-Apr-15,1.95,0.82,-5.641025641,2015-2019,205936.0,,
31-May-15,1.9,0.43,0.526315789,2015-2019,208265.0,,
30-Jun-15,1.83,0.62,-4.371584699,2015-2019,209874.0,,
31-Jul-15,1.87,1.23,-8.021390374,2015-2019,213518.0,,
31-Aug-15,1.95,0.26,-13.33333333,2015-2019,215756.0,,
30-Sept-15,1.91,-0.15,-16.7539267,2015-2019,216350.0,,
31-Oct-15,1.87,-0.2,-18.71657754,2015-2019,216676.0,,
30-Nov-15,1.92,-0.33,-25.52083333,2015-2019,218500.0,,
31-Dec-15,1.9,-0.23,-23.68421053,2015-2019,219582.0,,
31-Jan-16,1.93,-0.71,-24.87046632,2015-2019,220361.0,,
29-Feb-16,1.95,-0.09,-27.17948718,2015-2019,220627.0,,
31-Mar-16,1.9,-0.59,-27.89473684,2015-2019,222663.0,,
30-Apr-16,1.84,0.69,-26.63043478,2015-2019,223784.0,,
31-May-16,1.91,0.11,-21.9895288,2015-2019,226370.0,,
30-Jun-16,1.75,0.37,-15.42857143,2015-2019,228430.0,,
31-Jul-16,1.72,1.07,-18.02325581,2015-2019,230868.0,,
31-Aug-16,1.69,0.3,-15.38461538,2015-2019,231176.0,,
30-Sept-16,1.59,0.17,-11.94968553,2015-2019,230848.0,,
31-Oct-16,1.52,-0.32,1.973684211,2015-2019,229944.0,,
30-Nov-16,1.43,-0.39,12.58741259,2015-2019,231053.0,,
31-Dec-16,1.45,0.09,8.275862069,2015-2019,231922.0,,
31-Jan-17,1.45,-0.08,6.206896552,2015-2019,231593.0,,
28-Feb-17,1.42,-0.47,4.929577465,2015-2019,232696.0,,
31-Mar-17,1.37,0.97,11.67883212,2015-2019,231760.0,,
30-Apr-17,1.35,-1.08,27.40740741,2015-2019,235021.0,,
31-May-17,1.49,0.44,16.77852349,2015-2019,236727.0,,
30-Jun-17,1.48,1.31,17.56756757,2015-2019,238595.0,,
31-Jul-17,1.41,0.99,24.11347518,2015-2019,241406.0,,
31-Aug-17,1.43,1.02,22.37762238,2015-2019,242628.0,,
30-Sept-17,1.4,0.92,22.14285714,2015-2019,242041.0,,
31-Oct-17,1.55,0.56,16.12903226,2015-2019,242003.0,,
30-Nov-17,1.61,1.09,8.695652174,2015-2019,241086.0,,
31-Dec-17,1.57,0.98,10.1910828,2015-2019,242378.0,,
31-Jan-18,1.54,0.61,11.68831169,2015-2019,241061.0,,
28-Feb-18,1.49,0.23,14.09395973,2015-2019,241989.0,,
31-Mar-18,1.53,1.29,11.11111111,2015-2019,240428.0,,
30-Apr-18,1.72,-1.16,-3.488372093,2015-2019,242396.0,,
31-May-18,1.74,-0.08,-5.172413793,2015-2019,243445.0,,
30-Jun-18,1.74,6.34,-5.747126437,2015-2019,244962.0,,
31-Jul-18,1.75,-5.81,-8.0,2015-2019,247981.0,,
31-Aug-18,1.75,3.25,-9.142857143,2015-2019,248620.0,,
30-Sept-18,1.71,3.75,-9.356725146,2015-2019,248248.0,,
31-Oct-18,1.8,-2.63,-18.33333333,2015-2019,247757.0,,
30-Nov-18,1.75,1.81,-19.42857143,2015-2019,246940.0,,
31-Dec-18,1.73,0.67,-17.91907514,2015-2019,246380.0,,
31-Jan-19,1.72,1.57,-18.02325581,2015-2019,244641.0,,
28-Feb-19,1.7,0.44,-17.64705882,2015-2019,244427.0,,
31-Mar-19,1.7,0.59,-17.64705882,2015-2019,242982.0,,
30-Apr-19,1.66,0.75,-16.86746988,2015-2019,244662.0,,
31-May-19,1.65,1.33,-13.93939394,2015-2019,244928.0,,
30-Jun-19,1.64,1.01,-14.02439024,2015-2019,245846.0,,
31-Jul-19,1.61,2.07,-9.937888199,2015-2019,248468.0,,
31-Aug-19,1.59,1.42,0.628930818,2015-2019,249221.0,,
30-Sept-19,1.55,0.58,12.90322581,2015-2019,249637.0,,
31-Oct-19,1.47,0.23,31.97278912,2015-2019,248842.0,,
30-Nov-19,1.41,,,2015-2019,247867.0,,
31-Dec-19,1.42,,,2015-2019,248097.0,,
31-Jan-20,1.41,,,2020-2022,247898.0,,
29-Feb-20,1.4,,,2020-2022,246739.0,,
31-Mar-20,1.4,,,2020-2022,249121.0,,
30-Apr-20,1.38,,,2020-2022,246424.0,,
31-May-20,1.42,,,2020-2022,247499.0,,
30-Jun-20,1.41,,,2020-2022,250739.0,,
31-Jul-20,1.45,,,2020-2022,253226.0,,
31-Aug-20,1.6,,,2020-2022,255802.0,,
30-Sept-20,1.75,,,2020-2022,258155.0,,
31-Oct-20,1.94,,,2020-2022,259592.0,,
30-Nov-20,1.92,,,2020-2022,262409.0,,
31-Dec-20,1.86,,,2020-2022,264971.0,,
31-Jan-21,1.75,,,2020-2022,266588.0,,
28-Feb-21,1.61,,,2020-2022,267192.0,,
31-Mar-21,1.56,,,2020-2022,270627.0,,
30-Apr-21,1.49,,,2020-2022,267500.0,,
31-May-21,1.47,,,2020-2022,267295.0,,
30-Jun-21,1.39,,,2020-2022,284252.0,,
31-Jul-21,1.29,,,2020-2022,267745.0,,
31-Aug-21,1.23,,,2020-2022,276457.0,,
30-Sept-21,1.2,,,2020-2022,286832.0,,
31-Oct-21,1.29,,,2020-2022,279281.0,,
30-Nov-21,1.53,,,2020-2022,284326.0,,
31-Dec-21,1.57,,,2020-2022,286235.0,,
31-Jan-22,1.64,,,2020-2022,290724.0,,
28-Feb-22,1.78,,,2020-2022,292005.0,,
31-Mar-22,2.14,,,2020-2022,293721.0,,
30-Apr-22,2.35,,,2020-2022,295928.0,,
31-May-22,2.63,,,2020-2022,299851.0,,
30-Jun-22,2.87,,,2020-2022,302869.0,,
31-Jul-22,3.48,,,2020-2022,309139.0,,
31-Aug-22,3.6,,,2020-2022,313526.0,,
30-Sept-22,4.17,,,2020-2022,315355.0,,
31-Oct-22,6.0,,,2020-2022,316073.0,,
,,,,,,,
