Time,Country,Type,Value,Value2,Value = cumulative installed capacity at the end of the year in MW,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2016,Scotland,Wind,6477.98,163.792576,,,,,,
2017,Scotland,Wind,7578.05,191.6073113,,,,,,
2018,Scotland,Wind,8473.75,214.2546505,,,,,,
2019,Scotland,Wind,9196.95,232.540411,,,,,,
2020,Scotland,Wind,9247.59,233.8208188,,,,,,
2008,Scotland,Solar,0.0,0.0,,,,,,
2009,Scotland,Solar,0.0,0.0,,,,,,
2010,Scotland,Solar,2.0,2.111040743,,,,,,
2011,Scotland,Solar,48.32,51.00274435,,,,,,
2012,Scotland,Solar,94.74,100.0,,,,,,
2013,Scotland,Solar,132.74,140.1097741,,,,,,
2014,Scotland,Solar,174.96,184.6738442,,,,,,
2015,Scotland,Solar,264.06,278.7207093,,,,,,
2016,Scotland,Solar,325.77,343.8568714,,,,,,
2017,Scotland,Solar,342.97,362.0118218,,,,,,
2018,Scotland,Solar,359.57,379.53346,,,,,,
2019,Scotland,Solar,364.84,385.0960524,,,,,,
2020,Scotland,Solar,378.61,399.6305679,,,,,,
2008,Scotland,Hydro,1442.0,96.33756898,,,,,,
2009,Scotland,Hydro,1450.0,96.87203538,,,,,,
2010,Scotland,Hydro,1454.0,97.13926858,,,,,,
2011,Scotland,Hydro,1485.11,99.2176748,,,,,,
2012,Scotland,Hydro,1496.82,100.0,,,,,,
2013,Scotland,Hydro,1509.71,100.861159,,,,,,
2014,Scotland,Hydro,1527.73,102.0650446,,,,,,
2015,Scotland,Hydro,1571.44,104.9852354,,,,,,
2016,Scotland,Hydro,1626.79,108.6830748,,,,,,
2017,Scotland,Hydro,1648.68,110.1455085,,,,,,
2018,Scotland,Hydro,1652.8,110.4207587,,,,,,
2019,Scotland,Hydro,1653.49,110.4668564,,,,,,
2020,Scotland,Hydro,1652.79,110.4200906,,,,,,
2008,Wales,Wind,375.0,58.24609363,,,,,,
2009,Wales,Wind,533.0,82.78711441,,,,,,
2010,Wales,Wind,538.0,83.56372899,,,,,,
2011,Wales,Wind,578.9,89.91643627,,,,,,
2012,Wales,Wind,643.82,100.0,,,,,,
2013,Wales,Wind,769.61,119.5380696,,,,,,
2014,Wales,Wind,1185.78,184.1788077,,,,,,
2015,Wales,Wind,1370.09,212.8063745,,,,,,
2016,Wales,Wind,1555.22,241.561306,,,,,,
2017,Wales,Wind,1743.75,270.8443354,,,,,,
2018,Wales,Wind,1858.49,288.6660868,,,,,,
2019,Wales,Wind,1997.58,310.2699512,,,,,,
2020,Wales,Wind,2037.57,316.4813147,,,,,,
2008,Wales,Solar,0.0,0.0,,,,,,
2009,Wales,Solar,0.0,0.0,,,,,,
2010,Wales,Solar,3.0,2.658160553,,,,,,
2011,Wales,Solar,62.33,55.22771575,,,,,,
2012,Wales,Solar,112.86,100.0,,,,,,
2013,Wales,Solar,155.01,137.3471558,,,,,,
2014,Wales,Solar,382.76,339.1458444,,,,,,
2015,Wales,Solar,682.8,604.9973418,,,,,,
2016,Wales,Solar,951.27,842.8761297,,,,,,
2017,Wales,Solar,1044.57,925.5449229,,,,,,
2018,Wales,Solar,1090.71,966.4274322,,,,,,
2019,Wales,Solar,1092.18,967.7299309,,,,,,
2020,Wales,Solar,1120.66,992.9647351,,,,,,
2008,Wales,Hydro,147.0,94.15230897,,,,,,
2009,Wales,Hydro,149.0,95.43329277,,,,,,
2010,Wales,Hydro,149.0,95.43329277,,,,,,
2011,Wales,Hydro,155.54,99.62210978,,,,,,
2012,Wales,Hydro,156.13,100.0,,,,,,
2013,Wales,Hydro,158.16,101.3001986,,,,,,
2014,Wales,Hydro,159.39,102.0880036,,,,,,
2015,Wales,Hydro,161.06,103.1576251,,,,,,
2016,Wales,Hydro,161.01,103.1256005,,,,,,
2017,Wales,Hydro,168.15,107.6987126,,,,,,
2018,Wales,Hydro,169.53,108.5825914,,,,,,
2019,Wales,Hydro,169.7,108.6914751,,,,,,
2020,Wales,Hydro,167.44,107.2439634,,,,,,
