date,Date,CDID,Value,Value_s,series,frequency,year
1994 OCT,1994-10-15,D7G7,1.5,1.5,CPI,monthly,1994
1994 OCT,1994-10-15,L55O,1.8,1.8,CPIH,monthly,1994
1994 SEP,1994-9-15,CZBH,2.2,2.2,RPI,monthly,1994
1994 SEP,1994-9-15,D7G7,1.5,1.5,CPI,monthly,1994
1994 SEP,1994-9-15,L55O,1.9,1.9,CPIH,monthly,1994
1995 APR,1995-4-15,CZBH,3.3,3.3,RPI,monthly,1995
1995 APR,1995-4-15,D7G7,2.3,2.3,CPI,monthly,1995
1995 APR,1995-4-15,L55O,2.3,2.3,CPIH,monthly,1995
1995 AUG,1995-8-15,CZBH,3.6,3.6,RPI,monthly,1995
1995 AUG,1995-8-15,D7G7,2.6,2.6,CPI,monthly,1995
1995 AUG,1995-8-15,L55O,2.7,2.7,CPIH,monthly,1995
1995 DEC,1995-12-15,CZBH,3.2,3.2,RPI,monthly,1995
1995 DEC,1995-12-15,D7G7,3.0,3.0,CPI,monthly,1995
1995 DEC,1995-12-15,L55O,3.1,3.1,CPIH,monthly,1995
1995 FEB,1995-2-15,CZBH,3.4,3.4,RPI,monthly,1995
1995 FEB,1995-2-15,D7G7,2.4,2.4,CPI,monthly,1995
1995 FEB,1995-2-15,L55O,2.3,2.3,CPIH,monthly,1995
1995 JAN,1995-1-15,CZBH,3.3,3.3,RPI,monthly,1995
1995 JAN,1995-1-15,D7G7,2.4,2.4,CPI,monthly,1995
1995 JAN,1995-1-15,L55O,2.4,2.4,CPIH,monthly,1995
1995 JUL,1995-7-15,CZBH,3.5,3.5,RPI,monthly,1995
1995 JUL,1995-7-15,D7G7,2.7,2.7,CPI,monthly,1995
1995 JUL,1995-7-15,L55O,2.8,2.8,CPIH,monthly,1995
1995 JUN,1995-6-15,CZBH,3.5,3.5,RPI,monthly,1995
1995 JUN,1995-6-15,D7G7,2.6,2.6,CPI,monthly,1995
1995 JUN,1995-6-15,L55O,2.7,2.7,CPIH,monthly,1995
1995 MAR,1995-3-15,CZBH,3.5,3.5,RPI,monthly,1995
1995 MAR,1995-3-15,D7G7,2.6,2.6,CPI,monthly,1995
1995 MAR,1995-3-15,L55O,2.4,2.4,CPIH,monthly,1995
1995 MAY,1995-5-15,CZBH,3.4,3.4,RPI,monthly,1995
1995 MAY,1995-5-15,D7G7,2.5,2.5,CPI,monthly,1995
1995 MAY,1995-5-15,L55O,2.6,2.6,CPIH,monthly,1995
1995 NOV,1995-11-15,CZBH,3.1,3.1,RPI,monthly,1995
1995 NOV,1995-11-15,D7G7,2.8,2.8,CPI,monthly,1995
1995 NOV,1995-11-15,L55O,2.9,2.9,CPIH,monthly,1995
1995 OCT,1995-10-15,CZBH,3.2,3.2,RPI,monthly,1995
1995 OCT,1995-10-15,D7G7,2.9,2.9,CPI,monthly,1995
1995 OCT,1995-10-15,L55O,3.0,3.0,CPIH,monthly,1995
1995 SEP,1995-9-15,CZBH,3.9,3.9,RPI,monthly,1995
1995 SEP,1995-9-15,D7G7,3.0,3.0,CPI,monthly,1995
1995 SEP,1995-9-15,L55O,3.0,3.0,CPIH,monthly,1995
1996 APR,1996-4-15,CZBH,2.4,2.4,RPI,monthly,1996
1996 APR,1996-4-15,D7G7,2.5,2.5,CPI,monthly,1996
1996 APR,1996-4-15,L55O,2.8,2.8,CPIH,monthly,1996
1996 AUG,1996-8-15,CZBH,2.1,2.1,RPI,monthly,1996
1996 AUG,1996-8-15,D7G7,2.3,2.3,CPI,monthly,1996
1996 AUG,1996-8-15,L55O,2.7,2.7,CPIH,monthly,1996
1996 DEC,1996-12-15,CZBH,2.5,2.5,RPI,monthly,1996
1996 DEC,1996-12-15,D7G7,2.3,2.3,CPI,monthly,1996
1996 DEC,1996-12-15,L55O,2.8,2.8,CPIH,monthly,1996
1996 FEB,1996-2-15,CZBH,2.7,2.7,RPI,monthly,1996
1996 FEB,1996-2-15,D7G7,2.7,2.7,CPI,monthly,1996
1996 FEB,1996-2-15,L55O,3.0,3.0,CPIH,monthly,1996
1996 JAN,1996-1-15,CZBH,2.9,2.9,RPI,monthly,1996
1996 JAN,1996-1-15,D7G7,2.6,2.6,CPI,monthly,1996
1996 JAN,1996-1-15,L55O,2.9,2.9,CPIH,monthly,1996
1996 JUL,1996-7-15,CZBH,2.2,2.2,RPI,monthly,1996
1996 JUL,1996-7-15,D7G7,2.2,2.2,CPI,monthly,1996
1996 JUL,1996-7-15,L55O,2.7,2.7,CPIH,monthly,1996
1996 JUN,1996-6-15,CZBH,2.1,2.1,RPI,monthly,1996
1996 JUN,1996-6-15,D7G7,2.3,2.3,CPI,monthly,1996
1996 JUN,1996-6-15,L55O,2.8,2.8,CPIH,monthly,1996
1996 MAR,1996-3-15,CZBH,2.7,2.7,RPI,monthly,1996
1996 MAR,1996-3-15,D7G7,2.6,2.6,CPI,monthly,1996
1996 MAR,1996-3-15,L55O,3.0,3.0,CPIH,monthly,1996
1996 MAY,1996-5-15,CZBH,2.2,2.2,RPI,monthly,1996
1996 MAY,1996-5-15,D7G7,2.3,2.3,CPI,monthly,1996
1996 MAY,1996-5-15,L55O,2.8,2.8,CPIH,monthly,1996
1996 NOV,1996-11-15,CZBH,2.7,2.7,RPI,monthly,1996
1996 NOV,1996-11-15,D7G7,2.6,2.6,CPI,monthly,1996
1996 NOV,1996-11-15,L55O,3.1,3.1,CPIH,monthly,1996
1996 OCT,1996-10-15,CZBH,2.7,2.7,RPI,monthly,1996
1996 OCT,1996-10-15,D7G7,2.5,2.5,CPI,monthly,1996
1996 OCT,1996-10-15,L55O,3.0,3.0,CPIH,monthly,1996
1996 SEP,1996-9-15,CZBH,2.1,2.1,RPI,monthly,1996
1996 SEP,1996-9-15,D7G7,2.3,2.3,CPI,monthly,1996
1996 SEP,1996-9-15,L55O,2.7,2.7,CPIH,monthly,1996
1997 APR,1997-4-15,CZBH,2.4,2.4,RPI,monthly,1997
1997 APR,1997-4-15,D7G7,1.6,1.6,CPI,monthly,1997
1997 APR,1997-4-15,L55O,2.1,2.1,CPIH,monthly,1997
1997 AUG,1997-8-15,CZBH,3.5,3.5,RPI,monthly,1997
1997 AUG,1997-8-15,D7G7,2.0,2.0,CPI,monthly,1997
1997 AUG,1997-8-15,L55O,2.3,2.3,CPIH,monthly,1997
1997 DEC,1997-12-15,CZBH,3.6,3.6,RPI,monthly,1997
1997 DEC,1997-12-15,D7G7,1.7,1.7,CPI,monthly,1997
1997 DEC,1997-12-15,L55O,1.9,1.9,CPIH,monthly,1997
1997 FEB,1997-2-15,CZBH,2.7,2.7,RPI,monthly,1997
1997 FEB,1997-2-15,D7G7,1.9,1.9,CPI,monthly,1997
1997 FEB,1997-2-15,L55O,2.4,2.4,CPIH,monthly,1997
1997 JAN,1997-1-15,CZBH,2.8,2.8,RPI,monthly,1997
1997 JAN,1997-1-15,D7G7,2.1,2.1,CPI,monthly,1997
1997 JAN,1997-1-15,L55O,2.6,2.6,CPIH,monthly,1997
1997 JUL,1997-7-15,CZBH,3.3,3.3,RPI,monthly,1997
1997 JUL,1997-7-15,D7G7,2.0,2.0,CPI,monthly,1997
1997 JUL,1997-7-15,L55O,2.4,2.4,CPIH,monthly,1997
1997 JUN,1997-6-15,CZBH,2.9,2.9,RPI,monthly,1997
1997 JUN,1997-6-15,D7G7,1.7,1.7,CPI,monthly,1997
1997 JUN,1997-6-15,L55O,2.1,2.1,CPIH,monthly,1997
1997 MAR,1997-3-15,CZBH,2.6,2.6,RPI,monthly,1997
1997 MAR,1997-3-15,D7G7,1.7,1.7,CPI,monthly,1997
1997 MAR,1997-3-15,L55O,2.2,2.2,CPIH,monthly,1997
1997 MAY,1997-5-15,CZBH,2.6,2.6,RPI,monthly,1997
1997 MAY,1997-5-15,D7G7,1.6,1.6,CPI,monthly,1997
1997 MAY,1997-5-15,L55O,2.1,2.1,CPIH,monthly,1997
1997 NOV,1997-11-15,CZBH,3.7,3.7,RPI,monthly,1997
1997 NOV,1997-11-15,D7G7,1.9,1.9,CPI,monthly,1997
1997 NOV,1997-11-15,L55O,2.1,2.1,CPIH,monthly,1997
1997 OCT,1997-10-15,CZBH,3.7,3.7,RPI,monthly,1997
1997 OCT,1997-10-15,D7G7,1.9,1.9,CPI,monthly,1997
1997 OCT,1997-10-15,L55O,2.2,2.2,CPIH,monthly,1997
1997 SEP,1997-9-15,CZBH,3.6,3.6,RPI,monthly,1997
1997 SEP,1997-9-15,D7G7,1.8,1.8,CPI,monthly,1997
1997 SEP,1997-9-15,L55O,2.2,2.2,CPIH,monthly,1997
1998 APR,1998-4-15,CZBH,4.0,4.0,RPI,monthly,1998
1998 APR,1998-4-15,D7G7,1.8,1.8,CPI,monthly,1998
1998 APR,1998-4-15,L55O,2.1,2.1,CPIH,monthly,1998
1998 AUG,1998-8-15,CZBH,3.3,3.3,RPI,monthly,1998
1998 AUG,1998-8-15,D7G7,1.3,1.3,CPI,monthly,1998
1998 AUG,1998-8-15,L55O,1.6,1.6,CPIH,monthly,1998
1998 DEC,1998-12-15,CZBH,2.8,2.8,RPI,monthly,1998
1998 DEC,1998-12-15,D7G7,1.6,1.6,CPI,monthly,1998
1998 DEC,1998-12-15,L55O,1.9,1.9,CPIH,monthly,1998
1998 FEB,1998-2-15,CZBH,3.4,3.4,RPI,monthly,1998
1998 FEB,1998-2-15,D7G7,1.6,1.6,CPI,monthly,1998
1998 FEB,1998-2-15,L55O,1.8,1.8,CPIH,monthly,1998
1998 JAN,1998-1-15,CZBH,3.3,3.3,RPI,monthly,1998
1998 JAN,1998-1-15,D7G7,1.5,1.5,CPI,monthly,1998
1998 JAN,1998-1-15,L55O,1.8,1.8,CPIH,monthly,1998
1998 JUL,1998-7-15,CZBH,3.5,3.5,RPI,monthly,1998
1998 JUL,1998-7-15,D7G7,1.4,1.4,CPI,monthly,1998
1998 JUL,1998-7-15,L55O,1.7,1.7,CPIH,monthly,1998
1998 JUN,1998-6-15,CZBH,3.7,3.7,RPI,monthly,1998
1998 JUN,1998-6-15,D7G7,1.7,1.7,CPI,monthly,1998
1998 JUN,1998-6-15,L55O,1.9,1.9,CPIH,monthly,1998
1998 MAR,1998-3-15,CZBH,3.5,3.5,RPI,monthly,1998
1998 MAR,1998-3-15,D7G7,1.7,1.7,CPI,monthly,1998
1998 MAR,1998-3-15,L55O,1.9,1.9,CPIH,monthly,1998
1998 MAY,1998-5-15,CZBH,4.2,4.2,RPI,monthly,1998
1998 MAY,1998-5-15,D7G7,2.0,2.0,CPI,monthly,1998
1998 MAY,1998-5-15,L55O,2.2,2.2,CPIH,monthly,1998
1998 NOV,1998-11-15,CZBH,3.0,3.0,RPI,monthly,1998
1998 NOV,1998-11-15,D7G7,1.4,1.4,CPI,monthly,1998
1998 NOV,1998-11-15,L55O,1.7,1.7,CPIH,monthly,1998
1998 OCT,1998-10-15,CZBH,3.1,3.1,RPI,monthly,1998
1998 OCT,1998-10-15,D7G7,1.4,1.4,CPI,monthly,1998
1998 OCT,1998-10-15,L55O,1.6,1.6,CPIH,monthly,1998
1998 SEP,1998-9-15,CZBH,3.2,3.2,RPI,monthly,1998
1998 SEP,1998-9-15,D7G7,1.4,1.4,CPI,monthly,1998
1998 SEP,1998-9-15,L55O,1.7,1.7,CPIH,monthly,1998
1999 APR,1999-4-15,CZBH,1.6,1.6,RPI,monthly,1999
1999 APR,1999-4-15,D7G7,1.5,1.5,CPI,monthly,1999
1999 APR,1999-4-15,L55O,2.0,2.0,CPIH,monthly,1999
1999 AUG,1999-8-15,CZBH,1.1,1.1,RPI,monthly,1999
1999 AUG,1999-8-15,D7G7,1.2,1.2,CPI,monthly,1999
1999 AUG,1999-8-15,L55O,1.6,1.6,CPIH,monthly,1999
1999 DEC,1999-12-15,CZBH,1.8,1.8,RPI,monthly,1999
