data,ultima_atualizacao,municipio,codigoIBGE,mesorregiao,microrregiao,semanaEpidemiologica,populacao,confirmadosPorDia,confirmadosAcumulados,obitosPorDia,ObitosAcumulados,letalidade,confirmadosPor100MilHabitantes,obitosPor100MilHabitantes,recuperadosPorDia,recuperadosAcumulados,suspeitosPorDia,suspeitosAcumulados,descartadosPorDia,descartadosAcumulados,testesPorDia,testesAcumulados,pessoasTratamentoPorDia,pessoasTratamentoAcumuladas,internacoesPorDia,internacoesAcumuladas,pessoasIsolamentoPorDia,pessoasIsolamentoAcumuladas,utiDisponiveis,utiOcupadas,utiTotal,enfermariaDisponiveis,enfermariaOcupadas,enfermariaTotal,leitosDisponiveisTotal,leitosOcupadosTotal,leitosTotal
2020-05-27,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,89,1025,3,25,0.024390244,266.0865547,6.489915969,217,359,401,889,856,1546,945,2571,,,,,,,,,,,,,,,
2020-05-28,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,155,1180,3,28,0.023728814,306.3240337,7.268705885,214,573,-1,888,10,1556,165,2736,,,,,,,,,,,,,,,
2020-05-29,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,108,1288,1,29,0.022515528,334.3604707,7.528302524,54,627,-3,885,27,1583,135,2871,,,,,,,,,,,,,,,
2020-05-30,False,Campina Grande,2504009,Agreste,Campina Grande,22,385213,195,1483,0,29,0.019554956,384.9818153,7.528302524,341,968,793,1678,576,2159,771,3642,,,,,,,,,,,,,,,
2020-05-31,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,36,1519,0,29,0.019091508,394.3272943,7.528302524,130,1098,3,1681,8,2167,44,3686,,,,,,,,,,,,,,,
2020-06-01,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,59,1578,3,32,0.020278834,409.6434959,8.30709244,244,1342,-81,1600,9,2176,68,3754,,,,,,,,,,,,,,,
2020-06-02,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,101,1679,2,34,0.020250149,435.8627564,8.826285717,54,1396,-173,1427,113,2289,214,3968,,,,,,,,,,,,,,,
2020-06-03,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,130,1809,1,35,0.019347706,469.6103195,9.085882356,70,1466,-219,1208,190,2479,320,4288,,,,,,,39.0,69.0,108.0,140.0,101.0,241.0,179.0,170.0,349.0
2020-06-04,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,197,2006,1,36,0.017946162,520.7508573,9.345478995,53,1519,-171,1037,-169,2310,28,4316,,,,,,,53.0,57.0,110.0,131.0,111.0,242.0,184.0,168.0,352.0
2020-06-05,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,165,2171,6,42,0.019345924,563.5843027,10.90305883,223,1742,41,1078,265,2575,685,5001,,,,,,,53.0,57.0,110.0,123.0,118.0,241.0,176.0,175.0,351.0
2020-06-06,False,Campina Grande,2504009,Agreste,Campina Grande,23,385213,151,2322,6,48,0.020671835,602.7833952,12.46063866,25,1767,27,1105,27,2602,193,5194,,,,,,,44.0,71.0,115.0,98.0,124.0,222.0,142.0,195.0,337.0
2020-06-07,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,151,2473,8,56,0.022644561,641.9824876,14.53741177,113,1880,-9,1096,73,2675,316,5510,,,,,,,45.0,70.0,115.0,88.0,132.0,220.0,133.0,202.0,335.0
2020-06-08,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,177,2650,3,59,0.022264151,687.9310927,15.31620169,296,2176,47,1143,0,2675,227,5737,,,,,,,43.0,73.0,116.0,110.0,129.0,239.0,153.0,202.0,355.0
2020-06-09,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,317,2967,3,62,0.020896528,770.2232271,16.0949916,33,2209,80,1223,388,3063,286,6023,,,,,,,48.0,66.0,114.0,107.0,130.0,237.0,155.0,196.0,351.0
2020-06-10,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,254,3221,3,65,0.020180068,836.1607734,16.87378152,216,2425,57,1280,397,3460,311,6334,,,,,,,42.0,74.0,116.0,113.0,127.0,240.0,155.0,201.0,356.0
2020-06-11,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,283,3504,1,66,0.018835616,909.6266222,17.13337816,246,2671,38,1318,290,3750,300,6634,,,,,,,47.0,67.0,114.0,111.0,130.0,241.0,158.0,197.0,355.0
2020-06-12,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,416,3920,1,67,0.017091837,1017.618824,17.3929748,198,2869,25,1343,471,4221,270,6904,,,,,,,49.0,67.0,116.0,109.0,133.0,242.0,158.0,200.0,358.0
2020-06-13,False,Campina Grande,2504009,Agreste,Campina Grande,24,385213,169,4089,1,68,0.016629983,1061.490656,17.65257143,85,2954,-20,1323,60,4281,197,7101,,,,,,,47.0,67.0,114.0,123.0,118.0,241.0,170.0,185.0,355.0
2020-06-14,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,77,4166,1,69,0.01656265,1081.479597,17.91216807,30,2984,-93,1230,30,4311,68,7169,,,,,,,50.0,69.0,119.0,112.0,126.0,238.0,162.0,195.0,357.0
2020-06-15,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,131,4297,1,70,0.016290435,1115.486757,18.17176471,82,3066,216,1446,466,4777,400,7569,,,,,,,51.0,70.0,121.0,128.0,113.0,241.0,179.0,183.0,362.0
2020-06-16,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,215,4512,1,71,0.015735816,1171.300034,18.43136135,380,3446,-4,1442,316,5093,463,8032,,,,,,,46.0,75.0,121.0,134.0,105.0,239.0,180.0,180.0,360.0
2020-06-17,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,271,4783,1,72,0.015053314,1241.650723,18.69095799,102,3548,35,1477,461,5554,403,8435,,,,,,,58.0,70.0,128.0,153.0,106.0,259.0,211.0,176.0,387.0
2020-06-18,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,122,4905,0,72,0.014678899,1273.321513,18.69095799,72,3620,1,1478,230,5784,393,8828,,,,,,,54.0,74.0,128.0,157.0,100.0,257.0,211.0,174.0,385.0
2020-06-19,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,349,5254,1,73,0.013894176,1363.92074,18.95055463,47,3667,-26,1452,96,5880,346,9174,,,,,,,54.0,74.0,128.0,159.0,101.0,260.0,213.0,175.0,388.0
2020-06-20,False,Campina Grande,2504009,Agreste,Campina Grande,25,385213,247,5501,0,73,0.013270314,1428.04111,18.95055463,781,4448,32,1484,605,6485,1566,10740,,,,,,,51.0,76.0,127.0,160.0,98.0,258.0,211.0,174.0,385.0
2020-06-21,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,56,5557,2,75,0.013496491,1442.578521,19.46974791,14,4462,11,1495,99,6584,183,10923,,,,,,,57.0,72.0,129.0,163.0,95.0,258.0,220.0,167.0,387.0
2020-06-22,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,70,5627,0,75,0.013328594,1460.750286,19.46974791,30,4492,59,1554,342,6926,235,11158,,,,,,,59.0,69.0,128.0,159.0,101.0,260.0,218.0,170.0,388.0
2020-06-23,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,72,5699,1,76,0.013335673,1479.441244,19.72934454,15,4507,3,1557,310,7236,258,11416,,,,,,,56.0,71.0,127.0,164.0,96.0,260.0,220.0,167.0,387.0
2020-06-24,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,116,5815,9,85,0.014617369,1509.554454,22.06571429,18,4525,28,1585,299,7535,191,11607,,,,,,,50.0,78.0,128.0,166.0,93.0,259.0,216.0,171.0,387.0
2020-06-25,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,-635,5180,4,89,0.017181467,1344.710589,23.10410085,12,4537,69,1654,387,7922,1378,12985,,,,,,,44.0,85.0,129.0,172.0,88.0,260.0,216.0,173.0,389.0
2020-06-26,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,129,5309,2,91,0.017140704,1378.198555,23.62329413,15,4552,-9,1645,-242,7680,61,13046,,,,,,,48.0,81.0,129.0,160.0,98.0,258.0,208.0,179.0,387.0
2020-06-27,False,Campina Grande,2504009,Agreste,Campina Grande,26,385213,28,5337,3,94,0.017612891,1385.467261,24.40208404,173,4725,58,1703,672,8352,486,13532,,,,,,,50.0,78.0,128.0,162.0,99.0,261.0,212.0,177.0,389.0
2020-06-28,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,42,5379,4,98,0.018219,1396.37032,25.4404706,22,4747,13,1716,102,8454,104,13636,,,,,,,52.0,78.0,130.0,166.0,93.0,259.0,218.0,171.0,389.0
2020-06-29,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,124,5503,5,103,0.018717063,1428.560303,26.73845379,233,4980,76,1792,269,8723,241,13877,,,,,,,55.0,76.0,131.0,159.0,101.0,260.0,214.0,177.0,391.0
2020-06-30,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,49,5552,12,115,0.020713256,1441.280538,29.85361346,0,4980,0,1792,7,8730,234,14111,,,,,,,55.0,76.0,131.0,162.0,99.0,261.0,217.0,175.0,392.0
2020-07-01,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,56,5608,2,117,0.020863053,1455.81795,30.37280673,22,5002,6,1798,156,8886,289,14400,,,,,,,54.0,74.0,128.0,156.0,104.0,260.0,210.0,178.0,388.0
2020-07-02,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,77,5685,0,117,0.020580475,1475.806891,30.37280673,171,5173,-291,1507,702,9588,383,14783,,,,,,,48.0,81.0,129.0,162.0,99.0,261.0,210.0,180.0,390.0
2020-07-03,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,177,5862,7,124,0.02115319,1521.755496,32.1899832,225,5398,-14,1493,137,9725,291,15074,,,,,,,55.0,73.0,128.0,150.0,108.0,258.0,205.0,181.0,386.0
2020-07-04,False,Campina Grande,2504009,Agreste,Campina Grande,27,385213,372,6234,3,127,0.020372153,1618.325446,32.96877312,374,5772,34,1527,158,9883,214,15288,,,,,,,53.0,76.0,129.0,156.0,104.0,260.0,209.0,180.0,389.0
2020-07-05,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,268,6502,8,135,0.020762842,1687.897345,35.04554623,166,5938,2,1529,73,9956,84,15372,,,,,,,50.0,78.0,128.0,190.0,111.0,301.0,240.0,189.0,429.0
2020-07-06,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,384,6886,1,136,0.019750218,1787.582454,35.30514287,482,6420,22,1551,300,10256,212,15584,300.0,300.0,180.0,180.0,150.0,150.0,63.0,65.0,128.0,186.0,104.0,290.0,249.0,169.0,418.0
2020-07-07,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,244,7130,5,141,0.019775596,1850.924034,36.60312606,126,6546,39,1590,659,10915,406,15990,143.0,443.0,6.0,186.0,107.0,257.0,57.0,72.0,129.0,178.0,109.0,287.0,235.0,181.0,416.0
2020-07-08,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,171,7301,6,147,0.020134228,1895.315059,38.1607059,734,7280,52,1642,266,11181,430,16420,16.0,459.0,-2.0,184.0,18.0,275.0,64.0,64.0,128.0,173.0,115.0,288.0,237.0,179.0,416.0
2020-07-09,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,187,7488,2,149,0.019898504,1943.859631,38.67989917,208,7488,-420,1222,468,11649,418,16838,27.0,486.0,0.0,184.0,27.0,302.0,63.0,65.0,128.0,174.0,116.0,290.0,237.0,181.0,418.0
2020-07-10,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,-458,7030,3,152,0.021621622,1824.96437,39.45868909,-458,7030,-17,1205,227,11876,364,17202,-39.0,447.0,1.0,185.0,-40.0,262.0,65.0,65.0,130.0,171.0,119.0,290.0,236.0,184.0,420.0
2020-07-11,False,Campina Grande,2504009,Agreste,Campina Grande,28,385213,664,7694,2,154,0.020015597,1997.336538,39.97788237,36,7066,-13,1192,132,12008,233,17435,27.0,474.0,-6.0,179.0,33.0,295.0,66.0,63.0,129.0,176.0,112.0,288.0,242.0,175.0,417.0
2020-07-12,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,48,7742,7,161,0.02079566,2009.797177,41.79505884,35,7101,-20,1172,121,12129,180,17615,6.0,480.0,-6.0,173.0,12.0,307.0,69.0,61.0,130.0,179.0,158.0,337.0,248.0,219.0,467.0
2020-07-13,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,52,7794,3,164,0.021041827,2023.296202,42.57384875,179,7280,-90,1082,6,12135,230,17845,-130.0,350.0,-5.0,168.0,-125.0,182.0,71.0,58.0,129.0,182.0,106.0,288.0,253.0,164.0,417.0
2020-07-14,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,97,7891,10,174,0.022050437,2048.477076,45.16981514,18,7298,13,1095,211,12346,470,18315,69.0,419.0,9.0,177.0,60.0,242.0,64.0,64.0,128.0,180.0,110.0,290.0,244.0,174.0,418.0
2020-07-15,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,155,8046,10,184,0.022868506,2088.714555,47.76578153,47,7345,2,1097,53,12399,320,18635,98.0,517.0,-11.0,166.0,109.0,351.0,69.0,61.0,130.0,186.0,104.0,290.0,255.0,165.0,420.0
2020-07-16,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,163,8209,9,193,0.023510781,2131.028807,50.10215128,122,7467,18,1115,121,12520,251,18886,32.0,549.0,17.0,183.0,15.0,366.0,65.0,65.0,130.0,173.0,115.0,288.0,238.0,180.0,418.0
2020-07-17,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,160,8369,6,199,0.023778229,2172.56427,51.65973111,195,7662,25,1140,158,12678,289,19175,-41.0,508.0,0.0,183.0,-41.0,325.0,65.0,65.0,130.0,173.0,115.0,288.0,238.0,180.0,418.0
2020-07-18,False,Campina Grande,2504009,Agreste,Campina Grande,29,385213,150,8519,2,201,0.023594319,2211.503765,52.17892439,108,7770,5,1145,109,12787,130,19305,40.0,548.0,-3.0,180.0,43.0,368.0,66.0,60.0,126.0,175.0,116.0,291.0,241.0,176.0,417.0
2020-07-20,False,Campina Grande,2504009,Agreste,Campina Grande,30,385213,120,8639,3,204,0.023613844,2242.655362,52.9577143,238,8008,105,1250,675,13462,481,19786,-121.0,427.0,-22.0,158.0,-99.0,269.0,79.0,50.0,129.0,184.0,103.0,287.0,263.0,153.0,416.0
2020-07-21,False,Campina Grande,2504009,Agreste,Campina Grande,30,385213,39,8678,3,207,0.023853422,2252.779631,53.73650422,17,8025,27,1277,235,13697,160,19946,19.0,446.0,8.0,166.0,11.0,280.0,71.0,58.0,129.0,184.0,103.0,287.0,255.0,161.0,416.0
2020-07-22,False,Campina Grande,2504009,Agreste,Campina Grande,30,385213,62,8740,3,210,0.02402746,2268.874623,54.51529414,13,8038,4,1281,618,14315,286,20232,46.0,492.0,8.0,174.0,38.0,318.0,74.0,55.0,129.0,173.0,115.0,288.0,247.0,170.0,417.0
2020-07-23,False,Campina Grande,2504009,Agreste,Campina Grande,30,385213,72,8812,3,213,0.024171584,2287.565581,55.29408405,209,8247,-970,311,137,14452,235,20467,-97.0,395.0,-4.0,170.0,-38.0,280.0,74.0,55.0,129.0,177.0,113.0,290.0,251.0,168.0,419.0
2020-07-27,False,Campina Grande,2504009,Agreste,Campina Grande,31,385213,177,8989,10,223,0.024808099,2333.514186,57.89005044,292,8539,51,362,741,15193,1204,21671,-168.0,227.0,-9.0,161.0,,,65.0,65.0,130.0,209.0,81.0,290.0,274.0,146.0,420.0
2020-07-28,False,Campina Grande,2504009,Agreste,Campina Grande,31,385213,456,9445,1,224,0.023716252,2451.890253,58.14964708,548,9087,0,362,282,15475,500,22171,-93.0,134.0,-17.0,144.0,,,68.0,62.0,130.0,209.0,82.0,291.0,277.0,144.0,421.0
2020-07-29,False,Campina Grande,2504009,Agreste,Campina Grande,31,385213,266,9711,0,224,0.023066625,2520.942959,58.14964708,3,9090,71,433,318,15793,473,22644,263.0,397.0,-2.0,142.0,,,71.0,58.0,129.0,208.0,81.0,289.0,279.0,139.0,418.0
2020-07-30,False,Campina Grande,2504009,Agreste,Campina Grande,31,385213,64,9775,3,227,0.023222506,2537.557144,58.92843699,59,9149,0,433,-37,15756,470,23114,2.0,399.0,-8.0,134.0,,,76.0,54.0,130.0,211.0,80.0,291.0,287.0,134.0,421.0
2020-07-31,False,Campina Grande,2504009,Agreste,Campina Grande,31,385213,208,9983,2,229,0.022938996,2591.553245,59.44763027,337,9486,0,433,159,15915,450,23564,-131.0,268.0,2.0,136.0,,,75.0,55.0,130.0,210.0,81.0,291.0,285.0,136.0,421.0
2020-08-01,False,Campina Grande,2504009,Agreste,Campina Grande,31,385213,78,10061,3,232,0.023059338,2611.801782,60.22642019,120,9606,-36,397,130,16045,300,23864,-45.0,223.0,-1.0,135.0,,,73.0,57.0,130.0,213.0,78.0,291.0,286.0,135.0,421.0
2020-08-02,False,Campina Grande,2504009,Agreste,Campina Grande,32,385213,46,10107,1,233,0.023053329,2623.743228,60.48601683,68,9674,-17,380,77,16122,165,24029,-23.0,200.0,9.0,144.0,,,68.0,62.0,130.0,209.0,81.0,290.0,277.0,143.0,420.0
2020-08-03,False,Campina Grande,2504009,Agreste,Campina Grande,32,385213,34,10141,1,234,0.023074647,2632.569513,60.74561347,190,9864,155,535,629,16751,387,24416,4.0,204.0,-3.0,141.0,,,69.0,61.0,130.0,211.0,82.0,293.0,280.0,143.0,423.0
2020-08-04,False,Campina Grande,2504009,Agreste,Campina Grande,32,385213,41,10182,1,235,0.023079945,2643.212976,61.0052101,238,10102,-28,507,354,17105,395,24811,,,3.0,144.0,,,65.0,65.0,130.0,214.0,77.0,291.0,279.0,142.0,421.0
2020-08-05,True,Campina Grande,2504009,Agreste,Campina Grande,32,385213,113,10295,2,237,0.023020884,2672.547396,61.52440338,17,10119,-82,425,115,17220,295,25106,,,-12.0,132.0,,,72.0,58.0,130.0,217.0,74.0,291.0,289.0,132.0,421.0
