dataTime,total_active,total_confirmed,total_death,total_recovered,total_tests
2020-05-18T15:00:00,958.0,16201,629,14614.0,365873
2020-05-19T15:00:00,951.0,16261,632,14678.0,372435
2020-05-21T15:00:00,751.0,16335,633,14951.0,385607
2020-05-20T15:00:00,780.0,16295,633,14882.0,379592
2020-05-22T15:00:00,748.0,16388,635,15005.0,390488
2020-05-23T15:00:00,740.0,16414,639,15035.0,396363
2020-05-24T15:00:00,737.0,16440,640,15063.0,401857
2020-05-25T15:00:00,680.0,16459,641,15138.0,405341
2020-05-26T15:00:00,672.0,16497,643,15182.0,411185
2020-05-27T15:00:00,641.0,16514,645,15228.0,418706
2020-05-28T15:00:00,590.0,16544,668,15286.0,427372
2020-05-29T15:00:00,560.0,16575,668,15347.0,434302
2020-05-30T18:00:00,439.0,16627,668,15520.0,442143
2020-05-31T15:30:00,377.0,16638,668,15593.0,448534
2020-06-01T15:00:00,379.0,16643,668,15596.0,451820
2020-06-02T15:00:00,366.0,16664,669,15629.0,456378
2020-06-03T15:00:00,358.0,16700,670,15672.0,462958
2020-06-04T15:00:00,344.0,16731,670,15717.0,471466
2020-06-05T15:00:00,343.0,16757,672,15742.0,479449
2020-06-06T15:00:00,356.0,16817,672,15789.0,485912
2020-06-07T15:00:00,389.0,16854,672,15793.0,489597
2020-06-08T15:00:00,368.0,16879,672,15839.0,494761
2020-06-09T15:00:00,350.0,16897,672,15875.0,500921
2020-06-10T15:00:00,337.0,16920,673,15910.0,506344
2020-06-11T15:00:00,322.0,16945,674,15949.0,512501
2020-06-12T15:00:00,310.0,16970,675,15985.0,516581
2020-06-13T15:00:00,312.0,17001,677,16012.0,520976
2020-06-14T15:30:00,293.0,17029,677,16059.0,524840
2020-06-15T15:00:00,330.0,17074,678,16066.0,527670
2020-06-16T15:00:00,332.0,17102,681,16089.0,532700
2020-06-17T15:00:00,331.0,17117,687,16099.0,540615
2020-06-18T15:00:00,366.0,17155,688,16101.0,545927
2020-06-19T15:00:00,358.0,17187,688,16141.0,552130
2020-06-20T15:00:00,371.0,17234,688,16175.0,558208
2020-06-21T15:00:00,374.0,17261,690,16197.0,560584
2020-06-22T15:00:00,371.0,17302,690,16241.0,565800
2020-06-23T15:00:00,370.0,17324,693,16261.0,572473
2020-06-24T15:00:00,395.0,17370,693,16282.0,578584
2020-06-25T15:00:00,382.0,17400,698,16320.0,584243
2020-06-26T15:00:00,417.0,17463,698,16348.0,590442
2020-06-27T15:00:00,456.0,17527,700,16371.0,597495
2020-06-28T15:00:00,471.0,17574,702,16401.0,602520
2020-06-29T15:00:00,527.0,17650,703,16420.0,606375
2020-06-30T15:00:00,523.0,17706,705,16478.0,612756
2020-07-01T15:00:00,618.0,17814,705,16491.0,620866
2020-07-02T15:00:00,677.0,17896,705,16514.0,628700
2020-07-03T15:00:00,753.0,18016,705,16558.0,635505
2020-07-04T15:00:00,805.0,18117,705,16607.0,642679
2020-07-05T15:00:00,896.0,18217,706,16615.0,647804
2020-07-06T15:00:00,941.0,18294,706,16647.0,654105
2020-07-07T15:00:00,984.0,18376,706,16686.0,660149
2020-07-08T15:00:00,1045.0,18472,706,16721.0,668220
2020-07-09T15:00:00,1117.0,18581,706,16758.0,675727
2020-07-10T15:00:00,1140.0,18654,706,16808.0,683484
2020-07-11T15:00:00,1193.0,18763,706,16864.0,691709
2020-07-12T15:00:00,1157.0,18817,708,16952.0,696740
2020-07-13T15:00:00,1169.0,18877,708,17000.0,700616
2020-07-14T15:00:00,1203.0,18985,709,17073.0,708128
2020-07-15T15:00:00,1226.0,19111,710,17175.0,716293
2020-07-16T15:00:00,1316.0,19271,711,17244.0,726345
2020-07-17T15:00:00,1361.0,19407,711,17335.0,734413
2020-07-18T15:00:00,1297.0,19509,711,17501.0,743090
2020-07-19T15:00:00,1259.0,19569,711,17599.0,748669
2020-07-20T15:00:00,1300.0,19670,711,17659.0,798436
2020-07-21T15:00:00,1375.0,19801,710,17716.0,805600
2020-07-22T15:00:00,1383.0,19943,711,17849.0,814681
2020-07-23T15:00:00,1447.0,20101,711,17943.0,826031
2020-07-24T15:00:00,1471.0,20224,711,18042.0,833841
2020-07-25T15:00:00,1497.0,20332,711,18124.0,840890
2020-07-26T15:00:00,1535.0,20456,712,18209.0,847898
2020-07-27T15:00:00,1582.0,20541,713,18246.0,853169
2020-07-28T15:00:00,1589.0,20681,713,18379.0,861206
2020-07-29T15:00:00,1593.0,20837,716,18528.0,870602
2020-07-30T15:00:00,1643.0,20989,718,18628.0,880036
2020-07-31T15:00:00,1607.0,21083,718,18758.0,890461
2020-08-01T15:00:00,1565.0,21194,718,18911.0,897819
2020-08-02T15:00:00,1564.0,21266,718,18984.0,905314
2020-08-03T15:00:00,1548.0,21329,718,19063.0,910437
2020-08-04T15:00:00,1403.0,21458,719,19336.0,916778
2020-08-05T15:00:00,1382.0,21565,719,19464.0,923902
2020-08-06T15:00:00,1366.0,21681,719,19596.0,937275
2020-08-07T15:00:00,1397.0,21807,720,19690.0,947305
2020-08-08T15:00:00,1388.0,21921,721,19812.0,955239
2020-08-09T15:00:00,1360.0,22004,721,19923.0,961868
2020-08-10T15:00:00,1353.0,22086,723,20010.0,965758
2020-08-11T15:00:00,1394.0,22240,723,20123.0,974508
2020-08-12T15:00:00,1430.0,22422,724,20268.0,983018
2020-08-13T15:00:00,1572.0,22643,725,20346.0,991508
2020-08-14T15:00:00,1657.0,22881,725,20499.0,1003432
2020-08-15T15:00:00,1833.0,23188,728,20627.0,1009354
2020-08-16T15:00:00,1934.0,23343,728,20681.0,1018490
2020-08-17T15:00:00,2021.0,23515,729,20765.0,1024067
2020-08-19T15:00:00,2446.0,24133,729,20958.0,1048216
2020-08-20T15:00:00,2613.0,24435,729,21093.0,1061437
2020-08-21T15:00:00,2738.0,24728,730,21260.0,1075409
2020-08-22T15:00:00,2818.0,24956,732,21406.0,1087155
2020-08-23T15:00:00,2907.0,25197,732,21558.0,1094987
2020-08-24T15:00:00,3014.0,25404,733,21657.0,1101206
2020-08-25T15:00:00,3073.0,25694,733,21888.0,1110089
2020-08-26T15:00:00,3141.0,26019,733,22145.0,1119199
2020-08-27T15:00:00,3203.0,26253,733,22317.0,1133243
2020-08-28T15:00:00,3202.0,26529,733,22594.0,1147944
2020-08-30T15:00:00,3227.0,27030,733,23070.0,1172092
2020-08-31T15:00:00,3335.0,27294,733,23226.0,1180711
2020-09-01T15:00:00,3215.0,27514,734,23565.0,1193127
2020-09-02T15:00:00,3385.0,27939,734,23820.0,1210568
2020-09-03T15:00:00,3461.0,28367,735,24171.0,1225257
2020-09-04T15:00:00,3399.0,28647,735,24513.0,1236489
2020-09-05T15:00:00,3379.0,28942,735,24828.0,1247807
2020-09-06T15:00:00,3356.0,29135,736,25043.0,1255825
2020-09-07T15:00:00,3527.0,29573,746,25300.0,1266223
2020-09-08T15:00:00,3722.0,30098,747,25629.0,1276477
2020-09-09T15:00:00,4124.0,30635,747,25764.0,1288059
2020-09-10T15:00:00,4522.0,31313,748,26043.0,1303030
2020-09-11T15:00:00,5129.0,32136,750,26257.0,1316819
2020-09-12T15:00:00,5394.0,32727,754,26579.0,1331493
2020-09-13T15:00:00,5673.0,33189,756,26760.0,1342066
2020-09-14T15:00:00,5950.0,33717,757,27010.0,1351408
2020-09-15T15:00:00,6450.0,34561,757,27354.0,1364508
2020-09-16T15:00:00,6897.0,35310,758,27655.0,1379839
2020-09-17T15:00:00,7406.0,36208,758,28044.0,1395111
2020-09-18T15:00:00,7788.0,37002,763,28451.0,1413965
2020-09-19T15:00:00,8106.0,37832,765,28961.0,1432099
2020-09-20T15:00:00,8429.0,38424,766,29229.0,1444683
2020-09-21T15:00:00,8780.0,39063,767,29516.0,1458095
2020-09-22T15:00:00,8619.0,39702,771,30312.0,1472647
2020-09-24T15:00:00,8715.0,41159,783,31661.0,1507782
2020-09-25T15:00:00,8787.0,41874,786,32301.0,1528191
2020-09-26T15:00:00,8616.0,42557,787,33154.0,1545634
2020-09-27T15:00:00,8770.0,43146,787,33589.0,1555499
2020-09-28T15:00:00,8773.0,43615,790,34052.0,1569992
2020-09-29T15:00:00,8787.0,44499,796,34916.0,1586578
2020-09-30T15:00:00,8957.0,45400,799,35644.0,1617987
2020-10-01T15:00:00,8860.0,46138,802,36476.0,1636573
2020-10-02T15:00:00,9042.0,47031,803,37186.0,1658412
2020-10-03T15:00:00,9007.0,47861,809,38045.0,1673868
2020-10-04T15:00:00,9053.0,48495,813,38629.0,1686373
2020-10-05T15:00:00,9506.0,49382,818,39058.0,1698268
2020-10-06T15:00:00,9673.0,50285,822,39790.0,1716505
2020-10-07T15:00:00,10154.0,51483,830,40499.0,1735094
2020-10-08T15:00:00,10549.0,52676,838,41289.0,1756856
2020-10-09T15:00:00,10792.0,53673,842,42039.0,1775431
2020-10-10T15:00:00,11062.0,54743,852,42829.0,1795447
2020-10-11T15:00:00,11482.0,55781,851,43448.0,1809263
2020-10-12T15:00:00,11767.0,56687,855,44065.0,1822931
2020-10-13T15:00:00,12114.0,57924,861,44949.0,1844639
2020-10-14T15:00:00,12857.0,59575,872,45846.0,1861672
2020-10-15T15:00:00,13252.0,60927,877,46798.0,1881485
2020-10-16T15:00:00,14164.0,62664,882,47618.0,1902326
2020-10-17T15:00:00,14572.0,64232,889,48771.0,1926770
2020-10-18T15:00:00,15203.0,65657,893,49561.0,1938028
2020-10-19T15:00:00,15462.0,66725,904,50359.0,1952578
2020-10-20T15:00:00,16265.0,68586,914,51407.0,1972047
2020-10-21T15:00:00,17455.0,70997,925,52617.0,1993124
2020-10-22T15:00:00,18645.0,73556,941,53970.0,2018402
2020-10-23T15:00:00,20837.0,76986,954,55195.0,2046426
2020-10-24T15:00:00,22264.0,80020,965,56791.0,2070615
2020-10-25T15:00:00,23836.0,82673,979,57858.0,2088359
2020-10-26T15:00:00,25268.0,85296,992,59036.0,2111575
2020-10-27T15:00:00,26778.0,88091,1005,60308.0,2125687
2020-10-28T15:00:00,29184.0,91895,1027,61684.0,2153066
2020-10-29T15:00:00,32059.0,96482,1057,63366.0,2177572
2020-10-30T15:00:00,35814.0,101883,1082,64987.0,2203993
2020-10-31T15:00:00,38449.0,106784,1109,67226.0,2232735
2020-11-01T15:00:00,40797.0,111263,1130,69336.0,2256051
2020-11-02T15:00:00,42573.0,115423,1159,71691.0,2279501
2020-11-03T15:00:00,45073.0,120557,1192,74292.0,2305382
2020-11-04T15:00:00,48983.0,127246,1227,77036.0,2334815
2020-11-05T15:00:00,52262.0,134134,1268,80604.0,2362948
2020-11-06T15:00:00,56250.0,141297,1340,83707.0,2396015
2020-11-07T15:00:00,59320.0,148970,1377,88273.0,2425825
2020-11-08T15:00:00,61389.0,154519,1411,91719.0,2452692
2020-11-09T15:00:00,63593.0,159674,1454,94627.0,2479068
2020-11-10T15:00:00,66583.0,166745,1499,98663.0,2505608
2020-11-11T15:00:00,71327.0,176650,1564,103759.0,2537179
2020-11-12T15:00:00,76103.0,185586,1608,107875.0,2575405
2020-11-13T15:00:00,79219.0,193608,1661,112728.0,2607733
2020-11-14T15:00:00,79585.0,200746,1746,119415.0,2642553
2020-11-15T15:00:00,77230.0,204733,1829,125674.0,2667880
2020-11-16T15:00:00,78723.0,210281,1887,129671.0,2694112
2020-11-17T15:00:00,77887.0,216319,1945,136487.0,2723162
2020-11-18T15:00:00,79282.0,224074,2054,142738.0,2756290
2020-11-19T15:00:00,79520.0,231177,2116,149541.0,2787606
2020-11-20T15:00:00,78920.0,237627,2224,156483.0,2820796
2020-11-21T15:00:00,78326.0,243405,2328,162751.0,2851604
2020-11-22T15:00:00,75861.0,247509,2388,169260.0,2881435
2020-11-23T15:00:00,72344.0,250330,2459,175527.0,2901857
2020-11-24T15:00:00,70644.0,255841,2577,182620.0,2929927
2020-11-25T15:00:00,69421.0,261147,2667,189059.0,2960496
2020-11-26T15:00:00,67544.0,266659,2773,196342.0,2993814
2020-11-27T15:00:00,65412.0,271549,2886,203251.0,3020862
2020-11-28T15:00:00,62349.0,276064,3018,210697.0,3061067
2020-11-29T15:00:00,59100.0,279203,3105,216998.0,3083264
2020-11-30T15:00:00,56039.0,280915,3184,221692.0,3098318
2020-12-01T15:00:00,54684.0,285506,3325,227497.0,3121510
2020-12-02T15:00:00,52320.0,289423,3446,233657.0,3149372
2020-12-03T15:00:00,51770.0,293435,3538,238127.0,3180666
2020-12-04T15:00:00,48624.0,296050,3651,243775.0,3209340
2020-12-05T15:00:00,46527.0,299725,3757,249441.0,3229393
2020-12-06T15:00:00,45452.0,302057,3840,252765.0,3247511
2020-12-07T15:00:00,43774.0,304482,3897,256811.0,3262088
2020-12-08T15:00:00,41048.0,307364,4002,262314.0,3281731
2020-12-09T15:00:00,39911.0,309782,4056,265815.0,3302082
2020-12-10T15:00:00,38558.0,312386,4163,269665.0,3329997
2020-12-11T15:00:00,37697.0,315489,4289,273503.0,3355391
2020-12-12T15:00:00,36147.0,318445,4415,277883.0,3386308
2020-12-13T15:00:00,36053.0,321632,4473,281106.0,3407510
2020-12-14T15:00:00,35257.0,323961,4530,284174.0,3425072
2020-12-15T15:00:00,34150.0,326548,4648,287750.0,3446109
2020-12-16T15:00:00,33586.0,329392,4764,291042.0,3474856
2020-12-17T15:00:00,32199.0,331496,4982,294315.0,3503072
2020-12-18T15:00:00,30743.0,333294,5127,297424.0,3534486
2020-12-19T15:00:00,32065.0,334616,5127,297424.0,3534486
2020-12-19T15:00:00,29665.0,335485,5209,300611.0,3568286
2020-12-20T15:00:00,28477.0,337041,5351,303213.0,3593276
2020-12-21T15:00:00,27271.0,338364,5435,305658.0,3614233
2020-12-22T15:00:00,25638.0,340773,5540,309595.0,3643696
2020-12-23T15:00:00,24692.0,343267,5654,312921.0,3682136
2020-12-24T15:00:00,24172.0,345869,5745,315952.0,3712803
2020-12-25T15:00:00,23269.0,347206,5783,318154.0,3729944
2020-12-26T15:00:00,21870.0,348466,5843,320753.0,3747328
2020-12-27T15:00:00,21147.0,350030,5881,323002.0,3757237
2020-12-28T15:00:00,19065.0,351764,5931,326768.0,3778483
2020-12-29T15:00:00,18581.0,353614,6059,328974.0,3794046
2020-12-30T15:00:00,19774.0,356913,6149,330990.0,3812271
2020-12-31T15:00:00,20232.0,359406,6222,332952.0,3836920
2021-01-01T15:00:00,20461.0,361623,6261,334901.0,3857382
2021-01-02T15:00:00,19616.0,362813,6275,336922.0,3768447
2021-01-03T15:00:00,19365.0,364520,6324,338831.0,3780489
2021-01-04T15:00:00,19562.0,366192,6357,340273.0,5407690
2021-01-05T15:00:00,18825.0,368321,6457,343039.0,5725868
2021-01-06T15:00:00,19419.0,370918,6525,344974.0,6466812
2021-01-07T15:00:00,19577.0,373046,6568,346901.0,6499087
2021-01-08T15:00:00,19007.0,374863,6641,349215.0,6538823
2021-01-09T15:00:00,18924.0,376993,6687,351382.0,6644117
2021-01-10T15:00:00,17851.0,378323,6723,353749.0,6679036
2021-01-11T15:00:00,17385.0,379662,6747,355530.0,6714575
2021-01-12T15:00:00,17227.0,381608,6819,357562.0,6865442
2021-01-13T15:00:00,16523.0,383083,6868,359692.0,6989709
2021-01-14T15:00:00,14856.0,384708,6921,362931.0,7379973
2021-01-15T15:00:00,13750.0,385951,6987,365214.0,7459608
2021-01-16T15:00:00,12680.0,387518,7053,367785.0,7538732
2021-01-17T15:00:00,12419.0,388719,7082,369218.0,7590771
2021-01-18T15:00:00,11733.0,389720,7122,370865.0,7697762
2021-01-19T15:00:00,10647.0,390936,7199,373090.0,7878732
2021-01-20T15:00:00,10268.0,392329,7237,374824.0,8488882
2021-01-21T15:00:00,10360.0,394008,7288,376360.0,8542282
2021-01-22T15:00:00,9691.0,395429,7330,378408.0,8607152
2021-01-23T15:00:00,9292.0,396929,7389,380248.0,8683128
2021-01-24T15:00:00,9041.0,398113,7418,381654.0,8735122
2021-01-25T15:00:00,8433.0,399084,7451,383200.0,8802827
2021-01-26T15:00:00,8140.0,400581,7515,384926.0,8906083
2021-01-28T15:00:00,11968.0,407362,7607,387787.0,9089588
2021-01-29T15:00:00,11993.0,409127,7658,389476.0,9160616
2021-01-30T15:00:00,11633.0,410412,7703,391076.0,9286075
2021-01-31T15:00:00,11490.0,411708,7721,392497.0,9355779
2021-02-01T15:00:00,11214.0,412739,7778,393747.0,9481832
2021-02-02T15:00:00,10993.0,414156,7847,395316.0,9563229
2021-02-03T15:00:00,11079.0,415690,7902,396709.0,9745126
2021-02-04T15:00:00,11343.0,417189,7936,397910.0,9853428
2021-02-05T15:00:00,11315.0,418617,7973,399329.0,9940634
2021-02-06T15:00:00,11112.0,419957,7994,400851.0,10100523
2021-02-07T15:00:00,11180.0,421245,8012,402053.0,10313170
2021-02-08T15:00:00,10858.0,422192,8032,403302.0,10442158
2021-02-09T15:00:00,10399.0,423146,8071,404676.0,10752769
2021-02-11T15:00:00,11565.0,426858,8138,407155.0,11205451
2021-02-12T15:00:00,11474.0,428070,8170,408426.0,11409166
2021-02-13T15:00:00,11138.0,429210,8195,409877.0,11623487
2021-02-14T15:00:00,11096.0,430506,8211,411199.0,11763032
2021-02-15T15:00:00,11254.0,431932,8221,412457.0,11920050
2021-02-16T15:00:00,11047.0,433215,8260,413908.0,12211250
2021-02-17T15:00:00,11444.0,434955,8290,415221.0,12417609
2021-02-18T15:00:00,12211.0,436954,8312,416431.0,12691956
2021-02-19T15:00:00,13060.0,439062,8348,417654.0,12892721
2021-02-20T15:00:00,13351.0,441002,8368,419283.0,13128809
2021-02-21T15:00:00,13643.0,442538,8386,420509.0,13327784
2021-02-22T15:00:00,13472.0,443680,8397,421811.0,13420960
2021-02-23T15:00:00,13998.0,445446,8434,423014.0,13679356
2021-02-24T15:00:00,15094.0,447912,8470,424348.0,13940675
2021-02-25T15:00:00,16028.0,450307,8493,425786.0,14209576
2021-02-26T15:00:00,16697.0,452469,8515,427257.0,14432826
2021-02-27T15:00:00,17693.0,455135,8538,428904.0,14751767
2021-02-28T15:00:00,17844.0,456820,8561,430415.0,14907781
2021-03-01T15:00:00,17657.0,458247,8574,432016.0,15003345
2021-03-02T15:00:00,17735.0,460213,8605,433873.0,15358139
2021-03-03T15:00:00,18591.0,462885,8625,435669.0,15602870
2021-03-04T15:00:00,19587.0,465441,8652,437202.0,15864120
2021-03-05T15:00:00,20356.0,468126,8669,439101.0,16123615
2021-03-06T15:00:00,20726.0,470729,8694,441309.0,16374288
2021-03-07T15:00:00,20989.0,472854,8713,443152.0,16533132
2021-03-08T15:00:00,21191.0,474955,8732,445032.0,16655212
2021-03-09T15:00:00,21129.0,476927,8757,447041.0,17051119
2021-03-10T15:00:00,22432.0,480261,8776,449053.0,17329303
2021-03-11T15:00:00,23403.0,483063,8798,450862.0,17548957
2021-03-12T15:00:00,24191.0,486100,8831,453078.0,17906847
2021-03-13T15:00:00,24962.0,489089,8856,455271.0,18178608
2021-03-14T15:00:00,25344.0,491483,8873,457266.0,18346043
2021-03-15T15:00:00,25778.0,493958,8892,459288.0,18485146
2021-03-16T15:00:00,25546.0,496209,8926,461737.0,18840867
2021-03-17T15:00:00,26490.0,499160,8956,463714.0,19277527
2021-03-18T15:00:00,27981.0,502947,8982,465984.0,19576110
2021-03-19T15:00:00,28863.0,506162,9024,468275.0,19845558
2021-03-20T15:00:00,30199.0,509935,9052,470684.0,20123592
2021-03-21T15:00:00,30192.0,512623,9074,473357.0,20316556
2021-03-22T15:00:00,30870.0,515186,9089,475227.0,20476485
2021-03-23T15:00:00,30567.0,517628,9121,477940.0,20846292
2021-03-24T15:00:00,31245.0,520993,9151,480597.0,21147134
2021-03-25T15:00:00,31978.0,524616,9178,483460.0,21565462
2021-03-26T15:00:00,32683.0,527971,9200,486088.0,22051094
2021-03-27T15:00:00,34045.0,532240,9231,488964.0,22194436
2021-03-28T15:00:00,33725.0,534600,9256,491619.0,22455472
2021-03-29T15:00:00,34243.0,537895,9275,494377.0,22610260
2021-03-30T15:00:00,33816.0,540940,9308,497816.0,23093306
2021-03-31T15:00:00,33504.0,543959,9339,501116.0,23451521
2021-04-01T15:00:00,34071.0,547168,9368,503729.0,23805240
2021-04-02T15:00:00,34602.0,550674,9397,506675.0,24086423
2021-04-04T15:00:00,34792.0,556883,9449,512642.0,24647471
2021-04-05T15:00:00,33158.0,558724,9482,516084.0,24779805
2021-04-06T15:00:00,32642.0,561361,9517,519202.0,24999349
2021-04-07T15:00:00,31731.0,564051,9546,522774.0,25515997
2021-04-08T15:00:00,32212.0,567480,9586,525682.0,25868498
2021-04-09T15:00:00,31321.0,570136,9624,529191.0,26161838
2021-04-10T15:00:00,30528.0,572729,9662,532539.0,26478234
2021-04-11T15:00:00,32730.0,575215,9687,532798.0,26679075
2021-04-12T15:00:00,28766.0,577081,9706,538609.0,26848583
2021-04-13T15:00:00,27696.0,579230,9748,541786.0,27197861
2021-04-14T15:00:00,26999.0,581767,9779,544989.0,27703138
2021-04-15T15:00:00,26868.0,584285,9813,547604.0,28012081
2021-04-16T15:00:00,26244.0,586557,9843,550470.0,28298620
2021-04-17T15:00:00,26773.0,589262,9870,552619.0,28615969
2021-04-18T15:00:00,26349.0,591465,9898,555218.0,28823897
2021-04-19T15:00:00,25689.0,593078,9922,557467.0,29014550
2021-04-20T15:00:00,24761.0,595212,9959,560492.0,29335166
2021-04-21T15:00:00,24511.0,597764,9997,563256.0,29597609
2021-04-22T15:00:00,26463.0,600002,10026,563513.0,29905570
2021-04-23T15:00:00,23955.0,602223,10055,568213.0,30186461
2021-04-24T15:00:00,23824.0,604578,10070,570684.0,30489054
2021-04-25T15:00:00,23294.0,606536,10087,573155.0,30688612
2021-04-26T15:00:00,22471.0,607786,10098,575217.0,30836351
2021-04-27T15:00:00,21257.0,609360,10126,577977.0,31263052
2021-04-28T15:00:00,21309.0,611791,10152,580330.0,31317709
2021-04-29T15:00:00,20991.0,613745,10179,582575.0,31589724
2021-04-30T15:00:00,20916.0,615898,10205,584777.0,31892904
2021-05-01T15:00:00,20047.0,617395,10233,587115.0,32228406
2021-05-02T15:00:00,19246.0,619025,10245,589534.0,32383974
2021-05-03T15:00:00,18250.0,620035,10260,591525.0,32495877
2021-05-04T15:00:00,17431.0,621406,10291,593684.0,32895293
2021-05-05T15:00:00,16752.0,622940,10311,595877.0,33241683
2021-05-06T15:00:00,16046.0,624301,10333,597922.0,33702259
2021-05-09T15:00:00,13400.0,627683,10382,603901.0,34504177
2021-05-10T15:00:00,12540.0,628373,10392,605441.0,34639633
