date,level_1,value
1994 APR,Unemployment_rate_Aged_16_17,25.6
1994 MAY,Unemployment_rate_16_over,9.7
1994 MAY,Unemployment_rate_Aged_16_17,25.0
1994 JUN,Unemployment_rate_16_over,9.6
1994 JUN,Unemployment_rate_Aged_16_17,25.0
1994 JUL,Unemployment_rate_16_over,9.5
1994 JUL,Unemployment_rate_Aged_16_17,22.9
1994 AUG,Unemployment_rate_16_over,9.4
1994 AUG,Unemployment_rate_Aged_16_17,23.2
1994 SEP,Unemployment_rate_16_over,9.3
1994 SEP,Unemployment_rate_Aged_16_17,23.3
1994 OCT,Unemployment_rate_16_over,9.1
1994 OCT,Unemployment_rate_Aged_16_17,22.1
1994 NOV,Unemployment_rate_16_over,9.0
1994 NOV,Unemployment_rate_Aged_16_17,20.5
1994 DEC,Unemployment_rate_16_over,8.9
1994 DEC,Unemployment_rate_Aged_16_17,20.6
1995 JAN,Unemployment_rate_16_over,8.9
1995 JAN,Unemployment_rate_Aged_16_17,21.9
1995 FEB,Unemployment_rate_16_over,8.9
1995 FEB,Unemployment_rate_Aged_16_17,21.6
1995 MAR,Unemployment_rate_16_over,8.8
1995 MAR,Unemployment_rate_Aged_16_17,23.0
1995 APR,Unemployment_rate_16_over,8.8
1995 APR,Unemployment_rate_Aged_16_17,21.7
1995 MAY,Unemployment_rate_16_over,8.7
1995 MAY,Unemployment_rate_Aged_16_17,22.6
1995 JUN,Unemployment_rate_16_over,8.7
1995 JUN,Unemployment_rate_Aged_16_17,22.3
1995 JUL,Unemployment_rate_16_over,8.6
1995 JUL,Unemployment_rate_Aged_16_17,23.3
1995 AUG,Unemployment_rate_16_over,8.6
1995 AUG,Unemployment_rate_Aged_16_17,24.0
1995 SEP,Unemployment_rate_16_over,8.6
1995 SEP,Unemployment_rate_Aged_16_17,23.2
1995 OCT,Unemployment_rate_16_over,8.6
1995 OCT,Unemployment_rate_Aged_16_17,23.9
1995 NOV,Unemployment_rate_16_over,8.3
1995 NOV,Unemployment_rate_Aged_16_17,22.6
1995 DEC,Unemployment_rate_16_over,8.4
1995 DEC,Unemployment_rate_Aged_16_17,23.1
1995 DEC,Druguse16to20,32.08459552
1995 DEC,druguse20to24,28.11646809
1996 JAN,Unemployment_rate_16_over,8.3
1996 JAN,Unemployment_rate_Aged_16_17,22.5
1996 FEB,Unemployment_rate_16_over,8.2
1996 FEB,Unemployment_rate_Aged_16_17,23.7
1996 MAR,Unemployment_rate_16_over,8.3
1996 MAR,Unemployment_rate_Aged_16_17,25.1
1996 APR,Unemployment_rate_16_over,8.3
1996 APR,Unemployment_rate_Aged_16_17,24.8
1996 MAY,Unemployment_rate_16_over,8.3
1996 MAY,Unemployment_rate_Aged_16_17,23.1
1996 JUN,Unemployment_rate_16_over,8.2
1996 JUN,Unemployment_rate_Aged_16_17,23.7
1996 JUL,Unemployment_rate_16_over,8.1
1996 JUL,Unemployment_rate_Aged_16_17,23.8
1996 AUG,Unemployment_rate_16_over,8.1
1996 AUG,Unemployment_rate_Aged_16_17,24.6
1996 SEP,Unemployment_rate_16_over,8.1
1996 SEP,Unemployment_rate_Aged_16_17,25.0
1996 OCT,Unemployment_rate_16_over,8.0
1996 OCT,Unemployment_rate_Aged_16_17,25.2
1996 NOV,Unemployment_rate_16_over,7.8
1996 NOV,Unemployment_rate_Aged_16_17,25.2
1996 DEC,Unemployment_rate_16_over,7.7
1996 DEC,Unemployment_rate_Aged_16_17,26.1
1997 JAN,Unemployment_rate_16_over,7.5
1997 JAN,Unemployment_rate_Aged_16_17,25.5
1997 FEB,Unemployment_rate_16_over,7.3
1997 FEB,Unemployment_rate_Aged_16_17,24.5
1997 MAR,Unemployment_rate_16_over,7.2
1997 MAR,Unemployment_rate_Aged_16_17,23.7
1997 APR,Unemployment_rate_16_over,7.2
1997 APR,Unemployment_rate_Aged_16_17,22.7
1997 MAY,Unemployment_rate_16_over,7.2
1997 MAY,Unemployment_rate_Aged_16_17,23.1
1997 JUN,Unemployment_rate_16_over,7.3
1997 JUN,Unemployment_rate_Aged_16_17,24.3
1997 JUL,Unemployment_rate_16_over,7.1
1997 JUL,Unemployment_rate_Aged_16_17,23.2
1997 AUG,Unemployment_rate_16_over,6.8
1997 AUG,Unemployment_rate_Aged_16_17,20.7
1997 SEP,Unemployment_rate_16_over,6.7
1997 SEP,Unemployment_rate_Aged_16_17,20.7
1997 OCT,Unemployment_rate_16_over,6.6
1997 OCT,Unemployment_rate_Aged_16_17,22.0
1997 NOV,Unemployment_rate_16_over,6.5
1997 NOV,Unemployment_rate_Aged_16_17,21.0
1997 DEC,Unemployment_rate_16_over,6.4
1997 DEC,Unemployment_rate_Aged_16_17,21.3
1997 DEC,Druguse16to20,32.85375947
1997 DEC,druguse20to24,30.92054416
1998 JAN,Unemployment_rate_16_over,6.4
1998 JAN,Unemployment_rate_Aged_16_17,23.4
1998 FEB,Unemployment_rate_16_over,6.4
1998 FEB,Unemployment_rate_Aged_16_17,23.6
1998 MAR,Unemployment_rate_16_over,6.3
1998 MAR,Unemployment_rate_Aged_16_17,23.1
1998 APR,Unemployment_rate_16_over,6.3
1998 APR,Unemployment_rate_Aged_16_17,22.0
1998 MAY,Unemployment_rate_16_over,6.3
1998 MAY,Unemployment_rate_Aged_16_17,23.5
1998 JUN,Unemployment_rate_16_over,6.3
1998 JUN,Unemployment_rate_Aged_16_17,23.0
1998 JUL,Unemployment_rate_16_over,6.3
1998 JUL,Unemployment_rate_Aged_16_17,22.3
1998 AUG,Unemployment_rate_16_over,6.2
1998 AUG,Unemployment_rate_Aged_16_17,21.5
1998 SEP,Unemployment_rate_16_over,6.2
1998 SEP,Unemployment_rate_Aged_16_17,22.3
1998 OCT,Unemployment_rate_16_over,6.2
1998 OCT,Unemployment_rate_Aged_16_17,24.5
1998 NOV,Unemployment_rate_16_over,6.1
1998 NOV,Unemployment_rate_Aged_16_17,24.8
1998 DEC,Unemployment_rate_16_over,6.2
1998 DEC,Unemployment_rate_Aged_16_17,25.5
1999 JAN,Unemployment_rate_16_over,6.2
1999 JAN,Unemployment_rate_Aged_16_17,24.4
1999 FEB,Unemployment_rate_16_over,6.2
1999 FEB,Unemployment_rate_Aged_16_17,24.6
1999 MAR,Unemployment_rate_16_over,6.2
1999 MAR,Unemployment_rate_Aged_16_17,24.8
1999 APR,Unemployment_rate_16_over,6.1
1999 APR,Unemployment_rate_Aged_16_17,24.3
1999 MAY,Unemployment_rate_16_over,6.0
1999 MAY,Unemployment_rate_Aged_16_17,24.5
1999 JUN,Unemployment_rate_16_over,6.0
1999 JUN,Unemployment_rate_Aged_16_17,24.8
1999 JUL,Unemployment_rate_16_over,5.9
1999 JUL,Unemployment_rate_Aged_16_17,26.2
1999 AUG,Unemployment_rate_16_over,5.9
1999 AUG,Unemployment_rate_Aged_16_17,25.1
1999 SEP,Unemployment_rate_16_over,5.8
1999 SEP,Unemployment_rate_Aged_16_17,24.7
1999 OCT,Unemployment_rate_16_over,5.8
1999 OCT,Unemployment_rate_Aged_16_17,23.8
1999 NOV,Unemployment_rate_16_over,5.8
1999 NOV,Unemployment_rate_Aged_16_17,23.9
1999 DEC,Unemployment_rate_16_over,5.9
1999 DEC,Unemployment_rate_Aged_16_17,22.8
1999 DEC,Druguse16to20,28.17296162
1999 DEC,druguse20to24,31.27983764
2000 JAN,Unemployment_rate_16_over,5.8
2000 JAN,Unemployment_rate_Aged_16_17,24.0
2000 FEB,Unemployment_rate_16_over,5.8
2000 FEB,Unemployment_rate_Aged_16_17,23.7
2000 MAR,Unemployment_rate_16_over,5.7
2000 MAR,Unemployment_rate_Aged_16_17,25.7
2000 APR,Unemployment_rate_16_over,5.6
2000 APR,Unemployment_rate_Aged_16_17,25.8
2000 MAY,Unemployment_rate_16_over,5.5
2000 MAY,Unemployment_rate_Aged_16_17,24.0
2000 JUN,Unemployment_rate_16_over,5.3
2000 JUN,Unemployment_rate_Aged_16_17,23.6
2000 JUL,Unemployment_rate_16_over,5.3
2000 JUL,Unemployment_rate_Aged_16_17,24.4
2000 AUG,Unemployment_rate_16_over,5.3
2000 AUG,Unemployment_rate_Aged_16_17,26.6
2000 SEP,Unemployment_rate_16_over,5.4
2000 SEP,Unemployment_rate_Aged_16_17,26.3
2000 OCT,Unemployment_rate_16_over,5.3
2000 OCT,Unemployment_rate_Aged_16_17,27.3
2000 NOV,Unemployment_rate_16_over,5.2
2000 NOV,Unemployment_rate_Aged_16_17,24.9
2000 DEC,Unemployment_rate_16_over,5.2
2000 DEC,Unemployment_rate_Aged_16_17,24.5
2001 JAN,Unemployment_rate_16_over,5.2
2001 JAN,Unemployment_rate_Aged_16_17,25.4
2001 FEB,Unemployment_rate_16_over,5.1
2001 FEB,Unemployment_rate_Aged_16_17,24.7
2001 MAR,Unemployment_rate_16_over,5.0
2001 MAR,Unemployment_rate_Aged_16_17,23.7
2001 APR,Unemployment_rate_16_over,4.9
2001 APR,Unemployment_rate_Aged_16_17,23.6
2001 MAY,Unemployment_rate_16_over,5.0
2001 MAY,Unemployment_rate_Aged_16_17,24.3
2001 JUN,Unemployment_rate_16_over,5.0
2001 JUN,Unemployment_rate_Aged_16_17,25.0
2001 JUL,Unemployment_rate_16_over,5.1
2001 JUL,Unemployment_rate_Aged_16_17,25.0
2001 AUG,Unemployment_rate_16_over,5.1
2001 AUG,Unemployment_rate_Aged_16_17,24.6
2001 SEP,Unemployment_rate_16_over,5.1
2001 SEP,Unemployment_rate_Aged_16_17,24.2
2001 OCT,Unemployment_rate_16_over,5.1
2001 OCT,Unemployment_rate_Aged_16_17,24.8
2001 NOV,Unemployment_rate_16_over,5.2
2001 NOV,Unemployment_rate_Aged_16_17,24.4
2001 DEC,Unemployment_rate_16_over,5.2
2001 DEC,Unemployment_rate_Aged_16_17,24.3
2002 JAN,Unemployment_rate_16_over,5.1
2002 JAN,Unemployment_rate_Aged_16_17,25.9
2002 FEB,Unemployment_rate_16_over,5.2
2002 FEB,Unemployment_rate_Aged_16_17,26.6
2002 MAR,Unemployment_rate_16_over,5.2
2002 MAR,Unemployment_rate_Aged_16_17,27.4
2002 MAR,Druguse16to20,27.68141085
2002 MAR,druguse20to24,29.13620941
2002 APR,Unemployment_rate_16_over,5.2
2002 APR,Unemployment_rate_Aged_16_17,26.8
2002 MAY,Unemployment_rate_16_over,5.2
2002 MAY,Unemployment_rate_Aged_16_17,27.8
2002 JUN,Unemployment_rate_16_over,5.2
2002 JUN,Unemployment_rate_Aged_16_17,27.3
2002 JUL,Unemployment_rate_16_over,5.2
2002 JUL,Unemployment_rate_Aged_16_17,27.3
2002 AUG,Unemployment_rate_16_over,5.3
2002 AUG,Unemployment_rate_Aged_16_17,27.4
2002 SEP,Unemployment_rate_16_over,5.2
2002 SEP,Unemployment_rate_Aged_16_17,27.8
2002 OCT,Unemployment_rate_16_over,5.2
2002 OCT,Unemployment_rate_Aged_16_17,28.5
2002 NOV,Unemployment_rate_16_over,5.1
2002 NOV,Unemployment_rate_Aged_16_17,29.6
2002 DEC,Unemployment_rate_16_over,5.0
2002 DEC,Unemployment_rate_Aged_16_17,29.4
2003 JAN,Unemployment_rate_16_over,5.1
2003 JAN,Unemployment_rate_Aged_16_17,29.1
2003 FEB,Unemployment_rate_16_over,5.2
2003 FEB,Unemployment_rate_Aged_16_17,28.4
2003 MAR,Unemployment_rate_16_over,5.1
2003 MAR,Unemployment_rate_Aged_16_17,28.8
2003 MAR,Druguse16to20,26.74107234
2003 MAR,druguse20to24,29.82276866
2003 APR,Unemployment_rate_16_over,5.0
2003 APR,Unemployment_rate_Aged_16_17,28.9
2003 MAY,Unemployment_rate_16_over,4.9
2003 MAY,Unemployment_rate_Aged_16_17,28.2
2003 JUN,Unemployment_rate_16_over,5.1
2003 JUN,Unemployment_rate_Aged_16_17,26.8
2003 JUL,Unemployment_rate_16_over,5.1
2003 JUL,Unemployment_rate_Aged_16_17,26.5
2003 AUG,Unemployment_rate_16_over,5.0
2003 AUG,Unemployment_rate_Aged_16_17,26.3
2003 SEP,Unemployment_rate_16_over,5.0
2003 SEP,Unemployment_rate_Aged_16_17,26.0
2003 OCT,Unemployment_rate_16_over,4.9
2003 OCT,Unemployment_rate_Aged_16_17,25.9
2003 NOV,Unemployment_rate_16_over,4.9
2003 NOV,Unemployment_rate_Aged_16_17,25.8
2003 DEC,Unemployment_rate_16_over,4.8
2003 DEC,Unemployment_rate_Aged_16_17,26.0
2004 JAN,Unemployment_rate_16_over,4.8
2004 JAN,Unemployment_rate_Aged_16_17,26.6
2004 FEB,Unemployment_rate_16_over,4.8
2004 FEB,Unemployment_rate_Aged_16_17,26.6
2004 MAR,Unemployment_rate_16_over,4.8
2004 MAR,Unemployment_rate_Aged_16_17,28.5
2004 MAR,Druguse16to20,28.26114507
2004 MAR,druguse20to24,28.5567379
2004 APR,Unemployment_rate_16_over,4.8
2004 APR,Unemployment_rate_Aged_16_17,27.1
2004 MAY,Unemployment_rate_16_over,4.8
2004 MAY,Unemployment_rate_Aged_16_17,27.4
2004 JUN,Unemployment_rate_16_over,4.8
2004 JUN,Unemployment_rate_Aged_16_17,27.9
2004 JUL,Unemployment_rate_16_over,4.7
2004 JUL,Unemployment_rate_Aged_16_17,28.6
2004 AUG,Unemployment_rate_16_over,4.7
2004 AUG,Unemployment_rate_Aged_16_17,30.4
2004 SEP,Unemployment_rate_16_over,4.7
2004 SEP,Unemployment_rate_Aged_16_17,29.8
2004 OCT,Unemployment_rate_16_over,4.7
2004 OCT,Unemployment_rate_Aged_16_17,29.8
2004 NOV,Unemployment_rate_16_over,4.7
2004 NOV,Unemployment_rate_Aged_16_17,28.8
2004 DEC,Unemployment_rate_16_over,4.7
2004 DEC,Unemployment_rate_Aged_16_17,29.0
2005 JAN,Unemployment_rate_16_over,4.8
2005 JAN,Unemployment_rate_Aged_16_17,28.2
2005 FEB,Unemployment_rate_16_over,4.7
2005 FEB,Unemployment_rate_Aged_16_17,27.9
2005 MAR,Unemployment_rate_16_over,4.7
2005 MAR,Unemployment_rate_Aged_16_17,27.5
2005 MAR,Druguse16to20,27.82448527
2005 MAR,druguse20to24,27.0123205
2005 APR,Unemployment_rate_16_over,4.8
2005 APR,Unemployment_rate_Aged_16_17,26.8
2005 MAY,Unemployment_rate_16_over,4.8
2005 MAY,Unemployment_rate_Aged_16_17,28.6
2005 JUN,Unemployment_rate_16_over,4.7
2005 JUN,Unemployment_rate_Aged_16_17,29.8
2005 JUL,Unemployment_rate_16_over,4.7
2005 JUL,Unemployment_rate_Aged_16_17,30.1
2005 AUG,Unemployment_rate_16_over,4.7
2005 AUG,Unemployment_rate_Aged_16_17,30.7
2005 SEP,Unemployment_rate_16_over,4.9
2005 SEP,Unemployment_rate_Aged_16_17,33.0
2005 OCT,Unemployment_rate_16_over,5.1
2005 OCT,Unemployment_rate_Aged_16_17,32.3
2005 NOV,Unemployment_rate_16_over,5.1
2005 NOV,Unemployment_rate_Aged_16_17,33.8
2005 DEC,Unemployment_rate_16_over,5.1
2005 DEC,Unemployment_rate_Aged_16_17,33.9
2006 JAN,Unemployment_rate_16_over,5.2
2006 JAN,Unemployment_rate_Aged_16_17,32.6
2006 FEB,Unemployment_rate_16_over,5.2
2006 FEB,Unemployment_rate_Aged_16_17,31.4
2006 MAR,Unemployment_rate_16_over,5.3
2006 MAR,Unemployment_rate_Aged_16_17,30.5
2006 MAR,Druguse16to20,25.43673872
2006 MAR,druguse20to24,24.62851167
2006 APR,Unemployment_rate_16_over,5.4
2006 APR,Unemployment_rate_Aged_16_17,30.5
2006 MAY,Unemployment_rate_16_over,5.5
2006 MAY,Unemployment_rate_Aged_16_17,30.9
2006 JUN,Unemployment_rate_16_over,5.5
2006 JUN,Unemployment_rate_Aged_16_17,31.5
2006 JUL,Unemployment_rate_16_over,5.5
2006 JUL,Unemployment_rate_Aged_16_17,31.0
2006 AUG,Unemployment_rate_16_over,5.5
2006 AUG,Unemployment_rate_Aged_16_17,33.0
2006 SEP,Unemployment_rate_16_over,5.5
2006 SEP,Unemployment_rate_Aged_16_17,32.1
2006 OCT,Unemployment_rate_16_over,5.4
2006 OCT,Unemployment_rate_Aged_16_17,30.1
2006 NOV,Unemployment_rate_16_over,5.5
2006 NOV,Unemployment_rate_Aged_16_17,28.6
2006 DEC,Unemployment_rate_16_over,5.5
2006 DEC,Unemployment_rate_Aged_16_17,29.8
2007 JAN,Unemployment_rate_16_over,5.5
2007 JAN,Unemployment_rate_Aged_16_17,30.5
2007 FEB,Unemployment_rate_16_over,5.5
2007 FEB,Unemployment_rate_Aged_16_17,31.3
2007 MAR,Unemployment_rate_16_over,5.5
2007 MAR,Unemployment_rate_Aged_16_17,32.0
2007 MAR,Druguse16to20,23.29626648
2007 MAR,druguse20to24,24.79436428
2007 APR,Unemployment_rate_16_over,5.4
2007 APR,Unemployment_rate_Aged_16_17,32.4
2007 MAY,Unemployment_rate_16_over,5.4
2007 MAY,Unemployment_rate_Aged_16_17,33.1
2007 JUN,Unemployment_rate_16_over,5.3
2007 JUN,Unemployment_rate_Aged_16_17,32.8
2007 JUL,Unemployment_rate_16_over,5.3
2007 JUL,Unemployment_rate_Aged_16_17,29.7
2007 AUG,Unemployment_rate_16_over,5.3
2007 AUG,Unemployment_rate_Aged_16_17,30.1
2007 SEP,Unemployment_rate_16_over,5.2
2007 SEP,Unemployment_rate_Aged_16_17,30.5
2007 OCT,Unemployment_rate_16_over,5.2
2007 OCT,Unemployment_rate_Aged_16_17,30.6
2007 NOV,Unemployment_rate_16_over,5.2
2007 NOV,Unemployment_rate_Aged_16_17,29.6
2007 DEC,Unemployment_rate_16_over,5.2
2007 DEC,Unemployment_rate_Aged_16_17,29.3
2008 JAN,Unemployment_rate_16_over,5.2
2008 JAN,Unemployment_rate_Aged_16_17,28.2
2008 FEB,Unemployment_rate_16_over,5.2
2008 FEB,Unemployment_rate_Aged_16_17,27.2
2008 MAR,Unemployment_rate_16_over,5.3
2008 MAR,Unemployment_rate_Aged_16_17,28.7
2008 MAR,Druguse16to20,20.57740224
2008 MAR,druguse20to24,21.92783158
2008 APR,Unemployment_rate_16_over,5.2
2008 APR,Unemployment_rate_Aged_16_17,27.8
2008 MAY,Unemployment_rate_16_over,5.4
2008 MAY,Unemployment_rate_Aged_16_17,30.3
2008 JUN,Unemployment_rate_16_over,5.5
2008 JUN,Unemployment_rate_Aged_16_17,31.2
2008 JUL,Unemployment_rate_16_over,5.7
2008 JUL,Unemployment_rate_Aged_16_17,32.9
2008 AUG,Unemployment_rate_16_over,5.9
2008 AUG,Unemployment_rate_Aged_16_17,32.2
2008 SEP,Unemployment_rate_16_over,6.0
2008 SEP,Unemployment_rate_Aged_16_17,33.9
2008 OCT,Unemployment_rate_16_over,6.2
2008 OCT,Unemployment_rate_Aged_16_17,33.5
2008 NOV,Unemployment_rate_16_over,6.4
2008 NOV,Unemployment_rate_Aged_16_17,33.2
2008 DEC,Unemployment_rate_16_over,6.5
2008 DEC,Unemployment_rate_Aged_16_17,33.4
2009 JAN,Unemployment_rate_16_over,6.7
2009 JAN,Unemployment_rate_Aged_16_17,33.9
2009 FEB,Unemployment_rate_16_over,7.1
2009 FEB,Unemployment_rate_Aged_16_17,34.7
2009 MAR,Unemployment_rate_16_over,7.3
2009 MAR,Unemployment_rate_Aged_16_17,35.2
2009 MAR,Druguse16to20,22.1184833
2009 MAR,druguse20to24,22.66687218
2009 APR,Unemployment_rate_16_over,7.6
2009 APR,Unemployment_rate_Aged_16_17,34.9
2009 MAY,Unemployment_rate_16_over,7.8
2009 MAY,Unemployment_rate_Aged_16_17,36.8
2009 JUN,Unemployment_rate_16_over,7.9
2009 JUN,Unemployment_rate_Aged_16_17,38.9
2009 JUL,Unemployment_rate_16_over,7.9
2009 JUL,Unemployment_rate_Aged_16_17,37.7
2009 AUG,Unemployment_rate_16_over,7.8
2009 AUG,Unemployment_rate_Aged_16_17,34.2
2009 SEP,Unemployment_rate_16_over,7.9
2009 SEP,Unemployment_rate_Aged_16_17,36.6
2009 OCT,Unemployment_rate_16_over,7.8
2009 OCT,Unemployment_rate_Aged_16_17,39.4
2009 NOV,Unemployment_rate_16_over,7.8
2009 NOV,Unemployment_rate_Aged_16_17,39.4
2009 DEC,Unemployment_rate_16_over,7.7
2009 DEC,Unemployment_rate_Aged_16_17,40.3
2010 JAN,Unemployment_rate_16_over,7.9
2010 JAN,Unemployment_rate_Aged_16_17,38.7
2010 FEB,Unemployment_rate_16_over,8.0
2010 FEB,Unemployment_rate_Aged_16_17,39.0
2010 MAR,Unemployment_rate_16_over,8.0
2010 MAR,Unemployment_rate_Aged_16_17,40.4
2010 MAR,Druguse16to20,22.52203742
2010 MAR,druguse20to24,18.15064875
2010 APR,Unemployment_rate_16_over,7.9
2010 APR,Unemployment_rate_Aged_16_17,37.5
2010 MAY,Unemployment_rate_16_over,7.9
2010 MAY,Unemployment_rate_Aged_16_17,35.8
2010 JUN,Unemployment_rate_16_over,7.8
2010 JUN,Unemployment_rate_Aged_16_17,36.4
2010 JUL,Unemployment_rate_16_over,7.8
2010 JUL,Unemployment_rate_Aged_16_17,38.2
2010 AUG,Unemployment_rate_16_over,7.8
2010 AUG,Unemployment_rate_Aged_16_17,37.7
2010 SEP,Unemployment_rate_16_over,7.9
2010 SEP,Unemployment_rate_Aged_16_17,41.6
2010 OCT,Unemployment_rate_16_over,7.9
2010 OCT,Unemployment_rate_Aged_16_17,39.9
2010 NOV,Unemployment_rate_16_over,7.9
2010 NOV,Unemployment_rate_Aged_16_17,39.6
2010 DEC,Unemployment_rate_16_over,7.9
2010 DEC,Unemployment_rate_Aged_16_17,39.9
2011 JAN,Unemployment_rate_16_over,7.8
2011 JAN,Unemployment_rate_Aged_16_17,39.5
2011 FEB,Unemployment_rate_16_over,7.8
2011 FEB,Unemployment_rate_Aged_16_17,41.5
2011 MAR,Unemployment_rate_16_over,7.7
2011 MAR,Unemployment_rate_Aged_16_17,41.9
2011 MAR,Druguse16to20,23.34187831
2011 MAR,druguse20to24,18.62918331
2011 APR,Unemployment_rate_16_over,7.8
2011 APR,Unemployment_rate_Aged_16_17,41.2
2011 MAY,Unemployment_rate_16_over,7.9
2011 MAY,Unemployment_rate_Aged_16_17,40.8
2011 JUN,Unemployment_rate_16_over,8.0
2011 JUN,Unemployment_rate_Aged_16_17,44.1
2011 JUL,Unemployment_rate_16_over,8.2
2011 JUL,Unemployment_rate_Aged_16_17,43.1
2011 AUG,Unemployment_rate_16_over,8.3
2011 AUG,Unemployment_rate_Aged_16_17,44.8
2011 SEP,Unemployment_rate_16_over,8.4
2011 SEP,Unemployment_rate_Aged_16_17,41.7
2011 OCT,Unemployment_rate_16_over,8.5
2011 OCT,Unemployment_rate_Aged_16_17,41.9
2011 NOV,Unemployment_rate_16_over,8.4
2011 NOV,Unemployment_rate_Aged_16_17,39.4
2011 DEC,Unemployment_rate_16_over,8.4
2011 DEC,Unemployment_rate_Aged_16_17,43.7
2012 JAN,Unemployment_rate_16_over,8.3
2012 JAN,Unemployment_rate_Aged_16_17,43.4
2012 FEB,Unemployment_rate_16_over,8.2
2012 FEB,Unemployment_rate_Aged_16_17,40.6
2012 MAR,Unemployment_rate_16_over,8.2
2012 MAR,Unemployment_rate_Aged_16_17,41.5
2012 MAR,Druguse16to20,19.81399292
2012 MAR,druguse20to24,19.14661886
2012 APR,Unemployment_rate_16_over,8.1
2012 APR,Unemployment_rate_Aged_16_17,39.1
2012 MAY,Unemployment_rate_16_over,8.0
2012 MAY,Unemployment_rate_Aged_16_17,40.7
2012 JUN,Unemployment_rate_16_over,8.0
2012 JUN,Unemployment_rate_Aged_16_17,40.1
2012 JUL,Unemployment_rate_16_over,7.9
2012 JUL,Unemployment_rate_Aged_16_17,38.0
2012 AUG,Unemployment_rate_16_over,7.9
2012 AUG,Unemployment_rate_Aged_16_17,34.3
2012 SEP,Unemployment_rate_16_over,7.9
2012 SEP,Unemployment_rate_Aged_16_17,39.0
2012 OCT,Unemployment_rate_16_over,7.8
2012 OCT,Unemployment_rate_Aged_16_17,36.8
2012 NOV,Unemployment_rate_16_over,7.8
2012 NOV,Unemployment_rate_Aged_16_17,35.6
2012 DEC,Unemployment_rate_16_over,7.8
2012 DEC,Unemployment_rate_Aged_16_17,35.7
2013 JAN,Unemployment_rate_16_over,8.0
2013 JAN,Unemployment_rate_Aged_16_17,39.7
2013 FEB,Unemployment_rate_16_over,7.8
2013 FEB,Unemployment_rate_Aged_16_17,41.3
2013 MAR,Unemployment_rate_16_over,7.8
2013 MAR,Unemployment_rate_Aged_16_17,38.7
2013 MAR,Druguse16to20,16.41492236
2013 MAR,druguse20to24,16.39396438
2013 APR,Unemployment_rate_16_over,7.8
2013 APR,Unemployment_rate_Aged_16_17,41.2
2013 MAY,Unemployment_rate_16_over,7.7
2013 MAY,Unemployment_rate_Aged_16_17,39.8
2013 JUN,Unemployment_rate_16_over,7.7
2013 JUN,Unemployment_rate_Aged_16_17,40.6
2013 JUL,Unemployment_rate_16_over,7.7
2013 JUL,Unemployment_rate_Aged_16_17,35.6
2013 AUG,Unemployment_rate_16_over,7.6
2013 AUG,Unemployment_rate_Aged_16_17,33.2
2013 SEP,Unemployment_rate_16_over,7.4
