Year,Type,Value
2002,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.71
2003,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.47
2004,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.62
2005,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.74
1930,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),100.0
1931,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),100.5
1932,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),101.0
1933,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),101.5
1934,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),102.0
1935,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),102.5
1936,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),103.0
1937,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),103.5
1938,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),104.0
1939,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),104.5
1940,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),105.0
1941,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),100.17
1942,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),95.33
1943,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),90.5
1944,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),85.67
1945,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),80.83
1946,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),76.0
1947,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),71.17
1948,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),66.33
1949,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),61.5
1950,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),56.67
1951,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),55.5
1952,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),54.33
1953,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),53.17
1954,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),52.0
1955,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),50.83
1956,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),49.67
1957,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),48.5
1958,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),47.33
1959,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),46.17
1960,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),45.0
1961,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.96
1962,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.92
1963,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.88
1964,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.83
1965,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.79
1966,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.75
1967,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.71
1968,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.67
1969,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.63
1970,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.59
1971,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),44.19
1972,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),43.8
1973,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),43.41
1974,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),43.01
1975,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),42.62
1976,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),42.23
1977,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),41.83
1978,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),41.44
1979,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),41.05
1980,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),40.66
1981,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),39.09
1982,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),37.53
1983,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),35.97
1984,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),34.41
1985,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),32.84
1986,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),31.28
1987,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),29.72
1988,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),28.16
1989,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),26.59
1990,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),25.03
1991,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),24.58
1992,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),24.13
1993,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),23.68
1994,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),23.23
1995,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),22.78
1996,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),22.33
1997,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),21.88
1998,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),21.43
1999,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),20.98
2000,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),20.53
2001,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),19.95
2002,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),20.14
2003,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),22.32
2004,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),
2005,Sea freight cost (relative to 1930) (OECD Economic Outlook (2007)),
