Country,ISO3,Year,"GDP, PPP (constant 2017 $)",Employment (000s),Output per worker ($),Continent
Hungary,HUN,1993,164258000000.0,3770.0,43569.76127320955,Europe
Ireland,IRL,1993,101516000000.0,1173.7,86492.289341399,Europe
Iceland,ISL,1993,,136.6,,Europe
Italy,ITA,1993,2106500000000.0,20305.2,103741.89862695272,Europe
Japan,JPN,1993,4217070000000.0,64496.67,65384.30588742023,Asia
South Korea,KOR,1993,682205000000.0,19234.5,35467.77925082534,Asia
Luxembourg,LUX,1993,31189434676.0,145.3418,214593.7003394756,Europe
Mexico,MEX,1993,1380350000000.0,31340.51,44043.63553751997,America
Netherlands,NLD,1993,575120000000.0,6639.9,86615.7622855766,Europe
Norway,NOR,1993,196249000000.0,1970.0,99618.78172588832,Europe
New Zealand,NZL,1993,99298982472.0,1544.75,64281.58761741382,Oceania
Poland,POL,1993,424328000000.0,14894.0,28489.86168927085,Europe
Portugal,PRT,1993,243050000000.0,4418.2,55011.09048933955,Europe
Sweden,SWE,1993,279744000000.0,3964.0,70571.14026236125,Europe
United States,USA,1993,10730600000000.0,120259.3,89228.85797605674,America
Australia,AUS,1994,572707000000.0,7899.284,72501.12795033069,Oceania
Austria,AUT,1994,312962000000.0,3698.0,84630.07030827475,Europe
Belgium,BEL,1994,374090000000.0,3687.0,101461.89313805262,Europe
Canada,CAN,1994,,13058.74,,America
Chile,CHL,1994,173676000000.0,5036.22,34485.387850411615,America
Czech Republic,CZE,1994,220687000000.0,4863.016,45380.68556632345,Europe
Germany,DEU,1994,3166450000000.0,35756.0,88557.16523101018,Europe
Denmark,DNK,1994,218502000000.0,2537.0,86126.13322822232,Europe
Spain,ESP,1994,1122090000000.0,12169.5,92205.10292123751,Europe
Estonia,EST,1994,,673.6,,Europe
Finland,FIN,1994,154384000000.0,2045.0,75493.39853300733,Europe
France,FRA,1994,2051330000000.0,22713.89,90311.69914092214,Europe
United Kingdom,GBR,1994,1908010000000.0,25253.0,75555.77555141963,Europe
Greece,GRC,1994,257803000000.0,3786.157,68090.94287426538,Europe
Hungary,HUN,1994,169099000000.0,3644.0,46404.77497255763,Europe
Ireland,IRL,1994,107359000000.0,1213.0,88507.00741962077,Europe
Iceland,ISL,1994,,137.7,,Europe
Italy,ITA,1994,2151810000000.0,19972.18,107740.36685028874,Europe
Japan,JPN,1994,4262750000000.0,64530.0,66058.42243917557,Asia
South Korea,KOR,1994,745437000000.0,19848.42,37556.49064258012,Asia
Luxembourg,LUX,1994,32381158085.0,148.7024,217758.14031918783,Europe
Mexico,MEX,1994,1448560000000.0,32439.0,44654.89071796295,America
Netherlands,NLD,1994,592150000000.0,6706.5,88294.9377469619,Europe
Norway,NOR,1994,206170000000.0,2003.0,102930.6040938592,Europe
New Zealand,NZL,1994,104382000000.0,1611.275,64782.237668926784,Oceania
Poland,POL,1994,446786000000.0,14658.0,30480.693136853595,Europe
Portugal,PRT,1994,245395000000.0,4408.9,55659.007915806666,Europe
Slovakia,SVK,1994,66967009188.0,2110.225,31734.535032046344,Europe
Sweden,SWE,1994,290738000000.0,3928.0,74016.80244399185,Europe
United States,USA,1994,11162900000000.0,123065.2,90707.20236102489,America
Australia,AUS,1995,594969000000.0,8188.812,72656.32670526567,Oceania
Austria,AUT,1995,321312000000.0,3729.0,86165.7280772325,Europe
Belgium,BEL,1995,383011000000.0,3715.0,103098.5195154778,Europe
Canada,CAN,1995,,13295.38,,America
Chile,CHL,1995,189191000000.0,5095.317,37130.3689250345,America
Czech Republic,CZE,1995,235034000000.0,4908.005,47887.88927476643,Europe
Germany,DEU,1995,3215350000000.0,35780.0,89864.44941307993,Europe
Denmark,DNK,1995,225117000000.0,2602.0,86516.91006917755,Europe
Spain,ESP,1995,1153030000000.0,12461.1,92530.35446308913,Europe
Estonia,EST,1995,18289381482.0,631.0,28984.75670681458,Europe
Finland,FIN,1995,160894000000.0,2090.0,76982.77511961723,Europe
France,FRA,1995,2094540000000.0,22914.76,91405.71404631776,Europe
United Kingdom,GBR,1995,1956320000000.0,25489.0,76751.5398799482,Europe
Greece,GRC,1995,263217000000.0,3820.51,68895.77569486796,Europe
Hungary,HUN,1995,171617000000.0,3575.0,48004.75524475525,Europe
Ireland,IRL,1995,117702000000.0,1272.2,92518.47193837448,Europe
Iceland,ISL,1995,9004625966.0,142.0,63412.85891549296,Europe
Israel,ISR,1995,147877000000.0,1964.975,75256.42819883204,Asia
Italy,ITA,1995,2213930000000.0,19851.25,111525.97443485926,Europe
Japan,JPN,1995,4374910000000.0,64565.83,67758.9059104483,Asia
South Korea,KOR,1995,817107000000.0,20414.42,40025.97183755404,Asia
Luxembourg,LUX,1995,32844921027.0,152.8019,214950.9988226586,Europe
Mexico,MEX,1995,1357420000000.0,32174.89,42188.800023869546,America
Netherlands,NLD,1995,610602000000.0,6781.6,90038.04411938186,Europe
Norway,NOR,1995,214738000000.0,2047.0,104903.7616023449,Europe
New Zealand,NZL,1995,109311000000.0,1686.225,64825.868433927855,Oceania
Poland,POL,1995,478521000000.0,14791.0,32352.173619092693,Europe
Portugal,PRT,1995,255905000000.0,4381.6,58404.4641226949,Europe
Slovakia,SVK,1995,70880222508.0,2146.775,33017.070958996635,Europe
Sweden,SWE,1995,302179000000.0,3986.0,75810.0852985449,Europe
United States,USA,1995,11462500000000.0,124899.7,91773.63916806846,America
Australia,AUS,1996,617916000000.0,8298.891,74457.65946317406,Oceania
Austria,AUT,1996,328862000000.0,3679.0,89388.96439249796,Europe
Belgium,BEL,1996,388072000000.0,3738.1,103815.30724164682,Europe
Canada,CAN,1996,,13420.13,,America
Chile,CHL,1996,202061000000.0,5182.078,38992.27298392652,America
Czech Republic,CZE,1996,245059000000.0,4914.538,49864.09709315504,Europe
Germany,DEU,1996,3241260000000.0,35636.75,90952.73839505568,Europe
Denmark,DNK,1996,231646000000.0,2627.0,88178.91130567186,Europe
Spain,ESP,1996,1183710000000.0,12811.55,92393.972626263,Europe
Estonia,EST,1996,19193428259.0,617.0,31107.663304700163,Europe
Finland,FIN,1996,166795000000.0,2119.0,78714.0160453044,Europe
France,FRA,1996,2124140000000.0,22973.49,92460.48380111162,Europe
United Kingdom,GBR,1996,1993640000000.0,25727.0,77492.1288918257,Europe
Greece,GRC,1996,270750000000.0,3868.283,69992.29373859151,Europe
Hungary,HUN,1996,171759000000.0,3557.0,48287.60191172336,Europe
Ireland,IRL,1996,126388000000.0,1319.2,95806.54942389327,Europe
Iceland,ISL,1996,9415878362.0,142.036,66292.19607705089,Europe
Israel,ISR,1996,156644000000.0,2012.8,77823.92686804451,Asia
Italy,ITA,1996,2241970000000.0,19950.72,112375.39296827382,Europe
Japan,JPN,1996,4512010000000.0,64859.17,69566.2617945928,Asia
South Korea,KOR,1996,881583000000.0,20853.08,42275.913198434,Asia
Luxembourg,LUX,1996,33304117487.0,156.5439,212746.184852939,Europe
Mexico,MEX,1996,1449370000000.0,33495.83,43270.1622858726,America
Netherlands,NLD,1996,631965000000.0,6931.8,91168.96044317492,Europe
Norway,NOR,1996,225535000000.0,2104.0,107193.44106463878,Europe
New Zealand,NZL,1996,113263000000.0,1740.025,65092.74292036034,Oceania
Poland,POL,1996,507785000000.0,14968.5,33923.57283628954,Europe
Portugal,PRT,1996,264873000000.0,4409.1,60074.1647955365,Europe
Slovakia,SVK,1996,75572421026.0,2224.875,33967.0413061408,Europe
Slovenia,SVN,1996,44112167268.0,871.0,50645.42740298507,Europe
Sweden,SWE,1996,306952000000.0,3963.0,77454.45369669443,Europe
United States,USA,1996,11895000000000.0,126707.5,93877.6315529862,America
Australia,AUS,1997,642094000000.0,8366.658,76744.38228501752,Oceania
Austria,AUT,1997,335747000000.0,3684.0,91136.53637350706,Europe
Belgium,BEL,1997,402794000000.0,3762.2,107063.42033916326,Europe
Canada,CAN,1997,1103840000000.0,13708.17,80524.2421125504,America
Chile,CHL,1997,216997000000.0,5281.26,41088.111549137895,America
Czech Republic,CZE,1997,243789000000.0,4884.378,49911.98469897293,Europe
Germany,DEU,1997,3299340000000.0,35508.0,92918.2156133829,Europe
Denmark,DNK,1997,239199000000.0,2681.0,89220.06713912719,Europe
Spain,ESP,1997,1227530000000.0,13286.45,92389.6149836864,Europe
Estonia,EST,1997,21698173476.0,615.0,35281.58288780488,Europe
Finland,FIN,1997,177359000000.0,2162.0,82034.69010175763,Europe
France,FRA,1997,2173770000000.0,23104.05,94086.10178734898,Europe
United Kingdom,GBR,1997,2080690000000.0,26155.0,79552.28445803862,Europe
Greece,GRC,1997,282891000000.0,3853.335,73414.58762344826,Europe
Hungary,HUN,1997,177157000000.0,3567.0,49665.54527614242,Europe
Ireland,IRL,1997,140318000000.0,1371.6,102302.420530767,Europe
Iceland,ISL,1997,9959326368.0,142.035,70118.81837575245,Europe
Israel,ISR,1997,162582000000.0,2040.15,79691.19917653114,Asia
Italy,ITA,1997,2283010000000.0,20027.45,113994.04317574127,Europe
Japan,JPN,1997,4556280000000.0,65567.5,69489.9149731193,Asia
South Korea,KOR,1997,935981000000.0,21213.92,44121.07710409015,Asia
Luxembourg,LUX,1997,35109145135.0,162.5027,216052.68795533857,Europe
Mexico,MEX,1997,1548600000000.0,35425.19,43714.65615286749,America
Netherlands,NLD,1997,659323000000.0,7186.0,91751.0436960757,Europe
Norway,NOR,1997,237453000000.0,2166.0,109627.42382271469,Europe
New Zealand,NZL,1997,115585000000.0,1750.125,66043.85401042782,Oceania
Poland,POL,1997,540532000000.0,15176.75,35615.79389526743,Europe
Portugal,PRT,1997,276529000000.0,4491.0,61574.03696281452,Europe
Slovakia,SVK,1997,80050719576.0,2205.875,36289.780507055024,Europe
Slovenia,SVN,1997,46339740604.0,893.2,51880.58733094492,Europe
Sweden,SWE,1997,316377000000.0,3922.0,80667.26160122387,Europe
United States,USA,1997,12424000000000.0,129557.9,95895.34872053344,America
Australia,AUS,1998,671716000000.0,8517.424,78863.7503545673,Oceania
Austria,AUT,1998,347771000000.0,3689.0,94272.43155326646,Europe
Belgium,BEL,1998,410696000000.0,3810.4,107782.90993071592,Europe
Canada,CAN,1998,1146850000000.0,14047.01,81643.70923064766,America
Switzerland,CHE,1998,407725000000.0,3833.0,106372.2932428907,Europe
Chile,CHL,1998,226070000000.0,5393.913,41912.05901912026,America
Czech Republic,CZE,1998,242919000000.0,4817.696,50422.23502686762,Europe
Germany,DEU,1998,3365790000000.0,36061.25,93335.36691046484,Europe
Denmark,DNK,1998,244505000000.0,2693.0,90792.7961381359,Europe
Spain,ESP,1998,1281460000000.0,13837.87,92605.29257754264,Europe
Estonia,EST,1998,22639836344.0,604.0,37483.17275496689,Europe
Finland,FIN,1998,187038000000.0,2203.45,84884.158932583,Europe
France,FRA,1998,2251780000000.0,23520.51,95736.8696512108,Europe
United Kingdom,GBR,1998,2146390000000.0,26395.0,81318.05266148892,Europe
Greece,GRC,1998,293909000000.0,4017.9,73149.90417879987,Europe
Hungary,HUN,1998,184067000000.0,3636.0,50623.48734873488,Europe
Ireland,IRL,1998,152619000000.0,1520.75,100357.71823113596,Europe
Iceland,ISL,1998,10692611744.0,147.917,72287.91649370932,Europe
Israel,ISR,1998,169273000000.0,2072.475,81676.73916452551,Asia
Italy,ITA,1998,2324340000000.0,20424.05,113804.06922231388,Europe
Japan,JPN,1998,4498400000000.0,65141.67,69055.64441316902,Asia
South Korea,KOR,1998,887971000000.0,19937.42,44537.90911762906,Asia
Luxembourg,LUX,1998,37452509307.0,170.6,219534.0522098476,Europe
Latvia,LVA,1998,28321854358.0,986.1,28721.077332927696,Europe
Mexico,MEX,1998,1628570000000.0,36356.97,44793.88683930482,America
Netherlands,NLD,1998,690074000000.0,7402.0,93228.04647392596,Europe
Norway,NOR,1998,243685000000.0,2219.0,109817.48535376295,Europe
New Zealand,NZL,1998,116507000000.0,1738.475,67016.7819496973,Oceania
Portugal,PRT,1998,289825000000.0,4847.875,59783.92594693552,Europe
Slovakia,SVK,1998,83313664939.0,2198.5,37895.68566704571,Europe
Slovenia,SVN,1998,47859390044.0,904.7,52900.840106112526,Europe
Sweden,SWE,1998,330018000000.0,3979.0,82939.93465694899,Europe
United States,USA,1998,12980700000000.0,131463.5,98739.95443602216,America
Australia,AUS,1999,705008000000.0,8672.614,81291.29233700474,Oceania
Austria,AUT,1999,360139000000.0,3731.0,96526.1324041812,Europe
Belgium,BEL,1999,425246000000.0,4007.0,106125.7798852009,Europe
Canada,CAN,1999,1206060000000.0,14401.98,83742.65205200952,America
Switzerland,CHE,1999,414505000000.0,3862.0,107329.10409114449,Europe
Chile,CHL,1999,225451000000.0,5315.453,42414.25895403459,America
Czech Republic,CZE,1999,246282000000.0,4714.025,52244.525644221234,Europe
Germany,DEU,1999,3429310000000.0,36042.38,95146.6024163776,Europe
Denmark,DNK,1999,251713000000.0,2707.0,92985.96231991134,Europe
Spain,ESP,1999,1339010000000.0,14689.83,91152.17807149571,Europe
Estonia,EST,1999,22543611344.0,577.2,39056.84571032571,Europe
Finland,FIN,1999,195229000000.0,2295.925,85032.82990515805,Europe
France,FRA,1999,2328820000000.0,24005.29,97012.78343231848,Europe
United Kingdom,GBR,1999,2211080000000.0,26691.0,82839.90858341764,Europe
Greece,GRC,1999,302940000000.0,4031.3,75146.97492124129,Europe
Hungary,HUN,1999,189719000000.0,3791.475,50038.30962883838,Europe
Ireland,IRL,1999,168690000000.0,1614.425,104489.21442618888,Europe
Iceland,ISL,1999,11124050451.0,153.347,72541.68944289748,Europe
Israel,ISR,1999,174910000000.0,2136.6,81863.70869605916,Asia
Italy,ITA,1999,2362130000000.0,20682.3,114210.21839930762,Europe
Japan,JPN,1999,4483380000000.0,64623.33,69377.11195012699,Asia
South Korea,KOR,1999,989794000000.0,20291.17,48779.543022901096,Asia
Luxembourg,LUX,1999,40514319942.0,176.1,230064.28132879047,Europe
Latvia,LVA,1999,29102454005.0,971.8,29946.95822700144,Europe
Mexico,MEX,1999,1673410000000.0,36774.94,45504.08511883364,America
Netherlands,NLD,1999,724812000000.0,7604.6,95312.31096967624,Europe
Norway,NOR,1999,248590000000.0,2233.0,111325.5709807434,Europe
New Zealand,NZL,1999,122858000000.0,1765.675,69581.321590893,Oceania
Portugal,PRT,1999,301147000000.0,4924.8,61149.08219623132,Europe
Slovakia,SVK,1999,83225423302.0,2131.925,39037.68814662805,Europe
Slovenia,SVN,1999,50411571738.0,882.725,57109.03366053981,Europe
Sweden,SWE,1999,344035000000.0,4068.0,84571.04228121927,Europe
United States,USA,1999,13603100000000.0,133487.9,101905.11649370469,America
Australia,AUS,2000,732512000000.0,8901.732,82288.7051643433,Oceania
Austria,AUT,2000,372296000000.0,3741.0,99517.77599572307,Europe
Belgium,BEL,2000,441051000000.0,4092.65,107766.60598878477,Europe
Canada,CAN,2000,1268510000000.0,14760.13,85941.65498542356,America
Switzerland,CHE,2000,430914000000.0,3878.8,111094.66845416107,Europe
Chile,CHL,2000,236660000000.0,5414.067,43712.05601999384,America
Czech Republic,CZE,2000,256136000000.0,4681.2,54715.88481585918,Europe
Germany,DEU,2000,3529190000000.0,36235.5,97395.9238867961,Europe
Denmark,DNK,2000,261145000000.0,2722.0,95938.64805290228,Europe
Spain,ESP,2000,1409250000000.0,15505.9,90884.75999458272,Europe
Estonia,EST,2000,24817728446.0,585.275,42403.53414377857,Europe
Finland,FIN,2000,206501000000.0,2335.425,88421.16531252342,Europe
France,FRA,2000,2420190000000.0,24628.81,98266.62351936614,Europe
United Kingdom,GBR,2000,2301570000000.0,27483.5,83743.7007659141,Europe
Greece,GRC,2000,314815000000.0,4088.475,77000.59313069054,Europe
Hungary,HUN,2000,198217000000.0,3829.1,51765.95022329007,Europe
Ireland,IRL,2000,184552000000.0,1692.05,109070.06294140244,Europe
Iceland,ISL,2000,11678589124.0,156.364,74688.47768028447,Europe
Israel,ISR,2000,190078000000.0,2221.25,85572.5379853686,Asia
Italy,ITA,2000,2451580000000.0,21072.93,116337.87992462367,Europe
Japan,JPN,2000,4607330000000.0,64463.33,71472.10670004171,Asia
South Korea,KOR,2000,1079480000000.0,21172.98,50983.84828210295,Asia
Luxembourg,LUX,2000,43325256230.0,180.9,239498.37606412385,Europe
Latvia,LVA,2000,30754234010.0,941.6,32661.67588147833,Europe
Mexico,MEX,2000,1756120000000.0,37594.3,46712.40055008339,America
Netherlands,NLD,2000,755223000000.0,7869.8,95964.70050064805,Europe
Norway,NOR,2000,256557000000.0,2255.025,113771.24422123923,Europe
New Zealand,NZL,2000,126427000000.0,1799.1,70272.35840142293,Oceania
Poland,POL,2000,618943000000.0,14525.53,42610.69991938332,Europe
Portugal,PRT,2000,312639000000.0,5039.975,62031.85531674264,Europe
Slovakia,SVK,2000,84196269935.0,2101.575,40063.41431307472,Europe
Slovenia,SVN,2000,52262871957.0,900.65,58027.948655970686,Europe
Sweden,SWE,2000,360433000000.0,4159.0,86663.38062034143,Europe
Türkiye,TUR,2000,976023000000.0,21538.0,45316.324635527904,Asia
United States,USA,2000,14157700000000.0,136890.8,103423.31259660986,America
Australia,AUS,2001,747465000000.0,9015.015,82913.33957846992,Oceania
Austria,AUT,2001,377014000000.0,3708.0,101675.83603020496,Europe
Belgium,BEL,2001,445901000000.0,4055.55,109948.34239498958,Europe
Canada,CAN,2001,1291210000000.0,14932.3,86470.93883728562,America
Switzerland,CHE,2001,437703000000.0,3938.2,111142.90792747957,Europe
Chile,CHL,2001,244124000000.0,5468.072,44645.35214605806,America
Czech Republic,CZE,2001,263930000000.0,4683.55,56352.55308473273,Europe
Germany,DEU,2001,3588530000000.0,36346.18,98731.97128281432,Europe
Denmark,DNK,2001,263294000000.0,2725.0,96621.6513761468,Europe
Spain,ESP,2001,1464670000000.0,16146.28,90712.53564288492,Europe
Estonia,EST,2001,26307704019.0,589.625,44617.68754547382,Europe
Finland,FIN,2001,211890000000.0,2367.025,89517.43221976954,Europe
France,FRA,2001,2468200000000.0,25098.8,98339.36283806396,Europe
United Kingdom,GBR,2001,2351230000000.0,27711.5,84846.72428414196,Europe
Greece,GRC,2001,327822000000.0,4202.175,78012.45783433579,Europe
Hungary,HUN,2001,206293000000.0,3868.275,53329.45563591006,Europe
Ireland,IRL,2001,194344000000.0,1745.2,111359.1565436626,Europe
Iceland,ISL,2001,12147309013.0,159.044,76377.03411005759,Europe
Israel,ISR,2001,190713000000.0,2264.95,84201.85876067904,Asia
Italy,ITA,2001,2499420000000.0,21506.75,116215.60672812024,Europe
Japan,JPN,2001,4625120000000.0,64120.83,72131.3183251059,Asia
South Korea,KOR,2001,1131860000000.0,21613.66,52367.80813615093,Asia
Luxembourg,LUX,2001,44657228411.0,185.3,240999.61365893143,Europe
Latvia,LVA,2001,32698980507.0,933.8,35017.11341507817,Europe
Mexico,MEX,2001,1749020000000.0,37684.47,46412.22232925128,America
Netherlands,NLD,2001,772797000000.0,8067.9,95786.6359275648,Europe
Norway,NOR,2001,261880000000.0,2265.3,115604.99713062288,Europe
New Zealand,NZL,2001,130807000000.0,1844.675,70910.59400707441,Oceania
Poland,POL,2001,626733000000.0,14205.6,44118.72782564622,Europe
Portugal,PRT,2001,318716000000.0,5127.775,62154.83323663772,Europe
Slovakia,SVK,2001,86935834679.0,2121.1,40986.202762246,Europe
Slovenia,SVN,2001,53943938766.0,916.275,58873.08806417287,Europe
Sweden,SWE,2001,365657000000.0,4318.1,84680.0676223339,Europe
Türkiye,TUR,2001,919902000000.0,21530.5,42725.528900861565,Asia
United States,USA,2001,14292800000000.0,136933.3,104377.82482420272,America
Australia,AUS,2002,777316000000.0,9190.267,84580.35005947053,Oceania
Austria,AUT,2002,383241000000.0,3757.0,102007.18658504126,Europe
Belgium,BEL,2002,453512000000.0,4069.825,111432.80116466925,Europe
Canada,CAN,2002,1330180000000.0,15291.33,86989.1631401585,America
Switzerland,CHE,2002,437383000000.0,3964.9,110313.75318419129,Europe
Chile,CHL,2002,251943000000.0,5570.502,45228.06023586384,America
Czech Republic,CZE,2002,268073000000.0,4731.1,56661.87567373338,Europe
Germany,DEU,2002,3581430000000.0,36061.38,99314.83487320784,Europe
Denmark,DNK,2002,264522000000.0,2715.0,97429.83425414364,Europe
Spain,ESP,2002,1504670000000.0,16790.1,89616.50019952234,Europe
Estonia,EST,2002,28089095452.0,589.875,47618.72507226107,Europe
Finland,FIN,2002,215508000000.0,2372.35,90841.57059455814,Europe
France,FRA,2002,2496230000000.0,25290.03,98704.11383458224,Europe
United Kingdom,GBR,2002,2392860000000.0,27944.0,85630.54680790151,Europe
Greece,GRC,2002,340682000000.0,4264.775,79882.76052077777,Europe
Hungary,HUN,2002,216074000000.0,3870.65,55823.69886194825,Europe
Ireland,IRL,2002,205809000000.0,1776.975,115819.862406618,Europe
Iceland,ISL,2002,12215275525.0,156.727,77939.82865109394,Europe
Israel,ISR,2002,190495000000.0,2284.35,83391.33670409526,Asia
Italy,ITA,2002,2505770000000.0,21820.72,114834.43259434152,Europe
Japan,JPN,2002,4627060000000.0,63303.33,73093.46917452842,Asia
South Korea,KOR,2002,1219300000000.0,22231.48,54845.65130166773,Asia
Luxembourg,LUX,2002,46097610203.0,188.2,244939.48035600423,Europe
Latvia,LVA,2002,35016726314.0,955.45,36649.45974566958,Europe
