Unnamed: 0,Year,Values,Energy Source
12,1920,0.0,Biofuels ()
13,1930,0.0,Biofuels ()
14,1940,0.0,Biofuels ()
15,1950,0.0,Biofuels ()
16,1960,0.0,Biofuels ()
17,1965,9.029861450195312,Biofuels ()
18,1966,9.209843635559082,Biofuels ()
19,1967,9.383715629577637,Biofuels ()
20,1968,9.553799629211426,Biofuels ()
21,1969,9.723980903625488,Biofuels ()
22,1970,11.0390625,Biofuels ()
23,1971,11.649558067321776,Biofuels ()
24,1972,12.946932792663574,Biofuels ()
25,1973,12.586639404296877,Biofuels ()
26,1974,12.167814254760742,Biofuels ()
27,1975,11.480279922485352,Biofuels ()
28,1976,11.8699312210083,Biofuels ()
29,1977,15.85667896270752,Biofuels ()
30,1978,20.971792221069336,Biofuels ()
31,1979,26.000825881958008,Biofuels ()
32,1980,29.85854721069336,Biofuels ()
33,1981,27.297348022460938,Biofuels ()
34,1982,35.2225227355957,Biofuels ()
35,1983,44.50929641723633,Biofuels ()
36,1984,53.71253204345703,Biofuels ()
37,1985,63.57527923583984,Biofuels ()
38,1986,79.67752838134766,Biofuels ()
39,1987,81.13545989990234,Biofuels ()
40,1988,85.56256103515625,Biofuels ()
41,1989,91.30406188964844,Biofuels ()
42,1990,100.9355926513672,Biofuels ()
43,1991,106.65062713623048,Biofuels ()
44,1992,104.65896606445312,Biofuels ()
45,1993,109.13502502441406,Biofuels ()
46,1994,117.91619110107422,Biofuels ()
47,1995,124.0906753540039,Biofuels ()
48,1996,119.19629669189452,Biofuels ()
49,1997,124.06340789794922,Biofuels ()
50,1998,126.48511505126952,Biofuels ()
51,1999,128.31883239746094,Biofuels ()
52,2000,125.51532745361328,Biofuels ()
53,2001,121.65283966064452,Biofuels ()
54,2002,151.30210876464844,Biofuels ()
55,2003,171.0836639404297,Biofuels ()
56,2004,202.19873046875,Biofuels ()
57,2005,240.344482421875,Biofuels ()
58,2006,298.0293884277344,Biofuels ()
59,2007,391.1390075683594,Biofuels ()
60,2008,527.3995361328125,Biofuels ()
61,2009,600.3394775390625,Biofuels ()
62,2010,691.1564331054688,Biofuels ()
63,2011,728.102294921875,Biofuels ()
64,2012,754.1318969726562,Biofuels ()
65,2013,819.0755004882812,Biofuels ()
66,2014,868.7943725585938,Biofuels ()
67,2015,905.0957641601562,Biofuels ()
68,2016,946.94677734375,Biofuels ()
69,2017,972.5343017578124,Biofuels ()
70,2018,1045.907958984375,Biofuels ()
71,2019,1120.1494140625,Biofuels ()
72,2020,1065.56494140625,Biofuels ()
73,2021,1139.921142578125,Biofuels ()
0,1800,0.0,Solar ()
1,1810,0.0,Solar ()
2,1820,0.0,Solar ()
3,1830,0.0,Solar ()
4,1840,0.0,Solar ()
5,1850,0.0,Solar ()
6,1860,0.0,Solar ()
7,1870,0.0,Solar ()
8,1880,0.0,Solar ()
9,1890,0.0,Solar ()
10,1900,0.0,Solar ()
11,1910,0.0,Solar ()
12,1920,0.0,Solar ()
13,1930,0.0,Solar ()
14,1940,0.0,Solar ()
15,1950,0.0,Solar ()
16,1960,0.0,Solar ()
17,1965,0.0,Solar ()
18,1966,0.0,Solar ()
19,1967,0.0,Solar ()
20,1968,0.0,Solar ()
21,1969,0.0,Solar ()
22,1970,0.0,Solar ()
23,1971,0.0,Solar ()
24,1972,0.0,Solar ()
25,1973,0.0,Solar ()
26,1974,0.0,Solar ()
27,1975,0.0,Solar ()
28,1976,0.0,Solar ()
29,1977,0.0,Solar ()
30,1978,0.0,Solar ()
31,1979,0.0,Solar ()
32,1980,0.0,Solar ()
33,1981,0.0,Solar ()
34,1982,0.0,Solar ()
35,1983,0.0088611105456948,Solar ()
36,1984,0.0186666660010814,Solar ()
37,1985,0.0347372181713581,Solar ()
38,1986,0.0448983311653137,Solar ()
39,1987,0.0313530527055263,Solar ()
40,1988,0.0301494430750608,Solar ()
41,1989,0.7753913402557373,Solar ()
42,1990,1.148183822631836,Solar ()
43,1991,1.4938794374465942,Solar ()
44,1992,1.3796871900558472,Solar ()
45,1993,1.6461485624313354,Solar ()
46,1994,1.7653638124465942,Solar ()
47,1995,1.888965606689453,Solar ()
48,1996,2.0675506591796875,Solar ()
49,1997,2.216514110565185,Solar ()
50,1998,2.4004509449005127,Solar ()
51,1999,2.6766574382781982,Solar ()
52,2000,3.1313633918762207,Solar ()
53,2001,4.181310653686523,Solar ()
54,2002,5.251040458679199,Solar ()
55,2003,6.540081024169922,Solar ()
56,2004,8.56289005279541,Solar ()
57,2005,11.98942756652832,Solar ()
58,2006,16.394763946533203,Solar ()
59,2007,22.1060848236084,Solar ()
60,2008,35.68049621582031,Solar ()
61,2009,58.8535385131836,Solar ()
62,2010,94.12339782714844,Solar ()
63,2011,180.9189910888672,Solar ()
64,2012,278.41851806640625,Solar ()
65,2013,377.7468566894531,Solar ()
66,2014,531.948974609375,Solar ()
67,2015,686.0070190429688,Solar ()
68,2016,876.9552612304688,Solar ()
69,2017,1185.5150146484375,Solar ()
70,2018,1524.5496826171875,Solar ()
71,2019,1855.5921630859373,Solar ()
72,2020,2222.443115234375,Solar ()
73,2021,2701.72216796875,Solar ()
0,1800,0.0,Wind ()
1,1810,0.0,Wind ()
2,1820,0.0,Wind ()
3,1830,0.0,Wind ()
4,1840,0.0,Wind ()
5,1850,0.0,Wind ()
6,1860,0.0,Wind ()
7,1870,0.0,Wind ()
8,1880,0.0,Wind ()
9,1890,0.0,Wind ()
10,1900,0.0,Wind ()
11,1910,0.0,Wind ()
12,1920,0.0,Wind ()
13,1930,0.0,Wind ()
14,1940,0.0,Wind ()
15,1950,0.0,Wind ()
16,1960,0.0,Wind ()
17,1965,0.0,Wind ()
18,1966,0.0,Wind ()
19,1967,0.0,Wind ()
20,1968,0.0,Wind ()
21,1969,0.0,Wind ()
22,1970,0.0,Wind ()
23,1971,0.0,Wind ()
24,1972,0.0,Wind ()
25,1973,0.0,Wind ()
26,1974,0.0,Wind ()
27,1975,0.0,Wind ()
28,1976,0.0,Wind ()
29,1977,0.0,Wind ()
30,1978,0.0088611105456948,Wind ()
31,1979,0.0177499987185001,Wind ()
32,1980,0.0310483332723379,Wind ()
33,1981,0.0310483332723379,Wind ()
34,1982,0.054704163223505,Wind ()
35,1983,0.0969744473695755,Wind ()
36,1984,0.132341668009758,Wind ()
37,1985,0.1898983269929886,Wind ()
38,1986,0.4105227887630462,Wind ()
39,1987,0.5777269601821899,Wind ()
40,1988,0.9804777503013612,Wind ()
41,1989,7.835361003875732,Wind ()
42,1990,10.741175651550291,Wind ()
43,1991,12.08434772491455,Wind ()
44,1992,13.996057510375977,Wind ()
45,1993,16.8476505279541,Wind ()
46,1994,21.06242752075196,Wind ()
47,1995,24.430418014526367,Wind ()
48,1996,27.21790313720703,Wind ()
49,1997,35.53655242919922,Wind ()
50,1998,47.0789909362793,Wind ()
51,1999,62.73599624633789,Wind ()
52,2000,92.87144470214844,Wind ()
53,2001,112.7565689086914,Wind ()
54,2002,152.78575134277344,Wind ()
55,2003,183.53549194335932,Wind ()
56,2004,246.744873046875,Wind ()
57,2005,299.6399841308594,Wind ()
58,2006,379.8566589355469,Wind ()
59,2007,484.9559326171875,Wind ()
60,2008,622.1779174804688,Wind ()
61,2009,773.0018310546875,Wind ()
62,2010,961.52880859375,Wind ()
63,2011,1214.86669921875,Wind ()
64,2012,1454.5869140625,Wind ()
65,2013,1732.0169677734375,Wind ()
66,2014,1912.226806640625,Wind ()
67,2015,2238.78564453125,Wind ()
68,2016,2575.582275390625,Wind ()
69,2017,3034.9169921875,Wind ()
70,2018,3360.0185546875,Wind ()
71,2019,3744.514892578125,Wind ()
72,2020,4192.68212890625,Wind ()
73,2021,4872.0947265625,Wind ()
0,1800,0.0,Hydropower ()
1,1810,0.0,Hydropower ()
2,1820,0.0,Hydropower ()
3,1830,0.0,Hydropower ()
4,1840,0.0,Hydropower ()
5,1850,0.0,Hydropower ()
6,1860,0.0,Hydropower ()
7,1870,0.0,Hydropower ()
8,1880,0.0,Hydropower ()
9,1890,38.88888931274414,Hydropower ()
10,1900,47.22222137451172,Hydropower ()
11,1910,91.66666412353516,Hydropower ()
12,1920,177.77777099609375,Hydropower ()
13,1930,363.8888854980469,Hydropower ()
14,1940,533.3333129882812,Hydropower ()
15,1950,925.0,Hydropower ()
16,1960,1913.888916015625,Hydropower ()
17,1965,2729.886474609375,Hydropower ()
18,1966,2909.135986328125,Hydropower ()
19,1967,2973.96923828125,Hydropower ()
20,1968,3132.30517578125,Hydropower ()
21,1969,3316.98046875,Hydropower ()
22,1970,3473.426513671875,Hydropower ()
23,1971,3628.94189453125,Hydropower ()
24,1972,3798.634033203125,Hydropower ()
25,1973,3852.9951171875,Hydropower ()
26,1974,4232.13671875,Hydropower ()
27,1975,4284.33251953125,Hydropower ()
28,1976,4267.33935546875,Hydropower ()
29,1977,4410.85888671875,Hydropower ()
30,1978,4773.7109375,Hydropower ()
31,1979,5012.64697265625,Hydropower ()
32,1980,5120.46875,Hydropower ()
33,1981,5230.62841796875,Hydropower ()
34,1982,5325.265625,Hydropower ()
35,1983,5552.54248046875,Hydropower ()
36,1984,5740.6201171875,Hydropower ()
37,1985,5854.19384765625,Hydropower ()
38,1986,5933.47314453125,Hydropower ()
39,1987,6013.859375,Hydropower ()
40,1988,6206.5634765625,Hydropower ()
41,1989,6173.58251953125,Hydropower ()
42,1990,6383.380859375,Hydropower ()
43,1991,6532.16259765625,Hydropower ()
44,1992,6530.3935546875,Hydropower ()
45,1993,6923.66455078125,Hydropower ()
46,1994,6967.2451171875,Hydropower ()
47,1995,7344.2119140625,Hydropower ()
48,1996,7442.81689453125,Hydropower ()
49,1997,7572.9384765625,Hydropower ()
50,1998,7631.9765625,Hydropower ()
51,1999,7689.77783203125,Hydropower ()
52,2000,7826.166015625,Hydropower ()
53,2001,7575.6201171875,Hydropower ()
54,2002,7665.61865234375,Hydropower ()
55,2003,7606.5068359375,Hydropower ()
56,2004,8116.03759765625,Hydropower ()
57,2005,8336.203125,Hydropower ()
58,2006,8599.056640625,Hydropower ()
59,2007,8688.974609375,Hydropower ()
60,2008,9136.708984375,Hydropower ()
61,2009,9066.2998046875,Hydropower ()
62,2010,9518.0419921875,Hydropower ()
63,2011,9635.0751953125,Hydropower ()
64,2012,9985.884765625,Hydropower ()
65,2013,10324.787109375,Hydropower ()
66,2014,10535.7412109375,Hydropower ()
67,2015,10444.337890625,Hydropower ()
68,2016,10741.4853515625,Hydropower ()
69,2017,10831.4052734375,Hydropower ()
70,2018,11067.517578125,Hydropower ()
71,2019,11153.7919921875,Hydropower ()
72,2020,11413.8271484375,Hydropower ()
73,2021,11183.2255859375,Hydropower ()
0,1800,0.0,Nuclear ()
1,1810,0.0,Nuclear ()
2,1820,0.0,Nuclear ()
3,1830,0.0,Nuclear ()
4,1840,0.0,Nuclear ()
5,1850,0.0,Nuclear ()
6,1860,0.0,Nuclear ()
7,1870,0.0,Nuclear ()
8,1880,0.0,Nuclear ()
9,1890,0.0,Nuclear ()
10,1900,0.0,Nuclear ()
11,1910,0.0,Nuclear ()
12,1920,0.0,Nuclear ()
13,1930,0.0,Nuclear ()
14,1940,0.0,Nuclear ()
15,1950,0.0,Nuclear ()
16,1960,0.0,Nuclear ()
17,1965,72.46934509277344,Nuclear ()
18,1966,97.70497131347656,Nuclear ()
19,1967,116.3551788330078,Nuclear ()
20,1968,147.87188720703125,Nuclear ()
21,1969,175.31134033203125,Nuclear ()
22,1970,223.8080139160156,Nuclear ()
23,1971,311.2872314453125,Nuclear ()
24,1972,431.79925537109375,Nuclear ()
25,1973,578.57373046875,Nuclear ()
26,1974,756.4817504882812,Nuclear ()
27,1975,1049.44970703125,Nuclear ()
28,1976,1227.7115478515625,Nuclear ()
29,1977,1528.137451171875,Nuclear ()
30,1978,1775.700927734375,Nuclear ()
31,1979,1846.8245849609373,Nuclear ()
32,1980,2020.0955810546875,Nuclear ()
33,1981,2385.642822265625,Nuclear ()
34,1982,2588.3173828125,Nuclear ()
35,1983,2933.458984375,Nuclear ()
36,1984,3559.856689453125,Nuclear ()
37,1985,4224.83740234375,Nuclear ()
38,1986,4525.08642578125,Nuclear ()
39,1987,4922.3310546875,Nuclear ()
40,1988,5366.4482421875,Nuclear ()
41,1989,5518.99609375,Nuclear ()
42,1990,5676.3408203125,Nuclear ()
43,1991,5947.9267578125,Nuclear ()
44,1992,5993.08447265625,Nuclear ()
45,1993,6199.47607421875,Nuclear ()
46,1994,6315.8662109375,Nuclear ()
47,1995,6589.8330078125,Nuclear ()
48,1996,6829.33349609375,Nuclear ()
49,1997,6782.4453125,Nuclear ()
50,1998,6899.19580078125,Nuclear ()
51,1999,7161.75341796875,Nuclear ()
52,2000,7323.33984375,Nuclear ()
53,2001,7481.20849609375,Nuclear ()
54,2002,7551.708984375,Nuclear ()
55,2003,7351.345703125,Nuclear ()
56,2004,7636.44970703125,Nuclear ()
57,2005,7608.0732421875,Nuclear ()
58,2006,7654.41943359375,Nuclear ()
59,2007,7451.5478515625,Nuclear ()
60,2008,7382.28466796875,Nuclear ()
61,2009,7232.9384765625,Nuclear ()
62,2010,7373.7333984375,Nuclear ()
63,2011,7022.1484375,Nuclear ()
64,2012,6500.9921875,Nuclear ()
65,2013,6513.49169921875,Nuclear ()
66,2014,6606.67822265625,Nuclear ()
67,2015,6655.75634765625,Nuclear ()
68,2016,6714.7958984375,Nuclear ()
69,2017,6734.873046875,Nuclear ()
70,2018,6856.0166015625,Nuclear ()
71,2019,7073.28955078125,Nuclear ()
72,2020,6789.3017578125,Nuclear ()
73,2021,7031.33935546875,Nuclear ()
0,1800,0.0,Gas ()
1,1810,0.0,Gas ()
2,1820,0.0,Gas ()
3,1830,0.0,Gas ()
4,1840,0.0,Gas ()
5,1850,0.0,Gas ()
6,1860,0.0,Gas ()
7,1870,0.0,Gas ()
8,1880,0.0,Gas ()
9,1890,33.0,Gas ()
10,1900,64.0,Gas ()
11,1910,142.0,Gas ()
12,1920,233.0,Gas ()
13,1930,603.0,Gas ()
14,1940,875.0,Gas ()
15,1950,2092.0,Gas ()
16,1960,4472.0,Gas ()
17,1965,6303.798828125,Gas ()
18,1966,6868.79443359375,Gas ()
19,1967,7374.03955078125,Gas ()
20,1968,8044.33154296875,Gas ()
21,1969,8833.41796875,Gas ()
22,1970,9614.7919921875,Gas ()
23,1971,10293.2001953125,Gas ()
24,1972,10861.7236328125,Gas ()
25,1973,11377.837890625,Gas ()
26,1974,11659.865234375,Gas ()
27,1975,11659.7412109375,Gas ()
28,1976,12354.1435546875,Gas ()
29,1977,12759.8427734375,Gas ()
30,1978,13293.9521484375,Gas ()
31,1979,14118.0322265625,Gas ()
32,1980,14236.9609375,Gas ()
33,1981,14395.8740234375,Gas ()
34,1982,14469.7353515625,Gas ()
35,1983,14703.8330078125,Gas ()
36,1984,15902.6806640625,Gas ()
37,1985,16262.2216796875,Gas ()
38,1986,16421.111328125,Gas ()
39,1987,17281.896484375,Gas ()
40,1988,18088.845703125,Gas ()
41,1989,18867.30859375,Gas ()
42,1990,19481.125,Gas ()
43,1991,19972.83984375,Gas ()
44,1992,20063.484375,Gas ()
45,1993,20265.484375,Gas ()
46,1994,20389.615234375,Gas ()
47,1995,21104.494140625,Gas ()
48,1996,22159.255859375,Gas ()
49,1997,22030.392578125,Gas ()
50,1998,22434.0,Gas ()
51,1999,23071.904296875,Gas ()
52,2000,23994.2578125,Gas ()
53,2001,24316.833984375,Gas ()
54,2002,25030.142578125,Gas ()
55,2003,25729.58984375,Gas ()
56,2004,26721.1015625,Gas ()
57,2005,27438.037109375,Gas ()
58,2006,28161.10546875,Gas ()
59,2007,29315.390625,Gas ()
60,2008,30021.318359375,Gas ()
61,2009,29401.19140625,Gas ()
62,2010,31588.86328125,Gas ()
63,2011,32340.1796875,Gas ()
64,2012,33194.03515625,Gas ()
65,2013,33729.72265625,Gas ()
66,2014,33944.2734375,Gas ()
67,2015,34768.67578125,Gas ()
68,2016,35560.7734375,Gas ()
69,2017,36529.22265625,Gas ()
70,2018,38356.30078125,Gas ()
71,2019,39062.9453125,Gas ()
72,2020,38455.7265625,Gas ()
73,2021,40374.60546875,Gas ()
0,1800,0.0,Oil ()
1,1810,0.0,Oil ()
2,1820,0.0,Oil ()
3,1830,0.0,Oil ()
4,1840,0.0,Oil ()
5,1850,0.0,Oil ()
6,1860,0.0,Oil ()
7,1870,6.0,Oil ()
8,1880,33.0,Oil ()
9,1890,89.0,Oil ()
10,1900,181.0,Oil ()
11,1910,397.0,Oil ()
12,1920,889.0,Oil ()
13,1930,1756.0,Oil ()
14,1940,2653.0,Oil ()
15,1950,5444.0,Oil ()
16,1960,11097.0,Oil ()
17,1965,17989.603515625,Oil ()
18,1966,19341.146484375,Oil ()
19,1967,20732.13671875,Oil ()
20,1968,22488.33203125,Oil ()
21,1969,24353.0,Oil ()
22,1970,26505.18359375,Oil ()
23,1971,27994.796875,Oil ()
24,1972,30112.263671875,Oil ()
25,1973,32534.806640625,Oil ()
26,1974,32078.1796875,Oil ()
27,1975,31715.76953125,Oil ()
28,1976,33752.46484375,Oil ()
29,1977,34928.13671875,Oil ()
30,1978,36509.91796875,Oil ()
31,1979,37064.56640625,Oil ()
32,1980,35514.421875,Oil ()
33,1981,34251.5703125,Oil ()
34,1982,33185.26953125,Oil ()
35,1983,32937.60546875,Oil ()
36,1984,33680.0546875,Oil ()
37,1985,33660.1015625,Oil ()
38,1986,34700.8359375,Oil ()
39,1987,35393.54296875,Oil ()
40,1988,36552.58984375,Oil ()
41,1989,37156.8359375,Oil ()
42,1990,37608.01953125,Oil ()
43,1991,37610.640625,Oil ()
44,1992,38151.84765625,Oil ()
45,1993,37960.61328125,Oil ()
46,1994,38793.5078125,Oil ()
47,1995,39442.17578125,Oil ()
48,1996,40314.296875,Oil ()
49,1997,41413.24609375,Oil ()
50,1998,41644.4140625,Oil ()
51,1999,42370.09375,Oil ()
52,2000,42880.92578125,Oil ()
53,2001,43255.68359375,Oil ()
54,2002,43608.86328125,Oil ()
55,2003,44580.6484375,Oil ()
56,2004,46270.65625,Oil ()
57,2005,46672.65625,Oil ()
58,2006,47172.609375,Oil ()
59,2007,47758.875,Oil ()
60,2008,47338.6875,Oil ()
61,2009,46371.56640625,Oil ()
62,2010,47895.07421875,Oil ()
63,2011,48307.65625,Oil ()
64,2012,49010.70703125,Oil ()
65,2013,49520.15625,Oil ()
66,2014,49832.44140625,Oil ()
67,2015,50796.26171875,Oil ()
68,2016,51760.77734375,Oil ()
69,2017,52515.54296875,Oil ()
70,2018,53250.62109375,Oil ()
71,2019,53368.62890625,Oil ()
72,2020,48380.7109375,Oil ()
73,2021,51170.47265625,Oil ()
0,1800,97.0,Coal ()
1,1810,128.0,Coal ()
2,1820,153.0,Coal ()
3,1830,264.0,Coal ()
4,1840,356.0,Coal ()
5,1850,569.0,Coal ()
6,1860,1061.0,Coal ()
7,1870,1642.0,Coal ()
8,1880,2542.0,Coal ()
9,1890,3856.0,Coal ()
10,1900,5728.0,Coal ()
11,1910,8656.0,Coal ()
12,1920,9833.0,Coal ()
13,1930,10125.0,Coal ()
14,1940,11586.0,Coal ()
15,1950,12603.0,Coal ()
16,1960,15442.0,Coal ()
17,1965,16140.1787109375,Coal ()
18,1966,16324.09375,Coal ()
19,1967,16060.8095703125,Coal ()
20,1968,16301.146484375,Coal ()
21,1969,16798.736328125,Coal ()
22,1970,17058.607421875,Coal ()
23,1971,16965.77734375,Coal ()
24,1972,17158.63671875,Coal ()
25,1973,17667.849609375,Coal ()
26,1974,17682.05078125,Coal ()
27,1975,18024.537109375,Coal ()
28,1976,18688.484375,Coal ()
29,1977,19241.30078125,Coal ()
30,1978,19457.904296875,Coal ()
31,1979,20363.5390625,Coal ()
32,1980,20857.609375,Coal ()
33,1981,21149.6796875,Coal ()
34,1982,21385.451171875,Coal ()
35,1983,22046.345703125,Coal ()
36,1984,23001.080078125,Coal ()
37,1985,23987.828125,Coal ()
38,1986,24258.033203125,Coal ()
39,1987,25212.42578125,Coal ()
40,1988,25967.12890625,Coal ()
41,1989,26215.67578125,Coal ()
42,1990,25904.46875,Coal ()
43,1991,25654.251953125,Coal ()
44,1992,25556.59375,Coal ()
45,1993,25685.59375,Coal ()
46,1994,25784.77734375,Coal ()
47,1995,25963.681640625,Coal ()
48,1996,26582.123046875,Coal ()
49,1997,26536.6875,Coal ()
50,1998,26366.365234375,Coal ()
51,1999,26479.49609375,Coal ()
52,2000,27427.5234375,Coal ()
53,2001,27860.15234375,Coal ()
54,2002,28955.103515625,Coal ()
55,2003,31499.232421875,Coal ()
56,2004,33673.01171875,Coal ()
57,2005,36169.05859375,Coal ()
58,2006,38069.03515625,Coal ()
59,2007,40228.41796875,Coal ()
60,2008,40773.58203125,Coal ()
61,2009,40175.359375,Coal ()
62,2010,41996.38671875,Coal ()
63,2011,44017.296875,Coal ()
64,2012,44184.375,Coal ()
65,2013,44842.6171875,Coal ()
66,2014,45161.20703125,Coal ()
67,2015,44054.44140625,Coal ()
68,2016,43504.1640625,Coal ()
69,2017,43751.67578125,Coal ()
70,2018,44315.875,Coal ()
71,2019,43699.88671875,Coal ()
72,2020,41963.96484375,Coal ()
73,2021,44473.1953125,Coal ()
0,1800,5556.0,Traditional biomass ()
1,1810,5833.0,Traditional biomass ()
2,1820,6111.0,Traditional biomass ()
3,1830,6389.0,Traditional biomass ()
4,1840,6944.0,Traditional biomass ()
5,1850,7222.0,Traditional biomass ()
6,1860,6944.0,Traditional biomass ()
7,1870,6944.0,Traditional biomass ()
8,1880,6944.0,Traditional biomass ()
9,1890,6667.0,Traditional biomass ()
10,1900,6111.0,Traditional biomass ()
11,1910,6389.0,Traditional biomass ()
12,1920,6944.0,Traditional biomass ()
13,1930,7222.0,Traditional biomass ()
14,1940,7222.0,Traditional biomass ()
15,1950,7500.0,Traditional biomass ()
16,1960,8889.0,Traditional biomass ()
17,1965,9162.0,Traditional biomass ()
18,1966,9218.0,Traditional biomass ()
19,1967,9274.0,Traditional biomass ()
20,1968,9331.0,Traditional biomass ()
21,1969,9387.0,Traditional biomass ()
22,1970,9444.0,Traditional biomass ()
23,1971,9499.0,Traditional biomass ()
24,1972,9553.0,Traditional biomass ()
25,1973,9608.0,Traditional biomass ()
26,1974,9663.0,Traditional biomass ()
27,1975,9718.0,Traditional biomass ()
28,1976,9774.0,Traditional biomass ()
29,1977,9830.0,Traditional biomass ()
30,1978,9886.0,Traditional biomass ()
31,1979,9943.0,Traditional biomass ()
32,1980,10000.0,Traditional biomass ()
33,1981,10106.0,Traditional biomass ()
34,1982,10213.0,Traditional biomass ()
35,1983,10321.0,Traditional biomass ()
36,1984,10430.0,Traditional biomass ()
37,1985,10541.0,Traditional biomass ()
38,1986,10653.0,Traditional biomass ()
39,1987,10765.0,Traditional biomass ()
40,1988,10879.0,Traditional biomass ()
41,1989,10995.0,Traditional biomass ()
42,1990,11111.0,Traditional biomass ()
43,1991,11243.0,Traditional biomass ()
44,1992,11376.0,Traditional biomass ()
45,1993,11511.0,Traditional biomass ()
46,1994,11647.0,Traditional biomass ()
47,1995,11785.0,Traditional biomass ()
48,1996,11925.0,Traditional biomass ()
49,1997,12066.0,Traditional biomass ()
50,1998,12209.0,Traditional biomass ()
51,1999,12414.0,Traditional biomass ()
52,2000,12500.0,Traditional biomass ()
53,2001,12500.0,Traditional biomass ()
54,2002,12470.0,Traditional biomass ()
55,2003,12329.0,Traditional biomass ()
56,2004,12160.0,Traditional biomass ()
57,2005,12076.0,Traditional biomass ()
58,2006,11993.0,Traditional biomass ()
59,2007,11911.0,Traditional biomass ()
60,2008,11829.0,Traditional biomass ()
61,2009,11747.0,Traditional biomass ()
62,2010,11667.0,Traditional biomass ()
63,2011,11553.0,Traditional biomass ()
64,2012,11441.0,Traditional biomass ()
65,2013,11330.0,Traditional biomass ()
66,2014,11220.0,Traditional biomass ()
67,2015,11111.0,Traditional biomass ()
68,2016,11111.0,Traditional biomass ()
69,2017,11111.0,Traditional biomass ()
70,2018,11111.0,Traditional biomass ()
71,2019,11111.0,Traditional biomass ()
72,2020,11111.0,Traditional biomass ()
73,2021,11111.0,Traditional biomass ()
