winner_name,year,tourney_level,Wins
Novak Djokovic,2009,Total,5
Novak Djokovic,2010,Other,2
Novak Djokovic,2010,Masters,0
Novak Djokovic,2010,Tour,0
Novak Djokovic,2010,Grand,0
Novak Djokovic,2010,Total,2
Novak Djokovic,2011,Other,2
Novak Djokovic,2011,Masters,5
Novak Djokovic,2011,Tour,0
Novak Djokovic,2011,Grand,3
Novak Djokovic,2011,Total,10
Novak Djokovic,2012,Other,1
Novak Djokovic,2012,Masters,3
Novak Djokovic,2012,Tour,1
Novak Djokovic,2012,Grand,1
Novak Djokovic,2012,Total,6
Novak Djokovic,2013,Other,2
Novak Djokovic,2013,Masters,3
Novak Djokovic,2013,Tour,1
Novak Djokovic,2013,Grand,1
Novak Djokovic,2013,Total,7
Novak Djokovic,2014,Other,1
Novak Djokovic,2014,Masters,4
Novak Djokovic,2014,Tour,1
Novak Djokovic,2014,Grand,1
Novak Djokovic,2014,Total,7
Novak Djokovic,2015,Other,1
Novak Djokovic,2015,Masters,6
Novak Djokovic,2015,Tour,1
Novak Djokovic,2015,Grand,3
Novak Djokovic,2015,Total,11
Novak Djokovic,2016,Other,1
Novak Djokovic,2016,Masters,4
Novak Djokovic,2016,Tour,0
Novak Djokovic,2016,Grand,2
Novak Djokovic,2016,Total,7
Novak Djokovic,2017,Other,2
Novak Djokovic,2017,Masters,0
Novak Djokovic,2017,Tour,0
Novak Djokovic,2017,Grand,0
Novak Djokovic,2017,Total,2
Novak Djokovic,2018,Other,0
Novak Djokovic,2018,Masters,2
Novak Djokovic,2018,Tour,0
Novak Djokovic,2018,Grand,2
Novak Djokovic,2018,Total,4
Novak Djokovic,2019,Other,1
Novak Djokovic,2019,Masters,2
Novak Djokovic,2019,Tour,0
Novak Djokovic,2019,Grand,2
Novak Djokovic,2019,Total,5
Novak Djokovic,2020,Other,2
Novak Djokovic,2020,Masters,2
Novak Djokovic,2020,Tour,0
Novak Djokovic,2020,Grand,1
Novak Djokovic,2020,Total,5
Novak Djokovic,2021,Other,0
Novak Djokovic,2021,Masters,0
Novak Djokovic,2021,Tour,0
Novak Djokovic,2021,Grand,1
Novak Djokovic,2021,Total,1
Rafael Nadal,2004,Other,1
Rafael Nadal,2004,Masters,0
Rafael Nadal,2004,Tour,0
Rafael Nadal,2004,Grand,0
Rafael Nadal,2004,Total,1
Rafael Nadal,2005,Other,6
Rafael Nadal,2005,Masters,4
Rafael Nadal,2005,Tour,0
Rafael Nadal,2005,Grand,1
Rafael Nadal,2005,Total,11
Rafael Nadal,2006,Other,2
Rafael Nadal,2006,Masters,2
Rafael Nadal,2006,Tour,0
Rafael Nadal,2006,Grand,1
Rafael Nadal,2006,Total,5
Rafael Nadal,2007,Other,2
Rafael Nadal,2007,Masters,3
Rafael Nadal,2007,Tour,0
Rafael Nadal,2007,Grand,1
Rafael Nadal,2007,Total,6
Rafael Nadal,2008,Other,3
Rafael Nadal,2008,Masters,3
Rafael Nadal,2008,Tour,0
Rafael Nadal,2008,Grand,2
Rafael Nadal,2008,Total,8
Rafael Nadal,2009,Other,1
Rafael Nadal,2009,Masters,3
Rafael Nadal,2009,Tour,0
Rafael Nadal,2009,Grand,1
Rafael Nadal,2009,Total,5
Rafael Nadal,2010,Other,1
Rafael Nadal,2010,Masters,3
Rafael Nadal,2010,Tour,0
Rafael Nadal,2010,Grand,3
Rafael Nadal,2010,Total,7
Rafael Nadal,2011,Other,1
Rafael Nadal,2011,Masters,1
Rafael Nadal,2011,Tour,0
Rafael Nadal,2011,Grand,1
Rafael Nadal,2011,Total,3
Rafael Nadal,2012,Other,1
Rafael Nadal,2012,Masters,2
Rafael Nadal,2012,Tour,0
Rafael Nadal,2012,Grand,1
Rafael Nadal,2012,Total,4
Rafael Nadal,2013,Other,4
Rafael Nadal,2013,Masters,5
Rafael Nadal,2013,Tour,0
Rafael Nadal,2013,Grand,2
Rafael Nadal,2013,Total,11
Rafael Nadal,2014,Other,1
Rafael Nadal,2014,Masters,1
Rafael Nadal,2014,Tour,0
Rafael Nadal,2014,Grand,1
Rafael Nadal,2014,Total,3
Rafael Nadal,2015,Other,3
Rafael Nadal,2015,Masters,0
Rafael Nadal,2015,Tour,0
Rafael Nadal,2015,Grand,0
Rafael Nadal,2015,Total,3
Rafael Nadal,2016,Other,1
Rafael Nadal,2016,Masters,1
Rafael Nadal,2016,Tour,0
Rafael Nadal,2016,Grand,0
Rafael Nadal,2016,Total,2
Rafael Nadal,2017,Other,2
Rafael Nadal,2017,Masters,2
Rafael Nadal,2017,Tour,0
Rafael Nadal,2017,Grand,2
Rafael Nadal,2017,Total,6
Rafael Nadal,2018,Other,1
Rafael Nadal,2018,Masters,3
Rafael Nadal,2018,Tour,0
Rafael Nadal,2018,Grand,1
Rafael Nadal,2018,Total,5
Rafael Nadal,2019,Other,0
Rafael Nadal,2019,Masters,2
Rafael Nadal,2019,Tour,0
Rafael Nadal,2019,Grand,2
Rafael Nadal,2019,Total,4
Rafael Nadal,2020,Other,1
Rafael Nadal,2020,Masters,0
Rafael Nadal,2020,Tour,0
Rafael Nadal,2020,Grand,1
Rafael Nadal,2020,Total,2
Rafael Nadal,2021,Other,1
Rafael Nadal,2021,Masters,0
Rafael Nadal,2021,Tour,0
Rafael Nadal,2021,Grand,0
Rafael Nadal,2021,Total,1
Roger Federer,2001,Other,1
Roger Federer,2001,Masters,0
Roger Federer,2001,Tour,0
Roger Federer,2001,Grand,0
Roger Federer,2001,Total,1
Roger Federer,2002,Other,2
Roger Federer,2002,Masters,1
Roger Federer,2002,Tour,0
Roger Federer,2002,Grand,0
Roger Federer,2002,Total,3
Roger Federer,2003,Other,5
Roger Federer,2003,Masters,0
Roger Federer,2003,Tour,1
Roger Federer,2003,Grand,1
Roger Federer,2003,Total,7
Roger Federer,2004,Other,4
Roger Federer,2004,Masters,3
Roger Federer,2004,Tour,1
Roger Federer,2004,Grand,3
Roger Federer,2004,Total,11
Roger Federer,2005,Other,5
Roger Federer,2005,Masters,4
Roger Federer,2005,Tour,0
Roger Federer,2005,Grand,2
Roger Federer,2005,Total,11
Roger Federer,2006,Other,4
Roger Federer,2006,Masters,4
Roger Federer,2006,Tour,1
Roger Federer,2006,Grand,3
Roger Federer,2006,Total,12
Roger Federer,2007,Other,2
Roger Federer,2007,Masters,2
Roger Federer,2007,Tour,1
Roger Federer,2007,Grand,3
Roger Federer,2007,Total,8
Roger Federer,2008,Other,3
Roger Federer,2008,Masters,0
Roger Federer,2008,Tour,0
Roger Federer,2008,Grand,1
Roger Federer,2008,Total,4
Roger Federer,2009,Other,0
Roger Federer,2009,Masters,2
Roger Federer,2009,Tour,0
Roger Federer,2009,Grand,2
Roger Federer,2009,Total,4
Roger Federer,2010,Other,2
Roger Federer,2010,Masters,1
Roger Federer,2010,Tour,1
Roger Federer,2010,Grand,1
Roger Federer,2010,Total,5
Roger Federer,2011,Other,2
Roger Federer,2011,Masters,1
Roger Federer,2011,Tour,1
Roger Federer,2011,Grand,0
Roger Federer,2011,Total,4
Roger Federer,2012,Other,2
Roger Federer,2012,Masters,3
Roger Federer,2012,Tour,0
Roger Federer,2012,Grand,1
Roger Federer,2012,Total,6
Roger Federer,2013,Other,1
Roger Federer,2013,Masters,0
Roger Federer,2013,Tour,0
Roger Federer,2013,Grand,0
Roger Federer,2013,Total,1
Roger Federer,2014,Other,3
Roger Federer,2014,Masters,2
Roger Federer,2014,Tour,0
Roger Federer,2014,Grand,0
Roger Federer,2014,Total,5
Roger Federer,2015,Other,5
Roger Federer,2015,Masters,1
Roger Federer,2015,Tour,0
Roger Federer,2015,Grand,0
Roger Federer,2015,Total,6
Roger Federer,2017,Other,2
Roger Federer,2017,Masters,3
Roger Federer,2017,Tour,0
Roger Federer,2017,Grand,2
Roger Federer,2017,Total,7
Roger Federer,2018,Other,3
Roger Federer,2018,Masters,0
Roger Federer,2018,Tour,0
Roger Federer,2018,Grand,1
Roger Federer,2018,Total,4
Roger Federer,2019,Other,3
Roger Federer,2019,Masters,1
Roger Federer,2019,Tour,0
Roger Federer,2019,Grand,0
Roger Federer,2019,Total,4
