Date,Average Price,Volume,Region
01/07/2009,134249,5131,East Midlands
01/08/2009,136342,4815,East Midlands
01/09/2009,136490,4718,East Midlands
01/10/2009,138349,5528,East Midlands
01/11/2009,138539,4944,East Midlands
01/12/2009,140587,6846,East Midlands
01/01/2010,136462,2727,East Midlands
01/02/2010,139602,3313,East Midlands
01/03/2010,137857,4501,East Midlands
01/04/2010,139450,4374,East Midlands
01/05/2010,141760,4210,East Midlands
01/06/2010,142143,5193,East Midlands
01/07/2010,142973,5533,East Midlands
01/08/2010,144010,4949,East Midlands
01/09/2010,142087,4524,East Midlands
01/10/2010,141097,4898,East Midlands
01/11/2010,139935,4688,East Midlands
01/12/2010,139103,4786,East Midlands
01/01/2011,136418,2927,East Midlands
01/02/2011,137220,3190,East Midlands
01/03/2011,136388,3819,East Midlands
01/04/2011,137100,4253,East Midlands
01/05/2011,137464,4070,East Midlands
01/06/2011,137793,4962,East Midlands
01/07/2011,140060,5136,East Midlands
01/08/2011,140623,5341,East Midlands
01/09/2011,138920,5085,East Midlands
01/10/2011,137499,4730,East Midlands
01/11/2011,137839,4913,East Midlands
01/12/2011,138723,5242,East Midlands
01/01/2012,136369,3558,East Midlands
01/02/2012,136102,3545,East Midlands
01/03/2012,137025,4887,East Midlands
01/04/2012,138440,3675,East Midlands
01/05/2012,138251,4481,East Midlands
01/06/2012,139459,5134,East Midlands
01/07/2012,140983,4761,East Midlands
01/08/2012,139793,5338,East Midlands
01/09/2012,139262,4117,East Midlands
01/10/2012,139395,4930,East Midlands
01/11/2012,139511,5315,East Midlands
01/12/2012,138977,4746,East Midlands
01/01/2013,137537,3447,East Midlands
01/02/2013,137599,3522,East Midlands
01/03/2013,138562,4585,East Midlands
01/04/2013,139314,4258,East Midlands
01/05/2013,141012,5780,East Midlands
01/06/2013,141367,5591,East Midlands
01/07/2013,142534,5910,East Midlands
01/08/2013,144030,6566,East Midlands
01/09/2013,143553,5592,East Midlands
01/10/2013,144444,6226,East Midlands
01/11/2013,143522,7336,East Midlands
01/12/2013,145942,7029,East Midlands
01/01/2014,145261,5578,East Midlands
01/02/2014,146741,5651,East Midlands
01/03/2014,146448,5780,East Midlands
01/04/2014,149319,6261,East Midlands
01/05/2014,150008,7009,East Midlands
01/06/2014,151454,7108,East Midlands
01/07/2014,152658,7401,East Midlands
01/08/2014,155033,7929,East Midlands
01/09/2014,155263,6712,East Midlands
01/10/2014,154170,7725,East Midlands
01/11/2014,154009,6398,East Midlands
01/12/2014,153904,6970,East Midlands
01/01/2015,153669,4865,East Midlands
01/02/2015,154210,5071,East Midlands
01/03/2015,154728,5751,East Midlands
01/04/2015,155680,5438,East Midlands
01/05/2015,157709,6611,East Midlands
01/06/2015,158960,7535,East Midlands
01/07/2015,161180,7835,East Midlands
01/08/2015,163208,7429,East Midlands
01/09/2015,162174,7073,East Midlands
01/10/2015,163771,8037,East Midlands
01/11/2015,164460,7281,East Midlands
01/12/2015,165081,7640,East Midlands
01/01/2016,164946,5414,East Midlands
01/02/2016,164383,5805,East Midlands
01/03/2016,165175,10702,East Midlands
01/04/2016,167913,5087,East Midlands
01/05/2016,168771,5824,East Midlands
01/06/2016,170091,7044,East Midlands
01/07/2016,171782,7101,East Midlands
01/08/2016,172649,7540,East Midlands
01/09/2016,173272,7437,East Midlands
01/10/2016,172479,6766,East Midlands
01/11/2016,173872,7172,East Midlands
01/12/2016,174665,7739,East Midlands
01/01/2017,172959,5178,East Midlands
01/02/2017,175110,5420,East Midlands
01/03/2017,174956,6958,East Midlands
01/04/2017,177942,5864,East Midlands
01/05/2017,178966,6544,East Midlands
01/06/2017,180204,8030,East Midlands
01/07/2017,183172,7121,East Midlands
01/08/2017,182763,7580,East Midlands
01/09/2017,183816,7393,East Midlands
01/10/2017,184044,7433,East Midlands
01/11/2017,183974,7333,East Midlands
01/12/2017,184942,7401,East Midlands
01/01/2018,184574,5336,East Midlands
01/02/2018,187235,5509,East Midlands
01/03/2018,184845,6451,East Midlands
01/04/2018,187276,5709,East Midlands
01/05/2018,188826,6536,East Midlands
01/06/2018,189259,7605,East Midlands
01/07/2018,191231,6802,East Midlands
01/08/2018,192610,8115,East Midlands
01/09/2018,194049,6519,East Midlands
01/10/2018,191666,7429,East Midlands
01/11/2018,192979,7867,East Midlands
01/12/2018,191694,6822,East Midlands
01/01/2019,191237,5024,East Midlands
01/02/2019,190990,5498,East Midlands
01/03/2019,190586,6127,East Midlands
01/04/2019,191571,5814,East Midlands
01/05/2019,191927,6440,East Midlands
01/06/2019,192029,6759,East Midlands
01/07/2019,193480,6776,East Midlands
01/08/2019,195345,7403,East Midlands
01/09/2019,194867,6683,East Midlands
01/10/2019,194705,6992,East Midlands
01/11/2019,194873,7285,East Midlands
01/12/2019,194489,6548,East Midlands
01/01/2020,195100,5049,East Midlands
01/02/2020,193480,5326,East Midlands
01/03/2020,195701,5233,East Midlands
01/04/2020,195185,2128,East Midlands
01/05/2020,194596,3185,East Midlands
01/06/2020,198494,4677,East Midlands
01/07/2020,200434,5127,East Midlands
01/08/2020,200918,5292,East Midlands
01/09/2020,201616,5673,East Midlands
01/10/2020,204424,7147,East Midlands
01/11/2020,207054,7067,East Midlands
01/12/2020,209567,7696,East Midlands
01/01/2021,211091,5521,East Midlands
01/02/2021,212764,7285,East Midlands
01/03/2021,213897,9624,East Midlands
01/04/2021,211665,6639,East Midlands
01/05/2021,211871,5863,East Midlands
01/06/2021,224919,11083,East Midlands
01/07/2021,212160,5130,East Midlands
01/08/2021,218318,6342,East Midlands
01/09/2021,227212,10464,East Midlands
01/10/2021,223137,4525,East Midlands
01/11/2021,226236,5417,East Midlands
01/12/2021,228541,5776,East Midlands
01/01/2022,232276,4428,East Midlands
01/02/2022,233559,5162,East Midlands
01/03/2022,235917,5433,East Midlands
01/04/2022,236954,4787,East Midlands
01/05/2022,239867,4784,East Midlands
01/06/2022,244227,4668,East Midlands
01/07/2022,246182,5197,East Midlands
01/08/2022,252507,4786,East Midlands
01/01/1995,56702,5812,East of England
01/02/1995,56594,5928,East of England
01/03/1995,56171,8374,East of England
01/04/1995,56568,7004,East of England
01/05/1995,56480,7765,East of England
01/06/1995,56289,8864,East of England
01/07/1995,57242,7985,East of England
01/08/1995,56732,8535,East of England
01/09/1995,56259,8030,East of England
01/10/1995,55240,7442,East of England
01/11/1995,55878,7892,East of England
01/12/1995,55524,8660,East of England
01/01/1996,55033,5931,East of England
01/02/1996,55316,6407,East of England
01/03/1996,55063,8394,East of England
01/04/1996,55822,7960,East of England
01/05/1996,56140,9886,East of England
01/06/1996,56601,9393,East of England
01/07/1996,57073,10734,East of England
01/08/1996,57951,11071,East of England
01/09/1996,57609,10139,East of England
01/10/1996,57669,10831,East of England
01/11/1996,58421,11795,East of England
01/12/1996,58964,11151,East of England
01/01/1997,59081,8288,East of England
01/02/1997,59684,8299,East of England
01/03/1997,59869,9613,East of England
01/04/1997,60358,10101,East of England
01/05/1997,61737,11318,East of England
01/06/1997,62774,12366,East of England
01/07/1997,64183,13380,East of England
01/08/1997,64667,12568,East of England
01/09/1997,65007,11164,East of England
01/10/1997,66077,12004,East of England
01/11/1997,65528,10134,East of England
01/12/1997,66206,10832,East of England
01/01/1998,66899,7766,East of England
01/02/1998,66739,7965,East of England
01/03/1998,66989,9606,East of England
01/04/1998,68585,10197,East of England
01/05/1998,69688,10551,East of England
01/06/1998,70045,11442,East of England
01/07/1998,70958,12880,East of England
01/08/1998,71126,11236,East of England
01/09/1998,71680,10792,East of England
01/10/1998,71563,10746,East of England
01/11/1998,71198,9907,East of England
01/12/1998,71285,10545,East of England
01/01/1999,71966,7561,East of England
01/02/1999,72027,7613,East of England
01/03/1999,71939,10219,East of England
01/04/1999,73545,11340,East of England
01/05/1999,74291,11212,East of England
01/06/1999,75804,12803,East of England
01/07/1999,77158,15138,East of England
01/08/1999,78190,13956,East of England
01/09/1999,79917,13564,East of England
01/10/1999,80391,13585,East of England
01/11/1999,82173,13191,East of England
01/12/1999,83819,13387,East of England
01/01/2000,84192,8443,East of England
01/02/2000,83989,8976,East of England
01/03/2000,85921,11483,East of England
01/04/2000,89206,10930,East of England
01/05/2000,91172,11030,East of England
01/06/2000,91593,12608,East of England
01/07/2000,93781,11555,East of England
01/08/2000,95082,11489,East of England
01/09/2000,95568,10526,East of England
01/10/2000,94454,9805,East of England
01/11/2000,95100,10272,East of England
01/12/2000,96195,10996,East of England
01/01/2001,96628,7894,East of England
01/02/2001,96649,8451,East of England
01/03/2001,98009,10853,East of England
01/04/2001,99735,10898,East of England
01/05/2001,101764,12143,East of England
01/06/2001,102969,13921,East of England
01/07/2001,105160,14141,East of England
01/08/2001,108078,15547,East of England
01/09/2001,108535,12299,East of England
01/10/2001,109230,12908,East of England
01/11/2001,110583,12912,East of England
01/12/2001,111665,11090,East of England
01/01/2002,112374,8654,East of England
01/02/2002,113392,9185,East of England
01/03/2002,115809,12179,East of England
01/04/2002,120065,11804,East of England
01/05/2002,123090,15423,East of England
01/06/2002,125088,12561,East of England
01/07/2002,129419,15081,East of England
01/08/2002,132917,14604,East of England
01/09/2002,134094,12313,East of England
01/10/2002,137098,12316,East of England
01/11/2002,140637,12645,East of England
01/12/2002,141858,11959,East of England
01/01/2003,144866,9371,East of England
01/02/2003,144848,8731,East of England
01/03/2003,145968,9279,East of England
01/04/2003,149010,9216,East of England
01/05/2003,149708,10283,East of England
01/06/2003,149449,10668,East of England
01/07/2003,153579,11969,East of England
01/08/2003,154232,12417,East of England
01/09/2003,154002,12305,East of England
01/10/2003,155412,13443,East of England
01/11/2003,156131,13108,East of England
01/12/2003,157713,13573,East of England
01/01/2004,159710,9947,East of England
01/02/2004,160205,10337,East of England
01/03/2004,161608,11676,East of England
01/04/2004,165136,13128,East of England
01/05/2004,166518,12236,East of England
01/06/2004,170031,14019,East of England
01/07/2004,172266,14524,East of England
01/08/2004,174609,13178,East of England
01/09/2004,175391,11047,East of England
01/10/2004,175716,10472,East of England
01/11/2004,175981,9302,East of England
01/12/2004,174955,9418,East of England
01/01/2005,175323,6069,East of England
01/02/2005,173555,6579,East of England
01/03/2005,173743,7843,East of England
01/04/2005,174294,9101,East of England
01/05/2005,177100,9283,East of England
01/06/2005,178067,10716,East of England
01/07/2005,179281,11112,East of England
01/08/2005,178969,11407,East of England
01/09/2005,179366,11471,East of England
01/10/2005,178385,10473,East of England
01/11/2005,178199,10896,East of England
01/12/2005,179512,12492,East of England
01/01/2006,178992,8549,East of England
01/02/2006,179220,9137,East of England
01/03/2006,180623,11363,East of England
01/04/2006,183445,10736,East of England
01/05/2006,185049,11940,East of England
01/06/2006,185328,14225,East of England
01/07/2006,189027,13358,East of England
01/08/2006,190703,14018,East of England
01/09/2006,190772,13649,East of England
01/10/2006,192058,13249,East of England
01/11/2006,192726,13097,East of England
01/12/2006,194903,14609,East of England
01/01/2007,194994,10032,East of England
01/02/2007,195405,9902,East of England
01/03/2007,197034,11926,East of England
01/04/2007,199474,10870,East of England
01/05/2007,201392,12580,East of England
01/06/2007,204908,14300,East of England
01/07/2007,206815,13379,East of England
01/08/2007,208231,14300,East of England
01/09/2007,209102,11250,East of England
01/10/2007,208926,11926,East of England
01/11/2007,209624,11664,East of England
01/12/2007,209409,9530,East of England
01/01/2008,207691,6358,East of England
01/02/2008,205848,6858,East of England
01/03/2008,203401,6473,East of England
01/04/2008,202149,7055,East of England
01/05/2008,204037,7282,East of England
01/06/2008,200939,6476,East of England
01/07/2008,200308,5979,East of England
01/08/2008,193182,5463,East of England
01/09/2008,188408,4712,East of England
01/10/2008,183685,5162,East of England
01/11/2008,178494,4194,East of England
01/12/2008,176835,4628,East of England
01/01/2009,175528,3100,East of England
01/02/2009,171619,3275,East of England
01/03/2009,168263,4230,East of England
01/04/2009,170921,4718,East of England
01/05/2009,173914,5438,East of England
01/06/2009,173800,6370,East of England
01/07/2009,178444,7811,East of England
01/08/2009,180570,7446,East of England
01/09/2009,182708,7225,East of England
01/10/2009,182946,8142,East of England
01/11/2009,184531,7780,East of England
01/12/2009,185387,10064,East of England
01/01/2010,187910,4253,East of England
01/02/2010,188039,5034,East of England
01/03/2010,188188,6272,East of England
01/04/2010,191141,6253,East of England
01/05/2010,191996,6323,East of England
01/06/2010,191586,7455,East of England
01/07/2010,194838,8121,East of England
01/08/2010,194104,7590,East of England
01/09/2010,195063,6902,East of England
01/10/2010,191946,7186,East of England
01/11/2010,191273,6925,East of England
01/12/2010,190404,7059,East of England
01/01/2011,189424,4582,East of England
01/02/2011,187264,4828,East of England
01/03/2011,188535,5514,East of England
01/04/2011,189403,5923,East of England
01/05/2011,189682,5900,East of England
01/06/2011,189105,7044,East of England
01/07/2011,191792,7659,East of England
01/08/2011,192616,8177,East of England
01/09/2011,190805,7802,East of England
01/10/2011,190749,7159,East of England
01/11/2011,191616,7462,East of England
01/12/2011,190795,7903,East of England
01/01/2012,191894,5357,East of England
01/02/2012,190306,5540,East of England
01/03/2012,189084,7563,East of England
01/04/2012,192846,5150,East of England
01/05/2012,193690,6278,East of England
01/06/2012,193515,7366,East of England
01/07/2012,196166,7205,East of England
01/08/2012,196204,7823,East of England
01/09/2012,195032,6315,East of England
01/10/2012,195730,7208,East of England
01/11/2012,195007,7753,East of England
01/12/2012,194059,6845,East of England
01/01/2013,194209,5262,East of England
01/02/2013,192418,5377,East of England
01/03/2013,196235,6566,East of England
01/04/2013,196687,6180,East of England
01/05/2013,195928,8064,East of England
01/06/2013,198110,7890,East of England
01/07/2013,201279,9019,East of England
01/08/2013,202193,9657,East of England
01/09/2013,202026,8633,East of England
01/10/2013,203714,9558,East of England
01/11/2013,202626,9954,East of England
01/12/2013,207270,9819,East of England
01/01/2014,205792,8042,East of England
01/02/2014,207358,8097,East of England
01/03/2014,208325,8326,East of England
01/04/2014,212541,8687,East of England
01/05/2014,216195,9645,East of England
01/06/2014,218023,10128,East of England
01/07/2014,221817,10738,East of England
01/08/2014,224167,11115,East of England
01/09/2014,226243,10029,East of England
01/10/2014,227303,10828,East of England
01/11/2014,226352,9256,East of England
01/12/2014,227176,9678,East of England
01/01/2015,228276,7134,East of England
01/02/2015,229383,7239,East of England
01/03/2015,229497,7935,East of England
01/04/2015,231912,7609,East of England
01/05/2015,235052,8755,East of England
01/06/2015,236143,9915,East of England
01/07/2015,241817,11447,East of England
01/08/2015,244547,10468,East of England
01/09/2015,247282,9870,East of England
01/10/2015,248467,11188,East of England
01/11/2015,251803,9796,East of England
01/12/2015,252915,10283,East of England
01/01/2016,255235,7539,East of England
01/02/2016,255450,8413,East of England
01/03/2016,259686,14500,East of England
01/04/2016,259733,6391,East of England
01/05/2016,264377,7417,East of England
01/06/2016,267333,9223,East of England
01/07/2016,270678,9609,East of England
01/08/2016,271151,9912,East of England
01/09/2016,273097,9296,East of England
01/10/2016,272589,8682,East of England
01/11/2016,273382,9108,East of England
01/12/2016,275945,9314,East of England
01/01/2017,275049,7026,East of England
01/02/2017,277280,7400,East of England
01/03/2017,275435,8881,East of England
01/04/2017,279497,7485,East of England
01/05/2017,282054,8221,East of England
01/06/2017,283381,9878,East of England
01/07/2017,287743,8986,East of England
01/08/2017,287534,10124,East of England
01/09/2017,288342,9298,East of England
01/10/2017,288473,9203,East of England
01/11/2017,287143,9100,East of England
01/12/2017,289022,8965,East of England
01/01/2018,288947,6952,East of England
01/02/2018,288286,6994,East of England
01/03/2018,286499,8068,East of England
01/04/2018,287656,6977,East of England
01/05/2018,288222,8271,East of England
01/06/2018,289469,8894,East of England
01/07/2018,293936,8584,East of England
01/08/2018,294035,10245,East of England
01/09/2018,292574,8082,East of England
01/10/2018,293045,8929,East of England
01/11/2018,293428,9572,East of England
01/12/2018,290870,8146,East of England
01/01/2019,288659,6373,East of England
01/02/2019,289832,6757,East of England
01/03/2019,286802,7531,East of England
01/04/2019,287986,7114,East of England
01/05/2019,288711,7663,East of England
01/06/2019,288342,8059,East of England
01/07/2019,291364,9064,East of England
01/08/2019,290519,9232,East of England
01/09/2019,291814,8319,East of England
01/10/2019,290903,8897,East of England
01/11/2019,288880,8915,East of England
01/12/2019,290569,8367,East of England
01/01/2020,288877,6661,East of England
01/02/2020,289018,6770,East of England
01/03/2020,288077,6953,East of England
01/04/2020,290593,2938,East of England
01/05/2020,290117,3600,East of England
01/06/2020,291772,5756,East of England
01/07/2020,292176,6316,East of England
01/08/2020,296143,6573,East of England
01/09/2020,300021,7394,East of England
01/10/2020,298840,9269,East of England
01/11/2020,300060,9596,East of England
01/12/2020,303983,10565,East of England
01/01/2021,306283,8247,East of England
01/02/2021,307302,10660,East of England
01/03/2021,310039,15298,East of England
01/04/2021,308296,9307,East of England
01/05/2021,308003,7684,East of England
01/06/2021,322993,19273,East of England
01/07/2021,309030,4735,East of England
01/08/2021,319312,7318,East of England
01/09/2021,327929,13856,East of England
01/10/2021,325382,5248,East of England
01/11/2021,331587,6790,East of England
01/12/2021,332146,7533,East of England
01/01/2022,336599,5886,East of England
01/02/2022,339960,6555,East of England
01/03/2022,341107,7037,East of England
01/04/2022,342118,6142,East of England
01/05/2022,347060,6101,East of England
01/06/2022,350752,5981,East of England
01/07/2022,355832,6686,East of England
01/08/2022,361361,6708,East of England
01/01/1995,74436,7506,London
01/02/1995,72778,6873,London
01/03/1995,73897,9639,London
01/04/1995,74455,8053,London
01/05/1995,75432,9293,London
01/06/1995,75606,10150,London
01/07/1995,75984,9445,London
01/08/1995,75529,9965,London
01/09/1995,74941,9249,London
01/10/1995,74302,8586,London
01/11/1995,74118,8930,London
01/12/1995,75178,9161,London
01/01/1996,75342,7690,London
01/02/1996,76087,7608,London
01/03/1996,75691,9815,London
01/04/1996,76767,9416,London
01/05/1996,77215,11110,London
01/06/1996,78139,10712,London
01/07/1996,78799,12624,London
01/08/1996,79058,13021,London
01/09/1996,79752,11820,London
01/10/1996,79504,12767,London
01/11/1996,80224,13342,London
01/12/1996,81417,13028,London
01/01/1997,83066,10762,London
01/02/1997,83579,10495,London
01/03/1997,84576,11648,London
01/04/1997,86088,12206,London
01/05/1997,88544,13154,London
01/06/1997,89231,13732,London
01/07/1997,92129,15757,London
01/08/1997,92120,14233,London
01/09/1997,94180,13516,London
01/10/1997,93918,14096,London
01/11/1997,95034,11985,London
01/12/1997,96863,12759,London
01/01/1998,97914,9867,London
01/02/1998,96944,9419,London
01/03/1998,98934,11654,London
01/04/1998,101287,11829,London
01/05/1998,101077,12242,London
01/06/1998,102891,13441,London
01/07/1998,104368,14954,London
01/08/1998,104078,12931,London
01/09/1998,104611,13122,London
01/10/1998,104179,12601,London
01/11/1998,104259,11801,London
01/12/1998,104785,12081,London
01/01/1999,105695,9310,London
01/02/1999,105273,9497,London
01/03/1999,107398,12774,London
01/04/1999,109621,12763,London
01/05/1999,111216,12722,London
01/06/1999,113319,15578,London
01/07/1999,117033,18420,London
01/08/1999,119358,16329,London
01/09/1999,122611,15627,London
01/10/1999,123002,15681,London
01/11/1999,125792,15251,London
01/12/1999,127918,15124,London
01/01/2000,130411,11333,London
01/02/2000,132705,11414,London
01/03/2000,134286,14645,London
01/04/2000,140670,12667,London
01/05/2000,140862,13099,London
01/06/2000,143542,14270,London
01/07/2000,146228,13278,London
01/08/2000,147284,12690,London
01/09/2000,147316,11521,London
01/10/2000,145626,11068,London
01/11/2000,147666,11301,London
01/12/2000,147483,11983,London
01/01/2001,149543,10315,London
01/02/2001,149776,9963,London
01/03/2001,150941,12882,London
01/04/2001,152865,12330,London
01/05/2001,157156,13965,London
01/06/2001,158760,15564,London
01/07/2001,161122,16048,London
01/08/2001,164628,17306,London
01/09/2001,164820,13820,London
01/10/2001,166189,14320,London
01/11/2001,167214,14294,London
01/12/2001,167693,11937,London
01/01/2002,169841,10337,London
01/02/2002,170502,10786,London
01/03/2002,172749,13747,London
01/04/2002,178218,14025,London
01/05/2002,182805,17735,London
01/06/2002,186038,14368,London
01/07/2002,191162,18061,London
01/08/2002,195333,17567,London
01/09/2002,197045,15091,London
01/10/2002,199092,14509,London
01/11/2002,202527,14324,London
01/12/2002,203437,13443,London
01/01/2003,207162,11365,London
01/02/2003,206464,10320,London
01/03/2003,205573,10600,London
01/04/2003,207953,10380,London
01/05/2003,210583,11169,London
01/06/2003,208941,11990,London
01/07/2003,213806,13468,London
01/08/2003,212692,14417,London
01/09/2003,212901,14741,London
01/10/2003,214608,15741,London
01/11/2003,215556,14754,London
01/12/2003,216971,14839,London
01/01/2004,218855,12767,London
01/02/2004,219804,12160,London
01/03/2004,221324,14409,London
01/04/2004,225863,14873,London
01/05/2004,227330,13613,London
01/06/2004,230156,16163,London
01/07/2004,233877,17612,London
01/08/2004,234836,15020,London
01/09/2004,234134,13500,London
01/10/2004,232287,12031,London
01/11/2004,234718,10790,London
01/12/2004,230185,10859,London
01/01/2005,232422,8020,London
01/02/2005,231321,7829,London
01/03/2005,231263,9361,London
01/04/2005,235367,10290,London
01/05/2005,235685,10649,London
01/06/2005,235899,12308,London
01/07/2005,237872,13536,London
01/08/2005,237971,13208,London
01/09/2005,236916,13541,London
01/10/2005,234298,12382,London
01/11/2005,236561,12568,London
01/12/2005,238377,13144,London
01/01/2006,239846,10862,London
01/02/2006,239115,10885,London
