Unnamed: 0,date,HPI,HPI_Rent,HPI_Income
67,1998/12,71.15736822,75.1081138,78.94683968
68,1999/03,71.8267182,75.65262281,79.13385926
69,1999/06,72.1760382,75.87623681,79.66766494
70,1999/09,72.80593818,76.46400895,79.99628774
71,1999/12,73.24333817,76.86413488,79.57891623
72,2000/03,74.10786815,77.68564634,80.28868025
73,2000/06,74.75167813,78.1038401,80.29714718
74,2000/09,75.63421811,78.84751591,80.41054892
75,2000/12,76.49875809,79.49780953,81.12100224
76,2001/03,77.87921805,80.8615495,82.0518232
77,2001/06,78.60334803,81.1127306,83.29006263
78,2001/09,79.78922801,81.56352886,83.06065195
79,2001/12,80.88649798,81.90573868,85.89569
80,2002/03,81.95525795,82.27447814,85.23172049
81,2002/06,82.51142794,82.7577991,85.28467942
82,2002/09,83.72393791,83.84034893,86.70084966
83,2002/12,84.67025788,84.60606899,87.41025074
84,2003/03,85.12001787,85.27147136,88.54616493
85,2003/06,85.84106785,85.74310639,88.50608503
86,2003/09,86.60137783,86.52005832,88.05551794
87,2003/12,88.77643778,88.51552691,90.32222513
88,2004/03,89.55995776,89.47641434,90.66555701
89,2004/06,90.88487773,90.54503457,91.37286287
90,2004/09,93.89204765,93.36270632,93.98184396
91,2004/12,95.26115762,95.05207333,94.52010216
92,2005/03,96.96273758,96.5745256,97.65085836
93,2005/06,99.17086752,98.86728588,99.19138567
94,2005/09,101.1039975,101.4144845,101.0010324
95,2005/12,102.7623974,103.143704,102.1567236
96,2006/03,103.9375974,103.9840505,101.5721348
97,2006/06,103.8078974,103.5626575,101.3577707
98,2006/09,103.9212974,103.2705778,101.5284341
99,2006/12,105.3491974,103.503927,101.9765277
100,2007/03,104.8704974,103.0728716,101.2121187
101,2007/06,103.6374974,101.8699668,99.85241949
102,2007/09,101.9123975,99.93079591,98.29257991
103,2007/12,100.7457975,99.18955832,97.35622412
104,2008/03,99.28267752,97.85915577,95.68347478
105,2008/06,95.58679761,94.67897996,90.59080277
106,2008/09,91.60377771,91.11194538,88.90174944
107,2008/12,92.40110769,90.2561207,88.95510542
108,2009/03,93.79378766,90.75313724,90.57266336
109,2009/06,90.72893773,87.80900354,87.32680989
110,2009/09,87.76038781,85.47975498,85.74739062
111,2009/12,86.58157784,85.29515656,84.63378187
112,2010/03,85.29062787,84.54902653,82.88046233
113,2010/06,84.1573379,83.55398472,80.62249968
114,2010/09,84.82057788,84.24645499,80.92196697
115,2010/12,83.8326779,83.38459986,79.86661406
116,2011/03,80.89394798,80.80090591,76.40546733
117,2011/06,78.48764804,78.8772424,74.48200521
118,2011/09,78.71767803,78.94898432,74.54404386
119,2011/12,78.96055803,78.76751768,74.70815982
120,2012/03,77.68477806,77.57142048,72.78306407
121,2012/06,76.93574808,76.54220401,71.60738601
122,2012/09,77.74275806,77.07395291,72.98600741
123,2012/12,78.05267805,77.18756141,71.47356522
124,2013/03,78.22715804,77.12265993,74.78963905
125,2013/06,79.15297802,77.55939791,75.29395301
126,2013/09,79.981458,78.12873274,75.95517171
127,2013/12,80.42699799,78.35498879,76.32289922
128,2014/03,80.77863798,78.47356648,75.86082471
129,2014/06,81.70957796,79.07263806,75.91039653
130,2014/09,82.66888793,79.54697955,76.12103169
131,2014/12,83.58051791,79.66601954,76.10620804
132,2015/03,84.92706788,79.91106811,76.65905514
133,2015/06,85.65981786,80.28893641,77.28500393
134,2015/09,86.67735783,80.65391364,77.91348273
135,2015/12,87.62111781,80.71754501,78.50619641
136,2016/03,88.45588779,80.81335225,78.88156082
137,2016/06,89.31078777,81.32306669,79.96144302
138,2016/09,90.56607774,82.01297373,80.90628827
139,2016/12,91.00972772,81.94963116,81.14419291
140,2017/03,91.25411772,81.8652953,80.44261203
141,2017/06,92.78202768,82.74237647,81.14228236
142,2017/09,93.87086765,83.27073027,81.81207051
143,2017/12,94.19146765,83.33909751,81.88044638
144,2018/03,94.97941763,83.83341201,81.89505207
145,2018/06,95.9084776,84.44651322,82.14703201
146,2018/09,96.76232758,84.71449058,82.41456931
147,2018/12,96.87898758,84.41249897,82.12320509
148,2019/03,97.93500755,84.66325785,82.15947194
149,2019/06,98.63253753,84.97103861,83.19091705
150,2019/09,99.61488751,85.264982,83.70020579
151,2019/12,100.2567975,85.48446341,83.92765936
152,2020/03,101.1825975,85.75457803,83.97296326
153,2020/06,102.3212974,85.78944528,77.06017486
154,2020/09,103.1671974,86.85774816,81.44233676
155,2020/12,105.2434974,88.60774881,85.11995189
156,2021/03,106.8469973,90.44710426,77.41893057
157,2021/06,110.7496972,94.70702386,87.56369647
158,2021/09,115.4052971,99.18109812,92.33180285
159,2021/12,117.7436971,101.5044855,95.43386332
160,2022/03,120.107097,103.7998703,99.85820276
161,2022/06,125.7515969,108.749527,104.8411772
