Year Acquired,Statistic,stat
1907-01-01T00:00:00,count,9.0
1908-01-01T00:00:00,count,11.0
1909-01-01T00:00:00,count,7.0
1910-01-01T00:00:00,count,22.0
1911-01-01T00:00:00,count,8.0
1912-01-01T00:00:00,count,9.0
1913-01-01T00:00:00,count,17.0
1914-01-01T00:00:00,count,4.0
1915-01-01T00:00:00,count,16.0
1916-01-01T00:00:00,count,11.0
1917-01-01T00:00:00,count,2.0
1918-01-01T00:00:00,count,6.0
1919-01-01T00:00:00,count,6.0
1920-01-01T00:00:00,count,38.0
1921-01-01T00:00:00,count,18.0
1922-01-01T00:00:00,count,10.0
1923-01-01T00:00:00,count,13.0
1924-01-01T00:00:00,count,8.0
1925-01-01T00:00:00,count,13.0
1926-01-01T00:00:00,count,17.0
1927-01-01T00:00:00,count,18.0
1928-01-01T00:00:00,count,30.0
1929-01-01T00:00:00,count,37.0
1930-01-01T00:00:00,count,101.0
1931-01-01T00:00:00,count,29.0
1932-01-01T00:00:00,count,60.0
1933-01-01T00:00:00,count,9.0
1934-01-01T00:00:00,count,13.0
1935-01-01T00:00:00,count,214.0
1936-01-01T00:00:00,count,60.0
1937-01-01T00:00:00,count,52.0
1938-01-01T00:00:00,count,32.0
1939-01-01T00:00:00,count,30.0
1940-01-01T00:00:00,count,67.0
1941-01-01T00:00:00,count,27.0
1942-01-01T00:00:00,count,25.0
1943-01-01T00:00:00,count,9.0
1944-01-01T00:00:00,count,10.0
1945-01-01T00:00:00,count,20.0
1946-01-01T00:00:00,count,8.0
1947-01-01T00:00:00,count,20.0
1948-01-01T00:00:00,count,54.0
1949-01-01T00:00:00,count,40.0
1950-01-01T00:00:00,count,175.0
1951-01-01T00:00:00,count,38.0
1952-01-01T00:00:00,count,44.0
1953-01-01T00:00:00,count,65.0
1954-01-01T00:00:00,count,73.0
1955-01-01T00:00:00,count,65.0
1956-01-01T00:00:00,count,54.0
1957-01-01T00:00:00,count,56.0
1958-01-01T00:00:00,count,92.0
1959-01-01T00:00:00,count,63.0
1960-01-01T00:00:00,count,141.0
1961-01-01T00:00:00,count,51.0
1962-01-01T00:00:00,count,72.0
1963-01-01T00:00:00,count,113.0
1964-01-01T00:00:00,count,130.0
1965-01-01T00:00:00,count,173.0
1966-01-01T00:00:00,count,77.0
1967-01-01T00:00:00,count,117.0
1968-01-01T00:00:00,count,123.0
1969-01-01T00:00:00,count,62.0
1970-01-01T00:00:00,count,216.0
1971-01-01T00:00:00,count,109.0
1972-01-01T00:00:00,count,121.0
1973-01-01T00:00:00,count,125.0
1974-01-01T00:00:00,count,192.0
1975-01-01T00:00:00,count,238.0
1976-01-01T00:00:00,count,139.0
1977-01-01T00:00:00,count,98.0
1978-01-01T00:00:00,count,79.0
1979-01-01T00:00:00,count,116.0
1980-01-01T00:00:00,count,136.0
1981-01-01T00:00:00,count,175.0
1982-01-01T00:00:00,count,80.0
1983-01-01T00:00:00,count,56.0
1984-01-01T00:00:00,count,137.0
1985-01-01T00:00:00,count,147.0
1986-01-01T00:00:00,count,169.0
1987-01-01T00:00:00,count,159.0
1988-01-01T00:00:00,count,135.0
1989-01-01T00:00:00,count,192.0
1990-01-01T00:00:00,count,182.0
1991-01-01T00:00:00,count,99.0
1992-01-01T00:00:00,count,110.0
1993-01-01T00:00:00,count,91.0
1994-01-01T00:00:00,count,107.0
1995-01-01T00:00:00,count,122.0
1996-01-01T00:00:00,count,137.0
1997-01-01T00:00:00,count,108.0
1998-01-01T00:00:00,count,124.0
1999-01-01T00:00:00,count,151.0
2000-01-01T00:00:00,count,357.0
2001-01-01T00:00:00,count,168.0
2002-01-01T00:00:00,count,116.0
2003-01-01T00:00:00,count,104.0
2004-01-01T00:00:00,count,79.0
2005-01-01T00:00:00,count,75.0
2006-01-01T00:00:00,count,193.0
2007-01-01T00:00:00,count,42.0
2008-01-01T00:00:00,count,11.0
2009-01-01T00:00:00,count,20.0
2010-01-01T00:00:00,count,22.0
2011-01-01T00:00:00,count,23.0
2012-01-01T00:00:00,count,23.0
2013-01-01T00:00:00,count,8.0
2014-01-01T00:00:00,count,33.0
2015-01-01T00:00:00,count,20.0
2016-01-01T00:00:00,count,10.0
2017-01-01T00:00:00,count,1.0
2018-01-01T00:00:00,count,4.0
2019-01-01T00:00:00,count,2.0
1753-01-01T00:00:00,mean,1200.0
1802-01-01T00:00:00,mean,2220.0
1810-01-01T00:00:00,mean,1344.3333333333333
1832-01-01T00:00:00,mean,120000.0
1837-01-01T00:00:00,mean,10302.0
1838-01-01T00:00:00,mean,2010.0
1839-01-01T00:00:00,mean,11752.0
1840-01-01T00:00:00,mean,4614.75
1841-01-01T00:00:00,mean,3256.0
1843-01-01T00:00:00,mean,900.0
1844-01-01T00:00:00,mean,4088.0
1845-01-01T00:00:00,mean,21948.666666666668
1848-01-01T00:00:00,mean,5323.0
1850-01-01T00:00:00,mean,1133.5
1853-01-01T00:00:00,mean,255000.0
1854-01-01T00:00:00,mean,2140.0
1855-01-01T00:00:00,mean,11025.666666666666
1856-01-01T00:00:00,mean,750.0
1857-01-01T00:00:00,mean,9062.0
1858-01-01T00:00:00,mean,11183.5
1859-01-01T00:00:00,mean,4847.0
1860-01-01T00:00:00,mean,4569.5
1863-01-01T00:00:00,mean,15795.0
1865-01-01T00:00:00,mean,24832.666666666668
1867-01-01T00:00:00,mean,2700.0
1870-01-01T00:00:00,mean,2864.0
1871-01-01T00:00:00,mean,1280.6
1872-01-01T00:00:00,mean,14900.0
1873-01-01T00:00:00,mean,11000.0
1874-01-01T00:00:00,mean,6600.0
1875-01-01T00:00:00,mean,1269.3333333333333
1876-01-01T00:00:00,mean,80856.0
1878-01-01T00:00:00,mean,33071.0
1880-01-01T00:00:00,mean,22479.125
1881-01-01T00:00:00,mean,6671.0
1882-01-01T00:00:00,mean,29633.0
1883-01-01T00:00:00,mean,4362.5
1885-01-01T00:00:00,mean,7539.25
1886-01-01T00:00:00,mean,12951.538461538461
1887-01-01T00:00:00,mean,48705.75
1888-01-01T00:00:00,mean,42462.0
1890-01-01T00:00:00,mean,12333.42857142857
1891-01-01T00:00:00,mean,2325.0
1892-01-01T00:00:00,mean,50493.333333333336
1893-01-01T00:00:00,mean,6598.333333333333
1894-01-01T00:00:00,mean,85000.0
1895-01-01T00:00:00,mean,32239.571428571428
1896-01-01T00:00:00,mean,48360.833333333336
1897-01-01T00:00:00,mean,132907.0
1898-01-01T00:00:00,mean,18380.0
1899-01-01T00:00:00,mean,40491.666666666664
1900-01-01T00:00:00,mean,12438.333333333334
1901-01-01T00:00:00,mean,36495.333333333336
1902-01-01T00:00:00,mean,33715.625
1903-01-01T00:00:00,mean,26764.0
1904-01-01T00:00:00,mean,5852.0
1905-01-01T00:00:00,mean,24068.153846153848
1906-01-01T00:00:00,mean,10187.0
1907-01-01T00:00:00,mean,14809.444444444445
1908-01-01T00:00:00,mean,32750.18181818182
1909-01-01T00:00:00,mean,42611.857142857145
1910-01-01T00:00:00,mean,10518.681818181818
1911-01-01T00:00:00,mean,29715.25
1912-01-01T00:00:00,mean,46979.11111111111
1913-01-01T00:00:00,mean,9335.882352941177
1914-01-01T00:00:00,mean,83526.5
1915-01-01T00:00:00,mean,33253.1875
1916-01-01T00:00:00,mean,19092.090909090908
1917-01-01T00:00:00,mean,16488.0
1918-01-01T00:00:00,mean,7100.5
1919-01-01T00:00:00,mean,10813.0
1920-01-01T00:00:00,mean,10580.5
1921-01-01T00:00:00,mean,10417.222222222223
1922-01-01T00:00:00,mean,17159.4
1923-01-01T00:00:00,mean,42258.46153846154
1924-01-01T00:00:00,mean,15792.125
1925-01-01T00:00:00,mean,43784.46153846154
1926-01-01T00:00:00,mean,64058.64705882353
1927-01-01T00:00:00,mean,35424.72222222222
1928-01-01T00:00:00,mean,17604.066666666666
1929-01-01T00:00:00,mean,21414.297297297297
1930-01-01T00:00:00,mean,8335.336633663366
1931-01-01T00:00:00,mean,35125.1724137931
1932-01-01T00:00:00,mean,6901.216666666666
1933-01-01T00:00:00,mean,7662.555555555556
1934-01-01T00:00:00,mean,13542.23076923077
1935-01-01T00:00:00,mean,3236.121495327103
1936-01-01T00:00:00,mean,11056.666666666666
1937-01-01T00:00:00,mean,17813.384615384617
1938-01-01T00:00:00,mean,34791.28125
1939-01-01T00:00:00,mean,11719.1
1940-01-01T00:00:00,mean,19286.567164179105
1941-01-01T00:00:00,mean,12807.777777777777
1942-01-01T00:00:00,mean,9722.8
1943-01-01T00:00:00,mean,6402.0
1944-01-01T00:00:00,mean,4460.2
1945-01-01T00:00:00,mean,9503.95
1946-01-01T00:00:00,mean,7350.0
1947-01-01T00:00:00,mean,8236.5
1948-01-01T00:00:00,mean,7007.537037037037
1949-01-01T00:00:00,mean,22588.95
1950-01-01T00:00:00,mean,6808.171428571429
1951-01-01T00:00:00,mean,15408.763157894737
1952-01-01T00:00:00,mean,26227.0
1953-01-01T00:00:00,mean,7561.476923076923
1954-01-01T00:00:00,mean,10464.82191780822
1955-01-01T00:00:00,mean,12526.476923076923
1956-01-01T00:00:00,mean,21482.12962962963
1957-01-01T00:00:00,mean,16544.303571428572
1958-01-01T00:00:00,mean,10273.108695652174
1959-01-01T00:00:00,mean,23393.539682539682
1960-01-01T00:00:00,mean,6770.992907801418
1961-01-01T00:00:00,mean,16320.313725490196
1962-01-01T00:00:00,mean,17826.76388888889
1963-01-01T00:00:00,mean,21474.672566371682
1964-01-01T00:00:00,mean,19322.992307692308
1965-01-01T00:00:00,mean,24489.323699421966
1966-01-01T00:00:00,mean,28220.12987012987
1967-01-01T00:00:00,mean,20335.1452991453
1968-01-01T00:00:00,mean,13546.325203252032
1969-01-01T00:00:00,mean,35578.596774193546
1970-01-01T00:00:00,mean,9183.99537037037
1971-01-01T00:00:00,mean,23629.577981651375
1972-01-01T00:00:00,mean,15613.01652892562
1973-01-01T00:00:00,mean,9745.432
1974-01-01T00:00:00,mean,4999.770833333333
1975-01-01T00:00:00,mean,5861.399159663865
1976-01-01T00:00:00,mean,10166.84892086331
1977-01-01T00:00:00,mean,12004.65306122449
1978-01-01T00:00:00,mean,12148.658227848102
1979-01-01T00:00:00,mean,3286.043103448276
1980-01-01T00:00:00,mean,3040.25
1981-01-01T00:00:00,mean,10051.891428571429
1982-01-01T00:00:00,mean,10162.3875
1983-01-01T00:00:00,mean,12152.964285714286
1984-01-01T00:00:00,mean,14252.21897810219
1985-01-01T00:00:00,mean,13685.251700680272
1986-01-01T00:00:00,mean,5693.7692307692305
1987-01-01T00:00:00,mean,8526.4213836478
1988-01-01T00:00:00,mean,3601.651851851852
1989-01-01T00:00:00,mean,11383.854166666666
1990-01-01T00:00:00,mean,12137.626373626374
1991-01-01T00:00:00,mean,16705.52525252525
1992-01-01T00:00:00,mean,8187.363636363636
1993-01-01T00:00:00,mean,3868.1098901098903
1994-01-01T00:00:00,mean,4071.5607476635514
1995-01-01T00:00:00,mean,7191.770491803279
1996-01-01T00:00:00,mean,9865.627737226278
1997-01-01T00:00:00,mean,10283.925925925925
1998-01-01T00:00:00,mean,5898.3387096774195
1999-01-01T00:00:00,mean,2413.3576158940396
2000-01-01T00:00:00,mean,3498.002801120448
2001-01-01T00:00:00,mean,7916.392857142857
2002-01-01T00:00:00,mean,8931.98275862069
2003-01-01T00:00:00,mean,10015.663461538461
2004-01-01T00:00:00,mean,7281.658227848101
2005-01-01T00:00:00,mean,19925.48
2006-01-01T00:00:00,mean,3221.295336787565
2007-01-01T00:00:00,mean,23703.0
2008-01-01T00:00:00,mean,14565.727272727272
2009-01-01T00:00:00,mean,12986.2
2010-01-01T00:00:00,mean,17214.772727272728
2011-01-01T00:00:00,mean,6650.130434782609
2012-01-01T00:00:00,mean,10874.478260869566
2013-01-01T00:00:00,mean,48935.625
2014-01-01T00:00:00,mean,20130.242424242424
2015-01-01T00:00:00,mean,15254.65
2016-01-01T00:00:00,mean,30483.9
2017-01-01T00:00:00,mean,6720.0
2018-01-01T00:00:00,mean,4290.0
2019-01-01T00:00:00,mean,760.0
1753-01-01T00:00:00,std,
1802-01-01T00:00:00,std,1943.1294347006326
1810-01-01T00:00:00,std,1809.9459476275345
1832-01-01T00:00:00,std,
1837-01-01T00:00:00,std,
1838-01-01T00:00:00,std,
1839-01-01T00:00:00,std,
1840-01-01T00:00:00,std,6890.521496955074
1841-01-01T00:00:00,std,
1843-01-01T00:00:00,std,
1844-01-01T00:00:00,std,
1845-01-01T00:00:00,std,31203.93836254221
1848-01-01T00:00:00,std,5095.809454836395
1850-01-01T00:00:00,std,895.9042917633557
1853-01-01T00:00:00,std,
1854-01-01T00:00:00,std,
1855-01-01T00:00:00,std,16923.776808581075
1856-01-01T00:00:00,std,
1857-01-01T00:00:00,std,8572.962615105702
1858-01-01T00:00:00,std,5397.346060796917
1859-01-01T00:00:00,std,
1860-01-01T00:00:00,std,7751.7325482759015
1863-01-01T00:00:00,std,
1865-01-01T00:00:00,std,32196.907405836355
1867-01-01T00:00:00,std,
1870-01-01T00:00:00,std,
1871-01-01T00:00:00,std,1244.568117862578
1872-01-01T00:00:00,std,
1873-01-01T00:00:00,std,
1874-01-01T00:00:00,std,
1875-01-01T00:00:00,std,801.8611683660291
1876-01-01T00:00:00,std,160693.74499338795
1878-01-01T00:00:00,std,
1880-01-01T00:00:00,std,18584.21640945809
1881-01-01T00:00:00,std,
1882-01-01T00:00:00,std,16239.414336730251
1883-01-01T00:00:00,std,5957.374631496663
1885-01-01T00:00:00,std,13162.546900834453
1886-01-01T00:00:00,std,13386.600723704933
1887-01-01T00:00:00,std,32875.86620785324
1888-01-01T00:00:00,std,19397.353221509373
1890-01-01T00:00:00,std,12204.232078219737
1891-01-01T00:00:00,std,
1892-01-01T00:00:00,std,53825.39714050732
1893-01-01T00:00:00,std,4939.713217046782
1894-01-01T00:00:00,std,
1895-01-01T00:00:00,std,35308.668821585175
1896-01-01T00:00:00,std,32818.91091073356
1897-01-01T00:00:00,std,
1898-01-01T00:00:00,std,23589.082220383225
1899-01-01T00:00:00,std,9595.529914149261
1900-01-01T00:00:00,std,24407.486225462748
1901-01-01T00:00:00,std,44235.87532007628
1902-01-01T00:00:00,std,74910.74220113561
1903-01-01T00:00:00,std,22442.40435425759
1904-01-01T00:00:00,std,5686.738256681065
1905-01-01T00:00:00,std,38173.902599040426
1906-01-01T00:00:00,std,5038.842922735338
1907-01-01T00:00:00,std,14097.166977012714
1908-01-01T00:00:00,std,30984.242959343646
1909-01-01T00:00:00,std,46199.134419844464
1910-01-01T00:00:00,std,12792.414930382858
1911-01-01T00:00:00,std,56212.93885307901
1912-01-01T00:00:00,std,31165.397067278176
1913-01-01T00:00:00,std,8638.002972926908
1914-01-01T00:00:00,std,133998.1448988505
1915-01-01T00:00:00,std,36118.06747546856
1916-01-01T00:00:00,std,19720.665848061748
1917-01-01T00:00:00,std,16393.563615028917
1918-01-01T00:00:00,std,5232.420462845087
1919-01-01T00:00:00,std,9682.2401953267
1920-01-01T00:00:00,std,20442.264121640706
1921-01-01T00:00:00,std,15577.069049824699
1922-01-01T00:00:00,std,24697.70899046666
1923-01-01T00:00:00,std,116712.13873859006
1924-01-01T00:00:00,std,13856.473798373092
1925-01-01T00:00:00,std,70809.25675905115
1926-01-01T00:00:00,std,142584.866876249
1927-01-01T00:00:00,std,45566.20191197645
1928-01-01T00:00:00,std,20197.49902908489
1929-01-01T00:00:00,std,74637.60498638473
1930-01-01T00:00:00,std,14198.32314062279
1931-01-01T00:00:00,std,71166.494532223
1932-01-01T00:00:00,std,16106.37998138633
1933-01-01T00:00:00,std,8360.394026466563
1934-01-01T00:00:00,std,20302.343748747524
1935-01-01T00:00:00,std,11348.703456140014
1936-01-01T00:00:00,std,14641.102723898613
1937-01-01T00:00:00,std,35813.398188526524
1938-01-01T00:00:00,std,42049.79960769586
1939-01-01T00:00:00,std,21553.732876712787
1940-01-01T00:00:00,std,52759.11072613757
1941-01-01T00:00:00,std,20989.624296365193
1942-01-01T00:00:00,std,18649.57300896368
1943-01-01T00:00:00,std,7343.639986410009
1944-01-01T00:00:00,std,5603.509947642935
1945-01-01T00:00:00,std,23119.28846445391
1946-01-01T00:00:00,std,15332.06515770136
1947-01-01T00:00:00,std,14075.313893854243
1948-01-01T00:00:00,std,9656.249597595084
1949-01-01T00:00:00,std,40756.41390766392
1950-01-01T00:00:00,std,23767.581492790137
1951-01-01T00:00:00,std,32213.845755323826
1952-01-01T00:00:00,std,50095.752137142794
1953-01-01T00:00:00,std,24018.615784238384
1954-01-01T00:00:00,std,31190.464513899857
1955-01-01T00:00:00,std,57663.39538056934
1956-01-01T00:00:00,std,54267.860881750195
1957-01-01T00:00:00,std,26266.414561647933
1958-01-01T00:00:00,std,25633.219600490233
1959-01-01T00:00:00,std,54551.838832383706
1960-01-01T00:00:00,std,30578.95301101641
1961-01-01T00:00:00,std,33994.958697718816
1962-01-01T00:00:00,std,40203.09748997627
1963-01-01T00:00:00,std,50204.6323233443
1964-01-01T00:00:00,std,36597.21245399766
1965-01-01T00:00:00,std,53535.174160169925
1966-01-01T00:00:00,std,45177.83189252476
1967-01-01T00:00:00,std,34592.45432178191
1968-01-01T00:00:00,std,40273.1453669295
1969-01-01T00:00:00,std,82299.22748725335
1970-01-01T00:00:00,std,28057.24095147776
1971-01-01T00:00:00,std,58685.713467036134
1972-01-01T00:00:00,std,48993.933549978654
1973-01-01T00:00:00,std,26849.922143617525
1974-01-01T00:00:00,std,22745.999592577427
1975-01-01T00:00:00,std,16332.917613982721
1976-01-01T00:00:00,std,37905.41062711686
1977-01-01T00:00:00,std,75215.12199048368
1978-01-01T00:00:00,std,30707.55389021007
1979-01-01T00:00:00,std,9702.435457941334
1980-01-01T00:00:00,std,9626.164334192976
1981-01-01T00:00:00,std,26853.691353624563
1982-01-01T00:00:00,std,34968.08857037605
1983-01-01T00:00:00,std,26712.921492970596
1984-01-01T00:00:00,std,78602.29920130268
1985-01-01T00:00:00,std,99310.80973863353
1986-01-01T00:00:00,std,14956.371277342452
1987-01-01T00:00:00,std,31069.05988367671
1988-01-01T00:00:00,std,8764.455069282427
1989-01-01T00:00:00,std,36610.124618552596
1990-01-01T00:00:00,std,30761.232022991848
1991-01-01T00:00:00,std,81556.11927733221
1992-01-01T00:00:00,std,18316.353153371783
1993-01-01T00:00:00,std,7280.909893459668
1994-01-01T00:00:00,std,8359.03900676136
1995-01-01T00:00:00,std,17967.95543163361
1996-01-01T00:00:00,std,33201.52837995283
1997-01-01T00:00:00,std,22768.56624831277
1998-01-01T00:00:00,std,14060.043460529747
1999-01-01T00:00:00,std,5231.4449824681915
2000-01-01T00:00:00,std,11276.816349499057
2001-01-01T00:00:00,std,29596.446083590352
2002-01-01T00:00:00,std,20494.191820667358
2003-01-01T00:00:00,std,37322.69734282203
2004-01-01T00:00:00,std,24762.442250873566
2005-01-01T00:00:00,std,56811.5000471236
2006-01-01T00:00:00,std,16471.966229616108
2007-01-01T00:00:00,std,47710.47411310813
2008-01-01T00:00:00,std,43181.08288380668
2009-01-01T00:00:00,std,25445.14786462503
2010-01-01T00:00:00,std,34147.04657511437
2011-01-01T00:00:00,std,15220.376605973586
2012-01-01T00:00:00,std,29866.02269967049
2013-01-01T00:00:00,std,84820.0285713185
2014-01-01T00:00:00,std,25152.687037161533
2015-01-01T00:00:00,std,29153.085289960036
2016-01-01T00:00:00,std,61864.18049144252
2017-01-01T00:00:00,std,
2018-01-01T00:00:00,std,5153.644341628553
2019-01-01T00:00:00,std,
1753-01-01T00:00:00,min,1200.0
1802-01-01T00:00:00,min,846.0
1810-01-01T00:00:00,min,216.0
1832-01-01T00:00:00,min,120000.0
1837-01-01T00:00:00,min,10302.0
1838-01-01T00:00:00,min,2010.0
1839-01-01T00:00:00,min,11752.0
1840-01-01T00:00:00,min,608.0
1841-01-01T00:00:00,min,3256.0
1843-01-01T00:00:00,min,900.0
1844-01-01T00:00:00,min,4088.0
1845-01-01T00:00:00,min,3616.0
1848-01-01T00:00:00,min,1644.0
1850-01-01T00:00:00,min,500.0
1853-01-01T00:00:00,min,255000.0
1854-01-01T00:00:00,min,2140.0
1855-01-01T00:00:00,min,1118.0
1856-01-01T00:00:00,min,750.0
1857-01-01T00:00:00,min,3000.0
1858-01-01T00:00:00,min,7367.0
1859-01-01T00:00:00,min,4847.0
1860-01-01T00:00:00,min,36.0
1863-01-01T00:00:00,min,15795.0
1865-01-01T00:00:00,min,225.0
1867-01-01T00:00:00,min,2700.0
1870-01-01T00:00:00,min,2864.0
1871-01-01T00:00:00,min,290.0
1872-01-01T00:00:00,min,14900.0
1873-01-01T00:00:00,min,11000.0
1874-01-01T00:00:00,min,6600.0
1875-01-01T00:00:00,min,400.0
1876-01-01T00:00:00,min,1200.0
1878-01-01T00:00:00,min,33071.0
1880-01-01T00:00:00,min,1800.0
1881-01-01T00:00:00,min,6671.0
1882-01-01T00:00:00,min,18150.0
1883-01-01T00:00:00,min,150.0
1885-01-01T00:00:00,min,184.0
1886-01-01T00:00:00,min,50.0
1887-01-01T00:00:00,min,15000.0
1888-01-01T00:00:00,min,28746.0
1890-01-01T00:00:00,min,300.0
1891-01-01T00:00:00,min,2325.0
1892-01-01T00:00:00,min,4380.0
1893-01-01T00:00:00,min,800.0
1894-01-01T00:00:00,min,85000.0
1895-01-01T00:00:00,min,4444.0
1896-01-01T00:00:00,min,13401.0
1897-01-01T00:00:00,min,132907.0
1898-01-01T00:00:00,min,1700.0
1899-01-01T00:00:00,min,32229.0
1900-01-01T00:00:00,min,200.0
1901-01-01T00:00:00,min,1450.0
1902-01-01T00:00:00,min,82.0
1903-01-01T00:00:00,min,10288.0
1904-01-01T00:00:00,min,480.0
1905-01-01T00:00:00,min,150.0
1906-01-01T00:00:00,min,6624.0
1907-01-01T00:00:00,min,2900.0
1908-01-01T00:00:00,min,2682.0
1909-01-01T00:00:00,min,2175.0
1910-01-01T00:00:00,min,150.0
1911-01-01T00:00:00,min,160.0
1912-01-01T00:00:00,min,3464.0
1913-01-01T00:00:00,min,1152.0
1914-01-01T00:00:00,min,3288.0
1915-01-01T00:00:00,min,3736.0
1916-01-01T00:00:00,min,16.0
1917-01-01T00:00:00,min,4896.0
1918-01-01T00:00:00,min,168.0
1919-01-01T00:00:00,min,2100.0
1920-01-01T00:00:00,min,100.0
1921-01-01T00:00:00,min,168.0
1922-01-01T00:00:00,min,288.0
1923-01-01T00:00:00,min,138.0
1924-01-01T00:00:00,min,3200.0
1925-01-01T00:00:00,min,25.0
1926-01-01T00:00:00,min,108.0
1927-01-01T00:00:00,min,693.0
1928-01-01T00:00:00,min,48.0
1929-01-01T00:00:00,min,10.0
1930-01-01T00:00:00,min,50.0
1931-01-01T00:00:00,min,388.0
1932-01-01T00:00:00,min,25.0
1933-01-01T00:00:00,min,300.0
1934-01-01T00:00:00,min,282.0
1935-01-01T00:00:00,min,30.0
1936-01-01T00:00:00,min,70.0
1937-01-01T00:00:00,min,130.0
1938-01-01T00:00:00,min,48.0
1939-01-01T00:00:00,min,224.0
1940-01-01T00:00:00,min,30.0
1941-01-01T00:00:00,min,100.0
1942-01-01T00:00:00,min,122.0
1943-01-01T00:00:00,min,363.0
1944-01-01T00:00:00,min,224.0
1945-01-01T00:00:00,min,27.0
1946-01-01T00:00:00,min,270.0
1947-01-01T00:00:00,min,50.0
1948-01-01T00:00:00,min,100.0
1949-01-01T00:00:00,min,80.0
1950-01-01T00:00:00,min,12.0
1951-01-01T00:00:00,min,145.0
1952-01-01T00:00:00,min,25.0
1953-01-01T00:00:00,min,120.0
1954-01-01T00:00:00,min,40.0
1955-01-01T00:00:00,min,20.0
1956-01-01T00:00:00,min,132.0
1957-01-01T00:00:00,min,40.0
1958-01-01T00:00:00,min,12.0
1959-01-01T00:00:00,min,20.0
1960-01-01T00:00:00,min,9.0
1961-01-01T00:00:00,min,25.0
1962-01-01T00:00:00,min,12.0
1963-01-01T00:00:00,min,12.0
1964-01-01T00:00:00,min,20.0
1965-01-01T00:00:00,min,20.0
1966-01-01T00:00:00,min,16.0
1967-01-01T00:00:00,min,12.0
1968-01-01T00:00:00,min,20.0
1969-01-01T00:00:00,min,25.0
1970-01-01T00:00:00,min,18.0
1971-01-01T00:00:00,min,124.0
1972-01-01T00:00:00,min,16.0
1973-01-01T00:00:00,min,24.0
1974-01-01T00:00:00,min,16.0
1975-01-01T00:00:00,min,16.0
1976-01-01T00:00:00,min,16.0
1977-01-01T00:00:00,min,18.0
1978-01-01T00:00:00,min,48.0
1979-01-01T00:00:00,min,12.0
1980-01-01T00:00:00,min,12.0
1981-01-01T00:00:00,min,20.0
1982-01-01T00:00:00,min,20.0
1983-01-01T00:00:00,min,25.0
1984-01-01T00:00:00,min,18.0
1985-01-01T00:00:00,min,20.0
1986-01-01T00:00:00,min,12.0
1987-01-01T00:00:00,min,18.0
1988-01-01T00:00:00,min,18.0
1989-01-01T00:00:00,min,16.0
1990-01-01T00:00:00,min,36.0
1991-01-01T00:00:00,min,18.0
1992-01-01T00:00:00,min,20.0
1993-01-01T00:00:00,min,18.0
1994-01-01T00:00:00,min,36.0
1995-01-01T00:00:00,min,64.0
1996-01-01T00:00:00,min,20.0
1997-01-01T00:00:00,min,24.0
1998-01-01T00:00:00,min,25.0
1999-01-01T00:00:00,min,30.0
2000-01-01T00:00:00,min,24.0
2001-01-01T00:00:00,min,64.0
2002-01-01T00:00:00,min,80.0
2003-01-01T00:00:00,min,20.0
2004-01-01T00:00:00,min,70.0
2005-01-01T00:00:00,min,60.0
2006-01-01T00:00:00,min,36.0
2007-01-01T00:00:00,min,20.0
