time,value
"{'interval_start': '2019-07-29T00:00:00Z', 'max': '2019-08-04T14:08:38.195000Z', 'min': '2019-07-29T12:37:52.757000Z'}","{'average': 0.029635452343331228, 'count': 1550, 'max': 0.038002826273441315, 'min': 0.020882025361061096, 'standard deviation': 0.0025334534860101637}"
"{'interval_start': '2019-08-05T00:00:00Z', 'max': '2019-08-11T13:36:41.744000Z', 'min': '2019-08-05T12:06:44.046000Z'}","{'average': 0.02964267275575022, 'count': 1770, 'max': 0.038543470203876495, 'min': 0.021959800273180008, 'standard deviation': 0.0026966892017914372}"
"{'interval_start': '2019-08-12T00:00:00Z', 'max': '2019-08-18T13:05:17.885000Z', 'min': '2019-08-12T11:35:55.859000Z'}","{'average': 0.032014686813598627, 'count': 1626, 'max': 0.038741353899240494, 'min': 0.01605084538459778, 'standard deviation': 0.0026273153090398634}"
"{'interval_start': '2019-08-19T00:00:00Z', 'max': '2019-08-25T14:15:08.088000Z', 'min': '2019-08-19T11:06:44.513000Z'}","{'average': 0.033831410243937, 'count': 1488, 'max': 0.04411367326974869, 'min': 0.025353355333209038, 'standard deviation': 0.003093123956663476}"
"{'interval_start': '2019-08-26T00:00:00Z', 'max': '2019-09-01T13:43:18.817000Z', 'min': '2019-08-26T12:13:07.487000Z'}","{'average': 0.030281668035174483, 'count': 1675, 'max': 0.0378057099878788, 'min': 0.01817302219569683, 'standard deviation': 0.0027051310739819264}"
"{'interval_start': '2019-09-02T00:00:00Z', 'max': '2019-09-08T13:11:43.075000Z', 'min': '2019-09-02T11:42:11.023000Z'}","{'average': 0.03194136015292215, 'count': 1598, 'max': 0.03935825452208519, 'min': 0.022888481616973877, 'standard deviation': 0.0026110792904835128}"
"{'interval_start': '2019-09-09T00:00:00Z', 'max': '2019-09-15T14:21:32.919000Z', 'min': '2019-09-09T11:13:00.728000Z'}","{'average': 0.03088994399930527, 'count': 1530, 'max': 0.037780970335006714, 'min': 0.024087699130177498, 'standard deviation': 0.0025792547282031185}"
"{'interval_start': '2019-09-16T00:00:00Z', 'max': '2019-09-22T13:49:46.840000Z', 'min': '2019-09-16T12:19:23.467000Z'}","{'average': 0.028836943944005572, 'count': 1749, 'max': 0.03639575466513634, 'min': 0.022038213908672333, 'standard deviation': 0.0023919300814248595}"
"{'interval_start': '2019-09-23T00:00:00Z', 'max': '2019-09-29T13:18:07.362000Z', 'min': '2019-09-23T11:48:26.358000Z'}","{'average': 0.02891219331587395, 'count': 1579, 'max': 0.041690319776535034, 'min': 0.02216356433928013, 'standard deviation': 0.0019210828061742465}"
"{'interval_start': '2019-09-30T00:00:00Z', 'max': '2019-10-06T14:27:54.448000Z', 'min': '2019-09-30T11:17:54.445000Z'}","{'average': 0.029016551946776, 'count': 1272, 'max': 0.034746140241622925, 'min': 0.02270004339516163, 'standard deviation': 0.0018827903631818187}"
"{'interval_start': '2019-10-07T00:00:00Z', 'max': '2019-10-13T13:56:17.531000Z', 'min': '2019-10-07T12:25:44.303000Z'}","{'average': 0.02839275909731468, 'count': 1283, 'max': 0.03486134111881256, 'min': 0.022724725306034088, 'standard deviation': 0.0017719710581360116}"
"{'interval_start': '2019-10-14T00:00:00Z', 'max': '2019-10-20T13:24:34.286000Z', 'min': '2019-10-14T11:54:58.270000Z'}","{'average': 0.028924491773808934, 'count': 1523, 'max': 0.03396015241742134, 'min': 0.023730631917715073, 'standard deviation': 0.0012908414349909127}"
"{'interval_start': '2019-10-21T00:00:00Z', 'max': '2019-10-27T14:33:20.934000Z', 'min': '2019-10-21T11:24:12.992000Z'}","{'average': 0.028839564154931597, 'count': 1132, 'max': 0.03427235037088394, 'min': 0.02209455519914627, 'standard deviation': 0.0015425165994207494}"
"{'interval_start': '2019-10-28T00:00:00Z', 'max': '2019-11-03T14:02:46.357000Z', 'min': '2019-10-28T12:32:04.807000Z'}","{'average': 0.02944822212945407, 'count': 1431, 'max': 0.03392487019300461, 'min': 0.022988535463809967, 'standard deviation': 0.0016164516706519963}"
"{'interval_start': '2019-11-04T00:00:00Z', 'max': '2019-11-10T13:30:57.159000Z', 'min': '2019-11-04T12:01:03.753000Z'}","{'average': 0.029829042953893093, 'count': 1522, 'max': 0.03481486439704895, 'min': 0.021229015663266182, 'standard deviation': 0.0016168233890101885}"
"{'interval_start': '2019-11-11T00:00:00Z', 'max': '2019-11-17T12:59:28.253000Z', 'min': '2019-11-11T11:30:12.599000Z'}","{'average': 0.029952279848843095, 'count': 1119, 'max': 0.035905275493860245, 'min': 0.02200295217335224, 'standard deviation': 0.002506911595986715}"
"{'interval_start': '2019-11-18T00:00:00Z', 'max': '2019-11-24T14:07:56.560000Z', 'min': '2019-11-18T12:38:24.644000Z'}","{'average': 0.03035227007847401, 'count': 612, 'max': 0.03803567215800285, 'min': 0.024975407868623734, 'standard deviation': 0.0015102157541986771}"
"{'interval_start': '2019-11-25T00:00:00Z', 'max': '2019-12-01T13:36:28.373000Z', 'min': '2019-11-25T12:07:18.964000Z'}","{'average': 0.03074133818477083, 'count': 1253, 'max': 0.039016980677843094, 'min': 0.02489498257637024, 'standard deviation': 0.0016263998221194794}"
"{'interval_start': '2019-12-02T00:00:00Z', 'max': '2019-12-08T13:05:23.194000Z', 'min': '2019-12-02T11:36:28.219000Z'}","{'average': 0.030570797825007684, 'count': 946, 'max': 0.036507029086351395, 'min': 0.025012655183672905, 'standard deviation': 0.0018770494861347334}"
"{'interval_start': '2019-12-09T00:00:00Z', 'max': '2019-12-15T14:13:45.596000Z', 'min': '2019-12-09T12:44:48.031000Z'}","{'average': 0.030289938033994674, 'count': 839, 'max': 0.03876824676990509, 'min': 0.024038612842559814, 'standard deviation': 0.0018416910169044027}"
"{'interval_start': '2019-12-16T00:00:00Z', 'max': '2019-12-22T13:42:50.088000Z', 'min': '2019-12-16T12:13:57.200000Z'}","{'average': 0.030136748883358346, 'count': 492, 'max': 0.03474660962820053, 'min': 0.022578036412596703, 'standard deviation': 0.0016307155805113753}"
"{'interval_start': '2019-12-23T00:00:00Z', 'max': '2019-12-29T13:11:27.897000Z', 'min': '2019-12-23T11:42:40.330000Z'}","{'average': 0.03162880599716284, 'count': 685, 'max': 0.04016390070319176, 'min': 0.02746857888996601, 'standard deviation': 0.0014968898775409953}"
"{'interval_start': '2019-12-30T00:00:00Z', 'max': '2020-01-05T14:20:40.173000Z', 'min': '2019-12-30T12:51:06.402000Z'}","{'average': 0.03260649656083071, 'count': 962, 'max': 0.03763962909579277, 'min': 0.027025962248444557, 'standard deviation': 0.002196907067158494}"
"{'interval_start': '2020-01-06T00:00:00Z', 'max': '2020-01-12T13:49:38.842000Z', 'min': '2020-01-06T12:19:49.491000Z'}","{'average': 0.03281992391309365, 'count': 882, 'max': 0.04935586825013161, 'min': 0.025040162727236748, 'standard deviation': 0.002539212471375632}"
"{'interval_start': '2020-01-13T00:00:00Z', 'max': '2020-01-19T13:17:43.356000Z', 'min': '2020-01-13T11:48:52.833000Z'}","{'average': 0.033787795350895274, 'count': 888, 'max': 0.040251657366752625, 'min': 0.028507353737950325, 'standard deviation': 0.002134344139852864}"
"{'interval_start': '2020-01-20T00:00:00Z', 'max': '2020-01-26T12:47:06.409000Z', 'min': '2020-01-20T11:18:19.781000Z'}","{'average': 0.03371069971895353, 'count': 1320, 'max': 0.04071606695652008, 'min': 0.027113208547234535, 'standard deviation': 0.001927683577814243}"
"{'interval_start': '2020-01-27T00:00:00Z', 'max': '2020-02-02T13:56:22.728000Z', 'min': '2020-01-27T12:26:05.171000Z'}","{'average': 0.03325520997697657, 'count': 1012, 'max': 0.04111341014504433, 'min': 0.02648654580116272, 'standard deviation': 0.001940700291024333}"
"{'interval_start': '2020-02-03T00:00:00Z', 'max': '2020-02-09T13:24:52.724000Z', 'min': '2020-02-03T11:55:04.664000Z'}","{'average': 0.034553762273611247, 'count': 1295, 'max': 0.042388852685689926, 'min': 0.026247143745422363, 'standard deviation': 0.002622990027714486}"
"{'interval_start': '2020-02-10T00:00:00Z', 'max': '2020-02-16T12:53:23.026000Z', 'min': '2020-02-10T11:24:14.858000Z'}","{'average': 0.03337074605530637, 'count': 831, 'max': 0.03962766006588936, 'min': 0.02646634355187416, 'standard deviation': 0.0023950702832838495}"
"{'interval_start': '2020-02-17T00:00:00Z', 'max': '2020-02-23T14:03:00.643000Z', 'min': '2020-02-17T12:32:19.380000Z'}","{'average': 0.033124325385792776, 'count': 1128, 'max': 0.03892219066619873, 'min': 0.02327355369925499, 'standard deviation': 0.0024148364744874147}"
"{'interval_start': '2020-02-24T00:00:00Z', 'max': '2020-03-01T13:31:11.683000Z', 'min': '2020-02-24T12:01:32.850000Z'}","{'average': 0.03345468195799255, 'count': 1397, 'max': 0.04393193498253822, 'min': 0.025100747123360634, 'standard deviation': 0.0027486692525014074}"
"{'interval_start': '2020-03-02T00:00:00Z', 'max': '2020-03-08T12:59:37.127000Z', 'min': '2020-03-02T11:30:26.483000Z'}","{'average': 0.034084357249383836, 'count': 1503, 'max': 0.040572263300418854, 'min': 0.026788219809532166, 'standard deviation': 0.001795694968830668}"
"{'interval_start': '2020-03-09T00:00:00Z', 'max': '2020-03-15T14:09:19.794000Z', 'min': '2020-03-09T12:38:36.227000Z'}","{'average': 0.03361405676972898, 'count': 1516, 'max': 0.04151018336415291, 'min': 0.024893315508961678, 'standard deviation': 0.0029369059109968375}"
"{'interval_start': '2020-03-16T00:00:00Z', 'max': '2020-03-22T13:37:32.780000Z', 'min': '2020-03-16T12:07:27.747000Z'}","{'average': 0.03742587947640538, 'count': 1258, 'max': 0.04268631339073181, 'min': 0.027712436392903328, 'standard deviation': 0.001854027198692632}"
"{'interval_start': '2020-03-23T00:00:00Z', 'max': '2020-03-29T13:05:53.342000Z', 'min': '2020-03-23T11:36:31.731000Z'}","{'average': 0.03840306468307972, 'count': 1550, 'max': 0.04506922885775566, 'min': 0.031967855989933014, 'standard deviation': 0.0020624513111319465}"
"{'interval_start': '2020-03-30T00:00:00Z', 'max': '2020-04-05T14:15:18.914000Z', 'min': '2020-03-30T11:07:17.726000Z'}","{'average': 0.03672578616170171, 'count': 1346, 'max': 0.04206926003098488, 'min': 0.028425980359315872, 'standard deviation': 0.001544153764802023}"
"{'interval_start': '2020-04-06T00:00:00Z', 'max': '2020-04-12T13:43:48.905000Z', 'min': '2020-04-06T12:13:34.662000Z'}","{'average': 0.0383027677909339, 'count': 1678, 'max': 0.04586869850754738, 'min': 0.03186047077178955, 'standard deviation': 0.0024469298179412217}"
"{'interval_start': '2020-04-13T00:00:00Z', 'max': '2020-04-19T13:12:08.209000Z', 'min': '2020-04-13T11:42:36.687000Z'}","{'average': 0.03734631356078364, 'count': 1612, 'max': 0.04392915219068527, 'min': 0.029927721247076988, 'standard deviation': 0.0022535795906267974}"
"{'interval_start': '2020-04-20T00:00:00Z', 'max': '2020-04-26T14:21:55.232000Z', 'min': '2020-04-20T11:13:21.906000Z'}","{'average': 0.036694734837360604, 'count': 1552, 'max': 0.04215490072965622, 'min': 0.030613107606768608, 'standard deviation': 0.0018351328509231297}"
"{'interval_start': '2020-04-27T00:00:00Z', 'max': '2020-05-03T13:50:04.848000Z', 'min': '2020-04-27T12:19:46.127000Z'}","{'average': 0.033723073558288005, 'count': 1609, 'max': 0.04033663868904114, 'min': 0.024238843470811844, 'standard deviation': 0.0023578845546551783}"
"{'interval_start': '2020-05-04T00:00:00Z', 'max': '2020-05-10T13:18:21.989000Z', 'min': '2020-05-04T11:48:44.100000Z'}","{'average': 0.034816779379071336, 'count': 1671, 'max': 0.044295717030763626, 'min': 0.028414573520421982, 'standard deviation': 0.002042438552247093}"
"{'interval_start': '2020-05-11T00:00:00Z', 'max': '2020-05-17T11:07:32.437000Z', 'min': '2020-05-11T11:18:05.676000Z'}","{'average': 0.03504394026824436, 'count': 1437, 'max': 0.04102039709687233, 'min': 0.027163591235876083, 'standard deviation': 0.0018502690216595217}"
"{'interval_start': '2020-05-18T00:00:00Z', 'max': '2020-05-24T13:56:09.961000Z', 'min': '2020-05-18T12:25:51.805000Z'}","{'average': 0.033302781512409486, 'count': 1642, 'max': 0.03978960961103439, 'min': 0.01959155686199665, 'standard deviation': 0.0027993884436085716}"
"{'interval_start': '2020-05-25T00:00:00Z', 'max': '2020-05-31T13:24:35.443000Z', 'min': '2020-05-25T11:54:51.360000Z'}","{'average': 0.032247873018947736, 'count': 1772, 'max': 0.03973311930894852, 'min': 0.025558561086654663, 'standard deviation': 0.002090461336604183}"
"{'interval_start': '2020-06-01T00:00:00Z', 'max': '2020-06-07T12:52:59.189000Z', 'min': '2020-06-01T11:23:58.601000Z'}","{'average': 0.02896078756006443, 'count': 1513, 'max': 0.03623174875974655, 'min': 0.016817845404148102, 'standard deviation': 0.0026094266863833323}"
"{'interval_start': '2020-06-08T00:00:00Z', 'max': '2020-06-14T14:02:41.003000Z', 'min': '2020-06-08T12:32:02.203000Z'}","{'average': 0.028358357152578853, 'count': 1515, 'max': 0.04319746419787407, 'min': 0.02017153613269329, 'standard deviation': 0.0024186503336280276}"
"{'interval_start': '2020-06-15T00:00:00Z', 'max': '2020-06-21T13:30:48.129000Z', 'min': '2020-06-15T12:00:56.948000Z'}","{'average': 0.02759664198475259, 'count': 1729, 'max': 0.03282716125249863, 'min': 0.020062478259205818, 'standard deviation': 0.0021067982120023007}"
"{'interval_start': '2020-06-22T00:00:00Z', 'max': '2020-06-28T12:59:12.679000Z', 'min': '2020-06-22T11:30:00.196000Z'}","{'average': 0.028692309231219907, 'count': 1618, 'max': 0.03845266252756119, 'min': 0.018218714743852615, 'standard deviation': 0.003555364535728398}"
"{'interval_start': '2020-06-29T00:00:00Z', 'max': '2020-07-05T14:08:51.772000Z', 'min': '2020-06-29T12:38:07.526000Z'}","{'average': 0.02605523613998788, 'count': 1453, 'max': 0.03289077803492546, 'min': 0.017361097037792206, 'standard deviation': 0.0023017141344696948}"
"{'interval_start': '2020-07-06T00:00:00Z', 'max': '2020-07-12T13:37:01.388000Z', 'min': '2020-07-06T12:06:57.636000Z'}","{'average': 0.026199794365712546, 'count': 1714, 'max': 0.0344809852540493, 'min': 0.01733218878507614, 'standard deviation': 0.0019937362791947015}"
"{'interval_start': '2020-07-13T00:00:00Z', 'max': '2020-07-19T13:05:22.261000Z', 'min': '2020-07-13T11:36:01.132000Z'}","{'average': 0.026411349902556776, 'count': 1553, 'max': 0.03410564735531807, 'min': 0.020244358107447624, 'standard deviation': 0.0019556369426984663}"
"{'interval_start': '2020-07-20T00:00:00Z', 'max': '2020-07-26T14:15:06.867000Z', 'min': '2020-07-20T11:06:46.961000Z'}","{'average': 0.0264486800133701, 'count': 1549, 'max': 0.032274771481752396, 'min': 0.019085727632045746, 'standard deviation': 0.0018069277765697775}"
"{'interval_start': '2020-07-27T00:00:00Z', 'max': '2020-08-02T13:43:17.445000Z', 'min': '2020-07-27T12:13:01.339000Z'}","{'average': 0.02734524575582922, 'count': 1511, 'max': 0.040939051657915115, 'min': 0.02063969150185585, 'standard deviation': 0.0024864830454069766}"
"{'interval_start': '2020-08-03T00:00:00Z', 'max': '2020-08-09T13:11:31.383000Z', 'min': '2020-08-03T11:42:02.800000Z'}","{'average': 0.028204953710197427, 'count': 1586, 'max': 0.036499544978141785, 'min': 0.019127076491713524, 'standard deviation': 0.0029044071049543953}"
"{'interval_start': '2020-08-10T00:00:00Z', 'max': '2020-08-16T14:21:18.593000Z', 'min': '2020-08-10T11:12:49.494000Z'}","{'average': 0.029433736490375357, 'count': 1537, 'max': 0.03617178276181221, 'min': 0.02013765648007393, 'standard deviation': 0.0016126743390567641}"
"{'interval_start': '2020-08-17T00:00:00Z', 'max': '2020-08-23T13:49:24.180000Z', 'min': '2020-08-17T12:19:04.559000Z'}","{'average': 0.027481848569444935, 'count': 1706, 'max': 0.034283868968486786, 'min': 0.019646544009447098, 'standard deviation': 0.0019558143306178085}"
"{'interval_start': '2020-08-24T00:00:00Z', 'max': '2020-08-30T13:17:41.982000Z', 'min': '2020-08-24T11:48:02.708000Z'}","{'average': 0.02804910157732153, 'count': 1527, 'max': 0.033344898372888565, 'min': 0.0184318907558918, 'standard deviation': 0.0020882098993260964}"
"{'interval_start': '2020-08-31T00:00:00Z', 'max': '2020-09-06T16:27:03.243000Z', 'min': '2020-08-31T11:17:37.956000Z'}","{'average': 0.029712136838900293, 'count': 1383, 'max': 0.03605770692229271, 'min': 0.022658387199044228, 'standard deviation': 0.0019366564599152555}"
"{'interval_start': '2020-09-07T00:00:00Z', 'max': '2020-09-13T15:55:35.144000Z', 'min': '2020-09-07T14:25:19.114000Z'}","{'average': 0.031163827885954423, 'count': 1579, 'max': 0.0546875074505806, 'min': 0.022495228797197342, 'standard deviation': 0.0046872460775518885}"
"{'interval_start': '2020-09-14T00:00:00Z', 'max': '2020-09-20T15:23:49.338000Z', 'min': '2020-09-15T13:35:51.682000Z'}","{'average': 0.03332332872506635, 'count': 1382, 'max': 0.044167324900627136, 'min': 0.024125877767801285, 'standard deviation': 0.0027756223870941676}"
"{'interval_start': '2020-09-21T00:00:00Z', 'max': '2020-09-27T14:52:39.947000Z', 'min': '2020-09-21T13:23:33.097000Z'}","{'average': 0.03236586227464395, 'count': 1358, 'max': 0.04944033920764923, 'min': 0.019109055399894714, 'standard deviation': 0.004832053275139959}"
"{'interval_start': '2020-09-28T00:00:00Z', 'max': '2020-10-04T16:01:55.046000Z', 'min': '2020-09-28T14:31:41.829000Z'}","{'average': 0.033109911707398326, 'count': 1294, 'max': 0.04273226857185364, 'min': 0.02361687645316124, 'standard deviation': 0.003294840731967016}"
"{'interval_start': '2020-10-05T00:00:00Z', 'max': '2020-10-11T15:30:35.780000Z', 'min': '2020-10-05T14:00:39.390000Z'}","{'average': 0.03201907483432574, 'count': 1831, 'max': 0.03795632719993591, 'min': 0.02493675798177719, 'standard deviation': 0.002131650147521048}"
"{'interval_start': '2020-10-12T00:00:00Z', 'max': '2020-10-18T14:59:06.943000Z', 'min': '2020-10-12T13:29:55.171000Z'}","{'average': 0.03341875819698362, 'count': 1622, 'max': 0.03917839378118515, 'min': 0.027877556160092354, 'standard deviation': 0.0018705471618653245}"
"{'interval_start': '2020-10-19T00:00:00Z', 'max': '2020-10-25T15:08:43.358000Z', 'min': '2020-10-19T14:38:07.046000Z'}","{'average': 0.03174225063735826, 'count': 1152, 'max': 0.04559661075472832, 'min': 0.024999627843499184, 'standard deviation': 0.0021088446475705366}"
"{'interval_start': '2020-10-26T00:00:00Z', 'max': '2020-11-01T14:37:03.795000Z', 'min': '2020-10-26T13:06:58.320000Z'}","{'average': 0.029592146303355014, 'count': 1319, 'max': 0.03556507080793381, 'min': 0.022210335358977318, 'standard deviation': 0.001978946434429918}"
"{'interval_start': '2020-11-02T00:00:00Z', 'max': '2020-11-08T14:05:05.267000Z', 'min': '2020-11-02T12:36:07.362000Z'}","{'average': 0.031717281264316076, 'count': 1446, 'max': 0.04037397354841232, 'min': 0.022531658411026, 'standard deviation': 0.0018771994848734133}"
"{'interval_start': '2020-11-09T00:00:00Z', 'max': '2020-11-15T15:14:41.759000Z', 'min': '2020-11-09T12:06:58.039000Z'}","{'average': 0.031263341168108326, 'count': 1006, 'max': 0.03728251904249191, 'min': 0.02247866615653038, 'standard deviation': 0.0018973538651691167}"
