Entity,Year,Type,Value
World,1995,Trade openness (share of exports and imports in GDP),40.952686
World,1996,Trade openness (share of exports and imports in GDP),42.00539
World,1997,Trade openness (share of exports and imports in GDP),43.73862
World,1998,Trade openness (share of exports and imports in GDP),43.503407
World,1999,Trade openness (share of exports and imports in GDP),43.683163
World,2000,Trade openness (share of exports and imports in GDP),47.301876
World,2001,Trade openness (share of exports and imports in GDP),46.18835
World,2002,Trade openness (share of exports and imports in GDP),46.457527
World,2003,Trade openness (share of exports and imports in GDP),48.02513
World,2004,Trade openness (share of exports and imports in GDP),51.550232
World,2005,Trade openness (share of exports and imports in GDP),54.038536
World,2006,Trade openness (share of exports and imports in GDP),57.21606
World,2007,Trade openness (share of exports and imports in GDP),58.920563
World,2008,Trade openness (share of exports and imports in GDP),61.490005
World,2009,Trade openness (share of exports and imports in GDP),52.067303
World,2010,Trade openness (share of exports and imports in GDP),56.622528
World,2011,Trade openness (share of exports and imports in GDP),60.48943
World,2012,Trade openness (share of exports and imports in GDP),59.99816
World,2013,Trade openness (share of exports and imports in GDP),59.96131
World,2014,Trade openness (share of exports and imports in GDP),59.44497
World,2015,Trade openness (share of exports and imports in GDP),56.332226
World,2016,Trade openness (share of exports and imports in GDP),54.26302
World,2017,Trade openness (share of exports and imports in GDP),56.182137
World,2018,Trade openness (share of exports and imports in GDP),57.822994
World,2019,Trade openness (share of exports and imports in GDP),55.852898
World,1820,"World trade - upper bound (% of GDP) (Estevadeordal, Frantz, and Taylor (2003))",9.5
World,1820,"World trade - lower bound (% of GDP) (Estevadeordal, Frantz, and Taylor (2003))",2.0
World,1870,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,17.57
World,1871,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,20.469999
World,1872,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.32
World,1873,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,20.85
World,1874,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.620001
World,1875,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.98
World,1876,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.09
World,1877,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.209999
World,1878,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.35
World,1879,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.67
World,1880,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.66
World,1881,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.790001
World,1882,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.870001
World,1883,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.33
World,1884,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.26
World,1885,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.52
World,1886,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.639999
World,1887,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.23
World,1888,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.92
World,1889,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.290001
World,1890,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.52
World,1891,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.129999
World,1892,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.049999
World,1893,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.860001
World,1894,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.219999
World,1895,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.24
World,1896,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.0
World,1897,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.459999
World,1898,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.459999
World,1899,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,25.0
World,1900,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.360001
World,1901,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.459999
World,1902,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.620001
World,1903,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.68
World,1904,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,24.99
World,1905,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,26.290001
World,1906,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,27.66
World,1907,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,27.559999
World,1908,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,26.530001
World,1909,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,27.24
World,1910,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,27.459999
World,1911,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,28.629999
World,1912,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,29.629999
World,1913,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,29.01
World,1914,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,17.959999
World,1915,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,18.799999
World,1916,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.809999
World,1917,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,25.950001
World,1918,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,23.459999
World,1919,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,22.42
World,1920,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,21.66
World,1921,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,15.12
World,1922,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,16.709999
World,1923,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,18.02
World,1924,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,18.48
World,1925,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,19.360001
World,1926,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,18.379999
World,1927,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,18.93
World,1928,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,19.15
World,1929,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,18.75
World,1930,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,15.97
World,1931,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,13.77
World,1932,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,10.34
World,1933,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,10.72
World,1934,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,13.48
World,1935,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,13.11
World,1936,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,13.53
World,1937,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,15.39
World,1938,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,12.96
World,1939,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,12.97
World,1940,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,13.89
World,1941,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,12.68
World,1942,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,11.76
World,1943,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,12.55
World,1944,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,11.94
World,1945,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,10.14
World,1946,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,15.05
World,1947,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,19.82
World,1948,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,17.139999
World,1949,World trade based on own estimates (% of GDP) (Klasing and Milionis (2014)) ,16.35
