country,FIFA_rank_2021,HDI_2021,Population_2021
Spain,1983.13,0.905,47326687
Sri Lanka,968.0,0.782,22156000
St. Kitts and Nevis,1090.74,0.777,53546
St. Lucia,982.0,0.715,184401
St. Vincent and the Grenadines,950.85,0.751,111269
Suriname,1089.15,0.73,591798
Sweden,2050.18,0.947,10415811
Switzerland,1775.36,0.962,8697723
Turkiye,1374.84,0.838,85042736
Tajikistan,1033.87,0.685,9749625
Tanzania,965.82,0.549,61498438
Thailand,1555.0,0.8,69950844
Timor-Leste,973.91,0.607,1343875
Togo,1138.33,0.539,8478242
Tonga,1221.48,0.745,106759
Trinidad and Tobago,1318.11,0.81,1403374
Tunisia,1298.6,0.731,11935764
Turkmenistan,1075.41,0.745,6117933
Uganda,924.09,0.525,47123533
Ukraine,1643.46,0.773,43814581
United Arab Emirates,1181.72,0.911,9991083
Uruguay,1374.14,0.809,3485152
USA,2111.47,0.921,331893745
Uzbekistan,1523.83,0.727,34915100
Vanuatu,1132.82,0.607,314464
Venezuela,1494.4,0.691,28704947
Vietnam,1643.66,0.703,98168829
Zambia,1280.19,0.565,18920657
Zimbabwe,1115.59,0.593,15092171
