Player,Pos,Comp,Progressive Passes,Expected Assists,Progressive Carries
Ben Davies,Defender,eng Premier League,4.1489361702127665,0.02127659574468085,6.134751773049645
Craig Dawson,Defender,eng Premier League,1.4705882352941175,0.016339869281045753,1.5686274509803921
Kevin De Bruyne,Midfielder,eng Premier League,6.408163265306122,0.3877551020408163,8.36734693877551
Leander Dendoncker,Midfielder,eng Premier League,1.7050691244239633,0.04608294930875576,1.2903225806451613
Emmanuel Dennis,Winger,eng Premier League,2.0905923344947737,0.11149825783972127,4.878048780487805
Kiernan Dewsbury-Hall,Midfielder,eng Premier League,4.188034188034188,0.12820512820512822,6.153846153846154
Ruben Dias,Defender,eng Premier League,3.9700374531835205,0.0898876404494382,8.951310861423222
Eric Dier,Defender,eng Premier League,2.727272727272727,0.04105571847507331,3.1378299120234603
Gabriel Dos Santos,Defender,eng Premier League,2.4411764705882355,0.023529411764705882,4.235294117647059
Abdoulaye Doucoure,Midfielder,eng Premier League,3.226950354609929,0.07801418439716312,3.120567375886525
Lewis Dunk,Defender,eng Premier League,1.8881118881118881,0.006993006993006993,1.4335664335664335
Odsonne Edouard,Forward,eng Premier League,2.0689655172413794,0.13218390804597702,4.080459770114943
Mohamed Elyounoussi,Winger,eng Premier League,2.158590308370044,0.11013215859030838,4.933920704845815
Emerson,Defender,eng Premier League,3.188976377952756,0.08267716535433071,4.960629921259843
Fabinho,Midfielder,eng Premier League,4.163424124513619,0.054474708171206226,4.124513618677043
Kiko Femenia,Defender,eng Premier League,3.3193277310924367,0.13445378151260504,3.3193277310924367
Bruno Fernandes,Midfielder,eng Premier League,5.664739884393064,0.24277456647398843,6.069364161849711
Junior Firpo,Defender,eng Premier League,3.8947368421052633,0.1368421052631579,5.105263157894737
Phil Foden,Forward,eng Premier League,3.2203389830508473,0.2796610169491525,5.5508474576271185
Pablo Fornals,Winger,eng Premier League,5.209003215434083,0.180064308681672,4.95176848874598
Adam Forshaw,Midfielder,eng Premier League,3.588235294117647,0.06470588235294118,2.764705882352941
Fred,Midfielder,eng Premier League,4.8,0.08888888888888889,3.2888888888888888
Conor Gallagher,Midfielder,eng Premier League,1.9620253164556962,0.11075949367088607,3.3227848101265822
Ben Gibson,Defender,eng Premier League,2.815884476534296,0.0,2.2382671480144407
Billy Gilmour,Midfielder,eng Premier League,4.514563106796116,0.0970873786407767,3.8834951456310676
Ben Godfrey,Defender,eng Premier League,1.7333333333333334,0.03111111111111111,1.9111111111111112
Anthony Gordon,Winger,eng Premier League,2.1653543307086616,0.12992125984251968,5.433070866141732
Demarai Gray,Winger,eng Premier League,1.7307692307692308,0.16538461538461538,6.6923076923076925
Jack Grealish,Forward,eng Premier League,3.8497652582159625,0.29577464788732394,13.474178403755868
Pascal Gross,Midfielder,eng Premier League,4.557522123893805,0.23451327433628316,4.424778761061947
Marc Guehi,Defender,eng Premier League,2.7653631284916202,0.013966480446927375,2.7653631284916202
Ilkay Gundogan,Midfielder,eng Premier League,4.077669902912621,0.20388349514563106,6.407766990291262
Grant Hanley,Defender,eng Premier League,0.9006211180124223,0.009316770186335402,0.7142857142857142
Jack Harrison,Winger,eng Premier League,3.6177474402730376,0.08873720136518772,6.996587030716723
Kai Havertz,Winger,eng Premier League,2.288557213930348,0.09950248756218905,5.621890547263681
Hwang Hee-chan,Winger,eng Premier League,2.0297029702970297,0.08415841584158416,5.198019801980198
Jordan Henderson,Midfielder,eng Premier League,6.0899653979238755,0.1314878892733564,4.498269896193772
Rico Henry,Defender,eng Premier League,2.5324675324675323,0.05519480519480519,3.5064935064935066
Son Heung-min,Winger,eng Premier League,2.2754491017964074,0.24251497005988024,5.538922155688623
Mason Holgate,Defender,eng Premier League,1.6033755274261603,0.0042194092827004225,0.8860759493670887
Pierre Hojbjerg,Midfielder,eng Premier League,5.71830985915493,0.07042253521126761,4.056338028169014
Danny Ings,Forward,eng Premier League,1.2796208530805686,0.0947867298578199,1.990521327014218
Alex Iwobi,Wingback,eng Premier League,3.495575221238938,0.1238938053097345,4.778761061946902
Daniel James,Winger,eng Premier League,1.8631178707224334,0.09125475285171102,4.638783269961977
Reece James,Defender,eng Premier League,5.797101449275362,0.2753623188405797,7.536231884057972
Vitaly Janelt,Midfielder,eng Premier League,3.764705882352941,0.08627450980392158,2.549019607843137
Pontus Jansson,Defender,eng Premier League,1.4363143631436315,0.013550135501355014,0.9214092140921409
Mathias Jensen,Midfielder,eng Premier League,3.8764044943820224,0.20224719101123595,3.7640449438202244
Gabriel Jesus,Forward,eng Premier League,2.535885167464115,0.2583732057416268,7.033492822966507
Raul Jimenez,Forward,eng Premier League,1.7123287671232876,0.09246575342465754,3.2534246575342465
Joao Pedro,Winger,eng Premier League,3.060109289617486,0.14207650273224043,4.863387978142076
Joelinton,Winger,eng Premier League,2.359154929577465,0.06338028169014084,3.767605633802817
Jorginho,Midfielder,eng Premier League,5.533596837944664,0.11067193675889327,4.703557312252964
Diogo Jota,Forward,eng Premier League,2.6996197718631176,0.2091254752851711,5.247148288973384
Hassane Kamara,Defender,eng Premier League,2.611111111111111,0.022222222222222223,2.7222222222222223
Harry Kane,Forward,eng Premier League,3.2590529247910864,0.25069637883008355,3.816155988857939
N'Golo Kante,Midfielder,eng Premier League,5.939086294416244,0.11675126903553298,7.5126903553299496
Michael Keane,Defender,eng Premier League,2.3548387096774195,0.01935483870967742,1.5483870967741935
Max Kilman,Defender,eng Premier League,3.076923076923077,0.0,3.678929765886288
Joshua King,Forward,eng Premier League,1.2,0.128,3.28
Mateusz Klich,Midfielder,eng Premier League,4.043478260869565,0.09565217391304348,4.478260869565218
Robin Koch,Wingback,eng Premier League,2.1142857142857143,0.02857142857142857,1.1428571428571428
Ezri Konsa,Defender,eng Premier League,1.2,0.010909090909090908,1.0545454545454545
Cheikhou Kouyate,Midfielder,eng Premier League,1.9634703196347034,0.0319634703196347,1.0502283105022832
Mateo Kovacic,Midfielder,eng Premier League,6.53179190751445,0.20809248554913296,7.283236994219653
Emil Krafth,Defender,eng Premier League,2.9120879120879124,0.04395604395604396,3.021978021978022
Juraj Kucka,Midfielder,eng Premier League,2.676056338028169,0.04225352112676056,3.004694835680751
Alexandre Lacazette,Winger,eng Premier League,1.8686868686868687,0.09595959595959595,2.323232323232323
Adam Lallana,Midfielder,eng Premier League,3.4104046242774566,0.040462427745664734,3.9884393063583814
Tariq Lamptey,Wingback,eng Premier League,2.485549132947977,0.12716763005780346,9.30635838150289
Manuel Lanzini,Winger,eng Premier League,4.343434343434343,0.11111111111111112,6.0606060606060606
Aymeric Laporte,Defender,eng Premier League,6.305732484076433,0.01592356687898089,11.210191082802549
Jamaal Lascelles,Defender,eng Premier League,0.9606986899563319,0.013100436681222708,0.4366812227074236
Pierre Lees-Melou,Midfielder,eng Premier League,3.928571428571429,0.07142857142857144,2.9761904761904763
Aaron Lennon,Midfielder,eng Premier League,0.9883720930232559,0.029069767441860465,3.255813953488372
Victor Lindelof,Defender,eng Premier League,2.2519083969465647,0.019083969465648856,2.786259541984733
Valentino Livramento,Defender,eng Premier League,3.2653061224489797,0.09387755102040815,5.224489795918367
Diego Llorente,Defender,eng Premier League,2.6923076923076925,0.0038461538461538464,2.1538461538461537
Matthew Lowton,Defender,eng Premier League,4.060913705583756,0.06598984771573604,2.9441624365482233
Douglas Luiz,Midfielder,eng Premier League,3.3443708609271523,0.08278145695364239,3.1456953642384105
Romelu Lukaku,Forward,eng Premier League,0.903954802259887,0.16949152542372883,2.3728813559322033
Alexis Mac Allister,Winger,eng Premier League,4.61864406779661,0.0635593220338983,4.406779661016949
James Maddison,Winger,eng Premier League,3.8095238095238093,0.1758241758241758,5.4945054945054945
Harry Maguire,Defender,eng Premier League,3.0824372759856633,0.007168458781362008,3.9426523297491043
Sadio Mane,Forward,eng Premier League,3.29073482428115,0.1405750798722045,6.357827476038339
Solly March,Wingback,eng Premier League,2.8350515463917527,0.1391752577319588,6.494845360824743
Martinelli,Winger,eng Premier League,1.497584541062802,0.15942028985507245,7.004830917874396
Joel Matip,Defender,eng Premier League,5.064516129032258,0.03870967741935484,8.870967741935484
Neal Maupay,Forward,eng Premier League,1.383399209486166,0.08695652173913045,2.766798418972332
Bryan Mbeumo,Forward,eng Premier League,1.51702786377709,0.11145510835913314,3.8699690402476783
John McGinn,Midfielder,eng Premier League,4.839650145772596,0.14285714285714288,3.644314868804665
Kenny McLean,Midfielder,eng Premier League,2.7574750830564785,0.02325581395348837,2.6578073089700998
Dwight McNeil,Winger,eng Premier League,2.0579710144927534,0.1391304347826087,5.768115942028985
Scott McTominay,Midfielder,eng Premier League,3.7358490566037736,0.06792452830188679,4.90566037735849
Ben Mee,Defender,eng Premier League,2.3039215686274512,0.004901960784313726,0.9313725490196079
Tyrone Mings,Defender,eng Premier League,2.1186440677966103,0.04237288135593221,1.8926553672316384
Tyrick Mitchell,Defender,eng Premier League,3.8550724637681157,0.03768115942028986,2.7246376811594204
Jakub Moder,Winger,eng Premier League,3.544973544973545,0.08994708994708996,4.656084656084657
Mason Mount,Winger,eng Premier League,4.638783269961977,0.25475285171102663,6.844106463878327
Lucas Moura,Winger,eng Premier League,4.162436548223351,0.22335025380710663,7.309644670050762
Joao Moutinho,Midfielder,eng Premier League,4.181818181818182,0.07272727272727272,4.303030303030303
Wilfred Ndidi,Midfielder,eng Premier League,2.888888888888889,0.0,2.2777777777777777
Ruben Neves,Midfielder,eng Premier League,4.9324324324324325,0.07432432432432433,3.8175675675675675
Mathias Normann,Midfielder,eng Premier League,3.66120218579235,0.09836065573770492,3.0054644808743167
Christian Norgaard,Midfielder,eng Premier League,4.8082595870206495,0.09144542772861358,2.359882005899705
Thomas Partey,Midfielder,eng Premier League,5.155555555555556,0.05777777777777778,3.8222222222222224
Romain Perraud,Defender,eng Premier League,2.4444444444444446,0.03333333333333333,3.5
Kalvin Phillips,Midfielder,eng Premier League,4.124293785310734,0.01129943502824859,1.5254237288135595
Ethan Pinnock,Defender,eng Premier League,1.939799331103679,0.04013377926421405,1.3043478260869565
Teemu Pukki,Forward,eng Premier League,0.6648199445983379,0.07756232686980609,2.2437673130193905
Jacob Ramsey,Midfielder,eng Premier League,3.394160583941606,0.07299270072992702,6.021897810218978
Raphinha,Winger,eng Premier League,5.21604938271605,0.20987654320987656,5.648148148148149
Milot Rashica,Winger,eng Premier League,1.6532258064516128,0.10483870967741936,4.838709677419355
Nathan Redmond,Winger,eng Premier League,3.823529411764706,0.2107843137254902,5.735294117647059
Sergio Reguilon,Defender,eng Premier League,2.44131455399061,0.18779342723004694,4.60093896713615
Declan Rice,Midfielder,eng Premier League,4.220963172804533,0.056657223796034,7.110481586402267
Richarlison,Winger,eng Premier League,1.2142857142857142,0.08571428571428572,3.4285714285714284
Connor Roberts,Defender,eng Premier League,3.351063829787234,0.05851063829787234,3.6170212765957444
Andrew Robertson,Defender,eng Premier League,7.021276595744681,0.1843971631205674,7.269503546099291
Rodri,Midfielder,eng Premier League,5.59375,0.04375,6.40625
Rodrigo,Winger,eng Premier League,3.015873015873016,0.18253968253968253,3.8095238095238098
Rodrigo,Winger,eng Premier League,2.142857142857143,0.0634920634920635,3.8095238095238098
Cristian Romero,Defender,eng Premier League,2.5365853658536586,0.024390243902439025,3.8536585365853657
Oriol Romeu,Midfielder,eng Premier League,3.894080996884735,0.08722741433021806,4.485981308411215
Cristiano Ronaldo,Forward,eng Premier League,1.794871794871795,0.11355311355311355,5.164835164835165
Antonio Rudiger,Defender,eng Premier League,4.777448071216617,0.032640949554896145,5.548961424332344
Allan Saint-Maximin,Winger,eng Premier League,1.794871794871795,0.1858974358974359,7.884615384615385
Romain Saiss,Defender,eng Premier League,3.9867109634551494,0.013289036544850499,2.4252491694352156
Bukayo Saka,Winger,eng Premier League,2.205438066465257,0.2084592145015106,7.915407854984894
Mohamed Salah,Forward,eng Premier League,4.006514657980456,0.3387622149837134,6.938110749185668
Mohammed Salisu,Defender,eng Premier League,3.5757575757575757,0.015151515151515152,3.3636363636363638
Davinson Sanchez,Defender,eng Premier League,2.87292817679558,0.022099447513812154,5.69060773480663
Jadon Sancho,Winger,eng Premier League,3.4123222748815163,0.1990521327014218,9.95260663507109
Samir Santos,Defender,eng Premier League,1.3978494623655913,0.005376344086021505,0.8602150537634408
Josh Sargent,Winger,eng Premier League,1.1428571428571428,0.04,2.2285714285714286
Ismaila Sarr,Winger,eng Premier League,2.1739130434782608,0.12077294685990339,6.086956521739131
Fabian Schar,Defender,eng Premier League,1.8333333333333333,0.024999999999999998,2.125
Jeffrey Schlupp,Winger,eng Premier League,2.378640776699029,0.08737864077669903,3.1553398058252426
Nelson Semedo,Defender,eng Premier League,3.037974683544304,0.05063291139240506,6.329113924050633
Luke Shaw,Defender,eng Premier League,4.382022471910112,0.1797752808988764,5.393258426966292
Jonjo Shelvey,Midfielder,eng Premier League,3.1818181818181817,0.03636363636363637,1.4545454545454546
Bernardo Silva,Winger,eng Premier League,2.77602523659306,0.1640378548895899,10.757097791798108
Thiago Silva,Defender,eng Premier League,4.557823129251701,0.006802721088435375,6.9727891156462585
Moussa Sissoko,Midfielder,eng Premier League,3.128491620111732,0.0782122905027933,2.374301675977654
Emile Smith Rowe,Winger,eng Premier League,2.676056338028169,0.10328638497652583,6.103286384976526
Tomas Soucek,Midfielder,eng Premier League,2.9411764705882355,0.04411764705882353,2.235294117647059
Caglar Soyuncu,Defender,eng Premier League,1.9133574007220218,0.0036101083032490976,2.0577617328519855
Raheem Sterling,Forward,eng Premier League,3.1779661016949152,0.19491525423728812,7.966101694915253
Pascal Struijk,Defender,eng Premier League,3.1578947368421053,0.013157894736842105,1.4912280701754386
James Tarkowski,Defender,eng Premier League,2.6666666666666665,0.017391304347826087,0.6666666666666666
Charlie Taylor,Defender,eng Premier League,2.607260726072607,0.11551155115511551,3.8943894389438944
Alex Telles,Defender,eng Premier League,3.2608695652173916,0.10869565217391305,4.4021739130434785
Luke Thomas,Defender,eng Premier League,3.4433962264150946,0.07547169811320756,2.8773584905660377
Youri Tielemans,Midfielder,eng Premier League,5.616438356164384,0.1678082191780822,3.8013698630136985
Kieran Tierney,Defender,eng Premier League,3.568075117370892,0.0892018779342723,5.211267605633803
Takehiro Tomiyasu,Defender,eng Premier League,2.9411764705882355,0.03208556149732621,3.9037433155080214
Ivan Toney,Forward,eng Premier League,2.3839009287925697,0.17956656346749228,1.6718266253869971
Leandro Trossard,Winger,eng Premier League,3.91025641025641,0.13141025641025642,6.185897435897436
Virgil van Dijk,Defender,eng Premier League,3.0588235294117645,0.011764705882352941,2.911764705882353
Raphael Varane,Defender,eng Premier League,2.019704433497537,0.009852216748768473,3.0049261083743843
Jamie Vardy,Forward,eng Premier League,1.3432835820895521,0.07960199004975124,2.4378109452736316
Joel Veltman,Defender,eng Premier League,3.6050156739811916,0.03448275862068966,2.5391849529780566
Kyle Walker,Defender,eng Premier League,4.410256410256411,0.061538461538461535,4.666666666666667
Kyle Walker-Peters,Defender,eng Premier League,4.2320819112627985,0.09897610921501707,7.8839590443686
Aaron Wan-Bissaka,Defender,eng Premier League,2.663316582914573,0.04522613065326633,4.723618090452262
Joel Ward,Defender,eng Premier League,3.079710144927536,0.021739130434782608,3.043478260869565
James Ward-Prowse,Midfielder,eng Premier League,3.7815126050420167,0.17366946778711484,2.773109243697479
Ollie Watkins,Forward,eng Premier League,1.4634146341463417,0.08841463414634147,3.3841463414634148
Ashley Westwood,Midfielder,eng Premier League,4.212598425196851,0.14173228346456693,1.4566929133858268
Ben White,Defender,eng Premier League,2.8125,0.01875,3.125
Brandon Williams,Defender,eng Premier League,3.4745762711864403,0.05508474576271186,3.7288135593220337
Joe Willock,Midfielder,eng Premier League,1.6371681415929202,0.053097345132743355,3.7610619469026547
Granit Xhaka,Midfielder,eng Premier League,5.598455598455598,0.0888030888030888,4.285714285714286
Wilfried Zaha,Forward,eng Premier League,3.778501628664495,0.1563517915309446,7.45928338762215
Kurt Zouma,Defender,eng Premier League,1.3419913419913418,0.0,1.4285714285714284
Martin Odegaard,Midfielder,eng Premier League,5.11326860841424,0.22006472491909385,6.5048543689320395
