Country,Happiness score,Country_temp,ISO3,GDP per capita (PPP),Life Ladder,Social support,Perceptions of corruption,Population,Median Age,Total Fertility Rate,Life Expectancy,Infant Mortality,Child Mortality,Net Migration Rate,Continent,UN Region
Kosovo,6.455,Kosovo,XKX,13055.90078,6.6485,0.8488,0.8424,1662009.0,30.536,1.52,76.8,6.2,7.0,-9.0,Europe,Southern Europe
Malta,6.447,Malta,MLT,48581.45094,6.4437,0.8971,0.7525,526748.0,39.012,1.18,83.8,3.7,4.0,20.0,Europe,Southern Europe
Lithuania,6.446,Lithuania,LTU,42581.26696,6.8646,0.9282,0.8778,2786651.0,43.694,1.622,73.72,2.999,3.396,-4.245,Europe,Northern Europe
Slovakia,6.391,Slovakia,SVK,33010.29075,6.4185,0.9512,0.8955,5447622.0,40.572,1.566,74.91,4.756,5.806,0.321,Europe,Eastern Europe
Estonia,6.341,Estonia,EST,42138.32058,6.5539,0.9459,0.4414,1328701.0,41.474,1.676,77.144,1.441,1.873,2.257,Europe,Northern Europe
Panama,6.309,Panama,PAN,31900.94175,6.5528,0.8986,0.8611,4351267.0,28.829,2.33,76.2,13.0,17.0,1.3,America,Central America
Brazil,6.293,Brazil,BRA,16031.08617,6.01,0.8143,0.7386,214326223.0,32.817,1.64,72.8,12.8,14.0,0.1,America,South America
Guatemala*,6.262,Guatemala,GTM,9806.82822,,,,17608483.0,22.074,2.4,69.2,19.0,23.0,-1.7,America,Central America
Kazakhstan,6.234,Kazakhstan,KAZ,28684.89806,6.2596,0.9061,0.7825,19196465.0,29.534,3.084,69.362,8.859,9.908,-0.985,Asia,Central Asia
Cyprus,6.221,Cyprus,CYP,44109.67188,6.2692,0.8554,0.8765,1244188.0,37.587,1.321,81.203,2.303,2.711,1.605,Asia,Western Asia
North Cyprus*,5.467,North Cyprus,CYP,44109.67188,6.2692,0.8554,0.8765,1244188.0,37.587,1.321,81.203,2.303,2.711,1.605,Asia,Western Asia
Latvia,6.18,Latvia,LVA,34444.31209,6.3531,0.9541,0.8395,1873919.0,43.59,1.583,73.579,3.147,3.97,-3.63,Europe,Northern Europe
Serbia,6.178,Serbia,SRB,21503.35809,6.2453,0.8901,0.8062,7296769.0,42.899,1.53,74.2,4.4,6.0,0.0,Europe,Southern Europe
Chile,6.172,Chile,CHL,28684.78027,6.4356,0.8915,0.8586,19493184.0,34.855,1.54,78.9,4.7,6.0,5.9,America,South America
Nicaragua,6.165,Nicaragua,NIC,6194.70035,6.0953,0.8483,0.6747,6850540.0,24.54,2.32,73.8,13.1,15.0,-1.5,America,Central America
Mexico,6.128,Mexico,MEX,20277.17677,5.9908,0.7786,0.7452,126705138.0,29.01,1.82,70.2,11.3,14.0,-0.4,America,Central America
Croatia,6.125,Croatia,HRV,34314.01846,6.2868,0.9177,0.9337,4060135.0,43.73,1.452,77.58,3.877,4.996,-2.559,Europe,Southern Europe
Poland,6.123,Poland,POL,37836.76295,5.9781,0.9355,0.7439,38307726.0,40.871,1.459,76.457,3.476,4.029,-0.077,Europe,Eastern Europe
El Salvador,6.12,El Salvador,SLV,9981.88602,6.4314,0.7961,0.6633,6314167.0,26.269,1.8,70.7,10.7,13.0,-4.3,America,Central America
Kuwait*,6.106,Kuwait,KWT,,,,,4250114.0,38.344,2.11,78.673,7.608,9.077,-8.636,Asia,Western Asia
Hungary,6.086,Hungary,HUN,36752.4965,6.2266,0.9479,0.8316,9709786.0,42.738,1.578,74.53,3.399,4.102,2.049,Europe,Eastern Europe
Mauritius,6.071,Mauritius,MUS,23035.283,5.9491,0.8865,0.7835,1298915.0,36.814,1.41,73.555,14.372,16.975,-0.368,Africa,Eastern Africa
Uzbekistan,6.063,Uzbekistan,UZB,8497.448308,6.1853,0.8955,0.6616,34081449.0,26.591,2.857,70.862,11.728,13.162,-1.15,Asia,Central Asia
Japan,6.039,Japan,JPN,42940.40525,6.0913,0.8957,0.6695,124612530.0,48.361,1.297,84.784,1.754,2.419,0.703,Asia,Eastern Asia
Honduras,6.022,Honduras,HND,6121.565844,6.1136,0.806,0.8472,10278345.0,23.432,2.36,70.1,13.4,16.0,-0.6,America,Central America
Portugal,6.016,Portugal,PRT,35798.75385,6.183,0.8949,0.8722,10290103.0,44.997,1.36,81.0,2.7,3.0,2.7,Europe,Southern Europe
Argentina,5.967,Argentina,ARG,23649.6703,5.9083,0.8823,0.8163,45276780.0,31.302,1.89,75.4,9.3,11.0,0.1,America,South America
Greece,5.948,Greece,GRC,31363.80736,6.1042,0.8503,0.7518,10445365.0,44.74,1.371,80.111,3.467,3.99,-1.417,Europe,Southern Europe
South Korea,5.935,South Korea,KOR,47242.52723,6.1127,0.8107,0.6851,51830139.0,43.35,0.88,83.698,2.374,2.921,0.839,Asia,Eastern Asia
Philippines,5.904,Philippines,PHL,8892.789346,5.9651,0.7782,0.7212,113880328.0,24.501,2.748,69.266,21.478,25.39,-0.703,Asia,South-eastern Asia
Thailand,5.891,Thailand,THA,18760.75522,5.6381,0.8828,0.9431,71601103.0,39.271,1.331,78.715,7.079,8.319,0.016,Asia,South-eastern Asia
Moldova,5.857,Moldova,MDA,15390.46583,5.959,0.8796,0.8751,3061506.0,36.058,1.806,68.846,12.172,14.253,-4.653,Europe,Eastern Europe
Jamaica,5.85,Jamaica,JAM,10542.73779,5.8137,0.8574,0.8827,2827695.0,30.816,1.35,70.5,11.2,13.0,-2.0,America,Caribbean
Kyrgyzstan,5.828,Kyrgyzstan,KGZ,5289.687125,5.5637,0.9043,0.9025,6527743.0,23.738,2.991,69.977,14.99,16.877,-2.526,Asia,Central Asia
Belarus*,5.821,Belarus,BLR,21698.57409,,,,9578167.0,40.17,1.483,72.438,1.972,2.718,1.354,Europe,Eastern Europe
Colombia,5.781,Colombia,COL,16819.17629,5.29,0.7928,0.8313,51516562.0,30.773,1.72,72.8,10.9,13.0,4.1,America,South America
Bosnia and Herzegovina,5.768,Bosnia and Herzegovina,BIH,17376.60824,5.7488,0.86,0.9209,3270943.0,41.823,1.35,75.3,4.877,5.581,-7.878,Europe,Southern Europe
Mongolia,5.761,Mongolia,MNG,12818.87945,5.721,0.9271,0.8507,3347782.0,26.793,2.837,70.975,12.499,14.806,0.0,Asia,Eastern Asia
Dominican Republic,5.737,Dominican Republic,DOM,20462.51713,6.0305,0.8571,0.6774,11117873.0,27.105,2.27,72.6,26.8,33.0,-1.3,America,Caribbean
Malaysia,5.711,Malaysia,MYS,28929.4742,,,,33573874.0,29.902,1.803,74.884,7.333,8.605,1.376,Asia,South-eastern Asia
Bolivia,5.6,Bolivia,BOL,8846.081965,5.5686,0.7978,0.8122,12079472.0,23.938,2.62,63.6,26.7,36.0,-0.4,America,South America
China,5.585,China,CHN,19338.23408,5.8629,0.856,,1425893465.0,37.948,1.164,78.211,5.654,6.858,-0.14,Asia,Eastern Asia
Paraguay,5.578,Paraguay,PRY,15037.18964,5.5755,0.9075,0.8567,6703799.0,25.635,2.47,70.3,15.5,18.0,-1.2,America,South America
Peru,5.559,Peru,PER,13748.53362,5.6943,0.8185,0.8799,33715471.0,28.196,2.19,72.4,10.0,12.0,2.0,America,South America
Montenegro,5.547,Montenegro,MNE,23284.56728,,,,627859.0,38.188,1.69,76.3,0.8,1.0,-0.2,Europe,Southern Europe
Ecuador,5.533,Ecuador,ECU,11720.64464,5.4349,0.7855,0.7745,17797737.0,27.553,2.03,73.7,10.6,12.0,2.0,America,South America
Vietnam,5.485,Vietnam,VNM,11676.10856,5.5402,0.7995,0.7978,97468029.0,32.019,1.944,73.618,16.319,20.831,-0.01,Asia,South-eastern Asia
Turkmenistan*,5.474,Turkmenistan,TKM,,,,,6341855.0,25.839,2.667,69.264,35.094,41.029,-0.71,Asia,Central Asia
Russia,5.459,Russia,RUS,32862.62109,5.4483,0.8617,0.8078,145102755.0,38.811,1.493,69.419,3.865,4.89,2.212,Europe,Eastern Europe
Hong Kong S.A.R. of China,5.425,Hong Kong S.A.R. of China,HKG,65891.69471,5.3216,0.8211,0.3896,7494578.0,44.864,0.745,85.473,1.206,1.923,0.0,Asia,Eastern Asia
Armenia,5.399,Armenia,ARM,15592.48736,5.3006,0.762,0.7053,2790974.0,34.405,1.575,72.043,9.351,10.439,-4.585,Asia,Western Asia
Tajikistan,5.377,Tajikistan,TJK,4288.16789,5.2868,0.8829,0.4989,9750064.0,21.468,3.186,71.594,27.092,31.316,-0.365,Asia,Central Asia
Nepal,5.377,Nepal,NPL,4209.759393,4.6223,0.6986,0.7699,30034989.0,23.654,2.029,68.45,22.84,27.375,9.922,Asia,Southern Asia
Bulgaria,5.371,Bulgaria,BGR,27926.10922,5.4217,0.8836,0.8912,6885868.0,44.532,1.586,71.798,5.133,6.171,-1.265,Europe,Eastern Europe
Libya*,5.33,Libya,LBY,24130.82983,,,,6735277.0,26.273,2.462,71.911,9.303,11.078,-0.103,Africa,Northern Africa
Indonesia,5.24,Indonesia,IDN,13027.30061,5.4332,0.8169,0.8451,273753191.0,29.444,2.175,67.57,18.56,22.319,-0.055,Asia,South-eastern Asia
Ivory Coast,5.235,Ivory Coast,CIV,5850.051925,5.0558,0.5542,0.7159,27478249.0,17.599,4.418,58.598,56.921,75.674,-0.764,Africa,Western Africa
North Macedonia,5.199,North Macedonia,MKD,18222.2861,5.5347,0.8089,0.8843,2103330.0,38.265,1.36,73.8,5.0,7.0,-0.2,Europe,Southern Europe
Albania,5.199,Albania,ALB,15709.25126,5.2555,0.7019,0.8961,2854710.0,37.273,1.39,76.463,8.941,9.985,-3.71,Europe,Southern Europe
South Africa,5.194,South Africa,ZAF,14624.41517,5.5987,0.9222,0.8916,59392255.0,27.146,2.374,62.341,26.658,35.068,0.184,Africa,Southern Africa
Azerbaijan*,5.173,Azerbaijan,AZE,15854.55084,,,,10312992.0,31.438,1.664,69.366,16.457,18.613,0.105,Asia,Western Asia
Gambia*,5.164,Gambia,GMB,2281.305526,,,,2639916.0,16.813,4.684,62.083,30.523,47.81,-0.742,Africa,Western Africa
Bangladesh,5.155,Bangladesh,BGD,6493.809393,,,,169356251.0,26.28,1.981,72.381,22.911,27.699,-1.03,Asia,Southern Asia
Laos,5.14,Laos,LAO,8620.647618,4.9265,0.6499,0.668,7425057.0,23.779,2.496,68.061,34.378,42.594,-1.387,Asia,South-eastern Asia
Algeria,5.122,Algeria,DZA,12128.27499,5.217,0.8407,0.7119,44177969.0,27.801,2.889,76.377,18.701,22.107,-0.425,Africa,Northern Africa
Liberia*,5.122,Liberia,LBR,1563.552927,,,,5193416.0,17.945,4.089,60.747,57.992,75.486,-2.281,Africa,Western Africa
Ukraine,5.084,Ukraine,UKR,14219.79004,5.3114,0.8793,0.9224,43531422.0,40.764,1.251,71.624,5.546,6.51,0.019,Europe,Eastern Europe
Congo,5.075,Congo,COG,3553.287985,4.9205,0.5677,0.7327,5835806.0,18.162,4.171,63.519,31.659,43.193,-0.765,Africa,Middle Africa
Morocco,5.06,Morocco,MAR,8852.914063,5.3262,0.5046,0.8174,37076584.0,28.673,2.328,74.042,15.404,17.919,-1.246,Africa,Northern Africa
Mozambique,5.048,Mozambique,MOZ,1347.720024,5.1785,0.664,0.6275,32077072.0,16.814,4.644,59.325,52.013,68.414,-0.297,Africa,Eastern Africa
Cameroon,5.048,Cameroon,CMR,4065.31161,4.9627,0.6949,0.8487,27198628.0,17.462,4.463,60.333,48.459,69.737,-0.363,Africa,Middle Africa
Senegal,5.046,Senegal,SEN,3840.032959,4.9028,0.6452,0.8213,16876720.0,17.773,4.387,67.093,24.355,36.707,-0.598,Africa,Western Africa
Niger*,5.003,Niger,NER,1303.567363,,,,25252722.0,14.462,6.82,61.576,42.159,75.385,-0.174,Africa,Western Africa
Georgia,4.973,Georgia,GEO,17013.56632,4.9113,0.6707,0.7234,3757980.0,36.37,2.081,71.694,8.064,9.009,-0.727,Asia,Western Asia
Gabon,4.958,Gabon,GAB,15175.68734,5.0754,0.7539,0.7659,2341179.0,21.615,3.491,65.821,29.212,39.41,0.648,Africa,Middle Africa
Iraq,4.941,Iraq,IRQ,9846.0415,5.0937,0.7302,0.9006,43533592.0,19.792,3.496,70.378,20.34,24.621,-1.379,Asia,Western Asia
Venezuela,4.925,Venezuela,VEN,,5.1076,0.8124,0.8239,28199867.0,28.062,2.21,70.6,15.7,19.0,-18.5,America,South America
Guinea,4.891,Guinea,GIN,2900.668958,4.9445,0.6272,0.7835,13531906.0,17.713,4.399,58.892,64.38,93.047,-0.323,Africa,Western Africa
Iran,4.888,Iran,IRN,16484.07536,4.7878,0.7715,0.7612,87923432.0,31.922,1.692,73.875,10.683,12.637,0.319,Asia,Southern Asia
Ghana,4.872,Ghana,GHA,5971.125009,4.378,0.6327,0.8878,32833031.000000004,20.367,3.563,63.795,32.104,43.26,-0.343,Africa,Western Africa
Turkey,4.744,Turkey,TUR,30737.0175,4.3666,0.7362,0.8102,84775404.0,30.926,1.889,76.032,7.657,8.99,-0.822,Asia,Western Asia
Burkina Faso,4.67,Burkina Faso,BFA,2394.705365,4.6355,0.6575,0.7362,22100683.0,16.591,4.772,59.27,49.467,82.771,-0.592,Africa,Western Africa
Cambodia,4.64,Cambodia,KHM,4783.903614,4.5551,0.7128,0.8444,16589023.000000002,26.515,2.344,69.584,20.846,24.749,-1.462,Asia,South-eastern Asia
Benin,4.623,Benin,BEN,3649.04065,4.4934,0.4355,0.6125,12996895.0,17.461,4.973,59.821,54.972,83.379,0.133,Africa,Western Africa
Comoros*,4.609,Comoros,COM,3546.843502,,,,821625.0,20.061,3.978,63.417,45.613,58.515,-2.154,Africa,Eastern Africa
Uganda,4.603,Uganda,UGA,2467.899337,4.2245,0.7933,0.835,45853778.0,15.935,4.585,62.705,30.399,41.62,0.948,Africa,Eastern Africa
Nigeria,4.552,Nigeria,NGA,5407.979457,4.4793,0.7416,0.9119,213401323.0,17.02,5.237,52.676,73.037,111.235,-0.358,Africa,Western Africa
Kenya,4.543,Kenya,KEN,5211.170533,4.4645,0.7022,0.8413,53005614.0,19.154,3.335,61.427,29.814,41.131,-0.991,Africa,Eastern Africa
Tunisia,4.516,Tunisia,TUN,11282.48463,4.4995,0.7113,0.9327,12262946.0,31.739,2.086,73.772,13.825,16.316,-0.749,Africa,Northern Africa
Pakistan,4.516,Pakistan,PAK,5748.005952,4.4868,0.6084,0.7427,231402117.0,20.167,3.47,66.098,52.3,63.177,-2.035,Asia,Southern Asia
Palestinian Territories*,4.483,Palestinian Territories,PSE,6199.451018,,,,5133392.0,19.209,3.504,73.473,13.848,16.384,-2.406,Asia,Western Asia
Mali,4.479,Mali,MLI,2329.706181,4.1131,0.5734,0.9016,21904983.0,15.08,5.956,58.941,55.405,88.234,-1.014,Africa,Western Africa
Namibia,4.459,Namibia,NAM,10038.73827,4.4912,0.8078,0.829,2530151.0,21.34,3.303,59.269,27.663,38.574,-1.698,Africa,Southern Africa
"Eswatini, Kingdom of*",4.396,"Eswatini, Kingdom of",SWZ,9730.068125,,,,1192271.0,21.477,2.839,57.066,37.637,50.501,-4.099,Africa,Southern Africa
Myanmar,4.394,Myanmar,MMR,4430.222427,4.314,0.7796,0.6711,53798084.0,29.029,2.151,65.672,33.685,42.791,-0.657,Asia,Eastern Asia
Sri Lanka,4.362,Sri Lanka,LKA,14706.54132,4.1034,0.8124,0.8485,21773441.0,32.473,1.99,76.399,5.683,6.704,-4.235,Asia,Southern Asia
Madagascar*,4.339,Madagascar,MDG,1607.935225,,,,28915653.0,18.964,3.851,64.485,35.405,48.748,-0.026,Africa,Eastern Africa
Egypt,4.288,Egypt,EGY,12706.40445,4.0257,0.717,0.5805,109262178.0,23.939,2.917,70.221,15.932,18.851,-0.296,Africa,Northern Africa
Chad*,4.251,Chad,TCD,1566.041161,,,,17179740.0,14.997,6.255,52.525,68.235,106.696,0.525,Africa,Middle Africa
Ethiopia,4.241,Ethiopia,ETH,2547.716814,,,,120283026.0,18.458,4.159,64.975,34.422,47.207,-0.012,Africa,Eastern Africa
Yemen*,4.197,Yemen,YEM,,,,,32981641.000000004,18.671,3.795,63.753,46.804,62.158,-3.072,Asia,Western Asia
Mauritania*,4.153,Mauritania,MRT,5830.817088,,,,4614974.0,17.565,4.398,64.364,45.271,60.952,-0.324,Africa,Western Africa
Jordan,4.152,Jordan,JOR,10132.50388,3.9091,0.7029,0.6555,11148278.0,23.409,2.83,74.256,12.389,14.354,1.29,Asia,Western Asia
Togo,4.112,Togo,TGO,2334.299325,4.0365,0.6034,0.7658,8644829.0,18.652,4.257,61.619,44.231,62.366,-0.115,Africa,Western Africa
India,3.777,India,IND,7241.98423,3.5583,0.5697,0.7568,1407563842.0,27.603,2.031,67.24,25.482,31.186,-0.215,Asia,Southern Asia
Zambia,3.76,Zambia,ZMB,3555.920229,3.0822,0.6191,0.824,19473125.0,16.927,4.308,61.223,40.482,57.186,0.463,Africa,Eastern Africa
Malawi,3.75,Malawi,MWI,1638.152251,3.6353,0.5579,0.7403,19889742.0,16.768,3.917,62.904,27.544,38.197,-0.089,Africa,Eastern Africa
Tanzania,3.702,Tanzania,TZA,2836.242432,3.6806,0.619,0.5464,63588334.0,16.792,4.726,66.201,34.329,45.865,-0.076,Africa,Eastern Africa
Sierra Leone,3.574,Sierra Leone,SLE,1773.899246,3.7143,0.6093,0.8515,8420641.0,18.832,3.978,60.062,72.012,99.503,-0.183,Africa,Western Africa
Lesotho*,3.512,Lesotho,LSO,2521.530663,,,,2281454.0,22.082,3.018,53.062,67.545,87.105,-0.653,Africa,Southern Africa
Botswana*,3.471,Botswana,BWA,16304.15336,,,,2588423.0,23.483,2.791,61.141,33.332,44.497,0.702,Africa,Southern Africa
Rwanda*,3.268,Rwanda,RWA,2459.707347,,,,13461888.0,19.003,3.821,66.072,28.988,38.674,-0.454,Africa,Eastern Africa
Zimbabwe,2.995,Zimbabwe,ZWE,2323.687257,3.1546,0.6852,0.7569,15993524.0,18.054,3.491,59.253,36.76,52.148,-1.562,Africa,Eastern Africa
Lebanon,2.955,Lebanon,LBN,14256.68971,2.1788,0.5068,0.9053,5592631.0,28.271,2.091,75.047,5.788,6.77,-20.377,Asia,Western Asia
Afghanistan,2.404,Afghanistan,AFG,1665.805842,2.436,0.4542,0.9463,40099462.0,16.734,4.643,61.982,44.687,57.932,-4.569,Asia,Southern Asia
