Country Name,GDP per capita (current US$),Net official development assistance and official aid received (current US$),"Population, total"
Tajikistan,852.3336702,751229980.5,9543207
Tanzania,1042.09668,2275040039,61704518
Thailand,6990.935503,197850006.1,71475664
Timor-Leste,1660.30834,249679992.7,1299995
Togo,897.1945754,560880004.9,8442580
Tonga,4606.064552,162889999.4,105254
Trinidad and Tobago,13871.79822,..,1518147
Tunisia,3497.68141,974909973.1,12161723
Turkiye,8561.070948,538140014.6,84135428
Turkmenistan,..,35419998.17,6250438
Turks and Caicos Islands,20882.26127,..,44276
Tuvalu,4973.774561,42919998.17,11069
Uganda,846.7672013,3082590088,44404611
Ukraine,3751.740723,2334560059,44132049
United Arab Emirates,37629.17417,..,9287289
United Kingdom,40318.55757,..,67081000
United States,63530.63348,..,331501080
Uruguay,15619.54266,..,3429086
Uzbekistan,1749.655815,1459239990,34232050
Vanuatu,2877.520173,154000000,311685
"Venezuela, RB",..,310410003.7,28490453
Vietnam,3586.347302,1167709961,96648685
Virgin Islands (U.S.),39552.1686,..,106290
West Bank and Gaza,3233.568638,2029969971,4803269
"Yemen, Rep.",..,2543550049,32284046
Zambia,956.8313639,1015869995,18927715
Zimbabwe,1372.696674,984070007.3,15669666
