Year,Sector,Value,Value_2,Detail
2010,Business,89.3,14.62802796,
2011,Business,83.4,14.76289142,
2012,Business,85.5,14.69604839,
2013,Business,86.2,15.17745809,
2014,Business,84.2,15.95838151,
2015,Business,82.9,16.23801137,
2016,Business,80.5,16.58483445,
2017,Business,80.9,17.05887763,
2018,Business,80.4,17.17744472,
2019,Business,77.9,17.12968594,
1990,Transport,128.1,15.83647379,
1991,Transport,126.3,15.44477534,
1992,Transport,127.6,16.02565173,
1993,Transport,128.9,16.61930916,
1994,Transport,130.2,16.99942223,
1995,Transport,129.7,17.08474168,
1996,Transport,134.0,17.1770106,
1997,Transport,134.9,17.90744859,
1998,Transport,134.1,17.86299254,
1999,Transport,135.1,18.73534575,
2000,Transport,133.3,18.52184826,
2001,Transport,132.8,18.40222112,
2002,Transport,135.3,19.3098982,
2003,Transport,134.4,19.0096127,
2004,Transport,135.4,19.27114097,
2005,Transport,136.0,19.59201045,
2006,Transport,136.0,19.81690965,
2007,Transport,137.5,20.40777603,
2008,Transport,131.4,20.14310088,
2009,Transport,126.4,21.19455126,
2010,Transport,124.5,20.40054826,
2011,Transport,122.4,21.65790298,
2012,Transport,121.4,20.86369137,
2013,Transport,120.0,21.12391162,
2014,Transport,121.3,22.9954355,
2015,Transport,123.5,24.18126915,
2016,Transport,125.9,25.9299928,
2017,Transport,126.1,26.58855176,
2018,Transport,124.4,26.5805034,
2019,Transport,122.2,26.87362483,
1990,Residential,80.1,9.897494116,
1991,Residential,89.0,10.88252328,
1992,Residential,86.2,10.82411845,
1993,Residential,90.4,11.65737464,
1994,Residential,86.2,11.24943937,
1995,Residential,81.7,10.75654901,
1996,Residential,93.2,11.94581776,
1997,Residential,86.2,11.44383151,
1998,Residential,88.5,11.78593846,
1999,Residential,88.7,12.2947318,
2000,Residential,89.0,12.37116114,
2001,Residential,91.6,12.68888667,
2002,Residential,88.0,12.55789007,
2003,Residential,88.7,12.54724579,
2004,Residential,90.4,12.87116033,
2005,Residential,85.9,12.36820829,
2006,Residential,83.3,12.14235462,
2007,Residential,79.7,11.82685938,
2008,Residential,81.6,12.50463316,
2009,Residential,78.3,13.13820999,
2010,Residential,87.8,14.38870798,
2011,Residential,70.4,12.46279333,
2012,Residential,76.9,13.21175491,
2013,Residential,77.7,13.68790852,
2014,Residential,65.1,12.33163008,
2015,Residential,67.6,13.24608228,
2016,Residential,68.9,14.20031229,
2017,Residential,66.6,14.04926283,
2018,Residential,70.2,14.99601756,
2019,Residential,69.2,15.21984824,
1990,Agriculture,53.1,6.558945097,
1991,Agriculture,52.7,6.450776671,
1992,Agriculture,52.3,6.573697133,
1993,Agriculture,51.4,6.631841577,
1994,Agriculture,52.5,6.857774571,
1995,Agriculture,52.4,6.901521898,
1996,Agriculture,53.3,6.836123095,
1997,Agriculture,52.5,6.97030292,
1998,Agriculture,52.5,6.998333773,
1999,Agriculture,52.5,7.285747817,
2000,Agriculture,50.1,6.961773275,
2001,Agriculture,47.9,6.630146248,
2002,Agriculture,47.7,6.799995031,
2003,Agriculture,48.6,6.868576523,
2004,Agriculture,48.5,6.899713697,
2005,Agriculture,48.3,6.956833708,
2006,Agriculture,47.0,6.841876991,
2007,Agriculture,46.3,6.874392983,
2008,Agriculture,45.1,6.90810368,
2009,Agriculture,44.8,7.518145382,
2010,Agriculture,45.2,7.398906362,
2011,Agriculture,45.2,8.009046104,
2012,Agriculture,45.0,7.734122575,
2013,Agriculture,44.6,7.851702266,
2014,Agriculture,46.3,8.774123369,
2015,Agriculture,46.0,9.004559571,
2016,Agriculture,46.0,9.47318537,
2017,Agriculture,46.4,9.785376398,
2018,Agriculture,45.8,9.791869229,
2019,Agriculture,46.3,10.18451036,
1990,Industrial process,59.9,7.402130325,
1991,Industrial process,57.7,7.062010214,
1992,Industrial process,52.3,6.574067586,
1993,Industrial process,48.7,6.272379692,
1994,Industrial process,51.0,6.659565064,
1995,Industrial process,50.9,6.703961439,
1996,Industrial process,51.7,6.625221303,
1997,Industrial process,52.6,6.977691712,
1998,Industrial process,48.4,6.449578344,
1999,Industrial process,29.9,4.151688103,
2000,Industrial process,27.2,3.772441922,
2001,Industrial process,24.6,3.404174818,
2002,Industrial process,21.7,3.089219159,
2003,Industrial process,22.0,3.110652442,
2004,Industrial process,21.2,3.013567223,
2005,Industrial process,20.6,2.974505842,
2006,Industrial process,19.2,2.801583894,
2007,Industrial process,20.6,3.058132805,
2008,Industrial process,18.6,2.855560827,
2009,Industrial process,11.8,1.984275152,
2010,Industrial process,12.7,2.073502071,
2011,Industrial process,11.3,2.002152469,
2012,Industrial process,10.7,1.84721163,
2013,Industrial process,12.9,2.272152162,
2014,Industrial process,12.9,2.450055014,
2015,Industrial process,12.7,2.478510792,
2016,Industrial process,10.6,2.186627719,
2017,Industrial process,11.0,2.322096087,
2018,Industrial process,10.2,2.183461958,
2019,Industrial process,10.4,2.293004762,
1990,Land use,18.0,2.224639377,
1991,Land use,17.3,2.115711917,
1992,Land use,16.2,2.035323148,
1993,Land use,15.5,1.997974416,
1994,Land use,15.0,1.958153942,
1995,Land use,14.7,1.936049465,
1996,Land use,13.7,1.75635243,
1997,Land use,13.0,1.725274939,
1998,Land use,12.2,1.62556833,
1999,Land use,12.5,1.733444951,
2000,Land use,12.0,1.667119216,
2001,Land use,11.2,1.551682789,
2002,Land use,10.1,1.441046039,
2003,Land use,9.7,1.371712364,
2004,Land use,8.8,1.252908043,
2005,Land use,8.3,1.195671953,
2006,Land use,7.6,1.107326456,
2007,Land use,7.0,1.038826158,
2008,Land use,6.4,0.980956684,
2009,Land use,6.2,1.03968329,
2010,Land use,6.0,0.982846223,
2011,Land use,5.5,0.973571976,
2012,Land use,5.5,0.945359838,
2013,Land use,5.6,0.986006558,
2014,Land use,5.3,1.0045062,
2015,Land use,5.7,1.116485703,
2016,Land use,5.3,1.091920777,
2017,Land use,5.0,1.054318766,
2018,Land use,5.6,1.196438936,
2019,Land use,5.9,1.297370309,
1990,Waste management,64.7,7.99822941,
1991,Waste management,65.3,7.988770522,
1992,Waste management,65.5,8.235050949,
1993,Waste management,66.1,8.515815653,
1994,Waste management,66.4,8.667969193,
1995,Waste management,67.4,8.878804514,
1996,Waste management,67.7,8.67859619,
1997,Waste management,67.3,8.929663634,
1998,Waste management,66.2,8.82494806,
1999,Waste management,63.5,8.801606382,
2000,Waste management,61.1,8.485055408,
2001,Waste management,58.9,8.166887777,
2002,Waste management,57.9,8.256237005,
2003,Waste management,54.3,7.675535226,
2004,Waste management,50.0,7.112262858,
2005,Waste management,47.3,6.816910595,
2006,Waste management,44.4,6.465295535,
2007,Waste management,41.4,6.138441446,
2008,Waste management,36.8,5.638614138,
2009,Waste management,32.9,5.5189684,
2010,Waste management,28.3,4.639390884,
2011,Waste management,26.3,4.651568829,
2012,Waste management,24.8,4.261639747,
2013,Waste management,22.0,3.867684691,
2014,Waste management,19.9,3.765954056,
2015,Waste management,19.2,3.765997163,
2016,Waste management,18.6,3.823593878,
2017,Waste management,19.0,4.00635839,
2018,Waste management,19.1,4.081718151,
2019,Waste management,19.0,4.177305024,
