Unnamed: 0,Energy Source,Region,Year,Energy Consumption
60,Biofuels Consumption - TWh - Total (zero filled),Asia,1968,0.0
61,Biofuels Consumption - TWh - Total (zero filled),Asia,1969,0.0
62,Biofuels Consumption - TWh - Total (zero filled),Asia,1970,0.0
63,Biofuels Consumption - TWh - Total (zero filled),Asia,1971,0.0
64,Biofuels Consumption - TWh - Total (zero filled),Asia,1972,0.0
65,Biofuels Consumption - TWh - Total (zero filled),Asia,1973,0.0
66,Biofuels Consumption - TWh - Total (zero filled),Asia,1974,0.0
67,Biofuels Consumption - TWh - Total (zero filled),Asia,1975,0.0
68,Biofuels Consumption - TWh - Total (zero filled),Asia,1976,0.0
69,Biofuels Consumption - TWh - Total (zero filled),Asia,1977,0.0
70,Biofuels Consumption - TWh - Total (zero filled),Asia,1978,0.0
71,Biofuels Consumption - TWh - Total (zero filled),Asia,1979,0.0
72,Biofuels Consumption - TWh - Total (zero filled),Asia,1980,0.0
73,Biofuels Consumption - TWh - Total (zero filled),Asia,1981,0.0
74,Biofuels Consumption - TWh - Total (zero filled),Asia,1982,0.0
75,Biofuels Consumption - TWh - Total (zero filled),Asia,1983,0.0
76,Biofuels Consumption - TWh - Total (zero filled),Asia,1984,0.0
77,Biofuels Consumption - TWh - Total (zero filled),Asia,1985,0.0
78,Biofuels Consumption - TWh - Total (zero filled),Asia,1986,0.0
79,Biofuels Consumption - TWh - Total (zero filled),Asia,1987,0.0
80,Biofuels Consumption - TWh - Total (zero filled),Asia,1988,0.0
81,Biofuels Consumption - TWh - Total (zero filled),Asia,1989,0.0
82,Biofuels Consumption - TWh - Total (zero filled),Asia,1990,0.0
83,Biofuels Consumption - TWh - Total (zero filled),Asia,1991,0.0
84,Biofuels Consumption - TWh - Total (zero filled),Asia,1992,0.0
85,Biofuels Consumption - TWh - Total (zero filled),Asia,1993,0.0
86,Biofuels Consumption - TWh - Total (zero filled),Asia,1994,0.0
87,Biofuels Consumption - TWh - Total (zero filled),Asia,1995,0.0
88,Biofuels Consumption - TWh - Total (zero filled),Asia,1996,0.0
89,Biofuels Consumption - TWh - Total (zero filled),Asia,1997,0.0
90,Biofuels Consumption - TWh - Total (zero filled),Asia,1998,0.0
91,Biofuels Consumption - TWh - Total (zero filled),Asia,1999,0.0
92,Biofuels Consumption - TWh - Total (zero filled),Asia,2000,0.0
93,Biofuels Consumption - TWh - Total (zero filled),Asia,2001,0.0
94,Biofuels Consumption - TWh - Total (zero filled),Asia,2002,0.0
95,Biofuels Consumption - TWh - Total (zero filled),Asia,2003,0.0
96,Biofuels Consumption - TWh - Total (zero filled),Asia,2004,0.0
97,Biofuels Consumption - TWh - Total (zero filled),Asia,2005,0.0
98,Biofuels Consumption - TWh - Total (zero filled),Asia,2006,0.0
99,Biofuels Consumption - TWh - Total (zero filled),Asia,2007,0.0
100,Biofuels Consumption - TWh - Total (zero filled),Asia,2008,0.0
101,Biofuels Consumption - TWh - Total (zero filled),Asia,2009,0.0
102,Biofuels Consumption - TWh - Total (zero filled),Asia,2010,0.0
103,Biofuels Consumption - TWh - Total (zero filled),Asia,2011,0.0
104,Biofuels Consumption - TWh - Total (zero filled),Asia,2012,0.0
105,Biofuels Consumption - TWh - Total (zero filled),Asia,2013,0.0
106,Biofuels Consumption - TWh - Total (zero filled),Asia,2014,0.0
107,Biofuels Consumption - TWh - Total (zero filled),Asia,2015,0.0
108,Biofuels Consumption - TWh - Total (zero filled),Asia,2016,0.0
109,Biofuels Consumption - TWh - Total (zero filled),Asia,2017,0.0
110,Biofuels Consumption - TWh - Total (zero filled),Asia,2018,0.0
111,Biofuels Consumption - TWh - Total (zero filled),Asia,2019,0.0
112,Biofuels Consumption - TWh - Total (zero filled),Asia,2020,0.0
113,Biofuels Consumption - TWh - Total (zero filled),Asia,2021,0.0
114,Biofuels Consumption - TWh - Total (zero filled),Europe,1965,0.0
115,Biofuels Consumption - TWh - Total (zero filled),Europe,1966,0.0
116,Biofuels Consumption - TWh - Total (zero filled),Europe,1967,0.0
117,Biofuels Consumption - TWh - Total (zero filled),Europe,1968,0.0
118,Biofuels Consumption - TWh - Total (zero filled),Europe,1969,0.0
119,Biofuels Consumption - TWh - Total (zero filled),Europe,1970,0.0
120,Biofuels Consumption - TWh - Total (zero filled),Europe,1971,0.0
121,Biofuels Consumption - TWh - Total (zero filled),Europe,1972,0.0
122,Biofuels Consumption - TWh - Total (zero filled),Europe,1973,0.0
123,Biofuels Consumption - TWh - Total (zero filled),Europe,1974,0.0
124,Biofuels Consumption - TWh - Total (zero filled),Europe,1975,0.0
125,Biofuels Consumption - TWh - Total (zero filled),Europe,1976,0.0
126,Biofuels Consumption - TWh - Total (zero filled),Europe,1977,0.0
127,Biofuels Consumption - TWh - Total (zero filled),Europe,1978,0.0
128,Biofuels Consumption - TWh - Total (zero filled),Europe,1979,0.0
129,Biofuels Consumption - TWh - Total (zero filled),Europe,1980,0.0
130,Biofuels Consumption - TWh - Total (zero filled),Europe,1981,0.0
131,Biofuels Consumption - TWh - Total (zero filled),Europe,1982,0.0
132,Biofuels Consumption - TWh - Total (zero filled),Europe,1983,0.0
133,Biofuels Consumption - TWh - Total (zero filled),Europe,1984,0.0
134,Biofuels Consumption - TWh - Total (zero filled),Europe,1985,0.0
135,Biofuels Consumption - TWh - Total (zero filled),Europe,1986,0.0
136,Biofuels Consumption - TWh - Total (zero filled),Europe,1987,0.0
137,Biofuels Consumption - TWh - Total (zero filled),Europe,1988,0.0
138,Biofuels Consumption - TWh - Total (zero filled),Europe,1989,0.0
139,Biofuels Consumption - TWh - Total (zero filled),Europe,1990,0.0
140,Biofuels Consumption - TWh - Total (zero filled),Europe,1991,0.0
141,Biofuels Consumption - TWh - Total (zero filled),Europe,1992,0.0
142,Biofuels Consumption - TWh - Total (zero filled),Europe,1993,0.0
143,Biofuels Consumption - TWh - Total (zero filled),Europe,1994,0.0
144,Biofuels Consumption - TWh - Total (zero filled),Europe,1995,0.0
145,Biofuels Consumption - TWh - Total (zero filled),Europe,1996,0.0
146,Biofuels Consumption - TWh - Total (zero filled),Europe,1997,0.0
147,Biofuels Consumption - TWh - Total (zero filled),Europe,1998,0.0
148,Biofuels Consumption - TWh - Total (zero filled),Europe,1999,0.0
149,Biofuels Consumption - TWh - Total (zero filled),Europe,2000,0.0
150,Biofuels Consumption - TWh - Total (zero filled),Europe,2001,0.0
151,Biofuels Consumption - TWh - Total (zero filled),Europe,2002,0.0
152,Biofuels Consumption - TWh - Total (zero filled),Europe,2003,0.0
153,Biofuels Consumption - TWh - Total (zero filled),Europe,2004,0.0
154,Biofuels Consumption - TWh - Total (zero filled),Europe,2005,0.0
155,Biofuels Consumption - TWh - Total (zero filled),Europe,2006,0.0
156,Biofuels Consumption - TWh - Total (zero filled),Europe,2007,0.0
157,Biofuels Consumption - TWh - Total (zero filled),Europe,2008,0.0
158,Biofuels Consumption - TWh - Total (zero filled),Europe,2009,0.0
159,Biofuels Consumption - TWh - Total (zero filled),Europe,2010,0.0
160,Biofuels Consumption - TWh - Total (zero filled),Europe,2011,0.0
161,Biofuels Consumption - TWh - Total (zero filled),Europe,2012,0.0
162,Biofuels Consumption - TWh - Total (zero filled),Europe,2013,0.0
163,Biofuels Consumption - TWh - Total (zero filled),Europe,2014,0.0
164,Biofuels Consumption - TWh - Total (zero filled),Europe,2015,0.0
165,Biofuels Consumption - TWh - Total (zero filled),Europe,2016,0.0
166,Biofuels Consumption - TWh - Total (zero filled),Europe,2017,0.0
167,Biofuels Consumption - TWh - Total (zero filled),Europe,2018,0.0
168,Biofuels Consumption - TWh - Total (zero filled),Europe,2019,0.0
169,Biofuels Consumption - TWh - Total (zero filled),Europe,2020,0.0
170,Biofuels Consumption - TWh - Total (zero filled),Europe,2021,0.0
171,Biofuels Consumption - TWh - Total (zero filled),North America,1965,0.0
172,Biofuels Consumption - TWh - Total (zero filled),North America,1966,0.0
173,Biofuels Consumption - TWh - Total (zero filled),North America,1967,0.0
174,Biofuels Consumption - TWh - Total (zero filled),North America,1968,0.0
175,Biofuels Consumption - TWh - Total (zero filled),North America,1969,0.0
176,Biofuels Consumption - TWh - Total (zero filled),North America,1970,0.0
177,Biofuels Consumption - TWh - Total (zero filled),North America,1971,0.0
178,Biofuels Consumption - TWh - Total (zero filled),North America,1972,0.0
179,Biofuels Consumption - TWh - Total (zero filled),North America,1973,0.0
180,Biofuels Consumption - TWh - Total (zero filled),North America,1974,0.0
181,Biofuels Consumption - TWh - Total (zero filled),North America,1975,0.0
182,Biofuels Consumption - TWh - Total (zero filled),North America,1976,0.0
183,Biofuels Consumption - TWh - Total (zero filled),North America,1977,0.0
184,Biofuels Consumption - TWh - Total (zero filled),North America,1978,0.0
185,Biofuels Consumption - TWh - Total (zero filled),North America,1979,0.0
186,Biofuels Consumption - TWh - Total (zero filled),North America,1980,0.0
187,Biofuels Consumption - TWh - Total (zero filled),North America,1981,0.0
188,Biofuels Consumption - TWh - Total (zero filled),North America,1982,0.0
189,Biofuels Consumption - TWh - Total (zero filled),North America,1983,0.0
190,Biofuels Consumption - TWh - Total (zero filled),North America,1984,0.0
191,Biofuels Consumption - TWh - Total (zero filled),North America,1985,0.0
192,Biofuels Consumption - TWh - Total (zero filled),North America,1986,0.0
193,Biofuels Consumption - TWh - Total (zero filled),North America,1987,0.0
194,Biofuels Consumption - TWh - Total (zero filled),North America,1988,0.0
195,Biofuels Consumption - TWh - Total (zero filled),North America,1989,0.0
196,Biofuels Consumption - TWh - Total (zero filled),North America,1990,0.0
197,Biofuels Consumption - TWh - Total (zero filled),North America,1991,0.0
198,Biofuels Consumption - TWh - Total (zero filled),North America,1992,0.0
199,Biofuels Consumption - TWh - Total (zero filled),North America,1993,0.0
200,Biofuels Consumption - TWh - Total (zero filled),North America,1994,0.0
201,Biofuels Consumption - TWh - Total (zero filled),North America,1995,0.0
202,Biofuels Consumption - TWh - Total (zero filled),North America,1996,0.0
203,Biofuels Consumption - TWh - Total (zero filled),North America,1997,0.0
204,Biofuels Consumption - TWh - Total (zero filled),North America,1998,0.0
205,Biofuels Consumption - TWh - Total (zero filled),North America,1999,0.0
206,Biofuels Consumption - TWh - Total (zero filled),North America,2000,0.0
207,Biofuels Consumption - TWh - Total (zero filled),North America,2001,0.0
208,Biofuels Consumption - TWh - Total (zero filled),North America,2002,0.0
209,Biofuels Consumption - TWh - Total (zero filled),North America,2003,0.0
210,Biofuels Consumption - TWh - Total (zero filled),North America,2004,0.0
211,Biofuels Consumption - TWh - Total (zero filled),North America,2005,0.0
212,Biofuels Consumption - TWh - Total (zero filled),North America,2006,0.0
213,Biofuels Consumption - TWh - Total (zero filled),North America,2007,0.0
214,Biofuels Consumption - TWh - Total (zero filled),North America,2008,0.0
215,Biofuels Consumption - TWh - Total (zero filled),North America,2009,0.0
216,Biofuels Consumption - TWh - Total (zero filled),North America,2010,0.0
217,Biofuels Consumption - TWh - Total (zero filled),North America,2011,0.0
218,Biofuels Consumption - TWh - Total (zero filled),North America,2012,0.0
219,Biofuels Consumption - TWh - Total (zero filled),North America,2013,0.0
220,Biofuels Consumption - TWh - Total (zero filled),North America,2014,0.0
221,Biofuels Consumption - TWh - Total (zero filled),North America,2015,0.0
222,Biofuels Consumption - TWh - Total (zero filled),North America,2016,0.0
223,Biofuels Consumption - TWh - Total (zero filled),North America,2017,0.0
224,Biofuels Consumption - TWh - Total (zero filled),North America,2018,0.0
225,Biofuels Consumption - TWh - Total (zero filled),North America,2019,0.0
226,Biofuels Consumption - TWh - Total (zero filled),North America,2020,0.0
227,Biofuels Consumption - TWh - Total (zero filled),North America,2021,0.0
228,Biofuels Consumption - TWh - Total (zero filled),Oceania,1965,0.0
229,Biofuels Consumption - TWh - Total (zero filled),Oceania,1966,0.0
230,Biofuels Consumption - TWh - Total (zero filled),Oceania,1967,0.0
231,Biofuels Consumption - TWh - Total (zero filled),Oceania,1968,0.0
232,Biofuels Consumption - TWh - Total (zero filled),Oceania,1969,0.0
233,Biofuels Consumption - TWh - Total (zero filled),Oceania,1970,0.0
234,Biofuels Consumption - TWh - Total (zero filled),Oceania,1971,0.0
235,Biofuels Consumption - TWh - Total (zero filled),Oceania,1972,0.0
236,Biofuels Consumption - TWh - Total (zero filled),Oceania,1973,0.0
237,Biofuels Consumption - TWh - Total (zero filled),Oceania,1974,0.0
238,Biofuels Consumption - TWh - Total (zero filled),Oceania,1975,0.0
239,Biofuels Consumption - TWh - Total (zero filled),Oceania,1976,0.0
240,Biofuels Consumption - TWh - Total (zero filled),Oceania,1977,0.0
241,Biofuels Consumption - TWh - Total (zero filled),Oceania,1978,0.0
242,Biofuels Consumption - TWh - Total (zero filled),Oceania,1979,0.0
243,Biofuels Consumption - TWh - Total (zero filled),Oceania,1980,0.0
244,Biofuels Consumption - TWh - Total (zero filled),Oceania,1981,0.0
245,Biofuels Consumption - TWh - Total (zero filled),Oceania,1982,0.0
246,Biofuels Consumption - TWh - Total (zero filled),Oceania,1983,0.0
247,Biofuels Consumption - TWh - Total (zero filled),Oceania,1984,0.0
248,Biofuels Consumption - TWh - Total (zero filled),Oceania,1985,0.0
249,Biofuels Consumption - TWh - Total (zero filled),Oceania,1986,0.0
250,Biofuels Consumption - TWh - Total (zero filled),Oceania,1987,0.0
251,Biofuels Consumption - TWh - Total (zero filled),Oceania,1988,0.0
252,Biofuels Consumption - TWh - Total (zero filled),Oceania,1989,0.0
253,Biofuels Consumption - TWh - Total (zero filled),Oceania,1990,0.0
254,Biofuels Consumption - TWh - Total (zero filled),Oceania,1991,0.0
255,Biofuels Consumption - TWh - Total (zero filled),Oceania,1992,0.0
256,Biofuels Consumption - TWh - Total (zero filled),Oceania,1993,0.0
257,Biofuels Consumption - TWh - Total (zero filled),Oceania,1994,0.0
258,Biofuels Consumption - TWh - Total (zero filled),Oceania,1995,0.0
259,Biofuels Consumption - TWh - Total (zero filled),Oceania,1996,0.0
260,Biofuels Consumption - TWh - Total (zero filled),Oceania,1997,0.0
261,Biofuels Consumption - TWh - Total (zero filled),Oceania,1998,0.0
262,Biofuels Consumption - TWh - Total (zero filled),Oceania,1999,0.0
263,Biofuels Consumption - TWh - Total (zero filled),Oceania,2000,0.0
264,Biofuels Consumption - TWh - Total (zero filled),Oceania,2001,0.0
265,Biofuels Consumption - TWh - Total (zero filled),Oceania,2002,0.0
266,Biofuels Consumption - TWh - Total (zero filled),Oceania,2003,0.0
267,Biofuels Consumption - TWh - Total (zero filled),Oceania,2004,0.0
268,Biofuels Consumption - TWh - Total (zero filled),Oceania,2005,0.0
269,Biofuels Consumption - TWh - Total (zero filled),Oceania,2006,0.0
270,Biofuels Consumption - TWh - Total (zero filled),Oceania,2007,0.0
271,Biofuels Consumption - TWh - Total (zero filled),Oceania,2008,0.0
272,Biofuels Consumption - TWh - Total (zero filled),Oceania,2009,0.0
273,Biofuels Consumption - TWh - Total (zero filled),Oceania,2010,0.0
274,Biofuels Consumption - TWh - Total (zero filled),Oceania,2011,0.0
275,Biofuels Consumption - TWh - Total (zero filled),Oceania,2012,0.0
276,Biofuels Consumption - TWh - Total (zero filled),Oceania,2013,0.0
277,Biofuels Consumption - TWh - Total (zero filled),Oceania,2014,0.0
278,Biofuels Consumption - TWh - Total (zero filled),Oceania,2015,0.0
279,Biofuels Consumption - TWh - Total (zero filled),Oceania,2016,0.0
280,Biofuels Consumption - TWh - Total (zero filled),Oceania,2017,0.0
281,Biofuels Consumption - TWh - Total (zero filled),Oceania,2018,0.0
282,Biofuels Consumption - TWh - Total (zero filled),Oceania,2019,0.0
283,Biofuels Consumption - TWh - Total (zero filled),Oceania,2020,0.0
284,Biofuels Consumption - TWh - Total (zero filled),Oceania,2021,0.0
285,Biofuels Consumption - TWh - Total (zero filled),South America,1965,0.0
286,Biofuels Consumption - TWh - Total (zero filled),South America,1966,0.0
287,Biofuels Consumption - TWh - Total (zero filled),South America,1967,0.0
288,Biofuels Consumption - TWh - Total (zero filled),South America,1968,0.0
289,Biofuels Consumption - TWh - Total (zero filled),South America,1969,0.0
290,Biofuels Consumption - TWh - Total (zero filled),South America,1970,0.0
291,Biofuels Consumption - TWh - Total (zero filled),South America,1971,0.0
292,Biofuels Consumption - TWh - Total (zero filled),South America,1972,0.0
293,Biofuels Consumption - TWh - Total (zero filled),South America,1973,0.0
294,Biofuels Consumption - TWh - Total (zero filled),South America,1974,0.0
295,Biofuels Consumption - TWh - Total (zero filled),South America,1975,0.0
296,Biofuels Consumption - TWh - Total (zero filled),South America,1976,0.0
297,Biofuels Consumption - TWh - Total (zero filled),South America,1977,0.0
298,Biofuels Consumption - TWh - Total (zero filled),South America,1978,0.0
299,Biofuels Consumption - TWh - Total (zero filled),South America,1979,0.0
300,Biofuels Consumption - TWh - Total (zero filled),South America,1980,0.0
301,Biofuels Consumption - TWh - Total (zero filled),South America,1981,0.0
302,Biofuels Consumption - TWh - Total (zero filled),South America,1982,0.0
303,Biofuels Consumption - TWh - Total (zero filled),South America,1983,0.0
304,Biofuels Consumption - TWh - Total (zero filled),South America,1984,0.0
305,Biofuels Consumption - TWh - Total (zero filled),South America,1985,0.0
306,Biofuels Consumption - TWh - Total (zero filled),South America,1986,0.0
307,Biofuels Consumption - TWh - Total (zero filled),South America,1987,0.0
308,Biofuels Consumption - TWh - Total (zero filled),South America,1988,0.0
309,Biofuels Consumption - TWh - Total (zero filled),South America,1989,0.0
310,Biofuels Consumption - TWh - Total (zero filled),South America,1990,0.0
311,Biofuels Consumption - TWh - Total (zero filled),South America,1991,0.0
312,Biofuels Consumption - TWh - Total (zero filled),South America,1992,0.0
313,Biofuels Consumption - TWh - Total (zero filled),South America,1993,0.0
314,Biofuels Consumption - TWh - Total (zero filled),South America,1994,0.0
315,Biofuels Consumption - TWh - Total (zero filled),South America,1995,0.0
316,Biofuels Consumption - TWh - Total (zero filled),South America,1996,0.0
317,Biofuels Consumption - TWh - Total (zero filled),South America,1997,0.0
318,Biofuels Consumption - TWh - Total (zero filled),South America,1998,0.0
319,Biofuels Consumption - TWh - Total (zero filled),South America,1999,0.0
320,Biofuels Consumption - TWh - Total (zero filled),South America,2000,0.0
321,Biofuels Consumption - TWh - Total (zero filled),South America,2001,0.0
322,Biofuels Consumption - TWh - Total (zero filled),South America,2002,0.0
323,Biofuels Consumption - TWh - Total (zero filled),South America,2003,0.0
324,Biofuels Consumption - TWh - Total (zero filled),South America,2004,0.0
325,Biofuels Consumption - TWh - Total (zero filled),South America,2005,0.0
326,Biofuels Consumption - TWh - Total (zero filled),South America,2006,0.0
327,Biofuels Consumption - TWh - Total (zero filled),South America,2007,0.0
328,Biofuels Consumption - TWh - Total (zero filled),South America,2008,0.0
329,Biofuels Consumption - TWh - Total (zero filled),South America,2009,0.0
330,Biofuels Consumption - TWh - Total (zero filled),South America,2010,0.0
331,Biofuels Consumption - TWh - Total (zero filled),South America,2011,0.0
332,Biofuels Consumption - TWh - Total (zero filled),South America,2012,0.0
333,Biofuels Consumption - TWh - Total (zero filled),South America,2013,0.0
334,Biofuels Consumption - TWh - Total (zero filled),South America,2014,0.0
335,Biofuels Consumption - TWh - Total (zero filled),South America,2015,0.0
336,Biofuels Consumption - TWh - Total (zero filled),South America,2016,0.0
337,Biofuels Consumption - TWh - Total (zero filled),South America,2017,0.0
338,Biofuels Consumption - TWh - Total (zero filled),South America,2018,0.0
339,Biofuels Consumption - TWh - Total (zero filled),South America,2019,0.0
340,Biofuels Consumption - TWh - Total (zero filled),South America,2020,0.0
341,Biofuels Consumption - TWh - Total (zero filled),South America,2021,0.0
342,Coal Consumption - TWh (zero filled),Africa,1965,323.4961243
343,Coal Consumption - TWh (zero filled),Africa,1966,323.1221924
344,Coal Consumption - TWh (zero filled),Africa,1967,330.2915649
345,Coal Consumption - TWh (zero filled),Africa,1968,343.5129089
346,Coal Consumption - TWh (zero filled),Africa,1969,346.6429443
347,Coal Consumption - TWh (zero filled),Africa,1970,360.756897
348,Coal Consumption - TWh (zero filled),Africa,1971,383.0123291
349,Coal Consumption - TWh (zero filled),Africa,1972,384.2108154
350,Coal Consumption - TWh (zero filled),Africa,1973,408.9103394
351,Coal Consumption - TWh (zero filled),Africa,1974,425.6462097
352,Coal Consumption - TWh (zero filled),Africa,1975,451.0805054
353,Coal Consumption - TWh (zero filled),Africa,1976,481.0741577
354,Coal Consumption - TWh (zero filled),Africa,1977,491.6984558
355,Coal Consumption - TWh (zero filled),Africa,1978,477.8155823
356,Coal Consumption - TWh (zero filled),Africa,1979,507.2469788
357,Coal Consumption - TWh (zero filled),Africa,1980,543.5570679
358,Coal Consumption - TWh (zero filled),Africa,1981,635.7987671
359,Coal Consumption - TWh (zero filled),Africa,1982,701.1759033
360,Coal Consumption - TWh (zero filled),Africa,1983,713.2460327
361,Coal Consumption - TWh (zero filled),Africa,1984,762.8978271
362,Coal Consumption - TWh (zero filled),Africa,1985,787.1658936
363,Coal Consumption - TWh (zero filled),Africa,1986,805.3560791
364,Coal Consumption - TWh (zero filled),Africa,1987,828.3197021
365,Coal Consumption - TWh (zero filled),Africa,1988,890.1607666
366,Coal Consumption - TWh (zero filled),Africa,1989,835.6208496
367,Coal Consumption - TWh (zero filled),Africa,1990,877.6782837
368,Coal Consumption - TWh (zero filled),Africa,1991,853.762146
369,Coal Consumption - TWh (zero filled),Africa,1992,858.8311768
370,Coal Consumption - TWh (zero filled),Africa,1993,871.7139282
371,Coal Consumption - TWh (zero filled),Africa,1994,894.4478149
372,Coal Consumption - TWh (zero filled),Africa,1995,922.4712524
373,Coal Consumption - TWh (zero filled),Africa,1996,935.2282104
374,Coal Consumption - TWh (zero filled),Africa,1997,959.019104
375,Coal Consumption - TWh (zero filled),Africa,1998,937.0389404
376,Coal Consumption - TWh (zero filled),Africa,1999,966.0106812
377,Coal Consumption - TWh (zero filled),Africa,2000,963.7305908
378,Coal Consumption - TWh (zero filled),Africa,2001,975.9262695
379,Coal Consumption - TWh (zero filled),Africa,2002,934.4215698
380,Coal Consumption - TWh (zero filled),Africa,2003,1017.048401
381,Coal Consumption - TWh (zero filled),Africa,2004,1119.161865
382,Coal Consumption - TWh (zero filled),Africa,2005,1039.072632
383,Coal Consumption - TWh (zero filled),Africa,2006,1054.097046
384,Coal Consumption - TWh (zero filled),Africa,2007,1071.633301
385,Coal Consumption - TWh (zero filled),Africa,2008,1180.725098
386,Coal Consumption - TWh (zero filled),Africa,2009,1176.002075
387,Coal Consumption - TWh (zero filled),Africa,2010,1164.840088
388,Coal Consumption - TWh (zero filled),Africa,2011,1147.299316
389,Coal Consumption - TWh (zero filled),Africa,2012,1118.487061
390,Coal Consumption - TWh (zero filled),Africa,2013,1130.160645
391,Coal Consumption - TWh (zero filled),Africa,2014,1183.80603
392,Coal Consumption - TWh (zero filled),Africa,2015,1119.038574
393,Coal Consumption - TWh (zero filled),Africa,2016,1186.287964
394,Coal Consumption - TWh (zero filled),Africa,2017,1185.067139
395,Coal Consumption - TWh (zero filled),Africa,2018,1163.599854
396,Coal Consumption - TWh (zero filled),Africa,2019,1231.316772
397,Coal Consumption - TWh (zero filled),Africa,2020,1157.901123
398,Coal Consumption - TWh (zero filled),Africa,2021,1168.740601
399,Coal Consumption - TWh (zero filled),Asia,1965,2604.78418
400,Coal Consumption - TWh (zero filled),Asia,1966,2753.782959
401,Coal Consumption - TWh (zero filled),Asia,1967,2667.210938
402,Coal Consumption - TWh (zero filled),Asia,1968,2708.168457
403,Coal Consumption - TWh (zero filled),Asia,1969,3056.827393
404,Coal Consumption - TWh (zero filled),Asia,1970,3440.953613
