Country ,Year,ODA/GNI
GBR,2007,0.355309
GBR,2008,0.430369
GBR,2009,0.50755
GBR,2010,0.572602
GBR,2011,0.562486
GBR,2012,0.561921
GBR,2013,0.704671
GBR,2014,0.700701
GBR,2015,0.704758
GBR,2016,0.700114
GBR,2017,0.698876
GBR,2019,0.69558
GBR,2020,0.698093
GBR,2021,0.498731
USA,1960,0.539666
USA,1961,0.572474
USA,1962,0.582865
USA,1963,0.597015
USA,1964,0.560295
USA,1965,0.577767
USA,1966,0.500813
USA,1967,0.40786
USA,1968,0.436321
USA,1969,0.356543
USA,1970,0.316305
USA,1971,0.287274
USA,1972,0.332035
USA,1973,0.199187
USA,1974,0.254545
USA,1975,0.266812
USA,1976,0.251979
USA,1977,0.242476
USA,1978,0.260355
USA,1979,0.19268
USA,1980,0.269162
USA,1981,0.193691
USA,1982,0.265159
USA,1983,0.243109
USA,1984,0.236841
USA,1985,0.235782
USA,1986,0.226689
USA,1987,0.202448
USA,1988,0.209045
USA,1989,0.149591
USA,1990,0.209414
USA,1991,0.199769
USA,1992,0.196104
USA,1993,0.154314
USA,1994,0.143404
USA,1995,0.101789
USA,1996,0.122773
USA,1997,0.085334
USA,1998,0.100411
USA,1999,0.098345
USA,2000,0.100266
USA,2001,0.112506
USA,2002,0.12669
USA,2003,0.148618
USA,2004,0.169052
USA,2005,0.226033
USA,2006,0.177468
USA,2007,0.156453
USA,2008,0.183458
USA,2009,0.205776
USA,2010,0.202632
USA,2011,0.203574
USA,2012,0.185609
USA,2013,0.181737
USA,2014,0.185688
USA,2015,0.167526
USA,2016,0.1861
USA,2017,0.176803
USA,2018,0.164168
USA,2019,0.154414
USA,2020,0.16713
USA,2021,0.183982
