Country Name,Indicator Name,Year,GDP growth (annual %)
Denmark,GDP per capita growth (annual %),2019,1.749614095
Denmark,GDP per capita growth (annual %),2020,-2.347336032
Denmark,GDP per capita growth (annual %),2021,4.240658413
Norway,GDP per capita growth (annual %),1961,5.432493155
Norway,GDP per capita growth (annual %),1962,1.991245519
Norway,GDP per capita growth (annual %),1963,3.003259317
Norway,GDP per capita growth (annual %),1964,4.219393699
Norway,GDP per capita growth (annual %),1965,4.470367905
Norway,GDP per capita growth (annual %),1966,2.961201558
Norway,GDP per capita growth (annual %),1967,5.370915608
Norway,GDP per capita growth (annual %),1968,1.403879661
Norway,GDP per capita growth (annual %),1969,3.656641879
Norway,GDP per capita growth (annual %),1970,1.205350007
Norway,GDP per capita growth (annual %),1971,4.933926362
Norway,GDP per capita growth (annual %),1972,4.528126807
Norway,GDP per capita growth (annual %),1973,3.804257512
Norway,GDP per capita growth (annual %),1974,3.28031994
Norway,GDP per capita growth (annual %),1975,4.374523921
Norway,GDP per capita growth (annual %),1976,5.330219758
Norway,GDP per capita growth (annual %),1977,3.721429201
Norway,GDP per capita growth (annual %),1978,3.473600767
Norway,GDP per capita growth (annual %),1979,4.017607859
Norway,GDP per capita growth (annual %),1980,4.229298865
Norway,GDP per capita growth (annual %),1981,1.249296097
Norway,GDP per capita growth (annual %),1982,-0.13211298
Norway,GDP per capita growth (annual %),1983,3.629165276
Norway,GDP per capita growth (annual %),1984,5.753542344
Norway,GDP per capita growth (annual %),1985,5.237729582
Norway,GDP per capita growth (annual %),1986,3.671806783
Norway,GDP per capita growth (annual %),1987,1.278257279
Norway,GDP per capita growth (annual %),1988,-0.79045592
Norway,GDP per capita growth (annual %),1989,0.622056009
Norway,GDP per capita growth (annual %),1990,1.582220916
Norway,GDP per capita growth (annual %),1991,2.594687444
Norway,GDP per capita growth (annual %),1992,2.978306474
Norway,GDP per capita growth (annual %),1993,2.234977116
Norway,GDP per capita growth (annual %),1994,4.458953888
Norway,GDP per capita growth (annual %),1995,3.616194623
Norway,GDP per capita growth (annual %),1996,4.496926706
Norway,GDP per capita growth (annual %),1997,4.715263835
Norway,GDP per capita growth (annual %),1998,2.015205256
Norway,GDP per capita growth (annual %),1999,1.316706803
Norway,GDP per capita growth (annual %),2000,2.537301756
Norway,GDP per capita growth (annual %),2001,1.559548852
Norway,GDP per capita growth (annual %),2002,0.900636375
Norway,GDP per capita growth (annual %),2003,0.319967274
Norway,GDP per capita growth (annual %),2004,3.356838854
Norway,GDP per capita growth (annual %),2005,1.928840748
Norway,GDP per capita growth (annual %),2006,1.578419866
Norway,GDP per capita growth (annual %),2007,1.934064976
Norway,GDP per capita growth (annual %),2008,-0.76815344
Norway,GDP per capita growth (annual %),2009,-2.958585549
Norway,GDP per capita growth (annual %),2010,-0.54479433
Norway,GDP per capita growth (annual %),2011,-0.320026519
Norway,GDP per capita growth (annual %),2012,1.362984873
Norway,GDP per capita growth (annual %),2013,-0.180216051
Norway,GDP per capita growth (annual %),2014,0.826056236
Norway,GDP per capita growth (annual %),2015,0.957500763
Norway,GDP per capita growth (annual %),2016,0.18505968
Norway,GDP per capita growth (annual %),2017,1.500180926
Norway,GDP per capita growth (annual %),2018,0.453550486
Norway,GDP per capita growth (annual %),2019,0.067992626
Norway,GDP per capita growth (annual %),2020,-1.300000154
Norway,GDP per capita growth (annual %),2021,3.368398954
Sweden,GDP per capita growth (annual %),1961,5.184618708
Sweden,GDP per capita growth (annual %),1962,3.685605013
Sweden,GDP per capita growth (annual %),1963,4.735939875
Sweden,GDP per capita growth (annual %),1964,6.026059128
Sweden,GDP per capita growth (annual %),1965,2.848259778
Sweden,GDP per capita growth (annual %),1966,1.123989568
Sweden,GDP per capita growth (annual %),1967,2.575374756
Sweden,GDP per capita growth (annual %),1968,3.057694231
Sweden,GDP per capita growth (annual %),1969,4.27371522
Sweden,GDP per capita growth (annual %),1970,6.292337745
Sweden,GDP per capita growth (annual %),1971,0.252434855
Sweden,GDP per capita growth (annual %),1972,1.986921339
Sweden,GDP per capita growth (annual %),1973,3.788932053
Sweden,GDP per capita growth (annual %),1974,2.899184813
Sweden,GDP per capita growth (annual %),1975,2.146253219
Sweden,GDP per capita growth (annual %),1976,0.691238123
Sweden,GDP per capita growth (annual %),1977,-1.945127147
Sweden,GDP per capita growth (annual %),1978,1.455733753
Sweden,GDP per capita growth (annual %),1979,3.613647519
Sweden,GDP per capita growth (annual %),1980,1.493733159
Sweden,GDP per capita growth (annual %),1981,0.334436786
Sweden,GDP per capita growth (annual %),1982,1.19077538
Sweden,GDP per capita growth (annual %),1983,1.85451508
Sweden,GDP per capita growth (annual %),1984,4.134865287
Sweden,GDP per capita growth (annual %),1985,1.991774101
Sweden,GDP per capita growth (annual %),1986,2.452772613
Sweden,GDP per capita growth (annual %),1987,3.009547766
Sweden,GDP per capita growth (annual %),1988,2.088760519
Sweden,GDP per capita growth (annual %),1989,1.972191268
Sweden,GDP per capita growth (annual %),1990,-0.020759176
Sweden,GDP per capita growth (annual %),1991,-1.817515173
Sweden,GDP per capita growth (annual %),1992,-1.736630357
Sweden,GDP per capita growth (annual %),1993,-2.632808452
Sweden,GDP per capita growth (annual %),1994,3.1939554
Sweden,GDP per capita growth (annual %),1995,3.391269115
Sweden,GDP per capita growth (annual %),1996,1.417924238
Sweden,GDP per capita growth (annual %),1997,3.011523033
Sweden,GDP per capita growth (annual %),1998,4.253946709
Sweden,GDP per capita growth (annual %),1999,4.165978928
Sweden,GDP per capita growth (annual %),2000,4.598254794
Sweden,GDP per capita growth (annual %),2001,1.177501892
Sweden,GDP per capita growth (annual %),2002,1.864873974
Sweden,GDP per capita growth (annual %),2003,1.929830384
Sweden,GDP per capita growth (annual %),2004,3.927306257
Sweden,GDP per capita growth (annual %),2005,2.44824844
Sweden,GDP per capita growth (annual %),2006,4.075714897
Sweden,GDP per capita growth (annual %),2007,2.675002671
Sweden,GDP per capita growth (annual %),2008,-1.223069578
Sweden,GDP per capita growth (annual %),2009,-5.151262729
Sweden,GDP per capita growth (annual %),2010,5.052678573
Sweden,GDP per capita growth (annual %),2011,2.418988511
Sweden,GDP per capita growth (annual %),2012,-1.321002324
Sweden,GDP per capita growth (annual %),2013,0.333984863
Sweden,GDP per capita growth (annual %),2014,1.644244006
Sweden,GDP per capita growth (annual %),2015,3.390176296
Sweden,GDP per capita growth (annual %),2016,0.7961463
Sweden,GDP per capita growth (annual %),2017,1.195147571
Sweden,GDP per capita growth (annual %),2018,0.772577449
Sweden,GDP per capita growth (annual %),2019,0.957561656
Sweden,GDP per capita growth (annual %),2020,-3.643079592
Sweden,GDP per capita growth (annual %),2021,4.173074337
