Date,California,Florida,Arizona,New York,Texas,Alabama,North Carolina,Illinois,Utah,Nevada,Kentucky,District of Columbia,Wisconsin,Connecticut,Pennsylvania,Alaska,Colorado,Missouri,Arizona.1,Washington,Louisiana,Georgia,New Mexico,Virginia,New Jersey,South Carolina,Oregon,Idaho,Ohio,Tennessee,Nebraska,Oklahoma,Indiana,Arkansas,Michigan,Massachusetts,Hawaii,Montana,Mississippi,New Hampshire,Maryland,Delaware,Vermont,Minnesota,Kansas,South Dakota,Maine,West Virginia,Wyoming,Iowa,Rhode Island,North Dakota,Year
01/01/1910,2406.0,756.0,206.0,9137.0,3922.0,2150.0,2221.0,5668.0,377.0,82.0,2299.0,334.0,2345.0,1122.0,7706.0,.,804.0,3301.0,206.0,1148.0,1667.0,2618.0,329.0,2071.0,2550.0,1523.0,677.0,329.0,4786.0,2191.0,1198.0,1671.0,2713.0,1583.0,2832.0,3365.0,.,380.0,1802.0,431.0,1302.0,203.0,357.0,2086.0,1692.0,590.0,745.0,1231.0,147.0,2228.0,545.0,580.0,1910
01/01/1911,2534.0,773.0,212.0,9249.0,4016.0,2185.0,2276.0,5757.0,387.0,81.0,2324.0,344.0,2369.0,1149.0,7850.0,.,821.0,3317.0,212.0,1167.0,1695.0,2644.0,334.0,2092.0,2610.0,1548.0,692.0,343.0,4821.0,2197.0,1216.0,1714.0,2751.0,1610.0,2916.0,3383.0,.,397.0,1810.0,432.0,1324.0,207.0,358.0,2119.0,1684.0,602.0,751.0,1266.0,150.0,2249.0,556.0,584.0,1911
01/01/1912,2668.0,801.0,217.0,9361.0,4107.0,2217.0,2313.0,5828.0,399.0,81.0,2347.0,340.0,2407.0,1176.0,7986.0,.,832.0,3344.0,217.0,1184.0,1709.0,2676.0,338.0,2122.0,2670.0,1572.0,706.0,359.0,4893.0,2218.0,1232.0,1737.0,2785.0,1636.0,2997.0,3440.0,.,414.0,1817.0,434.0,1345.0,209.0,359.0,2147.0,1671.0,592.0,753.0,1291.0,153.0,2279.0,567.0,603.0,1912
01/01/1913,2811.0,828.0,236.0,9473.0,4207.0,2279.0,2362.0,5961.0,410.0,82.0,2374.0,358.0,2438.0,1208.0,8139.0,.,835.0,3409.0,236.0,1209.0,1727.0,2733.0,344.0,2176.0,2729.0,1599.0,722.0,371.0,4997.0,2257.0,1246.0,1777.0,2824.0,1664.0,3101.0,3534.0,.,433.0,1827.0,439.0,1368.0,213.0,361.0,2190.0,1663.0,584.0,763.0,1317.0,157.0,2305.0,578.0,609.0,1913
01/01/1914,2934.0,871.0,253.0,9585.0,4300.0,2336.0,2421.0,6109.0,422.0,83.0,2395.0,368.0,2490.0,1233.0,8276.0,.,846.0,3467.0,253.0,1231.0,1740.0,2776.0,348.0,2241.0,2789.0,1622.0,736.0,384.0,5109.0,2289.0,1264.0,1824.0,2857.0,1688.0,3183.0,3636.0,.,452.0,1832.0,442.0,1389.0,216.0,362.0,2234.0,1662.0,581.0,772.0,1362.0,163.0,2338.0,589.0,620.0,1914
01/01/1915,3008.0,922.0,263.0,9700.0,4368.0,2345.0,2473.0,6194.0,430.0,82.0,2401.0,361.0,2535.0,1258.0,8362.0,.,868.0,3492.0,263.0,1239.0,1755.0,2810.0,351.0,2294.0,2850.0,1635.0,745.0,394.0,5251.0,2294.0,1272.0,1860.0,2873.0,1702.0,3263.0,3705.0,.,469.0,1826.0,443.0,1401.0,217.0,360.0,2273.0,1687.0,585.0,774.0,1387.0,167.0,2366.0,597.0,641.0,1915
01/01/1916,3071.0,924.0,282.0,9848.0,4444.0,2359.0,2513.0,6274.0,436.0,82.0,2411.0,360.0,2562.0,1294.0,8463.0,.,892.0,3527.0,282.0,1255.0,1799.0,2856.0,354.0,2316.0,2918.0,1650.0,756.0,405.0,5366.0,2304.0,1275.0,1907.0,2897.0,1719.0,3353.0,3726.0,.,487.0,1823.0,445.0,1415.0,219.0,360.0,2308.0,1727.0,595.0,775.0,1414.0,174.0,2376.0,598.0,652.0,1916
01/01/1917,3171.0,895.0,311.0,9993.0,4563.0,2361.0,2546.0,6313.0,444.0,81.0,2421.0,385.0,2587.0,1327.0,8578.0,.,910.0,3470.0,311.0,1287.0,1795.0,2885.0,361.0,2313.0,2976.0,1675.0,763.0,413.0,5510.0,2331.0,1285.0,1960.0,2910.0,1737.0,3451.0,3738.0,.,505.0,1820.0,447.0,1428.0,222.0,372.0,2329.0,1748.0,599.0,777.0,1439.0,186.0,2382.0,606.0,661.0,1917
01/01/1918,3262.0,865.0,320.0,9936.0,4666.0,2343.0,2522.0,6275.0,437.0,77.0,2425.0,418.0,2597.0,1329.0,8524.0,.,906.0,3325.0,320.0,1341.0,1746.0,2941.0,382.0,2359.0,3043.0,1746.0,763.0,405.0,5547.0,2288.0,1266.0,1969.0,2880.0,1749.0,3499.0,3695.0,.,501.0,1813.0,440.0,1467.0,220.0,352.0,2291.0,1729.0,570.0,760.0,1438.0,181.0,2351.0,604.0,636.0,1918
01/01/1919,3339.0,898.0,329.0,10252.0,4631.0,2337.0,2535.0,6392.0,446.0,77.0,2413.0,445.0,2600.0,1359.0,8643.0,.,938.0,3371.0,329.0,1333.0,1756.0,2870.0,362.0,2318.0,3136.0,1687.0,774.0,424.0,5683.0,2305.0,1290.0,2003.0,2906.0,1742.0,3591.0,3785.0,.,534.0,1790.0,443.0,1445.0,221.0,352.0,2346.0,1756.0,606.0,762.0,1464.0,191.0,2379.0,603.0,648.0,1919
01/01/1920,3554.0,962.0,340.0,10282.0,4723.0,2359.0,2588.0,6663.0,453.0,78.0,2421.0,440.0,2679.0,1391.0,8740.0,.,937.0,3404.0,340.0,1373.0,1813.0,2926.0,363.0,2347.0,3198.0,1685.0,788.0,433.0,5799.0,2329.0,1300.0,2055.0,2947.0,1756.0,3723.0,3882.0,.,543.0,1800.0,444.0,1464.0,219.0,353.0,2403.0,1769.0,640.0,771.0,1470.0,197.0,2400.0,613.0,646.0,1920
01/01/1921,3795.0,997.0,351.0,10416.0,4853.0,2402.0,2651.0,6858.0,457.0,80.0,2436.0,446.0,2722.0,1415.0,8900.0,.,961.0,3429.0,351.0,1405.0,1847.0,2965.0,370.0,2395.0,3297.0,1693.0,798.0,435.0,5921.0,2369.0,1309.0,2108.0,2976.0,1769.0,3872.0,3951.0,.,546.0,1823.0,449.0,1492.0,216.0,355.0,2434.0,1779.0,652.0,775.0,1485.0,203.0,2407.0,629.0,646.0,1921
01/01/1922,3991.0,1044.0,360.0,10589.0,4955.0,2434.0,2700.0,6958.0,467.0,81.0,2450.0,450.0,2761.0,1431.0,8982.0,.,965.0,3437.0,360.0,1415.0,1871.0,2965.0,375.0,2412.0,3380.0,1692.0,814.0,436.0,6054.0,2424.0,1312.0,2140.0,2965.0,1772.0,3942.0,4010.0,.,543.0,1836.0,451.0,1509.0,214.0,354.0,2451.0,1799.0,660.0,778.0,1498.0,208.0,2428.0,644.0,647.0,1922
01/01/1923,4270.0,1097.0,371.0,10752.0,5077.0,2464.0,2761.0,7068.0,474.0,82.0,2480.0,453.0,2803.0,1455.0,9148.0,.,984.0,3454.0,371.0,1433.0,1903.0,2954.0,382.0,2423.0,3472.0,1699.0,833.0,436.0,6183.0,2463.0,1321.0,2159.0,3042.0,1784.0,4063.0,4057.0,.,538.0,1858.0,453.0,1521.0,215.0,354.0,2487.0,1808.0,669.0,781.0,1526.0,211.0,2425.0,656.0,648.0,1923
01/01/1924,4541.0,1160.0,382.0,10953.0,5210.0,2501.0,2830.0,7215.0,481.0,84.0,2531.0,456.0,2833.0,1481.0,9383.0,.,1014.0,3508.0,382.0,1467.0,1939.0,2920.0,390.0,2426.0,3573.0,1710.0,856.0,434.0,6319.0,2502.0,1333.0,2179.0,3086.0,1800.0,4214.0,4102.0,.,538.0,1886.0,457.0,1537.0,219.0,355.0,2521.0,1807.0,673.0,788.0,1577.0,215.0,2420.0,669.0,642.0,1924
01/01/1925,4730.0,1264.0,393.0,11186.0,5332.0,2534.0,2895.0,7306.0,487.0,85.0,2520.0,461.0,2863.0,1506.0,9478.0,.,1019.0,3526.0,393.0,1494.0,1972.0,2883.0,396.0,2423.0,3664.0,1718.0,883.0,436.0,6434.0,2531.0,1343.0,2216.0,3119.0,1812.0,4331.0,4154.0,.,535.0,1910.0,459.0,1556.0,222.0,355.0,2540.0,1825.0,682.0,792.0,1593.0,216.0,2427.0,680.0,643.0,1925
01/01/1926,4929.0,1368.0,403.0,11257.0,5453.0,2567.0,2959.0,7395.0,494.0,87.0,2545.0,469.0,2892.0,1531.0,9594.0,.,1016.0,3556.0,403.0,1516.0,2005.0,2869.0,403.0,2419.0,3758.0,1726.0,905.0,441.0,6504.0,2553.0,1353.0,2256.0,3148.0,1826.0,4451.0,4194.0,.,531.0,1935.0,463.0,1576.0,225.0,356.0,2560.0,1836.0,683.0,793.0,1623.0,217.0,2432.0,681.0,651.0,1926
01/01/1927,5147.0,1418.0,414.0,11174.0,5577.0,2609.0,3027.0,7519.0,500.0,88.0,2551.0,476.0,2916.0,1557.0,9745.0,.,1028.0,3576.0,414.0,1538.0,2039.0,2891.0,410.0,2433.0,3891.0,1736.0,925.0,447.0,6577.0,2608.0,1365.0,2306.0,3191.0,1840.0,4589.0,4223.0,.,527.0,1962.0,466.0,1599.0,229.0,357.0,2588.0,1836.0,682.0,796.0,1671.0,219.0,2441.0,677.0,657.0,1927
01/01/1928,5344.0,1433.0,422.0,11599.0,5675.0,2640.0,3082.0,7576.0,504.0,89.0,2567.0,479.0,2923.0,1577.0,9802.0,.,1014.0,3601.0,422.0,1551.0,2064.0,2903.0,416.0,2435.0,3968.0,1739.0,936.0,449.0,6608.0,2624.0,1371.0,2344.0,3212.0,1847.0,4665.0,4217.0,.,541.0,1981.0,468.0,1610.0,233.0,358.0,2592.0,1850.0,685.0,797.0,1696.0,220.0,2450.0,678.0,665.0,1928
01/01/1929,5531.0,1445.0,430.0,12171.0,5762.0,2644.0,3133.0,7606.0,508.0,90.0,2606.0,483.0,2934.0,1594.0,9723.0,.,1008.0,3622.0,430.0,1555.0,2086.0,2903.0,420.0,2425.0,3989.0,1739.0,947.0,447.0,6626.0,2604.0,1375.0,2372.0,3226.0,1852.0,4795.0,4229.0,.,524.0,1998.0,467.0,1621.0,236.0,359.0,2572.0,1867.0,690.0,797.0,1717.0,223.0,2460.0,684.0,674.0,1929
01/01/1930,5711.0,1471.0,434.0,12647.0,5844.0,2647.0,3167.0,7644.0,509.0,92.0,2623.0,488.0,2950.0,1613.0,9649.0,.,1040.0,3646.0,434.0,1568.0,2105.0,2910.0,427.0,2427.0,4068.0,1745.0,956.0,447.0,6662.0,2619.0,1380.0,2401.0,3242.0,1859.0,4834.0,4250.0,.,539.0,2006.0,466.0,1636.0,239.0,360.0,2576.0,1883.0,693.0,800.0,1733.0,226.0,2475.0,686.0,682.0,1930
01/01/1931,5824.0,1493.0,429.0,12848.0,5907.0,2649.0,3184.0,7687.0,513.0,94.0,2652.0,504.0,2990.0,1628.0,9707.0,.,1056.0,3711.0,429.0,1581.0,2124.0,2924.0,436.0,2445.0,4120.0,1753.0,966.0,454.0,6694.0,2657.0,1384.0,2403.0,3257.0,1848.0,4798.0,4248.0,.,540.0,1994.0,470.0,1657.0,242.0,359.0,2614.0,1881.0,694.0,807.0,1740.0,229.0,2482.0,681.0,680.0,1931
01/01/1932,5894.0,1521.0,426.0,13001.0,5961.0,2653.0,3227.0,7736.0,517.0,96.0,2676.0,513.0,3021.0,1637.0,9764.0,.,1066.0,3746.0,426.0,1584.0,2155.0,2935.0,441.0,2452.0,4120.0,1748.0,972.0,459.0,6717.0,2711.0,1386.0,2394.0,3281.0,1836.0,4780.0,4259.0,.,540.0,2004.0,474.0,1678.0,245.0,358.0,2646.0,1883.0,692.0,815.0,1747.0,230.0,2489.0,677.0,676.0,1932
01/01/1933,5963.0,1552.0,426.0,13126.0,6014.0,2661.0,3268.0,7768.0,520.0,96.0,2698.0,529.0,3040.0,1642.0,9784.0,.,1071.0,3773.0,426.0,1592.0,2178.0,2950.0,449.0,2460.0,4107.0,1752.0,978.0,464.0,6740.0,2747.0,1385.0,2392.0,3304.0,1854.0,4780.0,4282.0,.,541.0,2031.0,477.0,1694.0,248.0,357.0,2673.0,1877.0,690.0,821.0,1752.0,230.0,2495.0,675.0,674.0,1933
01/01/1934,6060.0,1585.0,428.0,13253.0,6053.0,2685.0,3304.0,7772.0,522.0,98.0,2722.0,568.0,3054.0,1650.0,9795.0,.,1075.0,3784.0,428.0,1610.0,2202.0,2964.0,461.0,2485.0,4089.0,1760.0,985.0,473.0,6751.0,2784.0,1382.0,2391.0,3319.0,1878.0,4798.0,4305.0,.,545.0,2050.0,480.0,1710.0,250.0,357.0,2695.0,1868.0,682.0,829.0,1771.0,233.0,2510.0,675.0,672.0,1934
01/01/1935,6175.0,1613.0,434.0,13375.0,6123.0,2719.0,3323.0,7797.0,526.0,100.0,2748.0,608.0,3070.0,1666.0,9774.0,.,1078.0,3798.0,434.0,1629.0,2228.0,2955.0,475.0,2520.0,4085.0,1769.0,1001.0,481.0,6787.0,2798.0,1375.0,2386.0,3332.0,1890.0,4838.0,4343.0,.,550.0,2061.0,481.0,1729.0,252.0,357.0,2717.0,1872.0,674.0,836.0,1794.0,237.0,2524.0,678.0,670.0,1935
01/01/1936,6341.0,1651.0,443.0,13481.0,6192.0,2743.0,3346.0,7840.0,527.0,101.0,2768.0,629.0,3082.0,1672.0,9767.0,.,1090.0,3801.0,443.0,1653.0,2246.0,2978.0,489.0,2552.0,4084.0,1781.0,1025.0,495.0,6801.0,2791.0,1358.0,2365.0,3348.0,1892.0,4889.0,4355.0,.,554.0,2072.0,481.0,1745.0,253.0,357.0,2734.0,1869.0,666.0,840.0,1808.0,240.0,2509.0,686.0,664.0,1936
01/01/1937,6528.0,1709.0,453.0,13511.0,6250.0,2762.0,3385.0,7857.0,529.0,103.0,2784.0,616.0,3088.0,1678.0,9790.0,.,1104.0,3794.0,453.0,1681.0,2257.0,3037.0,503.0,2590.0,4088.0,1802.0,1048.0,507.0,6809.0,2795.0,1339.0,2334.0,3374.0,1903.0,4968.0,4358.0,.,554.0,2086.0,481.0,1754.0,254.0,356.0,2746.0,1856.0,656.0,842.0,1813.0,243.0,2498.0,694.0,655.0,1937
01/01/1938,6656.0,1771.0,466.0,13512.0,6301.0,2787.0,3440.0,7866.0,535.0,105.0,2800.0,638.0,3098.0,1684.0,9952.0,.,1112.0,3781.0,466.0,1698.0,2285.0,3091.0,513.0,2638.0,4100.0,1834.0,1067.0,513.0,6837.0,2821.0,1326.0,2324.0,3386.0,1928.0,5056.0,4365.0,.,552.0,2127.0,485.0,1766.0,257.0,356.0,2753.0,1842.0,649.0,843.0,1828.0,246.0,2494.0,694.0,647.0,1938
01/01/1939,6785.0,1836.0,484.0,13523.0,6360.0,2814.0,3514.0,7890.0,543.0,107.0,2825.0,658.0,3121.0,1696.0,9901.0,.,1120.0,3783.0,484.0,1715.0,2334.0,3120.0,523.0,2670.0,4129.0,1872.0,1081.0,521.0,6886.0,2874.0,1318.0,2333.0,3403.0,1948.0,5156.0,4347.0,.,555.0,2168.0,490.0,1793.0,263.0,358.0,2771.0,1824.0,645.0,846.0,1868.0,248.0,2520.0,701.0,644.0,1939
01/01/1940,6950.0,1915.0,499.0,13456.0,6425.0,2845.0,3574.0,7905.0,552.0,113.0,2859.0,690.0,3143.0,1708.0,9896.0,.,1130.0,3786.0,499.0,1740.0,2370.0,3119.0,531.0,2720.0,4175.0,1902.0,1086.0,522.0,6929.0,2935.0,1316.0,2325.0,3433.0,1955.0,5315.0,4318.0,.,558.0,2176.0,492.0,1839.0,269.0,363.0,2790.0,1788.0,641.0,849.0,1907.0,250.0,2537.0,719.0,640.0,1940
01/01/1941,7237.0,2017.0,490.0,13267.0,6585.0,2902.0,3589.0,7995.0,551.0,120.0,2824.0,764.0,3140.0,1746.0,9911.0,.,1124.0,3811.0,490.0,1789.0,2484.0,3179.0,506.0,2855.0,4254.0,1962.0,1071.0,501.0,6958.0,2973.0,1272.0,2262.0,3483.0,1969.0,5472.0,4389.0,.,543.0,2184.0,490.0,1913.0,275.0,348.0,2718.0,1765.0,613.0,852.0,1885.0,247.0,2491.0,731.0,615.0,1941
01/01/1942,7735.0,2151.0,524.0,13002.0,6711.0,2941.0,3569.0,8057.0,575.0,137.0,2797.0,851.0,3053.0,1792.0,9704.0,.,1113.0,3829.0,524.0,1901.0,2546.0,3209.0,502.0,3038.0,4297.0,2007.0,1107.0,478.0,6969.0,2939.0,1239.0,2215.0,3507.0,1977.0,5549.0,4370.0,.,518.0,2210.0,481.0,1998.0,279.0,343.0,2662.0,1760.0,589.0,839.0,1831.0,251.0,2439.0,748.0,583.0,1942
01/01/1943,8506.0,2451.0,692.0,12807.0,7012.0,2902.0,3654.0,7761.0,631.0,151.0,2693.0,900.0,3014.0,1792.0,9444.0,.,1153.0,3705.0,692.0,2027.0,2565.0,3245.0,534.0,3130.0,4226.0,1967.0,1221.0,500.0,6868.0,2972.0,1241.0,2205.0,3449.0,1843.0,5405.0,4257.0,.,485.0,2280.0,462.0,2089.0,282.0,327.0,2577.0,1796.0,587.0,806.0,1741.0,247.0,2334.0,760.0,546.0,1943
01/01/1944,8945.0,2420.0,610.0,12628.0,6876.0,2802.0,3560.0,7719.0,605.0,153.0,2631.0,881.0,2980.0,1778.0,9214.0,.,1137.0,3560.0,610.0,2092.0,2508.0,3176.0,527.0,3248.0,4158.0,1943.0,1233.0,529.0,6918.0,2868.0,1216.0,2043.0,3440.0,1768.0,5467.0,4192.0,.,469.0,2167.0,456.0,2118.0,285.0,314.0,2526.0,1779.0,565.0,801.0,1706.0,242.0,2301.0,795.0,534.0,1944
01/01/1945,9344.0,2465.0,594.0,12495.0,6826.0,2775.0,3533.0,7601.0,591.0,149.0,2597.0,876.0,2961.0,1769.0,9143.0,.,1116.0,3516.0,594.0,2206.0,2429.0,3119.0,537.0,3193.0,4108.0,1934.0,1250.0,507.0,6916.0,2878.0,1211.0,2028.0,3427.0,1762.0,5475.0,4201.0,.,477.0,2090.0,459.0,2096.0,286.0,315.0,2537.0,1731.0,579.0,800.0,1708.0,239.0,2308.0,776.0,546.0,1945
01/01/1946,9559.0,2440.0,616.0,13398.0,7197.0,2911.0,3706.0,8155.0,638.0,143.0,2761.0,899.0,3167.0,1906.0,9866.0,.,1203.0,3746.0,616.0,2288.0,2556.0,3242.0,561.0,3212.0,4492.0,1936.0,1338.0,509.0,7512.0,3074.0,1256.0,2128.0,3702.0,1797.0,5874.0,4494.0,.,514.0,2064.0,494.0,2214.0,299.0,342.0,2734.0,1805.0,588.0,832.0,1826.0,254.0,2467.0,770.0,570.0,1946
01/01/1947,9832.0,2528.0,653.0,13982.0,7388.0,2942.0,3769.0,8341.0,636.0,149.0,2803.0,888.0,3250.0,1967.0,10196.0,.,1237.0,3845.0,653.0,2211.0,2579.0,3272.0,582.0,3201.0,4618.0,1992.0,1361.0,522.0,7705.0,3166.0,1265.0,2133.0,3779.0,1836.0,6076.0,4580.0,.,531.0,2107.0,507.0,2248.0,305.0,354.0,2796.0,1853.0,601.0,854.0,1883.0,258.0,2509.0,776.0,578.0,1947
01/01/1948,10064.0,2578.0,690.0,14497.0,7626.0,2969.0,3837.0,8552.0,653.0,156.0,2817.0,840.0,3314.0,2014.0,10287.0,.,1263.0,3844.0,690.0,2255.0,2596.0,3259.0,604.0,3207.0,4774.0,1996.0,1405.0,551.0,7876.0,3216.0,1265.0,2089.0,3877.0,1825.0,6213.0,4674.0,.,542.0,2076.0,520.0,2271.0,312.0,359.0,2868.0,1892.0,612.0,878.0,1899.0,269.0,2543.0,787.0,580.0,1948
01/01/1949,10337.0,2668.0,714.0,14892.0,7623.0,3000.0,3911.0,8670.0,671.0,157.0,2849.0,807.0,3391.0,2032.0,10390.0,.,1295.0,3882.0,714.0,2294.0,2634.0,3325.0,644.0,3292.0,4889.0,2029.0,1431.0,570.0,7973.0,3236.0,1302.0,2105.0,3958.0,1844.0,6332.0,4741.0,.,569.0,2085.0,533.0,2329.0,316.0,369.0,2935.0,1925.0,631.0,903.0,1930.0,277.0,2578.0,801.0,597.0,1949
01/01/1950,10677.0,2810.0,756.0,14865.0,7776.0,3058.0,4068.0,8738.0,696.0,162.0,2936.0,806.0,3438.0,2016.0,10507.0,135,1325.0,3964.0,756.0,2387.0,2697.0,3458.0,689.0,3315.0,4872.0,2113.0,1532.0,590.0,7980.0,3315.0,1327.0,2229.0,3967.0,1908.0,6407.0,4686.0,498,593.0,2176.0,532.0,2355.0,321.0,379.0,2997.0,1916.0,655.0,917.0,2006.0,290.0,2625.0,786.0,619.0,1950
01/01/1951,11134.0,2980.0,785.0,14890.0,8111.0,3059.0,4120.0,8790.0,706.0,168.0,2941.0,808.0,3439.0,2028.0,10461.0,158,1326.0,4015.0,785.0,2424.0,2769.0,3531.0,717.0,3434.0,5006.0,2167.0,1556.0,589.0,8061.0,3372.0,1316.0,2210.0,4096.0,1901.0,6497.0,4654.0,514,596.0,2163.0,529.0,2441.0,331.0,378.0,3010.0,1950.0,655.0,916.0,1984.0,291.0,2617.0,784.0,604.0,1951
01/01/1952,11635.0,3157.0,842.0,15192.0,8314.0,3068.0,4109.0,8956.0,724.0,181.0,2920.0,805.0,3469.0,2081.0,10503.0,189,1365.0,3972.0,842.0,2448.0,2842.0,3584.0,735.0,3504.0,5125.0,2178.0,1582.0,587.0,8275.0,3352.0,1311.0,2219.0,4148.0,1838.0,6650.0,4650.0,517,602.0,2152.0,535.0,2500.0,341.0,375.0,3030.0,1977.0,651.0,915.0,1957.0,293.0,2626.0,802.0,608.0,1952
01/01/1953,12251.0,3310.0,894.0,15527.0,8336.0,3053.0,4120.0,9065.0,739.0,195.0,2903.0,810.0,3506.0,2168.0,10662.0,205,1431.0,4020.0,894.0,2466.0,2866.0,3558.0,756.0,3557.0,5229.0,2181.0,1601.0,596.0,8591.0,3319.0,1318.0,2182.0,4182.0,1780.0,6822.0,4806.0,510,616.0,2105.0,547.0,2567.0,351.0,379.0,3050.0,1994.0,648.0,913.0,1929.0,290.0,2629.0,815.0,609.0,1953
