Region,Period,Value,Units
Europe,2021,3760.90488014,million metric tonnes carbon dioxide
Europe,2020,3538.878963353,million metric tonnes carbon dioxide
Europe,2019,4005.87419241,million metric tonnes carbon dioxide
Europe,2018,4166.088761984,million metric tonnes carbon dioxide
Europe,2017,4236.330933326,million metric tonnes carbon dioxide
Europe,2016,4143.652831559,million metric tonnes carbon dioxide
Europe,2015,4135.862497091,million metric tonnes carbon dioxide
Europe,2014,4068.882206839,million metric tonnes carbon dioxide
Europe,2013,4233.115354171,million metric tonnes carbon dioxide
Europe,2012,4310.172227102,million metric tonnes carbon dioxide
Europe,2011,4352.322755043,million metric tonnes carbon dioxide
Europe,2010,4455.852895658,million metric tonnes carbon dioxide
Europe,2009,4344.091650968,million metric tonnes carbon dioxide
Europe,2008,4647.713498172,million metric tonnes carbon dioxide
Europe,2007,4702.962377075,million metric tonnes carbon dioxide
Europe,2006,4742.043495531,million metric tonnes carbon dioxide
Europe,2005,4723.058158144,million metric tonnes carbon dioxide
Europe,2004,4716.058912795,million metric tonnes carbon dioxide
Europe,2003,4678.379702993,million metric tonnes carbon dioxide
Europe,2002,4579.10192777,million metric tonnes carbon dioxide
Europe,2001,4582.926546226,million metric tonnes carbon dioxide
Europe,2000,4533.339651797,million metric tonnes carbon dioxide
Europe,1999,4466.301401878,million metric tonnes carbon dioxide
Europe,1998,4556.477653167,million metric tonnes carbon dioxide
Europe,1997,4550.273647663,million metric tonnes carbon dioxide
Europe,1996,4615.636249155,million metric tonnes carbon dioxide
Europe,1995,4489.169275186,million metric tonnes carbon dioxide
Europe,1994,4391.11276532,million metric tonnes carbon dioxide
Europe,1993,4430.424928929,million metric tonnes carbon dioxide
Europe,1992,4521.187669072,million metric tonnes carbon dioxide
Europe,1991,4670.597039162,million metric tonnes carbon dioxide
Europe,1990,4894.215050581,million metric tonnes carbon dioxide
Europe,1989,4999.78453249,million metric tonnes carbon dioxide
Europe,1988,4988.226074124,million metric tonnes carbon dioxide
Europe,1987,5029.674673709,million metric tonnes carbon dioxide
Europe,1986,4980.261989749,million metric tonnes carbon dioxide
Europe,1985,4881.059030578,million metric tonnes carbon dioxide
Europe,1984,4761.128998503,million metric tonnes carbon dioxide
Europe,1983,4557.489767029,million metric tonnes carbon dioxide
Europe,1982,4612.953339526,million metric tonnes carbon dioxide
Europe,1981,4588.34383771,million metric tonnes carbon dioxide
Europe,1980,4823.243626183,million metric tonnes carbon dioxide
North America,2021,5843.582801073,million metric tonnes carbon dioxide
North America,2020,5505.286788666,million metric tonnes carbon dioxide
North America,2019,6208.492943476,million metric tonnes carbon dioxide
North America,2018,6347.84868844,million metric tonnes carbon dioxide
North America,2017,6206.675980226,million metric tonnes carbon dioxide
North America,2016,6219.213176132,million metric tonnes carbon dioxide
North America,2015,6320.768124378,million metric tonnes carbon dioxide
North America,2014,6457.149925741,million metric tonnes carbon dioxide
North America,2013,6413.903283641,million metric tonnes carbon dioxide
North America,2012,6277.464046543,million metric tonnes carbon dioxide
North America,2011,6487.649204999,million metric tonnes carbon dioxide
North America,2010,6609.332185152,million metric tonnes carbon dioxide
North America,2009,6392.970520731,million metric tonnes carbon dioxide
North America,2008,6826.752162495,million metric tonnes carbon dioxide
North America,2007,7047.216769011,million metric tonnes carbon dioxide
North America,2006,6954.95766316,million metric tonnes carbon dioxide
North America,2005,7012.179898853,million metric tonnes carbon dioxide
North America,2004,6976.226985712,million metric tonnes carbon dioxide
North America,2003,6854.449360694,million metric tonnes carbon dioxide
North America,2002,6752.228394527,million metric tonnes carbon dioxide
North America,2001,6698.733335619,million metric tonnes carbon dioxide
North America,2000,6787.741500954,million metric tonnes carbon dioxide
North America,1999,6584.017641789,million metric tonnes carbon dioxide
North America,1998,6507.055989062,million metric tonnes carbon dioxide
North America,1997,6428.719489752,million metric tonnes carbon dioxide
North America,1996,6329.51753502,million metric tonnes carbon dioxide
North America,1995,6111.481422109,million metric tonnes carbon dioxide
North America,1994,6059.574223803,million metric tonnes carbon dioxide
North America,1993,5943.807749198,million metric tonnes carbon dioxide
North America,1992,5835.828327392,million metric tonnes carbon dioxide
North America,1991,5713.500902934,million metric tonnes carbon dioxide
North America,1990,5751.702506572,million metric tonnes carbon dioxide
North America,1989,5834.970861728,million metric tonnes carbon dioxide
North America,1988,5719.442871742,million metric tonnes carbon dioxide
North America,1987,5464.201309928,million metric tonnes carbon dioxide
North America,1986,5279.107984788,million metric tonnes carbon dioxide
North America,1985,5275.862589394,million metric tonnes carbon dioxide
North America,1984,5271.485256244,million metric tonnes carbon dioxide
North America,1983,4966.471352132,million metric tonnes carbon dioxide
North America,1982,5003.659235124,million metric tonnes carbon dioxide
North America,1981,5248.128523398,million metric tonnes carbon dioxide
North America,1980,5380.36219554,million metric tonnes carbon dioxide
North America,1979,4946.62713,million metric tonnes carbon dioxide
North America,1978,4883.910187,million metric tonnes carbon dioxide
North America,1977,4835.524743,million metric tonnes carbon dioxide
North America,1976,4694.157203,million metric tonnes carbon dioxide
North America,1975,4426.421477,million metric tonnes carbon dioxide
North America,1974,4561.227063,million metric tonnes carbon dioxide
North America,1973,4721.984594,million metric tonnes carbon dioxide
North America,1972,4532.007774,million metric tonnes carbon dioxide
North America,1971,4311.927159,million metric tonnes carbon dioxide
North America,1970,4261.307787,million metric tonnes carbon dioxide
North America,1969,4134.686706,million metric tonnes carbon dioxide
North America,1968,3964.523069,million metric tonnes carbon dioxide
North America,1967,3749.381715,million metric tonnes carbon dioxide
North America,1966,3654.178703,million metric tonnes carbon dioxide
North America,1965,3461.741169,million metric tonnes carbon dioxide
North America,1964,3316.753148,million metric tonnes carbon dioxide
North America,1963,3184.516899,million metric tonnes carbon dioxide
North America,1962,3064.923181,million metric tonnes carbon dioxide
North America,1961,2942.790633,million metric tonnes carbon dioxide
North America,1960,2914.008533,million metric tonnes carbon dioxide
North America,1959,2807.171174,million metric tonnes carbon dioxide
North America,1958,2703.188545,million metric tonnes carbon dioxide
North America,1957,2756.562392,million metric tonnes carbon dioxide
North America,1956,2777.042758,million metric tonnes carbon dioxide
North America,1955,2684.786146,million metric tonnes carbon dioxide
North America,1954,2422.25256,million metric tonnes carbon dioxide
North America,1953,2536.892888,million metric tonnes carbon dioxide
North America,1952,2473.373964,million metric tonnes carbon dioxide
North America,1951,2526.687327,million metric tonnes carbon dioxide
North America,1950,2382.046176,million metric tonnes carbon dioxide
North America,1949,2206.690829,million metric tonnes carbon dioxide
Central & South America,2021,1123.04066176,million metric tonnes carbon dioxide
Central & South America,2020,1086.230279731,million metric tonnes carbon dioxide
Central & South America,2019,1259.451601205,million metric tonnes carbon dioxide
Central & South America,2018,1283.636243151,million metric tonnes carbon dioxide
Central & South America,2017,1306.799965499,million metric tonnes carbon dioxide
Central & South America,2016,1339.654928016,million metric tonnes carbon dioxide
Central & South America,2015,1375.415795141,million metric tonnes carbon dioxide
Central & South America,2014,1356.101393509,million metric tonnes carbon dioxide
Central & South America,2013,1325.230809614,million metric tonnes carbon dioxide
Central & South America,2012,1296.862562494,million metric tonnes carbon dioxide
Central & South America,2011,1231.032564631,million metric tonnes carbon dioxide
Central & South America,2010,1190.181108707,million metric tonnes carbon dioxide
Central & South America,2009,1092.228606972,million metric tonnes carbon dioxide
Central & South America,2008,1125.924331444,million metric tonnes carbon dioxide
Central & South America,2007,1060.393606907,million metric tonnes carbon dioxide
Central & South America,2006,1073.92038272,million metric tonnes carbon dioxide
Central & South America,2005,1029.399998383,million metric tonnes carbon dioxide
Central & South America,2004,1011.460931442,million metric tonnes carbon dioxide
Central & South America,2003,967.903533499,million metric tonnes carbon dioxide
Central & South America,2002,954.366255331,million metric tonnes carbon dioxide
Central & South America,2001,966.08354395,million metric tonnes carbon dioxide
Central & South America,2000,940.713970757,million metric tonnes carbon dioxide
Central & South America,1999,932.030930359,million metric tonnes carbon dioxide
Central & South America,1998,922.408505923,million metric tonnes carbon dioxide
Central & South America,1997,901.757368321,million metric tonnes carbon dioxide
Central & South America,1996,857.677342726,million metric tonnes carbon dioxide
Central & South America,1995,826.483288209,million metric tonnes carbon dioxide
Central & South America,1994,784.125085634,million metric tonnes carbon dioxide
Central & South America,1993,751.870199142,million metric tonnes carbon dioxide
Central & South America,1992,712.523233712,million metric tonnes carbon dioxide
Central & South America,1991,704.836782541,million metric tonnes carbon dioxide
Central & South America,1990,695.550458579,million metric tonnes carbon dioxide
Central & South America,1989,684.585001594,million metric tonnes carbon dioxide
Central & South America,1988,664.640762839,million metric tonnes carbon dioxide
Central & South America,1987,654.899611508,million metric tonnes carbon dioxide
Central & South America,1986,644.515641935,million metric tonnes carbon dioxide
Central & South America,1985,592.34312792,million metric tonnes carbon dioxide
Central & South America,1984,584.982920741,million metric tonnes carbon dioxide
Central & South America,1983,560.861026759,million metric tonnes carbon dioxide
Central & South America,1982,578.283559807,million metric tonnes carbon dioxide
Central & South America,1981,581.71636228,million metric tonnes carbon dioxide
Central & South America,1980,588.163286023,million metric tonnes carbon dioxide
