Date,GRA Purchases,PRGT 1/2/,Totals,Year,Unnamed: 5,Unnamed: 6,IMF Lending as a % of GDP,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
12/31/2012,90042348252.0,5766292503.0,95808640755.0,2012.0,"75,490,000,000,000",0.001269157,0.126915672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2011,87276915790.0,5308609594.0,92585525384.0,2011.0,"73,850,000,000,000",0.001253697,0.125369703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2010,55620104510.0,4819344134.0,60439448644.0,2010.0,"66,600,000,000,000",0.000907499,0.090749923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009,37221142436.0,5079705286.0,42300847722.0,2009.0,"60,810,000,000,000",0.000695623,0.069562322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2008,17514964723.0,3972372030.0,21487336753.0,2008.0,"64,120,000,000,000",0.000335111,0.03351113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,6036146757.0,3796945581.0,9833092338.0,2007.0,"58,360,000,000,000",0.00016849,0.016849027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,9822640239.0,3844020520.0,13666660759.0,2006.0,"51,780,000,000,000",0.000263937,0.026393706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2005,28432143237.0,6282121668.0,34714264905.0,2005.0,"47,780,000,000,000",0.000726544,0.072654384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2004,55373766674.0,6766029353.0,62139796027.0,2004.0,"44,120,000,000,000",0.001408427,0.140842693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2003,65032062712.0,6880893268.0,71912955980.0,2003.0,"39,150,000,000,000",0.001836857,0.183685711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2002,63601058794.0,6868671012.0,70469729806.0,2002.0,"34,910,000,000,000",0.002018612,0.201861157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,53477225409.0,6424578684.0,59901804093.0,2001.0,"33,620,000,000,000",0.001781731,0.178173123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2000,42990531049.0,6331595468.0,49322126517.0,2000.0,"33,830,000,000,000",0.00145794,0.145794048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1999,51061861875.0,6434274362.0,57496136237.0,1999.0,"32,740,000,000,000",0.001756143,0.175614344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1998,60451017051.0,6288825925.0,66739842976.0,1998.0,"31,540,000,000,000",0.002116038,0.211603814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1997,46559033783.0,6009867422.0,52568901205.0,1997.0,"31,620,000,000,000",0.001662521,0.166252059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,36127472805.0,5881609752.0,42009082557.0,1996.0,"31,740,000,000,000",0.001323538,0.132353757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,35929173412.0,5657438528.0,41586611940.0,1995.0,"31,040,000,000,000",0.001339775,0.133977487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,25611676952.0,4599768498.0,30211445450.0,1994.0,"27,870,000,000,000",0.001084013,0.108401311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,25196745031.0,3942792899.0,29139537930.0,1993.0,"25,820,000,000,000",0.001128565,0.11285646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,23967172718.0,3804463796.0,27771636514.0,1992.0,"25,410,000,000,000",0.001092941,0.109294122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,23378573926.0,3285717796.0,26664291722.0,1991.0,"23,760,000,000,000",0.001122235,0.11222345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,20731851093.0,2571911617.0,23303762710.0,1990.0,"22,780,000,000,000",0.001022992,0.102299222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,22315104224.0,2334886562.0,24649990786.0,1989.0,"20,190,000,000,000",0.001220901,0.122090098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1988,24750004884.0,1773964293.0,26523969177.0,1988.0,"19,340,000,000,000",0.001371457,0.137145652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1987,28751979125.0,1866342930.0,30618322055.0,1987.0,"17,310,000,000,000",0.001768823,0.176882276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1986,33334905644.0,2013169931.0,35348075575.0,1986.0,"15,210,000,000,000",0.002324002,0.232400234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1985,35194787249.0,2470247948.0,37665035197.0,1985.0,"12,860,000,000,000",0.002928852,0.292885188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1984,34936772393.0,2769874900.0,37706647293.0,1984.0,"12,270,000,000,000",0.003073076,0.307307639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
