Country of origin (ISO),Country of asylum (ISO),Country of origin,Country of asylum,FDP,Income group,population,asylum_latitude,asylum_longitude,origin_latitude,origin_longitude,FDP over pop,fdprank,rank
VEN,KGZ,Venezuela,Kyrgyzstan,5,Lower middle income,6694200,41.20438,74.766098,6.42375,-66.58973,0.07,49,47
VEN,BGR,Venezuela,Bulgaria,5,Upper middle income,6899125,42.733883,25.48583,6.42375,-66.58973,0.07,52,48
VEN,ISR,Venezuela,Israel,5,High income,9364000,31.046051,34.851612,6.42375,-66.58973,0.05,48,49
VEN,JOR,Venezuela,Jordan,5,Upper middle income,10269022,30.585164,36.238414,6.42375,-66.58973,0.05,54,50
VEN,POL,Venezuela,Poland,17,High income,37781024,51.919438,19.145136,6.42375,-66.58973,0.04,39,51
VEN,KOR,Venezuela,Rep. of Korea,12,High income,51744876,35.907757,127.766922,6.42375,-66.58973,0.02,42,52
VEN,IND,Venezuela,India,11,Lower middle income,1393409033,20.593684,78.96288,6.42375,-66.58973,0.0,43,53
VEN,IDN,Venezuela,Indonesia,5,Lower middle income,276361788,-0.789275,113.921327,6.42375,-66.58973,0.0,50,54
VEN,ABW,Venezuela,Aruba,0,High income,107195,12.52111,-69.968338,6.42375,-66.58973,0.0,55,55
VEN,GRD,Venezuela,Grenada,0,Upper middle income,113015,12.262776,-61.604171,6.42375,-66.58973,0.0,56,56
VEN,GUY,Venezuela,Guyana,0,Upper middle income,790329,4.860416,-58.93018,6.42375,-66.58973,0.0,57,57
VEN,KNA,Venezuela,Saint Kitts and Nevis,0,High income,53546,17.357822,-62.782998,6.42375,-66.58973,0.0,58,58
VEN,VCT,Venezuela,Saint Vincent and the Grenadines,0,Upper middle income,111269,12.984305,-61.287228,6.42375,-66.58973,0.0,59,59
VEN,JAM,Venezuela,Jamaica,0,Upper middle income,2973462,18.109581,-77.297508,6.42375,-66.58973,0.0,60,60
VEN,CYM,Venezuela,Cayman Islands,0,High income,66498,19.513469,-80.566956,6.42375,-66.58973,0.0,61,61
