ISO3,Country,Year,R&D Expenditure (% of GDP),GDP per capita (PPP),Population,Continent
EST,Estonia,2020,1.79247,37644.00382,1329522.0,Europe
GMB,Gambia,2018,0.06933,2060.671783,2444916.0,Africa
GEO,Georgia,2020,0.3008,14731.20059,3722716.0,Asia
GHA,Ghana,2010,0.37655,3839.885758,25574719.0,Africa
GTM,Guatemala,2019,0.02647,9037.688376,16604026.0,America
HND,Honduras,2017,0.03994,5447.698792,9626842.0,America
IND,India,2018,0.65573,6589.913808,1369003306.0,Asia
IRN,Iran,2019,0.88359,14678.77788,86564202.0,Asia
ISR,Israel,2020,5.43562,39489.28078,9215100.0,Asia
JAM,Jamaica,2002,0.06096,6857.452873,2638244.0,America
JOR,Jordan,2016,0.69547,9056.909871,9964656.0,Asia
KAZ,Kazakhstan,2021,0.13245,28684.89806,19000988.0,Asia
KEN,Kenya,2010,0.69222,2639.634774,41517895.0,Africa
KWT,Kuwait,2020,0.18661,46328.07946,4360444.0,Asia
LVA,Latvia,2020,0.7055,31424.90221,1900449.0,Europe
LSO,Lesotho,2015,0.05101,2990.952647,2118521.0,Africa
LTU,Lithuania,2020,1.15528,38880.54527,2794885.0,Europe
MKD,North Macedonia,2020,0.3756,16984.36046,2072531.0,Europe
MDG,Madagascar,2017,0.01275,1548.156425,26169542.0,Africa
MYS,Malaysia,2018,1.04026,27476.92011,32399271.0,Asia
MLI,Mali,2019,0.15768,2312.700701,20567424.0,Africa
MLT,Malta,2020,0.67989,43711.5058,515332.0,Europe
MUS,Mauritius,2020,0.42098,21331.81412,1265740.0,Africa
MDA,Moldova,2020,0.22754,12870.01602,2635130.0,Europe
MNG,Mongolia,2020,0.13301,12305.71791,3294335.0,Asia
MAR,Morocco,2010,0.71454,6322.320801,32464865.0,Africa
MOZ,Mozambique,2015,0.31312,1300.828948,26843246.0,Africa
MMR,Myanmar,2020,0.14725,5218.024537,53423198.0,Asia
PAK,Pakistan,2019,0.20096,5375.218711,223293280.0,Asia
PAN,Panama,2017,0.14718,30526.37985,4096063.0,America
PRY,Paraguay,2019,0.13758,14184.11579,6530026.0,America
PER,Peru,2020,0.17167,11789.02928,33304756.0,America
PHL,Philippines,2018,0.32222,8565.59071,108568836.0,Asia
ROU,Romania,2020,0.47033,32680.99374,19265250.0,Europe
RUS,Russia,2020,1.09803,29936.92969,144073139.0,Europe
LCA,St. Lucia,1999,0.27374,8958.368041,158256.0,America
VCT,St. Vincent and the Grenadines,2002,0.12028,7243.330309,113450.0,America
SAU,Saudi Arabia,2020,0.52232,45240.67609,35997107.0,Asia
SYC,Seychelles,2016,0.22175,26824.75405,94677.0,Africa
SGP,Singapore,2019,1.89064,102431.3157,5703569.0,Asia
SVN,Slovenia,2020,2.14735,39725.25919,2102419.0,Europe
ZAF,South Africa,2019,0.61525,14436.83264,58087055.0,Africa
LKA,Sri Lanka,2018,0.12836,14081.61687,21670000.0,Asia
SDN,Sudan,2005,0.225,3558.002197,29540577.0,Africa
TJK,Tajikistan,2020,0.08903,3851.942913,9543207.0,Asia
THA,Thailand,2019,1.14257,18763.50902,71307763.0,Asia
TTO,Trinidad and Tobago,2019,0.06106,26374.6734,1519955.0,America
TUN,Tunisia,2019,0.74839,11552.56755,12049314.0,Africa
UGA,Uganda,2014,0.14265,2121.454381,36336539.0,Africa
UKR,Ukraine,2020,0.40608,13087.30957,44132049.0,Europe
URY,Uruguay,2019,0.48302,24238.13305,3428409.0,America
SRB,Serbia,2020,0.90595,19173.19609,6899126.0,Europe
MNE,Montenegro,2019,0.36328,23075.08563,622028.0,Europe
DZA,Algeria,2017,0.53432,11809.48303,41136546.0,Africa
BIH,Bosnia and Herzegovina,2020,0.20614,15336.9107,3318407.0,Europe
BWA,Botswana,2013,0.53728,12833.27836,2217278.0,Africa
CHL,Chile,2019,0.34095,25206.40166,19039485.0,America
COD,DR Congo,2015,0.40638,877.6808352,78656904.0,Africa
ETH,Ethiopia,2017,0.27437,1987.968754,108197950.0,Africa
GAB,Gabon,2009,0.57924,13448.29955,1653542.0,Africa
IDN,Indonesia,2020,0.28084,12146.40679,271857970.0,Asia
KGZ,Kyrgyz Republic,2020,0.08933,4985.029555,6579900.0,Asia
LAO,Laos,2002,0.0371,2021.288797,5606101.0,Asia
NIC,Nicaragua,2015,0.10742,5230.528231,6298598.0,America
NGA,Nigeria,2007,0.13223,3887.736752,148294028.0,Africa
SEN,Senegal,2015,0.5772,3017.350576,14356181.0,Africa
TZA,Tanzania,2013,0.51456,2160.548584,49253643.0,Africa
VNM,Vietnam,2019,0.53172,10684.68628,95776716.0,Asia
ZMB,Zambia,2008,0.27819,2742.914871,12852966.0,Africa
BDI,Burundi,2018,0.21312,758.1376112,11493472.0,Africa
IRQ,Iraq,2020,0.04397,9408.295527,42556984.0,Asia
OMN,Oman,2020,0.37103,34910.85327,4543399.0,Asia
NPL,Nepal,2010,0.3022,2153.126406,27161567.0,Asia
ARE,United Arab Emirates,2020,1.44934,71374.18105,9287289.0,Asia
TGO,Togo,2014,0.26654,1748.833205,7288383.0,Africa
NAM,Namibia,2014,0.34986,10609.20989,2243001.0,Africa
CPV,Cabo Verde,2011,0.07264,5642.637657,527521.0,Africa
BHR,Bahrain,2014,0.10116,52073.98462,1311134.0,Asia
QAT,Qatar,2018,0.53129,93646.64443,2766732.0,Asia
UZB,Uzbekistan,2020,0.13918,7746.430969,34232050.0,Asia
RWA,Rwanda,2019,0.75795,2283.888816,12835028.0,Africa
TCD,Chad,2016,0.3005,1660.984878,14592585.0,Africa
PNG,Papua New Guinea,2016,0.03158,3851.264927,8899169.0,Oceania
SWZ,Eswatini,2015,0.26754,8580.639991,1133936.0,Africa
CIV,Cote d'Ivoire,2016,0.0704,4650.670064,24213622.0,Africa
AGO,Angola,2016,0.03229,7027.146634,29154746.0,Africa
MRT,Mauritania,2018,0.01036,5495.439826,4270712.0,Africa
