Country of origin (ISO),Country of asylum (ISO),Country of origin,Country of asylum,FDP,Income group,population,asylum_latitude,asylum_longitude,origin_latitude,origin_longitude,FDP over pop,fdprank,rank
AFG,PNG,Afghanistan,Papua New Guinea,30,Lower middle income,9119005,-6.314993,143.95555,33.93911,67.709953,0.33,65,67
AFG,URY,Afghanistan,Uruguay,11,High income,3485152,-32.522779,-55.765835,33.93911,67.709953,0.32,79,68
AFG,IRQ,Afghanistan,Iraq,107,Upper middle income,41179351,33.223191,43.679291,33.93911,67.709953,0.26,53,69
AFG,THA,Afghanistan,Thailand,173,Upper middle income,69950844,15.870032,100.992541,33.93911,67.709953,0.25,47,70
AFG,PAN,Afghanistan,Panama,11,High income,4381583,8.537981,-80.782127,33.93911,67.709953,0.25,80,71
AFG,QAT,Afghanistan,Qatar,7,High income,2930524,25.354826,51.183884,33.93911,67.709953,0.24,89,72
AFG,NPL,Afghanistan,Nepal,64,Low income,29674920,28.394857,84.124008,33.93911,67.709953,0.22,60,73
AFG,KOR,Afghanistan,Rep. of Korea,105,High income,51744876,35.907757,127.766922,33.93911,67.709953,0.2,54,74
AFG,JOR,Afghanistan,Jordan,18,Upper middle income,10269022,30.585164,36.238414,33.93911,67.709953,0.18,71,75
AFG,ALB,Afghanistan,Albania,5,Upper middle income,2811666,41.153332,20.168331,33.93911,67.709953,0.18,94,76
AFG,ARM,Afghanistan,Armenia,5,Upper middle income,2968128,40.069099,45.038189,33.93911,67.709953,0.17,90,77
AFG,TKM,Afghanistan,Turkmenistan,10,Upper middle income,6117933,38.969719,59.556278,33.93911,67.709953,0.16,84,78
AFG,BRA,Afghanistan,Brazil,316,Upper middle income,213993441,-14.235004,-51.92528,33.93911,67.709953,0.15,42,79
AFG,CUB,Afghanistan,Cuba,17,Upper middle income,11317498,21.521757,-77.781167,33.93911,67.709953,0.15,72,80
AFG,HKG,Afghanistan,Hong Kong,11,High income,7413100,22.396428,114.109497,33.93911,67.709953,0.15,81,81
AFG,MNG,Afghanistan,Mongolia,5,Lower middle income,3329282,46.862496,103.846656,33.93911,67.709953,0.15,97,82
AFG,EGY,Afghanistan,Egypt,92,Lower middle income,104258327,26.820553,30.802498,33.93911,67.709953,0.09,56,83
AFG,JPN,Afghanistan,Japan,84,High income,125681593,36.204824,138.252924,33.93911,67.709953,0.07,57,84
AFG,MDG,Afghanistan,Madagascar,20,Low income,28427333,-18.766947,46.869107,33.93911,67.709953,0.07,70,85
AFG,DOM,Afghanistan,Dominican Rep.,8,Upper middle income,10953714,18.735693,-70.162651,33.93911,67.709953,0.07,86,86
AFG,LBY,Afghanistan,Libya,5,Upper middle income,6958538,26.3351,17.228331,33.93911,67.709953,0.07,93,87
AFG,MAR,Afghanistan,Morocco,17,Lower middle income,37344787,31.791702,-7.09262,33.93911,67.709953,0.05,75,88
AFG,ZAF,Afghanistan,South Africa,25,Upper middle income,60041996,-30.559482,22.937506,33.93911,67.709953,0.04,67,89
AFG,KEN,Afghanistan,Kenya,17,Lower middle income,54985702,-0.023559,37.906193,33.93911,67.709953,0.03,74,90
AFG,ARG,Afghanistan,Argentina,12,Upper middle income,45808747,-38.416097,-63.616672,33.93911,67.709953,0.03,78,91
AFG,VEN,Afghanistan,Venezuela,10,Upper middle income,28704947,6.42375,-66.58973,33.93911,67.709953,0.03,83,92
AFG,COL,Afghanistan,Colombia,9,Upper middle income,51265841,4.570868,-74.297333,33.93911,67.709953,0.02,85,93
AFG,PHL,Afghanistan,Philippines,14,Lower middle income,111046910,12.879721,121.774017,33.93911,67.709953,0.01,76,94
AFG,MEX,Afghanistan,Mexico,11,Upper middle income,130262220,23.634501,-102.552784,33.93911,67.709953,0.01,82,95
AFG,PER,Afghanistan,Peru,5,Upper middle income,33359416,-9.189967,-75.015152,33.93911,67.709953,0.01,99,96
AFG,CHN,Afghanistan,China,52,Upper middle income,1412360000,35.86166,104.195397,33.93911,67.709953,0.0,61,97
AFG,BGD,Afghanistan,Bangladesh,5,Lower middle income,166303494,23.684994,90.356331,33.93911,67.709953,0.0,91,98
AFG,NGA,Afghanistan,Nigeria,5,Lower middle income,211400704,9.081999,8.675277,33.93911,67.709953,0.0,92,99
AFG,AFG,Afghanistan,Afghanistan,0,Low income,39835428,33.93911,67.709953,33.93911,67.709953,0.0,100,100
