Country,Average_happiness,Democratic_quality ,democracy_edited,edit_l_dq,edit_line_ah,line_dq,line_ah
Norway,7.46,1.36,3.36,,,,
Pakistan,6.12,-1.5,0.5,,,,
Panama,6.2,0.31,2.31,,,,
Paraguay,4.86,-0.5,1.5,,,,
Peru,4.93,-0.46,1.54,,,,
Philippines,4.73,-0.72,1.28,,,,
Poland,5.85,0.56,2.56,,,,
Portugal,5.43,1.08,3.08,,,,
Puerto Rico,6.62,1.01,3.01,,,,
Romania,5.28,0.33,2.33,,,,
Russian F.,5.0,-0.89,1.11,,,,
Rwanda,4.34,-0.89,1.11,,,,
Saudi Arabia,7.06,-1.16,0.84,,,,
Senegal,4.58,-0.1,1.9,,,,
Serbia,4.62,-0.28,1.72,,,,
Sierra L.,3.88,-0.45,1.55,,,,
Singapore,6.56,0.46,2.46,,,,
Slovak R.,5.16,0.89,2.89,,,,
Slovenia,5.93,1.08,3.08,,,,
South Africa,5.37,0.41,2.41,,,,
Spain,7.13,0.59,2.59,,,,
Sri Lanka,4.34,-0.95,1.05,,,,
Sweden,7.38,1.3,3.3,,,,
Switzerland,7.45,1.5,3.5,,,,
Taiwan,6.3,0.64,2.64,,,,
Tajikistan,4.57,-1.34,0.66,,,,
Tanzania,4.04,-0.15,1.85,,,,
Thailand,5.96,-0.77,1.23,,,,
Togo,3.24,-1.01,0.99,,,,
Trinidad Tob.,5.78,0.22,2.22,,,,
Turkey,4.67,-0.39,1.61,,,,
Uganda,4.04,-0.88,1.12,,,,
Ukraine,4.88,-0.12,1.88,,,,
United Arab Emirates,6.72,-0.1,1.9,,,,
United Kingdom,6.97,1.0,3.0,,,,
United States,7.26,0.75,2.75,,,,
Uruguay,5.6,0.88,2.88,,,,
Uzbekistan,5.22,-1.81,0.19,,,,
Venezuela,7.17,-0.83,1.17,,,,
Vietnam,5.33,-0.58,1.42,,,,
Yemen,4.55,-1.19,0.81,,,,
Zambia,4.92,-0.01,1.99,,,,
Zimbabwe,3.76,-1.28,0.72,,,,
